"sitekey","sitestatus","providername","sitename","building","street","unit","borough","city","postcode","mappedaddress","phone","extension","show311","showonmap","website","ada_accessible","incomelimit","l1","itin","s1","amendedreturn","prioryear","aarp","selfemployed","opendatestr","opendateiso","closedatestr","closedateiso","apptorwalkin","mondayopen","imondayopen","mondayclose","imondayclose","tuesdayopen","ituesdayopen","tuesdayclose","ituesdayclose","wednesdayopen","iwednesdayopen","wednesdayclose","iwednesdayclose","thursdayopen","ithursdayopen","thursdayclose","ithursdayclose","fridayopen","ifridayopen","fridayclose","ifridayclose","saturdayopen","isaturdayopen","saturdayclose","isaturdayclose","sundayopen","isundayopen","sundayclose","isundayclose","ianydayopen","ianydayclose","scheduleexceptions","notes","citycouncildistrict","communitydistrict","bbl","nta","xcoordinate","ycoordinate","latitude","longitude","icon","geocoded_column"
"FBNYC - 81","Active","Urban Upbound","Long Island City","12-15","40th Avenue",,"Queens","LIC",,"""12-15 40th Avenue, Queens NY, 11101""","(718) 784-0877","7","Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","""English, Spanish, Chinese - Cantonese, Chinese - Mandarin, Bengali, Russian, Arabic""","Certified Acceptance Agent","""In Person, Drop Off""","Yes","Yes","No","Yes","Jan 22","2019-01-22T00:00:00.000","Dec 31","2019-12-31T00:00:00.000","Both",,,,,"9:00 AM","9","5:00 PM","17","11:00 AM","11","7:00 PM","19","11:00 AM","11","7:00 PM","19","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17",,,,,"9","19","Monday 4/15/19 Open 9:00 AM - 9:00 PM",,"26","401","4004720622","QN68","1000146","0214699","40.75596133433837","-73.94262367243367",,"(40.755961334338, -73.942623672434)"
"FBNYC - 44","Active","Food Bank For New York City","Trinity Human Services Coporation","153","Johnson Avenue",,"Brooklyn",,,"""153 Johnson Avenue, Brooklyn NY, 11206""","(718) 388-3176",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","NO","NO","No","NO","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,"9:00 AM","9","3:00 PM","15",,,,,"9:00 AM","9","3:00 PM","15",,,,,,,,,,,,,"9","15","Closed 11:00 to 1:00 pm for lunch",,"34","301","3030610010","BK90","0999791","0196688","40.70652619626892","-73.94394663828676",,"(40.706526196269, -73.943946638287)"
"FBNYC - 68","Active","Urban Upbound","Coney Island Public Library","1901","Mermaid Avenue",,"Brooklyn",,,"""1901 Mermaid Avenue, Brooklyn NY, 11224""",,,"Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","""English, Russian""","None","""In Person, Assisted Self-Preparation""","No","Yes","No","Yes","Feb 5","2019-02-05T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Walk-in Only",,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,"10","16","Library may close for renovation 3/1/19",,"47","313","3070190043","BK21","0988141","0149312","40.57650206052423","-73.98599324164717",,"(40.576502060524, -73.985993241647)"
"AARPMN - 5","Active","AARP Tax Aide","Chatham Square Branch Library","33","East Broadway","Community Room","Manhattan",,,"""33 East Broadway, Manhattan NY, 10002""","(212) 964-6598",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish, Chinese - Cantonese, Chinese - Mandarin""","None","In Person","Yes","Yes","Yes","Yes","Feb 2","2019-02-02T00:00:00.000","Apr 13","2019-04-13T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,,,,,"10:30 AM","10.5","3:00 PM","15",,,,,"10.5","15",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","01","103","1002800044","MN27","0985262","0199237","40.71353618651898","-73.99634952937042",,"(40.713536186519, -73.99634952937)"
"ARIVA - 23","Active","Ariva","Wakefield Library","4100","Lowerre Place",,"Bronx",,,"""4100 Lowerre Place, Bronx NY, 10466""","(718) 652-4663",,"Yes","Yes","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","None","In Person","No","No","No","Yes","Mar 2","2019-03-02T00:00:00.000","Mar 2","2019-03-02T00:00:00.000","Appointment Only",,,,,,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16","10","16",,,"12","212","2048320020","BX44","1023002","0263943","40.89105131739581","-73.85984104932479",,"(40.891051317396, -73.859841049325)"
"FBNYC - 1","Active","Food Bank For New York City","Morrisania Community Resource Center","551","East 169th Street",,"Bronx",,,"""551 East 169th Street, Bronx NY, 10456""","(914) 439-5171",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both","9:00 AM","9","6:30 PM","18.5","9:00 AM","9","6:30 PM","18.5","9:00 AM","9","6:30 PM","18.5","9:00 AM","9","6:30 PM","18.5","9:00 AM","9","6:30 PM","18.5","9:00 AM","9","1:00 PM","13",,,,,"9","18.5",,,"16","203","2029250092","BX01","1010775","0242579","40.832458842544","-73.90414839657929",,"(40.832458842544, -73.904148396579)"
"FBNYC - 64","Active","Nazareth Housing Inc.","Nazareth Housing","519","East 11th Street",,"Manhattan",,,"""519 East 11th Street, Manhattan NY, 10009""","(212) 777-1010",,"Yes","Yes","https://nazarethhousingnyc.org/",,"""Individuals without dependents: $54,000, Families with dependents: $58,000""","""English, Spanish, Chinese - Cantonese, Chinese - Mandarin, Russian""","None","""In Person, Assisted Self-Preparation""","Yes","Yes","No","Yes","Jan 30","2019-01-30T00:00:00.000","Apr 13","2019-04-13T00:00:00.000","Appointment Only",,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","6:00 PM","18",,,,,"10","18",,,"02","103","1004050051","MN22","0989477","0204573","40.72818073294201","-73.98114110342723",,"(40.728180732942, -73.981141103427)"
"MMCC - 2","Active","Food Bank For New York City","Brooklyn Faith Seventh Day Adventist Church","5518","Church Avenue",,"Brooklyn",,,"""5518 Church Avenue, Brooklyn NY, 11203""","(718) 342-6712",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Walk-in Only",,,,,,,,,,,,,"11:00 AM","11","4:00 PM","16",,,,,,,,,,,,,"11","16",,,"41","317","3047030007","BK96","1005057","0176998","40.65247081432871","-73.92501400313775",,"(40.652470814329, -73.925014003138)"
"FBNYC - 32","Active","Food Bank For New York City","Project Hospitality","514","Bay Street",,"Staten Island",,,"""514 Bay Street, Staten Island NY, 10304""","(718) 448-3470",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only","9:00 AM","9","4:00 PM","16","9:00 AM","9","4:00 PM","16","9:00 AM","9","4:00 PM","16","9:00 AM","9","4:00 PM","16","9:00 AM","9","4:00 PM","16",,,,,,,,,"9","16","Closed 2/18/2019 for President's Day","To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ","49","501","5005110003","SI37","0962976","0168615","40.62946017549635","-74.07664257624491",,"(40.629460175496, -74.076642576245)"
"FBNYC - 69","Active","Urban Upbound","Congressmember Hakeem Jefferies","55","Hanson Place","9th Floor","Brooklyn",,,"""55 Hanson Place, Brooklyn NY, 11217""","(718) 784-0877","7","Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","English","None","In Person","No","No","No","Yes","Feb 8","2019-02-08T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Appointment Only",,,,,"10:00 AM","10","4:00 PM","16",,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,,,,,"10","16",,,"35","302","3021130001","BK68","0991030","0188979","40.68537783299499","-73.97555361682704",,"(40.685377832995, -73.975553616827)"
"FBNYC - 75","Active","Urban Upbound","Flushing","136-20","38th Avenue","# 10A","Queens","Flushing",,"""136-20 38th Avenue, Queens NY, 11354""","(718) 939-0195",,"Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","""English, Chinese - Cantonese, Chinese - Mandarin""","None","In Person","Yes","Yes","No","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17",,,,,,,,,,,,,"10","17","Closed 2/18/19 for President's Day",,"20","407","4049787501","QN22","1031267","0216561","40.76096132021958","-73.8302801462036",,"(40.76096132022, -73.830280146204)"
"ARIVA - 3","Active","Ariva","Ariva at Eastside House","201","St. Anns Avenue",,"Bronx",,,"""201 St. Anns Avenue, Bronx NY, 10454""",,,"Yes","Yes","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","English","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Jan 30","2019-01-30T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Walk-in Only",,,,,,,,,"12:00 PM","12","6:00 PM","18",,,,,,,,,,,,,,,,,"12","18",,,"08","201","2022630019","BX39","1006885","0232841","40.80574161231361","-73.91823826364403",,"(40.805741612314, -73.918238263644)"
"ARIVA - 15","Active","Ariva","Read NYC","337","Alexander Avenue",,"Bronx",,,"""339 Alexander Avenue, Bronx NY, 10454""","(718) 665-5250",,"Yes","Yes","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","None","In Person","No","No","No","Yes","Mar 9","2019-03-09T00:00:00.000","Mar 9","2019-03-09T00:00:00.000","Appointment Only",,,,,,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16","10","16",,,"08","201","2023150038","BX39","1005430","0235237","40.812321573778796","-73.92348642578499",,"(40.812321573779, -73.923486425785)"
"PREP-BK","Active","NYC Free Tax Prep-A-Thon","Brooklyn","99","Avenue P",,"Brooklyn",,,"""99 Avenue P, Brooklyn NY, 11204""",,,"Yes","Yes","http://www.nyc.gov/taxprep",,"""For all filers: income below $54,000.""","""English, Spanish""","No","In Person","No","No","No","Yes","Feb 9","2019-02-09T00:00:00.000","Feb 9","2019-02-09T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16",,,,,"10","16",,,"44","311","3065950033","BK29","0988509","0160620","40.60754008318375","-73.98466139343714",,"(40.607540083184, -73.984661393437)"
"ARIVA - 10","Active","Ariva","Ariva at University Heights","67","West Tremont Avenue",,"Bronx",,,"""67 West Tremont Avenue, Bronx NY, 10454""",,,"Yes","Yes","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Walk-in Only","12:00 PM","12","7:00 PM","19",,,,,,,,,,,,,,,,,,,,,,,,,"12","19","tentavely closed 2/18/19 pending approval",,"14","205","2028690040","BX36","1008560","0249355","40.85106334935035","-73.91212802430219",,"(40.85106334935, -73.912128024302)"
"AARPMN - 23","Active","AARP Tax Aide","Science Industry Business Library","188","Madison Avenue","Lower Level","Manhattan",,,"""190 Madison Avenue, Manhattan NY, 10016""","(917) 275-6975",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 11","2019-04-11T00:00:00.000","Walk-in Only",,,,,"10:00 AM","10","2:00 PM","14",,,,,"10:00 AM","10","2:00 PM","14",,,,,,,,,,,,,"10","14",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","04","105","1008647502","MN17","0989005","0211774","40.74794596023932","-73.98283897869614",,"(40.747945960239, -73.982838978696)"
"FBNYC - 17","Active","Food Bank For New York City","NYCHA Camba Shore Front","5711","Shore Front Parkway",,"Queens","Arverne",,"""5711 Shore Front Parkway, Queens NY, 11692""","(718) 675-3347","48004","Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both","11:00 AM","11","6:30 PM","18.5",,,,,"10:00 AM","10","6:00 PM","18",,,,,,,,,"12:00 PM","12","3:00 PM","15",,,,,"10","18.5","Closed on Saturday March 24th",,"42","316","3036420040","BK81","1009879","0177462","40.653731749726205","-73.90763432699119",,"(40.653731749726, -73.907634326991)"
"UU - 13","Active","Food Bank For New York City","Food Bank For New York City - Downtown Brooklyn","356","Fulton Street","2nd Floor","Brooklyn",,,"""356 Fulton Street, Brooklyn NY, 11201""","(646) 981-6111",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish, Russian""","Non-CAA ITIN","""In Person, Assisted Self-Preparation""","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only","12:00 PM","12","7:00 PM","19","10:00 AM","10","5:00 PM","17","12:00 PM","12","7:00 PM","19","12:00 PM","12","7:00 PM","19",,,,,"9:00 AM","9","4:00 PM","16",,,,,"9","19","Closed 2/18/2019 for President's Day","To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ","33","302","3001540005","BK38","0987554","0191299","40.6917476801098","-73.9880857572883",,"(40.69174768011, -73.988085757288)"
"GB - 6","Active","Food Bank For New York City","Bnai Raphael Chesed Organization Inc.","1741","Mcdonald Avenue",,"Brooklyn",,,"""1741 Mcdonald Avenue, Brooklyn NY, 11230""","(718) 951-6059",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only",,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,"10","16",,,"44","312","3066080079","BK46","0991667","0161658","40.61038709965921","-73.97328685188212",,"(40.610387099659, -73.973286851882)"
"AARPMN - 24","Active","AARP Tax Aide","Roosevelt Island Senior Center","546","Main Street","Computer Room","Manhattan",,,"""546 Main Street, Manhattan NY, 10044""","(212) 980-1888",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 9","2019-04-09T00:00:00.000","Walk-in Only",,,,,"9:00 AM","9","1:00 PM","13",,,,,,,,,,,,,,,,,,,,,"9","13",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","05","108","1013730030","MN31","0998167","0216818","40.76178078263468","-73.949762449388",,"(40.761780782635, -73.949762449388)"
"FBNYC - 84","Active","Urban Upbound","Sunnyside","43-31","39th Street",,"Queens","Sunnyside",,"""43-31 39th Street, Queens NY, 11104""","(718) 784-0877","7","Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","""English, Spanish""","None","In Person","Yes","Yes","No","Yes","Feb 6","2019-02-06T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,,,,,"10:00 AM","10","5:00 PM","17",,,,,,,,,,,,,,,,,"10","17",,,"26","402","4001910005","QN31","1004780","0210778","40.745189638042966","-73.92590931000171",,"(40.745189638043, -73.925909310002)"
"FBNYC - 59","Active","MMCC","FORT INDEPENDENCE","3350","BAILEY AVENUE","1STFL","Bronx",,,"""3350 BAILEY AVENUE, Bronx NY, 10463""","(718) 882-4000","208","Yes","Yes","http://www.mmcc.org",,"Open to all taxpayers.","""English, Spanish""","Non-CAA ITIN","""In Person, Drop Off""","Yes","Yes","Yes","Yes","Jan 12","2019-01-12T00:00:00.000","Apr 9","2019-04-09T00:00:00.000","Both",,,,,"11:00 AM","11","2:00 PM","14",,,,,"11:00 AM","11","2:00 PM","14",,,,,,,,,,,,,"11","14",,,"14","208","2032610102","BX28","1011698","0259935","40.88009302279556","-73.90074194940367",,"(40.880093022796, -73.900741949404)"
"FBNYC - 37","Active","Food Bank For New York City","Springfield Gardens Church Of The Nazareth","145-01","Farmers Boulevard",,"Queens","Jamaica",,"""145-01 Farmers Boulevard, Queens NY, 11434""","(718) 528-0983",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,"10:00 AM","10","4:00 PM","16","10:00 AM","10","4:00 PM","16","10:00 AM","10","4:00 PM","16","10:00 AM","10","4:00 PM","16",,,,,,,,,"10","16",,,"31","413","4133150009","QN03","1048795","0182079","40.66620621190114","-73.76733921631954",,"(40.666206211901, -73.76733921632)"
"FBNYC - 25","Active","Food Bank For New York City","NYCHA Sheepshead Bay CAMBA","3679","Nostrand Avenue",,"Brooklyn",,,"""3679 Nostrand Avenue, Brooklyn NY, 11229""","(347) 627-6570",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,"6:30 PM","18.5","8:30 PM","20.5",,,,,"6:30 PM","18.5","8:30 PM","20.5",,,,,,,,,,,,,"18.5","20.5",,,"46","315","3074051001","BK17","1000729","0155740","40.59413117718296","-73.940663498932",,"(40.594131177183, -73.940663498932)"
"FBNYC - 66","Active","Urban Upbound","Astoria","4-25","Astoria Boulevard",,"Queens","Astoria",,"""4-25 Astoria Boulevard, Queens NY, 11102""","(718) 784-0877","7","Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","""English, Spanish, Arabic""","None","""In Person, Drop Off""","Yes","Yes","No","Yes","Jan 24","2019-01-24T00:00:00.000","Apr 13","2019-04-13T00:00:00.000","Appointment Only",,,,,,,,,,,,,"11:00 AM","11","6:00 PM","18",,,,,"9:00 AM","9","3:00 PM","15",,,,,"9","18",,,"22","401","4004900101","QN71","1002730","0220868","40.77288861908849","-73.93327981400081",,"(40.772888619088, -73.933279814001)"
"ARIVA - 11","Active","Ariva","Ariva at Part Of the Solution","2759","Webster Avenue",,"Bronx",,,"""2759 Webster Avenue , Bronx NY, 10458""","(718) 220-4892",,"No","No","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Feb 3","2019-02-03T00:00:00.000","Apr 14","2019-04-14T00:00:00.000","Appointment Only",,,,,,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16","10","16",,,"15","207","2032780084","BX05","1015665","0254677","40.86564821005184","-73.8864210671041",,"(40.865648210052, -73.886421067104)"
"ARIVA - 14","Active","Ariva","Ariva at University Neiborhood Housing Program","2715","Bainbridge Avenue",,"Bronx",,,"""2715 Bainbridge Avenue, Bronx NY, 10458""","(718) 933-2539",,"No","No","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","Non-CAA ITIN","""In Person, Assisted Self-Preparation""","Yes","Yes","No","Yes","Jan 30","2019-01-30T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,,,,,"1:00 PM","13","5:00 PM","17",,,,,,,,,"10:00 AM","10","4:00 PM","16",,,,,"10","17",,,"15","207","2032940037","BX05","1014446","0254859","40.86615199840451","-73.89082745927985",,"(40.866151998405, -73.89082745928)"
"UU - 4","Active","Food Bank For New York City","Good Shepherd  - Monterey Coernestone Community Center","2100","Monterey Avenue",,"Bronx",,,"""2100 Monterey Avenue, Bronx NY, 10457""","(718) 367-6689",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Walk-in Only",,,,,"7:00 PM","19","9:30 PM","21.5","7:00 PM","19","9:30 PM","21.5","7:00 PM","19","9:30 PM","21.5",,,,,,,,,,,,,"19","21.5",,,"15","206","2030620021","BX17","1013825","0249079","40.850289745705524","-73.8930981626755",,"(40.850289745706, -73.893098162675)"
"PREP-SI","Active","NYC Free Tax Prep-A-Thon","Staten Island","140","Palma Drive",,"Staten Island",,,"""140 Palma Drive, Staten Island NY, 10304""",,,"Yes","Yes","http://www.nyc.gov/taxprep",,"""For all filers: income below $54,000.""","""English, Spanish""","No","In Person","No","No","No","Yes","Feb 9","2019-02-09T00:00:00.000","Feb 9","2019-02-09T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16",,,,,"10","16",,,"49","501","5028880040","SI08","0961156","0162076","40.611507433027946","-74.08317700943735",,"(40.611507433028, -74.083177009437)"
"FBNYC - 57","Active","MMCC","BRONX EOC","1776","BATHGATE AVENUE","1STFL","Bronx",,,"""1776 BATHGATE AVENUE, Bronx NY, 10457""","(718) 882-4000","208","Yes","Yes","http://www.mmcc.org",,"Open to all taxpayers.","""English, Spanish""","Non-CAA ITIN","""In Person, Drop Off""","Yes","Yes","Yes","Yes","Jan 25","2018-01-25T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Both",,,,,,,,,,,,,"10:00 AM","10","3:00 PM","15","10:00 AM","10","3:00 PM","15",,,,,,,,,"10","15",,,"15","203","2029220002","BX01","1012218","0246588","40.84345792512007","-73.89891721199544",,"(40.84345792512, -73.898917211995)"
"FBNYC - 8","Active","Food Bank For New York City","Northern Manhattan Improvement Corporation","45","Wadsworth Avenue","Basement","Manhattan",,,"""45 Wadsworth Avenue, Manhattan NY, 10033""","(646) 981-6111",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only",,,,,,,,,"9:00 AM","9","4:00 PM","16","12:00 PM","12","7:00 PM","19","9:00 AM","9","4:00 PM","16","9:00 AM","9","4:00 PM","16","9:00 AM","9","4:00 PM","16","9","19","Closed 2/18/2019 for President's Day","To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ","10","112","1021440003","MN36","1001508","0247572","40.846186142125525","-73.93762306696817",,"(40.846186142126, -73.937623066968)"
"FBNYC - 22","Active","Food Bank For New York City","NYCHA Henry Street Settlementÿ","99","Essex Street","3rd Floor","Manhattan",,,"""99 Essex Street, Manhattan NY, 10002""","(212) 478-5400",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish, Cantonese, Mandarin""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,,,,,"11:00 AM","11","7:00 PM","19","9:00 AM","9","5:00 PM","17",,,,,,,,,,,,,"9","19",,,"01","103","1004100064","MN27","0987573","0201207","40.718942798485116","-73.98801235377732",,"(40.718942798485, -73.988012353777)"
"ARIVA - 1","Active","AARP Tax Aide","YM & YWHA Washington Heights","54","Nagle Avenue","3rd Floor","Manhattan",,,"""54 Nagle Avenue, Manhattan NY, 10040""","(212) 569-6200",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only","9:30 AM","9.5","3:00 PM","15",,,,,"9:30 AM","9.5","3:00 PM","15",,,,,,,,,,,,,,,,,"9.5","15",,"Closed on MLK Day 2/18/19","10","112","1021720064","MN35","1003854","0252604","40.85999258444881","-73.92912902527299",,"(40.859992584449, -73.929129025273)"
"ARIVA - 7","Active","Ariva","Ariva Hostos Community College","120","East 149th Street","Bldg Savoy","Bronx",,,"""120 East 149th Street, Bronx NY, 10451""","(718) 319-7981",,"No","No","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","English","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 11","2019-04-11T00:00:00.000","Walk-in Only",,,,,"10:00 AM","10","6:00 PM","18",,,,,"10:00 AM","10","6:00 PM","18",,,,,,,,,,,,,"10","18",,,"17","201","2023500039","BX63","1003879","0237674","40.819014036533","-73.92908234368335",,"(40.819014036533, -73.929082343683)"
"FBNYC - 13","Active","Food Bank For New York City","NYCHA Brooklyn Community Center O'Dwyer Community Center","2945","West 33rd Street",,"Brooklyn",,,"""2945 West 33rd Street, Brooklyn NY, 11224""","(718) 310-5677",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,,,,,,,,,"6:00 PM","18","9:00 PM","21","6:00 PM","18","9:00 PM","21","11:00 AM","11","3:00 PM","15",,,,,"11","21",,,"47","313","3070480015","BK21","0984425","0148356","40.57387888024242","-73.99937006259628",,"(40.573878880242, -73.999370062596)"
"FBNYC - 51","Active","Grow Brooklyn","Lower East Side NYC Health+Hospitals Gotham/Health Gouverneur","227","Madison Street",,"Manhattan",,,"""227 Madison Street, Manhattan NY, 10009""","(347) 682-5606",,"Yes","Yes","http://www.growbrooklyn.org/taxes",,"""Individuals without dependents: $35,000, Families with dependents: $62,000""","English","None","""In Person, Drop Off""","Yes","Yes","No","Yes","Feb 5","2019-02-05T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only",,,,,"10:00 AM","10","6:00 PM","18",,,,,,,,,,,,,"10:00 AM","10","3:00 PM","15",,,,,"10","18",,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","01","103","1002700032","MN28","0987461","0198963","40.71278359703538","-73.98841746158612",,"(40.712783597035, -73.988417461586)"
"AARPMN - 4","Active","AARP Tax Aide","Center on the Square","20","Washington Square North","2nd Floor","Manhattan",,,"""20 Washington Square North, Manhattan NY, 10011""","(212) 777-3555",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Feb 1","2019-02-01T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,"10:00 AM","10","2:00 PM","14",,,,,,,,,"10","14",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","01","102","1005510008","MN23","0984886","0205884","40.73178062877096","-73.99770520258247",,"(40.731780628771, -73.997705202582)"
