"ceqr","project_name","project_description","borough","lead_agency","url"
"14HPD073X","TBX910:Lemle & Wolff","The project is a TPT project consisting of four scattered buildings in the Tremont, Concourse, University Heights, and Hunts Point neighborhoods.Total units will be 138. The buiildings will be rehablitated and use City Capital Funds.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10406-14HPD073X"
"13BSA006X","1776 Eastchester Road","Special Permit (73-36) to operate a physical culture establishment","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9070-13BSA006X"
"14DCP107M","511 West 27th Street","The applicant, 509-511 West 27 Street Limited Partnership, is seeking a certification pursuant to ZR Section 98-61(a) pertaining to High Line access or support easement volumes in the High Line Transfer Corridor.  The proposed action would facilitate a proposal by the applicant to transfer a portion of the unused development rights from 511 West 27th Street to a receiving site located at 515 West 29th Street. The receiving site will use the additional floor area to build an enlargement.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10155-14DCP107M"
"22TLC006X","Kingsdale Dispatch Inc","The proposed location for the base station area is at, 3265 Johnson Avenue, Bronx, N.Y. 10463 (Block 5787/Lot 163). Base meets the  off-street parking requirements as per New York City Taxi and Limousine Commissions Rules and Regulations 59B-15(J).","Bronx","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/16185-22TLC006X"
"13DCP120M","300 Lafayette Street","The applicant, Paco Lafayette, LLC, is seeking a Special Permit pursuant to ZR Section 74-712(a)* to modify use regulations in an M1-5B district to allow Use Group 6 uses below the level of the second story; a Special Permit pursuant to ZR Section 74-712(b)* to modify applicable height and setback regulations in an M1-5B district; and a Special Permit pursuant to ZR Section 74-922 to allow retail uses in addition to those in Use Group 6 with no limitation on floor area per establishment.  The proposed action would facilitate a proposal by the applicant to construct a mixed office and commercial development.  *Modifications to these sections have been approved by the City Planning Commission and are subject to approval by the City Council.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9528-13DCP120M"
"11DEP018R","Maintenance Accessway in Oakwood Beach Bluebelt","The New York City Department of Environmental Protection (DEP) proposes to create a maintenance accessway in the Oakwood Beach Bluebelt. The project will be similar in scope to other permitted accessways in the New Creek Bluebelt that are being completed under New York State Department of Environmental Conservation (NYSDEC) Permit Numbers 2-6499-00012/00005 and 2-6499-00012/00006. The project would include the removal of Phragmites australis (phragmites), debris and soil to approximately six inches in depth in order to remove all debris and create a buffer between private property and Bluebelt property, and a manageable maintenance accessway. DEP would be importing fill (approximately 175 cubic yards) from off-site to fill any remaining holes left after debris and soil removal operations. The fill would be used to provide smooth grading from one side of the holes to the other. The fill used in these areas that are to be seeded shall be clean earth, consisting of a mixture of silt, clay, and sand.","Staten Island","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7581-11DEP018R"
"16DEP033Q","Old Douglaston Pumping Station Implementation of Resiliency Measures","Following Hurricane Sandy, the New York City Department of Environmental Protection (DEP) determined that the Old Douglaston Pumping Station (PS) requires flood protection measures to withstand the risk of flood damage from extreme storm surge events and continued sea level rise.  DEP is proposing to relocate and elevate electrical controls to increase the facility's resiliency.","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11505-16DEP033Q"
"20DCP031X","755 Rhinelander Avenue HOW","The applicant, Van Nest Assembly of God Church, seeks chair Certification pursuant to ZR 23-35 to waive the parking requirements of ZR 25-32.","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14671-20DCP031X"
"12TLC021R","Forest Avenue Car Service Inc.","Relocation of base and osp to a single location 1841 Forest Avenue, SI, NY 10303.","Staten Island","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8404-12TLC021R"
"18DCP067X","Berczely Residence","SNAD Authorization for enlargement and patio expansion to back of existing single family residence","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13305-18DCP067X"
"12TLC023Q","Ten One Con Corp.","To Relocate a livery car service with the proposed base office and the off-street parking facility at 48-02 25th Avneue, Queens, N.Y. 11103.  B/L: 744/40.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8414-12TLC023Q"
"12BSA041X","601 East 156th street","Special Permit (ZR 73-36) to allow a PCE on the cellar and first floor in an existing 11-story mixed-use building in a C2-3/R7X zoning district.","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8246-12BSA041X"
"10BSA050Q","85-15 Queens Boulevard","Variance to allow a commercial use contrary to use and bulk regulations","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/6731-10BSA050Q"
"99BSA045M","300 West 125th Street","Construction of a Physical Culture Establishment","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2297-99BSA045M"
"14DEP003Q","Tallman Island Crib Stabilization","The project would include the placement of stone to repair damage to the protective bulkhead at the Tallman Island Wastewater Treatment Plant (WWTP).  The bulkhead consists of a 185 foot long, 9 foot wide concrete crib approximately 12 feet high.  The crib retains the perimeter plant access road.  The ends of the concrete crib headers have deteriorated resulting in the front stretchers falling out and loss of fill within the cribs. The proposed repair will excavate within the cribs and place rip-rap inside to prevent further erosion and failure or the bank.     		    									  The erosion of the backfill material has created a washout of material under and behind the concrete retaining wall landward of the bulkhead, and has undermined a portion of the overlying roadway to the point where it is not usable to traffic. The affected roadway is crucial to the delivery of chemicals such as hypochlorite to the Tallman Island WWTP facility. The proposed action is designed to expedite a repair that would restore safe use of the affected roadway and prevent exacerbation of the existing condition. Construction activities would take up to three weeks.       The scope of work includes the following major items:    	Clearing debris, including but not limited to timber and concrete objects, from work area  	Excavation   	Local backfilling as required  	Placing filter fabric, bedding stones and rip-rap in the areas to be repaired","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9824-14DEP003Q"
"08BSA065K","Sephardic Synagogue  Institute - 511 Avenue R","The construction of a 6 story synagogue. The existing building on the subject lot would be demolished as part of the proposal. The site is located in an R6A/Ocean Parkway Special Zoning District.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/6075-08BSA065K"
"12HPD050X","Ileen R. Smith","The Department of Housing Preservation (HPD) is proposing to fund construction activities involving the moderate rehabilitation of the project Ileen R. Smith 1628 University Avenue, Bronx.  Construction funding would be provided through HPD's Low Income Housing Tax Credit (LIHTC) Portfolio Preservation (Year 15) Program.  The proposed action is intended to preserve the affordability of the existing housing units.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8843-12HPD050X"
"01DEP088U","Modification to Watershed Regulations to Prohibit New Gallery Systems in the City's Upstate Watersheds","NYCDEP is proposing to modify Chapter 18 of the NYC Rules and Regulations for the Protection from Contamination, Degradation and Pollution of NYC Water Supply and Its Sources.  A galley system employs structual chambers following a septic tank as an alternative to a standard absorption field. Specifically, the modification would add a definition of a galley system to Section 18-16 of the regulations and would change Section 18-38 (b)(2) to include galley systems on the list of prohibited subsurface sewage systems.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3045-01DEP088U"
"18DOS012Y","Bill to Increase Penalties for Illegal Dumping and Add Sidewalks to Prohibited Dumping Sites","Intro. No. 656A would amend the illegal dumping and improper disposal provisions of the Administrative Code of the City of New York, Sections 16-119 and 16-120.  It is currently unlawful to dump household or trade waste from a vehicle or dump truck on a 'street, lot, park, public place, wharf, pier, dock, bulkhead, slip, navigable waterways or other area whether publicly or privately owned.'  Intro. 656A would add 'sidewalk' to this list.  Criminal and civil penalties for illegal dumping would also be adjusted.  Identifying information found on any waste improperly disposed of in any of these areas would be rebuttable presumption of that person's guilt.  The proposed law would take effect 60 days after Intro. 656A becomes law.","Citywide","Department of Sanitation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13772-18DOS012Y"
"11DEP014K","26th Ward Main Sewage Pumps 26W-15","Replacement of Main Sewage Pumps at 26th Ward WPCP; no change in capacity or rating.","Brooklyn","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7518-11DEP014K"
"15TLC023K","Church Avenue Express","Establish a new livery business. The proposed location for the dispatch office area is 3411 14th Avenue, Brooklyn, N.Y. 11218. The proposed location for the off-street parking area is at 3400 Forth Hamilton Pkwy, Brooklyn, N.Y. 11218.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10856-15TLC023K"
"12DCP089M","First Special Permit Renewal","The applicant, 420 Broome Street Owner, LLC, is seeking to renew a special permit granted pursuant to ZR Section 74-782 concerning Joint Living-Work Quarters for Artists.  The proposed action would facilitate a proposal by the applicant to develop Joint Living-Work Quarters for Artists on the upper floors of a building located at 200 Lafayette Street, aka 420 Broome Street, Manhattan.  The project site is located within the NYC SoHo-Cast Iron Historic District Extension.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8314-12DCP089M"
"15HPD089X","601 East 178 Street","Rehabilitation of an exisitng five-story building with 21 units. Scope of work includes, but is not limited to, roof replacement, masonry work, window replacment, and kitchen and bathroom repairs.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11334-15HPD089X"
"19BSA097K","2311 East 4th Street","Special Permit (§73-622) to permit the enlargement of an existing single-family residence contrary to ZR 23-47 (rear yard); ZR 23-143 (open space) and 23-461(a) (side yard).  R4 Special Ocean Parkway District.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14315-19BSA097K"
"04DOT007X","East 166th Street Pedestrian Bridge","The DOT proposes to eliminate the portion of E 166th St. from the westerly right-of-way line of Park Ave. to the easterly right-of-way line of Brook Ave. The East 166th St Bridge has been deemed unnecessary and was demolished on 4/21/95.","Bronx","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3891-04DOT007X"
"02BSA162K","Winiarski","Pursuant to Sec 72-21 of the ZR of the City of NY as amended to request variances from the provisions of Sections 24-11 and 23-141 to permit the construction of a six story residential and community facility  building","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3648-02BSA162K"
"14HPD096M","2321-2339 Adam Clayton Powell Boulevard","This is an 88 unit project financed through FHA that includes no HPD funding.  The residential property is under private ownership.  The only HPD action is a tax exemption.  The scope of work is moderate and does not include any ground disturbances. This request is for a Type II determination.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10500-14HPD096M"
"12DCP049M","312 - 318 West 37th Street","The applicant, West 37th Street Partners, LLC, is seeking a Certification pursuant to ZR Section 93-31 (District Improvement Fund Bonus).  The proposed action would facilitate a proposal by the applicant to increase the basic maximum floor area ratio for a zoning lot located at 312 - 318 West 37th Street (Block 760, Lot 51), Manhattan, from 10 to 12, resulting in an additional 19,947.50 square feet of floor area on the site.  The applicant intends to redevelop the property with a hotel.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8139-12DCP049M"
"13DCP004R","136 & 140 Hecker Street, 59 Craig Avenue","The applicant, Palermo Construction Corp. is seeking a certification pursuant to ZR Section 107-121 pertaining to public school seats.  The proposed action would facilitate a proposal by the applicant to construct two one-family residences and one two-family residence.  This proposal is related to CEQR No. 12DCP162R, for which a Type II determination was issued on May 24, 2012.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9004-13DCP004R"
"15BSA212M","650 Broadway","Special Permit (73-36) to allow the legalization of Physical Culture Establishment(PCE) Clockwork Jiu Jitsu, on the second floor of a five-story plus cellar building within M1-5B zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11410-15BSA212M"
"12DCP107M","610 Lexington Avenue","The applicant, Park Avenue Hotel Acquisition LLC, is seeking a renewal of a Special Permit pursuant to ZR Sections 47-79, 81-212 and 81-277.  The proposed actions would facilitate a proposal by the applicant to construct a 63-story building containing residential, hotel and retail uses.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8438-12DCP107M"
"15DCP145M","27 East 4th Street","The applicant, Kalodop II park corp., is seeking a text amendment to ZR Section 74-712 and corresponding special permit pursuant to that same section to waive height and setback and use requirements to facilitate the development of a hotel/office at 27 East 4th Street, in the NoHo Historic District","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11185-15DCP145M"
"19DME009Q","Flux Factory Acquisition","The proposed action associated would be the allocation of New York City Capital funding in the amount of $4,000,000 would allow the Flux Factory to acquire the aforementioned property. No plans for building renovations, upgrades, or structural work at this time. The proposed action would facilitate the Applicant to acquire the building it currently occupies from a private owner, with no change in use.","Queens","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14219-19DME009Q"
"18HPD012X","3188 Villa Avenue","Construction financing is being sought in connection with the construction of a proposed 9-story and cellar, 70-unit supportive housing building (community facility with sleeping accommodations under zoning) to be located at 3188 Villa Avenue in the Kingsbridge Heights neighborhood of the Bronx. The project sponsor is the Doe Fund, a not-for-profit organization providing services for the homeless and other populations in need. All 70 units would be reserved for  individuals earning up to 60% of Area Median Income (AMI). Sources of funding for the proposed project would include the U.S. Department of Housing and Urban Developments (HUD) HOME Investment Partnerships Program (HOME), HUDs Project Based Section 8 Housing Assistance Payments Program, Low Income Housing Credits and HPDs Supportive Housing Loan Program (SHLP).","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13126-18HPD012X"
"18DEP008X","Upgrade of the Fire Alarm Systems at Hunts Point WTTP","Update the existing fire alarm system to comply with current fire code regulations.","Bronx","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13221-18DEP008X"
"15BSA046X","3524 Third Avenue","Special Permit (§73-36) to allow a physical Culture Establishment on the ground floor of an existing on-story and cellar commercial building at 3524 Third Avenue, located within an M1-1/R7-2 Zoning district.","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10889-15BSA046X"
"08HPD007K","Mother Gaston/Bergen","Disposition of the properties. To develop a new 3 story residential building to each property. Each building will consist of three affordable income housing units.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5937-08HPD007K"
"20HPD050X","Intervale Cluster","The Department of Housing Preservation & Development (HPD), through its Low-Income Housing Tax Credit Portfolio Preservation (Year 15) Program, is seeking approval for construction activities involving the moderate rehabilitation of the above-referenced properties. HPD is proposing to transfer the ownership of six existing multi-family residential buildings to the project sponsor, MHANY. In addition, the project sponsor will receive a loan through HPDs Low-Income Housing Tax Credit Preservation (Year 15) Program and a Private Loan from the New York City Housing Development Corporation (HDC) to fund capital work. The project will also receive a tax exemption pursuant to Article XI of the Real Property Tax law of the State of New York. The proposed actions are intended to preserve the affordability of the existing six multi-family residential buildings, comprised of 112 affordable dwelling units.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14843-20HPD050X"
"18TLC019Q","Surf Car Systems Inc.","Relocation of a livery Car service. The proposed dispatch office location is at 1092 Beach 22 Street, Far Rockaway, N.Y. 11691.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13792-18TLC019Q"
"20DCP088R","101 Circle Road (2nd Renewal)","A ZR 11-43 for renewal of authorization is being sought by private applicant McGinn Real Estate Trust at 101 Circle Road in Todt Hill neighborhood, Community District #2, Staten Island.  Second renewal of authorization for N110245ZAR.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14830-20DCP088R"
"17BSA026M","330 East 59th Street","Special Permit (§73-36) to permit the operation of a physical culture establishment (ICE NYC) in portions of the ground and cellar of an existing building. C2-5/R8 zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12443-17BSA026M"
"16DOT025M","Henry Hudson Parkway Northbound Bridge over the Ramp to 96th Street","NYCDOT, as part of its efforts to extend the useful life of its bridges, is proposing  necessary maintenance and rehabilitation work of the Henry Hudson Parkway Northbound Bridge over the Ramp to 96th Street and is located 0.7 mile northeast from intersection of Route 9A and 79th Street in Manhattan Community District 7. The existing bridge roadway geometry consists of three northbound travel lanes on Henry Hudson Parkway. The Henry Hudson Parkway Northbound Bridge is a one-span arch with fill under concrete pavement slab and asphalt overlay on top of the bridge having 2,000 square foot of deck area.","Manhattan","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11888-16DOT025M"
"14BSA016M","157 Columbus Avenue","Special Permit (§73-36) to allow a physical culture establishment (Cross Fit) located in the cellar level of an existing 31-story building.  C4-7 zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9917-14BSA016M"
"01DCP075M","52 East 64th Street","Would legalize an existing veterinary office use which has been operating in the basement since before 1961 and on the 1st floor since 1985.  Currently occupies 3,446 gross sq ft. Upper floors of the building 2-4 are occupied by 4 residential units.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2969-01DCP075M"
"13TLC024K","Mexico La New Poblanita Express Inc.","Establish a new livery service with the dispatch office at 289 Neptune Ave., Brooklyn, N.Y. 11235 and the off-street parking at 292 Neptune Ave., Brooklyn, N.Y. 11235.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9216-13TLC024K"
"01DCP077X","East Tremont Avenue Rezoning","The proposed action would permit new commercial uses within the rezoning area The applicant owns two of the affected properties 3711-3713 East Tremont Avenue and 3677-3691 East Tremont Avenue( Lots 7 and 19). Buildings have been constructed on both lots The proposed action would allow commercial uses in these buildings which could result in a total of approximately 15,642 gross square feet of retail space and 7,200 gross square feet of office space. Absent the proposed rezoning these properties would be occupied by an equivalent amount of community facility space. In addition the proposed C1-3 overlay could result in the conversion of existing residential and community facility space to commercial floor area. The Environmental Assessment Statement identifies nine properties in the rezoning area where such development could occur In total approximately 13 dwelling units and 2,200 square feet of existing occupied community facility.","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2968-01DCP077X"
"02BOE001Q","47-25 34th Street","Site selection for an existing office/warehouse/storage facility for the BOE to enter into a long term lease.  Approximately 77 Board of Elections employees, typically between 9 and 5. It will house and maintain over 1800 voting machines and store election supplies","Queens","NYC Board of Elections","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3119-02BOE001Q"
"01DCP074M","360-366 West 43rd Street","The displacement of approximately 8,100 sq. ft. of commercial space.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2891-01DCP074M"
"14DHS001M","175 West 137th Street",,"Manhattan","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9801-14DHS001M"
"04BSA062R","307 Hamden Avenue","To permit in an R3-2 zoning district, the proposed construction of a 1-family semi-attached home, with a front yard of less than 15 feet","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9567-04BSA062R"
"20BSA086R","235 Oder Avenue","Proposed construction of a single-family residence, not fronting on a legally mapped street, contrary to General City Law §36. R3A zoning district.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15095-20BSA086R"
"13BSA082M","2626-2628 Broadway","This application is filed pursuant to section 73-21 of the Zonin g Resolution to allow a Use Group 8 motion picture theater at 2626-2628 Broadway, which is located in an R9A/C1-5 zoning district, in modification of section 32-17 of the Zoning Resolution.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9376-13BSA082M"
"19BSA110K","1334 	East 24th Street","Special Permit (§73-622) to permit the enlargement  of an existing single-family home contrary to FAR and open space (ZR §23-142); side yards (ZR §§23-461) and rear yard (§23-47).  R2 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14472-19BSA110K"
"20BSA070M","15 	West 39th Street","Special Permit (§73-36) to permit the operation of a physical cultural establishment (Sportslab) to be located on the fourth floor of an existing commercial building contrary to ZR §42-10.  M1-6 zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15058-20BSA070M"
"21DEP014U","KENS-EAST-SSWM Subsurface Investigation Program","DEP will conduct a subsurface geotechnical investigation to support the design for improving soil protection and stabilization of the Kensico Reservoirs western shorelines running south of the Upper Effluent Chamber (UEC).","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15228-21DEP014U"
"19DEP007U","Delaware Shaft 18 Paving of Access Road","The scope of the proposed project includes paving an existing access road. The purpose of the projet is to maintain access and improve safety for staff and visitors to DEP facilities.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13872-19DEP007U"
"04DEP001U","Kensico Road Closure and Traffic Improvement Measures","West Lake Drive located on top of the Kensico Dam was closed for vehicular traffic on September 11, 2001 as a measure to improve security and safety for the Dam structure.   Although the road was briefly reopened to vehicular traffic (passenger cars only) on January 4, 2002, it has been closed to all vehicular traffic since March 19, 2003.  The closure of West Lake Drive has resulted in rerouting traffic to the roadway network surrounding the Kensico Dam study area.     Since the closure of West Lake Drive in 2003, DEP, in conjunction with, New York State Department of Transportation, Westchester County Department of Public Works, and the Towns of Mount Pleasant and North Castle, has been analyzing the effect of the road closure on area traffic levels and developing roadway improvement measures on the surrounding street network to restore levels to how they were prior to the road closure.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7333-04DEP001U"
"19HPD123M","595 Columbus Avenue","The Department of Housing Preservation & Development (HPD), through its Low-Income Housing Tax Credit Portfolio Preservation (Year 15) Program, is seeking approval of several actions in connection with the above-referenced property in the Upper West Side neighborhood of Manhattan. These actions include  extending the term of an existing HPD regulatory agreement and tax exemptions pursuant to Section 577 of the Private Housing Finance Law and Section 420-c of the NYS Real Property Tax Law. The proposed actions are intended to preserve the affordability of a total of 169 existing dwelling units.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14459-19HPD123M"
"11DEP017Q","Douglaston Pumping Station Stormwater Detention",,"Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7576-11DEP017Q"
"18DCP025X","198 East 135th Street","Waterfront certification (of exemption) for residential development","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13105-18DCP025X"
"16DCP126R","165 Pleasant Plains Avenue","The Applicant, Jayden Estates, is requesting a CPC Chairperson Certification pursuant to Z.R. Section 107-08 'Future Subdivision' and Z.R. Section 107-121 'School Seats'. The proposed Certifications would facilite a proposal by the Applicant to develop 2 Two-Family Residential dwellings on the Applicant owned property at 165  Pleasant Plains Avenue (Block 7499, Lot 25).","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11989-16DCP126R"
"14DCP057R","228 Vineland Avenue","The applicant, Julio Mulkay, is seeking a certification pursuant to ZR Section 107-08 pertaining to subdivision and ZR Section 107-121 pertaining to public schools.  The proposed action would facilitate a proposal by the applicant to subdivide one zoning lot in to three zoning lots for the purpose of constructing three two-family residences.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9984-14DCP057R"
"14TLC031K","Parada Car Service","Establishment of a livery car service with the proposed dispatch office located at 125 42nd Street, Brooklyn, N.Y. 11232 and the proposed location of the off-street parking area at 4124 Second Avenue, Brooklyn, N.Y. 11232.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10115-14TLC031K"
"12DCP099R","5697 Amboy Road","The applicant, Mary Ellen O'Malley, is seeking a certification pursuant to ZR Section 107-08.  The proposed action would facilitate a proposal by the applicant to subdivide one zoning lot into two zoning lots to maintain one existing one-family detached residence on a separate zoning lot and another zoning lot for future residential development.  The project site is located at 5697 Amboy Road, Staten Island, Community District 3.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8341-12DCP099R"
"18DCP150K","29 Jay Street Rezoning","The applicant,  requesting a Zoning Map change from M1-4/R8A to M1-6/R8X and a Zoning Text Amendment to modify base height, setback, and yard regulations to facilitate a new 189,285 sf office development with ground floor retail in DUMBO, CD 2, Brooklyn.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13049-18DCP150K"
"16DOT043K","9 DeKalb Avenue","The proposed project is a temporary street closure during construction to facilitate the development of a 426- unit residential building with approximately 149,000 gross suare feet of commercial space.  The proposed project requires a permit from the NYC Departrment of Transportation for the closure of Fleet Street to facilitate construction of an immediately adjacent portion of the propsed development.","Brooklyn","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12166-16DOT043K"
"13BSA151K","1034 East 26th Street","Special Permit (§73-622) for the enlargement of an existing single family home, contrary to floor area and open space (§23-141); side yards (§23-461) and less than the required rear yard (§23-47). R2 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9684-13BSA151K"
"14DCP154Q","Vaux Road Demapping","The applicant, Firecom Inc., is proposing to demap Vaux Road between 59th and 60th Streets in the Woodside neighborhood of Queens.","Queens","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9626-14DCP154Q"
"17DCP196R","46 East Loop Road","Proposed new detached home, accessory two car garage and in-ground swimming pool with tree and topo modifications.  New project - previous approvals listed under P2015R0071","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13002-17DCP196R"
"16DHS030K","99 Meserole Avenue",,"Brooklyn","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12057-16DHS030K"
