"organizationname","brooklyn","bronx","manhattan","queens","staten_island","fax","phone","url","nourl","description","outsideloc","outsidelocdesc","aging","anti_discrimination_human_rights","arts_culture","business","child_care_parent_information","community_service_volunteerism","counseling_support_groups","disabilities","domestic_violence","education","employment_job_training","health","homelessness","housing","immigration","legal_services","lesbian_gay_bisexual_and_or_transgender","personal_finance_financial_education","professional_association","veterans_military_families","victim_services","women_s_groups","youth_services","faith_based_organization","foundation","is_registered_with_the_attorney_general_s_office","new_york_city_agency","none_of_the_above","nonprofit","comments","other_government_organization","published","location_1","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","address1","address2","city","postcode"
"NYC Public Design Commission","Y","Y","Y","Y","Y",,"2126399675","http://nyc.gov/html/artcom/html/home/home.shtml","N","Established in 1898 as the Art Commission, New York City's design review agency was renamed the Design Commission in July 2008 to better reflect its mission. The Design Commission reviews permanent works of art, architecture and landscape architecture proposed on or over City-owned property. Projects include construction, renovation or restoration of buildings, such as museums and libraries; creation or rehabilitation of parks and playgrounds; installation of lighting and other streetscape elements; and design, installation and conservation of artwork.","N",,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Landmarks Preservation Commission","Y","Y","Y","Y","Y",,"2126399675",,"N","The Landmarks Preservation Commission is the New York City agency that is responsible for identifying and designating the City's landmarks and the buildings in the City's historic districts. The Commission also regulates changes to designated buildings. The agency consists of eleven Commissioners and a full-time staff.","N",,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Vannguard Urban Improvement Association, Inc.","Y","N","N","N","N",,"7184533330",,,,,,"N","N","Y","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.680919, -73.940518)","BROOKLYN ","40.680919","-73.940518","3","36","273","3053556","3018560001","Stuyvesant Heights                                                         ","613-619 Throop Avenue, 3rd Fl.",,"Brooklyn","11216"
"New Genesis Worldwide Inc","N","N","N","Y","N","7184680281","7188208940",,"Y","Childrens after school learning program","N",,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.734716, -73.810635)","QUEENS   ","40.734716","-73.810635","8","24","122702","4455420","4067920030","Pomonok-Flushing Heights-Hillcrest                                         ","65-64 Parsons Blvd","Suite 1A","Flushing","11365"
"North Brooklyn Coalition Against Family Violence ( the Coalition)","Y","N","N","N","N","7183029090","7183024073","http://www.northbrooklyncoalition.org","N","The Coalition provides the following services for women and their minor children who are affected by domestic violence: crisis intervention services with an emphasis on safety planning, individual and support groups counseling,escort to criminal and family courts and police precincts,home visits,advocacy,information and referrals, assistance in filing the Crime Victim Board (CVB) compensation claim applications,workshops for the community to raise awareness about Domestic violence.","N",,"N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","Y","Y","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,,,"Brooklyn",
"LD Resources Foundation","N","N","Y","N","N",,"6467010000","http://www.ldrfa.org","N","The LD Resources Foundation is a committed to overcoming barriers, and providing access to knowledge, for adults with learning disabilities. We provide awards to students with LD to assist them in their studies in college. In addition, we are undertaking new projects to assist this population.","N",,"N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.74572, -73.983991)","MANHATTAN","40.74572","-73.983991","5","2","74","1016990","1008610027","Midtown-Midtown South                                                      ","31 East 31st Street","Suite 607","New York","10016"
"National Organization for Women-Brooklyn","Y","N","N","N","N",,"7189517441","http://www.brooklynnow.org",,"Brooklyn-Queens NOW is a grass roots, civil rights organization dedicated to women's rights issues.",,,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"2355 E. 12th St. #5M",,"Brooklyn",
"Metastatic Breast Cancer Network","N","N","Y","N","N",,"8885000370","http://www.mbcnetwork.org","N","MBCN is a national independent advocacy group of and for individuals with metastatic breast cancer. We give those living with stage 4 breast cancer a greater voice in the breast cancer community. MBCN is dedicated to helping those with metastatic breast cancer be their own advocate through providing education and information on treatments and coping with the disease.","N",,"N","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"PO Box 1449",,"New York","10159"
"NYSARC, Inc., NYC Chapter Assn. for Help of Retarded Children","N","N","Y","N","N",,"2127802617","http://www.nysarc.org/family/index.asp",,,,,"N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.736787, -73.989305)","MANHATTAN","40.736787","-73.989305","5","2","52","1016131","1008460033","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","200 Park Avenue S",,"New York","10003"
"VISIONS Services for the Blind & Visually Impaired","N","N","Y","N","N",,"2126251616","http://www.visionsvcb.org/",,,,,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.725363, -74.009214)","MANHATTAN","40.725363","-74.009214","2","3","37","1076084","1005957501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","500 Greenwich Street, 3rd Fl",,"New York","10013"
"Ms. Foundation for Women","N","N","Y","N","N",,"2126814549","http://www.ms.foundation.org",,"Founded in 1973, the Ms. Foundation for Women is the first and leading women’s fund and the foundation engaged across the United States to build women’s collective power to ignite change. The Ms. Foundation delivers strategic grants, capacity building and",,,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.70438, -74.006427)","MANHATTAN","40.70438","-74.006427","1","1","7","1000871","1000370001","Battery Park City-Lower Manhattan                                          ","120 Wall Street, 33rd Floor",,"New York","10005"
"Life Force: Women Fighting AIDS, Inc.","Y","N","N","N","N","7187974011","7187970937","http://www.lifeforceinc.org",,"The mission of Life Force is to reduce the incidence of HIV/AIDS and to address the other broad range of health care issues of women of color particularly in Brooklyn, NY.",,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"175 Remsen St., Suite 1100",,"Brooklyn",
"Women's World Organization for Rights, Literature, and Development","N","N","Y","N","N","2129472973","2129472915","http://www.wworld.org/",,"We research, explore, and educate the public about the scope and prevalence of gender-based censorship, and work to have this problem redefined as a human rights abuse that violates the right to free expression of more than half the world's population.",,,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"208 West 30 St., Suite 901",,"New York",
"La Leche League of Marine Park/Madison","Y","N","N","N","N",,"7183393806","http://llli.org","N","Breastfeeding Support for mother and baby. Free monthly support group and telephone help.","Y","All over the US and Internationally","N","N","N","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,,,"Brooklyn","11229"
"Jewish War Veterans-Department of New York","N","N","Y","N","N",,"2123496640","http://www.jwv.org","N","Mission to encourage the doctrine of universal liberty, equal rights, and full justice to all men and women; to preserve the spirit of comradeship by mutual helpfulness to comrades and their families; to cooperate with and support existing educational institutions and establish educational institutions, and to foster the education of ex-servicemen and ex-servicewomen, and our members in the ideals and principles of Americanism.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.716696, -74.004163)","MANHATTAN","40.716696","-74.004163","1","1","31","1001835","1001700006","SoHo-TriBeCa-Civic Center-Little Italy                                     ","346 Broadway","Suite 810","New York","10013"
"Prevent Child Abuse New York","Y","Y","Y","Y","Y","5184365889","8003427472","http://preventchildabuseny.org/",,,,,"N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"134 South Swan Street",,"Albany",
"Ukrainian National Women's League of America, Inc.","N","N","Y","N","N",,"2125334545","http://www.unwla.org",,,,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"203 Second Ave.",,"New York",
"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.","N","N","N","Y","N",,"7187231119",,,,,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.686108, -73.773594)","QUEENS   ","40.686108","-73.773594","12","27","282","4268186","4123720239","St. Albans                                                                 ","11844 MERRICK BLVD",,"Jamaica","11434"
"Women in Housing and Finance","N","N","Y","N","N",,,"http://www.whf-ny.org","N","Women in Housing and Finance promotes and supports the professional growth of our members by providing a forum for the exploration of important issues in housing and finance, and opportunities to share knowledge and experience.  Our members are a highly diversified group of accomplished individuals drawn from the private sector; state, local and federal agencies;from community groups; colleges and universities, and from non-profit organizations throughout New York, New Jersey, and Connecticut.

Members include professionals in architecture, banking, law, housing and economic development, construction, insurance, investment banking, municipal finance, historic preservation, and students.

Professional Development: WHF's monthly programs include breakfast, luncheon, and early evening panel discussions or presentations.  Our speakers and panelists are key public policy makers and experts in their fields, including:
1.  State and local elected and appointed officials, such as the Presidet of NYC Housing Development Corporation, the NYS Comptroller, State and City housing commissioners;
2) Financial institution executives; 
3) Community-based and private real estate developers; 4) Architects and planners.

Recent programs include:
1)  Revitalization of lower Manhattan;
2)  Redevelopment of the NYC and New Jersey waterfronts;
3)  Financing and development of assisted living facilities;
4) Affordable green development;
5) Inclusionary zoning issues.

Networking:
We sponsor festive events that offer members opportunities to network in informal social settings.  These include an autumn gathering to greet new and prospective members, a January holiday party, a May dinner, and a half-hour networking, socializing  opportunity, with hors d'ouvres, preceding our evening programs.

Job Bank:
To further fulfill our mission to promote the professional development of our members, WHF maintains a job bank with a regularly updated list of positions available in New York, New Jersey, and Connecticut.","Y","New Jersey","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.719202, -74.001591)","MANHATTAN","40.719202","-74.001591","2","1","45","1002678","1002090001","SoHo-TriBeCa-Civic Center-Little Italy                                     ","PO Box 281 Canal Street Station",,"New York","10013"
"New York Public Library: Research Libraries","N","N","Y","N","N",,"2129300830","http://www.nypl.org/research/",,,,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"Humanities and Social Sciences Library, 5th Ave. & 42nd St.",,"New York",
"Ryan/Chelsea-Clinton Community Health Center","N","N","Y","N","N","2122656565","2122654500","http://www.ryancenter.org","N","Ryan/Chelsea-Clinton is a not-for-profit, federally-qualified Community Health Center.  We provide comprehensive, high quality, linguistically and culturally competent primary and preventive healthcare services, including gynecology and HIV services, to the medically underserved and uninsured.  Our staff and community board members hold firm to our mission statement that ?health care is a right, not a privilege.?","N",,"N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.761929, -73.993809)","MANHATTAN","40.761929","-73.993809","4","3","129","1085777","1010747502","Clinton                                                                    ","645 Tenth Avenue",,"New York","10036"
"Mayor's Volunteer Center","Y","Y","Y","Y","Y",,"2126399675","http://www.nyc.gov/html/mvc/html/home/home.shtml","N","The Mayor's Volunteer Center of New York City, a program of the Mayor's Community Affairs Unit, brings together individuals, corporations, government agencies and nonprofit organizations to connect people and facilitate meaningful volunteer opportunities that improve the quality of life in New York City. Its goal is to make every New Yorker a volunteer. Throughout the year, the Mayorï¿½s Volunteer Center promotes and organizes thousands of volunteer opportunities in partnership with community organizations and nonprofits in all five boroughs. Our mission is to provide the resources that enable every New Yorker to become a volunteer.","N",,"N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Women in Music, Inc.","N","N","Y","N","N",,"2124594580","http://www.womeninmusic.org/",,"Women in Music is a dynamic group of music industry professionals working together to support, cultivate and recognize the talents of women in our field. Through educational seminars, panels, networking events, showcases, our annual Touchstone Awards, and",,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"POB 441, Radio City Station",,"New York",
"SATH (Society For Accessible Travel & Hospitality)","Y","Y","Y","Y","Y","2124471928","2124477284","http://www.sath.org","N","The Society for Accessible Travel & Hospitality (SATH), founded in 1976, is an educational non-profit membership organization whose mission is to raise awareness of the needs of all travelers with disabilities, remove physical and attitudinal barriers to free access and expand travel opportunities in the United States and abroad.","Y","Boca Raton, FL","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.74818, -73.984737)","MANHATTAN","40.74818","-73.984737","5","4","74","1017075","1008630004","Midtown-Midtown South                                                      ","347 5th ave","suite 605","New York","10016"
"Office of Citywide Health Insurance Access","Y","Y","Y","Y","Y",,"2126399675","http://www.nyc.gov/html/hia/html/home/home.shtml","N","The mission of the Human Resources Administration's Office of Citywide Health Insurance Access (OCHIA) is to expand access to health insurance for all New Yorkers. The office has two key priorities: first, to ensure that uninsured New Yorkers who are eligible for public health insurance programs such as Child Health Plus, Family Health Plus and Medicaid are enrolled and, second, to expand access to affordable health insurance for the City's small businesses, sole proprietors and working individuals.","N",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Nontraditional Employment for Women","Y","Y","Y","Y","Y","6464862293","2126276252","http://www.new-nyc.org/","N","Nontraditional Employment for Women (NEW) trains women and places them in careers in the skilled construction, utility, and maintenance trades, helping women achieve economic independence and a secure future.


Founded in 1978, NEW is a sector-based workforce development program that prepares women for careers in the construction, transportation, energy, and facilities maintenance industries.  NEW focuses on skilled, unionized jobs in the trades with good wages, benefits, and a path to higher-wage employment.  NEW primarily serves low-income minority women from all five boroughs in New York City.  These careers enable NEW graduates to provide a secure future for themselves and their families.  

The number of women construction workers in New York City has grown substantially as a result of a coordinated effort between NEW, labor unions, contractors, and government.  These women are changing their lives and the skyline of New York City.","N",,"N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.742774, -73.998282)","MANHATTAN","40.742774","-73.998282","4","3","87","1014018","1007700017","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","243 West 20 Street",,"New York","10011"
"NYC Information Technology Jobs Center","Y","Y","Y","Y","Y",,"2126399675","http://www.nyc.gov/html/recruit/home.html","N","At the Information Technology Jobs Center for the City of New York you will find lists of available technology jobs. If you are interested in a one or more of the jobs posted, please make sure that you: Review the Civil Service qualifications, responsibilities, as well as skill sets necessary to perform the job(s); and submit your resume in the prescribed format required in the job flyer, and to the address noted in the job flyer.","N",,"N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Women in the Arts Foundation, Inc.","N","N","Y","N","N",,"2127511915","http://www.anny.org",,"The contact info on the website is not for Women in the Arts but for another org that runs their website",,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"1175 York Ave.",,"New York",
"American-Italian Cancer Foundation's Mobile Mammography Program","Y","Y","Y","Y","Y",,"2126289090","http://www.americanitaliancancer.org","N","Founded in 1980, the American-Italian Cancer Foundation (AICF) supports cancer research, education, and early detection, emphasizing the unique resources of Italy and the United States, recognizing world-class scientific excellence in medicine, and serving the medically underserved in New York City through cancer screening, outreach, and education.  

AICF has been involved in providing mobile mammography services for over 20 years.  The purpose of the Mobile Mammography Program is to provide no-cost or low-cost mammography services to underserved women in New York City through our mobile mammography vans and portable mammography equipment.  Underserved women typically face economic, cultural or linguistic barriers to health care.  By partnering with community-based organizations and institutions, AICF brings mammography services directly to women in their communities.  

To request our mobile vans or equipment, please call 212-628-9090.","N",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.770141, -73.96367)","MANHATTAN","40.770141","-73.96367","8","4","128","1083890","1014057502","Upper East Side-Carnegie Hill                                              ","112 E. 71st Street, Suite 2B",,"New York","10021"
"Mayor's Office of Immigrant Affairs","Y","Y","Y","Y","Y",,"2126399675","http://www.nyc.gov/html/imm/html/home/home.shtml","N","Building on its Charter mandate, the Mayor's Office of Immigrant Affairs promotes the well-being of immigrant communities by recommending policies and programs that facilitate successful integration of immigrant New Yorkers into the civic, economic, and cultural life of the City.","N",,"N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Woodside On The Move, Inc.","N","N","N","Y","N",,"7184768449",,,,,,"Y","N","Y","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.7463, -73.905092)","QUEENS   ","40.7463","-73.905092","2","26","259","4000000","4012290059","Woodside                                                                   ","39-42 59th Street",,"Woodside","11377"
"Maspeth Town Hall Community Center","N","N","N","Y","N","7183356099","7183356049","http://www.maspethtownhall.org/",,"Offering free and low-cost educational, recreational and cultural programs to the residents of Maspeth, Middle Village, Glendale, Woodside, Elmhurst and Ridgewood!",,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"53-37 72nd St.",,"Maspeth",
"Service Corps of Retired Executives. New York Chapter.","N","N","Y","N","N",,"2122644507","http://www.scorenyc.org/",,,,,"N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"26 Federal Plaza, RM 3100",,"New York",
"Hunger Action Network of New York State","N","N","Y","N","N","2127417236","2127418192","http://www.hungeractionnys.org/",,,,,"N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"260 West 36th Street, Suite 504",,"New York",
"Queens Historical Society","N","N","N","Y","N","7185399885","7189390647","http://www.queenshistoricalsociety.org",,,,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"143-35 37th Avenue",,"Flushing",
"Bronx River Art Center","N","Y","N","N","N","7188608303","7185895819","http://www.bronxriverart.org","N","Bronx River Art Center is located in a 16,000-sq. ft. four-story warehouse building bordering the picturesque Bronx River. It is a few blocks from the Bronx Zoo, in the West Farms Community of the South Central Bronx. The Center was founded in 1980 as part of the Bronx River Restoration project, and it was incorporated in 1987 as an independent non-profit, multi-arts organization dedicated to providing art and environmental programming for residents of the Bronx.


BRAC is a place where both emerging and established artists can create and exhibit their works. Our programs of exhibitions, classes, studio spaces and special events (music and dance performances, poetry readings, lectures and film screenings) offer students, artists and residents an opportunity to participate in and experience the arts within an urban setting. All programming is developed with an emphasis on the appreciation and integration of our unique resource - The Bronx River.

PROGRAMS

Education
After School Art Classes for youth (ages 9-21) are offered Monday-Friday from 4-6 PM and Saturday 10-5 PM. The classes are taught by professional artists, and they span the areas of Painting, Drawing, Photography, Printmaking, Ceramics, Digital Media and Special Teen Project Studios. Please refer to the class fee information in the education section for fees, fee waivers and scholarships. 
Click here for the fee Schedule.

Evening and weekend classes for adults and parent/child teams are also offered. Fee-based classes for adult/child teams, Artist Workshops for neighborhood school groups, daycare and senior centers, and community agencies are available by reservation.

Exhibitions
Bronx River Art Center presents culturally diverse and challenging contemporary art exhibitions that showcase a dynamic mix of emerging and mid-career regional, national and international artists. Exhibitions include solo and group shows in traditional, interdisciplinary and experimental media.

Presenting 
For over ten years, BRAC has offered performing arts productions in conjunction with our exhibitions through our ""High/Low"" series of music, dance and theatre. Performances range from classical to contemporary, including: Modern Jazz, Blues, Salsa and Electronic music, avant-garde theatre dance, and poetry. Performances take place in various spaces throughout our four-story building and in our riverside community garden during warm-weather months. BRAC also offers a speaker series of lecturers and round-table discussions for artists, arts professionals and the community. This program is designed to establish common ground on challenging subjects in the arts and community development.","N",,"N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.840027, -73.878633)","BRONX    ","40.840027","-73.878633","6","15","361","2118038","2031410001","East Tremont                                                               ","1087 East Tremont Avenue",,"Bronx","10460"
"Friends of Israel Disabled War Veterans - Beit Halochem","Y","Y","Y","Y","Y","2122534143","2126893220","http://www.zdvo.org/usfl/index1.asp?view_date=&cat=54","N",,"N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.743523, -73.989073)","MANHATTAN","40.743523","-73.989073","5","3","58","1015625","1008270049","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1133 Broadway","Suite 232","New York","10010"
"Variety Boys & Girls Club of Queens, Inc.","N","N","N","Y","N",,"7187280946",,,,,,"N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.768955, -73.928269)","QUEENS   ","40.768955","-73.928269","1","22","79","4006319","4005500007","Old Astoria                                                                ","21-12 30th Road",,"Astoria","11102"
"Madison Square Boys & Girls Club","N","N","Y","N","N",,"2127609600",,,,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.748342, -73.984643)","MANHATTAN","40.748342","-73.984643","5","4","76","1015862","1008350041","Midtown-Midtown South                                                      ","350 5th Avenue, Ste. 912",,"New York","10118"
"Neighborhood Self-Help by Older Persons Projects, Inc.","N","Y","N","N","N",,"7185420006",,,"To provide health education, prevention and social services to older women of color at-risk of heart disease and diabetes who resides in the Bronx",,,"N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.82148, -73.891688)","BRONX    ","40.82148","-73.891688","2","17","159","2005787","2027240186","Hunts Point                                                                ","953 Southern Boulevard",,"Bronx","10459"
"Nonprofit Coordinating Committee of New York","Y","Y","Y","Y","Y","2125024189","2125024191","http://www.npccny.org","N","The Nonprofit Coordinating Committee of New York, Inc., (NPCC) is the voice and information source for New York nonprofits. Established in 1984, NPCC informs and connects nonprofit leaders, saves nonprofits money, and strengthens the nonprofit sectorâ€™s relations with government. NPCC publishes a monthly newsletter, New York Nonprofits, offers workshops and roundtables on management issues, provides cost-saving vendor services, manages a Government Relations Committee that works on sector-wide government and legislative issues, and maintains a website loaded with information on operating a nonprofit. NPCC has more than 1,650 dues-paying members in the New York City area.","N",,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",,"Y","N","N","N","N","N","Y",,"N","Published","(40.751306, -73.987656)","MANHATTAN","40.751306","-73.987656","5","4","109","1080606","1008110031","Midtown-Midtown South                                                      ","1350 Broadway","Suite 1801","New York","10018"
"New York City Mission Society","N","N","Y","N","N",,"2126743500","http://www.nycmissionsociety.org/",,"For children growing up in poverty, attending college can seem like an impossible dream. Amid the day to day struggles of living in underserved communities and attending failing schools, these children often end up letting go of this dream. Mission Societ",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.739265, -73.986215)","MANHATTAN","40.739265","-73.986215","5","2","68","1018010","1008780001","Gramercy                                                                   ","105 East 22nd Street, 6th Fl.",,"New York","10010"
"Pro-Choice Public Education Project","Y","Y","Y","Y","Y",,"2129774266","http://www.protectchoice.org","N","The Pro-Choice Public Education Project is a reproductive justice organization dedicated to engaging young women on their terms around the critical issue of reproductive freedom. Historically, the reproductive rights movement has marginalized young women, women of color, and low-income women, among other groups. PEP works to bridge the gap between organizations and diverse young women by both listening to young women's stories, and by working with organizations to help them meet young women where they are.","N",,"N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"PO Box 3952",,"New York","10163"
"The Union Square Partnership","N","N","Y","N","N",,"2124608418","http://www.unionsquarenyc.org/",,"The Union Square Partnership is a community-based, nonprofit organization working to foster the best possible metropolitan neighborhood for its residents, businesses, property owners and employers. We are comprised of a Local Development Corporation (LDC)",,,"N","N","N","Y","N","Y","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.734163, -73.988627)","MANHATTAN","40.734163","-73.988627","6","2","50","1084936","1008700024","Gramercy                                                                   ","4 Irving Place, 1148-S",,"New York","10003"
"Palladia","N","N","Y","N","N","2129790100","2129798800","http://www.palladiainc.org",,"Founded in 1970, today Palladia, Inc. is one of the largest not-for-profit, multi-service agencies in New York City. With more than 30 years of experience, Palladia serves largely urban, poor individuals and families of color and is nationally recognized ",,,"N","N","N","N","Y","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"10 Astor Pl., 7th Fl.",,"New York",
"Jewish Guild for the Blind","N","N","Y","N","N","2127696266","8002844422","http://www.jgb.org/",,"The Jewish Guild for the Blind (The Guild), located at 15 West 65th Street, New York, NY 10023, is a not-for-profit, non-sectarian agency that serves persons of all ages who are visually impaired, blind and multidisabled. The Guild offers a broad range of",,,"N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"15 West 65th St.",,"New York",
"Learning Leaders","N","N","Y","N","N","2122130787","2122133370","http://www.learningleaders.org/","N","Learning Leadersâ€™ mission is to help New York City public school students succeed by training volunteers to provide individualized instructional support and other school-based support, and by equipping parents to foster their childrenâ€™s educational development.","N",,"N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"80 Maiden Lane, 11th Floor",,"New York",
"NYC Department of Homelessness Services","Y","Y","Y","Y","Y",,"2126399675","http://www.nyc.gov/html/dhs/html/home/home.shtml","N","The Department of Homeless Services was established in 1993 and made an independent Mayoral agency in 1999. Since its inception, the work of DHS and its nonprofit partners has primarily focused on providing safe shelter, outreach services and, over the last few years, helping individuals and families transition to permanent housing.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
