"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Henry Street Settlement - Workforce Development Center ","Manhattan","Henry Street Settlement, Inc. ","212.766.9200","ESOL/Civics","99 Essex Street
Manhattan, NEW YORK 10002
(40.7184474156, -73.988301222787)","40.718943","-73.988012","3","1","18","1087565","1004100064","Chinatown                                                                  ","10002"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Jackson Heights Program","Queens","Queens Community House, Inc.","718.592.5757 or 718.898.7461","Adult","74 09 37th Avenue (Jackson Heights
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            ","11372"
"Family Support,NDA Programs","Healthy Families","Polonians Organized to Minister to Our Community, Inc.","Queens","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO","(718) 326-9098",,"66 60 Fresh Pond Road
Queens, NEW YORK 11385
(40.701224891615, -73.88334858437)","40.707192","-73.897292","5","30","587","4084940","4035290077","Ridgewood                                                                  ","11385"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Bedford Park Multi-Service Center for Senior Citizens","Bronx","Pan American International High School (PAIHS)","(718) 365-3725","Seniors","243 204 Street
Bronx, NEW YORK 10458
(40.874303354977, -73.884533890011)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Mirabal Sisters Cultural and Community Center Office Space","New York","P.S. 503/506","(646) 459-3002",,"618 142 Street
New York, NEW YORK 10031
(40.825013834162, -73.953037589138)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","The Lower Manhattan Neighborhood Office","Manhattan","The Legal Aid Society","212-577-3292 ","All Ages","199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646, -74.004631693959)","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          ","10038"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Child Center","Queens","Community Mediation Services","(718) 458-4243"," High School","115 15 Sutphin Blvd
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","40.68439","-73.79263","12","28","272","4264187","4121880001","Baisley Park                                                               ","11434"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Riverstone Senior Life Services, Inc.","New York","Yeled V Yalda Community Center","(212) 927-5600","Seniors","99 Fort Washington Avenue
New York, NEW YORK 10032
(40.839043257819, -73.943522762068)","40.83851","-73.943738","12","7","247","1063346","1021360235","Washington Heights South                                                   ","10032"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Variety Boys & Girls Club of Queens","Queens","O'Dwyer Gardens","(718) 728-0946"," High School","21 12 30th Road
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","40.768955","-73.928269","1","22","79","4006319","4005500007","Old Astoria                                                                ","11102"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Middle School 136","Brooklyn","Educational Counseling Center","(718) 788-3500","Middle School","4004 Fourth Avenue
Brooklyn, NEW YORK 11232
(40.652089908533, -74.006885108331)","40.651977","-74.006862","7","38","82","3010580","3007130020","Sunset Park West                                                           ","11232"
"Family Support,NDA Programs","Healthy Families","Brooklyn Housing & Family Services, Inc.","Brooklyn","St. Luke's","(718) 435-7585",,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.645480602026, -73.976688033036)","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            ","11218"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","PS 173","New York","Brooklyn Housing & Family Services","(212) 923-7766"," High School","306 Fort Washington Avenue
New York, NEW YORK 10033
(40.845617301854, -73.940420101067)","40.845469","-73.940468","12","10","263","1063503","1021420154","Washington Heights South                                                   ","10033"
"Family Support,NDA Programs"," Housing","Citizen","Bronx","I.S.117 JOSEPH H WADE (X117)","(718) 293-0727","Adults","632 Southern Boulevard
Bronx, NEW YORK 10455
(40.812893537386, -73.901332703215)","40.812991","-73.90108","2","8","83","2004141","2026030150","Longwood                                                                   ","10455"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Mercy Center, Inc.","Bronx","Mercy Center, Inc.","(718) 993-2789 x 233","16+","377 145th Street
Bronx, NEW YORK 10454
(40.813855830175, -73.92035529273)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Homecrest Community Services, Inc.","Brooklyn","Shorefront Jewish Community Council","718.743.0575","Adult","1413 Avenue
Brooklyn, NEW YORK 11229
(40.601233507321, -73.944368541175)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Brooklyn Housing & Family Services","Brooklyn","Mercy House","(718) 435-7585",,"130 Clarkson Avenue
Brooklyn, NEW YORK 11226
(40.655060832085, -73.955450664977)","40.655105","-73.955238","17","40","822","3116227","3050650021","Prospect Lefferts Gardens-Wingate                                          ","11226"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","283 Prospect Avenue
Brooklyn, NEW YORK 11215
(40.663275576211, -73.989051867805)","40.663323","-73.989165","7","39","141","3337801","3010530073","Park Slope-Gowanus                                                         ","11215"
"Family Support,NDA Programs","Fatherhood Initiative","Family and Community Support Services","Brooklyn","Family and Community Support Services","347.879.3367","16 to 24","124 Utica
Brooklyn, NEW YORK 11233
(40.677525932386, -73.930335168178)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Southside Community Mission","Brooklyn","Southside Community Mission, Inc.","718.782.8181 or 718.387.6052 ","Adult","280 Marcy Avenue
Brooklyn, NEW YORK 11211
(40.704994493888, -73.95589166068)","40.705055","-73.955919","1","33","533","3060375","3022060034","Williamsburg                                                               ","11211"
"Family Support,NDA Programs","Fatherhood Initiative","Parkside Houses","Bronx","Friends of Island Academy","718.653.5301","16 to 24","2910 Bronx Park
Bronx, NEW YORK 10467
(40.868172164653, -73.870440254466)","40.856629","-73.875725","27","15","334",,,"park-cemetery-etc-Bronx                                                    ","10467"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","FREDERICK DOUGLASS ACADEMY (M499)","New York","Citizens Advice","(347) 417-8122"," High School","2581 7 AVENUE
New York, NEW YORK 10039
(40.824383647054, -73.936907140532)","40.824319","-73.93712","10","9","236","1060198","1020160100","Central Harlem North-Polo Grounds                                          ","10039"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Turning Point Education Center","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","(718) 360-8171","16+","5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.642353653563, -74.005963807531)","40.642307","-74.006043","7","38","108","3013388","3007940004","Sunset Park East                                                           ","11220"
"Family Support,NDA Programs","Healthy Families","West Farm Technology and Career Center","Bronx","PAUL ROBESON HIGH SCHOOL (K625)","(646) 388-8280",,"1071 Tremont Avenue
Bronx, NEW YORK 10460
(40.840122458145, -73.878497599082)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Cypress Hills Local Development","Brooklyn","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)","(718) 674-2800","Adults","3214 Fulton Street
Brooklyn, NEW YORK 11208
(40.682413520105, -73.876447583086)","40.682465","-73.876328","5","37","1178","3092647","3041410014","Cypress Hills-City Line                                                    ","11208"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mt. Ararat Presentation Senior Center","Brooklyn","YWCA of Queens","(718) 345-5665","Seniors","1630 St Marks Avenue
Brooklyn, NEW YORK 11233
(40.67315630349, -73.912828934223)","40.673166","-73.912849","16","41","363","3394308","3014600001","Ocean Hill                                                                 ","11233"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","St.Cecilia's Community Center ","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-348-0488","All Ages","125 105th Street
Manhattan, NEW YORK 10029
(40.791904392878, -73.9475075401)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","International Tower for Seniors","Queens","JHS 142 JOHN PHILIP SOUSA (X142)","(800) 624-8474","Seniors","90 20 170th Street
Queens, NEW YORK 11433
(40.698104881735, -73.787574033914)","40.708578","-73.790579","12","27","460","4209721","4098020041","Jamaica                                                                    ","11432"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","SEBCO Father Banome Senior Housing","Bronx","Turning Point HDFC (Main Office)","(718) 542-0006","Seniors","1876 Belmont Avenue
Bronx, NEW YORK 10457
(40.844379558484, -73.893210560706)","40.844581","-73.893053","6","17","36901","2086691","2029460001","East Tremont                                                               ","10457"
"Family Support,NDA Programs","Healthy Families","Citizen","Bronx","OBT Bushwick","(718) 293-0727",,"632 Southern Boulevard
Bronx, NEW YORK 10453
(40.812893537386, -73.901332703215)","40.812991","-73.90108","2","8","83","2004141","2026030150","Longwood                                                                   ","10455"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Refugee and Immigrant Services","Brooklyn","Harlem Commonwealth Council","(718) 777-6326","Adults","1222 Ave
M Brooklyn, NEW YORK 11230
(40.61772526252, -73.962279929501)","40.617702","-73.962525","14","48","768","3180783","3067410006","Midwood                                                                    ","11230"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","BCA 6th Avenue Senior Center","Brooklyn","PS 3 RAUL JULIA MICRO SOCIETY (X003)","(718) 438-0008","Seniors","545 60th Street
Brooklyn, NEW YORK 11220
(40.638917403202, -74.015166328364)","40.638869","-74.015137","7","38","102","3337343","3008640001","Sunset Park East                                                           ","11220"
"Family Support,NDA Programs"," Housing","Astella Development Corporation","Brooklyn","Baisley Park Houses","(718) 266-4653","Adults","1618 Mermaid Avenue
Brooklyn, NEW YORK 11224
(40.576694402272, -73.983921080156)","40.576703","-73.984006","13","47","326","3189584","3070620005","Seagate-Coney Island                                                       ","11224"
"Family Support,NDA Programs"," Housing","Park Slope Women's Shelter","Brooklyn","Council of Jewish Organization of Flatbush, Inc.","(718) 287-2600","Adults","1402 8th Avenue
Brooklyn, NEW YORK 11215
(40.662725395196, -73.981772543316)","40.66265","-73.981819","6","39","149","3026581","3011020012","Park Slope-Gowanus                                                         ","11215"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 52","New York","Sunset Park Center","(212) 942-0043","Middle School","650 Academy Street
New York, NEW YORK 10034
(40.865994377311, -73.924838060236)","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         ","10034"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Citizens Advice Bureau - Immigration Assistance Center","Bronx","Citizens Advice Bureau","718- 293-0727","All Ages","2070 Grand
Concourse Bronx, NEW YORK 10457
(40.853090592091, -73.902808775875)","40.853222","-73.902947","5","15","23502","2013631","2031560009","Mount Hope                                                                 ","10457"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Northern Manhattan Improvement Corporation","New York","Vladeck Cares","(212) 822-8300","Adults","76 Wadsworth Avenue
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   ","10033"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Shorefront YM-YWHA                                                                                                                                                                                                                                                   ","Brooklyn","New York Legal Assistance Group (NYLAG)","718-646-1444","All Ages","3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             ","11235"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","M.S. 860 Frederick Douglass Academy II ","New York","Creative Arts Team/CUNY","212.652.2800","grades 6 to 8","215 114 Street
New York, NEW YORK 10026
(40.802154978703, -73.953979636988)",,,,,,,,,
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","F.E.G.S. Brooklyn Resource Center [Program site]","Brooklyn","Federation of Employment and Guidance Services, Inc.","718-336-2836x330 ","Adult","938 Kings Highway
Brooklyn, NEW YORK 11233
(40.607008519866, -73.962821012237)","40.607066","-73.962714","15","44","418","3177634","3066660112","Homecrest                                                                  ","11223"
"Family Support,NDA Programs","Healthy Families","WEME/Mainstream Meals-on-Wheels","New York","Middle School 136","(212) 362-3662",,"263 86th Street
New York, NEW YORK 10024
(40.788712841075, -73.977363025007)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Dr. White Community Center","Brooklyn","I S 364 GATEWAY (K364)","(718) 722-6023",,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.698288822006, -73.983097400318)","40.698184","-73.983079","2","33","15","3000197","3001090001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","11201"
"Family Support,NDA Programs","Health Stat Initiative","The East New York Learning Center, Inc","Brooklyn","The East New York Learning Center, Inc","718.756.7200","All Ages","1958 Fulton� St
Brooklyn, NEW YORK 11233
(40.678130438169, -73.919776475504)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Hetrick Martin Institute ","Manhattan","Urban Justice Center","646.602.5633","20-May","2 Astor Place
Manhattan, NEW YORK 10003
(40.730049721308, -73.992789944984)","40.730038","-73.992632","2","2","57","1080092","1005450026","West Village                                                               ","10003"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","OBT Bushwick","Brooklyn","Project Bridge","(718) 369-0303"," High School","25 Thornton Street
Brooklyn, NEW YORK 11206
(40.700912589288, -73.943900574878)","40.701018","-73.943699","1","33","507","3061498","3022750021","Bedford                                                                    ","11206"
"Family Support,NDA Programs","Health Stat","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation","(212) 822-8344","All Ages","76 Wadsworth Ave
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   ","10033"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","(718) 438-0008","16+","6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531, -73.987710397179)","40.61468","-73.987765","11","47","258","3135071","3055790007","Bensonhurst West                                                           ","11204"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","485 Victory Boulevard Staten Island
NEW YORK,  10301
(40.630345730416, -74.088867161733)","40.630399","-74.088763","1","49","75","5002888","5001200118","New Brighton-Silver Lake                                                   ","10301"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Make the Road New York Staten Island","Staten Island","Henry Street Settlement's Helen Hall Youth Center","(347) 243-7249","Adults","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              ","10302"
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Ali Forney Center","Manhattan","Urban Justice Center","646-602-5633","20-May","527 22nd Street
Manhattan, NEW YORK 10011
(40.747399723922, -74.005525621935)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I S 364 GATEWAY (K364)","Brooklyn","Make the Road New York","(347) 417-8180","Middle School","1426 FREEPORT LOOP
Brooklyn, NEW YORK 11239
(40.646450509168, -73.881527639175)","40.645806","-73.881671","5","42","105804","3098295","3044520040","Starrett City                                                              ","11239"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","United Communities Centers ","Brooklyn","United Communities Centers","718-649-7979","All Ages","613 New Lots Ave
Brooklyn, NEW YORK 11207
(40.664726498258, -73.88659110359)","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              ","11207"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Asian Americans for Equality - Queens","Queens","Asian Americans for Equality - Queens","718.961.0888 or 212.979.8381","Adult","133 04 39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   ","11354"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Queens Family Justice Center","Kew Gardens","Sanctuary for Families","212-349-6009 ","All Ages","126 02 82nd Ave Kew Gardens
NEW YORK,  11415
(40.708286075142, -73.828556121568)","40.713732","-73.826122","9","29","216","4458616","4096530001","Kew Gardens                                                                ","11415"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 252 ARTHUR S SOMMERS (K252)","Brooklyn","Neighborhood SHOPP Casa Boricua Senior Center","(347) 417-8120","Middle School","1084 LENOX ROAD
Brooklyn, NEW YORK 11212
(40.658327698451, -73.92001930874)","40.658295","-73.920109","17","41","886","3101840","3046690037","Rugby-Remsen Village                                                       ","11212"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","DeWitt","Bronx","Citizen","(718) 786-7110"," High School","100 Mosholu Parkway
Bronx, NEW YORK 10468
(40.881783600661, -73.886725162953)",,,,,,,,,
"Family Support,NDA Programs","Fatherhood Initiative","Ralph Lincoln Service Center ","Brooklyn","Ralph Lincoln Service Center, Inc.","718.604.1358","16 to 24","261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864097, -73.92540014432)","40.669991","-73.925427","8","41","359","3037201","3013870007","Crown Heights North                                                        ","11213"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 281 JOSEPH B CAVALLARO (K281)","Brooklyn","Thessalonia Baptist Church","(718) 236-5266","Middle School","8787 24 AVENUE
Brooklyn, NEW YORK 11214
(40.595492729469, -73.993265467648)","40.595341","-73.993457","11","47","304","3186626","3068910001","Bensonhurst East                                                           ","11214"
"Family Support,NDA Programs","Fatherhood Initiative","The New York Society for the Prevention of Cruelty to Children","New York ","The New York Society for the Prevention of Cruelty to Children","212.233.5500","16 to 24","161 William Street
New York, NEW YORK 10038
(40.709999539835, -74.006016649884)","40.710059","-74.005955","1","1","1501","1001269","1000920005","Battery Park City-Lower Manhattan                                          ","10038"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Our Lady of Sorrows School","Queens","Make the Road New York","(718) 651-8427","Middle School","35 34 105th Street
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)","40.754876","-73.863206","3","21","379","4437218","4017460027","North Corona                                                               ","11368"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Morrisania Air Rights Housing Development","Bronx","MIDDLE SCHOOL 322 (M322)","(718) 542-0006","Seniors","3135 Park Avenue
Bronx, NEW YORK 10451
(40.824128769301, -73.917227588223)","40.82415","-73.917164","4","16","173","2100990","2024209078","East Concourse-Concourse Village                                           ","10451"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Thessalonia Baptist Church","Bronx","Dunlevy Milbank Center","(718) 542-0006","Seniors","951 Rev James A Polite Avenue
Bronx, NEW YORK 10459
(40.821926347823, -73.898966843931)","40.822137","-73.898939","2","17","12901","2005225","2026900155","Longwood                                                                   ","10459"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","United Jewish Orgnization of Williamsburg","Brooklyn","BROOKLYN EXCELSIOR CHARTER (K731)","(718) 643-9700","Seniors","32 Penn Street
Brooklyn, NEW YORK 11211
(40.700237529081, -73.961289458704)","40.700432","-73.961086","1","33","537","3335305","3022160013","Williamsburg                                                               ","11249"
"Family Support,NDA Programs","Health Stat Initiative","Asian Americans for Equality","Queens","Asian Americans for Equality","718.961.0888","All Ages","95 05 Roosevelt Ave
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.748936","-73.871635","3","21","273","4036629","4014830055","Jackson Heights                                                            ","11372"
"Family Support,NDA Programs","Fatherhood Initiative","Neighborhood Defender Service of Harlem","New York ","Neighborhood Defender Service of Harlem","212.876.5500","16 to 24","317 Lenox Avenue
New York, NEW YORK 10027
(40.808477178137, -73.945100354507)","40.808291","-73.945122","10","9","222","1085673","1019107501","Central Harlem South                                                       ","10027"
"Family Support,NDA Programs"," Housing","Aids Center of Queens County","Queens","International Tower for Seniors","(718) 896-2500","Adults","1600 Central Avenue
Queens, NEW YORK 11691
(40.605264212936, -73.751891714766)","40.605182","-73.751962","14","31","103202","4297967","4155370147","Far Rockaway-Bayswater                                                     ","11691"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Make the Road New York","Staten Island","Make the Road New York","718-727-1222 718 418-7690 X 205 ","Adult","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              ","10302"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Pan American International High School (PAIHS)","Bronx","Citizens Advice Bureau","(718) 732-7523"," High School","1300 Boynton Avenue
Bronx, NEW YORK 10472
(40.831280981919, -73.878810472074)","40.831601","-73.878912","9","18","56","2027459","2038640001","West Farms-Bronx River                                                     ","10472"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Cabrini Immigrant Services (Admin & Activity site)","Manhattan","Cabrini Center for Nursing & Rehabilitation","212.791.4590","18+","139 Henry Street
Manhattan, NEW YORK 10002
(40.713327031343, -73.990782134708)","40.713339","-73.990755","3","1","6","1003565","1002830016","Lower East Side                                                            ","10002"
"Family Support,NDA Programs"," Housing","Morrisania Revitalization Corporation","Bronx","Youth Opportunity Center","(718) 589-7858","Adults","576 165th Street
Bronx, NEW YORK 10456
(40.825676237692, -73.906671866829)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Streetwork Project","Manhattan","Urban Justice Center","646-602-5633","20-May","209 125 Street
Manhattan, NEW YORK 10027
(40.809154206199, -73.948683474836)",,,,,,,,,
"Family Support,NDA Programs","Health Stat","The East New York Learning Center, Inc","Brooklyn","The East New York Learning Center, Inc","(718) 756- 7200","All Ages","1958 Fulton� St
Brooklyn, NEW YORK 11233
(40.678130438169, -73.919776475504)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","The Child Center of NY ï¿½ WIA Office","Jamaica","Safe Space","212.206.3440 ext. 237","All Ages","163 18 Jamaica Av
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","40.704799","-73.796524","12","27","44601","4216197","4101510007","Jamaica                                                                    ","11432"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Jackson Heights","Make the Road New York","(718) 418-7690 x 211","16+","71 24 Roosevelt Avenue Jackson Heights
NEW YORK,  11372
(40.751630739367, -73.883612545283)","40.746551","-73.894199","4","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           ","11372"
"Family Support,NDA Programs"," Housing","BCA Main Community Services Center","Brooklyn","South Jamaica Houses","(718) 438-0008","Adults","5000 8th Ave
Brooklyn, NEW YORK 11220
(40.641104606526, -74.003759923935)","40.641036","-74.003809","7","38","108","3013418","3007940039","Sunset Park East                                                           ","11220"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527)","Bronx","CPC Queens Branch Office","(718) 665-2486"," High School","1100 BOSTON ROAD
Bronx, NEW YORK 10456
(40.827438058055, -73.904676763458)","40.827514","-73.904622","3","16","135","2004526","2026340001","Morrisania-Melrose                                                         ","10456"
"Family Support,NDA Programs","Fatherhood Initiative","Nursing Family Partnership ","Bronx","Visiting Nurse Service of New York","718.402.3900 ","16 to 24","489 491 East 153 Street
Bronx, NEW YORK 10454
(40.805846930092, -73.916285046518)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 92 - Harry T Stewart Senior","Queens","Coalition for Hispanic Family Services","718-497-6090","A parent 16 Years Old or Older ","99 01 34 Avenue
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)","40.755418","-73.869017","3","21","377","4042496","4017140018","North Corona                                                               ","11368"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","The Arab American Family Support Center","Brooklyn","The Arab American Family Support Center","(718) 643-8000 x 19","16+","150 Court Street
Brooklyn, NEW YORK 11201
(40.68880789426, -73.992831836639)","40.688806","-73.992806","6","39","45","3003069","3002920026","Carroll Gardens-Columbia Street-Red Hook                                   ","11201"
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Legal Aid - Juvenile Rights Division","Manhattan","The Legal Aid Society","212.577.3328","20-May","199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646, -74.004631693959)","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          ","10038"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Clinton Senior Housing","Bronx","Project Home","(718) 542-0006","Seniors","2070 Clinton Avenue
Bronx, NEW YORK 10457
(40.847268779205, -73.888056349476)","40.847236","-73.888101","6","15","371","2012652","2030940014","East Tremont                                                               ","10457"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Filomena Gardens","Bronx","WHIC","(718) 542-0006","Seniors","641 225th Street
Bronx, NEW YORK 10466
(40.888362327284, -73.86213681348)",,,,,,,,,
"Family Support,NDA Programs"," Housing","St. Cecilias R.C. Church","New York","Crown Heights Jewish Community Council","(212) 371-1011","Adults","125 105th Street
New York, NEW YORK 10029
(40.791904392878, -73.9475075401)",,,,,,,,,
"Family Support,NDA Programs","Housing","Agudath Isreal of America Community Services Inc.","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 435-1300","Adults","4002 18th Avenue
Brooklyn, NEW YORK 11218
(40.632627492956, -73.973257000132)","40.632541","-73.973386","14","44","484","3127620","3054110030","Kensington-Ocean Parkway                                                   ","11218"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","St. Dominic School","Bronx","MBD Community Housing Corp","(64) 686-6102","Middle School","1684 White Plains Road
Bronx, NEW YORK 10462
(40.843529284683, -73.865475170873)","40.843523","-73.865496","11","13","238","2097571","2040370001","Van Nest-Morris Park-Westchester Square                                    ","10462"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.636670213094, -73.990459280846)","40.636595","-73.990502","12","44","222","3328605","3056220038","Borough Park                                                               ","11219"
"Family Support,NDA Programs","Health Stat","The Children's Aid Society","Bronx","The Children's Aid Society","(718) 617-8595","All Ages","1338 Southern Blvd
Bronx, NEW YORK 10460
(40.832462906937, -73.890705807264)","40.831158","-73.891438","3","17","123","2010556","2029800025","Crotona Park East                                                          ","10459"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Ridgewood Bushwick Senior Citizens Council, Inc.","Brooklyn","Ridgewood Bushwick Senior Citizens Council, Inc.","(718) 381-9653","16+","1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.697840308647, -73.913832482461)","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             ","11237"
