"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Fulton Square, LLC","Rosenberg & Estis PC","212 551-1246","bwilliams@rosenbergestis.com","523 Fulton Street","146","53","Brooklyn","Commercial Alteration","Windows,carpentry, masonry, HVAC, sprinkler, electrical, fire alarm, fascia, plumbing, roofing, elevators & stairs, flooring, metal fabrications","$4,200,000.00","2019-12-10T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.690279","-73.984376","2","33","15","3000323","3001460053","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Coney Island Associates","Tushman, Korngold, Weiss, Liebman & Lindemann, LLP","212-599-4459","bgottlieb@tkwll.com","2926 West 19th Street","7060","1, 3, 4, 5, 6, 7, 8, 9, 14, 16, 17, 18, 19, 20, 21, 22, 24, 27, 31, 32, 35, 44, 45, 46, 47, 48, 49, 50, 51, 147 will be merged into Lot 19","Brooklyn","Commercial, new building, retail","Concrete, masonry, site work, doors/windows, plumbing, sprinkler, electrical, etc.","$39,425,800.00","2018-07-02T00:00:00.000","11224","Brooklyn 13","2021-11-26T09:18:50.000","40.576052","-73.985756","13","47","326","3426189","3070600019","Seagate-Coney Island"
"4923 TS LLC","Dai & Assoc. PC","212 730-8880","lxyang@daiAssoc..com","4923 2nd Avenue","781","1","Brooklyn","Commercial, new building, hotel","plumber, scaffolding, electrical","$12,000,000.00","2016-07-01T00:00:00.000","11220","Brooklyn 7","2021-11-26T09:18:50.000","40.649478","-74.016512","7","38","20","3012833","3007810001","Sunset Park West"
"313 Butler Street, LLC","Anthony Como Associates","718 273-3080","kgray@nyrets.com","313 Butler Street","407","52","Brooklyn","Commercial, Industrial, New Building","excavation, concrete, metal work, masonry, wall panels, elevators, electrical","$10,000,000.00","2019-01-01T00:00:00.000","11217","Brooklyn 17","2021-11-26T09:18:50.000","40.680730","-73.983300","6","33","127","3000000","3004070052","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"ZL MACEDONIA LLC","Robert S. Altman, Esq., PLLC","212 232-8713","rsalaw@nyctaxbreak.com","37-16 Union Street, Flushing, NY 11354","4978","46","Queens","Commercial, new building","plumbing, electrical, carpentry, etc.","$51,000,000.00","2020-09-01T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000",,,,,,,,
"Sobro Center LLC","Unger Realty Services, Inc.","718 543-8200","josepha@ungerrealty.com","2999-3001 Third Avenue","2376","51","Bronx","Commercial, alteration","hvac, plumbing, electric, etc.","$3,500,000.00","2019-03-15T00:00:00.000","10455","Bronx 1","2021-11-26T09:18:50.000","40.819141","-73.913883","1","17","67","2001397","2023760051","Melrose South-Mott Haven North"
"26 Court Associates LLC","RE Tax Service, LLC","718-222-3500","Esty@retaxservice.com","26 Court Street","250","1","Brooklyn","Commercial, alteration","fa̤ade, etc.","$11,000,000.00","2020-08-15T00:00:00.000","11242","Brooklyn 2","2021-11-26T09:18:50.000","40.693244","-73.990660","2","33","9","3002094","3002500001","Brooklyn Heights-Cobble Hill"
"Parker57 LLC","Seiden & Schein, P.C.","212-935-1400","taxincentives@seidenschein.com","129 West 56th Street","1009","19","Manhattan","Commercial, retail, alteration","Carpentry, Sprinkler, Plumbing, HVAC, Electrical, Elevator Modernization and additional trades to be determined","$44,353,272.00","2020-01-01T00:00:00.000","10019","Manhattan 5","2021-11-26T09:18:50.000","40.764159","-73.978864","5","4","137","1023452","1010090016","Midtown-Midtown South"
"SM QOZB1 LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","35-01 36th Avenue","639","1","Queens","Industrial, commercial, new building","foundation, concrete, plumbing, electrical, hvac, windows, exterior finishing, steel, fire alarm, etc.","$10,000,000.00","2020-07-01T00:00:00.000","11106","Queens 1","2021-11-26T09:18:50.000","40.755036","-73.926429","1","26","57","4009590","4006390001","Astoria"
"Lafayette Tower LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","37 Lafayette Avenue","2108","17","Brooklyn","Commercial, retail, new building","electrical, sprinklers, plumbing, windows, elevators, etc.","$10,000,000.00","2020-04-01T00:00:00.000","11217","Brooklyn 2","2021-11-26T09:18:50.000","40.686913","-73.977489","2","35","33","3000000","3021080017","Fort Greene"
"Staten Island Stages LLC","Lawrence J. Berger P.C.","212-532-0222","jfiedman@ljbpc.com","2911 Arthur Kill Road","7187","1","Staten Island","Commercial, alteration","A/C Units, bathroom, block, concrete, crane, doors, duct, electric, electric boards, elevator, floor, gates, joist, kitchen, roof, sidewalk, sound, steel, tile, waterproofing, windows","$20,000,000.00","2018-12-01T00:00:00.000","10309","Staten Island 3","2021-11-26T09:18:50.000","40.548258","-74.225183","3","51","226","5086719","5071870001","Charleston-Richmond Valley-Tottenville"
"GUM 15, LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","2613 East 16 Street","7460","100","Brooklyn","Commercial, alteration","GC, drywal,, painting, etc","$3,000,000.00","2018-02-10T00:00:00.000","11235","Brooklyn 15","2021-11-26T09:18:50.000","40.587747","-73.953346","15","48","606","3204967","3074600100","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"Fordham Chera Acquisition LLC","MGNY Consulting Corporation","718 522-111","michael@mgnyconsulting.com","203 East Fordham Road","3154","1","Bronx","Commercial, retai, alteration","electrical, plumbing, hvac, etc.","$3,000,000.00","2020-06-01T00:00:00.000","10458","Bronx 7","2021-11-26T09:18:50.000","40.862417","-73.896734","7","15","39901","2013607","2031540001","Bedford Park-Fordham North"
"356 Devoe Street BRK LLC","Ferrick Feinstein LLP","212-498 6541","bgottlieb@herrick.com","356 Devoe Street","2924","19","Brooklyn","Commercial, alteration","Demolition, concrete, masonry, structural steel, misc metasl, rough carpentry, millwork, thermal and moisture protection, roofing, fireprofing, doors, frames and hardware, overhead doors and grilles, windows and stonefronts, framing & gypsum boards, acoustics ceilings, floor covering, epoxy, concrete finishing/sealer, fibergrass reinfirced plastic, painting, toilet partitions & accessories, conveyance, elevator, fire sprinklers, plumbing, mechanical electrical, data, voice & av systems, fire alarm, exterior/sitework","$2,500,000.00","2021-06-21T00:00:00.000","11214","Brooklyn 1","2021-11-26T09:18:50.000","40.713755","-73.935987","1","34","481","3332345","3029240019","East Williamsburg"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","55 Furman Street","208","2","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$3,747,244.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.701643","-73.995474","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"Ratan Realty LLC","Moseson and Associates Corporation","718 327-5779","yehuda_moseson@hotmail.com","510 E. 185th Street Building B","3053","28, 45","Bronx","Commercial, new building","carpentry, steel, painting, plumbing, hvac, etc.","$9,660,000.00","2016-03-01T00:00:00.000","10458","Bronx 6","2021-11-26T09:18:50.000","40.855978","-73.891296","6","15","385","2011623","2030530028","Claremont-Bathgate"
"Mings Garden Realty LLC","Dai & Associates PC","212 730-8880","lxyang@daiassociates.com","26-01 and 26-15 4th Street","909","17, 13","LIC","Commercial, new building","plumbing, electrical, hvac, concrete","$8,000,000.00","2015-06-01T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000",,,,,,,,
"Author Kill 100 LLC","Metropolitan Realty Exemptions, Inc.","718 387-3004","Riki@mretax.com","4965 Arthur Kill Road","7983","100","Staten Island","Commercial, new Building","concrete, steel, electrical, carpentry, HVAC, plumbing, etc.","$13,000,000.00","2020-07-20T00:00:00.000","10309","Staten Island 3","2021-11-26T09:18:50.000","40.520910","-74.239582","3","51","248",,,"Charleston-Richmond Valley-Tottenville"
"TCB Park Haven Limited Partnership","Akerman LLP","212 880-3823","nicholas.dilorenzo@akerman.com","345 St. Ann's Avenue","2268","27","Bronx","Commercial, retail, new building","concrete, electrical, plumbing, carpentry, etc.","$3,600,000.00","2019-08-01T00:00:00.000","10454","Bronx 1","2021-11-26T09:18:50.000","40.809498","-73.915766","1","8","41","2000000","2022680027","Mott Haven-Port Morris"
"Cooper 8200 Realty LLC","Lawrence J. Berger P.C.","212 532-0222","jfriedman@ljbpc.com","81-80 Cooper Avenue","3810","2","Queens","Commercial, alteration, addition to new building","joist, electric, floor, roofing, ac ducts, windows, sprinklers, doors, sound proofing","$4,446,500.00","2020-07-02T00:00:00.000","11385","Queens 5","2021-11-26T09:18:50.000","40.710325","-73.866836","5","30","637",,,"Glendale"
"Patchen & Broadway LLC","MGNY Consulting Corp.","718 522-1112","michael@mgnyconsulting.com","535 Van Buren Street","1613","1, 2, 3, 4, 5","Brooklyn","Commercial, new building","general contractor, concrete, hvac, foundation, etc.","$8,500,000.00","2019-03-30T00:00:00.000","11221","Brooklyn 4","2021-11-26T09:18:50.000","40.691882","-73.927487","3","41","387",,,"Stuyvesant Heights"
"Shore Tower Group, LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","1301 Surf Ave.","7064","16","Brooklyn","Commercial, Alteration","demolition, electrical, hvac, etc.","$35,000,000.00","2017-01-15T00:00:00.000","11224","Brooklyn 13","2021-11-26T09:18:50.000","40.575574","-73.981296","13","47","348","3189607","3070640016","Seagate-Coney Island"
"NRG Berrians East Development LLC","Sive, Paget & Riesel PC","646-378-7215","jpcurran@sprlaw.com","31-01 20th Avenue","850","1, 200","Queens","New Building, Alteration, Industrial","electrical, plumbing, hvac, etc.","$385,000,000.00","2021-06-01T00:00:00.000","11105","Queens 1","2021-11-26T09:18:50.000","40.779328","-73.905720","1","22","10701","4546438","4008500001","Steinway"
"Penn Hotel LLC","Moseson and Associates Corporation","718 327-5779","yehuda.moseson@hotmail.com","314 Pennsylvania Avenue","3754","33","Brooklyn","Hotel, commercial, new building","electrical, hvac, concrete, etc.","$4,000,000.00","2017-03-01T00:00:00.000","11207","Brooklyn 5","2021-11-26T09:18:50.000","40.669877","-73.895363","5","42","1156","3000000","3037540033","East New York (Pennsylvania Ave)"
"Maple C 250 Church Owner LLC","Seiden & Schein, P.C.","212 433-1400","taxincentives@seidenschein.com","250 Church Street","177","2","Manhattan","Commercial, Retail, Alteration","General Construction, Abatement, Carpentry, Masonry, Concrete, Steel, Curtain Wall, Plumbing, HVAC, Electric, Fire Suppression, Elevators, Painting, Flooring, Etc.","$78,000,000.00","2020-02-01T00:00:00.000","10013","Manhattan 1","2021-11-26T09:18:50.000","40.717865","-74.005649","1","1","33","1001971","1001770002","SoHo-TriBeCa-Civic Center-Little Italy"
"Liberty Square Realty Corporation","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","878 Brook Avenue","2365","35","Bronx","Commercial, alteration","metal fabrication, steel work, concrete, brickwork","$15,000,000.00","2017-08-01T00:00:00.000","10451","Bronx 1","2021-11-26T09:18:50.000","40.822902","-73.910445","3","17","141","2001204","2023650035","Morrisania-Melrose"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","208","2","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$40,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"Maimonides Medical Center","Maimonides Medical Center","718 283-8538","eweiner@maimonidesmed.org","4801-4813 9th Ave/902-917 48th St.","5631","1","Brooklyn","Commercial New Building","Excavation, Concrete, Masonry, Drywall, Carpentry, Elec., etc.","$74,865,000.00","2014-06-01T00:00:00.000","11219","Brooklyn 12","2021-11-26T09:18:50.000",,,,,,,,
"Two Fulton Square LLC","Top 8 Construction","718 713-0232","tom.barone@fandtgroup.com","133-36 37th Avenue","4972","67","Queens","Commercial, new building","earthwork, foundation, site work, concrete, masonry, metals, hvac, elec.","$113,889,821.00","2015-06-01T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000","40.760612","-73.833642","7","20","871","4597144","4049727505","Flushing"
"H Mart Roosevelt LLC","MGNY Consulting Corporation","718 522-111","michael@mgnyconsulting.com","142-41 Roosevelt Avenue","5020","34","Queens","Commercial, alteration, retail","HVAC, electrical, carpentry, flooring, plumbing","$5,000,000.00","2022-01-20T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000","40.760702","-73.825621","7","20","865","4312189","4050200034","Flushing"
"Ratan Realty LLC","Moseson and Associates Corporation","718 327-5779","yehuda_moseson@hotmail.com","510 E. 185th Street Building A","3053","28","Bronx","Commercial, new building","carpentry, steel, painting, plumbing, hvac, etc.","$5,350,000.00","2016-03-01T00:00:00.000","10458","Bronx 6","2021-11-26T09:18:50.000","40.855978","-73.891296","6","15","385","2011623","2030530028","Claremont-Bathgate"
"Flatbush Corner Fifth LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","178 Flatbush Avenue","928","43","Brooklyn","Commercial, new building","msonry, concrete, flooring, etc.","$5,000,000.00","2018-02-15T00:00:00.000","11217","Brooklyn 6","2021-11-26T09:18:50.000","40.682590","-73.976391","6","39","12901","3018396","3009280043","Park Slope-Gowanus"
"KNY 154 Property LLC","Park & Park LLP","718-313-0211","jspsquire@gmail.com","154-19 Northern Boulevard","5265","1","Queens","Commercial, retail, alteration, addition to existing space","Electric, plumbing, steel, foundation, etc.","$4,500,000.00","2018-11-15T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000","40.764623","-73.810726","7","19","1171","4119173","4052650001","Murray Hill"
"Penn-Atlantic Hotel LLC","MGNY Consulting Corp","718 522 1111","michael@mgnyconsulting.com","118 New Jersey Avenue","3670","25","Brooklyn","Commercial, New Buiilding","electric, plumbing, hvac, etc.","$6,500,000.00","2018-12-30T00:00:00.000","11207","Brooklyn 5","2021-11-26T09:18:50.000","40.676951","-73.896123","5","37","1198","3083290","3036700025","East New York"
"360 Lexington Avenue Property Investors IV, LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","360 Lexington Avenue","1295","17","Manhattan","Commercial, Alteration, Retail","General Contractor, Plumbing, Carpentry, Painting, Electrical","$15,000,000.00","2020-01-15T00:00:00.000","10017","Manhattan 5","2021-11-26T09:18:50.000","40.750429","-73.976800","5","4","80","1036145","1012950017","Murray Hill-Kips Bay"
"Archer Green MI Associates, LLC (Beneficial Owner) and Archer Apartments - HDFC (Legal Owner)","Rosenberg & Estis PC","212 551-1257","dbernstein@rosenbergestis.com","92-23 168th Street","10209","currently 115 (condo lot to be formed)","Queens","New Building, retail","Hoist, fence, demolition, concrete, foundation, brick fa̤ade, stone, ornamental iron work, carpentry, waterproofing, roofing, fireproofing, doors, frames, hardware, ceramic tile, painting, signage, plumbing, electrical, elevators, hvac, excavation, piles, improvements, bathroom accessories","$14,830,000.00","2018-09-01T00:00:00.000","11433","Queens 12","2021-11-26T09:18:50.000","40.705903","-73.792250","12","27","444","4000000","4102097501","Jamaica"
"559 Development LLC","Anthony Como Associates","718 273-3080","kgray@nyrets.com","38-59 11th Street","473","559, 562, 559","Queens","Hotel, new building","drywall, concrete, miscellanious iron, masonry, millwork, bricklayer, structural steel, caulking, roofing, roofing, painting, carpentry, electrical, stone, elevator, hvac, landscaping,  plumbing, insulation, storefront fa̤ade, excavation, sprinklers, window wall, etc.","$38,000,000.00","2018-05-31T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.758028","-73.942005","1","26","85","4000000","4004730559","Queensbridge-Ravenswood-Long Island City"
"59-02 Borden Ave LLC","Akerman LLP","212 259-6402","joshua.rinesmith@akerman.com","59-02 Bprden Avenue","2657","50","Queens","Commercial, new building","electrical, plumbing, hvac, etc.","$16,058,000.00","2021-04-01T00:00:00.000","11378","Queens 2","2021-11-26T09:18:50.000",,,,,,,,
"RCPI Landmark Properties LLC","Tener Consulting Services LLC","212 337-0120","dtener@tener.net","610-620 Fifth Avenue","1265","50","Manhattan","Commercial, retail, alteration","fa̤ade repair and replacement, exterior improvements and upgrades, roofing, ceilings, lighting, stone, electrical, hvac, plumbing, etc.","$100,000,000.00","2019-12-01T00:00:00.000","10020","Manhattan 5","2021-11-26T09:18:50.000","40.758010","-73.977595","5","4","104","1082656","1012650050","Midtown-Midtown South"
"BJ's Wholesale Club, Inc. and 3500 48th Street Owners LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","34-60 48th Street","143","10, 21","Queens","Retail, alteration","Fa̤ade, HVAC, Electrical, Plumbing, Carpentry, Painting, and others to be determinded","$6,000,000.00","2020-01-04T00:00:00.000","11377","Queens 1","2021-11-26T09:18:50.000","40.752385","-73.914958","1","26","171","4541446","4001430010","Hunters Point-Sunnyside-West Maspeth"
"Bruckner Boulevard Owner LLC","Stephen Kim","212 218-3150","stephen.kim@innovopg.com","2505 Bruckner Boulevard","5293","1","Bronx","Industrial, commercial, new building","electrical, plumbing, concrete, hvac, foundation, elevator, etc.","$228,000,000.00","2019-06-01T00:00:00.000","10465","Bronx 10","2021-11-26T09:18:50.000","40.829970","-73.838415","10","13","194","2072579","2052930001","Schuylerville-Throgs Neck-Edgewater Park"
"Maple 49th Avenue Owner II LLC","Seiden & Schein P.C.","212 935-1400","jayseiden@seidenschein.com","25-11 49th Street","100","12","Queens","Commercial alteration, retail","demolition, concrete, steel, hvac, ect.","$35,593,399.00","2018-05-01T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.764250","-73.904777","1","22","297","4014032","4007450138","Woodside"
"M4778 Broadway LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","4778 Broadway","2233","10034","Manhattan","Commercial, retail, new building","concrete, steel, electrical, carpentry, plumbing, masonry, flooring, etc.","$30,000,000.00","2020-07-30T00:00:00.000","10034","Manhattan 12","2021-11-26T09:18:50.000","40.865818","-73.926444","12","10","291","1064893","1022330010","Marble Hill-Inwood"
"Sunshine Elmhurst LLC","Robert S. Altman Esq. PLLC","212 232-8713","rsalaw@nyctaxbreak.com","45-20 83rd Street","1536","223","Queens","Commercial, alteration, addition to new building","carpentry, ceiling, concrete deck, electric, elevator, masonry, fire alarm, plumbing, roofing, steel, etc.","$20,000,000.00","2020-09-01T00:00:00.000","11373","Queens 4","2021-11-26T09:18:50.000","40.741154","-73.881556","4","25","485","4038418","4015360223","Elmhurst-Maspeth"
"27-51 Jackson Ave. LLC","Law Offices of Jeffrey Golkin Partners","12-393-1200","sjgolkiesq@gmail.com","2749-2751 Jackson Avenue","432","3","Queens","New building, retail","electrical, plumbing, hvac, etc.","$2,807,431.71","2016-03-16T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000",,,,,,,,
"Savo Family Limited Partnership #2","Jeffrey Golkin Partners","212 393-1200","sjgolkinesq@qmail.com","74 Putnam Street","5497","95, 117","Staten Island","Commercial, retail, new building","sagona landscaping, plumbing, electric, sprinkler steel, etc.","$4,500,000.00","2019-07-30T00:00:00.000","10312","Staten Island 3","2021-11-26T09:18:50.000","40.543935","-74.163808","3","51","14604",,,"Great Kills"
"RD Brooklyn LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","4504 16th Avenue","5433","1101, 1102, 1103, 1104, 1105, 1106, 1107, 1108","Brooklyn","Commercial, alteration","electric, hvac, plumbing, etc.","$2,600,000.00","2018-03-02T00:00:00.000","11204","Brooklyn 12","2021-11-26T09:18:50.000","40.633182","-73.983290","12","44","232","3128432","3054330038","Borough Park"
"Collective 545 Broadway LLC","Rosenberg & Estis PC","212 551-1257","dbernstein@rosenbergestis.com","555 Broadway","3076","18, 22, 40, 101, 118","Brooklyn","Commercial, New Building","electrical, plumbing, hvac, etc.","$64,000,000.00","2020-01-01T00:00:00.000","11206","Brooklyn 1","2021-11-26T09:18:50.000","40.704621","-73.948745","1","34","491","3000000","3030760018","East Williamsburg"
"807 Back Street Property LLC and Glenn Real Estate Holdings, LLC (co-applicants)","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","807 Bank Street & 300 Dewitt Avenue","3880","12, 40","Brooklyn","Commercial, New Building","Elevators, plumbing, electrical, carpentry, painting, etc.","$51,170,000.00","2022-05-01T00:00:00.000","11236","Brooklyn 18","2021-11-26T09:18:50.000",,,,,,,,
"Brighton 11th Street LLC","MGNY Consulting Corp.","(718) 522-1112","michael@mgnyconsulting.com","50 Brighton 11 Street","8707","391","Brooklyn","Commercial, New Bulding","Electrical, carpentry, painting and others to be determined","$3,500,000.00","2018-11-15T00:00:00.000","11235","Brooklyn 13","2021-11-26T09:18:50.000","40.581356","-73.956720","13","48","61004","3245362","3087070391","Brighton Beach"
"Steinway Street LIC, LLC","Tuchman, Korngold, Weiss,Liebman & Gelles, LLP","212 687-3747","bgottlieb@tkwlg.com","36-20 Steinway Street","665","7, 31, 34, 38","Queens","Commercial, retail, new building","demo, landscaping, foundations, hvac, plumbing, electric","$5,409,537.00","2017-03-01T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.753253","-73.923688","1","26","157","4000000","4006650034","Astoria"
"RW 5901 Flatlands LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","5901 Flatlands Avenue","7763","12","Brooklyn","Commercial, new building","general contracting, concrete, plumbing, electrical, etc.","$3,000,000.00","2018-09-20T00:00:00.000","11234","Brooklyn 19","2021-11-26T09:18:50.000","40.631569","-73.919410","18","46","722","3254543","3077630012","Flatlands"
"FRV Phase 1 Commercial LLC","Tuchman, Korngold, Weiss, Leibman & Lindermann, LLP","212 687-3747","bgottlieb@tkwlg.com","1725 Village Lane","15537","1","Queens","Commercial","earthwork, foundation, excavation, underpipping, superstructure, brick, structural steel, wood & plastics, roofing, waterproffing, fireproofing, doors, storefront, drywall, carpentry, tile, stone, painting, signage, fire suppressionhvac, electrical, plumbing, specialties, equipment,","$7,866,704.00","2019-02-15T00:00:00.000","11691","Queens 14","2021-11-26T09:18:50.000",,,,,,,,
"Elms Realty Corporation","Robert S. Altman, Esq.","212 232-8713","rsalaw@nyctaxbreak.com","40-09 to 21 21st Street","410","9","Long Island City","Commercial alteration","plumbing, hvac, electrical, etc.","$4,000,000.00","2017-09-01T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000",,,,,,,,
"1159 River Avenue Housing Development Fund Corporation","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 687-3747","bgottlieb@tkwll.com","1159 River Avenue","2496","64, 73","Bronx","Commercial, New Building","Concrete, Masonry, Fa̤ade/Steel, Carpentry, Thermal Moisture, Doors & Windows, Finishes, Sprinklers, Plumbing, HVAC, Electrical, Security, Information Technology, Flooring, Fire Alarm, Structural Steel, Millwork, Foof, Fireproofing, Fencing, Plainting, Plaster","$4, 200,000.00","2019-07-15T00:00:00.000","10452","Bronx 4","2021-11-26T09:18:50.000","40.834635","-73.921947","4","16","197",,,"West Concourse"
"57 Will Property LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","57 Willoughby Street","147","36","Manhattan","Commercial, retail, alteration","concrete, steel, electrical, carpentry, hvac, plumbing, etc.","$7,262,088.00","2017-11-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.692217","-73.986665","2","33","11","3000338","3001470036","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"J & J Medipia Properties LLC","Park & Park LLP","718 313-0211","jspsquire@gmail.com","189-01 Northern Blvd.","5365","1","Queens","Commercial, new building","electrical, plumbing, heating, steel, etc.","$3,500,000.00","2019-05-31T00:00:00.000","11358","Queens 11","2021-11-26T09:18:50.000","40.757792","-73.791893","11","19","1175","4121028","4053650001","Murray Hill"
"3466 Webster LLC","Moseson and Associates Corporation","718 327-5779","yehuda_moseson@hotmail.com","3466 Webster Avenue","3357","410","Bronx","Hotel, new building","site work, concrete, foundation, masonry, doors, window, finishes, elevator, hvac, fire system, plumbing, electrical, steel work, scaffolding","$3,800,000.00","2016-12-31T00:00:00.000","10467","Bronx 7","2021-11-26T09:18:50.000","40.878187","-73.871696","7","11","42901","2000000","2033570410","Norwood"
"VP Capital Holdings LLC","MGNY Consulting Group","718 522-1111","michael@mgnyconsulting.com","77-39 Vleigh Place","6630","1","Queens","Commercial, new building","general contractor, electrical, plumbing, hvac, etc.","$22,000,000.00","2019-05-01T00:00:00.000","11367","Queens 8","2021-11-26T09:18:50.000","40.720012","-73.820601","8","24","77903","4000000","4066300001","Kew Gardens Hills"
"Trinity Mid Bronx Residential Ltd. Partnership","Tuchman, Korngold, Weiss, Liebman & Linderman LLP","212 687-3747","bgottlieb@tkwlg.com","425 Grand Concourse","2346","1","Bronx","Commercial, new building","concrete, masonry, carpentry, drywall, doors, storefront, tile, stone, plumbing, hvac, electric,fire alarm, etc.","$4,000,000.00","2020-07-01T00:00:00.000","10451","Bronx 1","2021-11-26T09:18:50.000","40.817142","-73.927957","1","17","63","2000000","2023460001","West Concourse"
"Gansevoort LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","10-20 Ninth Avenue","628","4","Manhattan","Commercial, hotel, alteration","plumbing, electrical, sheetrock, carpentry, flooring, waterproofing","$15,430,055.00","2017-09-01T00:00:00.000","10014","Manhattan 2","2021-11-26T09:18:50.000","40.739919","-74.006106","2","3","79","1087054","1006280004","West Village"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","208","2","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$3,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"345 PAS LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","345-355 Park Avenue","881","1","Manhattan","Renovation, modernication of building","concrete, steel, electrical, carpentry,  plumbing, masonry, fa̤ade, flooring","$56,000,000.00","2018-11-18T00:00:00.000","10010","Manhattan 5","2021-11-26T09:18:50.000","40.758171","-73.973246","5","4","100","1036460","1013060001","Turtle Bay-East Midtown"
"303  W 42nd Street LLC","Seiden & Schien PC","212 935-1400","jayseiden@seidenschein.com","303 West 42nd Street","1033","32, 36","Manhattan","Commercial, retail, alteration","demolition, excavation, roofing,waterproofing, caulking, fire stopping, arch woodwork, drywall, caprnetry, windows hollwo metal, lath & acoustics, ceramic, tile, stone, painting, elevator, electric, hvac, plumbing, sprinkler, scaffold, bridge, asbestos, security systems","$20,215,869.00","2018-08-01T00:00:00.000","10036","Manhattan 4","2021-11-26T09:18:50.000","40.757436","-73.990254","4","3","121","1024947","1010330032","Clinton"
"31 Spencer Street LLC","Metropolitan Realty Exemptions, Inc.","718 387-3004","shaindy@mretax.com","31 Spencer Street","1716","10","Brooklyn","Commercial, new building","plumbing, electrical, carpentry, hvac, etc.","$16,100,000.00","2018-01-01T00:00:00.000","11205","Brooklyn 1","2021-11-26T09:18:50.000","40.698020","-73.955851","3","33","1237","3000000","3017160010","Bedford"
"Prologis, L.P.","Marcus & Pollack, LLP","(212) 490-2900","jmarcus@marcuspollack.com","48 Grand Avenue","2611","110, 111","Queens","Commercial, Alteration","HVAC, Electrical, Steel, Masonry, and others to be determined","$10,000,000.00","2021-05-15T00:00:00.000","11378","Queens 5","2021-11-26T09:18:50.000",,,,,,,,
