"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-02608-0022","1103 FRANKLIN AVENUE
Bronx, NY 
(40.827948227628, -73.906223709357)","2","10456","40.827713","-73.90645","3","16","185","2113110","2026080022","Morrisania-Melrose                                                         ",,,,,"24750","298260","12.05","632000","25.5","2-02609-0028","536 168 STREET
Bronx, NY 
(40.830871669725, -73.905347224407)","MORRISANIA/LONGWOOD","C7-WALK-UP","38","1917","24174","329683","13.64","1030000","42.6","0.2","2-02418-0001","299 158 STREET
Bronx, NY 
(40.82329417536, -73.917997001021)","MELROSE/CONCOURSE","C7-WALK-UP","15","1931","11815","99710","8.44","211000","17.86","0.65"
"2-03083-0001","661 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"272000","3223200","11.85","9060000","33.3","2-03138-0001","999 180 STREET
Bronx, NY 
(40.843235160415, -73.879194673825)","EAST TREMONT","D1-ELEVATOR","237","1974","276135","3272518","11.85","6940000","25.1","0.65","2-03113-0009","769 GROTE STREET
Bronx, NY 
(40.850670895589, -73.884009307025)","BELMONT","D1-ELEVATOR","249","1973","207850","2967215","14.28","6290000","30.3","0.25"
"2-02868-0121","1966 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"17100","175446","10.26","417000","24.39","2-02876-0067","1600 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","32","1922","29315","300824","10.26","715000","24.39","0.55","2-02876-0065","1592 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","32","1922","29315","279059","9.52","664000","22.65","0.55"
"2-03344-0086","3520 TRYON AVENUE
Bronx, NY 
(40.880634043032, -73.876625256241)","2","10467","40.880718","-73.876617","7","11","431","2018283","2033440086","Norwood                                                                    ",,,,,"53700","599345","11.16","1550000","28.9","2-02867-0103","1718 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","64","1938","59700","566661","9.49","1350000","22.61","2.85","2-04831-0064","4054 CARPENTER AVENUE
Bronx, NY 
(40.890935439052, -73.862082508468)","WILLIAMSBRIDGE","D1-ELEVATOR","64","1928","53664","593000","11.05","1540000","28.7","1.05"
"2-05788-0119","3215 NETHERLAND AVENUE
Bronx, NY 
(40.88393349525, -73.911596407659)","2","10463","40.884167","-73.911488","8","11","297","2084120","2057880119","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"75000","828750","11.05","2150000","28.7","2-05781-1100","3900 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","37","1928","37962","413477","10.89","1070000","28.2","0.4","2-05791-0388","511 235 STREET
Bronx, NY 
(40.885270655874, -73.907787840625)","RIVERDALE","D7-ELEVATOR","55","1936","64000","865834","13.53","2700000","42.2","0.25"
"2-02700-0053","1061 INTERVALE AVENUE
Bronx, NY 
(40.824954497085, -73.896886103878)","2","10459","40.824941","-73.896857","2","17","131","2005409","2027000053","Longwood                                                                   ",,,,,"20825","254273","12.21","539000","25.9","2-02716-0034","900 167 STREET
Bronx, NY 
(40.826061396427, -73.895372998396)","MORRISANIA/LONGWOOD","C7-WALK-UP","31","1924","22770","290849","12.77","906000","39.8","0.1","2-02948-0018","1795 CLINTON AVENUE
Bronx, NY 
(40.842227598969, -73.892605037115)","CROTONA PARK","C1-WALK-UP","30","1924","20785","202625","9.75","430000","20.69","1.2"
"2-03258-0013","3311 GILES PLACE
Bronx, NY 
(40.878717052318, -73.898605510419)","2","10463","40.878823","-73.898542","8","11","279","2015803","2032580013","Van Cortlandt Village                                                      ",,,,,"98000","1078480","11","2800000","28.6","2-03258-0228","3435 GILES PLACE
Bronx, NY 
(40.880290223866, -73.897697492522)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","67","1959","79000","858875","10.87","2230000","28.2","0.1","2-05784-0340","500 235 STREET
Bronx, NY 
(40.885146854323, -73.907410007235)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","87","1954","92600","1246526","13.46","3880000","41.9","0.55"
"2-02683-0041","571 SOUTHERN BOULEVARD
Bronx, NY 
(40.81245139545, -73.903133881487)","2","10455","40.812457","-73.903039","2","17","83","2005084","2026830041","Longwood                                                                   ",,,,,"25926","320445","12.36","679000","26.2","2-02266-0020","550 139 STREET
Bronx, NY 
(40.807704734233, -73.917561175815)","MOTT HAVEN/PORT MORRIS","C7-WALK-UP","11","1931","11405","210856","18.49","788000","69","0.9","2-02620-0022","3246 3 AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","MORRISANIA/LONGWOOD","C7-WALK-UP","25","1907","22672","358446","15.81","1210000","53","0.75"
"2-03948-0047","2181 STARLING AVENUE
Bronx, NY 
(40.836339133714, -73.85270261096)","2","10462","40.836313","-73.8527","9","18","222","2041246","2039480047","Parkchester                                                                ",,,,,"30927","364938","11.8","1030000","33.3","2-04994-0017","667 233 STREET
Bronx, NY 
(40.893860149018, -73.858562798261)","WAKEFIELD","D1-ELEVATOR","51","1963","48041","566749","11.8","1590000","33.1","3.95","2-04328-0011","2185 HONE AVENUE
Bronx, NY 
(40.856368618952, -73.859940949344)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","43","1962","41225","305863","7.42","648000","15.72","1.35"
"2-03258-0073","3400 FT
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"232808","2262893","9.72","4800000","20.62","2-02269-0001","370 BROOK AVENUE
Bronx, NY 
(40.810672193645, -73.917382238624)","MOTT HAVEN/PORT MORRIS","D3-ELEVATOR","173","1970","209819","2053080","9.79","4350000","20.73","4.9","2-03140-0007","2082 BOSTON ROAD
Bronx, NY 
(40.842123449388, -73.878441701991)","EAST TREMONT","D1-ELEVATOR","169","1974","200529","2352122","11.73","4990000","24.88","2.9"
"2-05802-1294","6035 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.891859","-73.897216","8","11","351","2084217","2058021294","North Riverdale-Fieldston-Riverdale                                        ",,,,,"107627","1275379","11.85","3580000","33.3","2-05920-0670","3801 HUDSON MANOR TERRACE
Bronx, NY 
(40.888545076654, -73.915673378076)","RIVERDALE","D1-ELEVATOR","135","1960","152400","2071191","13.59","6450000","42.3","0.9","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1228776","12.23","3450000","34.3","0.85"
"2-05953-0038","5700 ARLINGTON AVENUE
Bronx, NY 
(40.906488104898, -73.906727850299)","2","10471","40.906656","-73.906827","8","11","323","2086319","2059530038","North Riverdale-Fieldston-Riverdale                                        ",,,,,"404890","5769682","14.25","18000000","44.5","2-05909-0825","630 246 STREET
Bronx, NY 
(40.892304399856, -73.911313521866)","RIVERDALE","D3-ELEVATOR","403","1958","443283","9589106","21.63","39700000","90","1.15","2-04342-0010","2280 OLINVILLE AVENUE
Bronx, NY 
(40.859362051632, -73.868536757872)","BRONXDALE","D1-ELEVATOR","256","1965","255000","3151521","12.36","8860000","34.7","3.8"
"2-05920-0653","3671 HUDSON MANOR TERRACE
Bronx, NY 
(40.887765742934, -73.915779782582)","2","10463","40.887821","-73.91575","8","11","309","2085874","2059200653","North Riverdale-Fieldston-Riverdale                                        ",,,,,"216720","2936556","13.55","9140000","42.2","2-05760-0112","3424 KINGSBRIDGE AVENUE
Bronx, NY 
(40.882995283021, -73.903440283547)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","138","1962","128500","1609377","12.52","4520000","35.2","0.8","2-05903-0283","3611 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D3-ELEVATOR","123","1951","134000","1961368","14.64","6630000","49.5","0.25"
"2-04322-0051","2165 MATTHEWS AVENUE
Bronx, NY 
(40.8557379344, -73.862926381466)","2","10462","40.85569","-73.862905","11","13","228","2049437","2043220051","Pelham Parkway                                                             ",,,,,"58500","701415","11.99","1970000","33.7","2-04319-0025","2198 CRUGER AVENUE
Bronx, NY 
(40.856594818695, -73.86660537781)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","88","1930","88386","1059395","11.99","2980000","33.7","0.15","2-04319-0045","2157 HOLLAND AVENUE
Bronx, NY 
(40.85510987047, -73.865776406203)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","73","1930","73842","847683","11.48","2200000","29.8","0.15"
"2-02638-0001","872 TRINITY AVENUE
Bronx, NY 
(40.821755548015, -73.906401029473)","2","10456","40.821842","-73.906389","3","16","133","2091950","2026380001","Morrisania-Melrose                                                         ",,,,,"292000","3431670","11.75","7280000","24.93","2-02456-0175","1181 SHERIDAN AVENUE
Bronx, NY 
(40.833481206278, -73.917106521555)","MELROSE/CONCOURSE","D1-ELEVATOR","68","1936","72276","606956","8.4","1290000","17.85","1.05","2-02555-0013","592 OAK TERRACE
Bronx, NY 
(40.808870030461, -73.914416499858)","MOTT HAVEN/PORT MORRIS","D1-ELEVATOR","32","1925","23635","384033","16.25","1300000","55","1.05"
"2-02722-0001","854 INTERVALE AVENUE
Bronx, NY 
(40.817955468855, -73.895551794642)","2","10459","40.817721","-73.895441","2","17","89","2087653","2027220001","Hunts Point                                                                ",,,,,"10220","0","0","400000","39.1","2-02410-0001","271 150 STREET
Bronx, NY 
(40.818053964707, -73.922343408597)","MELROSE/CONCOURSE","C7-WALK-UP","20","1910","10587","123126","11.63","346000","32.7","1.35","2-03080-0038","2037 BELMONT AVENUE
Bronx, NY 
(40.847875903687, -73.890421067013)","EAST TREMONT","C1-WALK-UP","17","1909","11629","162311","13.96","344000","29.6","2.1"
"2-02791-0054","1685 TOPPING AVENUE
Bronx, NY 
(40.843712542501, -73.905901461559)","2","10457","40.843859","-73.905849","4","15","22902","2007354","2027910054","Mount Hope                                                                 ",,,,,"33000","180225","5.46","3736500","113","2-02845-0062","1535 WALTON AVENUE
Bronx, NY 
(40.84184087299, -73.914352253919)","MOUNT HOPE/MOUNT EDEN","D1-ELEVATOR","48","1928","45630","578877","12.69","1230000","27","0.4","2-02847-0022","1605 TOWNSEND AVENUE
Bronx, NY 
(40.844352448273, -73.91363399673)","MOUNT HOPE/MOUNT EDEN","D1-ELEVATOR","36","1927","33000","308437","9.35","734000","22.24","0.4"
"2-03100-0018","765 GARDEN STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10460","40.849834","-73.884113","6","15","393","2012788","2031000018","Belmont                                                                    ",,,,,"17600","180400","10.25","382000","21.7","2-03099-0006","743 182 STREET
Bronx, NY 
(40.850058089353, -73.885969751409)","BELMONT","C1-WALK-UP","20","1913","19750","202239","10.24","481000","24.35","0.1","2-03102-0035","2367 PROSPECT AVENUE
Bronx, NY 
(40.853061016263, -73.883054427036)","BELMONT","C1-WALK-UP","24","1916","17200","213500","12.41","600000","34.9","0.2"
"2-02826-0024","110 176 STREET
Bronx, NY 
(40.848163388182, -73.909428878429)","2",,,,,,,,,,,,,,"28100","336357","11.97","713000","25.4","2-02829-0030","55 179 STREET
Bronx, NY 
(40.852197110553, -73.907498623411)","MOUNT HOPE/MOUNT EDEN","C1-WALK-UP","33","1923","29655","354970","11.97","998000","33.7","0.35","2-02829-0042","2030 WALTON AVENUE
Bronx, NY 
(40.853239671904, -73.906614148806)","MOUNT HOPE/MOUNT EDEN","C1-WALK-UP","36","1924","26835","306247","11.41","861000","32.1","0.35"
"2-05745-0290","2501 PALISADE AVENUE
Bronx, NY 
(40.880534961738, -73.922380747459)","2","10463","40.880848","-73.922196","8","11","29301","2093896","2057450290","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"28536","435174","15.25","1470000","52","2-05844-1935","5431 SYLVAN AVENUE
Bronx, NY 
(40.902340245832, -73.898609426903)","RIVERDALE","C1-WALK-UP","24","1972","18756","297022","15.84","1000000","53","1.8","2-05798-0101","3615 OXFORD AVENUE
Bronx, NY 
(40.886877804886, -73.908631585139)","RIVERDALE","C1-WALK-UP","15","1980","7550","156480","20.73","585000","77","0.7"
"2-04174-0024","3121 MIDDLETOWN ROAD
Bronx, NY 
(40.84523742771, -73.82645434178)","2","10461","40.845216","-73.826436","10","13","26602","2046201","2041740024","Pelham Bay-Country Club-City Island                                        ",,,,,"135250","1593245","11.78","4480000","33.1","2-04178-0010","3555 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","SCHUYLERVILLE/PELHAM BAY","D3-ELEVATOR","142","1960","112000","1426482","12.74","4010000","35.8","0.1",,,,,,,,,,,,
"2-02479-0001","85 MC CLELLAN STREET
Bronx, NY 
(40.833798555414, -73.921043810762)","2","10452","40.833765","-73.92099","4","16","197","2002954","2024790001","West Concourse                                                             ",,,,,"56400","566400","10.04","1350000","23.94","2-02432-0005","986 MORRIS AVENUE
Bronx, NY 
(40.828527009337, -73.916800136382)","MELROSE/CONCOURSE","D1-ELEVATOR","30","1929","34125","453026","13.28","960000","28.1","0.45","2-02456-0175","1181 SHERIDAN AVENUE
Bronx, NY 
(40.833481206278, -73.917106521555)","MELROSE/CONCOURSE","D1-ELEVATOR","68","1936","72276","606956","8.4","1290000","17.85","0.15"
"2-03282-0007","2640 MARION AVENUE
Bronx, NY 
(40.864340667581, -73.891034284093)","2","10458","40.864448","-73.890957","7","15","40502","2016467","2032820007","Bedford Park-Fordham North                                                 ",,,,,"91075","977234","10.73","2530000","27.8","2-03308-0051","253 202 STREET
Bronx, NY 
(40.872917301805, -73.88514514725)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","101","1965","101050","1129955","11.18","2930000","29","0.65","2-03320-0044","222 BEDFORD PARK
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","63","1939","71250","732435","10.28","1740000","24.42","0.5"
"2-04319-0010","2156 CRUGER AVENUE
Bronx, NY 
(40.855107271825, -73.866648228955)","2","10462","40.855219","-73.866658","11","13","22403","2049404","2043190010","Pelham Parkway                                                             ",,,,,"70836","813197","11.48","2110000","29.8","2-04319-0045","2157 HOLLAND AVENUE
Bronx, NY 
(40.85510987047, -73.865776406203)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","73","1930","73842","847683","11.48","2200000","29.8","0",,,,,,,,,,,,
"2-02474-0010","828 GERARD AVENUE
Bronx, NY 
(40.826243546456, -73.925645012257)","2","10451","40.826146","-73.925725","4","8","63","2002902","2024740010","West Concourse                                                             ",,,,,"42660","505310","11.85","1310000","30.7","2-02487-0010","1065 GERARD AVENUE
Bronx, NY 
(40.83204594071, -73.922318802188)","MELROSE/CONCOURSE","D1-ELEVATOR","126","1999","96774","1054293","10.89","2730000","28.2","0.5","2-02432-0005","986 MORRIS AVENUE
Bronx, NY 
(40.828527009337, -73.916800136382)","MELROSE/CONCOURSE","D1-ELEVATOR","30","1929","34125","453026","13.28","960000","28.1","0.55"
"2-05000-0001","855 233 STREET
Bronx, NY 
(40.891973288026, -73.852809222742)","2",,,,,,,,,,,,,,"120534","1284892","10.66","2720000","22.57","2-03212-0005","2260 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","110","1959","122883","1212521","9.87","2880000","23.44","3.45","2-05796-0129","3660 OXFORD AVENUE
Bronx, NY 
(40.887600254178, -73.90868609313)","RIVERDALE","D3-ELEVATOR","77","1967","106934","1346616","12.59","3780000","35.3","2.9"
"2-02615-0055","1225 BOSTON ROAD
Bronx, NY 
(40.829927670252, -73.901905456962)","2","10456","40.830039","-73.901727","3","16","149","2004311","2026150055","Morrisania-Melrose                                                         ",,,,,"24930","236749","9.5","502000","20.14","2-02615-0029","622 169 STREET
Bronx, NY 
(40.831443554942, -73.901259160446)","MORRISANIA/LONGWOOD","C7-WALK-UP","24","1905","25790","272429","10.56","706000","27.4","0","2-02376-0049","3009 3 AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","MORRISANIA/LONGWOOD","C7-WALK-UP","12","1905","11022","162569","14.75","550000","49.9","1"
"2-02508-0026","1045 ANDERSON AVENUE
Bronx, NY 
(40.833331107414, -73.926384858934)","2","10452","40.833453","-73.926292","4","8","189","2003142","2025080026","Highbridge                                                                 ",,,,,"54180","641760","11.84","1360000","25.1","2-02506-0134","1337 EDWARD
Bronx, NY 
(40.837100126631, -73.835268207606)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","28","1931","25800","258760","10.03","615000","23.84","0.55","2-02514-0025","1085 NELSON AVENUE
Bronx, NY 
(40.834921487098, -73.927324206456)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","48","1931","42000","510531","12.16","1430000","34","0.15"
"2-04317-0025","2190 BOSTON ROAD
Bronx, NY 
(40.856387421905, -73.869425504607)","2","10462","40.85637","-73.869533","11","13","22401","2049372","2043170025","Pelham Parkway                                                             ",,,,,"87354","922458","10.56","2390000","27.4","2-04317-0040","2185 BOLTON STREET
Bronx, NY 
(40.856254677536, -73.868683134224)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","67","1935","70704","716211","10.13","1520000","21.5","0","2-04317-0046","2165 BOLTON STREET
Bronx, NY 
(40.855821549924, -73.868695611151)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","67","1935","70230","741783","10.56","1920000","27.3","0"
"2-03279-0016","398 OLIVER PLACE
Bronx, NY 
(40.866423581366, -73.885204364523)","2","10458","40.866485","-73.885237","7","15","40702","2016409","2032790016","Bedford Park-Fordham North                                                 ",,,,,"42975","505816","11.77","1420000","33","2-03285-0015","2970 MARION AVENUE
Bronx, NY 
(40.869508033605, -73.883373826927)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","36","1936","36185","395718","10.94","1030000","28.5","0.2","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","743992","12.59","2090000","35.4","0.25"
"2-05716-0362","2400 JOHNSON AVENUE
Bronx, NY 
(40.876735383106, -73.918928536251)","2","10463","40.876816","-73.918201","8","11","29302","2083244","2057160362","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"142000","1945400","13.7","6060000","42.7","2-05760-0112","3424 KINGSBRIDGE AVENUE
Bronx, NY 
(40.882995283021, -73.903440283547)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","138","1962","128500","1609377","12.52","4520000","35.2","1","2-05909-0825","630 246 STREET
Bronx, NY 
(40.892304399856, -73.911313521866)","RIVERDALE","D3-ELEVATOR","403","1958","443283","9589106","21.63","39700000","90","1.05"
"2-05873-1042","6601 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.908486","-73.896579","8","11","343","2085341","2058731042","North Riverdale-Fieldston-Riverdale                                        ",,,,,"92640","1093152","11.8","3070000","33.1","2-05732-0924","2700 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1955","108955","1203875","11.05","3120000","28.6","2.1","2-05907-0352","3800 INDEPENDENCE AVENUE
Bronx, NY 
(40.889028698943, -73.912978481492)","RIVERDALE","D1-ELEVATOR","72","1970","84925","1083912","12.76","3380000","39.8","1.55"
"2-02471-0036","1015 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"75000","650830","8.68","1380000","18.4","2-02846-0041","1565 TOWNSEND AVENUE
Bronx, NY 
(40.843589652407, -73.914182743933)","MOUNT HOPE/MOUNT EDEN","D1-ELEVATOR","61","1941","68400","541565","7.92","1150000","16.81","0.95","2-02799-0035","1775 CLAY AVENUE
Bronx, NY 
(40.846084984888, -73.904770070432)","MOUNT HOPE/MOUNT EDEN","D1-ELEVATOR","49","1941","39930","447141","11.2","1160000","29.1","1.35"
"2-02751-0008","1096 FARMS ROAD
Bronx, NY 
(40.826379540089, -73.890280082608)","2",,,,,,,,,,,,,,"14575","133890","9.19","284000","19.49","2-02674-0027","592 UNION AVENUE
Bronx, NY 
(40.813652237534, -73.904953255847)","MORRISANIA/LONGWOOD","C1-WALK-UP","43","1926","33890","534664","15.78","1810000","53","1.15","2-02427-0018","1268 CLAY AVENUE
Bronx, NY 
(40.833666143802, -73.909851664709)","MELROSE/CONCOURSE","C1-WALK-UP","12","1909","11345","102734","9.06","218000","19.22","1.15"
"2-04256-0008","1954 UNIONPORT ROAD
Bronx, NY 
(40.850109890091, -73.868669223068)","2","10462","40.849999","-73.868754","11","15","230","2047875","2042560008","Van Nest-Morris Park-Westchester Square                                    ",,,,,"63540","637941","10.04","1520000","23.92","2-04284-0001","2039 CRUGER AVENUE
Bronx, NY 
(40.85151387209, -73.866826178161)","MORRIS PARK/VAN NEST","D1-ELEVATOR","73","1935","81456","777618","9.55","1850000","22.71","0.15","2-04285-0010","2036 CRUGER AVENUE
Bronx, NY 
(40.851373130657, -73.866758916347)","MORRIS PARK/VAN NEST","D1-ELEVATOR","43","1937","43854","440155","10.04","1050000","23.94","0.15"
"2-05855-2239","5730 MOSHOLU AVENUE
Bronx, NY 
(40.905626896972, -73.89939068438)","2","10471","40.905659","-73.899325","8","11","345","2084888","2058552239","North Riverdale-Fieldston-Riverdale                                        ",,,,,"33000","402600","12.2","1130000","34.2","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, NY 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","660893","15.81","2230000","53","1.25","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","1.4"
"2-05764-0642","3475 GREYSTONE AVENUE
Bronx, NY 
(40.884799515804, -73.90695662585)","2","10463","40.884704","-73.907031","8","11","295","2083824","2057640642","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"61187","734244","12","2060000","33.7","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","0.15","2-05792-0430","530 236 STREET
Bronx, NY 
(40.886395819768, -73.908274631718)","RIVERDALE","D7-ELEVATOR","86","1954","103392","1549644","14.99","5240000","51","0.1"
"2-03263-0235","3840 CANNON PLACE
Bronx, NY 
(40.883081338019, -73.896092507135)","2","10463","40.883514","-73.895381","8","11","279","2092476","2032630235","Van Cortlandt Village                                                      ",,,,,"170350","2014214","11.82","4270000","25.1","2-02511-0022","939 WOODYCREST AVENUE
Bronx, NY 
(40.831083385627, -73.929244003222)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","169","1928","196432","1813756","9.23","4310000","21.94","4.05","2-03100-0065","711 GARDEN STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","BELMONT","D7-ELEVATOR","167","1971","190000","2270224","11.95","4810000","25.3","2.3"
"2-02791-0052","1695 TOPPING AVENUE
Bronx, NY 
(40.843948036386, -73.905879321109)","2","10457","40.84412","-73.905827","4","15","22902","2007353","2027910052","Mount Hope                                                                 ",,,,,"17000","200770","11.81","478000","28.1","2-02792-0014","1665 MONROE AVENUE
Bronx, NY 
(40.84345965806, -73.906834470345)","MOUNT HOPE/MOUNT EDEN","C1-WALK-UP","48","1926","28000","514860","18.39","1930000","69","0.1","2-02795-0026","1796 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MOUNT HOPE/MOUNT EDEN","C1-WALK-UP","24","1911","24500","289361","11.81","813000","33.2","0.2"
"2-05778-0879","3875 WALDO AVENUE
Bronx, NY 
(40.888634689386, -73.903146797717)","2","10463","40.888544","-73.90316","8","11","335","2091875","2057780879","North Riverdale-Fieldston-Riverdale                                        ",,,,,"150000","1687500","11.25","4370000","29.1","2-05789-0024","3240 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","108","1938","163197","2119976","12.99","6600000","40.4","0.55","2-05754-0090","225 232 STREET
Bronx, NY 
(40.88038240123, -73.904333150882)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","96","1929","87510","926140","10.58","1960000","22.4","0.55"
"2-05745-0001","2621 PALISADE AVENUE
Bronx, NY 
(40.88178886635, -73.921407259442)","2","10463","40.881995","-73.921164","8","11","29301","2083472","2057450001","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"231154","2889425","12.5","8120000","35.1","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","3082644","13.01","9600000","40.5","0.85","2-05760-0112","3424 KINGSBRIDGE AVENUE
Bronx, NY 
(40.882995283021, -73.903440283547)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","138","1962","128500","1609377","12.52","4520000","35.2","1"
"2-05747-0590","2711 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.88169","-73.917172","8","11","301","2083482","2057470590","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"82559","990708","12","2780000","33.7","2-05792-0430","530 236 STREET
Bronx, NY 
(40.886395819768, -73.908274631718)","RIVERDALE","D7-ELEVATOR","86","1954","103392","1549644","14.99","5240000","51","0.5","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","0.5"
"2-03111-0004","2120 MAPES AVENUE
Bronx, NY 
(40.847241299303, -73.884964707681)","2","10460","40.847123","-73.885094","6","15","36501","2012994","2031110004","East Tremont                                                               ",,,,,"27495","329940","12","700000","25.5","2-03082-0031","650 182 STREET
Bronx, NY 
(40.851084400471, -73.888381933837)","EAST TREMONT","C1-WALK-UP","25","1911","17835","225262","12.63","633000","35.5","0.35","2-03107-0016","800 179 STREET
Bronx, NY 
(40.845173551374, -73.886736166802)","EAST TREMONT","C1-WALK-UP","29","1912","20300","273340","13.47","851000","41.9","0.15"
