"dca_license_number","license_status","business_name","dba_trade_name","building_number","street","unit","city","state","postcode","borough","darp_enrollment_status","rotow_enrollment_status","community_board","council_district","police_precinct","bbl","bin","x_coordinate","y_coordinate","latitude","longitude","census_tract","nta","geocoded_column_1"
"2086078-DCA","Active","ELITE FORCE TOWING, INC.",,"2757","STILLWELL AVE",,"BROOKLYN","NY","11224-2721","Brooklyn",,,"313","47","60","3072470177","3196280","989213","150686","40.580273","-73.982133","348","Seagate-Coney Island","POINT (-73.982133 40.580273)"
"2040002-DCA","Active","SUPER FAST AUTOMOTIVE INC",,"3824","24TH ST",,"LONG ISLAND CITY","NY","11101-3620","Queens",,,"401","26","114","4003890027","4004732","1001731","214669","40.755876","-73.936903","33","Queensbridge-Ravenswood-Long Island City","POINT (-73.936903 40.755876)"
"0883295-DCA","Active","DAVIDOVITZ, MICHAEL","RISHON TOWING","1060","MCDONALD AVE",,"BROOKLYN","NY","11230-1080","Brooklyn","Not Enrolled","Not Enrolled","312","44","66","3054520039","3129125","990744","167961","40.627689","-73.976605","476","Borough Park","POINT (-73.976605 40.627689)"
"0885811-DCA","Active","TRIANGLE AUTOMOTIVE INC.",,"5960","DECATUR ST",,"RIDGEWOOD","NY","11385-5943","Queens","Enrolled","Not Enrolled","405","34","104","4035900105","4458766","1013037","194251","40.699804","-73.896181","557","Ridgewood","POINT (-73.896181 40.699804)"
"2013489-DCA","Active","CLASSIC TOWING INC",,"314","MCGUINNESS BLVD",,"BROOKLYN","NY","11222-1821","Brooklyn",,,"301","33","94","3025340007","3064360","997528","206370","40.733105","-73.95209","579","Greenpoint","POINT (-73.95209 40.733105)"
"0929938-DCA","Active","B & M ELECTRONIC DIAGNOSTIC REPAIR SERVICE INC","B & M TOWING","6202","ALMEDA AVE",,"ARVERNE","NY","11692-1347","Queens","Enrolled","Enrolled","414","31","100","4160060006","4448983","1041880","156932","40.597231","-73.79248","964","Hammels-Arverne-Edgemere","POINT (-73.79248 40.597231)"
"2029230-DCA","Active","NAUGHTY DOG TOWING INC",,"3203","BOSTON RD",,"BRONX","NY","10469-3800","Bronx",,,"212","12","47","2046130001","2056667","1024096","256776","40.871376","-73.855927","348","Allerton-Pelham Gardens","POINT (-73.855927 40.871376)"
"1089002-DCA","Active","PLATINUM TOWING INC.",,"211","62ND ST",,"BROOKLYN","NY","11220-4409","Brooklyn","Enrolled","Enrolled","307","38","72","3057890069","3143675","977734","173192","40.642047","-74.023479","22","Sunset Park West","POINT (-74.023479 40.642047)"
"2049416-DCA","Active","NAD AUTO REPAIR CORP.",,"21620","HEMPSTEAD AVE",,"QUEENS VILLAGE","NY","11429-1224","Queens",,,"413","27","105","4110830100","4238784","1055597","199977","40.71528","-73.742631","540","Queens Village","POINT (-73.742631 40.71528)"
"0833175-DCA","Active","J & J TOWING INC.",,"141A","ANDROS AVE",,"STATEN ISLAND","NY","10303-2040","Staten Island","Enrolled","Enrolled","501","49","121",,,"939164","170624","40.634886","-74.162442","31902","Mariner's Harbor-Arlington-Port Ivory-Graniteville","POINT (-74.162442 40.634886)"
"2015542-DCA","Active","Emergency Tow America Corp","ETA","1908","PATTERSON AVE",,"BRONX","NY","10473-3033","Bronx",,,"209","18","43","2034740031","2020498","1023883","235681","40.813477","-73.856822","4","Soundview-Castle Hill-Clason Point-Harding Park","POINT (-73.856822 40.813477)"
"2047575-DCA","Active","Split Second Autobody LTD",,"1960","41ST ST",,"ASTORIA","NY","11105-1024","Queens","Enrolled",,"401","22","114","4008020011","4015668","1012560","222923","40.77671","-73.900004","12301","Steinway","POINT (-73.900004 40.77671)"
"2076617-DCA","Active","N.Y. PLE INC",,"1841","STEINWAY ST",,"ASTORIA","NY","11105-1010","Queens","Enrolled",,"401","22","114","4008020116","4015685","1012466","223229","40.779344","-73.898119","12301","Steinway","POINT (-73.898119 40.779344)"
"0850454-DCA","Active","MOTION TOWING, INC.",,"3504","HEATHCOTE AVE",,"BRONX","NY","10475-1208","Bronx","Not Enrolled","Enrolled","212","12","47","2052860036","2072576","1032769","261989","40.88564","-73.82453","46202","Co-op City","POINT (-73.82453 40.88564)"
"0921249-DCA","Active","FINEST TOWING & AUTO BODY INC.",,"11","BRICK CT",,"STATEN ISLAND","NY","10309-1963","Staten Island","Enrolled","Not Enrolled","503","51","123","5074000100","5151534","917196","135712","40.53892","-74.241244","226","Charleston-Richmond Valley-Tottenville","POINT (-74.241244 40.53892)"
"1025395-DCA","Active","ALL ISLAND T COLLISION & TOWING INC.",,"8611","LIBERTY AVE",,"OZONE PARK","NY","11417-1325","Queens","Enrolled","Not Enrolled","410","32","106","4091070005","4189444","1025271","186987","40.679818","-73.852104","54","Ozone Park","POINT (-73.852104 40.679818)"
"1418653-DCA","Active","J&J TOWING AND RECOVERY INC",,"30","GRILLE CT",,"STATEN ISLAND","NY","10309-1400","Staten Island","Not Enrolled","Not Enrolled","503","51","123","5071200160","5111438","920787","138288","40.546017","-74.228349","226","Charleston-Richmond Valley-Tottenville","POINT (-74.228349 40.546017)"
"2084955-DCA","Active","FIVE J'S AUTO WORKS INC",,"5914","BEACH CHANNEL DR",,"ARVERNE","NY","11692-1436","Queens",,,"414","31","100","4160110105","4302403","1042858","155805","40.594131","-73.788968","97203","Hammels-Arverne-Edgemere","POINT (-73.788968 40.594131)"
"0855295-DCA","Active","BRIGHTON COLLISION, INC.",,"1672","MCDONALD AVE",,"BROOKLYN","NY","11230-6311","Brooklyn","Enrolled","Not Enrolled","311","44","62","3065820043","3173471","991574","162265","40.612054","-73.973621","440","Ocean Parkway South","POINT (-73.973621 40.612054)"
"1157741-DCA","Active","JOHN'S TOWING, INC",,"12761","WILLETS POINT BLVD",,"CORONA","NY","11368-1500","Queens","Not Enrolled","Not Enrolled","407","21","110","4018310035","4520460","1028244","216124","40.759778","-73.841195","38301","park-cemetery-etc-Queens","POINT (-73.841195 40.759778)"
"0833070-DCA","Active","BREEN BROS. TOWING, INC.",,"566","INDUSTRIAL LOOP",,"STATEN ISLAND","NY","10309-1121","Staten Island","Enrolled","Enrolled","503","51","123","5072060037","5092982","920210","138590","40.546851","-74.23041","226","Charleston-Richmond Valley-Tottenville","POINT (-74.23041 40.546851)"
"0991107-DCA","Active","BRYAN'S AUTO EAST, LTD.",,"8715","BEACH CHANNEL DR",,"ROCKAWAY BEACH","NY","11693-1415","Queens","Enrolled","Not Enrolled","414","32","100","4161190071","4303399","1036047","154426","40.590389","-73.813503","94202","Hammels-Arverne-Edgemere","POINT (-73.813503 40.59038900000001)"
"2008453-DCA","Active","BLUE WRENCH AUTO & TOWING SERVICE INC.",,"1819","W FARMS RD",,"BRONX","NY","10460-6026","Bronx","Enrolled",,"203","17","42","2030150085","2094597","1016863","244117","40.836786","-73.882152","161","Crotona Park East","POINT (-73.882152 40.836786)"
"0945325-DCA","Active","KENBEN INDUSTRIES LTD.",,"364","MASPETH AVE",,"BROOKLYN","NY","11211-1704","Brooklyn","Not Enrolled","Not Enrolled","301","34","90","3029280001","3338349","1003830","201092","40.718606","-73.929366","449","East Williamsburg","POINT (-73.929366 40.718606)"
"2052440-DCA","Active","GRAND AUTO REPAIR SERVICES, INC.",,"475","SENECA AVE",,"RIDGEWOOD","NY","11385-1644","Queens",,,"405","34","104","4034310012","4437706","1008438","196437","40.705818","-73.91276","545","Ridgewood","POINT (-73.91276 40.705818)"
"1277702-DCA","Active","SOUTH ROAD TOWING INC.",,"14729","SOUTH ROAD",,"JAMAICA","NY","11435-5107","Queens","Enrolled","Not Enrolled","412","28","103","4100600018","4215054","1039163","192428","40.694677","-73.801975","204","Jamaica","POINT (-73.801975 40.694677)"
"2028247-DCA","Active","SPRAY CITY COLLISION INC",,"1316","CASTLETON AVE",,"STATEN ISLAND","NY","10310-1741","Staten Island","Enrolled",,"501","49","120","5002150029","5005722","949088","170211","40.633797","-74.126684","13302","West New Brighton-New Brighton-St. George","POINT (-74.126684 40.633797)"
"2067714-DCA","Active","MUKTI TOWING INC",,"7910","SPRINGFIELD BLVD",,"OAKLAND GARDENS","NY","11364-3651","Queens",,,"411","23","111","4077800001","4164475","1054196","207927","40.737112","-73.747602","129104","Oakland Gardens","POINT (-73.747602 40.737112)"
"2047096-DCA","Active","SHOWTIME RECOVERY CORP",,"1346","BLONDELL AVE",,"BRONX","NY","10461-2619","Bronx","Enrolled",,"211","13","49","2041340001","2045728","1027925","246058","40.84194","-73.842152","284","Van Nest-Morris Park-Westchester Square","POINT (-73.842152 40.84194)"
"1411998-DCA","Active","MIDBRONX TOWING, LLC",,"454","E 183RD ST",,"BRONX","NY","10458-7902","Bronx","Enrolled","Not Enrolled","206","15","48","2030380187","2129348","1013607","250994","40.855547","-73.893878","385","Claremont-Bathgate","POINT (-73.893878 40.855547)"
"2093017-DCA","Active","N.Y. CONFIDENTIAL TOWING INC","N.Y. CONFIDENTIAL TOWING","773","BERGEN ST",,"BROOKLYN","NY","11238-3601","Brooklyn","Enrolled",,"308","35","77","3011400044","3027975","994582","186396","40.678285","-73.96275","203","Prospect Heights","POINT (-73.96275 40.678285)"
"1261507-DCA","Active","LOUIE TOWING INC.",,"490","3RD AVE",,"BROOKLYN","NY","11215-3807","Brooklyn","Not Enrolled","Not Enrolled","306","39","78","3010140051","3022437","986520","183566","40.670523","-73.991817","121","Park Slope-Gowanus","POINT (-73.991817 40.670523)"
"1196757-DCA","Active","RUNWAY TOWING CORP.",,"12420","S CONDUIT AVE",,"SOUTH OZONE PARK","NY","11420-4250","Queens","Enrolled","Enrolled","410","28","106","4118930019","4442273","1035168","181664","40.665156","-73.816462","84602","South Ozone Park","POINT (-73.816462 40.665156)"
"0832915-DCA","Active","GULLOTTA'S AUTO REPAIR, INC.",,"2454","47TH ST",,"ASTORIA","NY","11103-1010","Queens","Enrolled","Not Enrolled","401","22","114","4007320022","4013579","1010432","218412","40.7662","-73.905424","141","Astoria","POINT (-73.905424 40.7662)"
"0895626-DCA","Active","FORRESTER'S TOWING INC.",,"723","UTICA AVE",,"BROOKLYN","NY","11203-2211","Brooklyn","Not Enrolled","Not Enrolled","317","41","67","3046370033","3327580","1003450","178195","40.65576","-73.930802","868","Rugby-Remsen Village","POINT (-73.930802 40.65576)"
"1348334-DCA","Active","PAWAR BROS CORP.",,"7435","GRAND AVE",,"ELMHURST","NY","11373-4126","Queens","Enrolled","Not Enrolled","405","30","104","4024920078","4058130","1015538","205364","40.730298","-73.88711","499","Elmhurst","POINT (-73.88711 40.730298)"
"2087575-DCA","Active","KWIK AUTOMOTIVE LLC",,"5435","48TH ST",,"MASPETH","NY","11378-1005","Queens","Enrolled",,"402","30","108","4025570080","4437452","1006672","205230","40.729957","-73.9191","205","Hunters Point-Sunnyside-West Maspeth","POINT (-73.9191 40.729957)"
"1380502-DCA","Active","AUTORINO MOTORSPORTS, INC.",,"13814","101ST AVE",,"JAMAICA","NY","11435-4623","Queens","Revoked","Not Enrolled","412","28","103","4100180005","4214341","1036829","192313","40.694376","-73.810392","206","Jamaica","POINT (-73.810392 40.694376)"
"2003452-DCA","Active","BLUE BLOOD TOWING CORP",,"4301","94TH ST",,"ELMHURST","NY","11373-2872","Queens","Enrolled","Not Enrolled","404","25","110","4016010001","4039978","1020052","210544","40.744499","-73.870796","463","Elmhurst","POINT (-73.870796 40.744499)"
"2089906-DCA","Active","D & M AUTO REPAIRS, INC.","5 Star Auto Mall","1261","ZEREGA AVE",,"BRONX","NY","10462-5419","Bronx",,,"209","18","43","2038320037","2094876","1027063","243273","40.8343","-73.845285","96","Westchester-Unionport","POINT (-73.845285 40.8343)"
"1314213-DCA","Active","7 DAYS TOWING INC.",,"4519","BROADWAY",,"NEW YORK","NY","10040-2456","Manhattan","Enrolled","Not Enrolled","112","10","34","1021800652","1064478","1003171","252153","40.858757","-73.931599","279","Washington Heights North","POINT (-73.931599 40.858757)"
"1093889-DCA","Active","RICHMOND TOWING INC.",,"10616","148TH ST",,"JAMAICA","NY","11435-5102","Queens","Enrolled","Enrolled","412","28","103","4100600016","4215052","1039205","192804","40.695709","-73.80182","204","Jamaica","POINT (-73.80182 40.695709)"
"2022043-DCA","Active","TOWFESSIONAL AUTO REPAIR LLC",,"21785","98TH AVE",,"QUEENS VILLAGE","NY","11429-1230","Queens","Enrolled",,"413","27","105","4107590186","4230660","1056826","200421","40.716489","-73.738193","568","Queens Village","POINT (-73.738193 40.716489)"
"2082056-DCA","Active","Snap Towing Inc",,"1908","PARK AVE",,"NEW YORK","NY","10035-1152","Manhattan",,,"111","9","25","1017540040","1088156","1001708","233639","40.807944","-73.936936","206","Central Harlem North-Polo Grounds","POINT (-73.936936 40.807944)"
"1388687-DCA","Active","KOEPPEL NISSAN, INC.",,"7415","NORTHERN BLVD",,"JACKSON HEIGHTS","NY","11372-1146","Queens","Not Enrolled","Not Enrolled","403","25","115","4011700038","4026557","1014012","214293","40.754811","-73.892576","30903","Jackson Heights","POINT (-73.892576 40.754811)"
"1437956-DCA","Active","AA'S TOWING & COLLISION INC.",,"79","14TH ST",,"BROOKLYN","NY","11215-4607","Brooklyn","Enrolled","Not Enrolled","306","39","78","3010320060","3023332","985618","183085","40.669203","-73.995069","117","Park Slope-Gowanus","POINT (-73.99506900000002 40.669203)"
"1457231-DCA","Active","BEN & NINO AUTO REPAIR INC.",,"2603","STILLWELL AVE",,"BROOKLYN","NY","11223-5828","Brooklyn","Enrolled","Enrolled","313","47","60","3072250090","3329395","988997","152178","40.584369","-73.98291","308","Gravesend","POINT (-73.98291 40.584369)"
"0832845-DCA","Active","E & L MOTORS CORP.",,"1062","UTICA AVE",,"BROOKLYN","NY","11203-5306","Brooklyn","Not Enrolled","Not Enrolled","317","45","67","3047340026","3104300","1003706","175020","40.647045","-73.929889","850","East Flatbush-Farragut","POINT (-73.929889 40.647045)"
"1247184-DCA","Active","MASTERMIND TOWING, INC.",,"3628","14TH ST",,"LONG ISLAND CITY","NY","11106-4704","Queens","Not Enrolled","Not Enrolled","401","26","114","4003500031","4004285","1001484","216076","40.759739","-73.937791","43","Queensbridge-Ravenswood-Long Island City","POINT (-73.937791 40.759739)"
"2042652-DCA","Active","I-TOW TOWING INC.",,"8691","18TH AVE",,"BROOKLYN","NY","11214-3733","Brooklyn",,,"311","43","62",,,"982997","159876","40.605488","-74.004494","278","Bensonhurst West","POINT (-74.004494 40.605488)"
"0885845-DCA","Active","CARRIAGE HOUSE RECOVERY CORP",,"6134","FRESH MEADOW LN",,"FRESH MEADOWS","NY","11365-2019","Queens","Enrolled","Not Enrolled","408","24","107","4069010052","4149066","1040829","208066","40.737589","-73.795835","1223","Pomonok-Flushing Heights-Hillcrest","POINT (-73.795835 40.737589)"
"2030122-DCA","Active","A - 1 TOWING & AUTO REPAIR INC",,"528","W 39TH ST",,"NEW YORK","NY","10018-1105","Manhattan",,,"104","3","10","1007100011","1012524","984755","215534","40.758268","-73.998177","117","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.998177 40.758268)"
"2089098-DCA","Active","C & S TOWING INC",,"1112","44TH AVE",,"LONG ISLAND CITY","NY","11101-6916","Queens",,,"402","26","108","4004460034","4005227","998370","212509","40.749954","-73.949039","19","Hunters Point-Sunnyside-West Maspeth","POINT (-73.949039 40.749954)"
"1406714-DCA","Active","AMAZING TOWING INC.",,"14","CLINTON AVE",,"BROOKLYN","NY","11205-1107","Brooklyn","Not Enrolled","Not Enrolled","302","35","88","3018720036","3332259","992671","193307","40.697256","-73.969631","211","Fort Greene","POINT (-73.969631 40.697256)"
"1426317-DCA","Active","JAEWOONG LEE, INC","NEW SAM SUNG TOWING","3125","COLLEGE POINT BLVD",,"FLUSHING","NY","11354-2511","Queens","Not Enrolled","Not Enrolled","407","19","109","4043850024","4100758","1028344","219281","40.768442","-73.840814","907","College Point","POINT (-73.840814 40.768442)"
"2079570-DCA","Active","PHANTOM AUTO COLLISION INC.",,"18122","93RD AVE",,"JAMAICA","NY","11423-2308","Queens",,,"412","27","103","4103220040","4220083","1045503","197253","40.707879","-73.779068","444","Jamaica","POINT (-73.779068 40.707879)"
"2009846-DCA","Active","JUSTIN'S TOWING & STORAGE INC",,"10001","LIBERTY AVE",,"OZONE PARK","NY","11417-1723","Queens","Not Enrolled",,"410","32","106","4095040037","4000000","1028616","187486","40.681172","-73.840041","112","Richmond Hill","POINT (-73.840041 40.681172)"
"0942588-DCA","Active","L.K.J. TOWING CORP.",,"225","UNION AVE",,"BROOKLYN","NY","11211-6506","Brooklyn","Not Enrolled","Not Enrolled","301","34","90","3024520012","3000000","997979","196876","40.707046","-73.950482","527","North Side-South Side","POINT (-73.950482 40.707046)"
"1083661-DCA","Active","ROADWAY TOWING INC",,"80","GEORGIA AVE",,"BROOKLYN","NY","11207-2402","Brooklyn","Enrolled","Not Enrolled","305","37","75","3036840029","3083480","1012368","185209","40.674988","-73.898632","1198","East New York","POINT (-73.898632 40.674988)"
"0833376-DCA","Active","JOHNNY'S AUTO BODY INC.",,"267","BROADWAY",,"STATEN ISLAND","NY","10310-1338","Staten Island","Enrolled","Not Enrolled","501","49","120","5001770004","5004879","951701","170625","40.634943","-74.117272","105","New Brighton-Silver Lake","POINT (-74.117272 40.634943)"
"2016364-DCA","Active","AAA NORTHEAST",,"5870","54TH ST",,"MASPETH","NY","11378-3002","Queens",,,"405","30","104","4026110158","4059008","1007833","200908","40.718092","-73.914926","535","Maspeth","POINT (-73.914926 40.718092)"
"1340796-DCA","Active","SPEED KOREA TOWING CORP.",,"13239","34TH AVE",,"FLUSHING","NY","11354-2705","Queens","Not Enrolled","Not Enrolled","407","20","109","4049440042","4111877","1029778","218145","40.765317","-73.835644","869","Flushing","POINT (-73.835644 40.765317)"
"0959364-DCA","Active","GOLDENBERG, GARY S","A-STAR TOWING","2064","JEROME AVE",,"BRONX","NY","10453-1817","Bronx","Not Enrolled","Not Enrolled","205","14","46","2031790004","2127653","1010010","250537","40.854304","-73.906882","241","Mount Hope","POINT (-73.906882 40.854304)"
"1120129-DCA","Active","FLEET AUTO ENTERPRISE, INC",,"169","2ND AVE",,"BROOKLYN","NY","11215-4616","Brooklyn","Not Enrolled","Not Enrolled","306","39","78","3010320006","3023312","985482","183368","40.66998","-73.995559","117","Park Slope-Gowanus","POINT (-73.995559 40.66998)"
"2083444-DCA","Active","LEGACY TOWING INC.",,"20106","HILLSIDE AVE",,"HOLLIS","NY","11423-2135","Queens",,,"412","23","103","4104950052","4223521","1050063","201578","40.719717","-73.762578","478","Jamaica Estates-Holliswood","POINT (-73.762578 40.719717)"
"2047828-DCA","Active","SHAWN TOWING INC",,"9061","PITKIN AVE",,"OZONE PARK","NY","11417-2706","Queens",,,"410","32","106","4113720046","4448907","1027435","184333","40.672518","-73.844323","58","Ozone Park","POINT (-73.844323 40.672518)"
"2054675-DCA","Active","BEN & NINO AUTOBODY CORP",,"1900","MCDONALD AVE",,"BROOKLYN","NY","11223-1829","Brooklyn","Enrolled","Not Enrolled","311","44","62","3066570006","3177119","991876","160180","40.60633","-73.972536","412","Bensonhurst East","POINT (-73.972536 40.60633)"
"0833108-DCA","Active","LUDLOW GARAGE, INC.",,"151","ATTORNEY ST",,"NEW YORK","NY","10002-1812","Manhattan","Not Enrolled","Not Enrolled","103","2","7","1003500071","1004279","988830","201711","40.720326","-73.983477","2201","Lower East Side","POINT (-73.983477 40.720326)"
"1430158-DCA","Active","SPLIT SECOND COLLISION LTD",,"1856","41ST ST",,"ASTORIA","NY","11105-1025","Queens","Enrolled","Not Enrolled","401","22","114","4008020165","4015688","1012593","222967","40.778624","-73.897662","12301","Steinway","POINT (-73.897662 40.778624)"
"0882789-DCA","Active","A&J AUTOMOTIVE, INC.",,"7006","GARFIELD AVE",,"WOODSIDE","NY","11377-6030","Queens","Enrolled","Not Enrolled","402","30","108","4024400016","4056402","1013629","207811","40.737021","-73.893987","489","Elmhurst-Maspeth","POINT (-73.893987 40.737021)"
"2021876-DCA","Active","BRIELLE AUTOMOTIVE INC",,"1319","CASTLETON AVE",,"STATEN ISLAND","NY","10310-1704","Staten Island","Enrolled",,"501","49","120","5002050079","5005501","949052","170213","40.633802","-74.126814","13302","West New Brighton-New Brighton-St. George","POINT (-74.126814 40.633802)"
"0833046-DCA","Active","KNIGHTS COLLISION EXPERTS, INC.",,"27","CONWAY ST",,"BROOKLYN","NY","11207-1805","Brooklyn","Enrolled","Enrolled","304","37","83","3034740049","3000000","1010927","186836","40.679459","-73.90382","405","Bushwick South","POINT (-73.90382 40.679459)"
"1158820-DCA","Active","TOWTRUCK REPAIR SERVICE, INC.",,"1011","E 46TH ST",,"BROOKLYN","NY","11203-6515","Brooklyn","Enrolled","Not Enrolled","317","45","67","3050230055","3114549","1002949","171091","40.636262","-73.932627","932","East Flatbush-Farragut","POINT (-73.932627 40.636262)"
"2047571-DCA","Active","TOWORKS INC",,"75","BRIDGEWATER ST",,"BROOKLYN","NY","11222-3818","Brooklyn",,,"301","33","94","3026620030","3331524","1001553","204473","40.727875","-73.937521","593","Greenpoint","POINT (-73.937521 40.727875)"
"2004636-DCA","Active","ALLSTAR AUTOMOTIVE CORP.",,"3730","MERRITT AVE",,"BRONX","NY","10466-6117","Bronx","Enrolled",,"212","12","47","2049520060","2097426","1031462","262484","40.887006","-73.829253","484","Eastchester-Edenwald-Baychester","POINT (-73.829253 40.887006)"
"0920090-DCA","Active","RAZ, AVINOAM","LIGHTNING TOWING","2350","MCDONALD AVE",,"BROOKLYN","NY","11223-4740","Brooklyn","Not Enrolled","Not Enrolled","315","47","61","3071460040","3193436","991597","155994","40.594841","-73.973545","398","Gravesend","POINT (-73.973545 40.594841)"
"1352907-DCA","Active","T.J. AUTO DOCTOR INC.",,"3602","21ST ST",,"ASTORIA","NY","11106-4706","Queens","Not Enrolled","Not Enrolled","401","26","114","4003490016","4004274","1001707","216060","40.759694","-73.936986","43","Queensbridge-Ravenswood-Long Island City","POINT (-73.936986 40.759694)"
"1298807-DCA","Active","FRIENDLY EXPRESS TOWING LLC",,"7541","YELLOWSTONE BLVD",,"REGO PARK","NY","11374-5340","Queens","Not Enrolled","Not Enrolled","406","29","112","4031780070","4075320","1023331","199594","40.71443","-73.859026","703","Rego Park","POINT (-73.859026 40.71443)"
"2084642-DCA","Active","HAUL MASTER LLC",,"10518","150TH ST",,"JAMAICA","NY","11435-5018","Queens","Enrolled","Enrolled","412","28","103","4100620027","4000000","1039186","193202","40.696801","-73.801885","204","Jamaica","POINT (-73.801885 40.696801)"
"2092574-DCA","Active","JENSEN TOWING CORP",,"4522","PARK AVE",,"BRONX","NY","10457-1332","Bronx",,,"206","15","48","2030380011","2011333","1013302","250889","40.85526","-73.894981","385","Claremont-Bathgate","POINT (-73.894981 40.85526)"
"1381292-DCA","Active","BUS MAINTENANCE CORP.",,"9714","ATLANTIC AVE",,"OZONE PARK","NY","11416-1620","Queens","Not Enrolled","Not Enrolled","409","32","102","4090420001","4187795","1027159","190393","40.689158","-73.845276","32","Woodhaven","POINT (-73.845276 40.689158)"
"0914305-DCA","Active","FIVE J'S AUTOMOTIVE LTD.",,"809","ZEREGA AVE",,"BRONX","NY","10473-1121","Bronx","Enrolled","Enrolled","209","18","43","2036960032","2023213","1027710","239645","40.824339","-73.842971","98","Westchester-Unionport","POINT (-73.842971 40.824339)"
"0854287-DCA","Active","CARRIAGE HOUSE COLLISION, INC",,"6128","FRESH MEADOW LN",,"FRESH MEADOWS","NY","11365-2019","Queens","Enrolled","Enrolled","408","24","107","4069010048","4149065","1040828","208067","40.737592","-73.795839","1223","Pomonok-Flushing Heights-Hillcrest","POINT (-73.795839 40.737592)"
"2027209-DCA","Active","FINEST AUTOMOTIVE RECOVERY INC",,"249","56TH ST",,"BROOKLYN","NY","11220-2614","Brooklyn",,,"307","38","72","3008290055","3014881","978901","174288","40.64511","-74.019365","22","Sunset Park West","POINT (-74.019365 40.64511)"
"2067474-DCA","Active","STREET SCIENCE AUTOMOTIVE, INC.",,"872","E 149TH ST",,"BRONX","NY","10455-5012","Bronx",,,"201","8","40","2026000202","2004101","1010994","234877","40.811319","-73.903388","31","Mott Haven-Port Morris","POINT (-73.903388 40.811319)"
"0992248-DCA","Active","MARK'S AUTOMOTIVE INC",,"51","GRATTAN ST",,"BROOKLYN","NY","11237-1601","Brooklyn","Enrolled","Enrolled","301","34","90","3030030025","3251793","1003370","196416","40.705773","-73.931039","453","Bushwick North","POINT (-73.93103900000001 40.705773)"
"1412004-DCA","Active","K-SPEED TOWING INC.",,"220","RANDOLPH ST",,"BROOKLYN","NY","11237-1315","Brooklyn","Not Enrolled","Not Enrolled","301","34","90","3029890009","3323443","1005239","197952","40.709985","-73.924293","449","East Williamsburg","POINT (-73.924293 40.709985)"
"2045900-DCA","Active","BULLY BOY TOWING ENTERPRISES INC",,"14920","ROCKAWAY BLVD",,"JAMAICA","NY","11436-1640","Queens","Enrolled",,"412","28","113","4121040022","4262729","1042850","184578","40.673107","-73.788747","788","Baisley Park","POINT (-73.788747 40.673107)"
"2001990-DCA","Active","EMPIRE STATE TOWING INC",,"1403","STORY AVE",,"BRONX","NY","10473-4913","Bronx","Enrolled","Enrolled","209","17","43","2036460001","2022553","1016699","238389","40.820939","-73.882762","28","Soundview-Castle Hill-Clason Point-Harding Park","POINT (-73.882762 40.820939)"
"0851351-DCA","Active","CROWN TOWING SERVICE INC.",,"1615","MCDONALD ST",,"BRONX","NY","10461-2312","Bronx","Enrolled","Enrolled","211","13","49","2042230101","2047121","1028175","250784","40.85491","-73.841218","296","Pelham Parkway","POINT (-73.841218 40.85491)"
"0832942-DCA","Active","FLEET AUTO CARE CENTER INC","BRIGHTON COLLISION","1665","MCDONALD AVE",,"BROOKLYN","NY","11230-6312","Brooklyn","Enrolled","Not Enrolled","312","44","66","3065830071","3173548","991574","162303","40.612158","-73.973621","440","Ocean Parkway South","POINT (-73.973621 40.612158)"
"1196452-DCA","Active","BROOKLYN EXPRESS TOWING INC.",,"4314","FARRAGUT RD",,"BROOKLYN","NY","11203-6520","Brooklyn","Enrolled","Not Enrolled","317","45","67","3050180044","3114515","1002322","171386","40.637065","-73.935044","836","East Flatbush-Farragut","POINT (-73.935044 40.637065)"
"1419298-DCA","Active","YELLOW BIRD AUTO CENTER INC.",,"6302","16TH AVE",,"BROOKLYN","NY","11204-2703","Brooklyn","Enrolled","Not Enrolled","311","38","62","3055370037","3133021","985971","166283","40.623085","-73.9938","250","Bensonhurst West","POINT (-73.9938 40.623085)"
"1015604-DCA","Active","MIKE'S HEAVY DUTY TOWING INC.",,"816","LIBERTY AVE",,"BROOKLYN","NY","11208-2410","Brooklyn","Not Enrolled","Not Enrolled","305","37","75","3039910008","3319649","1017691","185917","40.676913","-73.879438","1192","East New York","POINT (-73.879438 40.676913)"
"2087459-DCA","Active","VMA AUTOMOTIVE LLC",,"5425","FLUSHING AVE",,"MASPETH","NY","11378-3023","Queens","Not Enrolled","Not Enrolled","405","30","104","4026290041","4059053","1008431","199927","40.715397","-73.912772","535","Maspeth","POINT (-73.912772 40.715397)"
"1264145-DCA","Active","ISLAND DETAILING ETC. INC.",,"104","HAWKINS ST",,"BRONX","NY","10464-1455","Bronx","Enrolled","Not Enrolled","210","13","45","2056290223","2082165","1043126","247656","40.846238","-73.7872","516","Pelham Bay-Country Club-City Island","POINT (-73.7872 40.846238)"
"2090432-DCA","Active","EMS AUTOMOTIVE I INC",,"9015","LIBERTY AVE",,"OZONE PARK","NY","11417-1336","Queens",,,"410","32","106","4091100022","4438514","1026256","187066","40.68003","-73.848553","54","Ozone Park","POINT (-73.84855300000001 40.68003)"
