"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","283 Prospect Avenue
Brooklyn, NEW YORK 11215
(40.663275576211, -73.989051867805)","283 Prospect Avenue","11215","40.663323","-73.989165","7","39","141","3337801","3010530073","Park Slope-Gowanus                                                         "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","Make the Road New York ","Queens","Make the Road New York","718.565.8500","ESOL/Civics","49 06 Skillman Avenue
Queens, NEW YORK 11377
(40.745193764481, -73.90484714408)","49-06 Skillman Avenue (Woodside)","11377","40.74622","-73.915056","2","26","25301","4001161","4001340027","Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925354, -73.951269838066)","2600 Ocean Avenue","11229","40.598158","-73.951186","15","48","578","3199766","3073520032","Madison                                                                    "
"Reading & Writing","Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","718.438.0008","At least 16 Years Old or Older","6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531, -73.987710397179)","6809 20th Avenue","11204","40.61468","-73.987765","11","47","258","3135071","3055790007","Bensonhurst West                                                           "
"Reading & Writing","Adult Literacy","Jacob A. Riis Neighborhood Settlement House at IS 126","Queens","Jacob A Riis Neighborhood Settlement House","718.784.7447","At least 16 Years Old or Older","31 51 21st Street
Queens, NEW YORK 11106
(40.761699790013, -73.931663252957)","31-51 21st Street","11106","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","Henry Street Settlement - Workforce Development Center ","New York","Henry Street Settlement, Inc. ","212.766.9200","ESOL/Civics","99 Essex Street
New York, NEW YORK 10002
(40.7184474156, -73.988301222787)","99 Essex Street","10002","40.718943","-73.988012","3","1","18","1087565","1004100064","Chinatown                                                                  "
"Reading & Writing","Adult Literacy","Agudath Israel of America Community Services, Inc.","New York","Agudath Israel of America Community Services, Inc.","212.809.5935","At least 16 Years Old or Older","225 Broadway
New York, NEW YORK 10007
(40.711843149995, -74.008228982076)","225 Broadway, 2nd Floor","10007","40.71187","-74.008217","1","1","21","1001241","1000880018","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Reading & Writing","Adolescent Literacy","The Renaissance Charter School ","Queens","Research Foundation of CUNY","212.652.2800","grades 6 to 8","35 59 81st Street
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)"," 35-59 81st Street","11372","40.751311","-73.885533","3","25","283","4029691","4012810038","Jackson Heights                                                            "
"Reading & Writing","Adult Literacy","IS 52","New York","Inwood Community Services, Inc.","212.942.0043","At least 16 Years Old or Older","650 Academy Street
New York, NEW YORK 10034
(40.865994377311, -73.924838060236)","650 Academy Street","10034","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"Reading & Writing","Adolescent Literacy","Frederick Douglass Academy II (M860) ","New York","Research Foundation of CUNY","212.652.2800","grades 6 to 8","215 114 Street
New York, NEW YORK 10026
(40.802154978703, -73.953979636988)"," 215 West 114 Street","10026","40.802207","-73.954142","10","9","218","1055204","1018300019","Central Harlem South                                                       "
"Reading & Writing","Adult Literacy","The Arab American Family Support Center","Brooklyn","The Arab American Family Support Center","718.643.8000","At least 16 Years Old or Older","150 Court Street
Brooklyn, NEW YORK 11201
(40.68880789426, -73.992831836639)","150 Court Street","11201","40.688806","-73.992806","6","39","45","3003069","3002920026","Carroll Gardens-Columbia Street-Red Hook                                   "
"Reading & Writing","Adult Literacy","Make the Road New York","Queens","Make the Road New York","718.418.7690","At least 16 Years Old or Older","46 09 Skillman Avenue
Queens, NEW YORK 11377
(40.745193764481, -73.90484714408)","46-09 Skillman Avenue","11377","40.746551","-73.91782","2","26","169",,,"Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing","Adult Literacy","St Nicholas NPC - Williamsburg Works","Brooklyn","St Nicholas NPC - Williamsburg Works","718.302.2057","At least 16 Years Old or Older","545 Broadway
Brooklyn, NEW YORK 11206
(40.704933618362, -73.949262532429)","545 Broadway - Lower Level","11206",,,,,,,,
"Reading & Writing","Adult Literacy","SQPA-NY Roy Wilkins Family Center","Queens","SQPA-NY Southern Queens Park Association NY","718.276.4630","At least 16 Years Old or Older","177 01 Baisley Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","177-01 Baisley Boulevard","11434","40.686284","-73.768455","12","27","426","4268835","4124060180","St. Albans                                                                 "
"Reading & Writing","Adult Literacy","SoBRO","New York","SoBRO","718.292.3113","At least 16 Years Old or Older","361 125th Street
New York, NEW YORK 10027
(40.811002396946, -73.953145507781)","361 West 125th Street","10027","40.810952","-73.953005","9","9","20901","1059308","1019520009","Morningside Heights                                                        "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","Make the Road New York-Jackson Heights Center","Queens","Make the Road New York","718.565.8500","ESOL/Civics","71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","71-24 Roosevelt Avenue, 2nd Floor (Jackson Heights)","11372","40.746551","-73.894199","4","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           "
"Reading & Writing","Adolescent Literacy","Intermediate School 35 - Stephen Decatur School ","Brooklyn","Research Foundation of CUNY","212.817.2105","grades 6 to 8","272 Macdonough Street
Brooklyn, NEW YORK 11233
(40.681892092944, -73.935841631993)"," 272 Macdonough Street","11233","40.681896","-73.935963","3","36","273","3047054","3016740011","Stuyvesant Heights                                                         "
"Reading & Writing","Adult Literacy","PS 225","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","718.891.0264","At least 16 Years Old or Older","1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.579791094425, -73.956433505479)","1075 Oceanview Avenue","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
