Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
BERRT Allroad motor reizen en trainingen;;;;;;2;;;2
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;2
Betaalbarekunst.nl;;;;;;;1;;1
Beter.nu B.V.;;;;1;;;;;1
Betsies Kookwinkel B.V.;;;;1;;;;;1
Bever B.V.;;;;;;1;1;;2
Biblionet B.V.;;;;;;1;;;1
Bierbewustzijn.nl;;;;;;;1;;1
Big Sound;;;;;;;1;;1
BIGA Groep B.V.;;;;;2;;;;2
Bij Aaltje aan de Linie;;;;;;1;;;1
Bijvang Consultancy;;;;;;1;;;1
bijzonderdruk B.V.;;;;1;2;;;;2
BijzonderStrafrecht B.V.;;;;;;1;;;1
Bilderberg Hotel 't Speulderbos;;;;2;;;;;2
Binderij Bloemweegen;;;;1;;;;;1
Binq Events;;;;;;;1;;1
BiSLSmart LLP;;;;;;1;;;1
Bistro De Opschepper;;;;;;;1;;1
Blanchard International B.V.;;;;;;4;;;4
Bloem en styling Valentijn;;;;1;;;;;1
BLOEM!;;;;1;;;1;;1
Bloembinderij de Korenschoof;;;;1;;;;;1
Bloembinderij de Vuurdoorn;;;;1;;;;;1
Bloembinderij Koningskruid;;;;1;;;;;1
Bloembinderij van der Maat;;;;1;;;;;1
Bloemboetiek Dille;;;;1;;;1;;1
Bloemen van Chantal;;;;1;;;;;1
Bloemenboutique Nicole V.O.F.;;;;1;;;1;;2
Bloemenhuis Lobelia;;;;;;1;;;1
Bloemenhuis Vink;;;;1;;;;;1
Bloemenkas Eindhoven;;;;1;;;1;;1
Bloemenmaatje;;;;1;;;;;1
Bloemenmagazijn Johan;;;;1;;;;;1
BloemenNoord;;;;1;;1;;;1
Bloemisterij Hogedijken;;;;1;;;;;1
Bloemisterij Labberton B.V.;;;;1;;;;;1
Bloemrijke Verleiding;;;;1;;;;;1
Bloemsierkunst Beimer;;;;1;;;;;1
Bloemsierkunst BLOEM;;;;1;;;;;1
Bloemsierkunst De Roozelaar;;;;1;;;;;1
Bloemsierkunst Futura;;;;1;;;1;;1
Bloemsierkunst HE-AS;;;;1;;;;;1
Bloemsierkunst Ogenlust;;;;;;;1;;1
BloemZ;;;;1;;;1;;1
Blommetje van Blom;;;;1;;;;;1
BLOSSOM bloemisterij;;;;1;;;;1;1
Bluestream Offshore B.V.;;;;;;1;;;1
Blygold Laboratories B.V.;;;;;;1;;;1
BLZ Boekhandel Buitelaar;;;;;;1;;;1
BMC Implementatie B.V.;;;;;4;;;;4
Bme Utrecht B.V.;;;;;;;1;;1
Bobbe International B.V.;;;;;;1;;;1
Bocxe Biljarts V.O.F.;;;;;;1;;;1
Bodymind Opleidingen;;;;;;1;;;1
Boeketterie Binnenweg;;;;1;;;;;1
Boekhandel en Drukkerij Van den Munckhof B.V.;;;;;;;1;;1
Boels Verhuur;;;;2;;1;;;2
Boels Verhuur B.V.;;;;2;;;;;2
Boerderij De Weistaar;;;;;;1;;;1
Boerma Reclame B.V.;;;;1;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;1;;;1
Bogaarts Communicatie;;;;;;1;;;1
bol.com B.V.;;;;1;;;4;;4
Bonbonnerie Borrel;;;;1;;;;;1
Bookx B.V.;;;;1;;;1;;1
Boosty I B.V.;;;;;;;1;;1
Borduren & meer;;;;1;;;;;1
BO-Rent;;;;;;1;;;1
Borrel Experience B.V.;;;;;;;2;;2
Botenverhuur De Rijnstroom;1;;;;;;;;1
Boterhal;;;;;;1;;;1
Boterwaag Den Haag B.V.;;;;;;;1;;1
Bouquetterie Fronita;;;;1;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;;;;1;;;;1
Bowlen & Zo B.V.;;;;;;;1;;1
Bowling en Party Centrum Breda;;;;;;;1;;1
Bowling Scheveningen B.V.;;;;;;;1;;1
Brain Box Mediatraining B.V.;;;;;;2;;;2
Branded Bakery;;;;;;;1;;1
Brandpreventie Academy B.V.;;;;;;1;;;1
Brandweertrainingscentrum Kleefse Waard B.V.;;;;;;2;;;2
Brasserie de Rosmolen;;;;1;;;;;1
Brasserie The Clipper B.V.;;;;;;;1;;1
Brave Minds B.V.;;;;;;1;;;1
Break Free Fun Company;;;;;;;1;;1
Bredewold B.V.;;;;1;;;1;;1
Breukhoven B.V.;;;;;;1;;;1
Brezan Automaterialen Goes;;;;;;1;;;1
Brezo-Elan B.V.;;;;;;;1;;1
Brink's Solutions Nederland B.V.;;;;1;;;;;1
Brocacef B.V.;;;6;;;;1;;6
Broekmans en van Poppel B.V.;;;;1;;;;;1
Bronckhorsthoeve Catering B.V.;;;;;;;1;;1
Brouwerij Puik Bieren B.V.;;;;1;;;;;1
Bruna B.V.;;;;;;;1;;1
BSI Group The Netherlands B.V.;;;;;;2;;;2
BSN International Holding B.V.;;;2;;;;;;2
Buffel B.V.;;;;1;;;;;1
BugetCopy Signs & Prints B.V.;;;;;1;;;;1
Buijssen Training en Educatie;;;;;;1;;;1
Buijtendijk B.V.;;;;1;;1;;;1
Buitenomme;1;;;1;;;;;1
Bullit House;;;;;;;1;;1
BullsEvents;;;;;;;1;;1
Bureau Helderder;;;;;;5;;;5
Bureau Tromp B.V.;;;;;;1;;;1
Bureau Van Es-RB&B;;;;;;2;;;2
Bureau Zuidema B.V.;;;;;;2;;;2
Bureau Zuidema Learning Solutions B.V.;;;;;;1;;;1
Burger Ferry Agencies B.V.;;;;;;;1;;1
Burnside Cablepark B.V.;;;;;;;1;;1
Buro Rietveld B.V.;;;;;;2;;;2
Buro van Oranje;;;;;;1;;;1
Burson Cohn & Wolfe B.V.;;;;;1;;;;1
Business Fundamentals B.V.;;;;;;1;;;1
Business Talen Rotterdam B.V.;;;;;;1;;;1
Buurman Fotografie;;;;1;;;;;1
Buxus Bloemenatelier;;;;1;;;1;;1
BuzzMaster B.V.;;;;;1;;;;1
ByThijs;;;;;;;1;;1
Cable Waterskicenter Brabant B.V.;;;;;1;;;;1
Cadeau Concepten B.V.;;;;1;;;;;1
Cadeau variant VOF;;;;;;;1;;1
Cadeaubonnen.nl B.V.;;;;1;;;2;;2
Cadenza Books B.V.;;;;1;;;;;1
CAE Aviation Training B.V.;;;;;;2;;;2
Cafe - Restaurant de Beurs;;;;;;;1;;1
Cafe Restaurant de Smittenberg;;;;1;;;;;1
Café Restaurant De Zwaan B.V.;;;;;;;1;;1
Cafe Steffie's;;;;;;;2;;2
Café-Restaurant De Westerbouwing B.V.;;;;1;;;1;;1
CAI-Advies B.V.;;;;;;1;;;1
Calibre Alignment B.V.;;;;;;;1;;1
CameraNU.nl;;;;;;1;;;1
Camping 't Loo B.V.;;;1;;;;;;1
Capabel Onderwijs Groep B.V.;;;;;;1;;;1
Caparis N.V.;;;;;2;;;;2
Care for Performance B.V.;;;;;;1;;;1
Carebo B.V.;;;;;;;1;;1
Carlton Hotels Nederland B.V.;;;;;;;1;;1
Catalyst4Change;;;;;;1;;;1
CB Facturatie B.V.;;;;1;;;;;1
CCB Groep B.V.;;;;;;1;;;1
CED Nederland B.V.;;;;;4;;;;4
Center Parcs Netherlands N.V.;;;;;;;4;;4
Centercom Buitenreclame B.V.;;;;;1;;;;1
Centrale RINO B.V.;;;;;;2;;;2
CertificeringsAdvies Nederland B.V.;;;;;;1;;;1
Certified Secure B.V.;;;;;;5;;;5
CertoPlan B.V.;;;;;;1;;;1
CFBT-NL B.V.;;;;;;4;;;4
CFWEAR.nl;;;;;;1;;;1
Chameleon Associates B.V.;;;;;;2;;;2
ChangeKitchen Company B.V.;;;;;;1;;;1
Charp FoodServices;;;;1;;;;;1
Chartervaart Harderwijk B.V.;;;;;;;1;;1
China Relations;;;;;;1;;;1
Choice en Partners B.V.;;;;;5;;;;5
Ciao! Ciao! B.V.;;;;;;;1;;1
CIBIT Adviseurs/Opleiders;;;;;;2;;;2
CINOP B.V.;;;;;;1;;;1
Ciphix B.V.;;;;;1;;;;1
City Skydive Centres B.V.;;;;;;;1;;1
CM Partners B.V.;;;;;;3;;;3
CM.com R&D 9 B.V.;;;;;1;;;;1
CMB Badhoevedorp;;;;;;2;;;2
Coachboulevard B.V.;;;;;;1;;;1
Coachcenter B.V.;;;;;;1;;;1
COBBS Industries B.V.;;;;;;2;;;2
College of Multimedia;;;;;;1;;;1
Colourfile;;;;1;;;;;1
CommGres;;;;;1;;;;1
Commitment B.V.;;;;;;1;;;1
Communicatiebureau De Walvis;;;;;;1;;;1
Compabox B.V.;;;;;;1;1;;1
Compacon B.V.;;;;2;;;;;2
Compu'Train;;;;;;1;;;1
Computrain Opleidingen;;;;;;1;;;1
Conclusion B.V.;;;;;;4;;;4
Conclusion Core Business B.V.;;;;;;3;;;3
Concorde Group B.V.;;;;;;2;;;2
Condor Arnhem B.V.;;;1;;;1;;;1
Conducto Opleidingen B.V.;;;;;;3;;;3
Congres- en Organisatiebureau Interactie B.V.;;;;;;2;;;2
Conrad Electronic Benelux B.V.;1;;;1;;2;;;2
Coolblue B.V.;;;;1;1;1;1;;2
CoolSafety B.V.;;;;;;1;;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;;4;;;4
Coöperatie Interim Bemanning Nederland UA;;;;;;4;;;4
Coöperatie Santa's Village U.A.;;;;;;;1;;1
Copaco N.V.;;;;;;1;;;1
Copla Opleiding & Training B.V.;;;;;;1;;;1
Copyshop De Haan;;;;;;1;;;1
Cortex B.V.;;;;;;4;;;4
Cose della Vita;;;;;;;1;;1
CoThink B.V.;;;;;;2;;;2
Courius B.V.;;;;;;1;;;1
Creating Insights University B.V.;;;;;;1;;;1
Creative Use of Technology (C.U.T.);;;;;;;1;;1
CreativeWeb;;;;;;1;;;1
Crescent B.V.;;;;1;;;;;1
Crisisplan B.V.;;;;;;1;;;1
CS rental B.V.;;;;;;1;;;1
CSC Installatie B.V.;;;;;;1;;;1
CSR Centrum B.V.;;;;;;1;;;1
Cuijpers Consultancy B.V.;;;;;;2;;;2
Culpepper B.V.;;;;1;;;1;;1
Custom Company;;;;1;;1;;;1
Customeyes B.V.;;;;;2;;;;2
Customize-it B.V.;;;;1;;;;;1
Cyberdance Sound & Light;;;;1;;;;;1
D Hosting;;;;;;1;;;1
D&F Consulting B.V.;;;;;;3;;;3
D.H.T.C. Den Helder Training Centre B.V.;;;;;;5;;;5
Dansschool Corma;;;;;;1;;;1
Daqpoint Benelux;;;;;;1;;;1
Dare2help;;;;;;2;;;2
DAT Advies & Training;;;;;;1;;;1
DataExpert Academy;;;;;;2;;;2
Datema Amsterdam;;;;;;1;;;1
Dazelaar Bewindvoering B.V.;1;;;;;;;;1
DD Sport;;;;1;;;;;1
DDS Druma B.V.;1;;;;;;;;1
De 3Weg Geestelijke Begeleiding;;;;;;1;;;1
De Agave;;;;1;;;;;1
De Argumentenfabriek B.V.;;;;;2;;;;2
De Avontuurfabriek Onroerend Goed B.V.;;;;;;;2;;2
De Baak Administratie;;;;;;1;;;1
De Baak B.V.;;;;;;1;;;1
De Barbecue en Buffettenboer;;;;;;;1;;1
De Bazar B.V.;;;;;;;1;;1
De Beurs;;;;;;;1;;1
De Bloemerij;;;;1;;;;;1
De Bloemerije;;;;1;;;;;1
De Bouwplaats;;;;1;;;;;1
De Bureaus B.V.;;;;1;2;;;;2
De Dikke van Dale;;;;;;;1;;1
De Efteling B.V.;;;;;;;2;;2
De Feed Fabriek;;;;1;;1;1;;1
De Fonteyn;;;;1;;;;;1
De Gezonde Zaak B.V.;;;;;;1;;;1
De Gouden Ton;;;;1;;;1;;1
De Heeren van Soetermeer;;;;;;;1;;1
De Indische B.V.;;;;1;;;;;1
De Japanse Watertuin B.V.;;;;;;;1;;1
De Keper contextuele scholing en begeleiding;;;;;;1;;;1
De Koningshof B.V.;;;;1;;;;;1
De Leemskuilen Uden B.V.;;;1;;;;;;1
De Levensboom;;;;;;1;;;1
De Lisdodde;;;;1;;;1;;1
De Meesterslijpers;;;;1;;;;;1
De Mispelhoef;;;;1;;;1;;1
De Nationale Theaterkassa B.V.;;;;;;1;;;1
De Nieuwe Yogaschool B.V.;;;;;;2;;;2
De Nonnen in Vught;;;;;;1;;;1
De Onderzoekspartner;;;;;;2;;;2
De Pastorij;;;;1;;;1;;1
de Persgroep Nederland B.V.;;;;1;;;;;1
De Pitchcoach;;;;;;2;;;2
de Rolf groep B.V.;;;;;;1;;;1
De Roofvogelboerderij;;;;;;;1;;1
De Roos Geschenken B.V.;;;;1;;;;;1
De Rotterdam B.V.;;;;;;1;;;1
De School voor Transitie;;;;;;1;;;1
De Sleutelspecialist Van den Acker;;;;;;;1;;1
De Smelt B.V.;;;;;;;1;;1
De Stemmingmakerij;;;;;;2;1;;2
De Taaltrainer;;;;;;1;;;1
De Tuinderij;;;;1;;;1;;1
De Vrije Teugel Uden B.V.;;;;;;;1;;1
De Waldhoorn B.V.;;;;;;;1;;1
De Waterreus;;;;;;;1;;1
De Witte Raaf;;;;;;;1;;1
De Wolf Maritime Safety;;;;;;1;;;1
De Zoetige Taart;;;;;;;1;;1
Deal It;;;1;;;;;;1
Decathlon Netherlands B.V.;;;;;1;1;;;1
Decora Design B.V.;;;;1;;;;;1
Defabrique Evenementen B.V.;;;;;;;1;;1
Dekker Drukwerken B.V.;;;;1;;;;;1
Dekkers & van Boxtel;;;;;;1;;;1
Delft Congress Support B.V.;;;;;;1;;;1
Delta International Promotioneel B.V.;;;;3;1;2;1;;3
Delta International Uniformuitrustingen B.V.;;;;2;;1;;;2
Den Hollandsche B.V.;;;;;;;1;;1
DENITECH;;;;;;4;;;4
Destiny Management Consultancy;;2;;;;;;;2
Detra;;;;;;1;;;1
DHLimburg;;;;;;1;;;1
Dialoc ID Products B.V.;;;;;;1;;;1
Dickens Horecabedrijven B.V.;;;;1;;1;;;1
Diebels Relatiegeschenken B.V.;;;;1;;2;;;2
Digidoc B.V.;;;;;;1;;;1
Digital Revolution B.V.;;;;;;1;;;1
Dijkstra-Piest B.V.;;;;;;;1;;1
DIOR Opleidingen;;;;;;2;;;2
Dirksen Bedrijfsopleidingen B.V.;;;;;;2;;;2
DISC Factor B.V.;;;;;;1;;;1
Discountoffice.nl B.V.;;;;;;1;;;1
Disporta Eerstelijn B.V.;;;;;;;1;;1
Distinguished;;;;;;1;;;1
DJ Artifact;;;;;;;1;;1
DJ-EDuardo;;;;;;;1;;1
DJ-Matic B.V.;1;;;;;;;;1
DK Horeca B.V.;;;;1;;;1;;1
DNA Adviesgroep B.V.;;;;;;1;;;1
DNP Giftcard B.V.;;;;;;;1;;1
DNV GL Business Assurance;;;;;1;2;;;2
Doczero B.V.;;;;;;2;;;2
Doenederland.nl B.V.;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;;1;;;1;;1
Doktersacademie Friesland B.V.;;;;;;1;;;1
Dolfi Laser;;;;1;;;;;1
Domstad Evenementen B.V.;;;;;;;1;;1
Dopper;;;;;;;1;;1
DPG Media B.V.;;;;1;;;;;1
DPS Company;;;;;;;1;;1
Dragonfly Creations;;;;1;;;;;1
DRAGT;;;;;;;1;;1
Drankenhandel van Dorst;;;;1;;;;;1
Drankenhandel Vochteloo Herben;;;;;;;1;;1
Drankenkabinet Ermelo;;;;1;;1;;;1
Drankenspeciaalzaak Nienhuis Assen;;;;;;;1;;1
Drie Gezusters Groningen B.V.;;;;1;;;;;1
Drinxx Groothandel;;;;1;;;;;1
Drogisterij Parfumerie Sebas;;;;1;;;;;1
Drone Flight Academy B.V.;;;;;;2;;;2
DRT Events;;;;;1;;;;1
Drukkerij De Toekomst B.V.;;;;;;1;;;1
Drukkerij Haver;;;;;;;1;;1
Drukkerij Ketelaars;;;;1;;;;;1
Druktemaker B.V.;;;;2;;;;;2
DSH Domburg Sportprijzen Holland/Promopin.nl;;;1;1;;;;;1
Dudink & Starink Advocaten B.V.;2;;;;;;;;2
Dununba Percussie Workshops;;;;;;1;;;1
Durven Doen training en advies;;;;;;3;;;3
Dutch Harbour 's-Gravendeel B.V.;;;;;;1;;;1
Dutch Research Institute for Transitions B.V.;;;;;;1;;;1
Dutch TMC;;;;;;1;;;1
Dutchphotography.nl;;;;;1;;;;1
DWCprint B.V.;;;;;;;1;;1
DWM Trainingen;;;;;;1;;;1
Easy Actors B.V.;;;;;;5;;;5
EBC Language Academy B.V.;;;;;;3;;;3
EBC Taleninstituut B.V.;;;;;;1;;;1
EBSCO Information Services B.V.;;;;;;2;;;2
Eburon Uitgeverij B.V.;;;;;1;;;;1
Echte Bakker Lenes;;;;;;;1;;1
Edelburijn;;;;1;;1;;;1
Eden Oranje Hotel B.V.;;;;;;;1;;1
Edin B.V.;;;;;;1;;;1
EDN Solutions B.V.;;;;;;3;;;3
Eduact B.V.;;;;;;1;;;1
Educoach;1;;;;;;;;1
Eduvision B.V.;;;;;;1;;;1
EE Consult;;;;;;1;;;1
Eetcafé De Verbeelding;;;;;;;1;;1
Eet-Villa Van den Brink;;;;1;;1;;;1
EFE;;;;;;1;;;1
Effe Anders Ede B.V.;;;;1;;;;;1
E-Flora B.V.;;;;;;;1;;1
Egel&Co;;;;;;1;;;1
EGN Nederland B.V.;;;;;;1;;;1
Egthout Meubelmakerij & -Vormgeving;;;;1;;;;;1
EHRM Vision;1;;;;;2;;;2
Ekkersweijer Recreatie B.V.;;;;;1;;;;1
EKOF Handelsonderneming;;;1;;;;;;1
El Pacho;;;;1;;;;;1
Elan Training B.V.;;;;;;1;;;1
elasticsearch B.V.;;;;;;2;;;2
Elektro DEMA;;;;;;4;;;4
Element Amsterdam;;;;;;2;;;2
Elenbaas boeken;;;;1;;;;;1
EliteSport;;;1;;;;;;1
Elsevier B.V.;;;;;;1;;;1
Elycio Talen;;;;;;2;;;2
Elycio Talen B.V.;;;;;;4;;;4
Elycio Vertalers B.V.;;;;;;2;;;2
Emblemen-Badges B.V.;;;;;;;1;;1
Emerge&See B.V.;;;;;;3;;;3
Emergency Medical School B.V.;;;;;;2;;;2
EMMA Communicatie B.V.;;;;;3;;;;3
Employee Performance Group B.V.;;;;;;5;;;5
Emprove;;;;;;1;;;1
Emprover B.V.;;;2;;;1;;;2
En nu online;;;;;;2;;;2
Enjoy Beauty Flowers;;;;1;;;;;1
EnJoy Bedrijfskleding;;;;1;;;;;1
Enjoy Vietnam B.V.;;;;;;;1;;1
ENM Design;;;;;;1;1;;1
Enversed Entertainment Eindhoven B.V.;;;;;1;;;;1
Equipe Acteurs B.V.;;;;;;6;;;6
Ergatis B.V.;;;;;1;1;;;2
Eriks B.V.;;;;;;1;;;1
Ertronix;;;;1;;;;;1
E's Learning;;;;;;2;;;2
Ese International B.V.;;;;;;1;;;1
Esri Nederland;;;;;;4;;;4
ESVSHOP B.V.;;;;;;;1;;1
Eten & Zo Zoetermeer B.V.;;;;;;;1;;1
Eten & Zo Zwolle B.V.;1;;;;;;;;1
Etenstijd Uden B.V.;;;;;;;1;;1
Etmaal Bouw en Infra B.V.;;;;;;2;;;2
Etop;;;;;;4;;;4
Euroforum;;;;;;2;;;2
Europica Media;;;;1;;;;;1
Europower B.V.;;;;;;1;;;1
EVC Centrum Nederland B.V.;;;;1;;5;;;5
EVC Centrum Vigor;;;;;;1;;;1
Event@Home Box;;;;;;;1;;1
Everaarts B.V.;;;;;;;1;;1
EVO Fenedex;;;;;;4;;;4
E-WISE Nederland B.V.;;;;;;4;;;4
Executive Academy V.O.F.;;;;;;3;;;3
ExpertCollege B.V.;;;;;;1;;;1
Expertise en Kwaliteitsadvies Nederland B.V.;;;;;;;1;;1
Explainit Company;;;;;;1;;;1
EXPO 66 B.V.;;;;;;1;;;1
Expo Display Service;;;;1;;;;;1
Extra Trainers B.V.;;;;;;1;;;1
EyeVinci B.V.;;;;;1;;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;;;;1;;;1;;1
Faasen Advies;;;;;;1;;;1
FaberExposize B.V.;;;;1;;;;;1
Fabius Opleidingen B.V.;;;;;;1;;;1
Faes Cases B.V.;;;;2;;;;;2
Fagron Nederland B.V.;;;2;;;;;;2
Fairytale;;;;1;;;;;1
Faisel Advies & Training B.V.;;;;;;1;;;1
Fan Factory B.V.;;;;;;2;;;2
Fast Feet t.h.o.d.n. Runnersworld Hoorn;;;;;;;2;;2
Fast Lane Benelux B.V.;;;;;;5;;;5
Finnegan's Apeldoorn B.V.;;;;;;;1;;1
Finq Life Coaching & Training;;;;;;1;;;1
Firebrand Training BeNeLux B.V.;;;;;;1;;;1
Fitdesk;;;;;;2;;;2
Fith B.V.;;;;;2;;;;2
Fitnesskoerier B.V.;;;;;;1;;;1
Fixers B.V.;;;;;;1;;;1
Fletcher Hotel Exploitaties B.V.;;;;1;;1;1;;1
Fleur Direct B.v.;;;;1;;;;;1
Fleuri Bloemen;;;;2;;;;;2
Fleurke Bloemen en Wonen;;;;1;;;;;1
Flevonice B.V.;;;;;1;;2;;2
Flex Academy B.V.;;;;;;1;;;1
Flexicon B.V.;;;;1;;;;;1
Fliteline B.V.;;;;;;;;4;4
Florisgifts B.V.;;;;;1;;;;1
FLOW MENTALE TRAINING Prakt. voor Sportpsych.;;;;;;1;;;1
Flowq Human Capital Research;;;;1;;1;;;1
Focus Academy;;;;;;1;;;1
Focus Learning Journeys B.V.;;;;;;1;;;1
Focus Orange Technology B.V.;;;;;;1;;;1
Fokkinga Freelance Zweminstruct./Interim Man.;;;;;1;;;;1
FOM Creations;;;;;;1;;;1
Foodservice Network B.V.;;;;;;1;;;1
Fortune Factory B.V.;;;1;;;;;;1
Foto Konijnenberg B.V.;;;;;;2;;;2
Foto Video Beemster;;;1;;;;;;1
Foto Video Beemster B.V.;;;1;;;;;;1
Fotocadeau B.V.;;;;1;;;;;1
Fotostudio Merjenburgh;;;;;;;1;;1
FourSmileys;;;;;;1;;;1
Fourstar Nederland B.V.;;;;;6;;;;6
FRAMO C.V.;;;;;;1;;;1
Frankwatching B.V.;;;;;;1;;;1
Franky's Nieuwegein;;;;;;;1;;1
Fred's Bloementeam;;;;1;;1;;;1
Freerun Basics;;;;;;1;;;1
Fresca Group B.V.;;;;;;2;;;2
FREZON;;;;2;;;;;2
Fruitkracht;;;;;;;1;;1
Fruitzaam Gifts;;;;1;;;;;1
FSN B.V.;;;;;;1;;;1
Fundatis B.V.;;;;;;1;;;1
Futurumshop.Com B.V.;;;1;;;1;;;1
G.V. Stage Equipment B.V.;;;;;;;1;;1
Galerie Jan d'Art V.O.F.;;;;;;1;;;1
Gall & Gall;;;;1;;;;;1
Gamestudio Marthijn;;;1;;;;;;1
Gartner Nederland B.V.;;;;;;2;;;2
Gasterij de Kruidentuin B.V.;;;;;;;1;;1
Gasterij 't Karrewiel B.V.;;;;;;;1;;1
Gasthuys De Notabelen;;;;;;;1;;1
gefeliciTAART B.V.;;;;;;;1;;1
Gemi Soest B.V.;;;;1;;;;;1
Geniozz;;;;;;1;;;1
Geopoints;;;;1;;;;;1
George In Dr Maur orthoped. Schoentechniek;1;;;;;;;;1
Gerla Products B.V.;;;;;;1;;;1
Geschiedenis te velde;;;;;;1;;;1
Gestalttherapie Praktijk Kok;;;;;;1;;;1
Get Events B.V.;;;;1;;;1;;1
Gifts to Connect;;;;1;;;;;1
Global Complexity Network (GloComNet) B.V.;;;;;;1;;;1
Global Connection Expat Partner Support B.V.;;;;;;1;4;;4
Global Knowledge Network Netherlands B.V.;;;;;;5;;;5
Go B.V.;;;;;;1;;;1
Goldsworthy, Stolk and Associates B.V.;;;;1;;2;;;2
Golfbaan Princenbosch B.V.;;;1;;;;;;1
Golfbaan Welschap B.V.;;;1;;2;;;;2
Golfcentrum Dongen B.V.;;;1;;;;;;1
Golfcentrum Reymerswael B.V.;;;1;;;;;;1
Golfpark De Haenen B.V.;;;1;;;;1;;1
GoodHabitz Netherlands B.V.;;;;;;2;;;2
Goodstore;;;;1;;;1;;1
Gordian Logistic Experts B.V.;;;;;;2;;;2
Gorkink Natuurlijk;;;;1;;;;;1
GORTcoaching B.V.;;;;;;1;;;1
Gotcha;;;;;;;1;;1
Gouds Kaashuis;;;;;;;1;;1
Gowa Sportswear B.V.;;;;;;1;;;1
GPAL B.V.;;;;;2;;;;2
Graveertechniek Nederland B.V.;;;;;;;1;;1
Gravure '85;;;;1;;;;;1
Gravure Den Helder;;;;1;;1;;;1
Green Wellness;;;1;;;;;;1
Greenleaf Academy;;;;;;3;;;3
Greenzz B.V.;;;;1;;;;;1
Greetz B.V.;;;;1;;;;;1
Groenbos Advies Arbeidsomstandigheden;;;2;;;;;;2
Groenrijk Nunspeet;;;;1;;;;;1
Groepsuitjes Breda B.V.;;;1;;;1;1;;1
H.C.R. Lands End B.V.;;;;;;1;;;1
H.G.S. Bedrijfsdiensten;;;;;;;1;;1
H2K Brandweeropleidingen B.V.;;;;;;2;;;2
Haaglanden Audio;1;;;1;;;;;1
Hacom Sportprijzen Centrum Assen;;;;;;;1;;1
Hacon Containers;;;2;;;;;;2
Haemonetics B.V.;;;1;;;;;;1
Haer Consult;;;;;;1;;;1
Haiku Talentontwikkeling B.V.;;;;;;2;;;2
Hamachi Sushi Bar B.V.;;;;;;;1;;1
Handelsonderneming Alferink;;;;1;;;;;1
Hanneke's Workshops;;;;1;;;;;1
HANOS-ISPC Breda B.V.;;;;1;;;;;1
Happe en van Rijn Holding B.V.;;;;;;1;;;1
Happel Company;;;;;;1;;;1
Happy Day Tours;;;;;;;1;;1
HappyNurse Uitzendbureau B.V.;;;;;4;;;;4
Harderwold Exploitatie B.V.;;;;1;;;;;1
Hartech Meet- & Testapparatuur B.V.;;;;;;1;;;1
Hawk Commerce B.V.;;;;;;;1;;1
Heemskerk Bloemisten;;;;1;;;;;1
Heemskerk Sports & Games B.V.;;;;;;;1;;1
Heeres Boat Service;;;;;;1;;;1
Heidenhain Nederland B.V.;;;;;;2;;;2
Heidi's Bloemerij;;;;1;;;;;1
Heidrick & Struggles B.V.;;;;;3;;;;3
Heliview Conferences en Training B.V.;;;;;;2;;;2
Helix Learning;;;;;;1;;;1
Helmduinen;;;;1;;;;;1
HEMA B.V.;;;;;;;1;;1
Hendriks bedrijfskleding en bedrukking;;;;1;;;;;1
Henry's Project Management;;;;;;1;;;1
Heraldic United;;;;1;;;;;1
Heroz;;;;;;2;;;2
Het Bos Roept;;;;;;1;;;1
Het Groei Atelier;;;;;;1;;;1
Het Kookplein;;;;;;;1;;1
Het Netwerkcentrum B.V.;;;;;;1;;;1
Het NIC B.V.;1;;5;;;;;;5
Het Oude Stadhuis;;;;;1;;;;1
Het Scheepvaartmuseum Enterprise B.V.;;;;;1;;1;;1
Het Zalmhuis B.V.;;;;1;;;;;1
HGN Europe;;;;;;;1;;1
Hidrostal B.V.;;;;;;1;;;1
HighCare;;;;;;2;;;2
Hippefruitmand.nl;;;;1;;;;;1
HLC Management B.V.;;;;1;;;;;1
Hobby-in;;;;;;1;;;1
Hobeon Groep B.V.;;;;;;2;;;2
Hodac B.V.;;;;;;1;;;1
Hofkes Frölke Meekel Org.psychologen B.V.;;;;;;1;;;1
Hogenboom Vakantieparken B.V.;;;;;;;3;;3
Hogeschool Dirksen B.V.;;;;;;1;;;1
Hogeschool NOVI B.V.;;;;;;2;;;2
Hogeschool Schoevers;1;;;;;2;;;2
Hogrefe Uitgevers B.V.;;;;;4;;;;4
Holding Beheermaatschappij Ropeni B.V.;;;;1;;;;;1
Holland Evenementen Groep B.V.;;;;;;;1;;1
Holland Indoor Karting Arkel;;;;;;;1;;1
Holland Tour Guides B.V.;;;;;;;1;;1
Hommes;;;;1;;;1;;1
