;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Brasserie 't Zusje Rotterdam;;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;;1;;;;;;1
BRASSERIE VINK;1;;;1;;;;;;1
Brasserie Westbeer;;;;1;;;;;;1
BreathBalance;;;;;;1;;;;1
Breetveld Organisatie Adviseurs;;;;;1;;;;;1
Breinkorf;;;;;1;2;;;;2
Bright Events;;;;1;;;;;;1
Brink Management & Advies B.V.;;;;;;1;;;;1
Brisk-Consultancy;;;;;;1;;;;1
BROEI B.V.;;;;1;;;;;;1
Broers;;;;1;;;;;;1
Bron 12;;;;;;1;;;;1
Brood & Banketbakkerij Prins B.V.;;;;1;;1;;;;1
Brood- en Banketbakkerij J.B. van de Kop;;;;1;;;;;;1
Brood- en Banketbakkerij Sterk B.V.;;;;1;1;;;;;1
Broodjeslijn;;;;1;;;;;;1
Brouwer Tours;;;;1;;;;;1;1
Brouwerij De Kromme Haring B.V.;;;;1;;;;;;1
Brouwerij Noordt B.V.;;;;1;;;;;;1
Brouwhuis Breda B.V.;;;;1;;;;;;1
Bru 17;;;;1;;;;;;1
Brug in Bedrijf;;;;;;1;;;;1
Brüggemann horeca groep;;;;1;;;;;;1
Bruna;;;;1;;;;;;1
Bruxelles aan Zee B.V.;;;;1;;;;;;1
Bruyère management en advies;;;;;;1;;;;1
BTN B.V.;;;2;;;;;;;2
BuitenBusiness B.V.;;;;;1;;;;;1
Buitengoed de Boomgaard;;;;1;;;;;;1
Buitengoed Uylenburg B.V.;;;;1;;;;;;1
Buitensportavontuur;;;;;;1;;;;1
Buko Infrasupport B.V.;;;1;;;;;;;1
BUNDESINSTITUT FÜR BAU-, STADT- UND;;;;;;;;;1;1
Bunker Events Limited;;;;;;1;;;;1
Bureau De Bont B.V.;;;;;;2;;;;2
Bureau Helderder;;;;;;1;;;;1
Bureau Integriteit B.V.;;;;;;2;;;;2
Bureau Kees Horden B.V.;;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;;2;;;;2
Bureau Spraakwater;;;;;;1;;;;1
Bureau Streefkerk B.V.;;;;;;1;;;;1
Bureau Tromp B.V.;;;;;;1;;;;1
Bureau voor Beeldzaken B.V.;;;;;;1;;;;1
Bureau Zuidema B.V.;1;;;;1;4;;;1;4
Bureautaal B.V.;;;;;;2;;;;2
Burghoorn Trainingen;;;;;;1;;;;1
Burgt Juridische Opl. en Contractonderw. B.V.;;;;;;1;;;;1
Burgundy Street B.V.;1;;;1;;;;;;1
Buro Dertig;;;;;;1;;;;1
BuroEvent;4;;;;;;;;;4
Burrata Turfmarkt B.V.;;;;1;;;;;;1
Business Reservations Centre Holland B.V.;1;;;1;;;;;;1
Business Talen Rotterdam B.V.;;;;;;1;;;;1
Businesswise Inspiring People B.V.;1;;;;;1;;;;2
BusYness & Spiritualiteit;;;;;1;;;;;1
Buyitdirect.com B.V.;1;;;;;1;;;;1
BVO Opleidingen B.V.;;;;;;1;;;;1
BVR Advis. Sted. Ontw. en Management B.V.;;;;;;;;;1;1
By J&M;;;;1;;;;;;1
by share. Prakt. voor mindfulness en coaching;;;;;;1;;;;1
C. Services Holland B.V.;;;;;;1;;;;1
C.W. van Dedem Holding B.V.;;;;1;;;;;;1
C2Results B.V.;;;;;;2;;;;2
Cable Force Wakepark;;;;1;;;;;;1
Cadeau Concepten B.V.;;;;1;;1;;;;1
Cadeaubonnen.nl B.V.;;;;1;1;;;;;1
Café 2005;1;;;1;;;;;;1
Cafe Blossom;;;;1;;;;;;1
Café Brasserie De Wildeman B.V.;;;;1;;;;;;1
Café Centrum V.O.F.;;;;1;;;;;;1
Café De Beurs;;;;1;;;;;;1
Café de Malle Meid;;;;1;;;;;;1
Café de Merckt;;;;1;;;;;;1
Café De Schoof V.O.F.;;;;1;;;;;;1
Café De Stadsgenoot;;;;1;;;;;;1
Café de Vijfhoek;;;;1;;;;;;1
Café de Wijnhaven B.V.;;;;1;;;;;;1
Café Einstein;;;;1;;;;;;1
Café Freundlich;;;;1;;;;;;1
Cafe Het Verdronken Land;;;;1;;;;;;1
Café Het Wapen van Linschoten en Snelrewaard;;;;1;;;;;;1
Café Le Penseur;;;;1;;;;;;1
Café Pursers;;;;1;;;;;;1
Café Rembrandt;;;;1;;;;;;1
Café Restaur. en Zalencentr. Het Wap. van Ens;;;;1;;;;;;1
Café Restaurant 'De Engel';;;;1;;;;;;1
Café Restaurant Easy Dinner;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;;1
Café Restaurant van Puffelen Café Restaurant;;;;1;;;;;;1
Café Schafrath;;;;1;;;;;;1
Café Scheffers;;;;1;;;;;;1
Café Tympaan;;;;1;;;;;;1
Café Vrijdag Amsterdam B.V.;;;;1;;;;;;1
Café Zomerlust;;;;1;;;;;;1
Café Zuid;;;;1;;;;;;1
Cafe/Clubhuis Saeftinghe;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
Café-Biljart 'De Concurrent';;;;1;;;;;;1
Café-Restaurant de Lage Vuursche;;;;1;;;;;;1
Cafetaria Visser;;;;1;;;;;;1
CAI-Advies B.V.;;;;;;1;;;;1
Callao Cevicheria By Jaime Pesaque;;;;1;;;;;;1
CameraNU.nl;;;1;;;;;;;1
Camiel Mikily B.V.;;;;;;1;;;;1
Camping en Recreatiecentrum Lauwersoog B.V.;;;;1;;;;;;1
Canast B.V.;;;;;;2;;;;2
Cancer Health Coach;;;;1;1;1;;;;1
Canzo;;;;;;1;;;;1
CAOP;1;;;1;1;2;;;;2
Capello Life Coaching;;;;;;1;;;;1
Capgemini Educational Services B.V.;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;4;;;;4
Capitalpeople B.V.;;;;;1;;;;;1
Capra advocaten;1;;;;;;;;;1
Capriole Coffee Café B.V.;;;;1;;;;;;1
carcab;;;;;;;;;1;1
Carla's Was- & Strijkservice;1;;;;;;;;;1
Carrousel B.V.;;;;1;;;;;;1
Cartha;;;;2;;;;;;2
Casa Egitto;;;;1;;;;;;1
Cascara Rodizio B.V.;;;;1;;;;;;1
Cateau;;;;;;1;;;;1
Catering De Steiger V.O.F.;;;;1;;;;;1;1
Catering Houtop B.V.;;;;1;;;;;;1
Catering van den Berg;;;;1;;;;;;1
Cave Nieuwegein B.V.;;;;1;;;;;;1
CB Images;;;;;;1;;;;1
CBZ Verzuimbezoeken B.V.;1;;1;;;;;;;1
CE Delft;1;;;;;;;;;1
Center For Organizational Performance B.V.;;;;;;1;;;;1
Centraal Boekhuis B.V.;;;;1;;;;;;1
Central Dredging Association (Ceda);;;;;;2;;;;2
CENTRE D'ETUDE SUR L' EVALUATION DE;;;;;;1;;;;1
Centric;;;;;;2;;;;2
Centro Culturale Don Orione Artigia;;;;;;;;;1;1
Centrum De Pijler;;;;1;;;;;;1
Centrum Quadraat;;;;1;;;;;;1
CGI;;;;;;1;;;;1
Challenge;;;;;;1;;;;1
Challenge of Change;;;;1;;1;;;;1
Charlotte's Law & Fine Prints B.V.;1;;;;;;;;;1
Chef Azul B.V.;;;;1;;;;;;1
CHEOPS, Studievereniging Bouwkunde;;;;;1;;;;;1
Chinchilla Textiles B.V.;;;;;;1;;;;1
Chinees Indisch Restaurant Nieuw China;;;;1;;;;;;1
Chip Bizz B.V.;;;;;;;;;1;1
Chocolade en Koffie;;;;;;1;;;;1
ChocoladeSteenwinkel;;;;1;;;;;;1
Chorda B.V.;;;;;1;2;;;;2
Churchill Hotel Terneuzen;;;;;;;;;1;1
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;;1
Cicerones;;;;1;;;;;;1
Ciconia Aviation Services B.V.;;;;;;1;;;;1
CIO Platform Nederland;;;;;;1;;;;1
Circustheater Scheveningen B.V.;1;;;;;;;;;1
Cirkel Talent Management;;;;;;2;;;;2
City Dust Studio;;;;;;;;;1;1
Classic Incasso B.V.;;;;1;;;;;;1
Cloose;;;;1;;;;;;1
CLS Computertrainingen;;;;;;1;;;;1
CLTR - Culture in Control;;;;;;1;;;;1
CM Partners Holding B.V.;;;;;;1;;;;1
Coachcenter B.V.;;;;;;1;;;;1
Coaching in Organisaties;;;;;1;;;;;1
Coaching werkt beter;;;;;;1;;;;1
Cobbler Coaching & Training;;;;;;1;;;;1
COCD vzw;;;;;;1;;;;1
Cockpit4u Aviation Service GmbH;;;;;;1;;;;1
Cognitive Edge Pte Ltd;;;;;;1;;;;1
Coincide B.V.;;;;;;1;;;;1
Collabó B.V.;;;;;;1;;;;1
Collingwood Worldwide Ltd;1;;;;;;;;1;1
Colors of your heart;;;;;1;1;;;;1
Columba Communications;;;;;;1;;;;1
Comhairle;;;;;;1;;;;1
Comigo;;;;1;;;;;;1
Comminz B.V.;;;;;;1;;;;1
Common Eye B.V.;;;;;1;1;;;;1
Compacon B.V.;1;;;1;1;;;;;1
Compacon West Nederland B.V.;;;;1;;;;;1;1
Company Catering Commanderie B.V.;;;;1;1;1;;;;1
Company Sandwich Shop/Online shop;;;;1;;;;;;1
Company Webcast B.V.;;;;;2;;;;;2
COMPAREX Nederland B.V.;;;;1;;;;;;1
Compass Group Nederland B.V.;;;;;;1;;;;1
Competence Factory;;;;;1;1;;;;1
Complions-GRC B.V.;;;;1;;1;;;;1
CompuAct Opleidingen Nederland B.V.;;;;;;1;;;;1
Compu'Train;;;;;;1;;;;1
Computrain Opleidingen;;;;;;1;;;;1
ConcepT, Studiever. Civ. Techn. Univ. Twente;;;;;1;;;;;1
Conclusion Core Business B.V.;;;;;;3;;;;3
Conducto Opleidingen B.V.;;;;;;1;;;;1
Conferentie en evenementenlocatie Lommerrijk;;;;1;;;;;;1
Conferentiehotel Landgoed Rhederoord B.V.;;;;1;;;;;;1
Congress by design;;;;2;;;;;;2
Congress Care B.V.;;;;;;1;;;;1
Coniche Business School;;;;;;1;;;;1
Connect Management Consulting;;;;;2;2;;;;2
Connected Information Systems B.V.;;;;;1;;;;;1
Connected Intelligence Ltd.;1;;;;;;;;;1
Connected Strateg. Veranderingsprocessen B.V.;;;;;;1;;;;1
Connexxion Taxi Services B.V.;;;;;;;;;4;4
Connexxion Tours;;;;1;;1;;;1;1
Conrad Electronic Benelux B.V.;;;1;;;;;;;1
CONSULTING FOR ORGANISATION DEVELOP;;;;;;2;;;;2
Continental Automotive Trading Nederland B.V.;;;;;;1;;;;1
Convivium B.V.;;;;;;1;;;;1
Cooking Unlimited;;;;1;;;;;;1
Coolblue B.V.;1;;;1;;1;;;;1
Coöp. Verenig. Nederlandse Assurant. Beurs UA;;;;1;;1;;;;1
Coöperatie '2D3D Design' UA;;;;;1;;;;;1
Coöperatie Academic Transfer UA;;;;;1;;;;;1
Coöperatie ACS partners UA;;;;;;1;;;;1
Coöperatie De Betekenaar UA;;;;1;1;1;;;;1
Coöperatie 'Neptunus' UA;;;;;;;;;1;1
Coöperatie Ontwikkeling Leerpark UA;;;;;;1;;;;1
Coosto B.V.;;;;;;2;;;;2
COPERNICUS GESELLSCHAFT;;;;1;;;;;;1
Copla Consultants B.V.;;;;;;1;;;;1
Copper IM B.V.;;;;;2;;;;;2
Corael;;;;;;1;;;;1
Core 2.0 B.V.;;;;;;1;;;;1
Corinor Organisatieontwikkeling B.V.;;;;;;1;;;;1
Cormet Schoolcatering B.V.;;;;1;;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;1;;;;;;1
Corner-Stone Holding B.V.;;;;;;1;;;;1
Corps van Vletterlieden V.O.F.;;;;;;;;;1;1
Corpus Experience Beheer B.V.;;;;1;;;;;;1
Correctbook;;;;1;;;;;;1
CORTE;1;;;;;;;;;1
Courius B.V.;;;;;;1;;;;1
Crash Research in Aviation Society Holland;;;;;1;;;;;1
Creative Soup;;;;;1;;;;;1
Creative Team Websolutions;;;;1;;;;;;1
Crisisplan B.V.;;;;;;1;;;;1
Croissanterie Aad de Groot B.V.;;;;1;;;;;;1
Crowne Plaza London-Albert;;;;2;;;;;;2
CSR Centrum B.V.;;;;;1;1;;;;1
Cuisine Royale B.V.;1;;;;;;;;;1
CZW bureau;;;;;;1;;;;1
D&F Consulting B.V.;;;;;;1;;;;1
D&J Zijderveld V.O.F.;;;;;;;;;1;1
D. v.d. Pol Administraties;;;;1;;;;;;1
D.C.L. Luchtvaart Facilitair Bedrijf;;;;;;1;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;;1;;;;1
Da Pietro;;;;1;;;;;;1
Daatjeshoeve;;;;1;;;;;;1
DaeD Ingenieurs;;;;;;1;;;;1
Dagelijks Lekker B.V.;;;;1;;;;;;1
Daily;1;;;1;;;;;;1
DakAkker;;;;1;;;;;;1
Dalton 17 Horeca B.V.;;;;1;;;;;;1
damflowers;;;;1;;;;;;1
DANGEROUS GOODS TRAINING & CONSULTA;;;;;;1;;;;1
Dani's Corner;;;;1;;;;;;1
DANISH METEOROLOGICAL INSTITUTE;;;;1;;;;;1;1
DanK IT;;;;1;;;;;;1
Daphne Arents Health promotion;;;;;;1;;;;1
Darna Fresh Food;;;;1;;;;;;1
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;1;;;;1;;;;;1
DataExpert B.V.;;;;;;2;;;;2
Datalinx Congres- en Secretariaatbureau;;;;;;1;;;;1
Dave Culinair;;;;1;;;;;;1
Dazhong B.V.;;;;1;;;;;;1
De 4 Azen' 's-Hertogenbosch B.V.;;;;1;;;;;;1
De Academy B.V.;;;;;;1;;;;1
De Baak Administratie;;;;;;4;;;1;4
De Baak B.V.;;;;1;1;2;;;;2
De Baak Noordwijk B.V.;1;;;1;;1;;;1;2
De bakker reclame collectief;;;;;;;;;1;1
De Ballonnenwinkel;;;;1;1;;;;;1
De Barbecue en Buffettenboer;;;;1;;;;;;1
De Bastaard;;;;1;;;;;;1
De Batterijen aan de Overeindseweg B.V.;;;;2;;1;;;;2
De Bazar Amsterdam B.V.;;;;1;;;;;;1
De Bazar B.V.;;;;1;;;;;;1
De Beierd;;;;1;;;;;;1
De Belgische Keizer B.V.;;;;1;;;;;;1
De Bengel Eindhoven;;;;1;;;;;;1
De Berenkuil B.V.;1;;;;;;;;;1
De Bergse Bossen;1;;;;;;;;;1
de Bibliotheek aan de Vliet;;;;1;;;;;;1
De Bierhoeve;;;;1;;;;;;1
De Bierkelder Utrecht;;;;1;1;;;;;1
De Bistronoom;;;;1;;;;;;1
De Bloemist;;;;1;;;;;;1
De Blomster;;;;1;;;;;;1
De Boerinn B.V.;;;;1;;;;;;1
De Bootsmannen B.V.;;;;2;;;;;;2
De Boschwachter B.V.;;;;1;;;;;;1
De Bosrand Vlieland Beheer B.V.;;;;1;;;;;;1
De Branding Utrecht B.V.;;;;1;;;;;;1
De Brass Lelystad;;;;1;;;;;;1
De Brasserij Partycentrum;;;;1;;;;;;1
De Buitenpoort;;;;1;;;;;;1
De Buitenpoorter;;;;1;;;;;;1
De Burgemeester van Napels;;;;1;;;;;;1
De Clercq Advocaten Notariaat;;;;;;1;;;;1
De Corridor;;;;1;;;;;;1
De Dikke van Dale;;;;1;;;;;;1
De Droomfabriek;;;;;1;;;;;1
De Drukkerij B.V.;;;;1;;1;;;;1
De Emauspoort;;;;;;;;;1;1
De Federatie B.V.;;;;;1;1;;;;1
De Geldersche Poort;;;;1;;;;;;1
De Gist B.V.;;;;1;;;;;;1
De Goesting;;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;;1;;;;;;1
De Goudse Lichtfabriek B.V.;;;;1;;;;;;1
De Graaf van Gelre Harderwijk B.V.;;;;1;;;;;;1
De Haagse Gravin;;;;;;1;;;;1
de Haegsche Prael;;;;1;;;;;;1
De Heeren van Maarssen B.V.;;;;1;;;;;;1
De Herderin;;;;1;;;;;;1
De Hiemel B.V.;;;;1;;;;;;1
De Hoeve van Nunspeet B.V.;;;;;;1;;;;1
De Hofstad Taxicentrale B.V.;;;;;;;;;1;1
De Holland Winkel;;;;1;;;;;;1
De Hooilanden;;;;1;;;;;;1
De Hoop Entertrainment B.V.;;;;1;;;;;;1
De Horeca Academie Zakelijk B.V.;;;;1;;1;1;;;1
De Huifkar B.V.;;;;1;;;;;;1
De IJzeren Pot;;;;1;;;;;;1
De Japanse Watertuin B.V.;;;;1;;;;;;1
De Jong en Anders B.V.;;;;1;;;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;;;;1;1;;;;2
de keuken van Gastmaal;;;;1;;;;;;1
De keuken van Thijs;1;;;1;;;;;;1
De Kloveniersdoelen B.V.;;;;1;;;;;;1
De Klub;;;;1;;;;;;1
De Knegt & Leeflang B.V.;;;;1;;;;;;1
De Koele Costa;;;;1;;;;;;1
De Kokende Bijl;;;;1;;;;;;1
De Koning Organisat.-Creativit./Ontwikk. B.V.;;;;;;1;;;;1
De Kookfabriek Den Haag B.V.;;;;1;;;;;;1
De Kurenpolder B.V.;;;;1;;;;;;1
de Kwaak;;;;1;;;;;;1
De Lachende Javaan;;;;1;;;;;;1
De Lantaern B.V.;;;;1;;;;;;1
De Limonadefabriek B.V.;;;;1;;;;;;1
De Lindeboom;;;;1;;;;;;1
De Lunchboxx;;;;1;;;;;;1
Dé Mobiliteitsmakelaar;;;;;1;;;;;1
De Muynck Exploitatie B.V.;;;;1;;;;;;1
De Nachtegaal Lisse B.V.;;;;1;;;;;;1
De Nederlandse Fotovakschool;;;;;;1;;;;1
De Nederlandse Ver. van Rentmeesters NVR;;;;;;1;;;;1
De Nieuwe Pelgrim;;;;;;1;;;;1
De Nonnen in Vught;1;;;;;3;;;;3
De Nonnerie B.V.;;;;1;;;;;;1
De Oorden Rondvaarten en Partycruises;;;;1;;;;;;1
De Peel Recreatie;;;;;;1;;;;1
De Pennenwinkel;;;;;;1;;;;1
De Pier Horeca B.V.;;;;1;;;;;;1
De Plaatjesmaker Visuals;;;;1;;1;;;;1
De Pomp Utrecht;;;;1;;;;;;1
De Poort van Kleef Utrecht B.V.;;;;1;;;;;;1
De Rede van Batavia Haven B.V.;;;;1;;;;;;1
De Rotterdam B.V.;;;;1;;;;;1;1
De Rotterdam Business Center B.V.;1;;;;;;;;;1
De Rotterdam Tours;;;;1;;;;;;1
De Ruiter Catering;;;;1;;;;;;1
De Ruyter Training & Consultancy B.V.;;;;;;1;;;;1
De Sallandse Berg B.V.;;;;1;;;;;;1
De Schenker B.V.;;;;1;;;;;;1
De Schutter;;;;;1;;;;;1
De Snoepwinkel V.O.F.;;;;1;;;;;;1
De Spreeuwel B.V.;;;;2;;1;;;;2
De Stad B.V.;;;;1;;;;;;1
De Stadstuin;;;;;;1;;;;1
De Stal;;;;;1;;;;;1
De Stempelplaats B.V.;;;;;;;1;;;1
De Stoelenshop;;;1;;;;;;;1
De StressOntknoping;;;;;;1;;;;1
De Teamcoach;;;;;;1;;;;1
De Teerkamer;;;;1;;;;;;1
De Tombe Consultancy B.V.;;;;;;1;;;;1
De Truffel B.V.;;;;1;;;;;;1
De Tuinderij;;;;1;;;;;;1
De Twirre;;;;1;;;;;;1
De Utrechtse Haven B.V.;;;;1;;;;;;1
De Utrechtse Stadsvrijheid B.V.;;;;1;;;;;;1
De Utrechtse Watertoren B.V.;;;;1;;;;;;1
De Veldkeuken Amelisweerd B.V.;;;;1;;;;;;1
De Verkeerde Wereld;;;;1;;;;;;1
De Verleiding;;;;1;;;;;;1
De Versnelling B.V.;;;;1;;;;;;1
De Vief Heringe;;;;1;;;;;;1
De Voort Advocaten - Mediators;;;;1;;;;;;1
De Waagh 1612 Nijmegen B.V.;;;;;1;;;;;1
De Wartenster;;;;1;;;;;;1
DE WATERMOLEN van Opwetten B.V.;;;;1;;;;;;1
De Waterreus;;;;1;;;;;;1
De Watertuin Hendrik-Ido-Ambacht B.V.;;;;1;;;;;;1
De Watertuin Spijkenisse B.V.;;;;1;;;;;;1
De Westlandse Tuin Amelandseplein;;;;1;;;;;;1
De Wildenberg Exploitatie B.V.;;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;;1;;1;;;;1
De Witte Vosch B.V.;;;;1;;;;;;1
De Witte Zwaan B.V.;;;;1;;;;;;1
De Xander Zone;1;;;;;;;;;1
De Zagerij Utrecht;;;;1;;;;;;1
De Zilveren Vosch B.V.;;;;1;;;;;;1
De Zoete Inval B.V.;;;;1;;;;;;1
De Zon;;;;1;;;;;;1
De Zwarte Ruiter op 't Witte Paart;;;;1;;;;;;1
De Zwarte Vosch B.V.;;;;1;;;;;;1
Debat.NL B.V.;;;;;1;1;;;;1
Debatacademie;;;;;1;1;;;;1
Déhora detachering B.V.;;;;;;1;;;;1
Dek Opleidingen B.V.;;;;;;1;;;;1
Dekker Zoetermeer;;;;1;;;;;;1
Dekxels B.V.;;;;1;;;;;;1
Delft Congress Support B.V.;;;;;1;1;;;;1
Delft Dynamics B.V.;;;;1;;;;;;1
Deli Cafe Dordrecht Centrum B.V.;;;;1;;;;;;1
Delicious Developments B.V.;;;;1;;;;;;1
Délifrance Lelystad Noordersluis B.V.;;;;1;;;;;;1
Delta Concrete Consult B.V.;;;;;;1;;;;1
Deltap Coaching;;;;;1;;;;;1
Den Bosch Evenementen B.V.;;;;2;;;;;;2
Den Hartog & Van Heijst;;;;;2;1;;;;2
Dena;1;;;;;;;;;1
Denkproducties V.O.F.;;;;;;1;;;;1
Department For Transport;;;;;;1;;;;1
Depot 258;;;;1;;;;;;1
DerksenHoreca;;;;1;;;;;;1
Dersett RES POP S.R.L.;;;;1;;;;;;1
DeSeizoenen B.V.;;;;1;;;;;;1
Designer-vintage.com;;;;1;;;;;;1
Deskbookers B.V.;;;;;1;1;;;;1
Destil;;;2;;;;;;;2
Det Norske Veritas B.V.;;;;;;1;;;;1
Deuts;;;;1;1;;;;;1
Deux Amis;;;;1;;;;;;1
Development Works;;;;;;1;;;;1
Deventer Pit;;;;1;;;;;;1
DeWaalCoaching;;;;;1;1;;;;1
Dewitec Projecten B.V.;1;;;;;;;;;1
DGA Horeca Pop-up B.V.;;;;1;;;;;;1
D-Hits;;;;;1;;;;;1
Dialogis;;;;;;1;;;;1
Dialogue Academy B.V.;;;;;;1;;;;1
Dialogue B.V.;;;;;;2;;;;2
Dianthe;;;;;;1;;;;1
Dickens Horecabedrijven B.V.;;;;1;;;;;;1
Dicky Squash B.V.;;;;1;;;;;;1
Diemen & Van Gestel Select B.V.;;;;;;1;;;;1
Diemen & Van Gestel Talentontwikkeling;;;;;;2;;;;2
Dienent;;;;;;1;;;;1
Dienststelle Schiffssicherheit;;;;;;;;;1;1
Diep&daal Coaching;;;;;1;;;;;1
Dierenartsencombinatie Maas en Niers;;;1;;;;;;;1
Dierenpark 'Amersfoort' B.V.;;;;1;;;;;;1
Digital Revolution B.V.;;;;;1;;1;;;1
Dignitas Mediation & Conflict Management;;;;;1;1;;;;2
Dimensys Business Consultants B.V.;;;;;;1;;;;1
Dinee Cafe De Kempen;;;;1;;;;;;1
Diner Thuis;;;;2;;;;;1;2
Dinerspel.nl;;;;1;;;;;;1
DIOR Opleidingen;;;;;;1;;;;1
Discountoffice.nl B.V.;;;;1;;1;;;;1
Dispuut Verkeer;;;;;1;;;;;1
Divertido;;;;;;1;;;;1
D'Javas;;;;1;;;;;;1
DJ-Ju Music & Entertainment;;;;;1;;;;;1
DLC B.V.;;;;1;;;;;;1
DnA Languages;;;;;;1;;;;1
DNV GL Business Assurance;;;;;;2;;;;2
DoelenVerkuijlGroep;;;;;;;;;1;1
Doen! en laten/Coaching;;;;;1;;;;;1
Doenederland.nl B.V.;;;;1;1;1;;;;1
DOJA Plein B.V.;;;;1;;;;;;1
Dolphinflow;;;;;1;1;;;;1
Domstad Evenementen B.V.;;;;1;;;;;;1
Donconsult;;;;1;;;;;;1
Dopper;;;;;1;;;;;1
Dor B.V.;;;;;;1;;;;1
Dordts Genoegen;;;;1;;;;;;1
Dots & Tango bvba;;;;;;1;;;;1
Double Healix Educational Media B.V.;;;;;;1;;;;1
Douwe E. Buis B.V.;;;;;;1;;;;1
Down Town Nijmegen B.V.;;;;1;;;;;;1
Down Under Horecaexploitatie B.V.;;;;1;1;;;;;2
Doxis;;;;;;1;;;;1
DPG Media B.V.;1;;;1;1;;;;;1
Dräger Nederland B.V.;;;1;;;;;;;1
Dragon Chen B.V.;;;;1;;;;;;1
Draijer Management;;;;;;1;;;;1
Driemensies;;;;1;;;;;;1
Driessen Kookstudio B.V.;;;;1;;;;;;1
Drink en Eetlokaal Proefverlof B.V.;;;;1;;1;;;;1
Drone Flight Academy B.V.;;;;;;2;;;;2
Drukkerij Jonkheer V.O.F.;;;;1;;;;;;1
DTV Consultants B.V.;;;;;;2;;;;2
Du Monde bar & kitchen;;;;1;;;;;;1
Duckcity B.V.;;;;1;;;;;;1
Dudok Arnhem B.V.;;;;1;;;;;;1
Dudok Den Haag B.V.;;;;1;;;;;;1
Dudok Rijnstraat B.V.;;;;1;;;;;;1
Dudok Rotterdam B.V.;;;;1;;;;;;1
Dulang Indonesische Lekkernijen;;;;1;;;;;;1
Dutch Aviation Group (DAG);1;;;1;;1;;;;1
Dutch Darts B.V.;;;;1;;;;;;1
Dutch Drone Group B.V.;;;;;;1;;;;1
Dutch Hunting Falcons;;;;1;;;;;;1
Dutch Research Institute for Transitions B.V.;;;;1;;;;;1;1
Dynamika;;;;;;1;;;;1
DynaVision B.V.;1;;;;1;2;;;;2
East & west urban consultancy;1;;;;;;;;;1
Easy Actors B.V.;;;;;1;1;;;;1
Easy Fun Events;;;;1;;;;;;1
EasyFiets;;;;;;;;;1;1
Ebbinge International B.V.;1;;;;;1;;;;2
E-bike2work B.V.;;;;1;;;;;;1
ECCC Environment and Climate Change;;;;1;;;;;1;1
Ecoauthor;;;;;;1;;;;1
EcoChain Technologies B.V.;;;;;1;;;;;1
EcoGiving B.V.;;;;1;;;;;;1
Ecologica B.V.;;;;;;1;;;;1
Eden Oranje Hotel B.V.;;;;;;1;;;;1
EDG Educatieve Distributie B.V.;;;;;1;;;;;1
E-Drivers;;;;1;;;;;1;2
Education Abroad;1;;;;;1;;;;1
Eduvision B.V.;;;;;;1;;;;1
Edwin Smulders Catering;;;;1;;;;;;1
Eekhout Academy;;;;;;1;;;;1
eelloo;;;;;2;;;;;2
Eetcafé aon 't Bat B.V.;;;;1;;;;;;1
Eetcafé de Crimpenaar;;;;1;;;;;;1
Eetcafe De Eend;;;;1;;;;;;1
Eetcafé De Eerste Aanleg;;;;1;;1;;;;1
Eetcafé de Hoek;;;;1;;;;;;1
Eetcafé 'De Notaris' B.V.;;;;1;;;;;;1
Eetcafé de Remise;;;;1;;;;;;1
Eetcafe 'De Ruif';;;;1;;;;;;1
Eetcafe de Stadstuin;;;;1;;;;;;1
Eetcafé Full House;;;;1;;;;;;1
Eetcafé het leven;;;;1;;;;;;1
Eetcafé Joos;1;;;1;;;;;;1
Eetcafe Santas;;;;1;;;;;;1
Eetcafe 't Keershuys;;;;1;;;;;;1
Eetcafé van de markt;;;;1;;;;;;1
Eetcafé van Miltenburg;;;;1;;;;;;1
Eetcafé Vidocq B.V.;;;;1;;;;;;1
Eetcafé Wiegman;;;;1;;1;;;;1
Eeterij De Engel;;;;1;;;;;;1
Eeterij De Pont;;;;1;;;;;;1
Eeterij-spelerij Vierlinden;;;;1;;;;;;1
EeThuisTwintig;;;;1;;;;;;1
Eethuys- Café 'De Generaal';;;;1;;;;;;1
Effectyf B.V.;;;;;;1;;;;1
