Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Hotel Des Indes Le Meridien, Lehwood;;;;;;1;;;;1
Hotel Fidder;;;;;;;;;1;1
Hotel Hengelo;;;;;;;;;1;1
Hotel La ville;;;;;;;;;1;1
Hotel New York Rotterdam;;;;1;;;;;;1
Hotel Oostduinhage;;;;1;;1;;;1;2
HOTEL PTC;;;;;;;;;1;1
Hotel Royal York;;;;;;;;;1;1
HotelRebel;;;;;;2;;;;2
Hotels van Oranje;;;;;;;;;1;1
Hotelschool The Hague;;;;;;2;;;;2
Houben & Partners;;;;;;2;;;;2
House of Lords;;;;1;;;;;;1
HPO Center (Center for Organizational Performance);;;;;;1;;;;1
HSK Groep;;;2;;;1;;;;2
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;;1;;1;;;1;1
Hucag Human Capital Group (incl. Fanplay);;;2;;;;;;;2
HUISWERK ADVIES EN PROJECTEN;;;;;;2;;;;2
Huize Molenaar Cuisinier;;;;;;1;;;;1
IABR Internationale Architectuur Biennale Rotterdam;;;;1;;;;;;1
Ibis Accor Hotels;;;;;;1;;;1;1
IBR Instituut Voor Bouwrecht;;;;;;1;;;;1
ICM Holding;;;;;;2;;;;2
Idefix Advies;;;;;;2;;;;2
Idols Rijswijk;;;;1;;;;;;1
IFMEC;;;;;;1;;;;1
Igluu Workspace For Professionals;;;;;;1;;;;1
Igo Post Internationale Geschenken Organisatie;;;;1;;;;;;1
IIA Instituut van Internal Auditors;;;;;;1;;;;1
Ijsseltours Touringcarbedrijf;;;;1;;;;;;1
IKOS Consult;;;;;;2;;;;2
IMAGO;;;;;;2;;;;2
Imago Su Misura;;;;;;1;;;;1
IMO IJkema;;;;;;2;;;;2
Impuls;;;;;;1;;;;1
Impulsus/CIEP Personal Quality&Results;;;;;;2;;;;2
In De Ruimte;;;;;;1;;;;1
In den Stallen;;;;1;;;;;1;1
In den Zevende Hemel Brasserie Restaurant;;;;1;;;;;;1
In- en Outdoor Centre De Uithof;;;;1;;;;;;1
In2ition;;;;;;2;;;;2
Indema;;;;;;1;;;;1
Indrapoera;;;;1;;;;;;1
Inflection;;;;;;1;;;;1
Info.nl;;;;;;2;;;;2
Information Security Academy;;;;;;2;;;;2
Inge I.B. Meyer Coaching & Training;;;;;;2;;;;2
Ingrid La Haye Design & Illustratie;;;;;;1;;;;1
Ink Stichting;;;;;;1;;;;1
Inkoop Academie;;;;;;1;;;;1
Inner Dynamics Holding B.V.;1;;;;;;;;;1
Innerself;;;;;;2;;;;2
Innova;3;;;;;;;;;3
Inntel Hotels;;;;;;1;;;1;1
Inquest;;;;;2;;;;;2
Insightsworld;;;;;;3;;;;3
Inspearit (incl. CIBIT);;;;;;1;;;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;;;1;;;;1
Instituut SMO;;;;;;1;;;;1
Instituut Voor Agrarisch Recht;;;;;;1;;;;1
Instituut Voor Arbeidsrecht;;;;;;1;;;;1
Instituut voor Vastgoed & Duurzaamheid;;;;;;1;;;;1
Integrand Nederland;;;;;;2;;;;2
Interim Masters;;;;;;1;;;;1
Interlinie;;;;;;1;;;;1
Intersafe Groeneveld;;;1;;;;;;;1
Intop Zorgsector, Madiationtoets;;;;;;1;;;;1
IOD International association for Organisational and social Development;;;;;;1;;;;1
Istana Indonesisch Restaurant;;;;1;;;;;;1
It Management Group;;;;;;2;;;;2
It Posthûs;;;;;;;;;1;1
IVM Instituut voor Veiligheid & Milieu;;;1;;;;;;;1
Jaarbeurs Catering Services;;;;1;;;;;1;1
Jaarbeurs Utrecht;;;;1;;2;;;1;2
Ja-Maar;;;;;;1;;;;1
Jelle Zwiers Massagepraktijk;;;1;;;;;;;1
Jiu-Jiu - De Chinese Muur Restaurant ;;;;1;;;;;;1
Job Boersma Producties;;;;;;2;;;;2
Jobtraining & Consultants;;;;;;1;;;;1
Jonker Training & Adviesbureau Zwolle;;;;;;1;;;;1
Jopen Horeca Exploitatie;;;;1;;;;;;1
Juni Ontbijt en Lunch;;;;1;;1;;;;1
K+V Interimmanagement;;;;;;2;;;;2
KADE 23;;;;;;1;;;;1
Kader Bureau voor Kwaliteitszorg;;;;;;2;;;;2
Kantine;;;;;;1;;;;1
Karakter Rondleidingen;;;1;;;;;;;1
Karel V Utrecht Grand Hotel;;;;;;1;;;;1
Kassing Tours;;;;1;;;;;;1
Kasteel Ter Worm;;;;;;;;;1;1
Keek Trading & Advies;;;;;;2;;;;2
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;;;;;;1;;;;1
Kessels & Smit Learning Company;;;;;;4;;;;4
KIT- IMC Koninklijk Instituut Voor De Tropen - Intercultural Professionals;;;;;;2;;;;2
Klarna;;;;1;;;;;;1
Klink's Broodjeslijn;;;;1;;1;;;;1
Kloosterhof acquisitie services uitgeverij;;;;;;1;;;;1
Klupp sportswear;;;;1;;;;;;1
KNGF Geleiden Honden;1;;;;;;;;;1
Knossos Grieks Specialiteiten Restaurant;;;;1;;;;;;1
KOFFIE EN IJSALON FLORENCIA;;;;1;;;;;;1
Koggevaarder;;;;;;1;;;;1
Koken Op Maat;;;;1;;;;;;1
Kokxdevoogd;;;;;;2;;;;2
Komfort Exploitatie Maatschappij;;;1;;;;;;;1
Koppers Trading;;;;1;;;;;;1
Korte Poten 1-3;;;;1;;;;;;1
Kotteman;;;;;;1;;;;1
KPCS Rozenpaviljoen;;;;1;;1;;;;1
KPN (incl. Getronics, PTT Telecom);;;;;;3;;;;3
krampVrije Communicatie;;;;;;1;;;;1
KRUIMELS;;;;;;1;;;;1
Kunstpassage;;;;1;;1;;;;1
KVS Kantoorinrichtignen;;;1;;;;;;;1
La Couronne du Comte;;;;1;;;;;;1
La Cubanita;;;;1;;;;;;1
La Cucaracha Mexican Cantina;;;;1;;;;;;1
La Galleria;;;;1;;;;;;1
La Liguria Restaurant;;;;1;;;;;;1
La Passione Restaurant;;;;1;;;;;;1
La Place Catering Service Restaurant;;;;1;;;;;;1
La Poutre Bureau;;;;;;1;;;;1
La Provence Restaurant;;;;1;;;;;;1
La Red;;;;;2;2;;;;2
Lagant Management Consultants;;;;;;1;;;;1
Lagerweij & Partners;;;;;2;2;;;;3
Landelijke Vereniging van Vertrouwenspersonen;;;;1;;;;;;1
Lands End Hotel-Café-Restaurant;;;;;;1;;;;1
Language Partners (incl. Eurolinguist);;;;;;1;;;;1
Las Palmas Visrestaurant;;;;1;;;;;;1
Launch Group;;;;;;2;;;;2
LAUTENSCHUTZ;;;;1;;;;;;1
Le Bistroquet;1;;;;;;;;;1
Le Connaisseur Grand Restaurant;;;;1;;;;;;1
Le Moulin Fou Restaurant;;;;1;;;;;;1
Le Strasbourg;;;;1;;2;;;;2
Lean Consultancy Group;;;;;;2;;;;2
Lean Six Sigma Company;;;;;;2;;;;2
Learn It;;;;;;2;;;;2
Lebkov & Sons;;;;1;;1;;;;1
Lectric Internetopleidingen;;;;;;1;;;;1
Leefstijl Training & Coaching;;;;;;1;;;;1
Leene Communicatie (incl. Leene.txt);;;;;;2;;;;2
Leeuwendaal Advies;;;;;;3;;;;3
Leids Congres Bureau;;;;;;1;;;;1
Les Ombrelles Visspecialiteiten Restaurant;;;;1;;1;;;;1
Let's Talk Coaching Mediation;;;;;;1;;;;1
LHC Exploitatie;;;;;;1;;;;1
LIB Businessgames;;;;1;;;;;;1
Libereaux;;;;;3;;;;;3
Like 2Organize B.V. (Vredesloop DH);;;;1;;;;;;1
Lionfish;;;;;;1;;;;1
Lisanne Bommer;;;;1;;;;;;1
Little V Vietnamees Restaurant;;;;1;;;;;;1
Lloyd Hotel;;;;;;;;;1;1
Lloyd's Register (incl. Cedeo);;;;;;1;;;;1
Lof Media;;;;;;2;;;;2
Logeion Vereniging Voor Communicatie;;;;;;1;;;;1
LOI Leidse Onderwijsinstelling;;;;;;1;;;;1
Loopbaanadvies en Training;;;;;;1;;;;1
LS Holding (incl. Adhd & Werk, De Eerste Verdieping);;;;;;1;;;;1
LTP;;;;;;2;;;;2
Lübeck Grand Café Exploitatie;;;;1;;;;;;1
Luden Restaurant&Brasserie;;;;1;;;1;;;1
Lumenz Talentontwikkeling (incl. Om de hoek);;;;;;1;;;1;1
Luxor Restaurant Leiden;;;;1;;;;;;1
Lyreco Nederland (vh Ahrend Office Products);;;;;;1;;;;1
Lysias;;;;;;1;;;;1
M2Support;;;;;;1;;;;1
MAAK RUIMTE;;;;;;1;;;;1
Maatschap van Son Calis;;;;;;1;;;;1
Madurodam;;;;2;;1;;;;2
Maessen Tentenverhuur;;;;2;;;;;;2
Magnet.me;;;;;2;;;;;2
Maharani Indian Restaurant;;;;1;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;1;;1;;;;1
Makedonia;;;;1;;;;;;1
Management Buy-in B.V. (Transmind);1;;;;;;;;;1
Management Drives Opleidingen;;;;;;2;;;;2
Management Producties;;;;;;1;;;;1
Managementissues;;;;;;1;;;;1
Mansal Research & Development;;;;;;1;;;;1
Maranza;;;;;;1;;;;1
Marbles;;;;;;1;;;;1
Marcel en Ruud Bloembinders;;;;1;;;;;;1
Margolin (vh Loyalis Mens en Werk);;;;;1;;;;;1
Martini Budget Hotel;;;;;;;;;1;1
Maruna;;;;;;1;;;;1
Mary K Hotel;;;;1;;;;;;1
Master in Event Management;;;;;;1;;;;1
Master IT;;;;;;1;;;;1
Mastercircle;;;;;;1;;;;1
Mauritshuis;;;;1;;;;;;1
Mavim Holding;;;;;;1;;;;1
Maxilia (incl. Greengiving.nl);;;;1;;;;;;1
MECC Hotel Service;;;;;;;;;1;1
MEDE MOGELIJK GEMAAKT DOOR;;;;;;1;;;;1
Mede Organisatie-Advies-Training;;;;;;1;;;;1
Medemblik Hotel (incl Het Wapen van Medemblik);;;;;;1;;;;1
Mediavrouw;;;;;;1;;;;1
Meelfabriek Zijlstroom;;;;1;;;;;;1
Meer Effect Qualitytime;;;;;;1;;;;1
Meeting Plaza;;;;;;1;;;;1
Meisjes met Smaak;;;;1;;;;;;1
Memory Events, Publications;;;;;3;;;;;3
Mercure Hotels;;;;1;;;;;1;1
Merlijn Groep;;;;;;1;;;;1
Mermaid Medicine;;;1;;;;;;;1
Metacasus;;;;;;1;;;;1
Metrixlab;;;;;2;;;;;2
Meurs HRM;;;;;2;2;;;;2
Meza Mediterranee;;;;1;;;;;;1
Mind Academy;;;;;;1;;;;1
Mire-a-se Coaching en Training;;;;;2;;;;;2
Mirell eten & drinken;;;;1;;;;;;1
Misco Solutions (vh SCC Services);;;1;;;;;;;1
Mitland Hotel;;;;;;;;;1;1
Mobiele Eetheid;;;;1;;;;;;1
Mobilee Consultancy;;;;;;2;;;;2
Mobility Mixx;;;;;;;;;2;2
Mochi Restaurant;;;;1;;;;;;1
Mollee Communicatie;;;;2;;;;;;2
Monster Events;;;;1;;;;;;1
Moon Training Body & Mind;;;1;;;;;;;1
Morel Makelaars Instituut;;;;;;1;;;;1
Morel Opleiding en Training;;;;;;1;;;;1
MOTHER GOOSE;;;;;;;;;1;1
Motivaction;;;;;;1;;;;1
Movenpick Hotels;;;;;;;;;1;1
MoveToLive;;;1;;;;;;;1
Mr. & Mrs. Restaurant;;;;1;;;;;;1
MTI - Mediation Trainingsinstituut;;;;;;1;;;;1
Multi Vlaai;;;;1;;;;;;1
Multicopy (incl. Andre Cossee);;;;1;;;;;;1
Multigift Relatiegeschenken;;;;1;;;;;;1
Murphy's Law (B&N Eten/Drink);;;;1;;;;;;1
Museum Catering;;;;;;1;;;;1
N200.Com;;;;;;1;;;;1
NAi Boekverkopers;;;;1;;;;;;1
Nationaal Renovatie Platform Stg;;;;;;1;;;;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;;;;4;;;;4
Nederlands Debat Instituut;;;;;;1;;;;1
Nederlands Juristen Comite voor De Mensenrechten;;;;;;1;;;;1
Nederlands Openluchtmuseum;;;;1;;;;;;1
Nederlandse Vereniging van Maatschappelijk Werkers;;;;;;1;;;;1
Nedworc Foundation;;;;;;1;;;;1
Neighbour Holding;2;;;;;;;;;2
Nestas Communicatie;;;;;;1;;;;1
NETWERK DEMOCRATIE;;;;;;2;;;;2
Nevi/Neho;;;;;;3;;;;3
New Babylon Meeting Center;;;;1;;1;;;1;2
Next Vastgoed Consultancy;;;;;;1;;;;1
NextNovelty;;;;;;2;;;;2
NH Hotels (incl. Nhow hotels);;;;1;;1;;;3;3
NHA Nationale Handels Academie;;;;;;1;;;;1
Nibud Nationaal Instituut voor Budgetvoorlichting ;;;;;;1;;;;1
Nieuw Domein Uitgever;;;;;;1;;;;1
NIMA - Nederlands Instituut voor Marketing;;;;;;1;;;;1
NIOW Taaltrainingen, Vaardigheidstrainingen, Advies & Opleiding;;;;;;1;;;;1
Nisto;;;;;;1;;;;1
NL-Jug;;;;;;1;;;;1
NMKG Netwerk Management en Kwaliteitszorg bij Gemeenten;;;;;;1;;;;1
NMv Nederlandse Mediatorsvereniging;;;;1;;;;;;1
NOA;;;;;;2;;;;2
Nobbe Mieras trainingen;;;;;;1;;;;1
Nooteboom Tours;;;;;;;;;1;1
Norm Systems;;;;;;1;;;;1
Novotel;;;;;;;;;2;2
NRC Handelsblad;;;;;2;;;;;2
NS - Spoorwegen Nederlandse;;;;;;;;;5;5
NS OV-Fiets;;;;;;;;;1;1
NSOB Nederlandse School Voor Openbaar Bestuur;;;;;;2;;;;2
NSVV Nederlandse Stichting voor Verlichtingskunde;;;;1;;;;;;1
NT Publishers;;;;;;;;;1;1
NTI - Nederlands Talen Instituut;;;;;;1;;;;1
NTI-NLP Nederlands Trainingsinstituut voor Neurolinguistisch Programmeren;;;;;;2;;;;2
Nyenrode Services;;;;;;2;;;1;2
Nysingh Communicatieadvies;;;;;;1;;;;1
OBMC Consulting;;;;;;1;;;;1
OCIUS;;;;;;1;;;;1
Octavia;;;;1;;;;;;1
Octopus Promotions;;;;1;;;;;;1
Odyssee Groep training, pensioen in zicht;;;;;;1;;;;1
Odysseus Palace Grieks Restaurant;;;;1;;;;;;1
Olala Chocola;;;;1;;;;;;1
On Board On Shore;;;;1;;;;;;1
Onder de Watertoren;;;;1;;;;;;1
Onderzoek Kamelenmelk Smits;;;;1;;;;;;1
OneClick Internet;;;;1;;;;;;1
Onetomarket;;;;;2;;;;;2
Online Seminar;;;;;;1;;;;1
Oonk Banketbakkerij;;;;1;;;;;;1
Oorzaak (Rob Acket, Cees Wagenaar);;;;;;2;;;;2
Oosterschelde Reederij;;;;1;;;;;;1
Opatel open ateliers;;;;;;1;;;;1
Oppidum;;;;;;2;;;;2
Optima Forma;;;;1;;;;;;1
ORAM;;;;;;1;;;;1
Orca Sercure BV;;;;;;1;;;;1
Ordina (incl. Be Value, Clockwork);;;;;;2;;;;2
Original Tours en Events Amsterdam;;;;1;;;;;;1
OSR Opleidingen Sociaal Recht Juridische Opleidingen;;;;;;1;;;;1
Ossa Restaurant;;;;1;;;;;;1
Otys;;;;;;1;;;;1
Oud Poelgeest;;;;;;1;;;1;1
Oudaen Stadskasteel;;;;1;;1;;;;1
Overste Hof Partycenter, Hotel-Restaurant, Landgoed;;;;;;1;;;;1
Paagman Kantoorbenogigdheden;;;;1;;;;;;1
Pakhuis De Zwijger;;;;;;1;;;1;1
Paleis Het Loo Nationaal Museum;;;;1;;;;;;1
PALMYRA BLOEMSIERKUNST;;;;1;;;;;;1
Pan Café Restaurant;;;;1;;;;;;1
Pantem / Leopold Cafe-Restaurant;;;;1;;;;;;1
Paralax;;;;;;2;;;;2
Paraplu Muziekcafé;;;;1;;;;;;1
Park Plaza;;;;;;1;1;;1;1
Parker Beachclub;;;;1;;;;;;1
Parkhotel;;;;;;1;;;1;1
Party Ships & Trips;;;;1;;;;;;1
Party Verhuur Jk;;;;1;;;;;;1
Paul Verhuurbedrijf;;;;;;;1;;;1
Pavlov Bar Restaurant;;;;2;;;;;;2
PBLQ (HEC, ROI, Zenc);;;;;;4;;;1;4
PDS Professional Driving Solutions;;;;;;2;;;;2
Pegasus Nautic Events (Kicker Events);;;;1;;;;;;1
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;;;1;;;;;;1
Pension Papillon;;;;;;1;;;;1
Peoplewise;;;;;;1;;;;1
Peperzak;;;;;;1;;;;1
Pepperoni;;;;1;;;;;;1
Personal Talent;;;;;;1;;;;1
Personalgifts;;;;1;;;;;;1
Peukie Beachclub;;;;1;;;;;;1
Phaos Organisatieontwikkeling;;;;;;1;;;;1
PHOV Post Hoger Onderwijs Veiligheidskunde;;;;;;2;;;;2
Phuket Thais Restaurant;;;;1;;;;;;1
Pieterkerk Leiden;;;;2;;;;;;2
Pinc Conferences;;;;;;1;;;;1
Pink Elephant (vh Nobel);;;;;;1;;;;1
Pino Productions;;;;;;2;;;;2
Pizza Pazza B.V.;;;;1;;;;;;1
Pizzeria Taormina;;;;1;;;;;;1
Plant-e;;;;3;;;;;;3
Plata Opleidingsinstituut;;;;;;3;;;;3
Plein 10A (Rozee, Millers Restaurant);;;;1;;;;;;1
Plein 5;;;;1;;;;;;1
Plus Delta;;;;;;1;;;;1
Poentjak Indonesisch Restaurant;;;;1;;1;;;;1
Pokee;;;;1;;;;;;1
Polaroid yourself;;;;1;;;;;;1
Polman's Café-Restaurant;;;;;;1;;;;1
Pool & Billiards;;;;1;;;;;;1
Popocatepetl Mexicaans Restaurant;;;;1;;;;;;1
Portobello Beheer;;;;1;;;;;;1
Postillion Hotels;;;;;;1;;;1;1
Practical Approach;;;;;;1;;;;1
Praeteyck;;;1;;;;;;;1
PRiMAN Staffing Solutions;;;;;;2;;;;2
Primera;1;;;1;;;;;;1
Proambt Advies;;;;;2;;;;;2
Proeflokaal De Gaper;;;;1;;;;;;1
Prof Dr Wim Derksen;;;;;;1;;;;1
Projektivity;;;;;;1;;;;1
Promo Extended;;;;1;;;;;;1
Promopodium;;;;1;;;;;;1
Property Nl;;;;1;;1;;;;1
PROPULSION;;;;;;2;;;;2
Protinus It;;;2;;;;;;;2
Prowareness Group iSense;;;;;;1;;;;1
Psychologen Praktijk Adriaans;;;;;;1;;;;1
PSYCHOLOGENPRAKTIJK FREESOUL;;;;;;1;;;;1
Public Support Groep;;;;;;1;;;;1
Publicontact;;;;;;2;;;;2
PublicSpirit;;;;;1;1;;;;2
Publieke Versnellers;;;;;;1;;;;1
Pulchri Studio;;;;;;1;;;;1
Pulsar Academie;;;;;;1;;;;1
Puur Events;;;;1;;;;;;1
PVIB Platform Voor Informatiebeveiliging;;;;;;1;;;;1
PWC PriceWaterhouseCoopers;;;;;;1;;;;1
QO Storm (Maria Café Utrecht);;;;1;;;;;;1
Qompas;;;;;2;;;;;2
Q-Park;;;;;;;;;1;1
Quakernaat;;;;;;1;;;;1
Quality Calls;;;;;;2;;;;2
Que Pasa Tapasbar;;;;1;;;;;;1
Quint Wellington Redwood;;;;;;1;;;;1
RAI Amsterdam;;;;;;1;;;;1
Randstad Group (incl. Tempo Team, P/Flex);;;1;1;;;;;2;2
Rau;;;;;;1;;;;1
RB Consult;;;;;;1;;;;1
Read & View;;;;1;;;;;;1
Reclamestudio Guthschmidt;;;;;;1;;;;1
Redzebra Group;;;;;;1;;;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;;;;;1;;;;1
Regardz (incl. Iassociate);;;;;;;;;2;2
Regus;;;;;;1;;;;1
Relatics;;;;;;1;;;;1
Remmerswaal Bakkerij;;;;1;;;;;;1
Ren4Sport;;;;;;1;;;;1
Rendement;;;;;;1;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;;1;;;;;;1
Residentie Ontdekkingen;;;;1;;;;;;1
Restaurant Jongepier;;;;1;;;;;;1
Reynaarde Talentontwikkeling;;;;;;1;;;;1
Rgcompany;;;;;;1;;;;1
Rics Nederland;;;;1;;;;;;1
Rigo Research en Advies;;;;;;1;;;;1
Rijksmuseum Voor Volkenkunde;;;;1;;;;;;1
Rijndam Revalidatiecentrum;;;1;;;;;;;1
ROC van Twente;;;;;;2;;;;2
Rode Wouw;;;;;;2;;;;2
Rodenbach Hotel Restaurant;;;;;;;;;1;1
RODNEY BREEN PRODUCTIES;;;;1;;;;;;1
Rofra Sportieve Arrangementen;;;;1;;;;;;1
Rohde & Grahl (incl. Working Well);;;;;;1;;;;1
Rond Je Stem;;;;;;1;;;;1
Rondvaart Zwolle;;;;1;;;;;;1
Roodpurper;;;;;;1;;;;1
Rootz Cafe Restaurant;;;;1;;;;;;1
Roparun;;;;1;;;1;;;1
Ropeni (incl. Schlemmer);1;;;2;;1;;;;2
Rosarium Wokrestaurant;;;;1;;;;;;1
Rosier Marketing;;;;;;2;;;;2
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;;;;2;;;;2
Royal Palace;;;;1;;;;;;1
Ruimtevolk / BSDV Bureau voor stads- en dorpsvernieuwing;;;;;;1;;;;1
Run2Day;;;;1;;;;;;1
S and S Food Services;;;;;;1;;;;1
Sacha Grootjans Fotografie;;;;1;;;;;;1
Salonboot den Haag & Delft;;;;1;;;;;;1
Samaya Plek Voor Ontmoeting;;;;;;;;;1;1
San Telmo Argentijns Restaurant;;;;1;;;;;;1
Sander Flight Onderzoek en Advies;;;;;;1;;;;1
SAP Nederland;;;;;;2;;;;2
Sapori D'Italia Ristorante;;;;1;;;;;;1
Sarinande Indonesisch Restaurant;;;;1;;;;;;1
Sawo Foodservices (incl. Wox Restaurant);1;;;;;;;;;1
SBI Training & Advies, Zonheuvel, Boschoord;;;;1;;1;;;;1
SBRCURnet Stg Bouwresearch;;;;;;1;;;;1
Sccone;;;;1;;;;;;1
Scheidegger Opleidingen;;;;;;1;;;;1
Schipper HR Services;;;;;;1;;;;1
SCHLEIJPEN EN LEATEMIA;;;;;;1;;;;1
Schoevers Opleidings- en Exameninstituut;;;;;;1;;;;1
Schoonhoven Keramiek;;;;1;;;;;;1
Schouten Global (incl. Schouten & Nelissen Groep, Thema);;;;;;4;;;;4
ScienceWorks;;;;;;1;;;;1
Scil For Your Skills;;;;;;1;;;;1
Scobe Academy;;;;;;1;;;;1
SDU - Service Centrum Uitgevers;;;;;;1;;;;1
Seats2meet.com;;;;1;;1;;;;1
See You At Noon;;;;1;;;;;;1
SeeTrue (mindfulness-trainingen);;;;;;1;;;;1
Semmeling Advies;;;;;;1;;;;1
Sense of China Restaurant;;;;1;;;;;;1
Senso Care;;;1;;;;;;;1
Sensus;;;;;;1;;;;1
Sequenza Restaurant-Brasserie;;;;1;;;;;;1
Sertum kennisinstituut vastgoed (vh REOV);;;;;;1;;;;1
Shabu Shabu;;;;1;;;;;;1
SHL Nederland;;;;;;2;;;;2
Shoppartners Homeshopping;;;;1;;;;;;1
Significant;;;;;;2;;;;2
Silver Pond;;;;1;;;;;;1
SIOO Stichting Interuniveristair centrum Organisatie Veranderkunde;;;;;;2;;;;2
Sira Consulting;;;;;;1;;;;1
Sirtaki Grieks Restaurant;;;;1;;;;;;1
SKM Stg Kwaliteit Mediators;;;;1;;;;;;1
Slaptones Maatwerk;;;1;;;;;;;1
Sligro (incl. van Hoeckel);;;;1;;;;;;1
Slijterij Voorburg;;;;1;;;;;;1
SMC - Sport Marketing Consultancy;;;;1;;;;;;1
Snelwenskaart.nl;;;;1;;;;;;1
SNiC;;;;;;1;;;;1
Sociaal.NL Schuldsanering;;;1;;;1;;;;1
Sodexo;;;;1;;;;;;1
Soeboer Restaurant;;;;1;;;;;;1
Software AG Nederland;;;;;;1;;;;1
Soho (South of Houston);;;;1;;;;;;1
Solbeach Strandpaviljoen;;;;1;;;;;;1
Solid Sense;;;;;;1;;;;1
Solutions;;;1;;;;;;;1
SONIA;;;;1;;;;;;1
Sonsbeekpaviljoen Chinees-Indisch Restaurant;;;;1;;;;;;1
Soomers Strandtent;;;;2;;;;;;2
SOSV opleidingen;;;;;;1;;;;1
Spaces Rode Olifant;;;;1;;3;;;;3
Spanjersberg Organisatieadvies;;;;;;1;;;;1
Specktakel;;;;1;;;;;;1
Speechless;;;;;;1;;;;1
SPEV evenementenbureau;;;;1;;;;;;1
Spijker en Hamer;;;;;;1;;;;1
Spitz Congres & Event;;;;;;2;;;;2
Spize Asian Bistro Restaurant;;;;1;;;;;;1
SPO Stichting Personeelsinstrumenten Onderwijs;;;;;;1;;;;1
Sportcentrum Mariahoeve;;;;1;;;;;;1
SPORTVERENIGING PETTEN;;;;;;1;;;;1
Spring Events;;;;2;;;;;;2
Srikandi Indonesische Restaurant;;;;1;;;;;;1
Srm;;;;;;2;;;;2
St. Vrienden van Issoria;;;;1;;;;;;1
Stadsarrangement.nl;;;;1;;;;;;1
Stadsherberg De Mol;;;;1;;;;;;1
Stadsparkeerplan Leiden;;;;;;;;;1;1
Stamm Cmo Drenthe;;;;;;1;;;;1
Stavoor;;;;;;2;;;;2
Stayokay;;;;;;1;;;;1
STG Ballet van Leth;;;;;;1;;;;1
Stg Beheer Landelijk Platform Woonoverlast;;;;;;1;;;;1
Stg Erfgoedlab;;;;;;1;;;;1
Stg Even Iets Anders Dan Een Ander;;;;1;;;;;;1
Stg Exploitatie en Beheer Accommodaties Petten;;;;;;1;;;;1
Stg HBO Haaglanden & Rijnstreek Haagse Hogeschool;;;;;;2;;;;2
Stg Kennisoverdracht Bouwfysica;;;;;;1;;;;1
Stg Maatschappij en Politie;;;;;;1;;;;1
Stg Promotie den Haag;;;;2;;;;;;2
Stg Stunt;;;;1;;;;;;1
Stg. Hobeon Certificering;;;;;;1;;;;1
Stichting Boogh;;;;;;1;;;;1
Stichting Bouwhistorie Nederland;;;;;;1;;;;1
Stichting Crisislab;;;;;;1;;;;1
Stichting HRR Wegwedstrijd;;;;1;;;;;;1
Stichting ISSO;;;;;;1;;;;1
Stichting Kontakt der Kontinenten Conferentiehotel;;;;;;;;;1;1
Stichting Kwaliteit BA&O;;;;;;1;;;;1
Stichting Lucas Onderwijs;;;;;;2;;;;2
STICHTING PAVILJOEN POP;;;;;;1;;;;1
Stichting ST!R;;;;1;;;;;;1
Stichting TOT;;;;;1;;;;;1
STICHTING TUGELA85;;;;;;1;;;;1
Stichting Vis à Vis;;;;1;;;;;;1
Stichting Zwem- en recreatiebad de Kulk;;;;;;1;;;;1
Stipt Taxi & Touringcarbedrijf;;;;1;;;;;;1
Stoffer Coaching;;;;;1;;;;;1
Stomerij Panda;;;;;;1;;;;1
STREETKITCHEN;;;;1;;;;;;1
STRIJBOS ORGANISATIEADVIES & TRAINING;;;;;;1;;;;1
STUDIO PROTOTYPE;;;;;;2;;;;2
Studystore Studieboekencentrale;;;;;;1;;;;1
Stylll;;;;1;;;;;;1
Sui Sha Ya;;;;1;;;;;;1
Sumo Sushi & Grill Restaurant;;;;1;;;1;;;1
SupermarktNL;;;;1;;;;;;1
Surfnet;;;;;;1;;;;1
SVC School Voor Coaching;;;;;;2;;;;2
SVM Nivo;;;;;;1;;;;1
SVPB Stichting Vakexamens voor de Particuliere Beveiligingsorganisaties;;;;;;1;;;;1
SYTZO;;;;;;1;;;;1
'T Goude Hooft Beheer Equus Stadsherberg, Hotel;;;;1;;;;;;1
't Ruysdael;;;;;;1;;;;1
Ta Academie;;;;;;1;;;;1
TaalNetWerk;;;;;;1;;;;1
Taartenwinkel.nl;;;;1;;;;;;1
