Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financi�n;4110 - Consumptieve diensten;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9510 - BZ specifiek;Eindtotaal
European Language Centre B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;4
European Speechwriter Network Dorset;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
EUROPROTOCOL LIMITED THE EUROPEAN SCHOOL OF PROTOCOL;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Eurotempest B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Evenman B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Everaert Advocaten;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ex Interiors B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
ExitGame;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
expertcoach;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Expertise in Labour Mobility B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Exploit.maatsch. Boerderij Meijendel B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
EXPOTRAVEL BVBA;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
F&U Nederland B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
F5 Networking;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Fabius Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Fair Price B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Fakton B.V.;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;2
Fanbased B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Feel Good 2 Stress Counselling en Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Fenomeen - embodied leadership;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Fiesta Residences Accra;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Fifty Nyc.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Firma Hof der Muzen;;1;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
FitnessStoffering.nl;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Fitzpatrick Grand Central Hotel;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Flashbay Limited;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Flexxolutions B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Fliteline B.V.;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4
FOAM-Fotografiemuseum Amsterdam;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Fonk Beach B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Food4Sharing;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Foodzie;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Fort Wierickerschans B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Fortes Solutions B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Forzes;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Fotogeniek;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;1
Frank van Leeuwen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Frankwatching B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Frans Bieckmann;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Franssen Advocaten;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Free Food Refugee Company B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Frisse Zin;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
G4S Cash Solutions B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Galerie Cokkie Snoei;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Galerie Nouvelles Images;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Galerie Onrust;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Galerie Wilms;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
GALLUP INC;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Gartner Nederland B.V.;;;;;;;;;;;3;;;;;;;;5;;2;;;;;;;;5
Gasterij De Arend;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Gebr. Barendsen B.V.;;1;1;;1;1;;1;;;1;;;;;;;;;;;1;;;;;;;1
Genootschap Onze Taal;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Gerard Borkus;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Gerritsen & IJzereef B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Gh Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
GJM Communicatie B.V.;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Global Connection;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
GMI Groep B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Go B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Goedkoopste-Kantoorartikelen.nl;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Goedman Kunstenaarsbenodigdheden;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
GoodHabitz B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Goudsteen & Company B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Gran Mercado B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Grand Café de Burcht B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Grandcafe Haagsche Bluf;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Granny's Corner;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Groepsuitjes Leiden;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Gunnebo Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Gusto di Italb;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Gusto Mangia e Bevi;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Hélène Damen;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Haaglanden Lease;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;1
Habtoor Grand Resort Autograph Coll. LLC;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
HAGO Electronics B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Hans Steijger Muziek op Maat;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1
Happy Meat B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Harekar Company For Security & Guarding;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Harmony Relocation B.V.;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Hart Beach B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
HaskoningDHV Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
Havesathe Laarwoud B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Hcch - Hague Conference On Private International Law;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;5
HeadFirst B.V.;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Health2Work B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Hearttotouch;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Hedera Holding B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Heemparkhuisjes V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Heeren & Jansze;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Helder Graveertechniek en Naamplaat-Ind. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Heliview Conferences en Training B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Hennekes Special Seating B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hennequin Consultancy B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Henriëtte van Dueren den Hollander;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Hesbak Beheer B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Kookplein;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Het Nutshuis;;;;;;1;;;;;;;;;;;;;;;;1;;;;2;;;2
Het Pleidooi;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Het Sleutelhuis B.V.;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1
Het Stempel No. 539 B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
High Five Health Promotion B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hofje van Pauw: praktijk voor haptonomie;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hofstad Events B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Hogeschool der Kunsten Den Haag;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;2;;;;;1;;;;;;;;;;;2;;;;1;;;2
Holland Tour Guides B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Holland Vision B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Hollandse Hoogte B.V.;;;;;;;;;1;;;;;1;;;;;;;;1;;;;;1;;1
Hollandse Telecommunicatie Maatschappij;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2
Hop & Stork Den Haag B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Horeca Exploit. Maatschappij City Hall B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Hotel Beethoven Amsterdam;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
HOTEL BERLAYMONT;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1
Hotel Des Indes B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Hotel Leusden B.V.;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1
Hotel Melia Havana;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hotel New York B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Hotel Okura Tokyo;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hotel Palomar Washington;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
HOTEL ROTHSCHILD;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hotel Torarica Paramaribo;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hotel/Restaurant Corona;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hotelexpl.mij. Danny Kayelaan Zoetermeer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
House of Lords B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
House of Sports;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
HR Trend Institute B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
HR Via Care B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
HSBC BANK USA, N.A.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Huf & Go;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hugo Schipper B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Huijer Evening Dress B.V.;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1
Humphrey's Rotterdam Binnenrotte B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Hurricane Textile & Sportswear B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Huub en Adelheid Kortekaas;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
HVG Productions;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
HXWork;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
IAMARIAN B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
Ibis Den Haag City Centre;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ICM Administratie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
IDEAS - INTERN. DEVELOPMENT EVALUATION ASSOCIATION;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
IFS audiovisueel B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Ijet International, Inc. Annapolis;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Ik & Jij;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1
IKAN Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ILAT Information, Learning and Adv. Transact.;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Impero Romano Holding B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Improven B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
In2Content B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Incassobureau Plaggemars;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Indisch Restaurant Garoeda;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Indonesisch Restaurant Poentjak;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Information Security Academy B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ING Bank N.V.;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1
Inigo Advocaten;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Inkt.nl B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Inmobiliaria 56 Ca.;;;;;;;;1;;;;;;;;;;;;;;3;;;;;;;3
Inspiratiebrigade;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Instituut voor Non verb. Strat. Analyse B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Instituut voor Psychotrauma Nederland B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Instituut voor Wijsbegeerte B.V.;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1
Instock Amsterdam;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Int. Air Trans. Association (Netherl.) B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1
Intact;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
INTERCONTINENTAL HOTEL KUALA LUMPUR;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Intercult. Business Improvement Holding B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;4
Internat. Instituut voor Sociale Geschiedenis;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
International Car Cleaning Pitlo B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
iPeople;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
IPRC B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Iretail.Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ISLAMABAD SERENA HOTEL;1;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;2
Israel Producten Centrum;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ISS Integrated Facility Services B.V.;;;1;;;2;;;;;1;;;;;;;;;;1;1;;;;1;;;2
IT Management Group;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ITP Advisory Services;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Ivo Broekhuizen Communicatie;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1;;2
J.E.A. de Jong / Proeflokaal Sijgje Voorburg;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Jaarbeurs Ontwikkeling B.V.;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;2
Jacomijne Prins - Onderzoek en Advies;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Jaffar Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Jagafer Consulting Services JCS;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Jahae Raymakers;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2
Jamie's Italian Den Haag;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Jatta;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Jet Aviation Netherlands B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Jet Centeno;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
JI Wildschut Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Jill Whittaker Communications;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Jitske Schols Photography;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Joan's Vitality Solutions;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Joli V.O.F.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Jstack B.V.;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;4
Julia Wolff Management;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Juris B.V.;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
K + V Interimmanagement B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Kaapse Brouwers B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Kai Liang Project- en Procesmanagement;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Kairos Trainingen;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Kamille Coaching en Loopbaanbegeleiding;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Kelly Maakt;;;;;1;;;;;;;;;;;;;;;;;1;;;;;1;;2
Kenan Services;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Kenniscentrum B.O.S.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Kessels & Smit, Publishers B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1
Kick Smeets Fotografie;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;1
Kick Sprangers, coach-trainer;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Kind- en jeugdpraktijk Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kindercorrespondent;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
KLEIA;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Klep Historisch Onderzoek;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
KLM;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2
KLM Health Services B.V.;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Kluwer Law International;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Kompaan;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Koninklijk Instituut van Ingenieurs;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;1
Koninklijk Instituut voor de Tropen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Koninklijke Luchtvaart Maatschappij N.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Koninklijke van der Most B.V.;;;;;;;;;;;;;;;2;;;;;;;1;;;;;;;2
Koolhaas Concepts B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Korporaal Installatietechniek B.V.;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;2
KPN Consulting B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
KSG Trainers & Consultants;;;;;3;;;;;;;;;;;;;;;;;1;;;;;;;3
L.J.A.D. Creyghton V.O.F.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
La Cuisine De Flore Bruxelles;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
La Vina B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Landgoed de Horst;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
LeadersInformed B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Leaseplan Nederland N.V.;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;4
Lebkov;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Lee Hecht Harrison Nederland B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Leer Arabisch;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Leeuwenburg;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Leeuwendaal Advies B.V.;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;2
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Leo Kwarten-Middle East Consultancy;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
LEON (Leon Evers Opleidingen Nederland);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
LEOPOLD HOTEL BRUSSELS EU;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Let's Cook Together;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
LexisNexis Benelux;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;4
Lexyca;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Libereaux B.V.;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;1
Liferay Benelux B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
LifeTune;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Listel Canada Limited Vancouver;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Little V Den Haag B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Live Escape B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Liza Luesink Holding B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Lloyd Hotel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Lodewieck;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Logeion;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
LSE  - THE LONDON SCHOOL OF ECONOMICS;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
LTP Holding B.V.;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;5
Lumenz;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lyreco Nederland B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
M. van Duijn advocatuur;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Maatschap van Son Calis;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Made in Italy;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Madurodam B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Magic Travel;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Magnet.me;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Mainpress B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;3;;;;3
Mama Essi;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
MaMa Kelly B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Manongs B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Manutan B.V.;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1
Marcus Evans (Holland) Limited;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Marion Matthijssen onderzoek & training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Marion.tc;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;2
Marksmen Holding B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
MarktOnderzoekAssociatie.nl;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Marleen Wagenaar;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
MARRIOTT HOTEL KIGALI;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Matpanözer Advocatuur;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Mauritshuis;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Maxilia Holding B.V.;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1
MDI Consultants;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;1
MdL-Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
MDM accountants B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Meetingselect B.V.;;;;;3;1;;;;;2;;;;;;;;;;;2;;;;3;;;4
Mercedes-Benz Leiden;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2
Mercure Den Haag Central;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2
Met Volle Teugen;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Metamorfose Vertalingen B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Mettler-Toledo B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Microsoft B.V.;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;5
Middin;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Mieke Posthumus;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
MILLENIUM HILTON NEW YORK ONE UN PLAZA;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;2
Millers;;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;1
Mind Productions Webdesign;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Mixit B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
MobileXpense SA;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;6
Mobility Mixx B.V.;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;6
Moduli Print B.V.;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1
MOS B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
MPS B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;2
Mr. M.C. Vermeul;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
