Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;1-Personele exploitatie
Buitenhof Brasserie;;;1;;;;;1
Buitenhuis Autoverhuur;;;1;;;;1;1
Buitenzorg Restaurant-Café;;;1;;;;;1
Bunnik Taxi;;;;;;;1;1
Bureau Bespreekbaar;;;;;1;;;1
Bureau Bewezen Effect;;;;;1;;;1
Bureau de Boer-Kruyt;;;;;1;;;1
Bureau de Mat Training & Opleiding;;;;;1;;;1
Bureau De Wit Dr;;;;;1;;;1
Bureau Jeugd en Media;;;;;1;;;1
Bureau Jeugdzorg Drenthe;;;;;1;;;1
Bureau Jeugdzorg Friesland;;;;3;;;;3
Bureau Jeugdzorg Noord-Brabant;;;;;1;;;1
Bureau Liedeweijde;;;;;1;;;1
Bureau Mouton;;;;;1;;;1
Bureau Schippers coaching en training;;;;;1;;;1
Bureau Sikkens;;;;;1;;;1
Bureau Sterk;;;;;1;;;1
Bureau streefkerk;;;1;;;;;1
Bureau V.Oplossingsgericht Werken;;;;;1;;;1
Bureau van Rinsum;;;;;;;1;1
Bureau van Tilburg;;;;;1;;;1
Bureau van Vliet Voor Media Advies;;;;1;;;;1
Burger Organization Development;;;;;2;;;2
Burgers Zoo;;;1;;;;;1
Burggolf;;;;;;;1;1
Burgt Banketbakkerij;;;1;;;;;1
Buro Acting;;;;;;;1;1
Buro Negen;;;1;;;;;1
Buro van Oranje;;;;;1;;;1
Buro Vermeer;;;2;;2;;;2
Buromac;;;1;;;;;1
Burotronic & Kiel;;;;;;;1;1
Business Contact;;;1;;;;;1
Business Flash;;;1;;;;;1
Business Graphics;;;;1;;;;1
Business Models;;;;;1;;;1
Busvervoer van Damme;;;;;;;1;1
BV Sport;;;1;;;;;1
BVA Beurtvaartadres (inc transfollow);;;;;;;1;1
BVO Training Center;;;;;2;;;2
BVPA Beroepsvereniging voor Public Affairs;;;1;;1;;;1
C&G Coaching & Guidance;;;;;1;;;1
C&O Travel Special Tours;;;;;;;1;1
C. Fernald;;;;;1;;;1
C. Pronk;;;1;;;;;1
C. Van Barneveld Bakkerij;;;1;;;;;1
C. van der Steen;;;;;;;1;1
C. van Zeeland;;;;1;;;;1
C.F. Korvinus;;;;;;;1;1
C.F.P.M. Gohres-van der Wolf;;;;;1;;;1
C.H.B. Winters;;;;;;;1;1
C.J. Petiet;;;;;1;;1;1
C.J. Ruissen;;;;;;;1;1
C.J. van Gestel;;;;;;;1;1
C.J.F. Kemperman Psychiater/Neuroloog;;;1;;;;1;1
C.J.M. Klaassen;;;;;;;1;1
C.J.M. Kramer-Pepping;;;;;;;1;1
C.M. van Deutekom;;;1;;;;;1
C.S.M. Morel;;;;;;;1;1
C.T.H.M. Salet;;;;;1;;1;1
Cadeau-specialist.nl;;;1;;;;;1
Caesar Groep;;;;;1;;;1
Cafe De Paris Bistro-Hotel-Restaurant;;;;;;;1;1
Cafe Du Midi;;;;;;;1;1
CAI Coördinerend Adviesbureau Informatie;;;;;1;;;1
Cai Opleidingen;;;;;3;;;3
CakesbySam;;;;;1;;;1
Campanile Hotel & Restaurant;;;;;1;;;1
Campie;;;1;;;;;1
Canatan, K.;;;;;;;1;1
Canon (incl. Océ Nederland);;;;;;;1;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;;1;;3;;;3
Capabel Onderwijs Groep;;;;;1;;;1
Caparis NV;;;1;;;;;1
Capelle Haarwerken;;;1;;;;;1
Capgemini;;;;;2;;;2
Capo Cucina;;;;;1;;;1
CAPRA Centraal Adviesbureau voor Publiek Recht en Administratie;;;1;;;;;1
Care for Women;;;1;;;;;1
Career Solution;;;1;;;;;1
Careful Competentie Opleidingen;;;;;1;;;1
Caris Bakkerij;;;1;;;;;1
Carlton Hotel;;;1;;1;;2;2
Carpa Bizz Gifts;;;1;;;;;1
Carpe Diem Catering;;1;;;;;;1
Carpe Diem Grand Café;;;1;;;;;1
Carrière Support;;;;;1;;;1
Carriere Switch;;;;;2;;;2
Catering Groep Nederland;;;1;;;;;1
Catering Manna;;;;;;;1;1
Cavari Clinics;;;1;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;1;;;;;1
CBZ Verzuimbezoeken B.V.;;1;;;;;;1
CCB-Groep;;;;;1;;;1
CCV Services;;;;;;;1;1
CDMS;;;;;1;;;1
Cees van der Horst Organisatie en Evenementen;;;;;1;;;1
Centipede Business Events;;;1;;;;;1
Centrale Rino;;;;;2;;;2
Centric (incl. Qualityhouse);;;;;1;;;1
Centric Financial Professionals (vh Finace);;;;;1;;;1
Centrum Marieke de Bruijn;;;;;1;;;1
Centrum Sifa Psychiatrische Praktijk;;;1;;;;;1
Centrum Voor Conflicthantering;;;;;2;;;2
Centrum voor Effectieve Intuitie;;;;;1;;;1
Centrum Voor Excellent Leiderschap;;;;;1;;;1
Centrum voor Keteninformatisering;;;;;1;;;1
Centrum voor Medezeggenschap B.V.;;;1;;;;;1
Centrum Voor Nascholing Amsterdam;;;;;1;;;1
Centrum voor Systemische Opstellingen;;;;;1;;;1
Cerno Development;;;1;;;;;1
CF Consulting;;;1;;;;;1
Chameleon Associates;;;;;1;;;1
Chance 2 Chance;;1;1;;1;;;1
Change Creators;;;;;1;;;1
Charelli Café-Restaurant;;;1;;1;;;1
Charme Hotel Exploitatie;;;;;;;1;1
Chemische Reiniging J. Raats;;;1;;;;;1
Chez Nous Croissanterie;;;;;;;1;1
Chill Creations;;;;;1;;;1
China Palace Restaurant;;;1;;;;;1
Chiropractie Noordwijk B.V.;;;1;;;;;1
Choco Loca;;;;;;1;;1
Choco Paradijs;;2;;;;;;2
Chocobreak;;;;;1;;;1
Chocolaterie De Lelie;;;1;;;;;1
Chocolaterie Mauritsz;;;1;;;;;1
Chorda Safety Solutions;;;;;1;;;1
Chris Peek;;;1;;1;;;1
Christelijke Hogeschool Ede;;;;;1;;;1
Christelijke Hogeschool Windesheim;;;;;2;;;2
Christian Chocolaterie Patisserie;;1;;;;;;1
Christien Kunz;;;;;1;;;1
Christoffel Restaurant Brasserie;;;1;;;;;1
Christus Triumfatorkerk;;;1;;;;;1
C-IC;;;;;1;;;1
Cic Company;;;;;2;;;2
Cintea;;;1;;1;;;1
Cio Platform Nederland;;;1;;1;;;2
Ciran;;;;;1;;;1
Cirkelopleidingsdiensten.nl;;;;;1;;;1
Cirkus B.V.;;;;;1;;;1
City Bril;;;1;;;;;1
City Lounge Apeldoorn B.V.;;;;;;;1;1
City Outdoor;;;;;1;;;1
CitySense (vh Jacobi Theater);;;2;;;;;2
CKCoaching;;;;;1;;;1
Claassen, Kornet & Voors Advocaten;;;1;;;;;1
Claire Tetteroo, Leefstijl Advies & Begeleiding;;;;;1;;;1
Clarke & Esser;;;1;;;;;1
Cleerdin & Hamer Advocaten;;;;;1;;1;1
Clem Baarn Holding;;;;;1;;;1
Cloos Eetcafé;;;1;;;;;1
Clou Marketing, Informatie en Research;;;;;1;;;1
Clown Snorre;;;;;1;;;1
CLS Computertraining;;;1;;1;;;1
CNV Vakmensen;;;1;;;;1;1
Coach To Coach;;;1;;;;;1
Coachboulevard;;;;;1;;;1
Coaching Praktijk- To Be;;;1;;;;;1
COBBS Industries;;;2;;;;;2
Cobra Support;;;;;1;;;1
Cocon (Bert Wever);;;;;3;;1;3
Coelenhage Restaurant;;;1;;;;;1
Collective Talent Company;;;;;1;;;1
College24;;;;;1;;;1
Collin bv;;;;;1;;;1
ColorCrew;;;1;;;;;1
Colori Restaurant;;;1;;;;;1
Colourview;;;;;;;1;1
Columba Communications;;;;;1;;;1
Com Connect;;;;;1;;1;1
Comby Sport;;;;;1;;;1
Comenius;;;;;1;;;1
Comfort Communicatie;;;1;;;;;1
Comigo Lunch & Restaurant;;;;;1;;;1
Comm BV;;;2;;2;;;2
Commanderie Catering;;;1;;;;1;1
Commies Training & Consultancy;;;;;1;;;1
Compacon & Partners;;;1;;;;;1
Compagnon;;2;1;2;;;1;3
Comparex (incl. PC-Ware);;;;;2;;1;2
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;1;;1;;1;1
Compu Act Opleidingen;;;;;1;;;1
Compu'Train;;;1;;3;;;3
Conclusion;;;;;3;;;3
Concorde Group;;;1;;;;;1
Concordia Theater & Zalen;;;1;;;;;1
Condor Arnhem ;;;1;;;;;1
Conducto;;;;;1;;;1
Conduite;;;;;1;;;1
Conferentiecentrum Kaap Doorn;;;1;;2;;1;2
Conferentiecentrum Morgenstern;;;;;1;;;1
Conferentiehotel Landgoed Rhederoord;;;1;;;;;1
Conferentiehotel Villa Heidebad;;;;;2;;;2
Conflict Analysis;;;;;;;1;1
Confront Coaching en Training;;;;;1;;;1
Congres4U;;;;;1;;;1
Congreshotel De Werelt;;;;;;;1;1
Congress Care Congressecretariaat;;;;;1;;;1
Congress Company;;;;;1;;;1
Connexxion;;;1;;;;3;4
Conquaestor Management Consulting;;;;;2;;;2
Conquet coaching & communicatie;;;;;1;;;1
Conrad Electronic;;;1;;;;;1
Consigliera;;;2;;;;;2
Consortium Beroepsonderwijs;;;2;;;;;2
Coöperatie ArcoVida U.A.;;;;;1;;;1
Cooperatie Nederlandse Associatie voor Praktijkexamens;;;;;1;;;1
Coöperatie ZANOB U.A.;;;1;;;;;1
Cope;;;1;;;;;1
Copgroep;;;;;3;;;3
Copla Opleiding & Training;;;;;1;;;1
Core 2.0 B.V.;;;;;1;;;1
Core Quality;;;1;;;;;1
Corinor;;;1;;1;;;1
Corion;;;;;1;;;1
Corner Stone Marketing & Sales;;;;;1;;;1
Corps 3 Op Twee;;;;;1;;;1
Corpus Experience Beheer;;1;;;1;;;1
Corval;;;;;1;;;1
Coscoroba B.V.;;;;;1;;;1
Cosmo Auto;;;1;;;;;1
COT Instituut Voor Veiligheids en Crisismanagement;;;1;;2;;;2
COTRAE Traffic & Automotive Education;;;;;1;;;1
Country Hotel De Broeierd;;;;;;;1;1
Countus accountants en adviseurs;;;1;;;;1;1
Cour Consult;;;1;;;;;1
Courage to Move;;;;;2;;1;2
CQT Zorg & Gezondheid (incl. Casemix, Q-Consult, Q-talent);;;;;1;;;1
Crazy Piano's Scheveningen;;;1;;;;;1
Creaim Gemnet;;;1;;1;;;1
Creations by Nature Krijn Verboom (Het Bloemenatelier);;;1;;;;;1
Creative Beards Media;;;2;;;;;2
Cristal Cleaning;;;1;;;;;1
Croan Consult;;;;;1;;;1
Croissanterie De Snor;;;1;;1;;1;1
Cross Media Nederland B.V.;;;1;1;;;;1
Crosstree;;;;;2;;;2
Crowne Plaza;;;;;;;1;1
CruxDigital BV;;;;;1;;;1
CSR Chronische Stress Reversal Centrum;;;;;1;;;1
CSU Schoonmaak (vh. City Service);;;2;;1;;;2
CT-AV De Audiovisuele Inrichters;;;1;;;;;1
CTG Group B.V.;;;;;1;;;1
Cuisine Royale;;;1;;;;1;1
Cuna International;;;1;;;;;1
Cunados Horeca BV;;;1;;;;;1
CupCakeChic;;;1;;;;;1
Cure & Care Development;;;2;;1;;;2
Curlingbaan Zoetermeer;;1;;;;;;1
CursOR;;;;;2;;;2
Customer Contact Company;;;;;2;;;2
Cva Informatica Opleidingen;;;;;2;;;2
Cvites;;;1;;;;;1
Cyberwash;;;1;;;;;1
D&B Mobility;;;;;;;1;1
D&D Daniels & Dekkers Schuldhulpverlening;;;1;;1;;;1
D&I Ondersteuning In Opleiding;;;;;2;;1;2
D. Breuker;;;;;;;1;1
D. Daniëls;;;;;;;1;1
D. de Wild;;;;;;;1;1
D. Post;;;;;;;1;1
D. Scheepstra Consults;;;1;;;;1;1
D. Sengezken;;;;;;;1;1
D. van Putten;;;;;;;1;1
D.A.T. Centre;;;;;1;;;1
D.C.M. Denneman;;;;;;;1;1
D.M. Voet;;;;;1;;;1
D.O.C. Stap;;;;;1;;;1
D.W.F. Verkade;;;;;;;1;1
Dafne Westerhof Projecten;;;;;1;;;1
Dagtochtencombinatie Delft;;1;;;;;;1
Daidalos Coaching & Advies;;;;;;;1;1
Daily Creations;;;;;1;;;1
Daisy Sanchez Coaching & Training;;;;;2;;;2
Dalcon Eurostat;;;1;;;;;1
Dalstra Reizen;;;;;1;;;1
Dam Bakkerij;;;1;;;;;1
Damen Incasso;;;1;;;;;1
Damste Advocaten;;;;;1;;;1
Danielle Braun;;;1;;;;;1
Daniëls en van Kruijsdijk;;;1;;1;;;1
DAS (Incasso, Rechtsbijstand);;;2;;1;;1;2
Dasmo Training & Advies;;;;;1;;;1
David Bernstein Forensic Consulting;;;;;1;;;1
DBC;;;;;1;;;1
DBR De Boer, Ritsema & van Eck;;;;;1;;;1
DC Logistic Services;;;;;;;1;1
De Apostelhoeve;;;1;;;;;1
De Arendshoeve Hotel;;;;;;;1;1
De Argumentenfabriek;;;;;1;;;1
De Artisjok Restaurant;;1;;;;;;1
De Associatie voor Organisatie Ontwikkeling;;;;;1;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;2;;5;;1;5
De Balonnen Koning;;;;;;1;;1
De Basiliek Restaurant;;;1;;;;1;1
De Beer;;;1;;;;;1
De Bel Psychologen;;;;;1;;;1
De Belgische Keizer Café-Restaurant;;;;;;;1;1
De Belterwiede;;;1;;;;;1
De Berekuil Choco-Kado;;;1;;;;;1
De Beuk Organisatie-Adviesbureau;;;;;1;;;1
De Beurs Eetcafe;;;1;;;;;1
De Bijenkorf;;;1;;;;;1
de Biomedicus;;;;;1;;;1
De Blauwe Lotus;;;1;;1;;;1
De Bloemenhoek;;;1;;;;;1
De Bloemenschuur;;;1;;;;;1
De Bloemenweide;;;1;;;;;1
De Bloemenwinkel;;;1;;;;;1
De Boer Bosch Sonmez Advocaten;;;;;;;1;1
De Boerinn;;1;;;;;;1
De Bonte Wever Assen (De Smelt);;;;;1;;;1
De Bourgondier Restaurant;;;;;;1;;1
De Brauw Blackstone Westbroek;;;2;;1;;1;2
De Brink Post-academische Juridische Opleidingen;;;;;1;;;1
De Bronzen Eik;;1;;;;;;1
De Clercq Advocaten Notarissen;;;1;;;;;1
De Coachhaven;;;1;;;;;1
De Communikater Teksten, website-optimalisatie, SEO & content management;;;;1;;;;1
De Context;;;;;1;;;1
De Deel Zaalverhuur en Catering;;;;;1;;;1
De Droomfabriek;;;;;4;;;4
De Druiventros;;;;;;1;;1
De Eeuwige Jachtvelden Café-Restaurant;;;;;;;1;1
De Eeuwige Lente Bloembinderij;;;1;;;;;1
De Fabrique;;;;;3;;;3
De Fleurist;;;1;;;;;1
De Forensische Zorgspecialisten;;;1;;1;;;1
De Franse Stap Culinair;;;1;;;;;1
De Galan Groep (incl. Opleidingen);;;4;;2;;;4
De Garde Restaurant;;;;;;;1;1
De Geinbrug;;;;;1;;;1
De Gelderse Poort;;;1;;;;;1
De Gele Vogel;;;;;1;;;1
De Gereghthof;;;1;;;;;1
De Gezonde Wereld;;1;;;;;;1
De Golle;;;;;1;;;1
De Gouden Molen Restaurant ;;;;;;;1;1
De Gouden Schaar / Palthe Stomerijen;;;1;;;;;1
De Graaf Muziek;;;1;;;;;1
De Groene Tas;;;1;;;;;1
De Grote Slok;;;1;;;;;1
De Grote Wielen Restaurant;;;;;1;;;1
De Haan Advocaten & Notarissen;;;1;;;;;1
De Haarlemse Bakker;;;1;;;;;1
De Haas Opticien;;1;;;;;;1
De Heeren van Driebergen B.V.;;;1;;;;;1
De Hertog-Jan Proeverij Cafe;;;2;;;;;2
De Hip;;;1;;;;;1
De Hofstad Taxicentrale;;;;;;;1;1
De Hooghcamer Restaurant ;;;1;;;;;1
De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum;;;1;;;;1;1
De IJskoning;;;1;;;;;1
De Jong & de Jong Bureau;;1;2;;;;;2
De Jong Creative Consultant;;;1;;;;;1
De Jong's bakkerij en ijsbedrijf;;;;;1;;;1
De Jufferen Lunsingh;;;;;;;1;1
De Kale Pater Restaurant;;;1;;;;;1
De Kargadoor Beheerstichting;;;1;;;;;1
De Kempenaer Advocaten;;1;;;;;;1
De keuken van Thijs;;;1;;;;;1
De Klavertuin;;;1;;;;;1
De Kleine Brouwketel;;;1;;;;;1
De Kleine Waarheid / Spoor bv;;;1;;;;;1
De Kogelvanger, Grand Cafe;;;;;1;;;1
De Kom Theater en Kunstcentrum;;;;;1;;;1
De Koning Mediation;;;;;2;;1;2
De Kookfabriek;;;1;;;;;1
De Kromme Rijn;;;;;1;;;1
De Kruishoeve;;;;;;;1;1
De Kruyter Banket;;;1;;;;;1
De Laat Trainingen en Consultancy;;;;;1;;;1
De Lachende Javaan;;;;;1;;;1
De Leerlooier;;;1;;;;;1
De Lekkerbek Bakkerij;;;1;;;;;1
De Limes Nieuw Organiseren;;;;;1;;;1
De Linde Coaching;;;1;;1;;;1
De Lof der Zotheid Restaurant Café Diner;;;;;1;;;1
De Menmoerhoeve;;;;;1;;;1
De Mug;;;;;1;;;1
De Muider Compagnie;;;1;;;;;1
De Nieuwe Kracht;;;;;1;;;1
De Nieuwe Liefde;;;;;2;;;2
De Nieuwe Pelgrim;;;2;;;;;2
De Nobel Bloembinderij (Duurzame Bloemisten);;;1;;;;;1
De Olde Fabriek;;;;;1;;;1
De Ooievaart - Ga Den Haag;;;1;;;;1;1
De Oostvaarders Café;;;1;;;;;1
De Oude Wacht Café;;;1;;;;;1
De Parel van Zuilen;;;;;1;;;1
De Passant;;;;;;;1;1
De Pauw Hotel-Grand Café;;;;;;;1;1
De Peer Horeca;;;1;;;;;1
De Peerdestal Restaurant;;;1;;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;1;;;;;1
De Perslijst;;;;;1;;;1
De Personeelzaak;;;;;1;;;1
De Pleysterplaats Atelier;;;1;;;;;1
De Postwagen Partycentrum;;;;;1;;;1
De Presentatie Groep;;;;;1;;;1
De Prins Taxi;;;1;;;;;1
De Prom Utrecht (incl. Vredenburg);;;1;;1;;;2
De Publieke Adviseur;;;;;2;;;2
De Pudding/Saroma [Puddingfabriek];;;;;1;;;1
de Pythia Uitgeverij;;;;;1;;;1
De Randsteden;;1;;;;;;1
De Redactie (Automotive Publishing);;;;;1;;;1
De Ridder;;;1;;;;;1
De Rode Loper Restaurant;;;1;;;;;1
De Roo en Sainthill;;;;;1;;;1
De Rooij & van Wijk advocaten;;;;;;;1;1
De Roos;;;1;;;;1;1
De Roos Bouquet Expressions;;;1;;;;;1
De Rotterdam;;;1;;;;1;1
De Saladetuin Catering;;;1;;;;;1
De Schaar Kledingreparaties;;;1;;;;;1
De Schelmse Brug Bowling & Partycentrum;;;1;;1;;;1
De Schildkamp;;;;;;;1;1
De Sinjoor;;;1;;;;;1
De Spitsheuvel Restaurant;;;1;;;;;1
De Staat Strandpaviljoen;;1;;;;;;1
De Steenbergerhoeve;;;2;;1;;;2
De Succesfabriek;;1;;;;;;1
De Taart van Tonny;;;;;1;;;1
De Tapperij Restaurant;;;1;;;;;1
De Telebuchfactuur;;;1;;;;;1
De Tijd Bedrijfskleding;;;1;;;;;1
De Tijdstroom Uitgeverij;;;;;1;;;1
De Tipmast Hotel;;;;;1;;;1
De Toekomstbus;;;;;1;;;1
De Toeter Cafe;;;1;;;;;1
De Tuinkabouterwinkel;;;;;1;;;1
De Tuinkamer;;;;;1;;;1
De Turfhoeke;;;;;1;;;1
De Vaan Communicatie;;;;;2;;;2
De Veenpoort;;;;;1;;;1
De Veranda Restaurant Cafe ;;;1;;;;;1
De Vereniging Corporate Litigation;;;1;;;;;1
De Vereniging De Jonge Balie te Arnhem;;;;;1;;;1
De verkeersacademie;;;;;1;;;1
De Vestibule Cafe Restaurant ;;;1;;;;;1
De Vier Jaargetijden Bloemsierkunst;;1;;;;;;1
De Vier Kolommen Restaurant;;;1;;;;;1
De Vigilante Hotel;;;1;;;;;1
De Vinkenwaard;;1;;;1;;;1
De Vliegende Indo;;;;;1;;;1
De Voort Hermes De Bont / Advocaten;;;;;2;;;2
De Vreugd Consultancy;;;;;1;;;1
De Vrolijke Keizer;;;;;;;1;1
De Waalehof;;;;;;;1;1
De Waard Coaching en Begeleiding;;;;;1;;;1
De Walrus Restaurant;;;;;1;;;1
De Walvis, tekst, training en advies;;;;;1;;;1
De Werkstudio;;;;;1;;;1
De Werktuin;;;2;;2;;;2
De Willemskade;;;1;;;;;1
De Winter Information Solutions;;;;;1;;;1
De Wits Café-Restaurant;;;1;;;;;1
De Witte Berken Hotel-Restaurant;;;;;1;;;1
De Witte Raaf Hotel-Restaurant;;;;;;;1;1
De Witte Vosch;;;;;1;;;1
De Wittenburg;;;;;1;;;1
De Wolfsberg Hotel-Restaurant;;;1;;;;;1
De Zalm Restaurant Cafe;;;;;;;1;1
De Zandloper;;;;;1;;;1
De Zeeuwse Stromen - Hotel/Congresc;;;;;1;;;1
De Zoete Inval;;;1;;;;;1
De Zwaantjes;;;1;;;;;1
DEA Events;;1;;;;;;1
Debat Nl;;;;;1;;;1
Debatrix;;;;;2;;;2
December Comité;;1;;;;;;1
Dechesne & Boertje Business Events;;;;;2;;;2
Dechesne Personal Coaching;;;;;1;;;1
Decofiti;;;;;1;;;1
Decos Software;;;1;;1;;;1
Defacto Software;;;;;1;;;1
Defra Taxi;;;;;;;1;1
Degabo B.V.;;;1;;;;;1
Dehora Consultancy Group;;;;;1;;;1
DeHumorGroep;;;1;;;;;1
Deinum's Catering;;;1;;;;;1
Dekker Advocatenkantoor;;;;;;;1;1
Dekker Zoetermeer;;;;;;;1;1
Deksels Belegde Broodjes;;;;;;;1;1
Deksels Tapasrestaurant;;;1;;;;;1
Dekxels Restaurant;;;1;;;;;1
Delescen & Scheers Advocaten;;;2;;;;;2
deLex Uitgeverij;;;;;1;;;1
Delibera Moreel Beraad Training;;;;;1;;;1
Delishop;;;;;1;;1;1
Delissen Martens Advocaten;;;2;;;;;2
Deloitte Consulting;;;3;4;1;;1;4
Delphi;;;1;;;;;1
Delphi Sleutelbeheersystemen;;;1;;;;;1
Delt (Euroscript);;;;;1;;;1
Delta International;;;3;;;;;3
Delta Sportcentrum BV;;;1;;;;;1
Demarrage;;;;;1;;;1
Den Bosch Evenementen;;1;;;;;;1
Den Haag Marketing & Events;;;4;;;;;4
Den Hartog & van Heijst;;;3;;1;;;3
Denk Producties;;;;;2;;;2
Dennis Cooking Place;;;;;1;;;1
Dennis de Jong Bakkerij ;;;1;;;;;1
Design Academy Eindhoven;;;2;;;;;2
Designed & Delivered;;;;;;;1;1
Designmix;;;;;1;;;1
Deskbookers;;;;;1;;;1
Dessaur Trainingen;;;1;;1;;;1
Destil;;;1;;;;;1
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;;;;1;;;1
Devoteam;;;;;1;;;1
Dewerking;;;1;;;;;1
DFG De Facilitators Groep;;;;;1;;;1
DFI Dutch Fashion Incasso;;;;;;;1;1
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);;;;;;;1;1
d'Hooghe Siegman B.V.;;;;;1;;;1
Diaconaal centrum voor gevangenispastoraat;;;;2;;;;2
Dialexis Advies;;;;;1;;;1
Dialogis Opleidingen en Management-Advies;;;;;1;;;1
Dialogue;;;1;;2;;;2
Dialoogtrainers;;;;;1;;;1
Diamantenschaar;;;1;;;;;1
Diamantvlinder;;;;;1;;;1
DiaVentie Management Consulting;;;1;;2;;;2
Diergaarde Blijdorp;;;;;1;;;1
Diets Dijkstra;;;;;;;1;1
Dieuwertje Danst;;;;;1;;;1
Digital Action;;;;;1;;;1
Dijk training & coaching;;;;;1;;;1
Dimence (GGZ);;;;;1;;;1
Diner Mobile - Beijk Catering;;;1;;;;;1
Dino4;;;;;1;;;1
Dion Ooijen Fotografie;;;;1;;;;1
Dirksen Bedrijfsopleidingen;;;;;1;;;1
Dirksen Schoonmaakartikelen en Bedrijfskleding;;;5;;;;;5
Disceru;;;;;1;;;1
Disconsult (incl. Dior Opleidingen);;;;;2;;;2
Discountoffice.nl;;;1;;;;;1
DISKO computer care;;;;1;;;;1
Diversey;;;1;;1;;;1
Diversion Holding;;;2;;1;;;2
Dizain-Sync B.V.;;;;;1;;;1
Djambo kidsplay;;1;1;;;;;1
DNV Det Norske Veritas;;;1;;;;;1
Docdata Payments;;;;;2;;;2
Docendo (incl. Stivu);;;;;1;;;1
DocWolves B.V.;;;1;;;;;1
DoeNederland.nl;;1;;;1;;;1
Doepark Nooterhof;;;;;1;;;1
Does training & advies;;;;;1;;;1
Doesburg Autoverhuur;;;;;;;1;1
DogVision;;;;;1;;;1
Dolf van der Wal;;;;;;;1;1
Doller;;;;;1;;;1
Dom Hotel;;;1;;;;;1
Domburg Sportprijzen Holland;;;;;1;;;1
Dominicaans Activiteitencentrum;;;1;;;;;1
Domino's Pizza;;;1;;;;1;1
Domstad Hogeschool, Cursus- en Vergadercentrum;;;1;;1;;;1
Donuts & Bagels;;;;;;;1;1
Dorgelo Banketbakkerij;;;1;;;;;1
Dorgelo Presentation;;;;;1;;;1
Douglas Broers J.R.;;;;;;;1;1
Douwe Egberts;;;;;1;;;1
Down Under Horeca;;;1;;;;;1
DPI Animationhouse;;;;;1;;;1
D-R Events;;;1;;;;;1
Drager Safety & Medical;;;2;;1;;;2
Drakenburg Conferentiecentrum;;;;;;;1;1
Dreamfactory;;;;;1;;;1
D-reizen Vakantiewinkels;;;;;;;1;1
Drenth Advocatenkantoor;;;;;;;1;1
Drieslag Bakkerij;;;;;1;;;1
Driessen;;;3;4;;;1;4
Driessen Hrm_Payroll;;;2;4;1;;1;4
Driestar Hogeschool;;;;;1;;;1
Drijver Bloemsierkunst;;;1;;;;;1
Drive-in show 4 you;;;1;;;;;1
Dromers Die Doen;;;;;1;;;1
Dros & Cohen;;;;;1;;;1
Drs Jacob van Egmond Coaching & Training;;;;;1;;;1
Drs. A. Sprey Praktijk voor opleiding, therapie en onderzoek;;;;;;;1;1
Drs. C.H. van Eijsden;;;;;1;;;1
Drs. Henk Visser;;;;;1;;;1
Drs. Jm Oudejans Psycho;;;;;;;1;1
Drs. M. van Ekelenburg Organisatie-Adviseur;;;;;1;;;1
Drukkerij Het Snorretje;;;1;;;;;1
Drukkerij Loor B.V.;;;1;;;;;1
drum4fun;;;;;1;;;1
Drums And Barrels;;;1;;;;;1
Dt & L;;;;;;;2;2
DTC De Tombe Consultancy;;;2;;1;;1;2
DTS Veiligheidsopleidingen;;;;;1;;;1
Dudok (Horeca Exploitatie WWZ IV);;1;1;;;;;1
Duifhuizen;;1;;;;;;1
Duin & Kruidberg Landgoed;;;;;;;1;1
Duinzigt Woonservice B.V.;;;1;;;;;1
Dukino Business Events;;1;;;;;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;;;;;;1;1
Dunya Multiculturele Catering;;;1;;;;;1
Dusecon;;;;;2;;;2
Dutch Association for Migration;;;;;1;;;1
Dutch Aviation Group;;;;;1;;;1
Dutch Cell Dogs;;;;;2;;;2
Dutch Leisure Concepts;;;;;1;;;1
Dutch Magic;;;;;1;;;1
Dyna Vision;;;;;2;;;2
Dynamisch Bureau;;;;;1;;;1
Dynamo Establishment;;;;;1;;;1
E W M Meulemans;;;;;;;1;1
E&R Opleidingen;;;;;1;;;1
E&S Consultancy B.V.;;;1;;;;;1
E. de Vrij / W.J. Pool;;;;;;;1;1
E. Eeftink  R.A.;;;;;;;1;1
E. Konigsberger/Coaching in Change;;;1;;1;;;1
E. van Waaijen;;;;;;;1;1
E. van Zadelhoff;;;;;;;1;1
E.A. Struik;;;;;;;1;1
E.B.M. Middelburg BV;;;;;;;1;1
E.H. Ameling;;;1;;;;;1
