;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
STICHTING EUROPA DECENTRAAL KENNISCENTRUM EUROPEES RECHT EN;2;;;;;;;2
Stichting Farmaceutische Kengetallen;;;6;;;;;6
Stichting Fontys;2;;;;;;;2
Stichting Garage2020 - Twente;1;;;;;;;1
Stichting Hanzehogeschool Groningen;1;;;;;;;1
Stichting Hogeschool Leiden;1;;;;;;;1
Stichting Hogeschool van Arnhem en Nijmegen;;;1;;;;;1
Stichting Humanitas;;;2;;;;;2
Stichting IJsselheem Holding;5;;;;;;;5
Stichting Informele Zorg Twente;;;1;;;;;1
Stichting Intensive Care Onderzoek Friesland;1;;;;;;;1
Stichting JadeMO;;;1;;;;;1
Stichting Joods Historisch Museum;;;1;;;;;1
Stichting Kadera aanpak huiselijk geweld;;;2;;;;;2
Stichting Kenniscentrum Sport en Bewegen;2;;2;;;;;2
Stichting Kijksluiter;;;6;;;;;6
Stichting Kind en Ziekenhuis;1;;;;;;;1
Stichting Klimaatverbond Nederland;2;;;;;;;2
Stichting Koraal, Bestuurscentrum;5;;;;;;;5
Stichting Kwadrantgroep;4;;;;;;;4
Stichting Kwaliteitsregister Jeugd;1;;;;;;;1
Stichting Lareb;;;2;;;;;2
Stichting Leer Zelf Online;2;;;;;;;2
Stichting LOC, Zeggenschap in zorg;4;;;;;;;4
Stichting Maatschappelijk Welzijn Rossum;6;;;;;;;6
Stichting Mantelzorgelijk;;;2;;;;;2
Stichting Mensenbieb Noord-Holland;1;;;;;;;1
Stichting MOAI;;;2;;;;;2
Stichting Moviera;1;;;;;;;1
Stichting MOVISIE;4;;3;;;;;4
Stichting MVO Nederland;2;;;;;;;2
Stichting Nationaal ICT Instituut in de Zorg;3;;;;;;;3
Stichting Nederland Kennisland;6;;1;;;;;6
Stichting Nederlands Centrum Jeugdgezondheid;2;;;;;;;2
Stichting Nederlands Congres Volksgezondheid;2;;;;;;;2
Stichting Netwerk VAN-Vrouwenverdrag;;;1;;;;;1
Stichting Omring;6;;;;;;;6
Stichting Oranjehotel;6;;;;;;;6
Stichting Out of the Box TV;1;;;;;;;1
Stichting PGOsupport;5;;7;;;;;7
Stichting Pleio;2;;;;;;;2
Stichting portaal voor patiÃ«ntveiligheid/CMR;;;5;;;;;5
Stichting Raad Op Maat;2;;;;;;;2
Stichting Reclame Code;;;;;1;;;1
Stichting Reinoud de Tweede;;;2;;;;;2
Stichting RISE;1;;;;;;;1
Stichting Sensire;6;;;;;;;6
Stichting SEO Economisch Onderzoek;4;;;;;;;4
Stichting Siriz;3;;;;;;;3
Stichting Specifieke Jeugd Projecten;1;;;;;;;1
Stichting Stimular;2;;;;;;;2
Stichting Stop Kindermishandeling;1;;;;;;;1
Stichting The Model's Health Pledge;;;2;;;;;2
Stichting Theater Dakota;1;;;;;;;1
Stichting Theatergroep PlayBack;2;;;;;;;2
Stichting Vanuit autisme bekeken;2;;;;;;;2
Stichting VeiligheidNL;3;;;;;;;3
Stichting Vilans;2;;1;;;2;;3
Stichting Vitavalley;3;;;;;;;3
Stichting W.J.H. Mulier Inst., Sportonderzoek;;;1;;;;;1
Stichting Waarborgfonds voor de Zorgsector;;;5;;;;;5
Stichting Welzijn op Recept;3;;;;;;;3
Stichting Werken op Maat;;2;;;;;;2
Stichting Wie beter eet wordt sneller beter;2;;;;;;;2
Stichting Z-CERT;1;;;;;;;1
Stichting Zijweg;1;;;;;;;1
Stichting Zorgbelang Inclusief;2;;;;;;;2
Stijns Consultancy;;;2;;;;;2
Stop! Ander Woord;2;;;;;;;2
StoredEnergy B.V.;3;;;;;;;3
Strak;2;;;;;;;2
Strategiepraktijk;1;;;;;;;1
Studio 38C;1;;;;;;;1
Studio Geert Gratama;1;;;;;;;1
StuiterGras B.V.;2;;;;;;;2
Tabula Rasa B.V.;2;;;;;;;2
TeamAcademy B.V.;;;;;;2;;2
Techniek in Tuinbouw B.V.;3;;;;;;;3
Tekstraket;1;;;;;;;1
Ten Holter Noordam advocaten;;;1;;;;;1
Tertium MNM;1;;;;;;;1
The Commons Den Haag B.V.;;;1;;;;;1
THE COMMONWEALTH FUND;2;;;;;;;2
The Global Antibiotic Research and Development Partnership Foundation;5;;;;;;;5
The Oddshop B.V.;2;;;;;;;2
Theater A La Carte;1;;;;;;;1
Thesis BV;;;;;;2;;2
Things To Make And Do B.V.;;;2;;;;;2
Thuissignaal B.V.;1;;;;;;;1
Tintelingen B.V.;;;1;;;;;1
Tinybots B.V.;;;1;;;;;1
Tjongerschans;4;;;;;;;4
Tolq Communicatiediensten B.V.;;;1;;;;;1
Tom van Dun InfoComics;1;;;;;;;1
Top Class Investment B.V.;;;2;;;;;2
TOPdesk Nederland B.V.;1;;;;;1;;2
Topgeschenken Nederland B.V.;1;;1;;;;;1
Totziens Promotions;1;;;;;;;1
Transformation Technologies B.V.;2;;;;;;;2
Transvision B.V.;;;11;;;;;11
Triskelion B.V.;;;2;;;;;2
TrueTalk B.V.;2;;;;;;;2
Two Kings B.V.;;;;;;1;;1
UNITED NATIONS OFFICE ON DRUGS AND CRIME;;;;;;2;;2
USG HR Professionals;;;;;;1;;1
V.O.F. Bosman & Vos;;;2;;;;;2
Valerie Kuypers Fotografie;1;;;;;;;1
Van de Bunt, Advis. v. Org. en Beleid B.V.;;1;;;;;;1
Van de Vijfeijke Management B.V.;;;2;;;;;2
Van Dorenmalen B.V.;2;;;;;;;2
Van Dusseldorp, Delvaux & Ket;;;2;;;;;2
Van Elswijk ISM;1;;;;;;;1
Van Oosterhout B.V.;2;;;;;;;2
Van Vugt Meducad;;;1;;;;;1
Vanberkel Professionals B.V.;;;3;;;;4;4
Variva Opleidingen B.V.;1;;;;;;;1
VDS huisartsenzorg;;;1;;;;;1
Veiligwijs;1;;;;;;;1
Vektis Beheer B.V.;5;;2;;;;;5
Vektis C.V.;4;;;;;;;4
Ventiv;1;;;;;;;1
Ver. Landel. Sam.werk.verband Act. Bewoners;2;;;;;;;2
Verdonck, Klooster & Associates B.V.;;;;;;2;;2
Vereenigde Octrooibureaux N.V.;1;;;;;;;1
Vereniging Arts en Voeding;2;;;;;;;2
Vereniging LFB;2;;1;;;;;2
Vereniging Orthopedagogische Behandelcentra;2;;;;;;;2
Vereniging van Nederlandse Gemeenten;;;2;;;;;2
Vereniging voor Overheidsmanagement;2;;;;;;;2
Verenso;2;;;;;;;2
Vermaat Leisure B.V.;2;;;;;;;2
Vertex Architectuur en Stedenbouw;2;;;;;;;2
VGVZ (Vereniging van Geestelijk VerZorgers);2;;;;;;;2
Vierstroom Zorg Thuis B.V.;4;;;;;;;4
Vital Innovators B.V.;2;;;;;;;2
Vocal Company Muziekproducties;1;;;;;;;1
VOC-Van Oortmerssen Consultancy;;;1;;;;;1
Vorm Vijf Ontwerpteam B.V.;2;;;;;;;2
Vulto Pharma Education & Consultancy (VuPEC);;;1;;;;;1
WareKennis;;;1;;;;;1
WebHare B.V.;2;;;;;;;2
Webhelp Nederland BV (SNT Nederland BV);;;;;;7;;7
WeHelpen Gericht B.V.;2;;;;;;;2
Willem van Rooij Concept & Vormgeving;1;;;;;;;1
Worcflow;1;;;;;;;1
Worldmeetings.com B.V.;;;1;;;;;1
Xerox (Nederland) B.V.;1;;;;;;;1
XpertiseZorg B.V.;2;;3;;;;;4
Yalp Lappset Holding B.V.;2;;;;;;;2
Young Works B.V.;;;;;;1;;1
Zadoks;2;;;;;;;2
ZCENE MovingMediaCompany B.V.;1;;;;;;;1
Zet Solutions B.V.;;;;;;1;;1
Zhijn Coöperatie UA;3;;;;;;;3
Ziekenhuis Rijnstate, Loc. Arnhem Hoofdvest.;1;;;;;;;1
Zinia B.V.;2;;;;;;;2
Zorg & Werk Academy B.V.;1;;;;;;;1
Zorgcampus Rotterdam B.V.;1;;;;;;;1
ZorgTTP;4;;;;;;;4
Zorgverzekeraars Nederland;;;;;;6;;6
ZorgVuldig Advies;;;4;;;;;4
Zorgweb B.V.;2;;;;;;;2
Zouka Media;3;;;;;;;3
Zunderdorp B.V.;2;;;;;;;2
Eindtotaal;10;4;11;2;6;8;5;12
