Leveranciers;4000 Diensten en middelen overig;4110 Consumptieve diensten;4120 Risicobeheersen;4130 Schoonmaak;4210 Post-, koeriers- en transportdiensten;4310 Documentmanagement;4410 Afvalzorgmanagement;4510 Inrichting van gebouwen;4610 Benodigdheden en hulpmiddelen;4710 Bankdiensten;4-Diensten en middelen
Manutan (vh Overtoom International);;1;;1;;;;1;1;;2
Maritech Special;;;;;;;;;3;;3
Martens Van Wezel Kartonnages;;;;;;;;;1;;1
Martijn de Kleuver Wijnen;;;;;;;;;1;;1
Matsuru;;;;;;;;;1;;1
Mattijsen Audio Electronics;;;;;;;;;1;;1
MAX AARTS J. BV;;;;;;;;;1;;1
Maxilia (incl. Greengiving.nl);;;;;;;;;1;;1
MB Safety;;;;;;;;1;;;1
McArt Creative Signmaker;;;;;;;;;1;;1
Medische Benodigdheden;;;;;;;;;1;;1
Meetinglinq;;;;;;;;;1;;1
Mennens;;;;;;;;;1;;1
Mensys (incl. Computercollectief);;;;;;;;;2;;2
Merin (vh Uni-Invest);;;;;;;;;;1;1
Merlin Security Services;;;;;;;;1;1;;1
Mettler-Toledo;;;;;;;;;1;;1
MfN Mediatorsfederatie Nederland (vh NMI Nederlands Mediation Instituut);;;;;;;;;1;;1
Micpoint;;;;;;;;;1;;1
Microsens;;;;;;1;;;2;;2
Miele;;;;;;;;;1;;1
Mind Academy;;;;;;;;;;1;1
Minou de Leeuw;;;;;;;;;1;;1
Misco Nederland;;;;;;;;;1;;1
Mizu;;1;;;;;;;;;1
MMC International;;;;;;;;;2;;2
MMS- Magneetservice;;;;;;;;;1;;1
Moduli Print;;;;;;7;;;;;7
Mondial Stamps;;;;;;;;1;;;1
Mousset;;1;;;;;;;;;1
mr. BROOS KEES;;;;;;;;;2;;2
Mr. D. Th. G. Thuijs;;;;;;;;;1;;1
Multi Vlaai;;1;;;;;;;;;1
Multicopy (incl. Andre Cossee);;;;;;;;;2;;2
Mwm2;;;;;;;;;2;;2
My Productions;;;;;;;;;1;;1
Mybadge;;;;;;;;;1;;1
Mycom Nederland;;;;;;;;;1;;1
Navacqs (incl. Verzegelingenshop.nl);;;;;;;1;;;;1
NCF-OOST SOUBURG;;;;;;;;;3;;3
Nedco Display;;;;;;;;;1;;1
Neontime;;;;;;;;;1;;1
Neopost (incl. Neopost Finance);;;;;4;;;;;;4
Nestle Waters Direct (incl. Nutrition, Aqua System);;1;;;;;;;;;1
Neuland;;;;;;;;;1;;1
New Made Productions;;;;;;;;;2;;2
Nic Best Deal;;;;;;;;;1;;1
Nic. Oud;;;;;;;;;4;;4
Nieaf-Smitt;;;;;;;;;1;;1
Nielz Café-Restaurant;;1;;;;;;;;;1
Nienoord Landgoed;;;;;;;;;1;;1
Nieuwspoort;;;;;;;;;1;;1
Nifa Instrumenten;;;;;;;;;1;;1
Nimo Project Management Instituut;;;;;;;;;;1;1
NIP Nederlands Instituut van Psychologen;;;;;;;;;1;1;1
NL Confidential (incl. Meld Misdaad Anoniem, Stg M);;;;;;;;;4;;4
Nluug Buro;;;;;;;;;1;;1
Noldus Information Technology;;;;;;;;;2;;2
Nomag;;;;;;;;;1;;1
Noorderpoort College;;;;;;;;;;1;1
NOREA Nederlandse Orde van Register EDP-Auditors;;;;;;;;;1;;1
NoRisk KeyManagement (Traka);;;1;;;;;;;;1
NS - Spoorwegen Nederlandse;;;;;2;;;;;;2
NThesis BV;;;;;;;;;2;;2
Office Depot (incl. Viking Direct, vh Guilbert);;;;;;;;;1;;1
OFFICE-CARE;;;;;;;;;1;;1
Olivier Belgisch Bier Café;;1;;1;;;;;;;1
Omegam;;;;;1;;;;;;1
Onder de Toren Catering;;1;;;;;;;;;1
ONDERNEMINGSVERZEKERING ORAM;;;;;;;;;1;1;1
Onmicard;;;1;;;;;;;;1
OOA Orde van Organisatiekundigen en Adviseurs;;;;;;;;;1;;1
Op 't Hof Nederhemert B.V.;;;;;;;;1;;;1
Opal (incl. Direct Identification);;;;;;;;1;;;1
Opportunity in Bedrijf;;;;;;;;;2;;2
OrangeValley Consultancy;;;;;;;;;;1;1
Osage Communicatie en Ontwerp;;;;;;;;;3;;3
Otten's Fax Catering Service;;1;;;;;;;;;1
Oudaen Stadskasteel;;1;;;;;;;;;1
Ouendag & Silberman Experts Taxateurs;;;;;;;;1;1;;1
Outback Explorers;;;;;;;;;1;;1
Outdoor Toys Krimpen;;;;;;;;;1;;1
P.I.M. Tekst & Uitleg;;;;;;;;;1;;1
Pactechno;;;;;;;;;1;;1
PAO PostAcademisch Onderwijs;;;;;;;;;1;;1
Paperlinx (v.h. Buhrmannubbens, incl. Living Office Paper Services);;;;;;;;;6;;6
Papro;;;;;;;;;1;;1
Party Centrum Flora;;1;;;;;;;;;1
Paviljoen Sterrebos;;3;;;;;;;;;3
Pcs Europe;;;;1;;;;;;;1
Peeman Dranken;;1;;;;;;;;;1
Pelican Rouge (vh Autobar Holland, Cafe Bar);;1;;;;;;;;;1
PeopleXS Holding bV;;;;;;;;;1;;1
PEP Den Haag;;;;;;;;;;1;1
Petit Pain Lunchverzorging;;1;;;;;;;;;1
PFB ROOSENDAAL;;1;;;;;;;;;1
Phenster;;;;;;;;;1;;1
Phone Gigant.nl;;;;;;;;;1;;1
PINK WEB APPLICATIONS;;;;;;;;;2;1;2
Pino Productions;;;;;;;;;1;;1
pitchparrot;;;;;;;;;1;;1
Pizzaria da Nando;;1;;;;;;;;;1
Planmen Customer Care;;;;;;;;;2;;2
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;;;;;;;;1;;1
Polman's Café-Restaurant;;1;;;;;;;;;1
POSG Professionals, P&O Services Professionals, P&O Mobiliteit;;;;;;;;;3;;3
Poster mania.nl;;;;;;;;;1;;1
Posthuma Consulting;;;;;;;;;;1;1
PostNL (incl. TNT Post);;;;;12;;;;;;12
PPD Plagen Preventie Dienst;;;;2;;;;;;;2
PQR;;;;;;;;;;4;4
Praktijk van Golde bedrijfsarts;;;;;;;;;1;;1
Presswood;;;;;;;1;;;;1
Prins Glas;;;;;;;;;1;;1
Pro Memorie;;;;;;;;;1;;1
Procomm Partners;;;;;;;;;1;;1
Promohouse;;;;;;;;;1;;1
Providence;;;;;;;;;1;;1
Q-Matic Holland;;;;;;;;;1;;1
QO Storm (Maria Café Utrecht);;;;;;;;;1;;1
Qompas;;;;;;;;;1;;1
Quadia;;;;;;;;;2;;2
Quarto;;;;;;;;;1;;1
Queen of cupcakes;;1;;;;;;;;;1
R&A;;;;;;;;;1;;1
RaarBezoek Entertainment;;;;;;;;;1;;1
Radder Horeca Totaal;;1;;;;;;;;;1
Rae Benelux;;;;;;;;;2;;2
RAI Amsterdam;;;;;;;;;1;;1
Ras Design;;;;;;;;;2;;2
Re-Act Wim Grimberg;;;1;;;;;;;;1
Reaktie Safety Shops;;;;;;;;;2;;2
Recto Lennox Relatiegeschenken;;;;;;;;;1;;1
Redi Storage Systems;;;;;;;;;1;;1
Regardz (incl. Iassociate);;;;;;;;;;1;1
Reisswolf;;;;;;;4;;;;4
Rendement;;;;;;;;;1;;1
Rendezvous;;1;;;;;;;;;1
Rent a Car;;;;;;;;;1;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;;6;;;;;2;;6
Reprorecht;;;;;;4;;;;;4
Retera Studio's;;;;;;;;;1;;1
Rever BV;;;;;;;;5;;;5
RFK;;;;;;;;;1;;1
Ricoh Groep (incl. Nashuatec, NRG);;;;;;;;;4;;4
Rietland;;;;;;;;;1;;1
Rijkhoff M.;;1;;;;;;;;;1
Risk Financiele Studievereniging;;;;;;;;;1;;1
Risseuw Bakkerij;;1;;;;;;;;;1
RIWAX NEDERLAND BV;;;;;;;;;1;;1
RN Project;;;;;;;;6;;;6
Robbers & van den Hoogen;;;;;;;;;1;;1
Robetex-Perfra Rotterdam;;;;;;;;;2;;2
Rohde & Grahl (incl. Working Well);;;;;;;;8;;;8
Rontgen Cafe;;;;;;;;;1;;1
Ropeni (incl. Schlemmer);;1;;;;;;;;;1
Rotterdam Airport;;;1;;;;;;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;;;;;1;;;1;1;;1
S. Post Transport B.V.;;;;;1;;;;;;1
S. ter Burg;;;;;;;;;1;;1
SafetyNet;;;;;;1;;;;;1
Sam International;;;;;;;;;1;;1
Samsam;;1;;;;;;;;;1
Sandd;;;;;9;;;;;;9
SAV Walker Hagou;;;;;;;;;1;;1
Schaefer Shop;;;;;;;;;1;;1
Scherpenberg;;;;;;;;;2;;2
Schiphorst Transport- en Opslag;;;;;;;;1;;;1
Schipper Metaal;;;;;;;;1;;;1
Scholten Awater & Partners;;;;;;;;;9;1;9
Schotpoort Traffic Center;;;;;7;;;;;;7
Schurgers Sleutelservice;;;;;;;;;1;;1
SDU - Service Centrum Uitgevers;;;;;;1;;;;;1
Secupro;;;;;;;;;1;;1
Secure Logistics;;;1;;;;;;;;1
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;;6;;;;;;;;6
Securitech;;;;;;;;;3;;3
Segway Nederland;;;;;;;;;1;;1
Selecta;;4;;;;;;;;;4
Sentron Europe;;;;;;;;;1;;1
Sepay BV;;;;;;;;;;2;2
Sequoia Business;;;;;;;;;;1;1
Shimadzu Benelux;;;;;;;;;1;;1
Show Rental;;;;;;;;;1;;1
Siemens Nederland;;;1;;1;;;;;1;1
Sita;;;;;1;;6;;;;6
Sjako Ten Haken;;;;;;;;;2;;2
Sjapó Grand Café;;1;;;;;;;;;1
SkipsMaritiem Marina Stavoren;;;;;1;;;;;;1
Sky-Lite Holland;;;;;;;;;1;;1
Slenders Kantoorvakhandel;;;;;;;;;1;;1
Sleutelservice.com;;;;;;;;;1;;1
SMC - Sport Marketing Consultancy;;;;;;;;;1;;1
SMC Security Monitoring Centre;;;2;;;;;;;;2
Snel Braber;;;;;;;;;1;;1
Sodexo;;1;;;;;;;;;1
Soffos Onderzoeksbureau;;;;;;;;;1;;1
Solcon Internetdiensten;;;;;;;;;1;;1
Solvint Supply Management BV;;;;;;;;;;1;1
SOONS INTERIEURBOUW BV;;;;;;;;;1;;1
Spaces Rode Olifant;;;;;;;;;1;;1
Spark Participatie;;;;;;;;;;1;1
Sparkle;;;;;;;;;1;;1
Special Medics;;;;;;;;;1;;1
Specialist Jagers - Brood, Banket, Bonbons;;1;;;;;;;;;1
SPG (incl. Strapex);;;;;;;;;1;;1
Spirit in Bedrijf;;;;;;;;;1;;1
Sports Design Textieldrukkers;;;;;;;;;1;;1
Stadhouders Advocaten;;;;;;;;;1;;1
Stairway To Heaven;;1;;;;;;;1;;1
Stap Educatiepartner;;;;;;;;;;1;1
Staples (incl. Advantage, Corporate Express);;;;;;;;;7;;7
Stempelfabriek De Maas B.V.;;;;;;;;;1;;1
Stg LOF Congres Maastricht;;;;;;;;;1;;1
Stg Perspectivity;;;;;;;;;1;;1
STICHTING KIM SPIERENBURG;;;;;;;;;1;;1
Stichting Pluryn;;1;;;;;;;;;1
STICHTING PRESENTIE;;;;;;;;;1;;1
Stichting Recruiters United;;;;;;;;;1;;1
Stichting Samen Werken;;;;;;;;;1;;1
Stichting Voedselbank Almelo;;;;;;;;;1;;1
Stichting Vrienden van Loesje;;1;;;;;;;;;1
Stickerland;;;;;;;;;1;;1
Still Intern Transport;;;;;;;;;1;;1
Stolwijk Beschermd Werken;;;;;;;;;1;;1
Stomerij Panda;;;;;;;;;1;;1
Stomerij Peeters;;;;;;;;;1;;1
Storax;;;;;;;;;1;;1
Storm Plastificeren;;;;;;;;;1;;1
Studievereniging beActive;;;;;;;;;1;;1
Studievereniging Sticky;;;;;;;;;1;;1
Studievereniging Thalia;;;;;;;;;1;;1
Studio Koeck en IJ;;;;;;;;;1;;1
STUUR AUTOVERHUUR;;;;;1;;;;;;1
STYLE-UPDATE;;;;;;;;;1;;1
SUIT Supply;;;;;;;;;1;;1
Suus van den Akker;;;;;;;;;1;;1
Sweeltex;;;;;;;;;1;;1
Synergy;;;;;;;;;1;;1
Sytec;;;2;;;;;;;;2
'T Feithhuis Restaurant;;1;;;;;;;;;1
'T Koetshuis Restaurant;;1;;;;;;;;;1
'T Lieve Vrouwtje Restaurant;;1;;;;;;;;;1
Taller Events;;;;;;;;;1;;1
Tangram Automatisering;;;;;;;;;;1;1
Tante Pietje Bistro-Restaurant-Hotel;;1;;;;;;;;;1
Tante Truus Café;;1;;;;;;;;;1
Tapes Mediaproducties;;;;;;;;;2;;2
Taxi Centrale Apeldoorn, Amersfoort (Keizers);;;;;1;;;;;;1
Taxi Konink;;;;;1;;;;;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;;;;;;;;7;;7
Technogym the Wellness Company;;;;;;;;;;1;1
TEGAMA;;;;;;;;;1;;1
Telindus (incl. ISIT, 2-Store);;;;;;;;;;1;1
Ter Doest;;;;;;;;;1;;1
Teradata;;;;;;;;;2;;2
Terpstra Sales Agency;;;5;;;;;;;;5
Tetracom - consultancy;;;;;;;;;1;;1
The Chocolate Bar;;1;;;;;;;;;1
The Courseware Company;;;;;;;;;1;;1
The Curious Network;;;;;;;;;1;;1
The Read Shop;;;;;;;;;1;;1
The Smartagent Company;;;;;;;;;;1;1
Tilburgse Fiscalisten Vereniging De Smeetskring;;;;;;;;;1;;1
TKB - Trust Krediet Beheer;;;;;;;;;1;;1
TMG - de Telegraaf Media Group;;;;;;;;;1;;1
TNP Visual Workplace;;;;;;;;;1;;1
TNT Express Nederland B.V.;;;;;3;;;;;;3
TOB media (Tonnaer Bykorf);;;;;;6;;;;;6
Toer;;;;;;;;;1;;1
Ton van Loon;;;;;;;;1;;;1
Top Installatiegroep (incl. Top Technisch Beheer);;;;;;;;1;;;1
Total Identity, Total Public;;;;;;;;;1;;1
TotalKlima;;;;;;;;1;;;1
TRAVALJE vof.;;;;;;;;;;1;1
Trichtglas;;;;1;;;;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;;1;;;;;;;;1
Triple Tax;;;;;;;;;1;;1
Tuin-Bouw Handelsonderneming;;;;;;;;1;;;1
Tweetal Party Catering;;;;;;;;;1;;1
Twentse Wensambulance;;;;;;;;;1;;1
UDO Totaalonderhoud;;;;;;;;1;;;1
Uitgeverij Van Kwadraat;;;;;;1;;;;;1
UniFer.nl;;;;;;;;;1;;1
Unisto;;;;;;;;;1;;1
United Electric Automation B.V.;;;5;;;;;;;;5
United Unicam;;;;;;;;;1;;1
Urbi et Orbi;;;;;;;;;1;;1
Usine Eindhoven;;1;;;;;;;;;1
Utrechtse Taxicentrale UTC;;;;;;;;;1;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;;;;;;;;1;;1
V.O.F. Funkenstein;;1;;;;;;;;;1
VakwinkelTotaal (incl. buitenlampentotaal);;;;;;;;1;;;1
Vallei Auto Groep;;;;;;;;;1;;1
VAN APPELDOORN;;;;;;;;;1;;1
Van Beek & Specker Banketbakkerij;;1;;;;;;;;;1
VAN BERGEN;;;;;;;;;1;;1
Van Buuren Restaurant;;1;;;;;;;;;1
Van Dalen cameraverhuur;;;;;;;;;1;;1
Van De Wetering;;;;;2;;;;;;2
Van der Kreeft Heftrucks;;;;;;;;;1;;1
Van der Linde Catering + Evenementen;;;;;;;;;2;;2
Van der Valk Hotels;;1;;;;;;;;;1
Van Eijck Breda;;;;;;;;;1;;1
Van Eijck International Car Rescue;;;;;;;;;1;;1
Van Gansewinkel;;;;;;;2;;;;2
Van Kempen Impuls;;;;;;;;;1;;1
Van Leerdam's Verkoopmatschappij;;;;;;;;;1;;1
Van Maanen Projecten;;1;;;;;;;;;1
van Orselen;;;;;;;;;1;;1
VAN PEER CATERING;;1;;;;;;;;;1
Van Randwijk Paperflow Solutions;;;;;;;2;;1;;2
Van Wees;;;;;;;;;1;;1
Vastgoed Cert (Stichting);;;;;;;;;1;;1
Veiligheidsregio Zaanstreek;;;;;;;;;1;;1
Veldwijk;;;;;;;;;2;;2
Vendor;;;;1;;;;;;;1
Veni Vidi Printed;;;;;;;;;1;;1
Veolia water solutions & Technologies (vh Rossmark Waterbehandeling);;;;;;;;;1;;1
Verkadefabriek;;1;;;;;;;;;1
Vermaat Leisure, Horeca, Service;;;;;;;;;1;;1
Versteden Papier;;;;;;;;;1;;1
Vesting study association;;;;;;;;;1;;1
Vevida;;;;;;;;;1;;1
VIA Vereniging Informatiewetenschappen Amsterdam;;;;;;;;;1;;1
Viadesk;;;;;;;;;1;;1
VideoMarketing Nederland;;;;;;;;;1;;1
Vidiline Voting;;;;;;;;;1;;1
Vink Lisse;;;;;;;;;2;;2
Violet Falkenburg;;;;;;;;;2;;2
Virol;;;;1;;;;;;;1
Visser Tentenverhuur B.V.;;;;;;;;;1;;1
Vlaggenplaza;;;;;;;;;1;;1
VLM Stichting Logistieke Examens;;;;;1;;;;;;1
VnS Group (incl. Naammo Stempelfabriek en Stempeltempel);;;;;;;;;1;;1
VNU Exhibitions;;;;;;;;;1;;1
VNU Media, Business Publications;;;;;;;;;2;;2
Vocas Sales & Services;;;;;;;;;2;;2
Voetencentrum Wender;;;;;;;;;1;;1
VOF Bos brandbeveiligingen;;;1;;;;;;;;1
Voice Corp Webservices (incl. Readspeaker);;;;;;;;;2;;2
Voncken Brood-Banket;;1;;;;;;;;;1
VONK SPORTS;;;;;;;;;1;;1
Voor Claar;;1;;;;;;;;;1
Voorjaarbloeiers;;;;;;;;;1;;1
VVV Nederland;;;;;;;;;1;;1
VWR International (incl. Omnilabo);;;;;;;;;1;;1
W. Lamers;;1;;;;;;;;;1
W.I.S.V. 'Christiaans Huygens';;;;;;;;;1;;1
Wammes Bakkerij (P.P.);;1;;;;;;;;;1
We Young Folks;;;;;;;;;1;;1
Weegtechniek Holland;;;;;;;;;1;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;;;;;;;1;;1
Weiss Enet Industrietechniek;;;;;;;;;1;;1
Weka Uitgeverij;;;;;;;;;1;;1
Weltevree;;;;;;;;;1;;1
Wereldhaven Festival St.;;;;;;;;;2;;2
WESTERHUIS;;1;;;;;;;;;1
Wetshuys 'T;;1;;;;;;;;;1
Wielsma Internationale Autoservice;;;;;;;;;4;;4
Wierdsma Consultancy;;;;;;;;;1;;1
Wiggers Muziekinstrumenten;;;;;;;;;1;;1
Wijnkoperij Bartels;;1;;;;;;;;;1
Wing;;1;;;;;;;;;1
Wissenkerke;;1;;;;;;;;;1
Witteveen+Bos Raadgevende Ingenieurs;;;;;;;;;;1;1
WOK DE MR.HUL;;1;;;;;;;;;1
Wok Stadion;;1;;;;;;;;;1
Wolff Groningen;;;;;;;;;1;;1
Wolters Kluwer (incl. Kluwer);;;;;;1;;;;;1
Wonders eten en drinken;;1;;;;;;;;;1
Worldwide Vision;;;;;;;;;1;;1
Woudschoten Conferentiecentrum;;;;;;;;;1;;1
Wyrda Uitgeverij;;;;;;;;;1;;1
Xmediaworks;;;;;;;;;1;;1
XRAY Auto BV;;;;;;;;;1;;1
Xtandit;;;;;;;;;1;;1
X-Tend;;;;;;;;;1;;1
Yagua skybar;;1;;;;;;;;;1
Yale (vh Wynmalen Materials);;;;;;;;;1;;1
Yesgifts;;;;;;;;;1;;1
Yorcom Computers;;;;;;;;;1;;1
Yourhosting;;;;;;;;;1;;1
Yuris Rechtshulp;;;;;;;;;1;;1
Yusen Logistics (Benelux) B.V.;;;;;1;;;;;;1
Zee;;;;;;;;;2;;2
Ziggo (vh Casema);;;;;;;;;1;;1
Zorgverlening 's Heerenloo;;;;;;;;;1;;1
ZyLAB Benelux;;;;;;;;;1;;1
Eindtotaal;2;8;9;9;12;8;8;9;10;7;13
