Rijlabels;9010 - GWW;9410 - Lokale belastingen - waterschapslasten;9520 - BZK Specifiek;9560 - I&M specifiek;Eindtotaal
B & D Natuuradvies;;;;2;2
B en P V.O.F.;;;;1;1
B&I Advies;;;;2;2
B.B.A. Tours B.V.;;;;1;1
B.J. Bink Beheer B.V.;;;;4;4
B.O.W. B.V.;;;;1;1
B.S.I. Beheer B.V.;;;;1;1
B.V. Aannemingsbedrijf De Klerk;;;;8;8
B.V. Algemeen Nederlands Persbureau ANP;;;;2;2
B.V. Boek & Offermans Taxaties;;;;1;1
B.V. Cartografisch Instituut 'Cito-Plan';;;;1;1
B.V. Dijk7.nl;;;;3;3
B.V. 'Esbi';;;;2;2
B.V. HAEVER!;;;;4;4
B.V. Hand.- & Ing.bur. W.B. van den Berg;;;;1;1
B.V. Ingenieursbureau Ir. K. Boorsma;;;;4;4
B.V. Panorama Mesdag;;;;1;1
B.V. Perscentrum Nieuwspoort;;;;1;1
B.V. Princeville Exploitatie;;;;1;1
B.V. Recreatiemaatschappij Rivierengebied;;;;1;1
B.V. Rederij G. Doeksen en Zonen;;;;1;1
B.V. Steenfabriek Huissenswaard;;;;2;2
B.V. Twentsche Kabelfabriek;;;;2;2
B.Z.N. Asbest Sanering B.V.;;;;1;1
Baaij QHSE Management Support;;;;3;3
Baan Hofman Ongevallenanalyse;;;;1;1
Baarends & Bak Catering;;;;1;1
Baart Advies;;;;3;3
Baat Binnen;;;;2;2
Babbage Company B.V.;;;;1;1
Bacchus Wijnhuis B.V.;;;;1;1
BACH-Praktijk Suijkerbuijk;;;;1;1
Bachu Projects;;;;2;2
BackStory;;;;1;1
Bad Hotel Renesse;;;;1;1
Badhotel Bruin;;;;1;1
Badhotel Rockanje aan Zee B.V.;;;;1;1
Badhu B.V.;;;;1;1
Baecke-Maas V.O.F.;;;;1;1
Baek Food & Drinks;;;;1;1
Bagger- en Aannem.maatsch. Van der Kamp B.V.;;;;8;8
Bakbrommer aangespoelde verhalen;;;;1;1
Baker Tilly Berk Breda;;;;1;1
Bakker & Spees B.V.;;;;1;1
Bakker Bedrijfskundig Advies;;;;1;1
Bakker Boer;;;;1;1
Bakker Installaties V.O.F.;;;;1;1
Bakker J. Delsing B.V.;;;;1;1
Bakker Jacques;;;;1;1
Bakker Rentmeesters & Makelaars B.V.;;;;1;1
Bakker Sliedrecht Electro Industrie B.V.;;;;6;6
Bakker Wim;;;;1;1
Bakkerij Ammerlaan B.V.;;;;1;1
Bakkerij Andringa;;;;1;1
Bakkerij Brokking;;;;1;1
Bakkerij de Bruijne V.O.F.;;;;1;1
Bakkerij Dieteren B.V.;;;;1;1
Bakkerij Hilvers B.V.;;;;1;1
Bakkerij Out B.V.;;;;1;1
Bakkerij Paulissen;;;;1;1
Bakkerij Risseeuw B.V.;;;;1;1
Bakkerij Tullenaar;;;;1;1
Bakkerij Vink Haarlem B.V.;;;;1;1
Balance B.V.;;;;1;1
Balance Ervaring op Projectbasis B.V.;;;;8;8
Balance Financieel Management;;;;4;4
Balkanrestaurant Macedonië;;;;1;1
Ballast Nedam Engineering B.V.;;;;1;1
Ballast Nedam Infra B.V.;;;;5;5
Ballast Nedam Infra Specialiteiten B.V.;;;;7;7
Ballering Tankstation;;;;3;3
Ballorig Gaasperplas B.V.;;;;1;1
Balthazar Communicatie en Evenementen;;;;1;1
BAM Bouw en Techniek B.V.;;;;6;6
BAM Infra B.V.;;;;1;1
BAM Infra Regio Noordoost Wegen;;;;7;7
BAM Infra Regio West Wegen;;;;1;1
BAM Infra Regio Zuidwest Wegen;;;;1;1
BAM Infra Telecom B.V.;;;;9;9
BAM Infraconsult B.V.;;;;2;2
BAM PPP Nederland B.V.;;;;7;7
BAM Wegen Projecten;;;;11;11
Banketbakkerij Jan Ekkelenkamp;;;;1;1
Banketbakkerij Jansen-de Koning;;;;1;1
Banketbakkerij Maison Kelder B.V.;;;;1;1
Banketbakkerij Nijstad;;;;1;1
Banketbakkerij Steentjes V.O.F.;;;;1;1
Banketbakkerij Theo Blom V.O.F.;;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;;1;1
Barbacoa;;;;1;1
Barbarossa Beach B.V.;;;;1;1
Barn Consult;;;;1;1
Bart van Vliet Freelance Fotograaf;;;;1;1
Bartmanz;;;;1;1
Bartolomeus Productions;;;;1;1
Bas B.V.;;;;1;1
BAS Consultancy B.V.;;;;5;5
Base Media;;;;1;1
Bashil B.V.;;;;1;1
Baskbits 1 B.V.;;;;1;1
Bass Montage;;;;1;1
Basso Exploitatie B.V.;;;;1;1
Bastion Hotel Leiden B.V.;;;;1;1
Bastion Hotel Terbregseplein B.V.;;;;1;1
Bastion Hotel Utrecht B.V.;;;;2;2
Bastion Hotelgroep B.V.;;;;1;1
BAT Consultancy Bedrijfskundig Adviesbureau;;;;2;2
Baten & Partners B.V.;;;;6;6
Baut B.V.;;;;1;1
Bax-shop.nl B.V.;;;;1;1
BBQ Restaurant Delft;;;;1;1
BCN B.V.;;;;1;1
BCS Europe B.V.;;;;1;1
BCT Landgraaf B.V.;;;;3;3
BdBProjectmanagement B.V.;;;;4;4
BDG Nederland B.V.;;;;1;1
BDO Accountants & Belastingadviseurs B.V.;;;;2;2
BDS Harlingen B.V.;;;;6;6
BDUlokalemedia B.V.;;;;1;1
BDUvakmedia B.V.;;;;1;1
BeamworX B.V.;;;;1;1
Beat It B.V.;;;;1;1
BeatrijsBonarius.Biz;;;;1;1
Beau Investments B.V.;;;;1;1
Beaumont Communicatie & Management B.V.;;;;3;3
Beckers Civil Engineering;;;;4;4
Bedr.verzorg. Onderaannem. van Sommeren B.V.;;;;2;2
Bedrijfscatering Jan Vendrig;;;;1;1
Bedrijfsmiddelen Jac. van der Veen B.V.;;;;1;1
Beeld in Werking;;;;1;1
Beeldleveranciers Coöperatief UA;;;;2;2
Beenen B.V.;;;;4;4
Beerenberg;;;;1;1
Befreelancer;;;;2;2
Be-Ge Savas Seating B.V.;;;;1;1
BeGlobal Relatiegeschenken;;;;2;2
Beheer Civiel B.V.;;;;4;4
Beheersticht. Nationaal Park Schiermonnikoog;;;;1;1
Bek & Verburg B.V.;;;;2;2
Bekebrede Interim Management en Advies;;;;2;2
Bekwaam Interim Management B.V.;;;;5;5
Belarto Nederland B.V.;;;;1;1
Belast./financieel adviespraktijk Mellendijk;;;;5;5
Beleef Concepts v.o.f.;;;;1;1
Beleidstheater;;;;1;1
Belgian Beer Cafe Belvédère;;;;1;1
Belgisch Biercafé Olivier B.V.;;;;1;1
Belien Beheer B.V.;;;;2;2
Belmont Innovations & Sustainability B.V.;;;;1;1
Benedensas;;;;1;1
Benegas;;;;2;2
Benelux Scientific B.V.;3;;;;3
Benelux Solar & Techn. Syst.-Applicat. B.V.;;;;1;1
Benfried B.V.;;;;1;1
Benjamins & Benjamins;;;;3;3
Benthem Crouwel Naco;;;;5;5
Bentum Nijboer Notarissen;;;;1;1
Bentvelzen en Jacobs Demontage B.V.;;;;4;4
Berenschot B.V.;;;;5;5
Berenschot Groep B.V.;;;;5;5
BERG architects;;;;1;1
Bergdal Exploitatie B.V.;;;;1;1
Bergenwerkt facility en safety engineers;;;;1;1
Bergh Delisse Events;;;;1;1
Berghauser Pont B.V.;;;;1;1
Bergings Centrale Bollenstreek B.V.;;;;1;1
Bergnet;;;;4;4
Berkx maatwerk voor woning en bedrijf;;;;1;1
Bermon B.V.;;;;1;1
Bert Kuizenga Media Producties;;;;1;1
Besseling Travel B.V.;;;;1;1
Best Opleidingen B.V.;;;;1;1
Best Trucks Oude Tonge B.V.;;;;1;1
Best Value Consulting;;;;4;4
Best Value Group B.V.;;;;2;2
Best Value Nederland;;;;1;1
Bestuursrechtelijk Adviesburo Menhart B.V.;;;;1;1
Beta Systems Software B.V.;;;;3;3
Beter Koersen B.V.;;;;2;2
Beter Samenwerken;;;;2;2
Betonrenovatie Gijzel B.V.;;;;1;1
'Betonvereniging';;;;3;3
Betuwse Stromen B.V.;;;;1;1
Between B.V.;;;;8;8
Beudeker Makelaars;;;;3;3
Beuk Touringcars;;;;1;1
Bev. der Bouwk. Bond v. Nederland. Arch. BNA;;;;1;1
Beware Beach;;;;1;1
Bewegingsplein Westduin;;;;1;1
Bex*communicatie;;;;2;2
BG Engineering B.V.;;;;2;2
Bianca de Jonge;;;;2;2
Bibliotheek Franeker;;;;1;1
BIConsult B.V.;;;;3;3
Bidvest Deli XL;;;;1;1
Bierbrouwerij De Koningshoeven B.V.;;;;1;1
Bierfabriek Delft B.V.;;;;1;1
Bierman Henket architecten B.V.;;;;2;2
Biesbosch Assuradeuren Anno 2000 B.V.;;;;1;1
Biesbosch Museum;;;;1;1
Bijlstra Installaties;;;;1;1
Bijnsdorp Communicatie Projecten B.V.;;;;3;3
Bilderberg Chateau Holtmuhle;;;;1;1
Bilderberg Europa Hotel Scheveningen;;;;2;2
Bilderberg Hotel De Klepperman;;;;1;1
Bilderberg Hotel Wolfheze;;;;1;1
Billink B.V.;;;;1;1
Billy's Eerlijke Keuken;;;;1;1
BIM Media B.V.;;;;1;1
Binnenlands Bestuur B.V.;;;;1;1
Binnenscheepv.bedr. N. Spithorst Mslb Zeehond;;;;1;1
Binnenvaartwinkel B.V.;;;;1;1
Bioclear earth B.V.;;;;2;2
BIRD Invest B.V.;;;;1;1
Bird Jazz Podium/Horeca B.V.;;;;1;1
Bis 26 B.V.;;;;1;1
Bisnez Management B.V.;;;;2;2
Bison Bowling;;;;1;1
Bistro Bonjour;;;;1;1
BiZFiTS B.V.;;;;2;2
Bizzdesign Holding B.V.;;;;2;2
BK Bouw- en Milieuadvies B.V.;;;;4;4
BK Ingenieurs B.V.;;;;2;2
BK Ruimte & Milieu;;;;2;2
Blaauwendraat Landschapsverzorging;;;;3;3
Blanksmabouw;;;;3;3
BLAUD B.V.;;;;1;1
BLIK film;;;;2;2
Bling Affair;;;;1;1
Blink ontwerpers;;;;2;2
BLM Wegenbouw B.V.;;;;2;2
Bloc B.V.;;;;2;2
Blockchain Wizards;;;;1;1
Bloedjes Renovatiewerken;;;;3;3
Bloembinderij De Korenschoof;;;;1;1
Bloemenboetiek Panhuis;;;;1;1
Bloemenhuis Abrahamse;;;;1;1
Bloemenhuis De Narcis;;;;1;1
Bloemen-Kadowinkel 'Klavertje Vier';;;;1;1
Bloemenstudio Helleborus;;;;1;1
Bloemerij Rene van der Weegen;;;;1;1
Bloemisterij Sour;;;;1;1
Bloemkracht8;;;;1;1
Bloemsierkunst Anneke Kapteyn;;;;1;1
Bloemsierkunst 'De Linde';;;;1;1
BlomBerg Society B.V.;;;;1;1
Blonk Film;;;;1;1
Blueconomy B.V.;;;;2;2
Bluestar Onderhoud-Renovatie-Beveiliging;;;;1;1
BMA Ergonomics B.V.;;;;2;2
BMC Advies B.V.;;;;1;1
BME Opleidingen B.V.;;;;1;1
BNRA Gladheid;;;;5;5
BNV Mobility;;;;3;3
BOB Infra;;;;3;3
Bob van Bree - Waterbouwk. adv. en proj.man.;;;;3;3
Bodac B.V.;;;;2;2
Boddaert Advocaten;;;;1;1
Bodemkundig Adviesbureau Edelman B.V.;;;;2;2
BOdG Ruimtelijk Advies B.V.;;;;1;1
Boeketcadeau.nl;;;;1;1
Boekhandel Adr. Heinen B.V.;;;;1;1
Boekhandel en Drukkerij Van den Munckhof B.V.;;;;1;1
Boekhandel Van der Velde;;;;1;1
Boels Verhuur;;;;1;1
Boender Recreatie Afvalbakken B.V.;;;;1;1
Boerderij De IJsselhoeve;;;;1;1
Boerderij De Middenhof Nieuwegein;;;;1;1
Boerderij Hoekelum;;;;1;1
Boerhof Reizen;;;;1;1
Bohms Beheer;;;;2;2
Bojo B.V.;;;;1;1
bol.com B.V.;;;;1;1
Bomatho B.V.;;;;1;1
Bombs Away B.V.;;;;1;1
Bomenrooi- en Hoveniersbedrijf Jurian Bardoel;;;;1;1
Bommel;;;;1;1
BonoTraffics B.V.;;;;5;5
BOOM&Breakout;;;;1;1
Boomontzorging;;;;1;1
Boot Organiserend Ingenieursburo B.V.;;;;3;3
Borduur Studio Morena;;;;1;1
Borgerspark Veendam B.V.;;;;2;2
Borninkhof Personenschade B.V.;;;;1;1
Bosch Rexroth B.V.;;;;8;8
Boshouwers Mobiliteitsadvies en Proj.manag.;;;;2;2
Boskalis Nederland B.V.;;;;10;10
Boskalis Nederland Infra B.V.;;;;9;9
Bosscher International;;;;1;1
Bostec;;;;5;5
Bosters Waterbouw & Hydrologie;;;;2;2
Boudewijns Bodem Breed;;;;3;3
Boukema Trading Company B.V.;;;;1;1
Boumaar;;;;3;3
Boundless Software B.V.;;;;1;1
Bouw- en Aannemingsbedrijf Ooijevaar B.V.;;;;1;1
Bouwbedrijf A. Methorst;;;;2;2
Bouwbedrijf Meliskerke B.V.;;;;2;2
Bouwend Nederland;;;;1;1
Bouwgroep Peters B.V.;;;;3;3
Bouwkundige Begeleidings Adviesgroep B.V.;;;;2;2
BouwQ B.V.;;;;4;4
Bouwselect B.V.;;;;3;3
Bouwservice Management Nederland B.V.;;;;2;2
Bouwvisie Geo Techniek B.V.;;;;8;8
Bovenkamers;;;;2;2
Bovenregionaal kantoor;;;;7;7
Boverhoff Gereedschappen en Mat.Dienst. B.V.;;;;4;4
Bowling 'De Kruitmolen';;;;1;1
BP Europa SE - BP Nederland;;;;3;3
Braai-Tapperij 'De Mug';;;;1;1
Braams Tuinen Eext;;;;1;1
Brabant Water N.V.;;;;4;4
Brabanthallen;;;;1;1
Brachium B.V.;;;;1;1
Brackmann Beheer B.V.;;;;1;1
Brain Box Mediatraining B.V.;;;;2;2
Brain Coral B.V.;;;;2;2
Braining B.V.;;;;4;4
BrainStax B.V.;;;;1;1
Brakels Acoustic Solutions;;;;1;1
Branchever. Recycling Breken en Sorteren;;;;1;1
Brand! communicatie B.V.;;;;2;2
Brandwijk Sales B.V.;;;;1;1
Brasserie BovendeRivieren;;;;1;1
Brasserie de Berk B.V.;;;;1;1
Brasserie De Boerderij;;;;1;1
Brasserie Le Nord;;;;1;1
Brasserie Leijnse B.V.;;;;1;1
Brasserie Spiegelaar;;;;1;1
Brasserie 't Raethuys;;;;1;1
Brasserie Vrienden;;;;1;1
Brasserie Westbeer;;;;1;1
Braza B.V.;;;;1;1
Bre-Ad B.V.;;;;2;2
Bredenoord B.V.;;;;1;1
Breedijk Horeca Verzorging;;;;1;1
Breeschoten & Vernooij B.V.;;;;1;1
Breijer Contractonderhoud B.V.;;;;7;7
BREIN Inspectie;;;;1;1
Brem Funderingsexpertise;;;;2;2
Bressers Metaal B.V.;;;;1;1
Breur IJzerhandel Vlietlaan B.V.;;;;1;1
Brick;;;;1;1
Brigatti Electronics V.O.F.;;;;1;1
Bright Management Support & Communicatie;;;;2;2
Brimos Borden B.V.;;;;2;2
Brimos Techniek B.V.;;;;3;3
Brink Verkeer Evenementen B.V.;;;;1;1
Brinkhof bemiddeling en advies;;;;1;1
BRLN;;;;1;1
BRO;;;;4;4
Brocante Maastricht;;;;1;1
Broers;;;;1;1
Bronsonn B.V.;;;;4;4
Brood & Banketbakkerij Prins B.V.;;;;1;1
Brood en Banketbakkerij Ehrenhard;;;;1;1
Brood- en Banketbakkerij Van Blijderveen;;;;1;1
Broodje Kaas B.V.;;;;1;1
Broodjes Express B.V.;;;;1;1
Broodjeskantine;;;;1;1
Brooklyn Business Consult;;;;2;2
Broos Water B.V.;;;;2;2
Brouwer Communiceert;;;;3;3
Brouwer's Tours B.V.;;;;1;1
Brouwerscafé STOOM B.V.;;;;1;1
Bru 17;;;;1;1
Bruggers Business Consulting;;;;2;2
Bruil Infra Deelnemingen B.V.;;;;2;2
Bruining Advies;;;;2;2
Bruisten GWW B.V.;;;;3;3
Brunel Nederland B.V.;;;;4;4
Bruxelles aan Zee B.V.;;;;1;1
BS Financial Consultancy;;;;4;4
BS Reklame B.V.;;;;1;1
BSA Schaderegeling B.V.;;;;1;1
Bsb Staalbouw B.V.;;;;5;5
BSDV;;;;1;1
bserved.nu;;;;1;1
BT Nederland N.V.;;;;4;4
BT Professional Services Nederland B.V.;;;;2;2
B-Taal;;;;1;1
BTB I B.V.;;;;1;1
BTD Beveiligingstechniek Dordrecht B.V.;;;;1;1
BTI Hoogezand;;;;1;1
BTL Advies B.V.;;;;4;4
BTL Realisatie B.V.;;;;7;7
BTMpartners B.V.;;;;3;3
BTN B.V.;;;;3;3
BTS;;;;3;3
Buck Consultants International B.V.;;;;4;4
Budget Rent a Car;;;;1;1
Buijze Management & Advies;;;;2;2
Building Bits B.V.;;;;4;4
buildingSMART Benelux Chapter Benelux Chapter;;;;1;1
Buiten organisatieadvies;;;;2;2
BuitenBusiness B.V.;;;;1;1
Buitengewoon;;;;1;1
Buitengoed Uylenburg B.V.;;;;1;1
Buitenpoort Catering B.V.;;;;2;2
Bullit House;;;;1;1
Bur. B + B Stedeb. en Landschapsarch. B.V.;;;;2;2
Bur. De Groot Volker Verkeerszonderz./Advies;;;;1;1
Bur. Poort Jur. Adv. & Arbeidsomstandigheden;;;;1;1
bur. VERBEEK landsch.arch./ecol./sted. ontw.;;;;4;4
Burdock Bouw en Infra B.V.;;;;2;2
bureau;;;;2;2
Bureau Blueland;;;;2;2
Bureau Bram;;;;3;3
Bureau De Bont B.V.;;;;4;4
Bureau Drift;;;;2;2
Bureau Fris B.V.;;;;1;1
Bureau JJV;;;;4;4
Bureau Karin de Lange B.V.;;;;2;2
Bureau Kundig;;;;3;3
Bureau Landwijzer;;;;1;1
Bureau Middelkoop;;;;1;1
Bureau NatuurOntwikkeling;;;;1;1
Bureau Onderweg;;;;2;2
Bureau op zolder;;;;2;2
Bureau Plano;;;;3;3
bureau Ruimtewerk;;;;5;5
Bureau Sanering Verkeerslawaai;;;;2;2
Bureau Schmidt;;;;2;2
Bureau Schoonebeek V.O.F.;;;;1;1
Bureau Van Vliet B.V.;;;;1;1
Bureau Veritas Industrial Services;;;;1;1
Bureau voor Overheidscommunicatie B.V.;;;;4;4
Bureau Waardenburg B.V.;;;;7;7
Bureau ZET;;;;2;2
Bureaubeaufort.com;;;;1;1
Burger Coaching & Advies;;;;2;2
Burgman Security B.V.;;;;1;1
Burgraadt Gebouwen B.V.;;;;1;1
Buro C5;;;;4;4
Buro De Steeg B.V.;;;;2;2
Buro Duo-Advies;;;;4;4
Buro Hemmen;;;;3;3
Buro Nienhuis;;;;2;2
Buro Ruimte & Groen;;;;1;1
Buro RUW;;;;1;1
Buro Savelkoel;;;;1;1
Buro Van der Hoek B.V.;;;;1;1
Buro XYZ;;;;1;1
BURO38;;;;2;2
Busé Communications;;;;4;4
Business Bloemist Melenhorst;;;;1;1
Business Flowers Zwolle;;;;1;1
Business Food Party Productions B.V.;;;;1;1
Buts Technical Consultancy;;;;2;2
Buurt- en Speeltuinvereniging Helpman-Oost;;;;1;1
Buurthuis Bonte Kraai;;;;1;1
BuzzMaster B.V.;;;;1;1
BvCM Collections B.V.;;;;1;1
Bvolve B.V.;;;;3;3
BVR Advis. Sted. Ontw. en Management B.V.;;;;2;2
BWZ Ingenieurs B.V.;;;;2;2
bymarjo;;;;1;1
Byzonder Ontwerp;;;;1;1
C&O Travel Special Tours;;;;1;1
C&T Communicatie V.O.F.;;;;1;1
C. Slootweg Holding B.V.;;;;1;1
C.C. Kwakkenbos- Klerks / Primera Kwakkenbos;;;;1;1
C.D. de Haan B.V.;;;;2;2
C.H. Bekhuis Holding B.V.;;;;1;1
C.s.V. Helmond;;;;1;1
C.V. Werklandschapsontwikkel.mij. Klavertje 4;;;;2;2
Cabinet Venray Holding B.V.;;;;3;3
Cachelot B.V.;;;;1;1
CAD2Reality;;;;1;1
Cadeau Company;;;;1;1
Café Arnhem B.V.;;;;1;1
Café Donner;;;;1;1
Café Restaur. en Zalencentr. Het Wap. van Ens;;;;1;1
Café Restaurant Dauphine;;;;1;1
Café Restaurant De Eendracht Abcoude B.V.;;;;1;1
Café Restaurant 'De Engel';;;;1;1
Café Restaurant Luchthaven Lelystad;;;;1;1
Café Restaurant 't Pakhuis V.O.F.;;;;1;1
Café Restaurant 'Willem Van Oranje';;;;1;1
Café Servaas;;;;1;1
Café 't Fust B.V.;;;;1;1
Café 't Wapen van Leimuiden;;;;1;1
Café Verheyden;;;;1;1
Café Zomerlust;;;;1;1
Café Zomers & Zomers;;;;1;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;1
Café-Diner 'De Grote Beer';;;;1;1
Café-Restaurant Amsterdam B.V.;;;;1;1
Café-Restaurant 'Centrum';;;;1;1
Café-Restaurant De Brouwer;;;;1;1
Cafe-Restaurant 'De Heerenkeet';;;;1;1
Café-Restaurant de Lage Vuursche;;;;1;1
Café-Restaurant De Mol B.V.;;;;1;1
Café-Restaurant De Prinsenkelder;;;;1;1
Café-Restaurant 'L'Union';;;;1;1
Café-Restaurant Nieuw Land B.V.;;;;1;1
Cafetaria de Dirigent B.V.;;;;1;1
Caffe Carrello;;;;1;1
Caljé Infra Advies B.V.;;;;2;2
Callas;;;;4;4
Cals Consultancy;;;;3;3
Camiel Mikily B.V.;;;;1;1
Campanile Hotel Zwolle;;;;1;1
Camping en Recreatiecentrum Lauwersoog B.V.;;;;1;1
Camping Zeester;;;;1;1
Campus SUI MOVEO B.V.;;;;6;6
Canal Company B.V.;;;;1;1
Canast B.V.;;;;3;3
Cancer Health Coach;;;;1;1
Canon Business Center Zwolle B.V.;;;;1;1
Capae ProjectExperts B.V.;;;;2;2
Capcloud;;;;2;2
Capgemini Educational Services B.V.;;;;1;1
Capgemini Nederland B.V.;;;;9;9
Cappendijk Verkeersadvies;;;;2;2
Cappuccino;;;;1;1
Cardan Technobility B.V.;;;;1;1
Carlton Beach Club;;;;1;1
Carlton Oasis Hotel;;;;1;1
Carly's;;;;2;2
Carolink Communicatie;;;;1;1
Carolus Management B.V.;;;;2;2
Carrie Zwarts Grafisch Ontwerp;;;;1;1
Carto Studio B.V.;;;;1;1
Carve Beheer B.V.;;;;1;1
CasaGrande B.V.;;;;1;1
Cascadis;;;;1;1
Casu Utrecht B.V.;2;;;;2
Cateau;;;;1;1
Catec B.V.;;;;2;2
Catering de Commanderie B.V.;;;;1;1
Catering De Steiger V.O.F.;;;;1;1
Catering Dik Trom;;;;1;1
Catering- en Partyservice J. Breet;;;;1;1
Catering Hanenburg B.V.;;;;1;1
Cazdak Dakbedekkingen B.V.;;;;1;1
CBRE B.V.;;;;4;4
CC INFRA;;;;3;3
CCD Media;;;;1;1
C-Cube International;;;;3;3
CE Delft;;;;4;4
Cebec Beveiligingen B.V.;;;;1;1
CED Interim Professionals B.V.;;;;1;1
Ceeh Communicatie en Ondersteuning;;;;2;2
Cendris Dataconsulting B.V.;;;;1;1
Cenosco Custom B.V.;;;;4;4
Centraal Boekhuis B.V.;;;;1;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;1;1
Centre for Quantitative Methods CQM B.V.;;;;2;2
Centri N.V.;;;;1;1
Centric;;;;4;4
Centric Financial Professionals B.V.;;;;4;4
Centric Test & Security Professionals B.V.;;;;1;1
CENTURIO B.V.;;;;1;1
CERIUM;;;;1;1
Certified Secure B.V.;;;;1;1
CGE Risk Management Solutions B.V.;;;;1;1
CGI;;;;9;9
CGI Nederland B.V.;;;;6;6
Chapeau Broodjes Tilburg;;;;1;1
Charta Software;;;;5;5
Chauffeurstelefoon B.V.;;;;1;1
Cheiron It B.V.;;;;2;2
ChielMedia;;;;1;1
Chin. Ind. Spec. Restaurant Ocean City;;;;1;1
Chin.Ind. Restaurant 'Happy Garden';;;;1;1
Chinchilla Textiles B.V.;;;;1;1
Chinees Tolk- & Vertaalbureau D.F.Y.;;;;1;1
Chiqo-deck B.V.;;;;1;1
Chitree;;;;1;1
CHL Netherlands B.V.;;;;2;2
Chocolaterie De Swaen;;;;1;1
Chocolaterie Gelaterie De Lelie;;;;1;1
Chorda Advies B.V.;;;;1;1
Chris Platteeuw Illustraties;;;;1;1
Chris v. Beest Maritieme Dienstverlening B.V.;;;;2;2
Chubb Fire & Security Alkmaar;;;;4;4
Churchill Hotel Terneuzen;;;;1;1
Cialona Expo B.V.;;;;1;1
CIBT Netherlands;;;;1;1
Ciezo B.V.;;;;1;1
Ciflow;;;;2;2
ciiq;;;;1;1
Cimsolutions;;;;7;7
Cinop Advies B.V.;;;;2;2
Cipix Internet;;;;1;1
Circle Point Projects;;;;2;2
CircleInvest B.V.;;;;1;1
Circulus-Berkel;;;;1;1
cirkelopleidingsdiensten.nl;;;;1;1
Cirm B.V.;;;;1;1
Cistel Technology B.V.;;;;1;1
City Centrum Groenlo B.V.;;;;1;1
Citytec B.V.;;;;4;4
Civiele Technieken de Boer Spanlift B.V.;;;;7;7
Civieltechnisch Adviesbureau Knulst;;;;3;3
Civieltechnisch Adviesbureau Storm;;;;2;2
Civil+ B.V.;;;;4;4
CivilQuest B.V.;;;;4;4
CivStruc Engineering;;;;2;2
CK Projectadvies;;;;3;3
Clafis Engineering Noord-West B.V.;;;;6;6
Clafis Engineering West B.V.;;;;2;2
Clarox B.V.;;;;4;4
Classy Cotton;;;;1;1
Clear Focus;;;;3;3
Clear In Company;;;;1;1
Client Automatisering B.V.;;;;1;1
Climate Neutral Group B.V.;;;;2;2
CLM Onderzoek en Advies B.V.;;;;1;1
Clocked-Up;;;;1;1
CM Telecom B.V.;;;;3;3
CM2A;;;;2;2
CMC mobility B.V.;;;;3;3
Coastal & Marine Union;;;;2;2
Coberg Beheer B.V.;;;;1;1
Code Zero Visual Concepts;;;;1;1
Coen Zwezerijnen Verander. & Karakterbouwers;;;;2;2
Coesmans Management;;;;1;1
Coffee@work B.V.;;;;1;1
Cogitatio Advies B.V.;;;;2;2
COHAD;;;;6;6
COIM;;;;3;3
Colibri Advies B.V.;;;;2;2
Colijn Aannemersbedrijf B.V.;;;;2;2
Collabó B.V.;;;;2;2
Colourfields;;;;1;1
Colourtree;;;;1;1
Colt Technology Services B.V.;;;;5;5
Columba Communications;;;;2;2
Combi City;;;;1;1
Combinatie Leo ten Brinke 1;;;;8;8
Combinatie SBO Takke V.O.F.;;;;3;3
Combined Efforts Milieu & Omgevingsadvisering;;;;4;4
Comcept communicatie & marketing;;;;1;1
Comhairle;;;;3;3
Comic House Amsterdam B.V.;;;;1;1
ComKracht4;;;;4;4
Common Eye B.V.;;;;2;2
Communicatie & Management Kwikkers B.V.;;;;1;1
Communicatie Bureau Podium B.V.;;;;3;3
Communicatiebureau De Lynx;;;;2;2
Communicom;;;;1;1
Company Webcast B.V.;;;;1;1
COMPAREX Nederland B.V.;;;;9;9
Compass Infrastructuur Nederland (CIN) B.V.;;;;8;8
Compensa;;;;1;1
Complete Dienstverlening B.V.;;;;1;1
Compunicatie;;;;1;1
Concentra Media Nederland B.V.;;;;1;1
Concern.nu B.V.;;;;1;1
Conclusion Implementation B.V.;;;;6;6
Concorde Group B.V.;;;;1;1
Concreet Projectmanagement B.V.;;;;4;4
Concretor B.V.;;;;4;4
Conducto B.V.;;;;2;2
Confed Systems;;;;2;2
Conferentiehotel Landgoed Rhederoord B.V.;;;;2;2
Configo Management B.V.;;;;2;2
Connect Knowledge;;;;1;1
Connected Information Systems B.V.;;;;1;1
Connected Strateg. Veranderingsprocessen B.V.;;;;1;1
Connectholland B.V.;;;;2;2
Connection Systems B.V.;;;;5;5
Connexxion Tours B.V.;;;;1;1
Conrad Electronic Benelux B.V.;;;;1;1
Consejo;;;;2;2
ConSierra Holding B.V.;;;;2;2
Consistender;;;;2;2
Constructiebedrijf Hillebrand B.V.;;;;4;4
Constructief Marketing en Managementexpertise;;;;1;1
ConsultingKids;;;;2;2
Contactum;;;;1;1
Content Words;;;;1;1
Continu;;;;2;2
Contour Industrial Design Solutions;;;;1;1
Contracting Maintenance Services B.V.;;;;4;4
Conversion;;;;2;2
