;Departement;Sector;Organisatie;Plaats;Functienaam;Motivatie;
140;VWS;Zorgaanbieders;Parnassia Bavo Groep B.V.;'s-Gravenhage;Manager;De overschrijding is het gevolg van een uitkering in verband met beëindiging van het dienstverband. Het betreft een eenmalige uitkering conform de kantonrechtersformule waarbij de weging van het aantal jaren dienstverband de bepalende factor is. ;
141;VWS;Zorgaanbieders;Parnassia Bavo Groep B.V.;'s-Gravenhage;Manager;De overschrijding is het gevolg van een uitkering in verband met beëindiging van het dienstverband. Het betreft een eenmalige uitkering conform de kantonrechtersformule waarbij de weging van het aantal jaren dienstverband de bepalende factor is. ;
142;VWS;Zorgaanbieders;Prezzent;ZALTBOMMEL;Psycholoog;Dit betreft een uitkering in het kader van een overeengekomen ontslagregeling. Het dienstverband is met wederzijds goedvinden ontbonden. ;
143;VWS;Zorgaanbieders;Protestants-Christelijke Stichting Philadelphia Zorg;NUNSPEET;Locatiemanager;  ;
144;VWS;Zorgaanbieders;Reinier de Graaf Groep;DELFT;Manager P&O;  ;
145;VWS;Zorgaanbieders;Samenwerkende Schiedamse en Vlaardingse Ziekenhuizen (S.S.V.Z.);SCHIEDAM;Hoofd opleidingen;  ;
146;VWS;Zorgaanbieders;Sint Franciscus Gasthuis;ROTTERDAM;Teammanager;Op grond van een verschil van inzichten is in onderling overleg tussen SFG en een teammanager besloten de arbeidsovereenkomst te ontbinden met een ontslagvergoeding als financiële compensatie. Het betrof een dienstverband van ruim 30 jaar. ;
147;VWS;Zorgaanbieders;Slingeland Ziekenhuis;DOETINCHEM;Directie-lid;Deze grens wordt overschreden door de uitkering in verband met beeindiging van het dienstverband ;
148;VWS;Zorgaanbieders;St. Elisabeth Ziekenhuis;TILBURG;Hoofd zorgeenheid;De ontslagvergoeding ad euro 210.000 is aan Stichting St. Elisabeth Ziekenhuis opgelegd via een gerechtelijke uitspraak ;
149;VWS;Zorgaanbieders;St. Elisabeth Ziekenhuis;TILBURG;Manager;  ;
150;VWS;Zorgaanbieders;Steinmetz de Compaan;RIJSWIJK ZH;Directeur;  ;
151;VWS;Zorgaanbieders;Stichting Altra;AMSTERDAM;Directeur;Toekenning stamrechtuitkering i.v.m. tussentijdse beëindiging dienstverband ;
152;VWS;Zorgaanbieders;Stichting Arkin;Amsterdam;Leidinggevende A;De deeltijdfactoren voor Leidinggevende A waren in 2011 125 % en in 2010 125 %. Op basis van deze deeltijdfactoren is het werkelijke belastbare loon _ 142.331 in 2011 en _ 139.736 in 2010. De totale beloning in het kader van de Wopt komt voor 2011 uit op _ 239.081 en voor 2010 komt dit uit _ 139.736;
153;VWS;Zorgaanbieders;Stichting Arkin;Amsterdam;Leidinggevende B;  ;
154;VWS;Zorgaanbieders;Stichting Arkin;Amsterdam;Leidinggevende C;  ;
155;VWS;Zorgaanbieders;Stichting Koninklijke Kentalis;Sint-Michielsgestel;Administratief medewerker;  ;
156;VWS;Zorgaanbieders;Stichting Koninklijke Kentalis;Sint-Michielsgestel;Directeur;  ;
157;VWS;Zorgaanbieders;Stichting Lentis;ZUIDLAREN;Projectleider;De overschrijding heeft te maken met uitkeringen inzake beeindiging van het dienstverband. ;
158;VWS;Zorgaanbieders;Stichting Lievensberg ziekenhuis;BERGEN OP ZOOM;Diensthoofd;De beloning 2011 van het diensthoofd houdt verband met de uitkering die is vastgesteld na toepassing van de kantonrechtersformule bij beëindiging van het 32 jaar durend dienstverband. ;
159;VWS;Zorgaanbieders;Stichting Nusantara Beheer;UGCHELEN;Bestuurder;Bestuurder is per 24-05-2011 uit functie getreden en per 31-12-2011 uit dienst ;
160;VWS;Zorgaanbieders;Stichting Vivre;Maastricht;Locatiemanager;Op basis van een gerechtelijke uitspraak. ;
161;VWS;Zorgaanbieders;Stichting WWZ-Marienstaete-Valent;Voorhout;Senior Projectmanager Vastgoed;  ;
162;VWS;Zorgaanbieders;Stichting Zorgcentra Rivierenland;TIEL;Sector manager;ontslagvergoeding ;
163;VWS;Zorgaanbieders;STIVORO;S GRAVENHAGE;Plaatsvervangend directeur;Overschrijding van de norm heeft plaatsgevonden als gevolg van een ontslagvergoeding naar aanleiding van een reorganisatie van de Stichting ;
164;VWS;Zorgaanbieders;Tergooiziekenhuizen;HILVERSUM;Manager;Uitkering bij einde dienstverband conform Kantonrechtersformule ;
165;VWS;Zorgaanbieders;Trivium Meulenbelt Groep;BORNE;Regiomanager;  ;
166;VWS;Zorgaanbieders;Universitair Medisch Centrum St Radboud (UMCN);NIJMEGEN;Hoogleraar (strat) / AMS;salarisinpassing conform de CAO voor Universitair Medische Centra ;
167;VWS;Zorgaanbieders;Universitair Medisch Centrum St Radboud (UMCN);NIJMEGEN;Strategisch manager c;salarisinpassing conform de CAO voor Universitair Medische Centra ;
168;VWS;Zorgaanbieders;Vivre;MAASTRICHT;Locatiemanager;Op basis van een gerechtelijke uitspraak. ;
169;VWS;Zorgaanbieders;Zaans Medisch Centrum;ZAANDAM;afdelingshoofd;De overschrijding wordt veroorzaakt door de ontslaguitkering. ;
170;VWS;Zorgaanbieders;Ziekenhuis De Tjongerschans;HEERENVEEN;Beleidsadviseur;In het verslagjaar is het ontstane pensioengat voor deze inmiddels ex-medewerker gerepareerd. ;
171;VWS;Zorgaanbieders;Zonnehuisgroep Noord;ZUIDHORN;Manager ondersteunende diensten;  ;
172;VWS;Zorgaanbieders;Zorggroep Oldael;Den Haag;Adj. Directeur Financiën;In 2011 is middels een gerechtelijke uitspraak een vergoeding overeengekomen voor de ontbinding van de arbeidsovereenkomst tussen Stg Zorggroep Oldael en bovengenoemde functionaris. ;
173;VWS;Zorgverzekeraars;AZIVO Zorgverzekeraar N.V.;DEN HAAG;Senior manager;Marktconforme beloning om kwalitatief geschikte en goede managers te binden ;
174;VWS;Zorgverzekeraars;Coöperatie VGZ u.a.;Arnhem;Directeur 10;Middels duidelijke functieprofielen heeft een externe partij (Hays) de functie gewogen met de markt en op basis van die informatie een salarispakket samengesteld. Dit is via een NZE contract vertaald in een beloning voor de betreffende directeur. ;
175;VWS;Zorgverzekeraars;Coöperatie VGZ u.a.;Arnhem;Directeur 11;Middels duidelijke functieprofielen heeft een externe partij (Hays) de functie gewogen met de markt en op basis van die informatie een salarispakket samengesteld. Dit is via een NZE contract vertaald in een beloning voor de betreffende directeur. ;
176;VWS;Zorgverzekeraars;Coöperatie VGZ u.a.;Arnhem;Directeur 3;Middels duidelijke functieprofielen heeft een externe partij (Hays) de functie gewogen met de markt en op basis van die informatie een salarispakket samengesteld. Dit is via een NZE contract vertaald in een beloning voor de betreffende directeur. ;
177;VWS;Zorgverzekeraars;Coöperatie VGZ u.a.;Arnhem;Directeur 9;Middels duidelijke functieprofielen heeft een externe partij (Hays) de functie gewogen met de markt en op basis van die informatie een salarispakket samengesteld. Dit is via een NZE contract vertaald in een beloning voor de betreffende directeur. ;
178;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;1e Medewerker;Er is sprake van een ontslagvergoeding. ;
179;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Administratief medewerker;Er is sprake van een ontslagvergoeding. ;
180;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Administratief medewerker;Er is sprake van een ontslagvergoeding. ;
181;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Business partner;Er is sprake van een ontslagvergoeding en het belastbaar loon is inclusief een belastbare ontslagvergoeding van 26000. ;
182;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Directeur;Er is sprake van een ontslagvergoeding. ;
183;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Manager;Er is sprake van een ontslagvergoeding. ;
184;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Procesondersteuner;Er is sprake van een ontslagvergoeding. ;
185;VWS;Zorgverzekeraars;CZ groep Zorgverzekeraar, OWM UA;TILBURG;Teamleider;Er is sprake van een ontslagvergoeding en het belastbaar loon is inclusief een belastbare ontslagvergoedign van 52000. ;
186;VWS;Zorgverzekeraars;Menzis;Enschede;Directielid;Marktconforme beloning om kwalitatief geschikte en goede directieleden te binden. ;
187;VWS;Zorgverzekeraars;Menzis;Enschede;Manager;Marktconforme beloning om kwalitatief geschikte en goede managers te binden. ;
188;VWS;Zorgverzekeraars;ONVZ Ziektekostenverzekeraar N.V.;HOUTEN;Medisch adviseur;Afkoopsom bij beëindigen dienstverband. ;
189;xx;Overig;Nederlands Instituut voor Meerpartijen Democratie;DEN HAAG;executive director;  ;
190;xx;Overig;Permar;Ede;alg directeur;ontslagvergoeding ;
191;xx;Overig;SNV;Den Haag;Advisor;Ontslagvergoeding ivm Sociaal Plan ;
192;xx;Overig;SNV;Den Haag;Advisor;Ontslagvergoeding ivm Sociaal Plan ;
193;xx;Overig;SNV;Den Haag;Advisor;Ontslagvergoeding ivm Sociaal Plan ;
194;xx;Overig;SNV;Den Haag;Advisor;Ontslagvergoeding ivm Sociaal Plan ;
195;xx;Overig;SNV;Den Haag;Director;Ontslagvergoeding ;
196;xx;Overig;SNV;Den Haag;Director;Ontslagvergoeding ;
197;xx;Overig;SNV;Den Haag;Strategy Advisor;Ontslagvergoeding ivm Sociaal Plan ;
198;xx;Overig;Stichting Pactum;Arnhem;Voorzitter Raad van Bestuur;De overschrijding van het normbedrag wordt veroorzaakt door de eenmalige ontslagvergoeding ;
199;BZK;Rijk (incl. Defensie en Rechterlijke macht);Raad van State;Den Haag;medewerker bij de RvS;;
200;VWS;Zorgaanbieders;Jeroen Bosch Ziekenhuis;'S-HERTOGENBOSCH;clustermanager;;
;;;;;;;
