;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
anoniem_DEF_877;;;;2;;;;;2
anoniem_DEF_878;;;;;1;;;;1
anoniem_DEF_880;;;;1;;;;;1
anoniem_DEF_883;;;;1;;;;;1
anoniem_DEF_885;;;;1;;;;;1
anoniem_DEF_886;;;;;;1;;;1
anoniem_DEF_887;;;;;;2;;;2
anoniem_DEF_888;;;;;;3;;;3
anoniem_DEF_889;;;;;;2;;;2
anoniem_DEF_89;;;;;;1;;;1
anoniem_DEF_891;;;;;;1;;;1
anoniem_DEF_892;;;;;;1;;;1
anoniem_DEF_893;;;;1;;;;;1
anoniem_DEF_894;;;;1;2;;3;;3
anoniem_DEF_895;;;;1;;;;;1
anoniem_DEF_896;;;;1;;;;;1
anoniem_DEF_897;;;;;1;;;;1
anoniem_DEF_899;;;;;;2;;;2
anoniem_DEF_90;;;;;;1;;;1
anoniem_DEF_900;;;;;;1;;;1
anoniem_DEF_903;;;;;;2;;;2
anoniem_DEF_905;;;;;1;1;;;1
anoniem_DEF_907;;;;;1;;;;1
anoniem_DEF_908;;;;;;1;;;1
anoniem_DEF_91;;;;1;;;;;1
anoniem_DEF_911;;;;;1;;;;1
anoniem_DEF_913;;;;;1;;;;1
anoniem_DEF_914;;;;;1;;;;1
anoniem_DEF_916;;;;1;;;;;1
anoniem_DEF_917;;;;;;4;;;4
anoniem_DEF_918;;;;1;;;;;1
anoniem_DEF_92;;;;1;;;1;;1
anoniem_DEF_920;;;2;;;;;;2
anoniem_DEF_921;;;;;;1;;;1
anoniem_DEF_922;;;;;1;;;;1
anoniem_DEF_923;;;;;1;;;;1
anoniem_DEF_926;;;;;;1;;;1
anoniem_DEF_928;;;;;;7;;;7
anoniem_DEF_935;;;;;1;;;;1
anoniem_DEF_938;;;;1;;;1;;1
anoniem_DEF_940;;;;;;2;;;2
anoniem_DEF_941;;;;1;;1;1;;1
anoniem_DEF_943;;;;;1;;;;1
anoniem_DEF_944;;;;1;;;;;1
anoniem_DEF_945;;;;;;;1;;1
anoniem_DEF_946;;;;;;;1;;1
anoniem_DEF_947;;;;;;;1;;1
anoniem_DEF_948;;;1;;;;;;1
anoniem_DEF_949;1;;;1;;2;1;1;2
anoniem_DEF_950;;;;;1;;;;1
anoniem_DEF_953;;;;;;;1;;1
anoniem_DEF_954;;;;;1;;;;1
anoniem_DEF_955;;;;;;2;;;2
anoniem_DEF_956;;;;;;1;;;1
anoniem_DEF_957;;;;;;1;;;1
anoniem_DEF_960;;;;;;2;;;2
anoniem_DEF_963;;;;;1;;;;1
anoniem_DEF_965;;;;;;1;;;1
anoniem_DEF_967;;;;;;1;;;1
anoniem_DEF_968;;;;;2;;;;2
anoniem_DEF_97;;;;;2;;;;2
anoniem_DEF_970;;;;;;1;;;1
anoniem_DEF_972;;;;;;1;;;1
anoniem_DEF_973;;;1;;;;;;1
anoniem_DEF_976;;;;;;1;;;1
anoniem_DEF_979;;;;;;2;;;2
anoniem_DEF_981;;;;;;1;;;1
anoniem_DEF_982;;;;;;1;;;1
anoniem_DEF_984;;;;;1;;;;1
anoniem_DEF_987;;;;;;;1;;1
anoniem_DEF_989;;;;;;;1;;1
anoniem_DEF_990;;;;;;1;;;1
anoniem_DEF_991;;;;;2;;;;2
anoniem_DEF_996;;;;;;;1;;1
anoniem_DEF_997;;;;;;1;;;1
ANWB-Rijopleiding;;;;;;4;;;4
AOG Contractonderwijs B.V.;;;;;;2;;;2
Apex Global B.V.;;;;;;2;;;2
Apollo Journey;;;;;;1;;;1
Apotheek A15 B.V.;;;2;;;;;;2
Appelscha-Outdoor;;;;;;;1;;1
APPLY Opleidingen en Advies B.V.;;;;;;2;;;2
APS Squadron Patches B.V.;;;;1;;1;;;1
Aquarius Hotel-Restaurant B.V.;;;;;;1;;;1
AR Citygame B.V.;;;;;;1;1;;1
ARBO Opleidingscentrum B.V.;;;;;;1;;;1
Arbode B.V.;;;;;;1;;;1
Arbron;;;;;;1;;;1
Arendse Health Club Dongen B.V.;;;;;;;1;;1
Arko Redakto B.V.;;;;;;1;;;1
Arrow ECS B.V.;;;;;;2;;;2
Art Pattern Kalkman B.V.;;;;;;;1;;1
Artiestenverloningen B.V.;;;;;;1;;;1
Artifleur;;;;1;;;;;1
Artihove Regina B.V.;;;;1;1;;;;1
Arts Evenementen;;;;;;;1;;1
ARTTRA Cultureel Organisatiebureau;;;;;;;1;;1
Ascent Safety B.V.;;;;;;3;;;3
ASP Adventure B.V.;;;;;;;1;;1
At Computing B.V.;;;;;;1;;;1
ATCO;;;;;;2;;;2
Athletic Skills Model (ASM) B.V.;;;;;;2;;;2
ATO-Bedrijfstrainingen B.V.;;;;;;1;;;1
ATP Business Travel B.V.;;;;;;;;5;5
Attractie Verhuur Moonen B.V.;1;;;;;;1;;1
Attractieverhuur Crazy Air;;;;;1;;;;1
AutiTalent B.V.;;;;;6;;;;6
Auto- en Motorrijschool 'Actief';;;;;;1;;;1
AV SALES B.V.;;;;;;1;;;1
Avans Hogeschool B.V.;;;;;;2;;;2
Aviation War Books;;;;;;1;;;1
Aviodrome Exploitatie B.V.;;;;;;;1;;1
AvK;;;;;;1;;;1
Axiell ALM Netherlands B.V.;;;;1;;;;;1
Axitraxi B.V.;;;;;;1;1;;1
Ayonas B.V.;;;;;;1;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;;;;1;;1
B.V. Auberge de Rousch;;;;1;;;;;1
B.V. De Vooruitgang;;;;;;;1;;1
B.V. Eerste Hulp Dichtbij!;;;;;;1;;;1
B.V. Ned. Instrumenten Compagnie 'Nedinsco';;;1;;;;;;1
B.V. Sport;;;;;;;1;;1
B.V. Tilb. Uniformkleermakerij;;;;;;1;;;1
B+B Vakmedianet B.V.;;;;;;1;;;1
Babbels;;;;;;;1;;1
Badhotel Bruin;;;;1;;;;;1
Bakker Geluidsverhuur;;;;1;;;;;1
Bakkerij Dunselman;;;;;;;1;;1
Bally's Bowling;;;;;;;1;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;1
Banketbakkerij Mekking;;;;1;;;;;1
Banketbakkerij Steentjes V.O.F.;;;;1;;;;;1
Banketbakkerij van Asselt B.V.;;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;;;;;1;;1
Bar 't Kruitvaatje;;;;;;;1;;1
Barbacoa;;;;;;;1;;1
BarEntertainment;;;;1;;;;;1
Barista Cafe Njoy;;;;;;2;;;2
Barista Cafe Veenendaal;;;;;;1;;;1
Bartolomeus Productions;;;;;1;;;;1
BastaCosi;;;;;;;1;;1
Baton Music;;;;1;;;;;1
Battery Safety Solutions B.V.;;;;;;1;;;1
Battlefield Discovery;;;;;;1;;;1
Bax-shop.nl B.V.;;;1;;1;1;;;1
BBC Bruxelles;;;;;;;1;;1
BBO-ergo B.V.;;;3;;;;;;3
BCD Travel Nederland B.V.;;;;2;;3;1;4;5
Beach Club Royal;;;;;;;1;;1
Beach Club WOW;;;;;;;1;;1
Beach Professionals B.V.;;;;;;;1;;1
Beach Stadium B.V.;;;;2;;;;;2
Beachzone events;;;;;;;1;;1
Bedrukken.nl B.V.;;;;1;;;;;1
Beeldengieterij TENAX;;;;;;;1;;1
Beeldhouw Service Centrum Tilburg;;;;1;;;;;1
Bee-Line B.V.;;;;;;1;;;1
Beet Vormgeving;;;;1;;;;;1
Begeleid Werken B.V.;;;;1;;;;;1
Begrafenisonderneming De Ridder B.V.;2;;;;;;;;2
Beheer Centrum voor Mindfulness;;;;;;1;;;1
Behr Groep Nederland B.V.;;;;;;2;;;2
Beker- en Biljarthuis Lambregts V.O.F.;;;;1;;1;;;1
Beleef Eindhoven;;;;;1;;;;1
Belgisch Biercafé Olivier B.V.;;;;;;;1;;1
Bellezza Nuova Lijsten & Restauratie Atelier;;;;;;1;;;1
Bentink Modelspoor;;;;;;1;;;1
Berends Bloemsierkunst;;;;1;;;;;1
Berenschot Groep B.V.;;;;;6;;;;6
bergsma-photography;;;;1;;;;;1
Berlitz Schools of Languages B.V.;;;;;;2;;;2
B-E-R-T;;;;;;1;;;1
Bert's Animal Verhuur;;;;1;;;;;1
Best4U CMS B.V.;;;;;;1;;;1
Bestuursacademie;;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;2
Bever B.V.;;;;;;1;1;;2
Bfit coaching;;;;;;1;;;1
BHV Centrale B.V.;;;;;;1;;;1
BHVstore.nl;;;;;;1;;;1
Big Boulder;;;1;;;;;;1
Big Boys Quality;;;1;;;;;;1
BIGA Groep B.V.;;;;;2;;;;2
bijzonderdruk B.V.;;;;1;3;;1;;3
BijzonderStrafrecht B.V.;;;;;;1;;;1
Bipharma Diagnostics B.V.;;;1;;;;;;1
BITTI B.V.;;;;;;1;;;1
Black Cactus B.V.;;;;;;3;;;3
Blammo Events B.V.;;;;;1;;;;1
Blanchard International B.V.;;;;;;4;;;4
Blauw Research B.V.;;;;;1;;;;1
Bliss Hotel B.V.;;;;1;;;;;1
bloem & styling aan de zeven alleetjes;;;;1;;;;;1
BLOEM!;;;;1;;;;;1
Bloembinderij De Kelk;;;;;;;1;;1
Bloembinderij de Korenschoof;;;;1;;;;;1
Bloembinderij de Vuurdoorn;;;;1;;;;;1
Bloembinderij Koningskruid;;;;1;;;;;1
Bloembinderij van der Maat;;;;1;;;;;1
Bloemboetiek Dille;;;;1;;;;;1
Bloemen van Iris;;;;1;;;;;1
Bloemenboutique Nicole V.O.F.;;;;1;;;1;;1
Bloemenhuis Vink;;;;1;;;;;1
Bloemeninhetgooi;;;;1;;;;;1
Bloemenkas Eindhoven;;;;1;;;;;1
Bloemenmagazijn Margriet;;;1;;;;;;1
BloemenNoord;;;;1;;1;;;1
Bloemenwinkel Kleurrijk;;;;1;;;;;1
Bloemisterij De Sinneblom;;;;1;;;;;1
Bloemisterij Gaal;;;;1;;;;;1
Bloemisterij Labberton B.V.;;;;1;;;1;;1
Bloemsierkunst Beimer;;;;1;;;;;1
Bloemsierkunst BLOEM;;;;1;;;;;1
Bloemsierkunst De Roozelaar;;;;1;;;;;1
Bloemsierkunst Futura;;;;1;;;1;;1
Bloemsierkunst Halfman V.O.F.;;;;1;;;;;1
Bloemsierkunst van Well;;;;1;;;;;1
Blom Opleidingen;;;;;;1;;;1
Blommetje van Blom;;;;1;;;;;1
blooming hotel en conferentielandgoed B.V.;;;;;1;1;;;1
BLOSSOM bloemisterij;;;;1;;;;1;1
Bluestream Offshore B.V.;;;;;;2;;;2
Blygold Laboratories B.V.;;;;;;1;;;1
BMC Advies B.V.;;;4;;;;;;4
Bob B.V.;;;;;;1;;;1
Bobla Sports;;;;;;;1;;1
Bob's Bloemen en Zo;;;;;;;1;;1
Boca Kaarsen Groep B.V.;;;;;1;;;;1
Bodylogic;;;;;;1;;;1
Boeketterie Binnenweg;;;;1;;;;;1
Boekhandel en Drukkerij Van den Munckhof B.V.;;;;;1;;;;1
Boels Verhuur;;;;1;1;;;;1
Boels Verhuur B.V.;;;;1;;1;;;1
Boerderij Hoekelum;;;;1;;;;;1
Boerderij 't Vossegat V.O.F.;;;;;;;1;;1
Boerensolexverhuur;;;;;;;1;;1
Boertien Vergouwen Overduin B.V.;;;;;;6;;;6
Bogaarts Communicatie;;;;;;1;;;1
bol.com B.V.;;;;;2;;;;2
Bolar Media;;;;1;;;;;1
Bombeeck Digital B.V.;1;;;;;;;;1
Bonbonnerie Borrel;;;;1;;;;;1
Bookx B.V.;;;;;;;1;;1
Boom uitgevers Amsterdam B.V.;;;;;;1;;;1
Boot & Stuurliedencoöp. 'De Koperen Ploeg' WA;;;;1;;;;;1
Boot 10 Amsterdam B.V.;;;;;1;;1;;1
Bora Bora B.V.;;;;1;;;;;1
Bos & Bos Catering TT B.V.;1;;;;;;;;1
Bossche Brouwers;;;;;;;1;;1
Botenverhuur De Rijnstroom;1;;;;;;;;1
Boterhal;;;;;;;1;;1
Boterwaag Den Haag B.V.;;;;;;;1;;1
Boudewijn European Affairs;;;;;;1;;;1
Boulevard Utrecht B.V.;;;;1;;;;;1
Bouvigne Paradijs B.V.;;;;;;;1;;1
Bouwen=Vouwen;;;;;3;;;;3
Bowlen & Zo B.V.;;;;1;;;;;1
Bowling Administratie;;;;;;;1;;1
Bowling en Party Centrum Breda;;;;1;;;1;;1
Bowling- en Partycentrum De Schelmse Brug;;;;;;;1;;1
Bowling Kartcentrum Westfriesland B.V.;;;;;;;2;;2
Bowling Scheveningen B.V.;;;;;;;1;;1
Brainfeed;;;;;;1;;;1
Brainport Development N.V.;;;;;2;;;;2
Brainstudio;;;;;;;1;;1
BrandBase B.V.;;;;;3;;;;3
Brandersstad Vuurwerk;;;;;;1;;;1
Brandpreventie Academy B.V.;;;;;;2;;;2
Brandweertrainingscentrum Kleefse Waard B.V.;;;;;;3;;;3
Brasserie 155 B.V.;;;;1;;;1;;1
Brasserie De Conversatie B.V.;;;;;;;1;;1
Brasserie de Rosmolen;;;;1;;;;;1
Brasserie 't Zusje Arnhem B.V.;;;;;;;1;;1
Brasserie 't Zusje Uden B.V.;;;;;;;1;;1
Bravo20;;;2;;;;;;2
Break Free Fun Company;;;;1;;;;;1
Brezan Automaterialen Goes;;;;;;1;;;1
Brezo-Elan B.V.;;;1;;;1;;;1
Bright Events;;;;2;;;;;2
Broekies Entertainment Group Bunnik;;;;;;;1;;1
Bron Gascare B.V.;;;;;;1;;;1
Bronko B.V.;;;;;;;2;;2
Broodrunner;1;;;;;;;;1
BrotherLove;;;;1;;;;;1
Brouwhuis Breda B.V.;;;;1;;1;;;1
Bruijn Café B.V.;;;;;;;1;;1
Bruna B.V.;;;;1;;;;;1
Bruna Marsdijk B.V.;;;;;;;1;;1
Bruseco B.V.;;;;;;1;;;1
BS Aviation Training;;;;;;1;;;1
BSI Group The Netherlands B.V.;;;;;;2;;;2
Btje B.V.;;;;;;;1;;1
Budget Tie;;;;1;;;;;1
Buena Vista Beach Club B.V.;;;;;;;1;;1
Buffel B.V.;;;;1;;;;;1
Buijssen Training en Educatie;;;;;;1;;;1
Buijtendijk B.V.;;;;1;;1;;;1
BuitenBusiness B.V.;;;;;;;1;;1
Buitenhoff;;;;;1;;;;1
Buitenomme;1;;;1;;;;;1
Bukman Management;;;;;;;1;;1
Bullit House;;;;;;;1;;1
Bumper Experience;1;;;;;;;;1
Bureau Beckers B.V.;;;;;;1;;;1
Bureau Helderder;;;;;;5;;;5
Bureau Tromp B.V.;;;;;;1;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;;1;;;1
Bureau Wijkwiskunde;;;;;;1;;;1
Bureau Zuidema B.V.;;;;;;2;;;2
Bureautaal B.V.;;;;;;2;;;2
Buro van Oranje;;;;;1;;;;1
BURO2010 B.V.;2;;;1;;;1;;3
Business Fundamentals B.V.;;;;;;1;;;1
Business Marketing Services Opleidingen B.V.;;;;;;1;;;1
Buxus Bloemenatelier;;;;1;;1;;;1
BuzzMaster B.V.;;;;1;;;;;1
bymys;;;;;;;1;;1
By-Pos B.V.;;;;;;;1;;1
C FOR CHARLIE;;;;;3;;;;3
C.V. La Galleria Plein;;;;;;;1;;1
Caap;;;;;;1;;;1
Cable Waterskicenter Brabant B.V.;;;1;;1;;;;1
CACI B.V.;;;;;;4;;;4
Cadeau Concepten B.V.;1;;;;;;;;1
Cadeaubonnen.nl B.V.;;;;2;;;1;;2
Cadmes;;;;;;1;;;1
Cafe 100 Watt;;;;;;;1;;1
Café Bom dia;;;;;;;1;;1
Café Corenmaet;;;;1;;;;;1
Café in 't Zand B.V.;;;;;;;1;;1
Café Party Centrum 'De Deel';;;;;;;1;;1
Café Restaurant De Zwaan B.V.;;;;1;;;;;1
Café Restaurant Rootz B.V.;;;;;;;1;;1
Café-restaurant Bonaparte B.V.;;;;1;;;;;1
Café-Restaurant de Lage Vuursche;;;;;1;;;;1
Café-Restaurant De Westerbouwing B.V.;;;;;;;2;;2
Café-Restaurant 'Grenszicht';;;;;;;1;;1
Café-Restaurant Hofsteenge;;;;1;;;;;1
CAI-Advies B.V.;;;;;;1;;;1
CameraNU.nl;;;;;1;1;;;1
Camina;;;;1;;;;;1
Campanile Hotel Leeuwarden;;;;;;;;1;1
Camping 't Loo B.V.;;;1;;;;;;1
Campus Hotel;;;;;1;;;;1
Capabel Hogeschool;;;;;1;;;;1
Caparis N.V.;;;;;2;;;;2
Capgemini N.V.;;;;;;2;;;2
Capgemini Nederland B.V.;;;;;;3;;;3
Carlton Ambassador Hotel B.V.;;;;1;;;;;1
Carlton Hotels Nederland B.V.;;;;;;1;;;1
Carmako Nederland;;;;;1;;;;1
Castelijn Meubelindustrie B.V.;;;;1;;;;;1
Catering Culinair;;;;;;;1;;1
CB Facturatie B.V.;;;;1;;;;;1
CCB Groep B.V.;;;;;;1;;;1
CED Nederland B.V.;;;;;1;;;;1
Cees Flowershop;;;;1;;;;;1
Center Parcs Netherlands N.V.;;;;;;;3;;3
Centercom Buitenreclame B.V.;;;;;2;;;;2
Centraal Boekhuis B.V.;;;;;;1;;;1
Central Events B.V.;;;;1;;;;;1
Centrale RINO B.V.;;;;;;4;;;4
Centrale Wapenhandel Dorhout Mees B.V.;;;;;;;2;;2
Centralpoint Nijmegen B.V.;;;;;;1;;;1
Centric Netherlands B.V.;;;;;;1;;;1
Centrum voor Conflicthantering B.V.;;;;;;2;;;2
Centrum voor Leiderschap en Inn. ih Ond. B.V.;;;;;;1;;;1
Certified Secure B.V.;;;;;;6;;;6
CertoPlan B.V.;;;;;;1;;;1
CFBT-NL B.V.;;;;;;3;;;3
Challenge Coins;;;;1;;;;;1
Chameleon Associates B.V.;;;;;;1;;;1
Channel Classics Records B.V.;;;;1;;;;;1
Chassé Theater N.V.;;;;2;;;;;2
Chat.hot.-Rest. Havesathe De Havixhorst B.V.;;;;;;;2;;2
China Relations;;;;;;1;;;1
Chinees Indisch Restaurant Shi Woo;;;;1;;;;;1
Chocolaterie Alberdeco;;;;;;;1;;1
Chocolaterie Magdalena;;;;;;;1;;1
Choice en Partners B.V.;;;;;4;;;;4
Ciao Catering;;;;1;;;;;1
Ciao! Ciao! B.V.;;;;;;;1;;1
Cicerones;;;;;;;1;;1
CIMAC Nat. Members Association Netherlands;;;;;;1;;;1
Cinclus Advies en Mediation;;;;1;;;;;1
Cinco Cleaning B.V.;;;;1;;;;;1
CIO Platform Nederland;;;;;;1;;;1
Cloose;;;;;;;1;;1
Cloud Career Services B.V.;;;;;1;;;;1
CLS Computertrainingen;;;;;;2;;;2
Clubstores Sport;;;1;;;;;;1
CM Partners B.V.;;;;;;1;;;1
C-Mark B.V.;;;1;;;;;;1
CMB Badhoevedorp;;;;;;2;;;2
CMDz';;;;;;2;;;2
CN Trading;;;;1;;;;;1
Coachboulevard B.V.;;;;;;2;;;2
Coffeelicious Breda B.V.;;;;;;;1;;1
Colenbrander Halle B.V.;;;;;;;1;;1
College of Multimedia;;;;;;1;;;1
College-Club;;;;;;1;;;1
Collewijn/Mulder opleidingen;;;;;;1;;;1
Colonie Breda;;;;;;1;;;1
Color Wood Photo B.V.;;;;;;1;;;1
Colourfile;;;;2;;;;;2
Combo Producties;;;;1;;;;;1
CommITment B.V.;;;;;1;;;;1
Competence Factory;;;;;;1;;;1
Compliment Lab;;;;;;1;;;1
complimentenmeisjes;;;;;;1;;;1
Compressor Service Techniek B.V.;;;;;;1;;;1
Computer Learning Center;;;;;;1;;;1
Compu'Train;;;;;2;3;;;3
Computrain Opleidingen;;;;;;1;;;1
Con Fuego;;;;1;;;;;1
Concerndrukkerij Almelo;;;;;1;;;;1
Conclusion B.V.;;;;;;1;;;1
Conclusion Core Business B.V.;;;;;;4;;;4
Concorde Group B.V.;;;;;;2;;;2
Conducto Opleidingen B.V.;;;;;;2;;;2
Conferentiehotel Guldenberg;;;;;;;1;;1
Connect 2 Charity;;;;;;1;;;1
Conrad Electronic Benelux B.V.;;;1;1;1;2;1;;2
Consilium Benelux Data Capture Solutions B.V.;;;;;1;;;;1
Cooking Adventure;;;;1;;;;;1
Coolblue B.V.;;;1;1;1;2;;;2
Coöp. Centr. Inst. Verpl.kund. Vervolgopl. UA;;;;;;1;;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;;6;;;6
Coöperatie De Betekenaar UA;;;;;;1;;;1
Coöperatie Interim Bemanning Nederland UA;;;;;;3;;;3
Copini Buitensport B.V.;1;;;;;;1;;1
Copla Opleiding & Training B.V.;;;;;;1;;;1
Coppens Warenhuis;;;;;;;1;;1
Copyshop De Haan;;;;1;;1;;;1
Core Quality B.V.;;;;;;2;;;2
Coronel Kartracing B.V.;;;;;;;1;;1
Cortex B.V.;;;;;;3;;;3
CoThink B.V.;;;;;;2;;;2
Cottus Industrie B.V.;;;;;;1;;;1
Cottus Vakschool B.V.;;;;;;1;;;1
Courius B.V.;;;;;;1;;;1
Crisis Company;;;;;;1;;;1
Crown Music Productions;;;;1;;;;;1
CSR Centrum B.V.;;;;;;2;;;2
CT2U;;;;;;1;;;1
Culinair on Fire;;;;;;;1;;1
Culiversum B.V.;;;;;;1;;;1
Culturalist;;;;;;1;;;1
CuOs eCommerce;;;;;;1;;;1
Curltalk;;;;;;1;;;1
Custom Company;;;;1;;;;;1
Custom Solution B.V.;;;;;;2;;;2
Customeyes B.V.;;;;;2;;;;2
Customiz;;;;;;1;;;1
Customs Knowledge Compliance Services;;;;;;1;;;1
D Hosting;;;;;;1;;;1
D&F Consulting B.V.;;;;;;3;;;3
D.E.V. Emmen B.V.;;;;1;;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;;5;;;5
D: Dreamhal;;;;;2;;;;2
Daan Kookt;;;;;;;1;;1
Dakota Flight Cases;;;;;;;1;;1
DarkPark Zoetermeer;;;;;;;1;;1
Darpo Reklame B.V.;;;;;;;1;;1
Dazelaar Bewindvoering B.V.;1;;;;;;;;1
DC Scharendijke B.V.;;;;;;;1;;1
DDS Druma B.V.;1;;;;;;;;1
De Agile Testers B.V.;;;;;;1;;;1
De Avontuurfabriek Onroerend Goed B.V.;;;;;;;1;;1
De Baak Administratie;;;;;;1;;;1
De Baak Noordwijk B.V.;;;;;;1;;;1
De Beeksehoeve;;;;;;;1;;1
De Belgische Keizer B.V.;;;;;;;1;;1
De Bierkelder Utrecht;;;;1;;;;;1
De Bies Advocatuur;;;;;;;1;;1
De Bloemenplantage B.V.;;;;1;;;;;1
De Bloemenzolder;;;;;;;1;;1
De Bloemerij;;;;1;;;;;1
De Bloemerije;;;;1;;;;;1
De Blokhut;;;;;;;1;;1
De Bodemmakelaar;;;;;1;;;;1
De Bonte Koe Vastgoed B.V.;;;;1;;;;;1
De Bootsmannen B.V.;;;;;;;1;;1
De Bouwplaats;;;;1;;;;;1
De Bowlingboerderij B.V.;;;;1;;;;;1
De Carrièrebus B.V.;;;;;1;;;;1
De Efteling B.V.;;;;3;;;2;;4
De Gezelligheid;;;;;;;1;;1
De Gooische Taxateur;;;;;;1;;;1
De Gouden Ton;;;;1;;;1;;1
De Goudse Lichtfabriek B.V.;;;;;;1;;;1
De Groot Lpmw Lasinstituut;;;;;;1;;;1
De Hoefslag Horecaexploitatie B.V.;;;;;;1;1;;1
De Hoop Lievaart Communicatie;;;;;;1;;;1
De Jong's Roggebrood Bakkerij;;;;;;;1;;1
De Kabouterhut B.V.;;;;;;;1;;1
De Kamer van Buren;;;;;;;1;;1
De Kampanje;;;;1;;2;;;2
De Karpendonkse Hoeve B.V.;;;;;;;1;;1
De Keper - contextuele scholing & begeleiding;;;;;;1;;;1
De Klimvallei B.V.;;;;;;;1;;1
De Knegt & Leeflang B.V.;;;;;;;2;;2
De Koperen Hoogte;;;;1;;;;;1
De Kort Catering B.V.;;;;2;1;1;;;2
DE LANDIJE V.O.F.;;;;;;;1;;1
De Landing;;;;;;;1;;1
De Leemskuilen Uden B.V.;;;1;;;;;;1
De Lisdodde;;;;1;;;;;1
De Nationale Theaterkassa B.V.;;;;;;1;;;1
De Natris Erfgoedprojecten;;;;1;;;;;1
De Nieuwe Yogaschool B.V.;;;;;;4;;;4
de Persgroep Nederland B.V.;1;;;1;;1;;;1
de Plaats Maasbree;;;;;;;1;;1
De Plantage;;;;1;;;;;1
De Prins B.V.;;;;1;;;1;;1
De Projectenloods;;;;;;1;;;1
De Reehorst' B.V.;;;;;;;1;;1
De Roestelberg B.V.;;;;;;;1;;1
De Rotterdam B.V.;;;;1;;;1;;1
De Smaakfabriek;;;;;;;1;;1
De Smelt B.V.;;;;1;1;;;;2
De Soetenco;;;;1;;;;;1
De Tuinderij;;;;;;;1;;1
De Twirre;;;;;;;1;;1
De Utrechtse Haven B.V.;;;;;;;1;;1
De Uytdhaaging;;;;;;1;;;1
De Veestallen;;;;;;1;;;1
De Waldhoorn B.V.;;;;;;;1;;1
De Waterreus;;;;;;;1;;1
De Winkel van Sinkel B.V.;;;;;;;1;;1
De Wolf Maritime Safety;;;;;;1;;;1
Debatacademie;;;;1;;2;1;;2
Decathlon Netherlands B.V.;;;;;1;1;;;1
Deen Winkels B.V.;;;;1;;;;;1
Defabrique Evenementen B.V.;;;;3;1;;2;;4
Defenture B.V.;;;;;;1;;;1
Delirium Café Amsterdam;;;;;1;;;;1
Deloitte Accountants B.V.;;;;;7;;;;7
Deloitte Consulting B.V.;;;;;;2;;;2
Deloitte Group Support Center B.V.;;;;;;4;;;4
Delphindoorski;;;;;;1;;;1
Delta International Promotioneel B.V.;;;;2;1;;1;;3
Delta International Uniformuitrustingen B.V.;;;;2;;1;;;2
DELTA Safety Training;;;;;;3;;;3
Den Besten Kerst- en Relatiegeschenken B.V.;;;;1;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;;;5;;;1;;;5
DENITECH;;;;;;4;;;4
Denk Producties B.V.;;;;;;2;;;2
Destiny Management Consultancy;;2;;;;;;;2
Deventrade B.V.;;;1;;;;;;1
Dewetron Benelux B.V.;;;;;;1;;;1
DialogueTrainer B.V.;;;;;;2;;;2
Dickens Horecabedrijven B.V.;;;;1;;1;1;;1
Diebels Relatiegeschenken B.V.;;;;;;;1;;1
Dierenpark 'Amersfoort' B.V.;;;;;;;1;;1
Digidoc B.V.;;;;;;1;;;1
DigiTaalbedrijf B.V.;;;;;;1;;;1
Dijkstra-Piest B.V.;;;;;;;1;;1
Dinertijd V.O.F.;;;;;;;1;;1
DIOR Opleidingen;;;;;;4;;;4
Dirksen Bedrijfsopleidingen B.V.;;;;;;2;;;2
Dirksen Opleidingen B.V.;;;;;;2;;;2
DISC Factor B.V.;;;;;;1;;;1
Discountoffice.nl B.V.;;;;;;1;;;1
Distinguished;;;;1;;1;1;;2
Divaco Benelux B.V.;;;;1;;;;;1
DJ-Matic B.V.;1;;;;;;;;1
DK Horeca B.V.;;;;1;;;1;;1
Doenederland.nl B.V.;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;;1;;;;;1
Dolfi Laser;;;;1;;;1;;1
Domein De Wijngaardsberg;;;;1;;;;;1
Domstad Evenementen B.V.;;;;;;;1;;1
Donke B.V.;;;;;;;1;;1
Doornse Oranjerie;;;;;;;1;;1
Dopersduin;;;;;;1;;;1
Dotweb Systems B.V.;;;;;;1;;;1
Double You Promotions B.V.;;;;;2;;;;2
Down Under Horecaexploitatie B.V.;;;;;;;1;;1
DPG Media B.V.;;;;1;;;;;1
Dräger Nederland B.V.;;;;;;4;;;4
DRAGT;;;1;;;;;;1
Drankenhandel van Dorst;;;;1;;;;;1
Drankenkabinet Ermelo;;;;;;1;;;1
