;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
anoniem_DEF_794;;;;;;;;;1;;1
anoniem_DEF_796;1;;;;;;;;;;1
anoniem_DEF_797;1;;;;;;;;;;1
anoniem_DEF_799;1;;;;;;;;;;1
anoniem_DEF_80;1;;;;;;;;;;1
anoniem_DEF_800;;;;;;;;;1;;1
anoniem_DEF_806;1;;;;;;;;;;1
anoniem_DEF_808;1;;;;;;;;;;1
anoniem_DEF_810;1;;;;;;;;;;1
anoniem_DEF_813;;;;1;;;;;;;1
anoniem_DEF_815;;1;;;;;;;;;1
anoniem_DEF_820;1;;;;;;;;;;1
anoniem_DEF_822;1;;;;;;;;;;1
anoniem_DEF_826;1;;;;;;;;;;1
anoniem_DEF_83;;;;;;;;;3;;3
anoniem_DEF_830;1;;;;;;;;1;;1
anoniem_DEF_834;;1;;;;;;;;;1
anoniem_DEF_838;;1;;;;;;;;;1
anoniem_DEF_842;1;;;;;;;;;;1
anoniem_DEF_844;;1;;;;;;;;;1
anoniem_DEF_848;1;;;;;;;;;;1
anoniem_DEF_850;1;;;;;;;;;;1
anoniem_DEF_853;;1;;;;;;;;;1
anoniem_DEF_857;1;;;;;;;;;;1
anoniem_DEF_858;1;;;;;;;;;;1
anoniem_DEF_859;1;;;;;;;;;;1
anoniem_DEF_861;1;;;;;;;;;;1
anoniem_DEF_863;1;;;;;;;;;;1
anoniem_DEF_865;1;;;;;;;;;;1
anoniem_DEF_868;1;3;;;;;;;3;;4
anoniem_DEF_869;1;;1;;;;;;;;1
anoniem_DEF_871;1;2;;;;;;;1;;2
anoniem_DEF_873;1;;;;;;;;;;1
anoniem_DEF_876;1;;;;;;;;;;1
anoniem_DEF_877;;2;;;;;;;;;2
anoniem_DEF_879;1;;;;;;;;;;1
anoniem_DEF_88;1;;;;;;;;;;1
anoniem_DEF_881;1;;;;;;;;;;1
anoniem_DEF_882;1;;;;;;;;;;1
anoniem_DEF_884;1;;;;;;;;;;1
anoniem_DEF_885;1;;;;;;;;;;1
anoniem_DEF_890;1;;;;;;;;;;1
anoniem_DEF_894;1;1;;;;;;;;;1
anoniem_DEF_901;1;;;;;;;;;;1
anoniem_DEF_905;1;1;;;;;;;;;1
anoniem_DEF_906;1;;;;;;;;;;1
anoniem_DEF_908;1;;;;;;;;;;1
anoniem_DEF_910;;1;;;;;;;;;1
anoniem_DEF_915;3;;;;;;;;;;3
anoniem_DEF_919;;;;;;;;;3;;3
anoniem_DEF_920;;;1;;;;;;;;1
anoniem_DEF_924;;1;;;;;;;1;;1
anoniem_DEF_927;1;;;;;;;;;;1
anoniem_DEF_929;1;;;;;;;;;;1
anoniem_DEF_93;1;;;;;;;;;;1
anoniem_DEF_933;1;;;;;;;;;;1
anoniem_DEF_936;3;;;;;;;;1;;3
anoniem_DEF_94;;;;;;;;;2;;2
anoniem_DEF_941;1;1;;;;;;;1;;1
anoniem_DEF_947;1;1;;;;;;;;;1
anoniem_DEF_948;1;;;;;;;;;;1
anoniem_DEF_949;5;3;;;;;;;1;;5
anoniem_DEF_95;1;;;;;;;;;;1
anoniem_DEF_951;1;;;;;;;;;;1
anoniem_DEF_956;1;;;;;;;;;;1
anoniem_DEF_958;;1;;;;;;;;;1
anoniem_DEF_96;1;;;;;;;;;;1
anoniem_DEF_962;1;;;;;;;;;;1
anoniem_DEF_966;1;;;;;;;;;;1
anoniem_DEF_969;1;;;;;;;;;;1
anoniem_DEF_971;;1;;;;;;;;;1
anoniem_DEF_975;1;;;;;;;;;;1
anoniem_DEF_977;;;;;;;;;1;;1
anoniem_DEF_978;;1;;;;;;;;;1
anoniem_DEF_98;1;;;;;;;;;;1
anoniem_DEF_986;1;;;;;;;;;;1
anoniem_DEF_988;1;;;;;;;;;;1
anoniem_DEF_992;;1;;;;;;;;;1
anoniem_DEF_995;1;;;;;;;;;;1
anoniem_DEF_996;1;;;;;;;;;;1
anoniem_DEF_998;1;;;;;;;;;;1
Antargaz Nederland B.V.;1;;;;;;;;;;1
Antratek Electronics;1;;;;;;;;;;1
ANWB-Rijopleiding;1;;;;;;;;;;1
AO Core B.V.;2;;;;;;;;1;;2
Ap-Art;1;;;;;;;;;;1
Apex Global B.V.;1;;;;;;;;4;;4
Apothekers Combinatie Coevorden B.V.;1;;;;;;;;;;1
Applied Research Laboratory Eur. (ARLE) B.V.;4;;;;;;;;3;;4
APS Squadron Patches B.V.;2;;;;;;;;1;;2
Aqua Experience Kymo;1;;;;;;;;;;1
Aquemini B.V.;1;;;;;;;;;;1
Aragorn Service;1;;;;;;;;;;1
Architektenburo en Bouwburo Coors B.V.;;;;;;;;7;;;7
Arion;1;;;;;;;;;;1
Arjen Organiseert;1;;;;;;;;;;1
Arjo Nederland B.V.;1;;;;;;;;;;1
Artful Leadership B.V.;1;;;;;;;;;;1
Artiestenverloningen B.V.;2;;;;;;;;;;2
Artifac B.V.;1;;;;;;;;;;1
Artihove Regina B.V.;1;1;;;;;;;;;1
Artnic;;;;;;;;;;1;1
Asav Hef- en Hijstechniek B.V.;1;;;;;;;;;;1
Asecos B.V.;;;;;;;;;2;;2
ASH Carrosserie B.V.;;;;;;;;;2;;2
Asito B.V.;;;;4;;;;;;;4
ASP Adventure B.V.;;1;;;;;;;;;1
Assa Abloy Hospitality Benelux B.V.;1;;;;;;;;1;;1
Asset Manag. Control Tools & Training B.V.;1;;;;;;;;;;1
Asu B.V.;1;;;;;;;;;;1
ASV Automobielbedrijven B.V.;2;;;;;;;;;;2
At Computing B.V.;1;;;;;;;;;;1
Atal B.V.;2;;;;;;;;;;2
Atelier Schinkel;1;;;;;;;;;;1
Atimo Nederland B.V.;1;;;;;;;;;;1
Atlas Copco Internationaal B.V.;;;;;;;;;4;;4
Atlas Copco Tools Nederland;1;;;;;;;;1;;1
ATP Business Travel B.V.;1;;;;;;;;;;1
Audio Based;1;;;;;;;;;;1
Audion Elektro B.V.;;;;;;;;;2;;2
Audipack Produktie B.V.;;;;;;;;;2;;2
Autec Hefbruggen B.V.;;;;;;;;;2;;2
Authentiek leiderschap B.V.;1;;;;;;;;;;1
Autobedrijf Wolters & Wolters;1;;;;;;;;;;1
Autohaas Lease;1;;;;;;;;;;1
Automator B.V.;;;;;;;;;1;;1
Autoplex Zevenaar B.V.;2;;;;;;;;;;2
Auto's & Scooters;1;;;;;;;;;;1
Autoverhuur Bultman B.V.;1;;;;;;;;;;1
AV Brothers B.V.;1;;;;;;;;;;1
Avablooms Flowers & More;1;;;;;;;;;;1
Avantgarde Media;1;;;;;;;;;;1
AVEQ show, theatre & congress facilities B.V.;;;;;;;;;1;;1
Avera Distributing;1;;;;;;;;;;1
Avex B.V.;1;;;;;;;;;;1
AVR-Afvalverwerking B.V.;1;;;;;;;;;;1
Aworkx Workwear;2;;;;;;;;;;2
Axces B.V.;1;;;;;;;;;;1
Axiell ALM Netherlands B.V.;1;;;;;;;;;;1
AXIT Automatisering B.V.;1;;;;;;;;;;1
Axitraxi B.V.;1;1;;;;;;;;;1
AyTo Promo;1;;;;;;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;1;2;;;;;;;;;2
Azerty;1;;;;;;;;;;1
Azerty Large Accounts B.V.;1;;;;;;;;;;1
B&M Service B.V.;;;;;;;;;4;;4
B.V. Algemeen Nederlands Persbureau ANP;1;;;;;;;;;;1
B.V. Algemeen Verpakkings Centrum A.V.C.;1;;;;;;;;;;1
B.V. Eerste Hulp Dichtbij!;;;;;;;;;1;;1
B.V. Hillegomsche Houthandel;3;;;;;;;;;;3
B.V. Holl. Medi-Serv./Inf.-Displayservices;1;;;;;;;;;;1
B.V. Leeuwbouw;1;;;;;;;;;;1
B.V. Ned. Instrumenten Compagnie 'Nedinsco';1;;;;;;;;;;1
B.V. Rederij G. Doeksen en Zonen;1;;;;;;;;;;1
B.V. Rubberindustrie E.B.O.;1;;;;;;;;;;1
B.V. se Conduire;;;;;;;;;1;;1
B.V. Sport;1;;;;;;;;;;1
B.V. Technisch Bureau Duspra;1;;;;;;;;;;1
B.V. Twimva;1;;;;;;;;;;1
B.V. Verenigde Kunststof Bedrijven (V.K.B.);;;;;;;;;1;;1
B.V.D.A. International B.V.;1;;;;;;;;2;;2
B+B Vakmedianet B.V.;1;;;;;;;;;;1
B4ict Services B.V.;2;;;;;;;;;;2
B55;1;;;;;;;;;;1
Backshop B.V.;;;;;;;;1;;;1
Badges Unlimited;1;;;;;;;;1;;1
Baetsen Containers B.V.;1;;;;;;;;;;1
Bakker Brandstoffen;1;;;;;;;;;;1
Bakker Geluidsverhuur;;;;;;;;1;;;1
Bakker Magnetics B.V.;1;;;;;;;;;;1
Bakker Van de Kletersteeg;;1;;;1;;;;;;2
Bakkerij Boonstra;;1;;;;;;;;;1
Bakkers Brigade B.V.;1;7;;;;;;;;;7
Balans Automatisering;1;;;;;;;;;;1
Banketbakkerij Teurlings B.V.;;1;;;;;;;;;1
Banketbakkerij van Asselt B.V.;1;;;;;;;;;;1
Bar IJsselhal;1;;;;;;;;;;1
Bar Restaurant Pavlov B.V.;;1;;;;;;;;;1
Bark Verpakkingen B.V.;;;;;;;;;1;;1
Barkasbus;;1;;;;;;;;;1
Barletta B.V.;1;;;;;;;;;;1
Barlucca;;1;;;;;;;;;1
Barrera B.V.;;;1;;;;;;;;1
Bastion Hotel Breda B.V.;1;;;;;;;;;;1
Bastion Hotel Leeuwarden B.V.;;2;;;;;;;;;2
Baton Music;1;;;;;;;;;;1
Bauerfeind Benelux B.V.;1;;;;;;;;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;1;;;;;;;;4;;4
Bax-shop.nl B.V.;1;;;;;;;2;;;2
Bazelmans Audio Visual Rentals;1;;;;;;;;;;1
BBQ Hotline;;1;;;;;;;;;1
BBQ King;1;;;;;;;;;;1
BCB B.V.;1;;;;;;;;;;1
BCC (Elektro-Speciaalzaken) B.V.;1;;;;;;;;;;1
BCD Travel Nederland B.V.;1;;;;;;;;;;1
Beat It B.V.;2;;;;;;;;;;2
Bechtle direct B.V.;1;;;;;;;;;;1
Beckers Percussion;1;;;;;;;;;;1
Bedia Support;1;;;;;;;;;;1
Bedrijfskleding Handelshuis;;;;;;;;;1;;1
BeeDirect B.V.;4;;;;;;;;;;4
Beeldspraak;1;;;;;;;;;;1
Bee-Line B.V.;1;;;;;;;;;;1
BeeTronics B.V.;1;;;;;;;;;;1
BeGlobal Relatiegeschenken;1;;;;;;;;;;1
Beinspired2;1;;;;;;;;;;1
Beker- en Biljarthuis Lambregts V.O.F.;1;;;;;;;;;;1
BekkerLaGram Waalwijk B.V.;1;;;;;;;;;;1
Bema Kunststoffen B.V.;;;;;;;;;3;;3
Benders B.V.;;;;;;;;1;;;1
Bendertechniek B.V.;;;;;;;;;2;;2
Benegas;1;;;;;;;;;;1
Benelux NDT & Inspection Supplies B.V.;1;;;;;;;;;;1
Be-O Bottle B.V.;1;;;;;;;;;;1
Berdex Carross.- en Handelsonderneming B.V.;1;;;;;;;;;;1
Bergers Interieurs B.V.;;;;;;;;1;;;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;2;;;;;;;;;;2
Berko Noord B.V.;;;;;;;;;1;;1
BERRT Allroad motor reizen en trainingen;1;;;;;;;;;;1
Bestenzet Printing B.V.;1;;;;;;;;;;1
Besthoma Trading International B.V.;1;;;;;;;;;;1
Bestuursacademie Nederland Opleidingen B.V.;1;;;;;;;;;;1
Betam Truck & Carwash;1;;;;;;;;;;1
Bevahuis V.O.F.;1;;;;;;;;;;1
Bever B.V.;2;;;;;;;;5;;5
BHG Randstad II B.V.;;1;;;;;;;;;1
BHV Centrale B.V.;;;;;;;;;1;;1
Bhv-Specialist.Nl;1;;1;;;;;1;1;;1
BHVstore.nl;;;2;;;;;;;;2
Bieling Zeefdruk B.V.;1;;;;;;;;;;1
Bierbrouwerij De Koningshoeven B.V.;;1;;;;;;;;;1
Big Boulder;1;;;;;;;;;;1
BIGA B.V.;;;;;;;;;6;;6
BIGA Groep B.V.;1;;;;;;;;3;;3
BigBrands B.V.;;;;;;;;2;;;2
BIGproductions;3;;;;;;;;;;3
BijMij;1;;;;;;;;1;;1
bijzonderdruk B.V.;1;1;;;;;;;1;;1
BijzonderStrafrecht B.V.;;1;;;;;;;;;1
Biker Outfit B.V.;1;;;;;;;;;;1
Bikeshop Amersfoort B.V.;1;;;;;;;;;;1
Bilderberg Europa Hotel Scheveningen;;1;;;;;;;;;1
Bilderberg Hotel 't Speulderbos;;1;;;;;;;;;1
Bilderberg Parkhotel Rotterdam;1;;;;;;;;;;1
Bilderberg Wolfheze B.V.;1;1;;;;;;;;;1
Binkert;1;;;;;;;;;;1
Binnen Markt;;1;;;;;;;;;1
Bintra;;;;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;2;;;;;;;;;;2
bisou B.V.;;1;;;;;;;;;1
Bistro De Zoete Inval V.O.F.;;1;;;;;;;;;1
Bistro D'Ouwe Leeuw;;1;;;;;;;;;1
Bistro Pampus;;1;;;;;;;;;1
Bizzwear Facilities B.V.;;;;;;;;;4;;4
BKS Service B.V.;;;;;;;;;2;;2
BL Engineering;1;;;;;;;;;;1
Black Box International B.V.;1;;;;;;;;;;1
Blanchard International B.V.;1;;;;;;;;;;1
Blickle Wielen B.V.;1;;;;;;;;;;1
Block Interieur Design;;;;;;;;1;;;1
BLOEM!;1;1;;;;;;;;;2
Bloembinderij de Korenschoof;;;;;1;;;;;;1
Bloemboetiek Dille;;1;;;;;;;1;;1
Bloemenboutique Nicole V.O.F.;1;1;;;;;;;;;1
Bloemenhuis Vink;;1;;;;;;;;;1
Bloemenkas Eindhoven;1;;;;;;;;;;1
Bloemenkiosk Snijder';1;;;;;;;;;;1
Bloemenmagazijn Johan;;1;;;;;;;;;1
Bloemennis;;;;;;;;1;;;1
BloemenNoord;;1;;;;;;;;;1
Bloemformule 55 B.V.;1;;;;;;;;;;1
Bloemisterij Labberton B.V.;1;1;;;;;;1;;;1
Bloemsierkunst Dorpmans;;1;;;;;;;;;1
Bloemsierkunst Halfman V.O.F.;;;;;;;;1;;;1
Blok Filters B.V.;;;;;;;;;1;;1
Blommetje van Blom;1;1;;;;;;;1;;1
Blomsma Print & Sign B.V.;1;;;;;;;;2;;2
Bloom Flowerstudio;;1;;;;;;;;;1
blooming hotel en conferentielandgoed B.V.;;1;;;;;;;;;1
Blue Shell B.V.;1;;;;;;;;;;1
Bluekens Truck en Bus B.V.;1;;;;;;;;;;1
BMN Bouwmaterialen B.V.;2;;;;;;;;;;2
BMT Fire & Rescue B.V.;;;2;;;;;;;;2
Boasso Global Netherlands B.V.;1;;;;;;;;;;1
Bob B.V.;1;;;;;;;;;;1
BOBBI'S BAR B.V.;;1;;;;;;;;;1
Boca Kaarsen Groep B.V.;;1;;;;;;;1;;1
Böcker Nederland B.V.;;;;;;;;;1;;1
Boek- en Kantoorboekhandel Plukker B.V.;1;;;;;;;;;;1
Boeketcadeau.nl;1;;;;;;;;;;1
Boeketterie Binnenweg;1;;;;;;;;;;1
Boekhandel De Slegte Leiden B.V.;1;;;;;;;;;;1
Boekhandel en Drukkerij Van den Munckhof B.V.;1;;;;;;;;;;1
Boels Verhuur;2;;;;;;;1;1;;2
Boels Verhuur Assen;1;;;;;;;;;;1
Boels Verhuur Eindhoven;1;;;;;;;;;;1
Boerhof Projectinrichters;1;;;;;;;;;;1
Boertien Vergouwen Overduin B.V.;1;;;;;;;;;;1
Boes Almelo Lastechniek B.V.;1;;;;;;;;;;1
Bogart B.V.;1;;;;;;;;;;1
Bonnema Watersport B.V.;1;;;;;;;;;;1
Boom B.V.;1;;;;;;;;;;1
Boom uitgevers Amsterdam B.V.;2;;;;;;;;;;2
Boon Schoen- en Sleutelservice Amersfoort;;;;;;;;1;;;1
Boonstra Retail B.V.;1;1;;;;;;;;;1
Boot & Stuurliedencoöp. 'De Koperen Ploeg' WA;1;;;;;;;;;;1
Borduren & meer;1;;;;;;;;;;1
Borduur Tekst Apeldoorn;1;;;;;;;;;;1
Bosan B.V.;;;;;;;;;5;;5
Bosch Rexroth B.V.;;;;;;;;;1;;1
Bossec-Technics;;;;;;;;2;;;2
Botenverhuur De Rijnstroom;1;;;;;;;;;;1
Boterhal;1;;;;;;;;;;1
Boterwaag Den Haag B.V.;;1;;;;;;;;;1
Bouwcenter Filippo B.V.;1;;;;;;;;;;1
Bouwhekken Nederland B.V.;1;;;;;;;;;;1
Bouwmarkt Elburg B.V.;1;;;;;;;;;;1
Bouwmaterialenhandel Het Klooster B.V.;1;;;;;;;;;;1
Bovendonk Beheer B.V.;;1;;;;;;;;;1
Bovenkade 1 B.V.;;1;;;;;;;;;1
BP Europa SE - BP Nederland;1;;;;;;;;;;1
BPI Services B.V.;;;;;;;;;3;;3
BPS International B.V.;1;;;;;;;;;;1
Bracamonte Convenient Kitchen B.V.;;6;;;;;;;;;6
Brand Commerce B.V.;1;;;;;;;;;;1
Brandenburg Industry Service Specials;1;;;;;;;;;;1
Brapewo;1;;;;;;;;;;1
Brasserie de Berk B.V.;1;;;;;;;;;;1
Brasserie Waalhaven;;1;;;;;;;;;1
Bredemeijer Group B.V.;1;;;;;;;;;;1
Bredenoord B.V.;1;;;;;;;;1;;1
Breeland B.V.;1;;;;;;;;;;1
Brekupa Technics B.V.;1;;;;;;;;1;;1
Breukelaar Horeca Exploitatie B.V.;;1;;;;;;;;;1
Breur IJzerhandel Vlietlaan B.V.;;;;;;;;;1;;1
Brezan Automaterialen Goes;1;;;;;;;;;;1
Brezo-Elan B.V.;1;;;;;;;;;;1
Bribus B.V.;2;;;;;;;;;;2
Bright Events;;1;;;;;;;;;1
Brink Industrial B.V.;;;;;;;5;;;;5
Brink Management/Advies;1;;;;;;;;;;1
Britline;1;;;;;;;;;;1
Broeke Logistieke Dienstverlening;1;;;;;;;;;;1
Broekmans en van Poppel B.V.;1;;;;;;;;;;1
Bron Gascare B.V.;1;;;;;;;;3;;3
Bron Snijder wonen en slapen;;;;;;;;1;;;1
Bronsheim Music;1;;;;;;;;;;1
Brood en Banket Aalbertsen;1;;;;;;;;;;1
Brouwer Motors B.V.;1;;;;;;;;;;1
Brouwer Units en Wagenbouw B.V.;2;;;;;;;;;;2
Brouwerij Tamesteut;;1;;;;;;;;;1
Brouwhuis Breda B.V.;;1;;;;;;;;;1
Bruijn Café B.V.;1;;;;;;;;;;1
Brunschwig Chemie B.V.;;;2;;;;;;;;2
Bruynzeel Storage Systems B.V.;1;;;;;;;;;;1
BSI Group The Netherlands B.V.;2;;;;;;;;;;2
BSS Holland B.V.;5;;;;;;;;;;5
BTTLNS B.V.;1;;;;;;;;;;1
Bucky's Catering B.V.;1;;;;;;;;;;1
Budget Rent a Car;2;;;;;;;;;;2
Buffalo.nl B.V.;;1;;;;;;;;;1
Buffel B.V.;1;;;;;;;;;;1
BührmannUbbens;;;;;;;;;1;;1
Buijtendijk B.V.;6;;;;;;;1;;;6
buiskoppelingshop.nl;1;;;;;;;;;;1
Buitenkado;1;;;;;;;;;;1
Buitenomme;1;;;;;;;;;;1
Bulletproof Wear B.V.;;;;;;;;;3;;3
Bumax B.V.;1;;;;;;;;;;1
Bumper Experience;1;;;;;;;;;;1
Bunzl Verpakkingen Arnhem B.V.;1;;;;;;;1;6;;6
Burger Ferry Agencies B.V.;2;;;;;;;;;;2
Burger's Dierenhotel Egmond;1;;1;;;;;;;;1
Buro van Oranje;1;;;;;;;;;;1
Burson-Marsteller;1;;;;;;;;;;1
Burtec B.V.;1;;;;;;;;;;1
Bus' Handelmaatschappij B.V.;;;;;;;;;2;;2
Busch B.V.;1;;;;;;;;;;1
Buss Terminal Eemshaven B.V.;1;;;;;;;;1;;1
Buurjongens;1;;;;;;;;;;1
Buveco Gasdetection B.V.;1;;;;;;;;;;1
Buxus Bloemenatelier;1;;;;;;;;;;1
BuzzMaster B.V.;1;1;;;;;;;;;1
BV Expl. Pleisterplaatsen langs Autosnelwegen;;1;;;;;;;;;1
BV&T Opleiding & Advies;1;;;;;;;;;;1
BVGO B.V.;1;;;;;;;;;;1
By-Pos B.V.;1;;;;;;;;;;1
C. R. Bard Netherlands Sales B.V.;1;;;;;;;;;;1
C.J. Agencies B.V.;1;;;;;;;;;;1
Cabin Care B.V.;;;;;;;;;1;;1
Cadeau Concepten B.V.;;1;;;;;;;;;1
Cadeaubonnen.nl B.V.;1;;;;;;;;;;1
Cadeau-Bouguet-Poterie 'Bon Ami';;;;;;;;1;;;1
Café Restaurant 't Voske;;1;;;;;;;;;1
Café Zomers & Zomers;;1;;;;;;;;;1
Café-Restaurant de Lage Vuursche;1;1;;;;;;;;;1
Café-Restaurant De Westerbouwing B.V.;;2;;;;;;;;;2
CAI-Advies B.V.;1;;;;;;;;;;1
Caiway;1;;;;;;;1;;1;1
CaJa Music;1;;;;;;;;;;1
Camera Tools B.V.;1;;;;;;;;;;1
CameraNU.nl;4;;;;;;;;1;;4
Camping De Hei;1;;;;;;;;;;1
Camping 'It Wiid' B.V.;;;;;;;;1;;;1
Camping Wittelterbrug V.O.F.;;1;;;1;;;;;;1
Cannibale Lange Niezel B.V.;;1;;;;;;;;;1
Canon Nederland;;;;;;;;;1;;1
Canon Nederland N.V.;2;;;;;;;;;;2
Canonline B.V.;;;;;;;;;1;;1
CanvasCompany.nl B.V.;1;;;;;;;;;;1
Capgemini N.V.;1;;;;;;;;;;1
Capgemini Nederland B.V.;2;;;;;;;;;;2
Carberto;;;;;;;;;1;;1
Card Vision B.V.;1;;;;;;;;;;1
Cardio Solutions B.V.;1;;;;;;;;;;1
cards PLM Solutions B.V.;1;;;;;;;;;;1
Care4More B.V.;;;;;;;;;1;;1
CarePack Holland B.V.;1;;;;;;;;4;;4
Cargo Masters B.V.;1;;;;;;;;;;1
Cargo Security Systems B.V.;2;;;;;;;;;;2
Carl Zeiss B.V.;1;;;;;;;;;;1
CaroCare Nederland B.V.;1;;;;;;;;;;1
Cartal Schagen;1;;;;;;;;;;1
CARU Containers B.V.;1;;;;;;;;;;1
CASA Nederland B.V.;1;;;;;;;;;;1
Casino4events;1;;;;;;;;;;1
Castelijn Meubelindustrie B.V.;;;;;;;;1;;;1
Catering Frisco;;1;;;;;;;;;1
CC Nederland B.V.;;;;;;;;;;1;1
CDM-bedrijfskleding.nl;1;;;;;;;;;;1
CD-Rom-Land B.V.;1;;;;;;;;;;1
Cedere B.V.;;;;;;;;1;;;1
Ceezicht Huisduinen;;1;;;;;;;;;1
CELECTRIC B.V.;1;;;;;;;;1;;1
Cellumica Kunststoffen;1;;;;;;;;;;1
Center Parcs Netherlands N.V.;1;;;;;;;;;;1
Centix B.V.;1;;;;;;;;;;1
Central Point Nederland B.V.;1;;1;;;;;;1;;1
Centrale Dienstapotheek Eindhoven B.V.;1;;;;;;;;;;1
Centralpoint Nijmegen B.V.;4;;;;;;;1;2;;4
Centrenet;1;;;;;;;;;;1
Certified Secure B.V.;1;;;;;;;;;;1
Challenge Coins;1;;;;;;;;1;;1
Charp FoodServices;;1;;;;;;;;;1
CheetahCenter;2;;;;;;;;;;2
Chemetall B.V.;;;;;;;;;2;;2
Chinees Indisch Restaurant 'De Chinese Muur';;;;;;;;;1;;1
CHS Special Products B.V.;2;;;;;;;;;;2
Ciao Catering;;1;;;;;;;;;1
Ciao! Ciao! B.V.;;1;;;;;;;;;1
Cikam B.V.;1;;;;;;;;;;1
Cinclus Advies en Mediation;1;;;;;;;;;;1
Circle Graphics;;;;;;;;1;;;1
Cirkel Cleaning B.V.;1;;;;;;;;;;1
Citygis B.V.;1;;;;;;;;;;1
Clean2day;1;;;;;;;;;;1
Cleaning Consultancy Delft;;;;;;;;;1;;1
Climalife Dehon;1;;;;;;;;;;1
Cloose;1;;;;;;;;;;1
Club Pellikaan Apeldoorn B.V.;1;;;;;;;;;;1
CM Telecom B.V.;1;;;;;;;;;;1
CMA-CGM (Holland) B.V.;;;;;;;;;;1;1
C-Mill B.V.;;1;;;;;;;;;1
CN Trading;2;;;;;;;;;;2
CNC-Consult & Automation B.V.;;;;;;;;;1;;1
COBBS Industries B.V.;5;;;;;;;;5;;6
Collé Sittard Verhuur B.V.;1;;;;;;;;;;1
Colonie Breda;;1;;;;;;;;;1
Color Wood Photo B.V.;1;;;;;;;;1;;1
CombiCraft B.V.;1;;;;;;;;;;1
Combigas B.V.;1;;;;;;;;;;1
Com-Connect B.V.;1;;;;;;;;;;1
Comcross;1;;;;;;;;;;1
Commercial Interieur Service B.V.;;;;;;;;1;;;1
Company7 - De Reclamemakers;1;;;;;;;;;;1
Compass Group Nederland B.V.;;5;;;;;;;;;5
Complete Store Van Dijk B.V.;1;;;;;;;;;;1
ComPlus B.V.;;;;;;;;;1;;1
Compressor Service Techniek B.V.;1;;;;;;;;1;;1
Computacenter;1;;;;;;;;;;1
Computrain Opleidingen;1;;;;;;;;;;1
Con Fuego;;1;;;;;;;;;1
Concept2 Benelux B.V.;;;;;;;;;1;;1
Conel B.V.;;;;;;;;;1;;1
Confectiefabriek 'De Berkel' B.V.;1;;;;;;;;;;1
Conferentiehotel Guldenberg;;1;;;;;;;;;1
Conrad Electronic Benelux B.V.;4;1;1;;;;;1;1;;4
Constructor Dexion Holland B.V.;2;;;;;;;;4;;4
Contimeta B.V.;1;;;;;;;;;;1
Control Risks Benelux B.V.;4;;;;;;;;;;4
Coolblue B.V.;5;;;;;;;1;2;;5
Coolmark B.V.;;;;;;;;1;;;1
Coolworld Nederland B.V.;;;;;;;;1;1;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;1;;;;;;;;;;1
Coöperatie Primera BA;1;;;;;;;;;;1
Coöperatieve Rabobank UA;1;;;;;;;;;;1
Copijn Realisatie B.V.;;;;;;;;1;;;1
Copoint Electronics B.V.;;;;;;;;;2;;2
Cordstrap B.V.;;;;;;;;;2;;2
Cormet Enjoy the Good Life B.V.;1;;;;;;;;;;1
Cornelese Technical Systems B.V.;2;;;;;;;;;;2
Cornelissen Transport;1;;;;;;;;;;1
Cortex B.V.;1;;;;;;;;;;1
Cosetec B.V.;;;;;;;;;1;;1
Cousijnsen Tenten B.V.;1;;;;;;;;;;1
Covebo Techniek;1;;;;;;;;;;1
Crea-Style Interieur;1;;;;;;;;;;1
Creemers Compressors B.V.;;;;;;;;;1;;1
CRF International B.V.;2;;;;;;;;;;2
CSN Card Service Nederland B.V.;1;;;;;;;;;;1
CSU B.V.;2;;;7;;;;;;;7
C-TIN Camerabewaking;1;;;;;;;;;;1
CTS Nederland B.V.;1;;;;;;;;;;1
Culinair on Fire;;1;;;;;;;;;1
Cura Mortu Orum Mortuariabeheer B.V.;1;;;;;;;;;;1
CURA Safety Solutions B.V.;1;;;;;;;;;;1
Custers Hydraulica B.V.;;;;;;;;;1;;1
CWN Spuitcabines Service & Onderhoud B.V.;;;;;;;;;1;;1
Cyberdance Sound & Light;;1;;;;;;;;;1
Cyklop Nederland B.V.;1;;;;;;;;2;;2
Cystac;2;;;;;;;1;1;;2
D Hosting;1;;;;;;;;;;1
D.A.M. Participaties B.V.;;;1;;;;;;1;;1
D.A.P. 't Harde Ven;;;1;;;;;;;;1
D.D.S. Electronics Europe B.V.;2;;;;;;;;;;2
D.E.G. Nederland B.V.;2;;;;;;;;;;2
D.E.V. Emmen B.V.;1;;;;;;;;;;1
D.H.T.C. Den Helder Training Centre B.V.;1;;;;;;;;;;1
Da Capo Orchestral Audio B.V.;1;;;;;;;;;;1
Daan Kookt;;1;;;;;;;;;1
