Leverancier;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS specifiek;Eindtotaal
Synergy Health Ede B.V.;;;;;;4;4
Synergy Health Holding B.V.;;;;;;3;3
Sysmex Nederland B.V.;;1;3;;;;3
T. Service;;1;1;;;;1
Takara Bio Europe SAS;;1;;;;;1
Tauw B.V.;;;;;2;;2
Taylor & Francis Books Ltd.;;1;;;;;1
TD Consultatie & Advies;;;;;1;;1
Tecan Benelux B.V.B.A.;;;2;;;;2
Techn. Advies- en Handelsburo J.J. Bos B.V.;;;3;;;;3
Technische Unie B.V.;;1;1;;;;2
Tecnilab-BMI B.V.;;1;2;1;;;2
Terra Nostra B.V.;;;;;2;;2
Testo;;1;;;;;1
Teva Nederland B.V.;;;;;;1;1
The Baker Company Benelux B.V.;;1;3;;;;3
The Global Antibiotic Research and Development Partnership Foundation;;;;;;6;6
Thermo Fisher Scientific B.V.;;1;2;;;;2
Thijs Weitkamp;;;;;;4;4
Tialda Bouwman Consultancy;;;;;3;;3
TIB MOLBIOL Syntheselabor GmbH;;;;;;6;6
Tinqwise B.V.;;;;;1;;1
TNO B.V.;7;;;;5;;7
TNT Express Nederland B.V.;;1;;;;;1
Tosca Medisch Interim OK B.V.;;;;;;7;7
Tpf Control B.V.;;;1;;;;1
Trimbos-instituut;;;;;1;;1
Triskelion B.V.;3;;;;;;3
Tygron B.V.;;;;;1;;1
UgenTec N.V.;;;;;;3;3
UniTech Services B.V.;;1;;;;;1
Universitätsklinikum Düsseldorf;;1;;;;;1
Uno;;1;;;;;1
UserNeeds;;;;;;2;2
VacO2med B.V.;;;;;;3;3
Vaisala Oyj;;1;;;;;1
Van der Laan, Gryglicki & Partners B.V.;;;;;2;;2
Van Schie B.V.;;;1;;;;1
Van Swinden Laboratorium;;1;1;;;;2
Van Veldhuijzen-Boxmeer;;;1;;;;1
Vanberkel Professionals Holding B.V.;;;;;;3;3
VCK Logistics Airfreight B.V.;;;;;;3;3
VCK Travel B.V.;;;;;;2;2
VCMI N.V.;;;1;;;;1
VDL Wientjes Roden B.V.;;;;;;2;2
VDW CoolSystems B.V.;;;1;;;;1
Veiligheidstechniek Nederland B.V.;;;1;;;;1
Veip B.V.;;1;;;;;1
Ventinova Medical B.V.;;;;;;7;7
Verhaar Gebeko;;;2;;;;2
Vicrea Solutions B.V.;;;;;1;;1
Vipack B.V.;;;;;;7;7
Vito;;;;;2;;2
VITROCELL Systems GmbH;;1;;;;;1
Vivisol Nederland B.V.;;;;;;7;7
Voedingscentrum Nederland;;;;;2;;2
VSG;2;;;;;;2
VWR International B.V.;;7;4;;;;7
Wageningen Plant Research;;;;;5;;5
Wageningen Research Holding B.V.;;;;;5;;5
Waters Chromatography B.V.;;2;1;;;;2
Webhelp Nederland B.V.;;;;;;5;5
WEP Clinical;;;;;;5;5
Werfen B.V.;;1;1;;;;1
Westburg B.V.;;2;1;;;;2
Wetgevingswerken B.V.;;;;;;2;2
Wielinq B.V.;;;;;;2;2
Wieringa Advocaten;;;;;;2;2
Wiley Subscription Services Inc.;;;;;1;;1
Wilten Instrumenten;;;1;;;;1
WING Process Consultancy B.V.;;;;;1;;1
Wise Consulting;;;;;;2;2
Witters Veiligheid;;;;;2;;2
Wolterinck B.V.;;;;;1;;1
World Precision Instruments Germany GmbH;;1;1;;;;1
Wortell System Integrations & Services B.V.;;;;;;3;3
WVM Elektrotechniek B.V.;;;3;;;;3
Wyatt Technology Europe;;;4;;;;4
Xin Yang International B.V.;;;;;;2;2
YVSOLAB NV/SA;;;;;1;;1
Z Index B.V.;;;;;;1;1
Zetes B.V.;;1;;;;;1
Zoll International Holding B.V.;;;;;;6;6
Zwart Techniek B.V.;;;1;;;;1
Eindtotaal;9;8;7;4;8;13;13
