Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
Admiraal De Ruyter Ziekenhuis loc. Vlissingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Admiraal Steakhouse;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adoptiepraktijk Vinke;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adriaanse van der Weel Advocaten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ADT Advocaten;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adv. en Evenementen Organisatiebureau Jerrink;;;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;1
Advanced Security Solutions B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advante;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advast Real Estate Office Support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3
Adversa Communicatie;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;1
AdviCo Mercuur B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advies en begeleiding Een Helder Hoofd;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advies Talent B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Adviesbur. drs. P.M.G. Heymann;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adviesbureau ATIM B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Adviesbureau Henar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adviesbureau Hollander en van der Mey B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
Adviesbureau Kap B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adviesbureau Movement;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adviesbureau Planplan;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adviesbureau Reit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Adviesbureau Sijperda B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Adviesbureau Van der Krogt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Adviesbureau Van Montfoort B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;4
Adviesburo 'Technochemie' B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adviesgroep voor Kantoorinnovatie AVK B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adviespraktijk David & VAN Wezel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Advocatenkantoor Aarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Boot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Dekker;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Dialog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Dogan;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Holthinrichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor 'In de Praktijk';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Jagtenberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Jansen & Alderlieste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Jap-A-Joe B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Loeff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor M.J. van Dijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Mahangi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Mor-Yazir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr. E.S.R. Ester B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr. M.R.H. Meijer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr. R. van Veen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr. R.F. Ronday B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Oudegracht;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;1;1
Advocatenkantoor Seegers & Lebouille;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Sepers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Soytekin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Swart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Tamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Thomas van Dijk B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Advocatenkantoor Van Berkel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Verhagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor-Dito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkollektief Oost;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AdW Huisarts;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AED Solutions B.V.;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;1;1
AEDcompany.nl;;;1;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1;1
Aedizon Gerechtsdeurwaarders B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aegon Nederland N.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
Aerbo Bedrijfscommunicatie;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aestic Produkten B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AEVES B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AFC Ajax N.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Afd. Eelde/Paterswolde vd Kon. Ned. Ver. EHBO;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
afgekort R.E.T. N.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
After Print Adviesbureau Meerkerk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
After Sports;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Afvalwater Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AG Connect B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AGA Color Solutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Agathos M&O;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AGC Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AGC Gerechtsdeurwaarders & Incasso Groningen;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Agecia de Gestao da tesouraria ee da divida publica;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AGH Support;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Agilent Technologies Netherlands B.V.;;;;;1;;;;;;;;;;;;;;;2;;;;1;;2;;;;;;;;;2;;3
AgiliX Agile Development Consulting B.V.;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Agin Otten GerechtsDeurwaarders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Agium Financiële Detachering B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Agmi Traffic B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Agnitio;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agrifirm Plant B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Agrifirm Winkel B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;2
Agrip Advies;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aha Drukwerk;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ahrend Inrichten;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;3
Ahrend Inrichten BV;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Ahrend Nederland B.V.;;1;1;;;;;;;;;;;;;;;;5;3;;;;1;;;;;;1;;;;;;;5
Aiber Services B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AimAtArt;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Air Liquide B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Air Products Nederland B.V.;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;2;2
Airblast B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Airblast-Abrasives B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AIRfootage B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Airport Medical Services C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AKA Escape Rooms;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Akker Alliantie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AKO B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ako Sol B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Akoestiek Comfort B.V.;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;2;;;;;;2;3
Aksaray Taxi;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Akse Media B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1
Aktief Overijssel B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Al Gusto;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alambik distilleerderij V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Al-Andaluz International B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Alanya Kebab;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Albatros Bled;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albert Heijn B.V.;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Alberts Kunsthandel;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Albert-Schweitzergroep - Scouts Troep;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1
Albron Nederland B.V.;;;;;;;2;;;;;;7;;;;1;;;;;;;;;;;;;;;;;;;1;7
Albyco Nederland B.V.;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;1;1
Alcas B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ALcontrol Laboratories;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Aldipress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aleco Sport Visions;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alequam;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Alert Teleservices B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Alescon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alette den Exter tekstadvies en -coaching;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alewijnse Holding B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2
Alewijnse Utrecht;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;1;;3;;;;;;;3
Alex Aalders Bloemist;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alex van Groningen BV;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Alexandra Stein Kliniek;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Alexandros Angelopoulos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alfa Glas B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;1
ALFACONTROL B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alfred's Holding B.V.;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alga B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Algeco B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Algemeen Christelijke Politiebond;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Algemeen Octrooi- en Merkenbureau B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Algemene Amersfoortse Glaswacht B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2
Algemene Doopsgezinde Sociëteit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Algemene Hengelaarsbond Uitgeest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Algemene Stichting Horeca Onderwijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Algemene Vereniging Schoolleiders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Alice in Businessland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Alkaram B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alkmaarse Glashandel De Kroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Alkondor Innovatie B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
All About People B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ALL American Bowling;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All American Imports B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
All Cartoons Holland;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All Dent B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;1;1
All in the Family Centrum voor Psychologie Orthopedagogiek en Familymediation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
All Risk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
All Tactical;;;2;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;2
All-4-Music Events;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allekabels B.V.;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;;1;;;;;;;1
Allekante B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Allemanswaard Dienstverlening B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;4
Allen & Overy LLP;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Allergenen Consultancy B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Alles voor je truck B.V.;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Allgifts.nl B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alliance Francaise Utrecht Cursuscentrum;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allianz Global Assistance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Allianz Nederland Schadeverzekering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Allied hight tech products inc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Allround Service Overwijk;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Allure Group B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
ALM Afbouwgroep;;;;;;;;;;;;;;;;;;;3;;;1;;;;;;;;2;;;;;;1;3
Almeva B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1
Almip Holding B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alp Lift B.V.;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;1;;;;;;;1
Alpha Letterstudio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alpheios B.V.;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;1
Alphense Sleutel & Sloten Service;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;2;;;;;;;2
Alrecar B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alsta B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Altec Industriële Identificatie;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
ALTER - HAAGLANDEN sleutels - sloten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ALTEREGO S.A.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Alternate Computerversand Nederland;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Alternatief;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Altrecht;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Altrecht Aventurijn B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Altrecht Hoofdgebouw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9
Altrex B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aluminium Ramen Fabriek Alraf B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Alup Grassair Kompressoren B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Alvero Kantoormeubelverhuur B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Am tech;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
A-Mac B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Amapress;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amaze Escape Events;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amazing Bread Company B.V.;;;2;;1;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;2
Amazing Sailing Zeeland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Amazing Toys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ambachtelijke Slagerij Kevelam;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Ambachtelijke Slagerij van Elten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambachttechniek;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ambala Tandoori Take-Away & Sweets;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
Ambassade van Macedonie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ambassade van Montenegro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ambassador City Centre Hotel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambiq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
Ambitious;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambius B.V.;;;1;;;;;;;;;;;;1;;;;1;;;;;;;;;;;3;;;;;;2;3
Ambulance Amsterdam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
AmbulanceZorg Limburg-Noord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AMC B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AMEK Academie Middeleeuwse Eur. Krijgskunsten;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ameland Adventure;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ã–mer Balli t.h.o.d.n. Döner Company;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
American Dental Trading B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
amerikaas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Amersflora;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amersfoortsche Stadsbrouwerij De Drie Ringen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ames Autobedrijf B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
AMETEK B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
AMH Dienstenmakelaar B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amici IT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Amigo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amis Services B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Amisni B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amistad B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
AMK Arbeidsintegratie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amler B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amphia locatie Molengracht;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amplicon Benelux;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Amplixs Interaction Management B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Amrath Nijmegen B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsio Holding;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;1
Amstel Medical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Amstel Printing Group;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amstelborgh/Borchland B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amstelkade (Zorgboerderij);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Amstelland Advocaten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Amstelparkrestaurant Rosarium B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amsterdam Boat Center;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Boat Events B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Boat Experience B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amsterdam Boats B.V.;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amsterdam Flowers;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdams ADR Instituut B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amy Service B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Amygdala B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anaguía;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AnalitiQs B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AnB advies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Andermanskeuken;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andersson Elffers Felix;;;;;4;;;;;2;;;;;;;;;;;;;;;;;;;4;;;;;;;2;5
