Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
GfK;;4;;;;;4
GfK Intomart B.V.;;2;;;;;2
GFM Decorations B.V.;;1;;;;;1
GGN van Mastrigt & Partners;;;;;;3;3
GGN Zuid-West en Midden Nederland B.V.;;;;;;1;1
GH+O;;2;;;;;2
Gideon Consult B.V.;;5;;;;;5
Gielissen's Bedrijven B.V.;;5;;;;;5
Gilde Utrecht;;1;;;;;1
Gimaris;;4;;;;;4
GL events World Forum Convention Center B.V.;;6;;;;;6
Glaswerk Gouda;;1;;;;;1
Global Intelligence Alliance Benelux B.V.;;2;;;;;2
Globalink Consulting;;3;;;2;;3
Globally Cool B.V.;;6;;;;;6
GLOEI Coöperatie UA;;2;;;;;2
Gloudemans;;2;;;;;2
GMP+ International B.V.;;2;;;;;2
GMSP B.V.;;2;;;;;2
Go! Good Opportunity;;3;;;;;3
Goan Peng International;;1;;;;;1
Goeie Dingen Doen;;1;;;;;1
Goeije Communicatie;;2;;;;;2
Gordian Logistic Experts B.V.;;2;;;;;2
Goud & Wijs;;2;;;;;2
Graydon Incasso B.V.;;;;;;1;1
Green Bridges Advies;;2;;;;;2
Green Dream Productions B.V.;;3;;;;;3
Greenport Holland;;5;;;;;5
GreenQ B.V.;;4;;;;;4
Greenvis B.V.;;2;;;;;2
Gridline B.V.;;;;;1;;1
GripNet B.V.;;1;;;;;1
Groeisaam;;2;;;;;2
Groen Geregeld;;2;;;;;2
Groene Vaert B.V.;;3;;;;;3
Groeneveld;;1;;;;;1
Groeneveld Horeca B.V.;;1;;;;;1
Groenewegen Ecologie;;1;;;;;1
Grontmij N.V.;;4;;;;;4
Grontmij Nederland B.V.;4;5;;;2;;6
Grontmij Noord BV;;3;;;;;3
Groothuizen Assist;;2;;;;;2
Grotenhuis Organisatieadvies B.V.;;1;;;;;1
GroupMapping Holding B.V.;;3;;;;;3
GTM-Advanced Structures B.V.;;1;;;;;1
Guido Ypenburg advies;;1;;;;;1
Gupta Strategists B.V.;;3;;;;;3
Gyrinus Advies;;4;;;;;4
H&N Communicatie B.V.;;2;2;;;;2
H.B. Banket B.V.;;1;;;;;1
H/O Bastiaan Heus Fotografie;;1;;;;;1
H2Oost;;1;;;;;1
Haan Totaal Reklame B.V.;;1;;;;;1
Hackwerk Advies;;3;;;;;3
Haka Prins;;;;;1;;1
Halliard;;3;;;;;3
Hans Roggen Fotografie;;1;;;;;1
Hans Vos Advies;;2;;;;;2
Happy Meat B.V.;;1;;;;;1
HappyCustomers Midden NL B.V.;;1;;;;;1
Harmelink Consulting & Projectmanagement;;1;;;;;1
Harmsen Consultancy B.V.;;2;;;;;2
Haseltine Lake LLP;;1;;;;;1
Haskoning Nederland;;2;;;;;2
HaskoningDHV Nederland B.V.;;4;;;;;4
HCP international;;2;;;;;2
HDidee Advies & coaching;;1;;;;;1
Head Office Nederland B.V.;;;3;;;;3
HeadFirst B.V.;9;5;;;8;;9
HEC B.V.;3;2;;;;;4
Heijkoop Beheer en Advies B.V.;;1;;;;;1
Henk Bouwmeester, Tekstschrijver;;1;;;;;1
Hermess B.V.;;3;;;;;3
Hertenhouderij 't Keerpunt;;2;;;;;2
Het Kabinet, Eten en Drinken;;1;;;;;1
Het NIC B.V.;;2;;;;;2
Het Notuleercentrum B.V.;;;;1;;;1
Het Pleidooi;;1;;;;;1
Het Prentenkabinet;;1;;;;;1
Het Stormt B.V.;;2;;;;;2
Het Wapen van Willemstad V.O.F.;;1;;;;;1
Hezelburcht B.V.;;1;;;;;1
Hilbrands Laboratorium B.V.;;1;;;;;1
Hilhorst Grafische Vormgeving B.V.;;1;;;;;1
HIMC Tax;;1;;;;;1
HKV Lijn in Water B.V.;;2;;;;;2
HMC-Advies;;2;;;;;2
Hoefsloot Software;;2;;;;;2
Hoffmann Bedrijfsrecherche B.V.;;1;;;;;1
Hofstede de Nieuwe Ham B.V.;;1;;;;;1
Hogeschool van Amsterdam;;1;;;;;1
Hokra B.V.;;1;;;;;1
Holland Promotion B.V.;;1;;;;;1
Holland Reklame en Standbouw B.V.;;1;;;;;1
Holland Solar;;2;;;;;2
Hoogstraat Productions B.V.;;2;;;;;2
Horeca Exploitatie Maatschappij Berlage B.V.;;1;;;;;1
Horizon Marktonderzoek;;2;;;;;2
Horvat & Partners B.V.;;2;;;;;2
Hospitality Consultants B.V.;;1;;;;;1
Hotel Breukelen;;1;;;;;1
Hotel Contact B.V.;;3;;;;;3
Hotel De Bilderberg;;2;;;;;2
Hotel De Plataan B.V.;;1;;;;;1
Hotel Emma B.V.;;1;;;;;1
Hotel Exploitatie Huisduinen B.V.;;1;;;;;1
Hotel Mitland;;1;;;;;1
Hotel van Walsum B.V.;;1;;;;;1
Hotel Zaanstad B.V.;;1;;;;;1
Hotel-Café-Restaurant 'W.E.E.V.A.';;1;;;;;1
Houthoff Buruma België B.V.;;1;;;;;1
HPVL Consult;;2;;;;;2
HTA Software;;2;;;;;2
HTM Personenvervoer N.V.;;1;;;;;1
Huize Bergen B.V.;;1;;;;;1
Huize Molenaar B.V.;;1;;;;;1
Hulskamp Audiovisueel Zwolle;;2;;;;;2
Huygen Ingenieurs & Adviseurs B.V.;;2;;;;;2
HVR PA/PR;;2;;;;;2
Hygear B.V.;;1;;;;;1
I & O Research B.V.;;2;2;;;;2
I2L, instituut voor innovatie en leren;;2;;;;;2
Ibis Den Haag City Centre;;1;;;;;1
IBM Nederland B.V.;7;;;;;;7
ICC Ned., Ond. v. ICC, The World Bus. Organ.;;1;;;;;1
ICI Business;;4;;;;;4
ICO Communicatie;;2;;;;;2
id&dn;;2;;;;;2
IDTV Live360 B.V.;;4;;;;;4
IES Asset Management;;4;;;;;4
If Technology B.V.;;2;;;;;2
IIW;;3;;;;;3
IJB Geotechniek B.V.;;1;;;;;1
IJB Groep B.V.;;1;;;;;1
Imagine People;;1;;;;;1
Imagro B.V.;;2;;;2;;2
IMARES;;4;;;;;4
IMC Organisatie Personeel Subsidie B.V.;;2;;;;;2
Im-mkb;;1;;;;;1
Impactive;;3;;;;;3
ImpactReporters;;2;;;;;2
Impeccable Communicatie Evenementen;;2;;;;;2
In de Keten B.V.;;2;;;;;2
In De Ruimte;;1;;;;;1
In Goede Aarde B.V.;;2;;;;;2
In Tempore B.V.;;1;;;;;1
In Your Face Media;;1;;;;;1
In2Content B.V.;;2;;;;;2
in60seconds B.V.;;3;2;;;;3
Incassobureau Plaggemars;;;;;;1;1
Incredible Crowds B.V.;;2;;;;;2
Indema;;1;;;;;1
Industrial Energy  Experts B.V.;;3;;;;;3
Information Resources B.V.;;2;;;;;2
Inge Diepman B.V.;;1;;;;;1
Ingenieursbur. Beton/Staalkonstr. Palte B.V.;;1;;;;;1
INNAX bouwkundig adviseurs B.V.;;2;;;;;2
Innopay NL B.V.;;4;;;;;4
Innovero Software Solutions B.V.;;1;;;;;1
Instituut Maatschappelijke Innovatie;;1;;;;;1
Insyde B.V.;;1;;;;;1
Inter Access B.V.;7;;;;2;;7
Interactive Affairs B.V.;;2;;;;;2
Intercultural Communication B.V.;;2;;;;;2
Interjim;;1;;;;;1
Interned Services;;;;;1;;1
Intersafe Groeneveld B.V.;;1;;;;;1
Interseco Investigations;1;;;;;;1
Intomart GfK Group B.V.;;1;;;;;1
Intraservice Dienstverlening B.V.;;4;;;;;4
Intraval B.V.;;3;;;;;3
Intrum Justitia Nederland B.V.;;;;;;1;1
Invenier;;;;;2;;2
iOnline Cloud B.V.;;1;;;;;1
Ipsos B.V.;;4;;;;;4
IS Mooi en Lekker!;;1;;;;;1
Isafor;;2;;;;;2
IT Management Group;;1;;;;;1
ItaQ;7;;;;5;;7
Itera B.V.;;2;;;;;2
IT-Staffing Nederland B.V.;9;7;;;7;;10
IVN Consultentschap Groningen;;4;;;;;4
Ivo Broekhuizen Communicatie;;2;;;;;2
J. Bossert Praktijkvennootschap;;1;;;;;1
J.A. de Jonge Beheer B.V.;;2;;;;;2
J.E.de Vries Advies;;1;;;;;1
J.G. Schuurman Beheer B.V.;;2;;;;;2
J.H.A.M. Rodenberg Beheer B.V.;;1;;;;;1
J.P. van Soest-Advies voor Duurzaamheid B.V.;;1;;;;;1
Jaarbeurs B.V.;;2;;;;;2
Jachthaven Lauwersmeer B.V.;;1;;;;;1
Jackie Works Copy-Concept-Content-Communicat.;;1;;;;;1
Jacques van Schie;;1;;;;;1
JAM;;2;;;;;2
Ja-maar® B.V.;;1;;;;;1
Jan Oosting consultancy;;1;;;;;1
Jan Spit CS Delft;;2;;;;;2
JanVonk Fotografie;;1;;;;;1
JAR Advies B.V.;;1;;;;;1
JC Consulting Attorney/Emissions Trading;;1;;;;;1
JEM-ID;;1;;;;;1
Jenrick Nederland B.V.;4;;;;;;4
Jeroen van den Berg Consulting B.V.;;1;;;;;1
Jinke van Dam Consultancy;;2;;;;;2
JKC (Jolanda Kleij Collectie);;1;;;;;1
JLT AudioVisual;;1;;;;;1
J-OB - Joining Objectives;;1;;;;;1
jobdronkers;;2;;;;;2
JOE Global (Automotive) Support B.V.;;4;;;;;4
joinjoni;;1;;;;;1
Jonge Honden B.V.;;3;;;;;3
JongeHonden 4 CVEE;;1;;;;;1
Joost Pierrot Consultancy;;3;;;;;3
Jos Cozijnsen;;1;;;;;1
Jos Feijtel Interimmanagement en Advies;;2;;;;;2
Jos Rademakers Ecologie en Ontwikkeling;;1;;;;;1
JP van den Bent;;1;;;;;1
JT Productions & Events;;1;;;;;1
Jules Dock Consultancy B.V.;;2;;;;;2
Jungle Minds B.V.;;4;;;;;4
Juricas B.V.;;1;;;;;1
JVDT B.V.;;1;;;;;1
KaapZ B.V.;;1;;;;;1
Kade Communicatie;;;2;;;;2
Kamerbeek Producties;;1;;;;;1
Kasteelpark Born;;2;;;;;2
KB Agro;;2;;;;;2
KBBa B.V.;;2;;;;;2
Kega Holding Company B.V.;;2;;;;;2
KELSEY'S o.o.m. B.V.;;2;;;;;2
KEMA;;6;;;;;6
KEMA Nederland B.V.;;4;;;;;4
Kern Konsult B.V.;;2;;;;;2
Kettlitz Wulfse Verzekeringen B.V.;;3;;;;;3
Keygene N.V.;;2;;;;;2
Kinetic Vision;;1;;;;;1
Kingsquare B.V.;;1;;;;;1
Kirkman Company B.V.;;1;;;;;1
Kiwa Nederland B.V.;;1;;;;;1
Kleijnen Communicatie B.V.;;2;;;;;2
Klein Holkenborg Management;;2;;;;;2
Klinckenberg Consultants B.V.;;1;;;;;1
Kloppenburg Beheer B.V.;;1;;;;;1
Klus- en Schoonmaakbedrijf Maastricht;;1;;;;;1
Kobalt Media Nederland B.V.;;2;;;;;2
Koek en Ei;;1;;;;;1
Koers Juridisch Advies;;1;;;;;1
Kon. Nederl. Instituut voor Onderzoek der Zee;;2;;;;;2
Konings/Van Dijk;;2;;;;;2
Koninklijk Instituut van Ingenieurs;;1;;;;;1
Koninklijk Instituut voor de Tropen;;2;;;;;2
Koninklijk Nederlands Waternetwerk;;2;;;;;2
'Koninklijke Metaalunie';;2;;;;;2
Koninklijke Ver. v. Ned. Papier-/Kartonfabr.;;4;;;;;4
Koole Communicatie B.V.;;2;;;;;2
Koopman-works;;3;;;;;3
kopconsult;;2;;;2;;2
Koumans & Partners B.V.;;2;;;;;2
KplusV organisatieadvies B.V.;;4;;;;;4
KPMG Advisory N.V.;;3;;;;;3
KPMG Staffing & Facility Services B.V.;3;;;;;;3
KPN B.V.;;6;1;;;;6
KPN Consulting B.V.;7;;;;;;7
KPN Telecom;;;1;;;;1
Kris Kras context, content and design;;1;1;;;;2
Kris Kras Design B.V.;;2;;;;;2
Krull Advies;;1;;;;;1
KSB Repro;;1;;;;;1
KSG B.V.;;1;;;;;1
Kubita;;2;;;;;2
Kuiters idee en organisatie;;1;;;;;1
Kurstjens, Ecologisch Adviesbureau;;1;;;;;1
Kwa Bedrijfsadviseurs B.V.;;4;;;;;4
Kwaliteitsinstituut Nederlandse Gemeenten;;2;;;;;2
Kwink Groep B.V.;;6;;;;;6
KWR Water B.V.;;1;;;;;1
Kyboko Marketing;;2;;;;;2
L. Lenssen;;1;;;;;1
L.A. Advies;;2;;;;;2
La Place B.V.;;1;;;;;1
La Red B.V.;;2;;;;;2
la vie en crêpes;;1;;;;;1
Label A B.V.;;1;;;;;1
Laboratorium Zeeuws-Vlaanderen;;2;;;;;2
LaFenice;;1;;;;;1
LaKay Catering;;1;;;;;1
Lamoree Management en Advies;;3;;;;;3
Landelijke Vereniging van Wereldwinkels;;4;;;;;4
Landgoed Keukenhof B.V.;;1;;;;;1
Landgoud;;1;;;;;1
Lara Frank Managementadvies;;2;;;;;2
Larive International B.V.;;4;;;;;4
Làrk Consult;;2;;;;;2
Lassche & De Bruijn B.V.;;1;;;;;1
Laverbe;;2;;;;;2
Lavifoto;;1;;;;;1
LBVD Consultancy B.V.;;2;;;;;2
Lectric Trainingen B.V.;;1;;;;;1
Lemzo Creative;;1;;;;;1
Leo van Rijn sediment consultancy;;1;;;;;1
Léon Gommans;;1;;;;;1
Licht Groen B.V.;;2;;;;;2
Lichthart Solutions;;2;;;;;2
Lijnspel;;2;;;;;2
LIMES intern. immigration + relocation B.V.;;2;;;;;2
LimoenGroen B.V.;;2;;;;;2
Linkeroever;;1;;;;;1
Linkit Consult;;1;;;;;1
Lionix;;2;;;;;2
Lloyd's Register Emea;;1;;;;;1
Logan ICT Services B.V.;;2;;;;;2
Logischerwijs B.V.;;2;;;;;2
Loods Lounge Restaurant;;1;;;;;1
L'Orèl Consultancy B.V.;;2;;;;;2
Louis Huijskes;;1;;;;;1
Louk Grauwen Design;;4;;;;;4
Loyens & Loeff N.V.;;1;;;;;1
LTO Noord Projecten B.V.;;2;;;;;2
Lubbers Internet Oplossingen B.V.;;;;;5;;5
Lucom Benelux B.V.;3;;;;;;3
Lysias Advies B.V.;;4;;;;;4
M.A.M. Boersma Consultancy;;1;;;;;1
M.A.M. Mooren;;2;;;;;2
M.C. Korff;;1;;;;;1
M.D. Koenka;;1;;;;;1
M.M. Projects B.V.;;1;;;;;1
M+P, raadgevende ingenieurs B.V.;;1;;;;;1
M3 Consultancy B.V.;;3;;;;;3
MAACC B.V.;;2;;;;;2
Maakum B.V.;;2;;;;;2
Maatschap voor Communicatie;;1;;;;;1
Maatschappelijk Vastgoed B.V.;;1;;;;;1
Machiel van Dalen;;1;;;;;1
M-Act;;1;;;;;1
MAD emergent art center;;1;;;;;1
Madison Gurkha B.V.;;1;;;;;1
Mae Be Productions;;2;;;;;2
Malengo B.V.;;;;;2;;2
Mampa B.V.;;2;;;;;2
Management en Beheer Maatschappij Oosterveer B.V.;;3;;;;;3
Managers;;1;;;;;1
Mannen met plannen;;2;;;;;2
Mannen Van de Maas;;1;;;;;1
Mara Verduin communicatie, onderz. en advies;;1;;;;;1
Marcel de Vries Art Director;;1;;;;;1
Marcelien, Media & Presentatie;;2;;;;;2
Mare Holland B.V.;;2;;;;;2
Maren Bruin;;1;;;;;1
Margaret Wines;;1;;;;;1
Margot Kok Onderwijs Projecten;;2;;;;;2
Margriet Brandsma Media;;1;;;;;1
Margrietbloembinders B.V.;;1;;;;;1
Maria Henneman Media Management B.V.;;1;;;;;1
Mariette van Oort, Grafisch Ontwerpster;;1;;;;;1
Maritime & Transport Business Solutions;;2;;;;;2
Mark Waaijenberg Consultancy;;1;;;;;1
Marketresponse Nederland B.V.;;3;;;;;3
Marlous Wessels Onderwijsprofessional;;1;;;;;1
Marnecs Management;1;;;;;;1
Marstrat B.V.;;2;;;;;2
Martijn Beekman Fotografie;;1;;;;;1
Martijn de Groot Communicatie;;2;;;;;2
Matchmark B.V.;;1;;;;;1
Mattmo Creative B.V.;;1;;;;;1
Maurice Mikkers;;1;;;;;1
Maxlead Services B.V.;;2;1;;;;2
Mayday.communications;1;;;;;;1
McKinsey & Company Netherlands;;3;;;;;3
MCW Studio's B.V.;;1;;;;;1
MD Communicatie;;2;;;;;2
MDF Training en Consultancy B.V.;;4;;;;;4
MD-kwadraat;;1;;;;;1
MECC Maastricht B.V.;;1;;;;;1
Mediaan/ABS B.V.;;;;;1;;1
Mediaplanet Publishing House B.V.;;1;;;;;1
Medical Event Care;;1;;;;;1
Meditech;;1;;;;;1
Meester Ontwerpers B.V.;;1;;;;;1
Meet & Discover! - Station033 B.V.;;1;;;;;1
Méét Den Haag B.V.;;2;;;;;2
Meeting Plaza Utrecht B.V.;;1;;;;;1
Meijaard Innovation Realization;;2;;;;;2
Meijer & Associates;;1;;;;;1
Meine Bruinsma Management B.V.;;1;;;;;1
Mekander;;1;;;;;1
Mentes Advisory;;2;;;;;2
Mercadero;;3;;;;;3
Mercator Novus B.V.;;4;;;;;4
Merck Sharp & Dohme B.V.;;2;;;;;2
Merosch B.V.;;2;;;;;2
MestMeester B.V.;;2;;;;;2
Meta Menkveld Ontwerp;;1;;;;;1
METABV B.V.;;2;;;;;2
MetaSus;;2;;;;;2
Metis IT B.V.;7;;;;;;7
Metis IT Support B.V.;3;;;;;;3
Metropolisfilm Post-Production B.V.;;1;;;;;1
MET-support;;2;;;;;2
Michiel Bonke;;2;;;;;2
Micro Water Facility / P.A. Aidenvironment;;4;;;;;4
Mier Entertainment;;1;;;;;1
Mikrocentrum;;1;;;;;1
Milieukundig Onderzoek Buro,BOOM- Stofberg;;2;;;;;2
mim Marijke Idema Management;;2;;;;;2
mind@work;;2;;;;;2
Mindmatters Software;;2;;;;;2
Miracampo B.V.;;1;;;;;1
Misco Solutions B.V.;2;;;;;;2
Misteli Productions B.V.;;3;;;;;3
Mitra Rialto Slijterijen;;1;;;;;1
MKB Cyber Advies Nederland B.V.;;2;;;;;2
MKB Multifunds B.V.;;2;;;;;2
Mobility Mixx B.V.;6;;;;;;6
Mobius Consult B.V.;;3;;;;;3
Modint B.V.;;2;;;;;2
MODINT Ond.org. mode, inter, tapijt & textiel;;4;;;;;4
Momice B.V.;;1;;;;;1
Montefeltro Beheer B.V.;;2;;;;;2
Mooi Werk;;1;;;;;1
More Dutch Design;;4;;;;;4
MOREA SubsidieBegeleiding;;1;;;;;1
Moret Informatica Advies B.V.;;2;;;;;2
Morgen;;1;;;;;1
Motivaction International B.V.;;4;;;;;4
Movares Nederland B.V.;;2;;;;;2
Mr. Roel. L. Croes Juridisch adviseur;;1;;;;;1
MTI Holland B.V.;;1;;;;;1
MTS HofstraHeersche Landschapsarchitecten;;1;;;;;1
Mts. v Middelaar,v Middelaar,Brouwer,Brouwer;;1;;;;;1
Multicopy Netherlands B.V.;;1;;;;;1
Munckhof Regie;;1;;;;;1
MWM2 B.V.;;2;;;;;2
Myler;6;3;;;1;;6
N.V. KEMA;;2;;;;;2
N.V. Nederlandse Gasunie;;2;;;;;2
Nabc;;1;;;;;1
NAK;;6;;;;;6
Naktuinbouw;;6;;;;;6
Nash/N.I.J. B.V.;;4;;;;;4
Nature and Information;;2;;;;;2
Natuurbalans/Limes Divergens B.V.;;2;;;;;2
Natuurlijk in je kracht;;1;;;;;1
Natuurvoormensen Omgev.psychologisch onderz.;;1;;;;;1
Navingo B.V.;;2;;;;;2
Navis Advies B.V.;;2;;;;;2
NCB Naturalis;;4;;;;;4
NEC B.V.;;4;;;;;4
Ned. Br.- & Banketbakk. Ondernem. Vereniging;;3;;;;;3
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;8;;;;;8
Ned. Ver. 'De Rijw.- en Automobiel-Industrie';;1;;;;;1
Ned. ver. ondernemingen koudetechn./luchtbeh.;;1;;;;;1
Ned. Vereniging voor Luchtvaarttechniek;;4;;;;;4
Nederl. techn. veren. voor inst. in geb. TVVL;;1;;;;;1
Nederl. ver. van Biomassa Ketel Leveranciers;;2;;;;;2
Nederland Distributieland (Ndl);;3;;;;;3
Nederlands Debat Instituut Holding B.V.;;1;;;;;1
Nederlands Instituut voor Biologie;;2;;;;;2
Nederlandse Aardappel Organisatie;;2;;;;;2
Nederlandse Elasmobranchen Vereniging.;;3;;;;;3
Nederlandse Fruittelers Organisatie, NFO;;2;;;;;2
Nederlandse Industriële Ruimtevaart Vereniging;;1;;;;;1
Nederlandse Organisatie TNO;;4;;;;;4
Nederlandse Organisatie voor toegepast-natuurwetenschappelij;;2;;;;;2
Nederlandse Uitgevers Combinatie B.V.;;1;;;;;1
NEMO Science Museum;;3;;;;;3
Neo, Netherl. Geomat. & Earth Observat. B.V.;;3;;;;;3
Net2Legal Consultants;;1;;;;;1
Netbeheer Nederland;;3;;;;;3
Netherlands Maritime Technology B.V.;;2;;;;;2
Netherlands.Info;;2;;;;;2
Netprofiler B.V.;;1;;;;;1
Netrex Internet Solutions;;2;;;;;2
Netto4concepts;;2;;;;;2
Netwerk Gebruikersgroep Nederland;;4;;;;;4
Netwerk Groene Bureaus;;1;;;;;1
New Babylon Meeting Center B.V.;;1;;;;;1
Newcom Research & Consultancy;;1;;;;;1
New-Energy-Works B.V.;;2;;;;;2
NewForesight Consultancy B.V.;;2;;;;;2
Next Kitchen;;1;;;;;1
NFGD Zoetermeer B.V.;;1;;;;;1
NH Den Haag;;1;;;;;1
NIAS;;1;;;;;1
Nielen Schuman B.V.;;1;;;;;1
Nieman Consultancy B.V.;;3;;;;;3
Nieman Raadgevende Ingenieurs B.V.;;3;;;;;3
Nienke Dijkstra;;1;;;;;1
Nieuwe of Litteraire Sociëteit De Witte;;1;;;;;1
Nigeria Netherlands Solutions (NNS);;1;;;;;1
Nimo Security;;1;;;;;1
Nines B.V.;;1;;;;;1
NL-D. Communicatie;;2;;;;;2
NLO Shieldmark B.V.;;1;;;;;1
Noclichés B.V.;;1;;;;;1
Nom;;1;;;;;1
Noorderwit;;1;;;;;1
Noordtij B.V.;;1;;;;;1
NoProblemMusic;;1;;;;;1
Nordhauzen Communications;;1;;;;;1
North South Consulting;;1;;;;;1
Notariskantoor Roerdalen;;;;2;;;2
Notebomers Bouw B.V.;;1;;;;;1
Novotel Den Haag;;1;;;;;1
Novotel Den Haag World Forum;;1;;;;;1
NRJ Architectuur;;1;;;;;1
Nuclear Research and Consultancy Group;;2;;;;;2
NVM en Taxateurs in onroerende goederen NVM;;1;;;;;1
NZH Travel Excursions;;1;;;;;1
Oase Beach Exploitatie B.V.;;3;;;;;3
Oberon B.V.;;2;;;;;2
OBT B.V.;;1;;;;;1
Ocean Space Consult;;4;;;;;4
Odura;;3;;;;;3
Office Support Midden Holland B.V.;;1;;;;;1
OK-worx;;1;;;;;1
Olga Plokhooij;;1;;;;;1
Onderzoeksbureau MARINX;;2;;;;;2
Onderzoeksbureau Onderzoekend Leren;;1;;;;;1
One More Question (Journalism & Media);;2;;;;;2
One to Watch B.V.;;2;;;;;2
OneWhitePixel;;1;;;;;1
Onlyhuman B.V.;;2;2;;;;3
Ons Buro B.V.;;1;;;;;1
Ontwerpwerk B.V.;;2;;;;;2
Oogenlust B.V.;;3;;;;;3
Op Hodenpijl;;1;;;;;1
Oprit Duurzaamheid;;1;;;;;1
Optima Forma B.V.;;2;;;;;2
OranjeMund;;1;;;;;1
Orbital Eye B.V.;;1;;;;;1
Orchard Finance Consultants;;2;;;;;2
Ordina Beheer & Outsourcing;7;;;;;;7
Org.-id B.V.;;2;;;;;2
Orga Architect;;1;;;;;1
Organiq B.V.;;2;;;;;2
Origame B.V.;;2;;;;;2
Orion Innovation;;2;;;;;2
Orléon;;1;;;;;1
ORTEC Finance B.V.;;2;;;;;2
Oscillating Foil Development;;2;;;;;2
OTV Wageningen;;2;;;;;2
Oudaen B.V.;;1;;;;;1
Outside The Box B.V.;;1;;;;;1
Over Morgen;;2;;;;;2
Overview B.V.;;2;;;;;2
P. de Waard;;1;;;;;1
P.J.M. van Domburg Advies;;2;;;;;2
P.M. van der Zanden B.V.;;2;;;;;2
P2 Proces- en Projectmanagers B.V.;;3;;;;;3
PACT Public Affairs B.V.;;1;;;;;1
Palladio Groep B.V.;;2;;;;;2
Pam B.V.;;3;;;;;3
Pamela Potters;;1;;;;;1
Panteia B.V.;;5;;;;;5
Pardon Consult;;1;;;;;1
Park Plaza Utrecht;;1;;;;;1
Partners for Innovation B.V.;;4;;;;;4
Pau Bureau v. Planadvies en -Uitvoering B.V.;;4;;;;;4
Paul Dral Communicatie;;2;;;;;2
Paul Dral Holding B.V.;;2;;;;;2
PCextreme;;1;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;2;;;2
Peredour Tekst en Thema's;;2;;;;;2
Performis B.V.;;1;;;;;1
Periplus Archeomare B.V.;;2;;;;;2
Periplus Consultancy B.V.;;4;;;;;4
Phaff Export Marketing B.V.;;1;;;;;1
Phaos Advies B.V.;;1;;;;;1
PHEROBANK B.V.;;1;;;;;1
Pignon;;2;;;;;2
PIN-NL;;2;;;;;2
Planmaat;;1;;;;;1
Plansup;;3;;;;;3
Plant E B.V.;;1;;;;;1
Plant Lighting B.V.;;4;;;;;4
Plant One B.V.;;2;;;;;2
Platform Hout in Nederland;;2;;;;;2
Platform VMBO Dienstverlening & Product;;1;;;;;1
Pluimveepraktijk Noord & Oost B.V.;;2;;;;;2
Poelmann van den Broek N.V.;;;;1;;;1
Point to Point Communicatie B.V.;;2;1;;;;2
Pol & Pol;;2;;;;;2
Policy Research Corporation Nederland B.V.;;2;;;;;2
Pondera Consult B.V.;;2;;;;;2
Port Consultants Rotterdam B.V.;;3;;;;;3
Postillion Hotels B.V.;;1;;;;;1
Power Human Reinforce Management;;1;;;;;1
PPO/PRI Praktijkonderzoek AGV/LEI;;2;;;;;2
PPRC B.V.;;;;;2;;2
PPT Design B.V.;2;;;;;;2
Prakt.ond. Plant & Omg./Plant Research Int.;;4;;;;;4
Prestop Rental B.V.;;1;;;;;1
Pricewaterhousecoopers Accountants N.V.;;6;;;;;6
Pricewaterhousecoopers Advisory N.V.;;5;;;;;5
Printshop Sliedrecht;;1;;;;;1
Prisma Meten en Uitzetten B.V.;;1;;;;;1
Prison Watch;;1;;;;;1
Privacy Management Partners Coöperatie UA;;2;;;;;2
Pro Holding B.V.;;1;;;;;1
Pro Monitoring B.V.;;1;;;;;1
Procede Biomass B.V.;;1;;;;;1
Prodea Consulting;;4;;;;;4
proDO advies;;2;;;;;2
proDO Consult;;3;;;;;3
Producenten Organisatie Varkenshouderij;;2;;;;;2
Profect Consultancy B.V.;;2;;;;;2
Profound Advisers in Development B.V.;;5;;;;;5
Profource B.V.;5;2;;;2;2;5
Projactive Project Management B.V.;;;2;;;;2
Project 13;;2;;;;;2
Projecten LTO Noord;;3;;;;;3
Promenade Hotel B.V.;;2;;;;;2
Prosu B.V.;;2;;;;;2
Pro-Time Content B.V.;;2;;;;;2
Protocolbureau;;2;;;;;2
ProVerde B.V.;;3;;;;;3
Psps Consultants;;2;;;;;2
Public Partners;;1;;;;;1
Public Result;;1;;;;;1
Public Servants B.V.;;1;;;;;1
Public Support Groep B.V.;;1;;;;;1
PubliContact B.V.;;3;;;;;3
Q-Point B.V.;;3;;;;;3
Quadraam Krachtwerk B.V.;;2;;;;;2
Quality Services Certification (QSC) B.V.;;1;;;;;1
Quantes Grafimedia B.V.;;1;;;;;1
Quickboats Europe B.V.;;1;;;;;1
Quintens Advies & Management B.V.;;2;;;;;2
Quite Write;;;1;;;;1
Raadg. Ingenieursbur. Wiertsema & Partn. B.V.;;2;;;;;2
Rabo Development B.V.;;2;;;;;2
Rabo International Advisory Services (RIAS);;2;;;;;2
Radiation Experts B.V.;;1;;;;;1
Rainbow Collection B.V.;;1;;;;;1
Ramsingh Interim Support;;2;;;;;2
Randstad Uitzendbureau;2;;;;;;2
RAVON;;5;;;;;5
