Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Huisartsenpraktijk Boveneind;;;;;1;;;;;1
Huisartsenpraktijk Brakel;;;;;1;;;;;1
Huisartsenpraktijk Bredasingel;;;;;1;;;;;1
Huisartsenpraktijk Brockhoff;;;;;1;;;;;1
Huisartsenpraktijk Broos en v.d. Steenhoven;;;;;1;;;;;1
Huisartsenpraktijk Brouwer & de Reijger;;;;;1;;;;;1
Huisartsenpraktijk Brouwer/Krüs;;;;;1;;;;;1
Huisartsenpraktijk Burgerhout;;;;;1;;;;;1
Huisartsenpraktijk Claessens en Soeters;;;;;1;;;;;1
Huisartsenpraktijk Corlaer;;;;;1;;;;;1
Huisartsenpraktijk De 1e Lijn;;;;;1;;;;;1
Huisartsenpraktijk de Besterd;;;;;1;;;;;1
Huisartsenpraktijk De Boomhoek;;;;;1;;;;;1
Huisartsenpraktijk De Haan en Van Dam Prins;;;;;1;;;;;1
huisartsenpraktijk 'de karmel';;;;;1;;;;;1
Huisartsenpraktijk De Kroonsteen Beneden;;;;;1;;;;;1
Huisartsenpraktijk de Lange en Minken;;;;;1;;;;;1
Huisartsenpraktijk de Latyrus;;;;;1;;;;;1
Huisartsenpraktijk de Mare;;;;;1;;;;;1
Huisartsenpraktijk 'de Meulehoek';;;;;1;;;;;1
Huisartsenpraktijk de Mierden;;;;;1;;;;;1
Huisartsenpraktijk De Pleiaden;;;;;1;;;;;1
Huisartsenpraktijk De Vliet;;;;;1;;;;;1
Huisartsenpraktijk 'De Waterlelie';;;;;1;;;;;1
Huisartsenpraktijk Dennenlaan;;;;;1;;;;;1
Huisartsenpraktijk Dingemans;;;;;1;;;;;1
Huisartsenpraktijk Drs H.J.P. Nillesen;;;;;1;;;;;1
Huisartsenpraktijk Ederveen;;;;;1;;;;;1
Huisartsenpraktijk Eenrum;;;;;1;;;;;1
Huisartsenpraktijk Emmapark;;;;;1;;;;;1
Huisartsenpraktijk Groeneveld & Tantua;;;;;1;;;;;1
Huisartsenpraktijk Groenewegen en van Kuik;;;;;1;;;;;1
Huisartsenpraktijk H. Slager B.V.;;;;;1;;;;;1
Huisartsenpraktijk 'Haasjes';;;;;1;;;;;1
Huisartsenpraktijk Heitse;;;;;1;;;;;1
Huisartsenpraktijk Hellendaal;;;;;1;;;;;1
Huisartsenpraktijk 'Het Anker';;;;;1;;;;;1
Huisartsenpraktijk Het Atrium;;;;;1;;;;;1
Huisartsenpraktijk 'Het Loo';;;;;1;;;;;1
Huisartsenpraktijk Hoed Vianen;;;;;1;;;;;1
Huisartsenpraktijk Hollandscheveld;;;;;1;;;;;1
Huisartsenpraktijk Homerus;;;;;1;;;;;1
Huisartsenpraktijk Jongen & Voorhaar;;;1;;;;;;;1
Huisartsenpraktijk Kloosterstraat;;;;;1;;;;;1
Huisartsenpraktijk Kloppenborg en Ghedri;;;;;1;;;;;1
Huisartsenpraktijk Koegras;;;;;1;;;;;1
Huisartsenpraktijk Leeuwerik & Bouwman;;;;;1;;;;;1
Huisartsenpraktijk Liempde;;;;;1;;;;;1
Huisartsenpraktijk Lierop;;;;;1;;;;;1
Huisartsenpraktijk Loopuytpark;;;;;1;;;;;1
Huisartsenpraktijk M.P.J. de Boer;;;;;1;;;;;1
Huisartsenpraktijk Maessen B.V.;;;;;1;;;;;1
Huisartsenpraktijk Mariënweerd;;;;;1;;;;;1
Huisartsenpraktijk Moghaddam B.V.;;;;;1;;;;;1
Huisartsenpraktijk Molenhoek;;;;;1;;;;;1
Huisartsenpraktijk Molenweg;;;;;1;;;;;1
Huisartsenpraktijk Neede;;;;;1;;;;;1
Huisartsenpraktijk Nibbixwoud;;;;;1;;;;;1
Huisartsenpraktijk Nieuwpoort;;;;;1;;;;;1
Huisartsenpraktijk Nijst en Haesen;;;;;1;;;;;1
Huisartsenpraktijk Oosthout;;;;;1;;;;;1
Huisartsenpraktijk Op het Hof;;;;;1;;;;;1
Huisartsenpraktijk Pannenhoef Kaatsheuvel;;;;;1;;;;;1
Huisartsenpraktijk Perquin;;;;;1;;;;;1
Huisartsenpraktijk Pleisterplaats;;;;;1;;;;;1
Huisartsenpraktijk R. van Mourik;;;;;1;;;;;1
Huisartsenpraktijk R.J.A. Borst;;;;;1;;;;;1
Huisartsenpraktijk Reijers en van Vliet;;;;;1;;;;;1
Huisartsenpraktijk 'Renswoude';;;;;1;;;;;1
Huisartsenpraktijk Rosenburglaan;;;;;1;;;;;1
Huisartsenpraktijk Roubos;;;;;1;;;;;1
Huisartsenpraktijk Saes;;;;;1;;;;;1
Huisartsenpraktijk Santé;;;;;1;;;;;1
Huisartsenpraktijk Scholte-Talsma B.V.;;;;;1;;;;;1
Huisartsenpraktijk Schonenberg & Smaal;;;;;1;;;;;1
Huisartsenpraktijk Simpelveld;;;;;1;;;;;1
Huisartsenpraktijk Smilde;;;;;1;;;;;1
Huisartsenpraktijk Stadshart;;;;;1;;;;;1
Huisartsenpraktijk Stationsstraat;;;;;1;;;;;1
Huisartsenpraktijk 't Rak;;;;;1;;;;;1
Huisartsenpraktijk T.E. Wesselius;;;;;1;;;;;1
Huisartsenpraktijk Tolakker;;;;;1;;;;;1
Huisartsenpraktijk Ulvenhout;;;;;1;;;;;1
Huisartsenpraktijk Ussen;;;;;1;;;;;1
Huisartsenpraktijk van de Weijer;;;;;1;;;;;1
Huisartsenpraktijk Van der Duin-Van Dinther;;;;;1;;;;;1
Huisartsenpraktijk van Straaten & van Schie;;;;;1;;;;;1
Huisartsenpraktijk Velberg;;;;;1;;;;;1
Huisartsenpraktijk Velden;;;;;1;;;;;1
Huisartsenpraktijk Velperbeek;;;;;1;;;;;1
Huisartsenpraktijk Welling & van der Wijst;;;;;1;;;;;1
Huisartsenpraktijk Winkel en Nieuwe Niedorp;;;;;1;;;;;1
Huisartsenpraktijk Winssen;;;;;1;;;;;1
Huisartspraktijk Hesselink;;;;;1;;;;;1
Huisartspraktijk Manschot/Beekink;;;;;1;;;;;1
Huisartspraktijk Weers;;;;;1;;;;;1
Humphrey's Amsterdam Spuistraat B.V.;;;;;;;1;;;1
Humphrey's Arnhem B.V.;;;;;;;1;;;1
Humphrey's Restaurant;;;;;;1;1;;;1
Humphrey's Rotterdam B.V.;;;;;;;1;;;1
Humphrey's Utrecht B.V.;;;;1;;;1;;;1
Hurricane Textile & Sportswear B.V.;;;;;;;1;;;1
Hutten Business Catering B.V.;;;;;1;;1;;;1
Huurhoeftnietduur.nl;;;;;;;1;;;1
Hytech;;;;;;2;;;;2
I.A.B.;;;;;;1;;;;1
i4safety B.V.;;;;;;1;;;;1
IBANC;;;;;;1;;;;1
Ibex B.V.;;;;;;1;;;;1
IceBear Events B.V.;;;;;;;1;;;1
ICM Administratie B.V.;;;;;;2;;;;2
ICM Opleidingen & Trainingen B.V.;;;;;2;2;;;;3
ICS Opleidingen;;;;;1;;;;;1
Ictivity Trainingen B.V.;;;;;;2;;;;2
Ideeaanzee B.V.;;;;;2;;;;;2
IDMK B.V.;;;;;;1;;;;1
Idols Rijswijk B.V.;;;;1;;;;;;1
Iep Holding B.V.;;;;;;1;;;;1
IES Asset Management;;;;;;1;;;;1
Igo-Post B.V.;1;;;1;;1;1;;;1
IIS Services B.V.;;;;;;1;;;;1
IJshockey Clinic Nijmegen (IJCN);;;;;;;1;;;1
IJssalon La Differenza Huissen;;;;;;;1;;;1
IJssportcentrum;;;1;;;;;;;1
IJzeren Man B.V.;;;;1;;;1;;;1
'Il Pozzo B.V.';;;;;;;1;;;1
Il Vesuvio;;;;;;;1;;;1
Imagem;;;;;;2;;;;2
Imhotep Promotions B.V.;;;;1;;;;;;1
IMNederland Credit Management Services;;;;;1;;;;;1
Impero Romano Holding B.V.;;;;;;;1;;;1
Improve Quality Services B.V.;;;;;;1;;;;1
In 't Groene Woud B.V.;;;;1;;;;;;1
In Touch Women Resource Management B.V.;;;;;;1;;;;1
In2Content B.V.;;;;;;1;;;;1
Incentive Promotions B.V.;;;;;;1;;;;1
Indisch Restaurant 'Bali' B.V.;;;;;;;1;;;1
Indisch Restaurant Garoeda;;;;;;;1;;;1
Indoor Funcentre Breda;;;;;;;1;;;1
Indoor Karting Nijmegen B.V.;;;;;;;1;;;1
Indoor Paintball Rotterdam B.V.;;;;1;;;;;;1
Indoor Skydive N.V.;;;;;;2;;;;2
Industrie en Handelsonderneming W.S.B.;;;1;;;;;;;1
Industrielinqs Pers en Platform B.V.;;;;;;1;;;;1
Infinite Simulation Systems B.V.;;;;;;1;;;;1
Info Support B.V.;;;;;;2;;;;2
Informatica Nederland B.V.;;;;;;1;;;;1
Information Security Academy B.V.;;;;;1;4;;;;4
Ingenium Cabo Bianci.;;;;;1;;;;;1
Ingressus B.V.;;;;;;2;;;;2
INHOLLAND Academy;;;;;;1;;;;1
Innerspective B.V.;;;;;;1;;;;1
Innofeet Zuidwolde Medisch Centrum Thijinge;;;;;1;;;;;1
Innofun B.V.;;;;;;1;;;;1
Innovam;;;;;;2;;;;2
Innoventa B.V.;;;;;;1;;;;1
Inoutdoor;;;;;;1;;;;1
Inpakcentrale ICN B.V.;;;;;;;2;;;2
Inspiration Point B.V.;;;;;;;1;;;1
Inst. voor Materiaal;;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;;1;;;;1
Instituut voor Arbeidsrecht B.V.;;;;;;1;;;;1
Instituut voor Bedrijfskundige Opleidingen;;;;;;2;;;;2
Instituut voor Psychotrauma Nederland B.V.;;;;;;1;;;;1
Instituut voor Werk en Levenskunst;;;;;1;;;;;1
Intelligence Group B.V.;;;;;1;1;;;;1
Inter Sports Wear;;;;;;1;;;;1
Intercédé B.V.;;;2;2;2;2;1;;;3
Interimage B.V.;;;1;;;;;;;1
Interroutier Nederland B.V.;;;;1;;;;;;1
Intersafe Groeneveld B.V.;;;1;;;;;;;1
Interspiro B.V.;;;;;;2;;;;2
Intertoys Holland B.V.;;;;;;;1;;;1
Intop Zorgsector B.V.;;;;;;1;;;;1
Intratuin Amersfoort B.V.;;;;1;;;;;;1
Invoned Apeldoorn B.V.;;;;;1;;;;;1
IP Computer Training Centrum Eindhoven B.V.;;;;;1;;;;;1
IPMA - NL;;;;;;1;;;;1
IPMA Certificering B.V.;;;;;;1;;;;1
Ipol B.V.;;;;;;1;;;;1
ISBW;;;;;;2;;;;2
Israel Producten Centrum;;;;1;;;;;;1
IT Management Group;;;;;;1;;;;1
Item Systems B.V.;;;;;;1;;;;1
ITIP School voor Leven en Werk B.V.;;;;;;1;;;;1
ITvitae B.V.;;;1;;;;;;;1
IVIO@school;;;;;;4;1;;;4
Izzi Veenendaal B.V.;;;;1;;;;;;1
J & H Professioneel Licht en Geluid;;;1;;;;;;;1
J. & C. Productions B.V.;;;;1;1;;1;;;1
J. Knieriem B.V.;;;;;;;1;;;1
J.A.G. Smets B.V.;;;;;1;;;;;1
J.S. Burgers B.V.;;;;;1;;;;;1
Jaarbeurs B.V.;;;;;2;;;;;2
Jachthaven Biesbosch B.V.;;;;;;;1;;;1
Jachthaven van Oversteeg V.O.F.;;;;;;1;;;;1
Jachtwerf Den Helder B.V.;;;;;;1;;;;1
Ja-maar® B.V.;;;;;;2;;;;2
Jamaja Beheer Den Helder B.V.;;;;;;1;;;;1
Jan Andreae en Partners B.V.;;;;;;1;;;;1
Jansen International Trading B.V.;;;;1;;;;;;1
Jargon Aviation Consultancy B.V.;;;;;;1;;;;1
Jatapasu;;;;1;;;;;;1
Jati;;;;1;;;;;;1
JB-Inflatable B.V.;;;;;1;;;;;1
JC Janssen Consultancy B.V.;;;1;;;;;;;1
JCB;;;;1;;2;;;;2
Jerry Kolvoort;;;;1;;;;;;1
Jhr. A.J. Goldman B.V.;;;;;;1;;;;1
Jibe B.V.;;;;;;1;;;;1
Jin Lai B.V.;;;;;;;1;;;1
Jmt International;;;;;;1;;;;1
Joewin Inc.;;;;;1;;;;;1
Johnson & Johnson Medical B.V.;;;;;;1;;;;1
Jong Defensie;;;;;1;;;;;1
Jongbloed B.V.;;;;2;;;;;;2
Jongeneel Den Helder;;;;;;1;;;;1
Jongeneel Utrecht;;;1;;;;;;;1
Joods Historisch Museum;;;;;;1;;;;1
Jopen Horeca Exploitatie B.V.;;;;;;;1;;;1
JSR Professional Services B.V.;;;;;;1;;;;1
Judo Bond Nederland;;;;;;1;;;;1
K & K;;;;;;;1;;;1
Kaasboerderij Weenink;;;;;;;1;;;1
Kader Bureau voor Kwaliteitszorg B.V.;;;;;;1;;;;1
Kader Vereniging 'Raging Bulls';;;;;;;1;;;1
Kadervereniging 45 Painfbat RioG;;;;1;;;;;;1
Kameleon Professionele Weerbaarheid;;;;;;1;;;;1
Kampeerboerderij 'Meerveld';;;;;;1;;;;1
Kant.machineh. v. Kerkvoorde & Hollander B.V.;;;;1;;;;;;1
Kappersakademie Holding B.V.;;;;;1;;;;;1
Karcher B.V.;;;;;;1;;;;1
Karssen Office B.V.;1;;;;;;;;;1
Kartbaan Uden B.V.;;;;;;;1;;;1
Karting Plaza Exploitatie B.V.;;;;;;;2;;;2
Karwei Bouwmarkt Steenwijk;;;;1;;;;;;1
Kasteel Limbricht Partycentrum B.V.;;;;;;;1;;;1
Kasteel Maurick B.V.;;;;;;;2;;;2
Kavo Nederland B.V.;;;;;;1;;;;1
Keizer Culinair B.V.;;;;;;;1;;;1
KEMP Rijopleidingen B.V.;;;1;;;;;;;1
Kemper en van Twist Diesel B.V.;;;;;;1;;;;1
Kennis van Sport;;;;;1;;;;;1
Kenniscentrum Wmo B.V.;;;1;;;;;;;1
Kerst Company B.V.;;;;;;;2;;;2
Keurshops B.V.;;;1;;;;;;;1
Keurslagerij Wit en Wit;;;;;;;1;;;1
KEYMUSIC Eindhoven;2;;;;;;3;;;3
Keynote Consultancy B.V.;;;;;;1;;;;1
KGH Customs Services B.V.;;;;;;1;;;;1
Kienhuishoving N.V.;3;;;;;;;;;3
Kistler B.V.;;;;;;2;;;;2
Kiwa Training B.V.;;;;;;1;;;;1
Kiwanis Club Noviomagus;;;;1;;;;;;1
Klein Buitenrust;;;;;;;1;;;1
KleurPoeder B.V.;;;;;;1;;;;1
Klimcentrum Neoliet Tilburg B.V.;;;1;;;;;;;1
KLM Passagekantoor Eindhoven;;;;;;;;;2;2
KLUSWIJS Loosdrecht;;;;;;1;;;;1
Knijn-Bowling B.V.;;;;;;;1;;;1
Kombikart-Circuit 'De Landsard';;;;;;;1;;;1
Kon. Ned. Bond tot 't Redden van Drenkelingen;;;1;;;1;;;;1
Kon. Ned. Centr. Ver. Bestrijding der T.B.C.;;;;;;2;;;;2
Kon. Ned. Mij. tot Bevord. der Geneeskunst;;;;;;1;;;;1
Kon. Ned. Pharmaceutische Studenten Ver.;;;;;1;;;;;1
Kon. Ned. Ver. E.H.B.O. Capelle a.d. Yssel;;;;;;1;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;;1;;;;1
Kon. Ver. ter Beoef. van de Krijgswetenschap;;;;;;3;;;;3
Kona Benelux B.V.;;;;;;;1;;;1
Kongsberg Maritime Holland B.V.;;;;;;1;;;;1
Koning Willem I College;;;;;1;1;;;;1
Koninkl. Ned. Mij. tot Bevord. der Tandheelk.;2;;;;1;;;;;2
Koninkl. Nederl. Verenig. 'Onze Luchtmacht';;;;2;;;;;;2
Koninklijke Begeer B.V.;;;;1;;1;;;;1
Koninklijke Burgers' Zoo;;;;;;;1;;;1
Koninklijke Joh. Enschedé B.V.;;;;;;3;;;;3
Koninklijke Luchtvaart Maatschappij N.V.;;;;;;1;;;;1
Koninklijke Moorman Karton Weesp B.V.;;;;;;1;;;;1
Koninklijke Nederlandse Atletiek Unie;;;;;;1;;;;1
Koninklijke Nederlandse Gymnastiek Unie;;;;;;1;;;;1
Koninklijke PostNL B.V.;;;;;;1;;;;1
Koninklijke van der Most B.V.;;;;;3;;1;;;3
Kookpunt Kantine;;;;;;1;;;;1
Kookstudio Amersfoort;;;;;;;1;;;1
Koudeborg;;;;;;2;;;;2
KPMG Advisory N.V.;;;;;;1;;;;1
KPN B.V.;;;;;;1;;;;1
Kranen Kerstpakketten B.V.;;;;2;;;;;;2
Kreeft Opleidingen;;;1;;;1;;;;2
KSG B.V.;;;;;;1;;;;1
KTV Kennisnet voor Taal en Vakopleidingen;;;;;;1;;;;1
Kumpulan Congres- en Reuniecentrum;;1;;2;;1;2;;;2
Kunstgras Events B.V.;;;;;;;1;;;1
Kunststofhandel Noord B.V.;;;;;;1;;;;1
KVL Inspiratie Technologie B.V.;;;;;;1;;;;1
KWD Management Diensten B.V.;;;;;;1;;;;1
La Boheme B.V.;;;;;;;1;;;1
La Grande Dame V.O.F.;;;;;;;1;;;1
Lab QAcademy;;;;;;1;;;;1
Laco Woensdrecht B.V.;;;1;;;;;;;1
Lagaay International B.V.;;;;;;1;;;;1
Lagerweij Zwolle B.V.;;;;;;2;;;;2
Lakes Downtown B.V.;;;;;;;1;;;1
Lamepro B.V.;;;1;;;;;;;1
Lammers & Smits;;;;;1;;;;;1
