;9410 - Lokale belastingen - waterschapslasten;9520 - BZK specifiek;9540 - EZ specifiek;9560 - I&M specifiek;Eindtotaal
Arval B.V.;;;;1;1
arvato Finance B.V.;;;;1;1
ASB Security B.V.;;;;1;1
Asbestzoeken B.V.;;;;1;1
Asfalt Kennis Centrum B.V.;;;;2;2
AsfaltTechnologie.NL;;;;1;1
ASI Solutions Ltd;;;;2;2
Asoreco NV;;;;1;1
ASOS.COM LIMITED;;;;1;1
Aspentech;;;;4;4
ASS RILEM;;;;1;1
ASSA ABLOY Nederland B.V.;;;;4;4
Asset Insight B.V.;;;;5;5
Asset Manag. Control Tools & Training B.V.;;;;2;2
Association for European Transport;;;;1;1
AT Automation B.V.;;;;1;1
At Osborne B.V.;;;;6;6
AT&H Consulting;;;;4;4
Atelier Magpie;;;;1;1
Atelier TabakNaus;;;;1;1
Athenas B.V.;;;;1;1
Athlon Car Lease Nederland B.V.;;;;1;1
Atlas Landkaartenbedrijf;;;;1;1
Atlas Professionals Flex Services B.V.;;;;3;3
Atos Nederland B.V.;;;;3;3
Atrinet B.V.;;;;3;3
Attached B.V.;;;;1;1
Attention Architects;;;;3;3
attractie verhuurshop;;;;1;1
Auberge Des Moules B.V.;;;;1;1
Aude;;;;1;1
Audinova Servicos Audiovisuais LDA;;;;1;1
August;;;;1;1
AUX ARMES DE BRUXELLES;;;;1;1
Auxilium B.V.;;;;1;1
AVA Management, Consulting & Engineering B.V.;;;;4;4
Avance Maastricht B.V.;;;;3;3
AVC Groep;;;;4;4
Avcommit B.V.;;;;1;1
Aveco De Bondt;;;;6;6
Avex B.V.;;;;4;4
avgls B.V.;;;;1;1
Avisoft Bioacoustics e.K.;;;;2;2
Avus Nederland;;;;1;1
AVVZ;;;;1;1
Awareness B.V.;;;;4;4
AWB Reinigingsdiensten;;;;1;1
Awista;;;;2;2
AWP Services NL B.V.;;1;;9;9
Axiell ALM Netherlands B.V.;;;;1;1
Azerty;;;;1;1
B en P Kantoor B.V.;;;;1;1
B&A Services B.V.;;;;2;2
B&I Advies;;;;4;4
B.J. Bink Beheer B.V.;;;;1;1
B.V. Aannemingsbedrijf De Klerk;;;;6;6
B.V. Aannemingsbedrijf Sporto;;;;1;1
B.V. Aannemingsmij. De Branding, v/h J. Stolk;;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;;2;2
B.V. Bouw- en Aannemersbedrijf VIOS;;;;2;2
B.V. Brouwerij Kleiburg;;;;1;1
B.V. Drukkerij v/h Buijten en Schipperheijn;;;;1;1
B.V. 'Esbi';;;;2;2
B.V. HAEVER!;;;;4;4
B.V. Ingenieursbureau Ir. K. Boorsma;;;;7;7
B.V. Koffie F. Rombouts Nederland;;;;1;1
B.V. Kwadraat Technische Advisering;;;;1;1
B.V. Nart;;;;1;1
B.V. Rederij G. Doeksen en Zonen;;;;2;2
B+B Vakmedianet B.V.;;;;1;1
Baart Advies;;;;2;2
Baas B.V.;;;;2;2
Baat Binnen;;;;1;1
Babbage Company B.V.;;;;4;4
Bacoadviesbureau;;;;3;3
Badhotel Rockanje aan Zee B.V.;;;;1;1
Baek Food & Drinks;;;;1;1
Baelde Loon&Grndverz.bdr.,Cult.techn. Wrk VOF;;;;1;1
Bagger & Waterwerken Oosterwolde B.V.;;;;2;2
Bagger- en Aannem.maatsch. Van der Kamp B.V.;;;;7;7
Baggerbedrijf De Boer;;;;2;2
Baker Tilly Berk Breda;;;;2;2
Baker Tilly Berk Den Haag;;;;1;1
Bakker Ammerlaan Bleiswijk B.V.;;;;1;1
Bakker Boer;;;;1;1
Bakker Rentmeesters & Makelaars B.V.;;;;2;2
Bakker Sliedrecht Electro Industrie B.V.;;;;2;2
Bakker Voskamp B.V.;;;;1;1
Bakkerij Andringa;;;;1;1
Bakkerij De Lekkerbek B.V.;;;;1;1
Bakkerij 'Den Soeten Inval';;;;1;1
Bakkerij Filius;;;;1;1
Bakkerij Hilvers B.V.;;;;1;1
Bakkerij Korteweg;;;;1;1
Bakkerij Out B.V.;;;;1;1
Bakkerij Paulissen B.V.;;;;1;1
Bakkerij Pots;;;;1;1
Bakkerij Risseeuw B.V.;;;;1;1
Bakkerij Tullenaar;;;;1;1
Bakkerij Vink Haarlem B.V.;;;;1;1
Bakker's Constructiebedrijf Delfzijl V.O.F.;;;;1;1
Bakkertje Glasbewassing;;;;1;1
Balance B.V.;;;;1;1
Balance Ervaring op Projectbasis B.V.;;;;8;8
Balance Financieel Management;;;;2;2
Balance2People;;;;3;3
Baljet Groep Events & Facility Management;;;;1;1
Balkan Grill Boro;;;;1;1
Ballast Nedam Infra B.V.;;;;4;4
Ballast Nedam Parking B.V.;;;;1;1
Ballast Nedam Road Specialties B.V.;;;;6;6
Ballering Tankstation;;;;3;3
Balm B.V.;;;;2;2
BAM Accommodatie Asset Management B.V.;;;;5;5
BAM Bouw en Techniek B.V.;;;;5;5
BAM Infra Industrie;;;;10;10
BAM Infra Regionaal Den Haag;;;;1;1
BAM Infra Regionaal Gouda;;;;9;9
BAM Infra Telecom B.V.;;;;3;3
BAM Infraconsult B.V.;;;;3;3
BAM Wegen Materieel B.V.;;;;5;5
Bambook V.O.F.;;;;1;1
Banketbakkerij Jansen-de Koning;;;;1;1
Banketbakkerij Maison Kelder B.V.;;;;1;1
Banketbakkerij Nijstad;;;;1;1
Banketbakkerij Theo Blom V.O.F.;;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;;1;1
Banketbakkerij van Dalen;;;;1;1
Banketbakkerij Verhallen V.O.F.;;;;1;1
Banketbakkerij-Salon De Thee 'Christiaan';;;;1;1
BAR 35 B.V.;;;;1;1
Bar le Duc B.V.;;;;1;1
Bar Restaurant Pavlov B.V.;;;;1;1
Baril Coatings B.V.;;;;1;1
Barrelproof Company B.V.;;;;1;1
Bar-Restaurant Villeneuve;;;;1;1
Barthen Rioleringswerken B.V.;;;;1;1
BAS Consultancy B.V.;;;;3;3
Bas-Atout;;;;1;1
Bascon Constructiebedrijf;;;;1;1
BaseValue B.V.;;;;1;1
BASF Schweiz AG;;;;1;1
Bastion Hotel Utrecht B.V.;;;;1;1
Batec B.V.;;;;1;1
Baten & Partners B.V.;;;;4;4
Batweter onderzoek & advies;;;;2;2
Bax & Company B.V.;;;;2;2
BAX B.V.;;;;1;1
Bax-shop.nl B.V.;;;;1;1
Bazo Staalbeheer B.V.;;;;1;1
Bazuijnen Partyservice;;;;1;1
BB Catering;;;;1;1
bbci Frijwijk B.V.;;;;1;1
BBIM SCB;;;;5;5
BC & O Advies B.V.;;;;1;1
BCC (Elektro-Speciaalzaken) B.V.;;;;1;1
Bcl Real Estate B.V.;;;;3;3
BCN B.V.;;;;1;1
BCT Landgraaf B.V.;;;;1;1
BDL Horeca;;;;1;1
BDS Harlingen B.V.;;;;6;6
Be Mobile B.V.;;;;7;7
Be7;;;;1;1
Beach Club Lekker B.V.;;;;1;1
Beach Club Oostvoorne B.V.;;;;1;1
Beach Professionals B.V.;;;;1;1
Beachclub Lemmer V.O.F.;;;;1;1
Beachclub Titus B.V.;;;;1;1
Beautiful Earth Action & Research BEAR;;;;1;1
Bedr.verzorg. Onderaannem. van Sommeren B.V.;;;;1;1
Bedrijfscatering Jan Vendrig;;;;1;1
Beeksma Banket B.V.;;;;1;1
Beeldvoerders;;;;1;1
Beens Dredging B.V.;;;;5;5
Behartiging Opleidingen Bouwnijverheid B.V.;;;;2;2
Behavioural Design;;;;3;3
Beheer Civiel B.V.;;;;1;1
Beheer&Water2 B.V.;;;;2;2
Beheerscommissie Goede Rede;;;;1;1
Beheersticht. Nationaal Park Schiermonnikoog;;;;1;1
Beiden Handjes;;;;1;1
Beijeman Bestratingen B.V.;;;;4;4
Beijer, Osten & Smits;;;;2;2
Bek & Verburg B.V.;;;;1;1
Bekke Recycling B.V.;;;;1;1
Bekwaam Interim Management B.V.;;;;5;5
Belast./financieel adviespraktijk Mellendijk;;;;2;2
Belevenisboerderij Oosthoek;;;;1;1
Beleving aan zee;;;;1;1
Belgisch Biercafé Olivier B.V.;;;;1;1
Bellevue Groothoofd hotel culinair B.V.;;;;1;1
Belmont Innovations & Sustainability B.V.;;;;1;1
Benegas;;;;2;2
Benjamins & Benjamins;;;;4;4
Benk Projects B.V.;;;;4;4
BENTLEY SYSTEMS INTERNATIONAL;;;;;
Bentum Nijboer Notarissen;;;;2;2
Bentvelsen Fleer Architecten B.V.;;;;1;1
Bentvelzen en Jacobs Demontage B.V.;;;;2;2
Berckeley Square B.V.;;;;1;1
Berenschot B.V.;;;;4;4
Berenschot Groep B.V.;;;;4;4
Berghauser Pont Academy B.V.;;;;1;1
Bergingsbedrijf L. Polderman B.V.;;;;1;1
Bergnet;;;;3;3
Bergsche Plas Exploitatie B.V.;;;;1;1
Berkenhoeve V.O.F.;;;;1;1
Berkx maatwerk voor woning en bedrijf;;;;1;1
Bert Hellinger Instituut Nederland;;;;1;1
Bert Kuizenga Media Producties;;;;1;1
Bert ter Avest, Vormg. Omgevingsparticipatie;;;;2;2
Bespeak B.V.;;;;2;2
Best Berry B.V.;;;;1;1
Best Solution;;;;2;2
Best Trucks Oude Tonge B.V.;;;;1;1
Best Value Consulting;;;;1;1
Best Value Group B.V.;;;;3;3
Best Value Nederland;;;;1;1
Beta Systems Software B.V.;;;;4;4
Betonhuis;;;;1;1
Betonvereniging';;;;2;2
Better Future B.V.;;;;1;1
Between Staffing Nederland B.V.;;;;8;8
Beudeker Advies B.V.;;;;3;3
Beuk Touringcars;;;;2;2
Beute B.V.;;;;1;1
Bever B.V.;;;;1;1
Bevertrans B.V.;;;;1;1
Bex*communicatie;;;;1;1
Beyer & Velinck;;;;2;2
BFC MIndfulness & Compassie;;;;1;1
BG Engineering B.V.;;;;3;3
BG Techniek B.V.;;;;1;1
BG-media;;;;1;1
Bierbrouwerij De Koningshoeven B.V.;;;;1;1
Bierman Henket architecten B.V.;;;;1;1
Biesbosch Museum;;;;1;1
Biesheuvel Techniek Zwolle;;;;1;1
Bij de Buurvrouw B.V.;;;;1;1
Bij Elles;;;;1;1
Bijl Opleiding en Advies;;;;2;2
Bijnsdorp Communicatie Projecten B.V.;;;;2;2
Bijouti-Tech;;;;1;1
Bijzondere Locaties Groningen B.V.;;;;1;1
Bike-minded Design Consulting B.V.;;;;2;2
Bilfinger Tebodin B.V.;;;;2;2
Billink B.V.;;;;1;1
BIMregister;;;;2;2
Bind B.V.;;;;1;1
Bink Rooftop;;;;1;1
bioCatootje;;;;1;1
Bioclear earth B.V.;;;;2;2
BIOCONSULT SH GMBH & CO. KG;;;;4;4
Bioregional Development Group;;;;3;3
BIRD Invest B.V.;;;;2;2
BIS Econocom;;;;2;2
Bisnez Management B.V.;;;;2;2
Bison Bowling;;;;1;1
Bistro Basta;;;;1;1
Bistro Bon;;;;1;1
Bistro 't Kannetje B.V.;;;;1;1
Bistro9;;;;1;1
Bizway B.V.;;;;1;1
Bjit Support;;;;1;1
BJOND BVBA;;;;2;2
Bjørke.nl;;;;2;2
BK Ruimte & Milieu;;;;1;1
Blankenberg;;;;1;1
Blansjaar Beheer B.V.;;;;1;1
BLAUD B.V.;;;;1;1
Blauw Architecten B.V.;;;;2;2
Blauw Research B.V.;;;;2;2
Bleekemolen Indoor Kart Planet B.V.;;;;1;1
Blenheim;;;;2;2
BLITS VISUELE COMMUNICATIE;;;;1;1
Bloembinderij De Korenschoof;;;;1;1
Bloemenboetiek Panhuis;;;;1;1
Bloemenshop Best;;;;1;1
Bloemenshop Rozeneiland;;;;1;1
BLOKOOST;;;;1;1
BloomingData;;;;1;1
Blossum;;;;1;1
Blue Pelican Associates B.V.;;;;1;1
Blue Wave Consulting Company;;;;1;1
Blueconomy B.V.;;;;2;2
Blueland Consultancy B.V.;;;;3;3
Bluestar Onderhoud-Renovatie-Beveiliging;;;;1;1
BlueTerra Energy Experts;;;;2;2
BLYENBURGH & CO;;;;2;2
BMC Advies B.V.;;;;1;1
BMC Implementatie;;;;3;3
BMD Advies Centraal Nederland B.V.;;;;2;2
Bme Utrecht B.V.;;;;1;1
BMT Fire & Rescue B.V.;;;;1;1
BMT Netherlands B.V.;;;;2;2
BNRA Gladheid;;;;7;7
Boardroompartner B.V.;;;;2;2
BOB Infra;;;;4;4
BodemBreed Forum;;;;1;1
Bodemkundig Adviesbureau Edelman B.V.;;;;1;1
Boeder B.V.;;;;1;1
Boegschroef Exploitatie B.V.;;;;1;1
BOEi;;;;1;1
Boekhandel Van der Velde;;;;1;1
Boels Traffic Service B.V.;;;;4;4
Boels Verhuur;;;;1;1
Boels Zanders;;;;1;1
Boer & Croon Management Solutions B.V.;;;;2;2
Boerderij Breevoort;;;;1;1
Boerderij De Ruurhoeve;;;;1;1
Boerderij 't Dommeltje;;;;1;1
Bogaard.clan Engineering;;;;1;1
Bokkers;;;;1;1
Bol van Staveren B.V.;;;;1;1
bol.com B.V.;;;;1;1
Bols Brothers Investment Co;;;;1;1
Bolster Group B.V.;;;;3;3
Bombance;;;;1;1
Bombs Away B.V.;;;;1;1
Bomen Centrum Nederland B.V.;;;;1;1
Bomendienst;;;;1;1
Bomenwacht Nederland B.V.;;;;2;2
Bomm;;;;1;1
Bommel;;;;1;1
Bon Bon Partyservice B.V.;;;;1;1
Bonaire Air Services N.V.;1;;;;1
Bonnie Beach B.V.;;;;1;1
BonoTraffics B.V.;;;;4;4
Boom B.V.;;;;2;2
BOOT organiserend ingenieursburo B.V.;;;;1;1
Bootdump Nederland B.V.;;;;1;1
Bootservice Leeuwen;;;;1;1
Borduurservice Zeeland;;;;1;1
Borgerspark Veendam B.V.;;;;5;5
Borgman Beheer Advies V.O.F.;;;;1;1
Borneman Buitenhof;;;;1;1
Bos & Bos Catering B.V.;;;;1;1
BOS Audio & Light;;;;1;1
Bosch & Slabbers Tuin- en Landsch.arch. B.V.;;;;2;2
Bosch & Van Rijn B.V.;;;;4;4
Bosch en Slabbers Den Haag B.V.;;;;1;1
Bosch en Slabbers Middelburg B.V.;;;;1;1
Bosch Rexroth B.V.;;;;6;6
Boskalis Nederland B.V.;;;;11;11
Boskalis Nederland Infra B.V.;;;;5;5
Bossers & Cnossen B.V.;;;;1;1
Bostec;;;;2;2
Bosveld Gerechtsdeurwaarders & Incasso's;1;;;1;1
Boudewijns Bodem Breed;;;;4;4
Bouhof B.V.;;;;1;1
Bouma Zeiger Gerechtsdeurwaarders & Incasso;;;;1;1
Bouman Coaching & Therapie;;;;1;1
Bours Agrarisch Industrieel Loonbedrijf B.V.;;;;1;1
Bout Advocaten B.V.;;;;1;1
Bouw & Infra Park B.V.;;;;1;1
Bouw- & Scheepvaartservice Ronassis;;;;1;1
Bouwbedrijf A.H. Visser en Zn. B.V.;;;;3;3
Bouwbedrijf Boogert B.V.;;;;1;1
Bouwbedrijf Doornenbal B.V.;;;;6;6
BouwCirculair B.V.;;;;2;2
Bouwend Nederland;;;;1;1
BouwQ B.V.;;;;3;3
Bouwra ICT B.V.;;;;3;3
Bouwservice Management Nederland B.V.;;;;1;1
Bouwvisie Geo Techniek B.V.;;;;7;7
Bovenkamers;;;;1;1
Bovenregionaal kantoor Noord;;;;4;4
Bowling Administratie;;;;1;1
Bowling en Partycentrum Lelystad B.V.;;;;1;1
Bowling Exploitatie Maaspoort;;;;1;1
Bowling Hattem;;;;1;1
BPL Wegen;;;;4;4
B-Plan Ridderkerk B.V.;;;;1;1
BPO Nederland B.V.;;;;1;1
Brabanthallen;;;;2;2
Braber Groenvoorziening B.V.;;;;1;1
Brachion-Idee;;;;1;1
Brackel Juridisch Management;;;;4;4
Brain Box Mediatraining B.V.;;;;1;1
Braining B.V.;;;;4;4
Bram & Aagie;;;;1;1
Branchever. Kringloop Bedr. Nederland (BKN);;;;2;2
Brandstore De Rotterdamsche Oude B.V.;;;;1;1
Brasilbinkie B.V.;;;;1;1
Brasserie 1910 B.V.;;;;1;1
Brasserie De Blokhut;;;;1;1
Brasserie De Boerderij;;;;1;1
Brasserie De Hooge Rotterdamsche B.V.;;;;1;1
Brasserie De Rotterdammer;;;;1;1
Brasserie de Waegh;;;;1;1
Brasserie Het Raadhuis;;;;1;1
Brasserie Jansen;;;;1;1
Brasserie Preuf;;;;1;1
Brasserie Vuur B.V.;;;;1;1
Brasserie Westbeer;;;;1;1
Bravo Multimedia B.V.;;;;1;1
Breakout Rotterdam;;;;1;1
Bredenoord B.V.;;;;1;1
Breijer Koeltechniek B.V.;;;;5;5
Breinkorf;;;;2;2
Brem Funderingsexpertise;;;;2;2
Brennels;;;;1;1
Bressers Beheer B.V.;;;;4;4
Brezo-Elan B.V.;;;;1;1
Bribenco B.V.;;;;1;1
Brickq;;;;4;4
Bright Ecology B.V.;;;;2;2
Bright Management Support & Communicatie;;;;2;2
Brighton Ties;;;;1;1
Brigidahoeve;;;;1;1
Brink Management & Advies B.V.;;;;2;2
BRL Leiden B.V.;;;;1;1
BRO;;;;4;4
Broekies Entertainment Group Bunnik;;;;1;1
BroerZ;;;;1;1
Bronckhorsthoeve Catering B.V.;;;;1;1
Brood & Banketbakkerij Prins B.V.;;;;1;1
BROOD- EN BANKETBAKKERIJ DE WIT BVB;;;;1;1
Brood- en Banketbakkerij Sterk B.V.;;;;1;1
Broodje & Zo...;;;;1;1
Broodje Nuchter;;;;1;1
Broodjenodig;;;;1;1
Broodkapje;;;;1;1
Brouwer Communiceert;;;;3;3
BrownPaperAudit.nl B.V.;;;;1;1
Bruce World Music;;;;1;1
Bruins & Kwast B.V.;;;;1;1
Bruisten GWW B.V.;;;;2;2
Brunel Nederland B.V.;;;;4;4
Brussels Lof;;;;2;2
Brygga;;;;3;3
BS Financial Consultancy;;;;2;2
BS Reclame;;;;1;1
BT NEDERLAND N.V.;;;;3;3
BT TENDER Advies;;;;3;3
BTD Beveiligingstechniek Dordrecht B.V.;;;;2;2
BTL Advies B.V.;;;;6;6
BTL Realisatie B.V.;;;;5;5
BTMpartners B.V.;;;;2;2
BTN B.V.;;;;3;3
BTS;;;;3;3
Buck Consultants International B.V.;;;;4;4
Bucky's Catering B.V.;;;;1;1
Budgetgift.nl B.V.;;;;1;1
Buijert Zwartendijk Kampen B.V.;;;;1;1
Building Bits B.V.;;;;4;4
Buildings That Matter B.V.;;;;1;1
BUILDINGSMART INTERNATIONAL LTD;;;;2;2
BuitenGewoon Evenementen B.V.;;;;1;1
Buitengoed Leeuwenburg;;;;1;1
Buitengoed Slavante Horeca Exploitatie;;;;1;1
Buitengoed Uylenburg B.V.;;;;1;1
Buitenlandse Persvereniging in Nederland;;;;1;1
Buitenpoort Catering B.V.;;;;1;1
BUNDESANSTALT FÜR GEOWISSENSCHAFTEN;;;;1;1
Bur. B + B Stedeb. en Landschapsarch. B.V.;;;;2;2
bur. VERBEEK landsch.arch./ecol./sted. ontw.;;;;1;1
Burdock Bouw en Infra B.V.;;;;6;6
Bureau 8080 B.V.;;;;2;2
Bureau Allersma;;;;1;1
Bureau Brusse;;;;2;2
Bureau De Bont B.V.;;;;2;2
Bureau Fris B.V.;;;;1;1
bureau hanusch;;;;1;1
Bureau Landwijzer;;;;2;2
Bureau M2 B.V.;;;;2;2
Bureau Nieuwe Gracht stedenbouw & landschap;;;;1;1
Bureau Onderhoud;;;;1;1
Bureau Onderweg;;;;3;3
Bureau Op Stand Grafische Vormgeving;;;;2;2
Bureau op zolder;;;;1;1
Bureau PDOT;;;;3;3
Bureau Rechtsbescherming drs. C. van Oosten;;;;1;1
bureau Ruimtewerk;;;;3;3
Bureau Schmidt B.V.;;;;3;3
Bureau voor Beeldzaken B.V.;;;;1;1
Bureau voor Bouwpathologie B.V.;;;;1;1
Bureau voor Overheidscommunicatie B.V.;;;;4;4
Bureau Waardenburg B.V.;;;;7;7
Bureau Wijkwiskunde;;;;1;1
Bureautaal B.V.;;;;1;1
Buren Systems International B.V.;;;;2;2
Burger Boek en Kantoor B.V.;;;;1;1
Burger Coaching & Advies;;;;2;2
Burgundy Street B.V.;;;;1;1
Buro Beschikbaarheid;;;;1;1
Buro De Steeg B.V.;;;;1;1
Buro Duo-Advies;;;;4;4
Buro Nienhuis;;;;1;1
Buro Rietveld B.V.;;;;1;1
Buro Ruimte & Groen;;;;3;3
Buro Vloed;;;;2;2
BuroEvent;;;;1;1
Burrata Turfmarkt B.V.;;;;1;1
Busé Communications;;;;4;4
Buts Technical Consultancy;;;;4;4
Buurthuis Bonte Kraai;;;;1;1
Buyitdirect.com B.V.;;;;4;4
BuzzMaster B.V.;;;;2;2
BvCM Collections B.V.;;;;1;1
Bvolve B.V.;;;;2;2
BVR Advis. Sted. Ontw. en Management B.V.;;;;2;2
BY cc;;;;1;1
By Lipman;;;;1;1
BZ Ingenieurs en Managers B.V.;;;;4;4
C. Claessen, Manag. Opl. en Org. Ontwikkeling;;;;2;2
C. Services Holland B.V.;;;;1;1
C.V. Scheepvaartonderneming Panda;;;;1;1
Caatje aan de Lek;;;;1;1
Cadeau Concepten B.V.;;;;1;1
Cadeaubonnen.nl B.V.;;;;1;1
Cadvisual Benelux B.V.;;;;1;1
Café ' de Gooth ' V.O.F.;;;;1;1
Café Arnhem B.V.;;;;1;1
Café Berentsen;;;;1;1
Café Charlemagne;;;;1;1
Café de Ceuvel Coöperatie UA;;;;1;1
Café De Gekroonde Suikerbiet B.V.;;;;1;1
Café de Merckt;;;;1;1
Café De Tramhalte;;;;1;1
Café De Voetnoot;;;;1;1
Café de Zaak;;;;1;1
Café du Midi B.V.;;;;1;1
Café 'Geertien';;;;1;1
Café Onder de Linden;;;;1;1
Café Restaur. en Zalencentr. Het Wap. van Ens;;;;1;1
Café Restaurant 'De Brekken';;;;1;1
Café Restaurant De Eendracht Abcoude B.V.;;;;1;1
Café Restaurant 'De Engel';;;;1;1
Café Restaurant De Krachtcentrale B.V.;;;;1;1
Café Restaurant Luchthaven Lelystad;;;;1;1
Café Restaurant Mira;;;;1;1
Café Spaarndam;;;;1;1
Café 't Pruuske;;;;1;1
Café van Zanten B.V.;;;;1;1
Café Vlietzicht V.O.F.;;;;1;1
Café Zuid;;;;1;1
Café-Feestz.-Slager. De Ruïne, L. Boere Sjônk;;;;1;1
Café-Restaurant Cornelis;;;;1;1
Café-Restaurant 'Het Wapen van Beckum' B.V.;;;;1;1
Cafetaria de Bikbar;;;;1;1
Caffé Mobile;;;;1;1
Caljé Infra Advies B.V.;;;;2;2
Callas;;;;4;4
Camaba B.V.;;;;2;2
CAMBRIDGE INTELLIGENCE LIMITED;;;;2;2
Cambridge Pixel Ltd;;;;2;2
CameraNU.nl;;;;1;1
Campanile Hotel Rotterdam-Oost;;;;1;1
Campanile Hotel Zwolle;;;;1;1
Campus SUI MOVEO B.V.;;;;6;6
CampusInc B.V.;;;;1;1
Canast B.V.;;;;2;2
CanvasCompany.nl B.V.;;;;1;1
CANWOOD ENTERPRISE;;;;2;2
Capae ProjectExperts B.V.;;;;3;3
Capcloud;;;;2;2
Capgemini Nederland B.V.;;;;8;8
Cappuccino;;;;1;1
Captain AI B.V.;;;;1;1
Caravanstalling de Schaapskooi;;;;2;2
Caribbean Measurement Technologies;;;;1;1
CARIBBEAN WATER AND WASTEWATER;;;;2;2
CARLIER CHAINES;;;;7;7
Carlton Ambassador Hotel B.V.;;;;1;1
Carolink Communicatie B.V.;;;;2;2
Carto Studio B.V.;;;;1;1
CasaGrande B.V.;;;;2;2
Case of Coffee;;;;1;1
Catch Legal B.V.;;;;2;2
Catec B.V.;;;;1;1
Catering De Groene Velden Lelystad;;;;1;1
Catering De Vijf Sterren;;;;1;1
Catering Groep Nederland B.V.;;;;1;1
Catering Hanenburg B.V.;;;;1;1
Catering Utrecht B.V.;;;;1;1
Catering Vousten;;;;1;1
Cateringservice Dik Voor Elkaar;;;;1;1
Cateringservice Schoemaker;;;;1;1
CBRE;;;;3;3
C-Craft;;;;1;1
C-Cube International;;;;3;3
CDT Consultancy voor Database Toepassingen;;;;3;3
CE Delft;;;;5;5
Cebec Beveiligingen B.V.;;;;1;1
CED Interim Professionals B.V.;;;;1;1
Cellint Traffic Solutions Ltd.;;;;4;4
Cenosco Custom B.V.;;;;5;5
Centraal Boekhuis B.V.;;;;1;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;1;1
Centralpoint Nijmegen B.V.;;;;8;8
Centre for Quantitative Methods CQM B.V.;;;;1;1
Centri N.V.;;;;1;1
Centric;;;;4;4
Centurio;;;;2;2
Certified Secure B.V.;;;;1;1
CGI;;;;10;10
CGI Belgium;;;;1;1
CGI Nederland B.V.;;;;5;5
Challenge of Change;;;;1;1
Charme Hotel Wildthout;;;;1;1
Charta Software;;;;6;6
Chase Green B.V.;;;;2;2
Château Royal Events;;;;1;1
Cheiron It B.V.;;;;3;3
Cherry Creek Ltd.;;;;1;1
Chess uitzendbureau B.V.;;;;1;1
Chin.Ind. Restaurant 'Happy Garden';;;;1;1
ChinaMoves;;;;1;1
Chip Bizz B.V.;;;;1;1
Chocolaterie Gelaterie De Lelie;;;;1;1
Chocolaterie Zingg;;;;1;1
Chofah B.V.;;;;1;1
Chorda B.V.;;;;1;1
Chubb Fire & Security Amsterdam;;;;2;2
Chubb Fire & Security B.V.;;;;3;3
Churchill Hotel Terneuzen;;;;1;1
Ciao Catering;;;;1;1
CIBIT Adviseurs/Opleiders;;;;1;1
CIBT Netherlands;;;;1;1
ciiq;;;;4;4
Cimsolutions;;;;7;7
CINX B.V.;;;;2;2
Cipix Internet;;;;1;1
Circl8 B.V.;;;;3;3
Circl8 Holding B.V.;;;;2;2
Circulaire Verpakkingen Fonds B.V.;;;;1;1
circularities;;;;3;3
Citytec B.V.;;;;1;1
Civiele Technieken de Boer Spanlift B.V.;;;;3;3
Civieltechnisch Adviesbureau Storm;;;;2;2
CivilQuest B.V.;;;;4;4
CJDConsultancy;;;;1;1
CK Projectadvies;;;;2;2
Clafis Engineering Noord-Oost B.V.;;;;1;1
Clafis Engineering Noord-West B.V.;;;;6;6
Clafis Engineering Zuid-Oost B.V.;;;;2;2
Clarox B.V.;;;;4;4
Clascon B.V.;;;;1;1
Clean Creations B.V.;;;;1;1
Cleanall B.V.;;;;1;1
Clever-Stream Solutions B.V.;;;;5;5
CLM Onderzoek en Advies B.V.;;;;2;2
CLS COLLECTE LOCALISATION SATELLITE;;;;1;1
CM2A;;;;1;1
CMC Partnership (UK) Ltd.;;;;1;1
CNRS;;;;3;3
Coastal & Marine Union;;;;1;1
Cocean;;;;1;1
Code Geel;;;;1;1
Coen Zwezerijnen Verander. & Karakterbouwers;;;;1;1
Coers & Roest - grafische producties B.V.;;;;1;1
Coffee@work B.V.;;;;1;1
COIM;;;;1;1
Coldmix B.V.;;;;2;2
Colex;;;;1;1
Collabó B.V.;;;;2;2
Collewijn Berging B.V.;;;;2;2
Colored Goods;;;;2;2
Colors World Food;;;;1;1
colortree;;;;1;1
Colorworks B.V.;;;;1;1
Colour me Beautiful;;;;1;1
Colour XL B.V.;;;;1;1
Colt Technology Services B.V.;;;;3;3
Columba Communications;;;;2;2
Combonet B.V.;;;;2;2
Comhairle;;;;2;2
Comic House Amsterdam B.V.;;;;1;1
Comida de Toni;;;;1;1
Commend Benelux B.V.;;;;2;2
Commerciële Club Noordwest Friesland;;;;1;1
Communicatie & Management Kwikkers B.V.;;;;2;2
Communicatie Bureau Podium B.V.;;;;1;1
Communicatiebureau De Lynx B.V.;;;;3;3
Compacon B.V.;;;;1;1
Company Catering Commanderie B.V.;;;;1;1
COMPAREX Nederland B.V.;;;;9;9
Compasco B.V.;;;;1;1
Compass Group Nederland B.V.;;;;1;1
Compass Infrastructuur Nederland (CIN) B.V.;;;;9;9
Compass Technische Installaties (CTI) B.V.;;;;4;4
Competence Factory;;;;1;1
Compion;;;;1;1
Complete Dienstverlening B.V.;;;;2;2
Complions-GRC B.V.;;;;1;1
