Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Bloemberg Communicatie;;;;;1;;;;1
Bloembinderij Cees Van Eijck;;;1;;;;;;1
Bloembinderij de Korenschoof;;;1;;;;;;1
Bloembinderij De Mare;;;1;;;;;;1
Bloembinderij Hans Groenewegen;;;1;;;;;;1
Bloembinderij Jeannette;;;1;;;;;;1
Bloembinderij Johnflora;;;1;;;;;;1
Bloembinderij Myosotis;;;1;;;;;;1
Bloembinderij van der Maat;;;1;;;;;;1
Bloemboetiek De Vlijtige Lies;;;1;;;;;;1
Bloemdesign Rotterdam;;;1;;;;;;1
Bloemen François van Gurp;;;1;;;;;;1
Bloemenhuis D.P. van Wageningen;;;1;;;;;;1
Bloemenhuis 'De Narcis';;;2;;;;;;2
Bloemenhuis Klimop;;;1;;;;;;1
Bloemenhuis 'Meindert';;;1;;;;;;1
Bloemenland;;;1;;;;;;1
Bloemenmagazijn 'De Eeuwige Lente' B.V.;;;1;;;;;;1
Bloemenmagazijn Johan;;;1;;;;;;1
Bloemenpotpourri;;;1;;;;;;1
Bloemisterij Bloem & So;;;1;;;;;;1
Bloemisterij Bloesem;;;1;;;;;;1
Bloemisterij Hogedijken;;;1;;;;;;1
Bloemsierkunst Anggrek;;;1;;;;;;1
Bloemsierkunst Anneke Kapteyn;;;1;;;;;;1
Bloemsierkunst Artisjok;;;;;;;;1;1
Bloemsierkunst Carlo Volwater;;1;;;;;;;1
Bloemsierkunst 'De Lelie';;;1;;;;;;1
Bloemsierkunst 'Het groene Huys';;1;1;;;;;;1
Bloemsierkunst Nagelhout V.O.F.;;;1;;;;;;1
Bloemsierkunst 'Nita';;;1;;;;;;1
Bloemstylist Hans Zijlstra;;;1;;;;;;1
Blokker Nieuwleusen;;;1;;;;;;1
Blom Opleidingen;;;;;1;;;;1
Blomberg Instituut B.V.;;;1;;1;;;;1
Blomke Fan Romke;;;;;1;;;;1
blooming hotel en conferentielandgoed B.V.;;;;;1;;;;1
blooming trainingsbureau B.V.;;;1;;2;;;;2
BLOSSOM bloemisterij;;;1;;;;;;1
Blotevoetenpark;;;1;;;;;;1
Blue Sakura B.V.;;;1;;;;;1;1
BlueMesa B.V.;;;;;1;;;;1
BMC Advies B.V.;;;1;1;1;;;;2
BMC Implementatie;;;;;1;;;;1
Bo & Ro KookInstituut B.V.;;;;;1;;;;1
Boaty B.V.;;;1;;;;;;1
Boefje B.V.;;;1;;;;;1;1
Boek- en Kantoorvakhandel Schipperheijn;;;1;;;;;;1
Boekee Kwaliteitsstomerij;;;1;;;;;;1
Boekenkunst;;;1;;;;;;1
Boeketterie;;;1;;;;;;1
Boekhandel Van Kemenade & Hollaers B.V.;;;1;;;;;;1
Boekhandel Waanders B.V.;;;1;;;;;;1
Boer Bos Management van Natuurtalent;;;1;;;;;;1
Boerderij Camping 'Bouwlust';;;1;;;;;;1
Boerderij Kamps;;;;;;;;1;1
Boerenrustcamping 'de Kermisrose';;;1;;;;;;1
Boerensolexverhuur;;1;;;;;;;1
Boergondineren.nl;;;1;;;;;;1
Boertien en Partners;;;;;2;;;;2
Boertien Vergouwen Overduin B.V.;;;;;1;;;;1
Boga;;;1;;;;;;1
Bohn Stafleu Van Loghum;;;1;;2;;;;2
Bojo B.V.;;;;;;;;1;1
Boksvereniging Fitness Centrum Purmerend;;;;;1;;;;1
bol.com B.V.;;;1;;1;;;;1
Bolletje Winkel & Koffieschenkerij Anno 1867;;;1;;;;;;1
Bolten Training en Advies;;;;;1;;;;1
Bonbon Atelier A3;;;1;;;;;;1
Bongo Belevenisbon;;;1;;;;;;1
Bonhof*bloemen*maarssen V.O.F.;;;1;;;;;;1
Bonnefantenmuseum Maastricht;;;1;;;;;;1
Bonque B.V.;;;;2;;;;;2
Boodschappendienst Amsterdam B.V.;;;1;;;;;;1
Bookx B.V.;;;1;;;;;;1
Boom & Bos B.V.;;;;;1;;;;1
Boom en bloem;;;1;;;;;;1
Boom regionale uitgevers B.V.;;;1;;;;;;1
Boom uitgevers Amsterdam B.V.;;;1;;1;;;;1
Boom uitgevers Den Haag;;;;;1;;;;1
Boost Events;;1;1;;;;;;2
Bootsma De Rouwe Advocaten;;;;;;;;1;1
Bordewijk Training & Advies;;;;;1;;;;1
Borduurstudio Het Gooi;;;1;;;;;;1
Boringa & Lankester registeraccountants;;;;;1;;;;1
Borrel Bar;;;;;;;;1;1
Borsboom & Hamm N.V.;;;1;;;;;;1
Bos Horeca B.V.;;;;;;;;1;1
Bos Incasso B.V.;;;1;;;;;1;1
Boscafé het Maasdal;;;1;;;;;;1
Boscafé 't Hijgend Hert Vijlen B.V.;;;1;;;;;;1
Bosch Advocaten Coöperatie UA;;;;;1;;;;1
Bosch Sport Business;;;;;1;;;;1
Boshotel Vlodrop;;;1;;1;;;1;1
Bospaviljoen Norgerberg C.V.;;;1;;;;;1;1
Botenverhuur De Rijnstroom;;;;;1;;;;1
Boterhal;;;;;;;;1;1
Boterwaag Den Haag B.V.;;;;;;;;1;1
Boudewijn European Affairs;;;;;1;;;;1
Boulevardtrein;;;1;;;;;;1
Bouman Bezorgbakker;;;1;;;;;;1
Bounce Centra voor Werk & Psyche;;1;2;;1;;;;2
Bounin Special Services;;;;;;;;4;4
Bouquetterie Fronita;;;1;;;;;;1
Boutique des Fleurs;;;1;;;;;;1
Bouvigne Paradijs B.V.;;;;;;;;1;1
Bouwbedrijf Salverda B.V.;;;;;;;;1;1
Bouwens Chauffeursdiensten B.V.;;;;;;;;1;1
BOW psychologisch advies;;;;2;1;;;;2
Bowl & Fun Emmen;;;1;;;;;;1
Bowling Almere B.V.;;;1;;;;;;1
Bowling en Party Centrum Breda;;;1;;;;;;1
Bowling- en Partycentrum De Schelmse Brug;;;;;;;;1;1
Bowling- en Partycentrum Krimpenhof B.V.;;;1;;;;;;1
Bowling- en Partycentrum Maaspoort;;1;;;;;;;1
Bowling- en Partycentrum Westerpark B.V.;;;1;;;;;;1
Bowling Kartcentrum Westfriesland B.V.;;;1;;;;;;1
Bowling Scheveningen B.V.;;1;1;;;;;;1
Bowling Schiedam B.V.;;;1;;;;;;1
Boxem Ter Apel B.V.;;;1;;;;;;1
BPM Medica;;;;2;;;;;2
Braai-Tapperij 'De Mug';;;;;;;;1;1
Brabant Expres B.V.;;;1;;1;;;1;1
Brabant Sport en Spelverhuur V.O.F.;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;2;;;;2
Brain Club;;;;;1;;;;1
BrainStudio International B.V.;;;;;2;;;;2
Braint;;;;;1;;;;1
Brand Personeels-Management;;;2;;;;;;2
Brandid B.V.;;;;;1;;;;1
BrandNewHealth B.V.;;1;;;;;;;1
Brapewo;;;1;;;;;;1
Brasserie Bakboord B.V.;;;1;;;;;1;1
Brasserie Buitenhof;;;1;;;;;1;1
Brasserie d'ANVERS;;;;;;;;1;1
Brasserie de Alphense Burgemeester;;;1;;;;;;1
Brasserie De Boerderij;;;1;;;;;1;1
Brasserie De Corner;;;1;;;;;;1
Brasserie De Gruyterfabriek;;1;;;;;;;1
Brasserie de Keizer Gemert B.V.;;;;;;;;1;1
Brasserie de Koepel;;;;;;;;1;1
Brasserie De Kroon;;;;;;;;1;1
Brasserie d'Oude Veiling;;;1;;;;;1;1
Brasserie in den Zevenden Hemel;;;;;;;;1;1
Brasserie Laag-Kanje;;;;;;;;1;1
Brasserie NUL76;;;;;1;;;;1
Brasserie Ome Bernard B.V.;;;1;;;;;1;1
Brasserie Panneke;;;;;;;;1;1
Brasserie Qke-Leq;;;;;;;;1;1
Brasserie Sequenza;;;;;;;;1;1
Brasserie Soho B.V.;;;;;;;;1;1
Brasserie Springer;;;1;;;;;;1
Brasserie 't Archief;;;1;;;;;;1
Brasserie 't Zusje Uden B.V.;;;;;;;;1;1
Brasserie Waalhaven;;;;;;;;1;1
Brasserie/Restaurant Babbilage;;;1;;;;;1;1
Brauwers B.V.;;;;;;;;1;1
Brave media;;;;;1;;;;1
Braza B.V.;;;;;;;;1;1
Break Free Fun Company;;;2;;1;;;;2
Break Out Events B.V.;;;;;1;;;;1
Breakout Rotterdam;;;1;;;;;1;1
Breur IJzerhandel Vlietlaan B.V.;;;2;;;;;;2
Bright Alley Knowledge & Learning B.V.;;;;;1;;;;1
Bright Events;;1;1;;1;;;;2
Bright MC B.V.;;;1;;;;;;1
Brillat-Savarin B.V.;;;;;1;;;1;1
Brilmij Groep B.V.;;1;1;;;;;;1
Brinkhuis Consultancy;;;1;;1;;;;1
Brinkhuis Management & Advies B.V.;;;;;1;;;;1
Brinq Training & Communicatie;;;;;1;;;;1
Britt-Art;;;;;1;;;;1
BRLN;;;;;;;;1;1
Brocante De Weldaad;;;1;;;;;;1
Brodies;;;1;;;;;;1
Broekhuis Nunspeet B.V.;;;;;;;;1;1
Brofa V.O.F.;;;;;;;;1;1
Bron-X B.V.;;;;;1;;;;1
Brood & Banket Antoinette B.V.;;;1;;;;;;1
Brood- & Banketbakkerij Prins;;;1;;;;;;1
Brood- en Banketbakkerij A. Spapens;;;1;;;;;;1
Brood en Banketbakkerij Besseling;;;1;;;;;;1
Brood en Banketbakkerij C. van Barneveld B.V.;;;1;;;;;1;1
Brood- en Banketbakkerij Mestrom;;;1;;;;;;1
Brood- en Banketbakkerij P.A. Bliek;;;1;;;;;1;1
Brood Rotterdam V.O.F.;;;1;;;;;;1
Broodje Groffen;;;;;;;;1;1
Broodjeslijn;;;;;;;;1;1
Brouwer Financiële Hulpverlening;;;1;;;;;;1
Brouwerij de Prael;;;1;;;;;;1
Brouwerij Maximus B.V.;;;1;;;;;;1
Brouwerij Scheveningen op Lokatie;;;1;;;;;;1
BR-Platform Nederland;;;;;1;;;;1
Brüggemann horeca groep;;;1;;;;;1;1
Brunel Nederland B.V.;;;;;2;;;;2
Brw Groep B.V.;;;;;1;;;;1
BS Workspace Solutions;;1;;;;;;;1
B-shops B.V.;;;;;;;;1;1
BTO B.V.;;;;;1;;;1;1
Bubbels Events & Gifts B.V.;;;1;;;;;;1
Buchrnhornen B.V.;;;1;;;;;;1
Buddhas B.V.;;;;;;;;1;1
Budget Broodjes;;;1;;1;;;1;1
Budget- en Begeleidingsbureau Kreule;;;1;;;;;;1
Buena Vista Beach Club;;;1;;;;;1;2
Building G100;;;1;;1;;;;1
Buisman Brillen B.V.;;1;;;;;;;1
Buitengewoon Bloemen;;;1;;;;;;1
Buitengewoon Events!;;;;;;1;;1;1
Buitengoed Hagenhorst Exploitatie B.V.;;;1;;;;;1;1
Buitengoed Uylenburg B.V.;;;;;;;;1;1
Buitenherberg Ter Linde;;;1;;;;;1;1
Buitenplaats Vaeshartelt B.V.;;;;;;;;1;1
Buitensport B.V.;;;1;;;;;;1
Bulder International;;;1;;;;;;1
Bureau 51;;;1;;;;;;1
Bureau De Jong en de Jong;;1;2;;;;;;2
Bureau 'en Plein Soleil';;;;;;;;1;1
Bureau Jeugd en Media;;;;;1;;;;1
Bureau Liedeweijde B.V.;;;;;2;;;;2
Bureau Maaiveld;;;;;1;;;;1
Bureau Personal Development B.V.;;;;;1;;;;1
Bureau P-zaken;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;2;;;;2
Bureau Schippers coaching en training;;;1;;2;;;;2
Bureau Streefkerk B.V.;;;1;;;;;;1
Bureau Van Rinsum;;;;;;;;1;1
Bureau Van Vliet B.V.;;;;1;;;;;1
Bureau Verheijen;;;;;1;;;;1
Bureau Volzin B.V.;;1;;;;;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;1;;;;1
Bureau voor oplossingsgericht werken;;;;;1;;;;1
Bureau voor Toegepast Veiligsheidsonderzoek;;;;;;;;1;1
Bureau Zuidema B.V.;;;1;;3;;;1;3
Bureautaal B.V.;;;;;1;;;;1
Burger Coaching & Advies;;;;;2;;;;2
Burgers Arneym B.V.;;;;;;;;1;1
Burn Out Poli;;;1;;2;;;;2
Buro Acting;;;;;;;;1;1
Buro Brinkman train.-coach-advies in bev.ber.;;;;;1;;;;1
Buro Kleurkracht;;;;;1;;;;1
Buro van Oranje;;;;;1;;;;1
Buro Vermeer;;;1;;2;;;;2
Business Flash;;;1;;;;;;1
Business Graphics;;;;1;;;;;1
Business Marketing Services Opleidingen B.V.;;;;;;;;1;1
BVO Opleidingen B.V.;;;;;4;;;;4
BW Bedrijfsfitness B.V.;;1;1;;2;;;;2
By Limone;;;1;;;;;;1
C&O Travel Special Tours;;;;;;;;1;1
C. Aalders Expert. Centrum Mindf. en Zingev.;;1;;;;;;;1
C.F.C. Taxi;;;;;;;;1;1
C.I.C. Company B.V.;;;;;1;;;;1
C.I.V.A.S. B.V.;;;;;1;;;;1
C.M.A. De Vries Beheer B.V.;;;;;1;;;;1
C.T.A.M. van den Boom Organisatie Advies B.V.;;;2;;;;;;2
C.V. Advies B.V.;;;1;;;;;;1
C.V. Rosarium Wokrestaurant Westbroekpark;;;1;;;;;1;1
Cablepark Almere;;;1;;;;;;1
Cabolicious;;;1;;;;;;1
CAD & Company Civil Solutions B.V.;;;;;1;;;;1
Cadac Group ISV B.V.;;;;;1;;;;1
Cadeau Concepten B.V.;;;1;;;;;;1
Cadix Opleidingen;;;;;1;;;;1
Café Anno 1890;;;1;;;;;;1
Café Bali;;;;;;;;1;1
Café 'Banka';;;;;;;;1;1
Café Bar St. Jan;;;;;;;;1;1
Café Berger Beheer;;;;;;;;1;1
Cafe Blossom;;;;;;;;1;1
Café Brasserie de Grenadier;;;;;;;;1;1
Café de Bank;;;1;;;;;1;1
Café De Blauwe Pan;;;1;;;;;;1
Café de Bommel B.V.;;;;;;;;1;1
Café De Courant;;;1;;;;;;1
Café De Gekroonde Suikerbiet;;;1;;;;;;1
Café de Gouden Leeuw;;;1;;;1;;;1
Café de Hertog-Jan Proeverij;;;1;;;1;;;1
Café De Jaren;;;1;;;;;;1
Café de Kroeg eten & drinken;;;;;;;;1;1
Café De Schoof V.O.F.;;;1;;;;;;1
Cafe de Unie;;;1;;;;;;1
Café de Wijnhaven B.V.;;;;;;;;1;1
Cafe Enzo;;;;;;;;1;1
Café Floor;;;;;1;;;;1
Café Het Wapen van Poortugaal & Albrandswaard;;;1;;;;;;1
Café Huppel 'The Pub';;;1;;;;;;1
Café in 't Zand B.V.;;;1;;;;;;1
Café Lebbink B.V.;;;1;;;;;;1
Café Mulder;;;;;;;;1;1
Café oom Dagobert;;;;;;;;1;1
Café Restaurant De Beyerd;;;;;;;;1;1
Café Restaurant De Biechtstoel;;;;;;;;1;1
Café Restaurant 'De Hoeve' B.V.;;;1;;;;;;1
Cafe Restaurant 'De Vriendschap';;;1;;;;;1;1
Café Restaurant De Wits;;;;;1;;;1;1
Café Restaurant Luchthaven Lelystad;;;;;;;;1;1
Café Restaurant Metropole;;;;;;;;1;1
Café Restaurant Piet Hein B.V.;;;1;;;;;2;2
Café Restaurant Rootz B.V.;;;1;;;;;1;1
Café Restaurant Stelios;;;;;;;;1;1
Café Restaurant Stout B.V.;;;1;;;;;1;1
Café Restaurant van Puffelen Café Restaurant;;;1;;;;;;1
Cafe Restaurant Vandaag B.V.;;;1;;;;;1;1
Café Restaurant Volt;;;;;;;;1;1
Café Soif;;1;;;;;;;1
Café ''t Haantje';;;;;;;;1;1
Café 't Hemeltje B.V.;;;;;;;;1;1
Café 't Kroegje;;;1;;;;;;1
Café Van Beek;;;;;;;;1;1
Café Verheyden;;;1;;;;;1;1
Café Zomers & Zomers;;;1;;;;;;1
Café Zuid;;;;;1;;;1;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;;;;1;1
Café-Brasserie Mell's Place;;1;1;;;;;1;1
Café-Diner 'De Grote Beer';;;;;;;;1;1
Café-Petit Restaurant De Posthoorn;;;;;;;;1;1
Café-Restaurant Amier B.V.;;;;;;;;1;1
Café-Restaurant Amsterdam B.V.;;;;;;;;1;1
Cafe-Restaurant 'De Heerenkeet';;;;;;;;1;1
Café-Restaurant De Nederlandse Alp;;;;;1;;;1;1
Café-Restaurant 'De Roskam' B.V.;;;;;;;;1;1
Café-Restaurant De Roustap;;;1;;;;;;1
Café-Restaurant 'De Soesterduinen' B.V.;;;1;;;;;1;1
Café-Restaurant De Veranda B.V.;;;;;1;;;1;1
Café-Restaurant Den Heuvel;;;;;;;;1;1
Café-Restaurant d'Olde Heerd;;;;;;;;1;1
Café-Restaurant New York Den Haag;;;;;;;;1;1
Café-Restaurant Riva B.V.;;;;;;;;1;1
Cafetaria IJssalon de Molenhoek;;;1;;;;;1;1
Cafetaria Jimmy's;;;;;;;;1;1
Cafetaria 't Lambertje;;;;;;;;1;1
Cafe-Zaal D'n Beer;;1;;;;;;;1
Caffe 500;;;;;;;;1;1
CAI-Opleidingen B.V.;;;;;1;;;;1
Caleidoscoop Leertrajecten;;;;;1;;;;1
Camping De Bronzen Eik;;;1;;;;;;1
Camping en Recreatiecentrum Lauwersoog B.V.;;;1;;1;;;;1
Camping 'Zilveren Maan';;;1;;;;;;1
Candela;;;1;;;;;;1
Canoy strafrechtadvocaatuur Leeuwarden;;;;;;;;1;1
Capgemini Nederland B.V.;;;;;3;;;;3
Capo Cucina;;;;;1;;;1;1
Capra advocaten;;;1;;1;;;;1
Card Vision B.V.;;;1;;;;;;1
Career Solution;;1;;;;;;;1
Carex Beheer B.V.;;;1;;;;;;1
Carlton Ambassador Hotel B.V.;;;1;;;;;1;1
Carlton Beach Club;;;;;;;;1;1
Carlton De Brug B.V.;;;;;1;;;;1
Carlton Hotels Nederland B.V.;;;1;;;;;;1
Carlton Oasis Hotel;;;;;;;;1;1
Caroni;;;1;;;;;;1
Carpabizzgifts B.V.;;;1;;;;;;1
Carpe Diem Events;;;1;;;;;;1
Carpe Diem Events & Verhuur;;;1;;;;;;1
Carpe Diem Restaurant;;;;;;;;1;1
Carrière Support;;;;;1;;;;1
Carriere Switch B.V.;;;2;;1;;;;2
Casteleijn Brood B.V.;;;1;;;;;;1
Catering Company;;;1;;1;;;1;1
Catering de Commanderie B.V.;;;1;;;;;;1
Catering Service 't Ankertje;;;1;;;;;1;1
Catering van den Berg;;;1;;;;;;1
Cateringservice Oosterhoff;;;1;;;;;;1
Cateringservice Op Dreef;;;1;;;;;;1
Cateringspecialist Bertus Voortman;;;;;;;;1;1
Cave Oporto;;;;;;;;1;1
CCB Groep B.V.;;;;;1;;;;1
CDMS;;;;;1;;;;1
Cedere B.V.;;;1;;1;;;;1
Celona Enschede Gastro B.V.;;;1;;;;;;1
Centennium B.V.;;;;;1;;;;1
Center For Organizational Performance B.V.;;;;;1;;;;1
Center Parcs Netherlands N.V.;;;1;;;;;;1
Central Park, by Ron Blaauw;;;;;;;;1;1
Centrale Bibliotheek Almelo;;;1;;;;;;1
Centrale Rino B.V.;;;1;;1;;;;1
Centre de Cours Alliance Française de La Haye;;;;;1;;;;1
Centric Software Engineering B.V.;;;;;1;;;;1
Centrum voor Conflicthantering B.V.;;;;;2;;;;2
Centrum voor effectieve Intuitie;;;;;1;;;;1
Centrum voor Keteninformatisering B.V.;;;;;1;;;;1
Centrum voor Transities;;;;;2;;;1;2
centrumFIT B.V.;;1;;;;;;;1
Cerios Testing;;;;;1;;;;1
Cerno Development;;;1;;;;;;1
CFS;;;;;1;;;;1
Chalet Bergrust;;;1;;;;;1;1
Chameleon Associates B.V.;;;;;1;;;;1
Chance2change;;;1;;;;;;1
Chantal Kouwenhoven B.V.;;;;;;;;1;1
Chapoo! B.V.;;;;;;;;1;1
Charelli B.V.;;;1;;;;;1;1
Charme Hotel Oosterhout Exploitatie B.V.;;;;;;;;1;1
Chauffeursnet;;;;;;;;1;1
CHCH Exploitatie B.V.;;;1;;;;;;1
ChefPlaza;;;;;;;;1;1
Chemisch Reiniging Hahné;;;1;;;;;;1
Chicken Avrasya;;;1;;;;;;1
Chin. Ind. Restaurant 'De Chinese Muur' B.V.;;;1;;;;;1;1
Chin. Specialiteiten Restaurant Color Flower;;;;;;;;1;1
Chin. Wok Japans Rest. Keyzer Palace Rosmalen;;;1;;;;;;1
Chin.-Ind. Special. Restaurant Malakka B.V.;;;1;;;;;1;1
Chinees Indisch Restaurant Long Sing;;;1;;1;;;;1
Chinees Indisch Restaurant Nieuw China;;;1;;;;;1;1
Chinees Indisch Restaurant Sin Jah;;;1;;;;;1;1
Chinees Restaurant China;;;;;;;;1;1
Chinees Restaurant Manchuria;;;1;;;;;1;1
Chinees Restaurant 'Paradijs';;;;;1;;;;1
Chinees-Indisch Restaurant 'Happy Garden';;;;;;;;1;1
Chinees-Indisch Restaurant 'Hong Kong' V.O.F.;;;1;;;;;;1
Chinees-Indisch Restaurant 'Peking Garden';;;1;;;;;;1
Chinese specialiteiten restaurant La Tim;;;1;;;;;;1
Choco Loca;;;1;;;;;;1
Chocolade Atelier van Noppen B.V.;;;1;;;;;;1
Chocolade en Koffie;;;1;;;;;1;1
Chocolate Company Specials B.V.;;;1;;;;;;1
Chocolaterie Albert B.V.;;;1;;;;;;1
Chocolaterie De Lelie;;;1;;;;;;1
Chocolaterie Lugano V.O.F.;;;;;;;;1;1
Choco-Paradijs;;;1;;;;;;1
Chorda B.V.;;;1;;;;;;1
Chr. Veldhof Kunst in Teken & Schilderopdr.;;;;;1;;;;1
Chris Peek;;;;;1;;;;1
Christelijke Hogeschool Ede;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;2;;;;2
Christianne Nagel Coaching;;;;;2;;;;2
Christine Kehrer-Bot;;;;;1;;;;1
Ciao! Ciao! B.V.;;;1;;;;;1;1
CIBIT Adviseurs/Opleiders;;;;;2;;;;2
C-IC (Coachen van de Innelijke Conversatie);;;;;1;;;;1
Cinetone V.O.F.;;;1;;;;;;1
Cintea;;;;;2;;;;2
CIO Platform Nederland;;;1;;;;;;1
CIOnet Nederland B.V.;;;;;1;;;;1
Ciran Almere B.V.;;;;;1;;;;1
Ciran Maastricht;;;1;;1;;;;1
Circon B.V.;;;;;1;;;;1
cirkelopleidingsdiensten.nl;;;;;1;;;;1
Cité Soleil;;;1;;1;;;;1
City Safari V.O.F.;;;1;;;;;;1
City Tax B.V.;;;;;;;;1;1
City Tuk;;;1;;;;;;1
Citybloem Bloemdecorateurs;;;1;;;;;;1
Cityhotel Exploitatie B.V.;;;;;;;;1;1
CitySense B.V.;;;2;;;3;;;3
Claire Werkt!;;;;;1;;;;1
Classic Boat Tours;;;1;;;;;;1
Claudia Strömberg Personeelsadvies;;1;1;;1;;;;1
Cleerdin & Hamer Advocaten;;;;;;;;1;1
CLEVIM;;;;;1;;;;1
Cloose;;;;;;;;1;1
CLS Computertrainingen;;;;;1;;;;1
Clubhuis Scouting Agger Martini Groep;;;1;;;;;;1
CLUB-LIFE B.V.;;1;;;;;;;1
CM Partners B.V.;;;;;1;;;;1
CMB Holding B.V.;;;;;1;;;;1
CMS Derks Star Busmann;;;;;;;;1;1
CNV Connectief;;;1;;;;;;1
CNV Publieke Zaak;;;1;;;;;1;1
Coach Almelo B.V. / The Athlete's Foot Almelo;;;;;1;;;;1
Coach Collectief Frans de Jel;;1;;;;;;;1
Coach to coach B.V.;;;1;;1;;;;1
Coachboulevard B.V.;;;;;1;;;;1
Coaching in Change;;;;;1;;;;1
Coaching Nederland B.V.;;;;;1;;;;1
Coachings- en Adviesbur. drs. P.M.G. Heymann;;;;;1;;;;1
Coachpraktijk Joan van der Zee;;;;;1;;;;1
COBBS Industries B.V.;;;4;;;;;;4
CoCon Coaching & Consultancy;;;;;;;;1;1
Co-creation Company;;;;;1;;;;1
Coffee & Cream;;;1;;;;;1;1
CoffeeClub 2015 B.V.;;;;;;;;1;1
Coffeemania Overvecht;;;;;;;;1;1
Cogas B.V.;;;;;1;;;;1
Collective Talent Company;;;1;;1;;;;1
College of Multimedia;;;;;1;;;;1
Colorworks B.V.;;;1;;;;;;1
Combiwel;;;1;;;;;;1
Combo Emonomy B.V.;;;;;1;;;;1
Com-Connect;;;;;1;;;;1
Comenius Consult;;;;;2;;;;2
Comfort Best B.V.;;;1;;;;;;1
Comic House Amsterdam B.V.;;;;;2;;;;2
Comm B.V.;;;1;;3;;;1;3
Common Eye B.V.;;;;;1;;;;1
Commpetent Training & Coaching;;;;;1;;;;1
Compacon B.V.;;;1;;;;;;1
COMPAREX Nederland B.V.;;;;;3;;;;3
Compass Group Nederland B.V.;;;1;;1;;;;1
Competence Factory;;;;;1;;;;1
Compu Act Opleidingen B.V.;;;;;1;;;;1
Compu'Train;;;;;2;;;;2
Computrain Opleidingen;;;;;3;;;;3
Conclusion B.V.;;;;;3;;;;3
Conclusion Mobiliteit BV;;;;;1;;;;1
Concordia Meppel;;;1;;;;;;1
Condor Arnhem B.V.;;;2;;;;;;2
Conf.- & Opleidingscentr. De Ruwenberg B.V.;;;;;;;;1;1
Confederation of European Probation;;;;;1;;;;1
Conferentie hotel Villa Heidebad;;;1;;1;;;1;1
Conferentiehotel Landgoed Rhederoord B.V.;;;1;;1;;;;1
Congres4U;;;;;1;;;;1
Connect IT Arbeidsmarkt Leeuwarden;;;1;;;;;;1
Connecta;;;;;1;;;;1
Connexxion;;;2;;1;;;2;3
Connexxion Openbaar Vervoer N.V.;;;;;;;;1;1
Connexxion Taxi Services B.V.;;;1;;;;;2;2
Conquaestor B.V.;;;;;1;;;;1
Conrad Electronic Nederland BV;;;1;;;;;;1
Consigliera;;;1;;;;;;1
Consonante;;;;;1;;;;1
Contact@Work;;;;;1;;;;1
Contactgroep Personeelsbeleid Enschede CPE;;;;;1;;;;1
ContentVisie B.V.;;;;;1;;;;1
Contrasticon B.V.;;;1;;;;;;1
Cook Inn;;;1;;;;;;1
Cook Inn catering;;;;;;;;1;1
Coöp. Reg. Ambulancevoorziening Haaglanden UA;;;;;;;;1;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;1;;;;1
Coöperatie ACS partners UA;;;;;1;;;;1
Coöperatie FitinIT UA;;;;;3;;;;3
Coöperatie Oost Zeeuws-Vlaamse Baret UA;;;1;;;;;;1
Coöperatie Reflekt Hrm UA;;;1;;;;;;1
Coöperatieve M7 UA;;;;;2;;;;2
Coöperatieve vereniging Natlab UA;;;;;1;;;;1
Coosto Holding B.V.;;;;;1;;;;1
Copgroep B.V.;;;;;3;;;;3
Copy Shop Den-Bosch;;1;;;;;;;1
Corael Compagnie;;;;;1;;;;1
CORE-Vision B.V.;;;;;1;;;;1
Corinor Organisatieontwikkeling B.V.;;;;;1;;;;1
Corion B.V.;;;;;1;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;;1
Corpus Consultancy;;;;;2;;;;2
Corval;;;;;2;;;;2
Costuummagazijn A.T. de Wit B.V.;;;1;;;;;;1
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;1;;2;;;;2
Cotica HRM advies;;;;;1;;;;1
COTRAE Traffic & Automotive Education;;;;;1;;;;1
Countus Accountants + Adviseurs B.V.;;;;;1;;;;1
Crazy Beach B.V.;;;1;;;;;;1
Crazy Holding;;;;;;;;1;1
Crazy Piano's Scheveningen B.V.;;1;1;;;;;;1
CreaByAndrea;;1;;;;;;;1
Creaim B.V.;;;;;1;;;;1
Create 2 Connect B.V.;;;;;1;;;;1
Crimpert Salm;;;;;;;;1;1
CRISAR;;;;;1;;;;1
Crisisplan B.V.;;;;;2;;;;2
Cristal Cleaning Stomerij Vof;;;1;;;;;;1
Cristal Cleaning Zwolle-Zuid;;;1;;;;;;1
CRKL V.O.F.;;;;;1;;;;1
