2;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
De Kookfabriek Utrecht B.V.;;;1;;;;;;1
De Koperen Tuin B.V.;;;1;;;;;;1
De Kust Kijkduin;;;;;;1;;;1
De Leckernij Enschede;;;1;;;;;;1
De Leijhof B.V.;;;;;;1;;;1
De Mallemolen;;;1;;;;;;1
De Molen Kaatsheuvel B.V.;;;1;;;;;;1
De Molenhoeve;;;;;;1;;;1
De Moriaan Eten & Drinken B.V.;;;1;;;;;;1
De Nederlandse Orde van Belastingadviseurs;;;;;2;;;;2
De Nieuwe Kracht B.V.;;;;1;;;;;1
De Nieuwe Pelgrim;;;;;1;;;;1
De Nonnen in Vught;;;;;2;;;;2
De Noot;;;1;;;;;;1
De Omropper B.V.;1;;;;;;;;1
De Onderstroom Karin Brugman;;;;;1;;;;1
De Orchideeënhoeve B.V.;;;;;;;;1;1
De Overbuurvrouw;;;1;;;;;;1
De Partyhut B.V.;;;1;;;;;;1
De Pastorie;;;1;;;;;;1
De Pastorie Roermond;;;1;;;;;;1
De Peer Horeca B.V.;;;1;;;;;;1
de Persgroep Nederland B.V.;;;1;;;;;;1
De Poort van Kleef Utrecht B.V.;;;1;;;;;;1
De Roos & Pen B.V.;;;;;1;;;;1
De Ruyterhuis V.O.F.;;;;;;;;1;1
De Secretaresse Trainer;;;;;1;;;;1
De Smidse 's-Hertogenbosch B.V.;;;1;;;;;;1
De Spits Horeca;;;1;;;1;;;1
De Stee;;;1;;;;;;1
De Ster;;;1;;;;;;1
De Stolp B.V.;;;1;;;;;;1
De Strandgenoten B.V.;;;1;;;;;;1
De Tombe Consultancy B.V.;;;;;1;;;;1
De Tuinderij;;;;;;2;;;2
De twee jongens uit Groningen B.V.;;;1;;;;;;1
De Twirre;;;;;1;;;;1
De Utrechtse Haven B.V.;;;1;;;;;;1
De Uytdhaaging;;;;;1;;;;1
De Vereniging De Jonge Balie Te Gelderland;;;;;1;;;;1
De Vingerhoed B.V.;;;1;;;;;;1
De Vreugdehoeve;;;1;;;;;;1
De Vriendelijke DJ;;;1;;;;;;1
De Vrienden Live;;;1;;;;;;1
De Vroolijke Frans B.V.;;;1;;;;;;1
De Waagh 1612 Nijmegen B.V.;;;1;;;;;;1
De Waterreus;;;1;;;;;;1
De Watertuin Spijkenisse B.V.;;;1;;;;;;1
De Wilde Slager;;;;;;1;;;1
De Winkel van Sinkel B.V.;;;1;;;;;;1
De Witte Aap B.V.;;;1;;;;;;1
De Zonnehoek Chr. Sch. v VSO ZMLK;;;;1;;;;;1
De Zwarte Vosch B.V.;;;1;;;;;;1
Debat.NL B.V.;;;;;1;;;;1
Defibrion;;4;;;;;;;4
Deining aan Zee B.V.;;;1;;;;;;1
Dek Opleidingen B.V.;;;;;1;;;;1
Dekker Zoetermeer;;;1;;;;;;1
Deksels;;;1;;;;;;1
Delft Congress Support B.V.;;;;;1;;;;1
Delibert B.V.;;;1;;;;;;1
Delicalicious;;;1;;;;;;1
Delicatessenhuis/Notenbar Ten Voorde;;;1;;;;;;1
Delirium Café Amsterdam;;;1;;;;;;1
Dellphi;;;;1;;;;;1
Delta International Promotioneel B.V.;;;2;;;;;;2
Den Bosch Evenementen B.V.;;;1;;;;;;1
Denk Producties B.V.;;;;;2;;;;2
Depasse Organisatie & Informatie;;;;;1;;;;1
DESII Sports;;;1;;;;;;1
Detex Opleidingen B.V.;;;;;1;;;;1
Developland;;;;;1;;;;1
Deventer Escape;;;1;;;;;;1
DFG;;;;3;1;;;;3
DFGS B.V.;;;;;1;;;;1
DGLV Exploitatie B.V.;;;1;;;;;;1
Dialogue B.V.;;;;;2;;;;2
Diana Glas in Lood;;;1;;;;;;1
Dickens Horecabedrijven B.V.;;;1;;;;;;1
Dieckse Heeren B.V.;;;1;;;;;;1
DIERGAARDE BLIJDORP ROTTERDAM ZOO;;;;;;1;;;1
DiEx B.V.;;;;;1;;;;1
Diggels Oud Beijerland B.V.;;;1;;;;;;1
DigiDokter Den Bosch;;;1;;;;;;1
DIGIEVC B.V.;;;;;1;;;;1
Digital Action;;;;;1;;;;1
Diner Thuis;;;1;;;;;;1
Dinerspel.nl;;;1;;;;;;1
Direction Briefings for Business Leaders;;;;;1;;;;1
Dirksen Bedrijfsopleidingen B.V.;;;;;1;;;;1
Discovery Sound;;;;;1;;;;1
DJ Bekooi Music Productions;;;1;;;;;;1
DJ Frans entertainment & marketing;;;1;;;;;;1
D'Javas;;;1;;;;;;1
Doenederland.nl B.V.;;;1;;;;;;1
Dokjard;;;1;;;;;;1
Dolfijn Watersport en Recreatie;;;1;;;;;;1
Domstad Evenementen B.V.;;;1;;;;;;1
Don Quichotte Eten & Drinken;;;1;;;;;;1
Double-Delicious;;;1;;;;;;1
D'Oude Brandweer Exploitatie B.V.;;;1;;;;;;1
Dozo Den Haag B.V.;;;1;;;;;;1
D'r Klinge;;;2;;;;;;2
Dräger Nederland B.V.;;;;;1;;;;1
Drankenhandel B.A.J. Beaujean;1;;;;;;;;1
Driessen Restaurants B.V.;;;1;;;;;;1
Drums2play;;;;;1;;;;1
Dubbel E. Acteerservice B.V.;;;;;1;;;;1
DuCom B.V.;;;;;;1;;;1
Dudok Den Haag B.V.;;;1;;;;;;1
Dujos Almelo;;;1;;;;;;1
Duo Cursussen B.V.;;;;;1;;;;1
Dutch Roots Development Nederland B.V.;;;1;;;;;;1
DutchTrainingProfessionals B.V.;;;;;1;;;;1
Duwtje B.V.;;;;;1;;;;1
DVG-psychotherapie;;;;;1;;;;1
DWESL! B.V.;;;1;;;;;;1
DWP B.V.;;;1;;;;;;1
Dynamika;;;;;2;;;;2
E Schreurs B.V.;;;1;;;;;;1
E.J. Karman;;;;;1;;;;1
Eastern Plaza Bentelo B.V.;;;1;;;;;;1
EATALIANI B.V.;;;1;;;;;;1
Ebbinge & Company International Holding B.V.;;;;;1;;;;1
EC Jansen;1;;;;;;;;1
ECD B.V.;;;;;4;;;;4
Echoput Beheer B.V.;;;1;;;;;;1
Ecologische zorgboerderij De Mikkelhorst;1;;;;;;;;1
ECORYS NEDERLAND BV;;;2;;;;;;2
Eden Oranje Hotel B.V.;;;;;;2;;;2
Edison Roadhouse;;;;;;1;;;1
Eduact B.V.;;;;;3;;;;3
Eduvision B.V.;;;;;1;;;;1
Eduvita;;;;2;;;;;2
Een Goed Leven;;;;;2;;;;2
Eet- & drinkfestijn De Waay;;;1;;;;;;1
Eet- en Drinkhuis 'De Gulzige Kater';;;1;;;;;;1
Eetbar De Wagon B.V.;;;1;;;;;;1
Eetbar Mikmak;;;1;;;;;;1
Eetca� Bob;;;;;;1;;;1
Eetcafé De Boerderij;;;1;;;;;;1
Eetcafé de Klap;;;;;;1;;;1
Eetcafé De Roskam;;;1;;;;;;1
Eetcafé De Zonnebloem B.V.;;;1;;;;;;1
Eetcafé Het Koetshuis;;;1;;;;;;1
Eetcafé Pardoes;;;1;;;;;;1
Eetcafé-Cafetaria 't Zumpke;;;1;;;;;;1
EetcafÃ© aon 't Bat B.V.;;;1;;;;;;1
EetcafÃ©-restaurant Sirtaki;;;1;;;;;;1
Eetcafe de Fusting;;;1;;;;;;1
Eetcaf� De Verlenging;;;1;;;;;;1
Eetcafe 'Semhar';;;1;;;;;;1
Eetkamer op de Proef;;;1;;;;;;1
Eetkamer Potjandorie;;;1;;;;;;1
Eetkavee De Belhamel;;;1;;;;;;1
Eetze Yin Holding B.V.;;;1;;;;;;1
EEZI V.O.F. / Brasserie 't Zusje Eindhoven;;;1;;;;;;1
Effectyf B.V.;;;;2;;;;;2
EHM Hotel Almere Exploitatiemaatschappij B.V.;;;;;;1;;;1
EHM Hotel Amsterdam Rembrandtpark B.V.;;;1;;;;;;1
EHM Hotel Breda B.V.;;;;;;1;;;1
EHS crew;;;;;1;;;;1
EIC Mainport Rotterdam;;;;;1;;;;1
Eigen Regie Compagnie;;;;;1;;;;1
Eindhoven Airport Hotel B.V.;;;1;;;;;;1
Elenchis;;;;;1;;;;1
Elfried Klarenbeek;;1;;;;;;;1
Elsenaar IJs;;;2;;;;;;2
Elycio Talen B.V.;;;;;2;;;;2
Elzinga Catering;;;1;;;;;;1
EMC Leren in Bedrijf B.V.;;;;;2;;;;2
Emergent B.V.;;;;;1;;;;1
En Verder Opleidingen Financiële Zorgverlen.;;;;;1;;;;1
Enerjoy;;;;;1;;;;1
ENFOR B.V.;;;1;;;;;;1
ENGELS HORECA ROTTERDAM BV;;;1;;;;;;1
Ergatis B.V.;;1;;3;;;;;3
Ergo2Work B.V.;;1;;;;;;;1
Erik Blok Music;1;;;;;;;;1
Erik Geerds;;;;;1;;;;1
Erve Hulsbeek B.V.;;;1;;;;;;1
ESB B.V.;;;;;1;;1;;1
Escape Hunt Groningen;;;1;;;1;;;1
Escape Room 076;;;;;1;;;;1
Escape Room NDSM Amsterdam B.V.;;;1;;;;;;1
Escape Room Rijswijk;1;;;;;;;;1
Escaping NL B.V.;;;1;;;;;;1
Ese International B.V.;;1;;;;;;;1
E-Storage Services B.V.;;;;;1;;;;1
Eten & Co Groningen B.V.;;;1;;;;;;1
Eten & Drinken B.V.;;;1;;;;;;1
Eten & Zo Zoetermeer B.V.;;;1;;;;;;1
Eten & Zo Zwolle B.V.;;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;1;;1;;1
Euregionaal Congresburo;;;;;1;;;;1
Euroforum;;;;;2;;;;2
Eurolinguist Nederland;;;;;2;;;;2
EUROLINGUIST NEDERLAND BV;;;;;1;;;;1
Euromast Horeca B.V.;;;;;;1;;;1
Euronext Amsterdam N.V.;;;;;1;;;;1
European Academy for Taxes,;;;;;1;;;;1
European Leadership Platform B.V.;;;;;1;;1;;1
European Nut Association;;;;;;;1;;1
European Speechwriter Network Ltd;;;;;1;;;;1
European University Institute;;;;;1;;;;1
Eurosafe Solutions B.V.;;;;;1;;;;1
Eva van der Fluit B.V.;;;;;1;1;;;1
Evan. m. B.V.;;;1;;;;;;1
EVC Centrum Nederland B.V.;;;;;1;;;;1
evenementen organisatie de waterkoets;;;1;;;;;;1
evenementenamersfoort;;;1;;;;;;1
Eventix B.V.;;;1;;;;;;1
Eventmaker;;;;;1;;;;1
Eventr B.V.;;;1;;;;;;1
Evers Medica Medische Speciaalzaken;;1;;;;;;;1
EVO Fenedex;;;;;1;;;;1
Executive Academy V.O.F.;;;;;1;;;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;;;;;;1;1
Exploitatiemaatschappij City Hotel;;;1;;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;;;1;;;1
EYC;1;;;;;;;;1
F. Buningh Beheer B.V;;;;;1;;;;1
F.A. van den Berg;;;;1;;;;;1
F.I.T. Krommenie;;;;1;;;;;1
F2D WKD B.V.;;;1;;;;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;;;;;;1;;;1
Faber Vlagtechniek B.V.;;;1;;;;;;1
Faillissementsfraude.nl B.V.;;;;;2;;;;2
Fast Lane Benelux B.V.;;;;;2;;;;2
Favori Café Restaurant;;;1;;;;;;1
FCE STICHTING OPLEIDINGSKUNDE;;;;;1;;;;1
Feest & Culinair;;;1;;;;;;1
Feestgoochelaar;;;;;;;;1;1
Feestshop Joop Brouwer;;;1;;;;;;1
Feithhuis Exploitatie B.V.;;;1;;;;;;1
Fepa Horeca B.V.;;;1;;;;;;1
Fergees B.V.;;;1;;;;;;1
Fevents Groep B.V.;;;;;;;;1;1
Fico Urban Italian;;;1;;;;;;1
Fijbes Consultancy & Training;;;;;1;;;;1
Finad Dienstverlening;;;;;1;;;;1
Financiële Studievereniging Amsterdam;;;;1;;;;;1
Finnegan's Apeldoorn B.V.;;;1;;;;;;1
Firma Hof der Muzen;;;1;;;;;;1
First Class Amersfoort;;;1;;;;;;1
Fiscaal Economisch Instituut B.V.;;;;;1;;;;1
Fitland Leiden B.V.;;;1;;;;;;1
Fjord B.V.;;;1;;;;;;1
Flamingo's Plaza B.V.;;;1;;;;;;1
Flanagan's;;;1;;;;;;1
Flashbay Limited;;;1;;;;;;1
Fleming Events s.r.o.;;;;;1;;;;1
Fletcher Hotel Restaur. De Wageningsche Berg;;;;;;1;;;1
Fletcher Hotel Restaur. de Wipselberg-Veluwe;;;;;;1;;;1
Fletcher Hotel Restaurant Apeldoorn;;;;;;1;;;1
Fletcher Landgoed Hotel Holthurnsche Hof;;;;;;1;;;1
Flexibel Management Support;;;;;1;;;;1
FlightMaster;;;;;1;;;;1
Flitz-Events;;;1;;;;;;1
Flux Groep B.V.;;;;;1;;;;1
Flying Elephants;;;;;1;;;;1
Focus Conferences B.V.;;;;;2;;;;2
Focus Learning Journeys B.V.;;;;;2;;;;2
Fola;;;1;;;;;;1
Foodhall Foodexplore;;;1;;;;;;1
Foodzie;;;1;;;;;;1
Forellenvisvijvers 'De Huif' V.O.F.;1;;;;;;;;1
Forrester Research B.V.;;;;;1;;;;1
Fort Bronsbergen;;;1;;;;;;1
Forte Evenementen;;;1;;;;;;1
Fortune Factory B.V.;;;1;;;;;;1
Forum Europe Ltd;;;;;1;;;;1
Foto Hofma;;;1;;;;;;1
Foto J. Zwarthoed;;;;;1;;;;1
Fox-IT;;;;;2;;;;2
Frame Sport B.V.;;;;;;1;;;1
Francien Daalwijk Letselzorg;;1;;;;;;;1
Franklincovey;;;;;1;;;;1
Frankwatching B.V.;;;;;1;;;;1
Frascati;;;1;;;;;;1
Free walking tours Amsterdam;;;;;;1;;;1
Friet Kampioen;1;;;;;;;;1
Frijters Mind Tuning;;;;;1;;;;1
Frisse Blikken ondernemen met talent B.V.;;;3;;;;;;3
Frits van der Werff Sportinstituut B.V.;;1;;;;;;;1
Fritz-Events;;;;;;1;;;1
Fromagerie Forianne;;;1;;;;;;1
Fruit aan Huis;;;1;;;;;;1
FTI Finance LTD;;;;;1;;;;1
Fun Forest Rotterdam B.V.;;;;;;1;;;1
Fun Valley Exploitatie B.V.;;;1;;;;;;1
Functioneel-Beheerder.com B.V.;;;;;1;;;;1
Furth Trainingen;;;;;1;;;;1
Fusion Plaza B.V.;;;1;;;;;;1
G. Bakker en Zn. B.V.;;;1;;;;;;1
GÉANT Vereniging;;;;;1;;;;1
Galamadammen Bergopwaarts B.V.;;;;;;1;;;1
Galippo's Restaurants;;;1;;;;;;1
Gamestudio Marthijn;;;;;1;;;;1
Gaming Summits B.V.;;;;;1;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;1;;;;;;1
Gartner Nederland B.V.;;;;;4;;;;4
Gasterij De Zwaantjes;;;1;;;;;;1
Gasterij Koningswinkelhof B.V.;;;1;;;;;;1
Gastrobar6;;;1;;;;;;1
Gauchos Franchise Utrecht B.V.;;;1;;;;;;1
Gaziantep SEHZADE Kebapci;;;1;;;;;;1
GDH Catering B.V.;;;2;;;;;;2
Gebe Vastgoed;;;1;;;;;;1
Geertje van Drunen Projectmanagement;;;;;1;;;;1
GekVanMedia;;;;;;1;;;1
Gemaco B.V.;;;4;;;;;;4
Gemma Denteneer;;;;;1;;;;1
Generatie Storm;1;;;;;;;;1
Generatiewerk;;;;;1;;;;1
Genius Group Holding B.V.;;;;;1;;;;1
Gente Mediation;;;;;1;;;;1
Gentlemen B.V.;;;1;;;;;;1
Gentrade Holding B.V.;;;1;;;;;;1
Gerard Borkus;;;;;1;;;;1
Gerard van der Made B.V.;;;;;1;;;;1
Geschiedenis te velde;;;;;;1;;;1
Gesink Beheer B.V.;;;1;;;;;;1
Get Events;;;1;;;;;;1
Get Events B.V.;;;;;;1;;;1
Gewichten & Maten Verzamelaars Vereniging;;;;;1;;;;1
Gewoon Gastvrij;;;1;;;;;;1
Giant Publicity B.V.;1;;;;;;;;1
Gili Utrecht B.V.;;;1;;;;;;1
Ginko B.V.;;;1;;;;;;1
GITP B.V.;;;;1;5;;;;5
GITP Medezeggenschapsontwikkeling B.V.;;;;;1;;;;1
GITP Training & Opleiding B.V.;;;;1;1;;;;1
GJM Communicatie B.V.;;;;;1;;;;1
Global Cleaning Services B.V. i.o.;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;4;;;;4
Go B.V.;;;;;2;;;;2
Goede Mynott Holding B.V.;;;1;;;;;;1
Golden Tulip Weert;;;;;;1;;;1
Golfbaan De Vlietlanden;;;1;;;;;;1
Golfbaan Spaarnwoude;;;1;;;;;;1
Gonzales;;;1;;;;;;1
Good Work Company B.V.;;;;;1;;;;1
GoodHabitz B.V.;;;;;2;;;;2
Goodstore Netherlands B.V.;;;1;;;;;;1
Gooiland B.V.;;;;;;2;;;2
GORTcoaching B.V.;;;;;1;;;;1
Gossimijne Oss V.O.F.;;;1;;;;;;1
Goudmeer Horeca B.V.;;;1;;;;;;1
Governance & Integrity Nederland B.V.;;;;;4;;;;4
GrachtenAtelier;;;1;;;;;;1
Gran Mercado B.V.;;;1;;;;;1;1
Grand Bar Grill 'de Moor';;;1;;;;;;1
Grand café Brand & van Zanten B.V.;;;1;;;;;;1
Grand Café Brasserie Fleurie B.V.;;;1;;;;;;1
Grand Café 'Central';;;1;;;;;;1
Grand Café de Burcht B.V.;;;1;;;;;;1
Grand Café De Dominee;;;1;;;;;;1
Grand Café De Keulse Kar B.V.;;;1;;;;;;1
Grand Café de Pakschuit;;;1;;;;;;1
Grand Café De Vijfsprong B.V.;;;1;;;;;;1
Grand Café Dikke van Dale B.V.;;;1;;;;;;1
Grand Café Hermes B.V.;;;2;;;;;;2
Grand Café Het Oude Dorp;;;1;;;;;;1
Grand Café Hotel De Bourgondier B.V.;;;;;;1;;;1
Grand Café Karakter;;;1;;;;;;1
Grand Café Ledeboer B.V..;;;1;;;;;;1
Grand Café Pierrot;;;1;;;;;;1
Grand Café Plein7 B.V.;;;1;;;;;;1
Grand Café Time Out B.V.;;;1;;;;;;1
Grand CafÃ© Arnhems Meisje;;;1;;;;;;1
Grand CafÃ© Eemland B.V.;;;1;;;;;;1
Grand CafÃ© Hendrixen B.V.;;;1;;;;;;1
grand cafÃ© Lebowski;;;1;;;;;;1
Grand CafÃ© Maagdenberg;;;1;;;;;;1
Grand CafÃ© Markt 5;;;1;;;;;;1
Grand Cafe De Friesche Club;;;1;;;;;;1
Grand Caf� De Wildeman Eindhoven B.V.;;;1;;;;;;1
Grand Cafe Lubeck;;;1;;;;;;1
Grand Cafe Restaurant Totzo!;;;1;;;;;;1
Grand Caf�-Restaurant Loos B.V.;;;1;;;;;;1
Grand Central Food Market B.V.;;;1;;;;;;1
Grand Restaurant Le Connaisseur;;;1;;;;;;1
Grand Slam Holding B.V.;;;1;;;;;;1
Grandcafé 't Kromhout;;;1;;;;;;1
GrandcafÃ© Restaurant Biblio B.V.;;;1;;;;;;1
GrandcafÃ© Rue de la Gare;;;1;;;;;;1
Grandcaf� De Wens B.V.;;;2;;;;;;2
Grandcafe Haagsche Bluf;;;2;;;;;;2
Granny's Corner;;;1;;;;;;1
Grieks Restaurant 'Athene' B.V.;;;1;;;;;;1
Grieks Restaurant Athina;;;1;;;;;;1
Grieks Restaurant Hellas;;;1;;;;;;1
Grieks Restaurant Kriti;;;1;;;;;;1
Grieks Restaurant Rhodos B.V.;;;1;;;;;;1
Grieks Spec. Restaurant Rhodos V.O.F.;;;1;;;;;;1
Grieks Specialiteiten Restaurant Knossos;;;1;;;;;;1
Grieks specialiteiten restaurant 'OLYMPOS';;;1;;;;;;1
Grieks Specialiteitenrestaurant Mykonos;;;1;;;;;;1
Grieks Specialiteitenrestaurant Santorini;;;1;;;;;;1
Gringo's Cantina B.V.;;;1;;;;;;1
Grip Concept;1;;;;;;;;1
Grip Human Resource Control B.V.;;;;1;;;;;1
Groen & Partners Organisatieadviseurs;;;;1;;;;;1
Groeneveld Horeca B.V.;;;1;;;;;;1
Groote Sociëteit;;;1;;;;;;1
Grote Poot Horeca B.V.;;;1;;;;;;1
GSA Belgium bvba;;;;;1;;;;1
Gusto Mangia e Bevi;;;1;;;;;;1
Gusto Rotterdam B.V.;;;1;;;;;;1
H. Bommer t.h.o.d.n. La Cubanita Zaandam;;;1;;;;;;1
H. Jiang Holding B.V.;;;1;;;;;;1
H.H.W. Kloosterman;;;1;;;;;;1
H.R. B.V.;;;1;;;;;;1
Héroine restaurant & bar;;;1;;;;;;1
Habana Beach;;;;;;1;;;1
Haesje Claes B.V.;;;1;;;;;;1
HAGAR Quality Management;;;;;3;;;;3
Hagen Groothandel;;;1;;;;;;1
Haku;;;;;1;;;;1
Hans eten en drinken;;;1;;;;;;1
Hans van de Moosdijk Slagwerk;1;;;;;;;;1
Hans Verschraagen;;;1;;;;;;1
Hap-Inn B.V.;;;1;;;;;;1
Happy 2 Wok;;;1;;;;;;1
Happyhappyjoyjoy East;;;1;;;;;;1
Haptonomie Henrieke;;1;;;;;;;1
Harmonia B.V.;;;1;;;;;;1
Harte Producties;;;1;;;;;;1
Hartman Innovatie B.V.;;;;;1;;;;1
Havana B.V.;;;1;;;;;;1
Havezathe Den Alerdinck B.V.;;;;;1;;;;1
Havi Reizen B.V.;;;;;;;;1;1
Health Factor Business;;2;;;;;;;2
Health2Work B.V.;;1;;;;;;;1
HeartMath BeNeLux B.V.;;;;;1;;;;1
Heeren Van Aemstel;;;1;;;;;;1
Heeren van Sonoy;;;1;;;;;;1
Heesbeen Feest Groep;;;1;;;;;;1
Heest B.V.;;;1;;;;;;1
Heidi Nieboer Praktijk voor verlies en rouw;;;;;1;;;;1
Heinde & Ver Woerden;;;1;;;;;;1
Helder Events;;;;;;2;;;2
Heleen van der Straaten Advies & Coaching;;;;;1;;;;1
Helicon Conservation Support B.V.;;;;;1;;;;1
Hemelaar-van Campenhout;;;1;;;;;;1
Hemelrijk Lelystad B.V.;;;1;;;;;;1
Hende Bauer Therapie training coaching;;;;;1;;;;1
Hennekes Special Seating B.V.;;1;;;;;;;1
Herberg het Oude Loo;;;1;;;;;;1
Herberg 'In den Bockenreyder' B.V.;;;1;;;;;;1
Herberg Oud-holset V.O.F.;;;1;;;;;;1
Herkulosche Esch;;;1;;;;;;1
Hertenkamp B.V.;;;1;;;;;;1
Het Arsenaal 1309 B.V.;;;1;;;;;;1
Het Bakkertje;;;1;;;;;;1
Het Balkon;;;;;1;;;;1
Het Borghuis B.V.;;;1;;;;;;1
Het Concertgebouw N.V.;;;1;;;;;;1
Het Dorstige Hert;;;1;;;;;;1
Het Drents Kwartiertje;;;1;;;;;;1
Het Expeditiehuis B.V.;;;1;;;;;;1
Het Haagsche Schouw;;;;;;1;;;1
Het Hart van Hoeven;;;1;;;;;;1
Het Heden;;;1;;;;;;1
Het Hoofdkantoor B.V.;;;1;;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;;1
Het Koffiehuuske;;;1;;;;;;1
Het Kookplein;;;1;;;;;;1
Het MiddelPunt essentiecoaching;;;;1;;;;;1
Het Moment;;;1;;;;;;1
Het Muziek Bos;1;;;;;;;;1
Het Ned. Instit. voor Verkeersveiligheid B.V.;;;1;;;;;;1
Het Nieuws van Apeldoorn;;;2;;;1;;;2
Het NLP Instituut B.V.;;;;;1;;;;1
Het Ontwikkelingsinstituut bvba;;;;;1;;;;1
Het Pleidooi;;;1;;;;;;1
Het Rieten Dak B.V.;;;1;;;;;;1
Het Schwarzwald B.V.;;;1;;;;;;1
Het Tolhuis;;;1;;;;;;1
Het Wapen van Emmen;;;1;;;;;;1
Het Wapen van Oostzaan;;;1;;;;;;1
Het Wapen van Roosendaal V.O.F.;;;1;;;;;;1
Het Wapen van Velden;;;1;;;;;;1
Het Wapen van Zoetermeer B.V.;;;1;;;;;;1
Het Wijnhuis Zwolle B.V.;;;1;;;;;;1
Het Zuiden F.G.;;;1;;;;;;1
Hexspoor Training & Coaching;;;;;1;;;;1
Hiawatha Actief;;;1;;;;;;1
Hilton Royal Parc Soest;;;;;;;;1;1
Hire London Cab;;;;;;;;1;1
Hi-tech Juices B.V.;1;;;;;;;;1
HLC Management B.V.;;;1;;;;;;1
HLC Wereld B.V.;;;2;;;;;;2
Hobeon Groep B.V.;;1;;;;;;;1
Hodegre B.V.;;;;;;1;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;;1
Hof van Bussloo B.V.;;;1;;;;;;1
Hof van Huntjens;;;1;;;;;;1
Hofje van Pauw: praktijk voor haptonomie;;1;;2;;;;;2
Hofstad Events B.V.;;;1;;;;;;1
Hofvlietvilla B.V.;;;1;;;;;;1
Hogeschool INHolland;;;;;3;;;;3
Hogeschool NOVI B.V.;;;;;4;;;;4
Hogeschool Schoevers;;;;;2;;;;2
Hogrefe Uitgevers B.V.;;;;2;;;;;2
Holapress Communicatie;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;;1
Holding Hotel-Rest. 'Het Wapen van Elst' B.V.;;;1;;;;;;1
Holding ROC Midden Ned. Contractactivit. B.V.;;;;;1;;;;1
Holland Innovative B.V.;;;;;3;;;;3
Holland Music Center;1;;;;;;;;1
Holland Mutlitrade;;;;;1;;;;1
Holland Party Roadshow;;;;;;1;;;1
Holland Tour Guides B.V.;;;1;;;;;;1
Hollend Stilstaan;1;;;;;;;;1
Home-Office B.V.;;;;;2;;;;2
Hooridee Advies bij Gehoorverlies;;2;;;;;;;2
Hoortoestelwinkel B.V.;;1;;;;;;;1
Horeca Berg & Dal B.V.;;;;;;;;1;1
Horeca Exploitatie Maatschappij Schiphol B.V.;;;1;;;;;;1
Horecabedrijf de Agnietenberg B.V.;;;1;;;;;;1
Hospitality Consultants B.V.;;;;;1;;;;1
Hospitality Design B.V.;;;;;1;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;1;;;1
Hotel Ara B.V.;;;;;;;;1;1
Hotel CafÃ© Restaurant Nijmegen Lent B.V.;;;;;;1;;;1
Hotel Central/Restaurant Sistermans B.V.;;;;;;1;;;1
Hotel Contact B.V.;;;;;1;;;4;4
Hotel De Zwaan B.V.;;;;;;1;;;1
Hotel Des Indes B.V.;;;;;;1;;;1
Hotel Drachten B.V.;;;;;;1;;;1
Hotel Ekamper B.V.;;;;;;1;;;1
Hotel Exploit. Maatschappij Bluefinger B.V.;;;;;;1;;;1
Hotel Exploitatie Maatschappij Ibis;;;;;;;;1;1
Hotel Goes;;;1;;;;;;1
Hotel Kruller B.V.;;;;;;1;;;1
Hotel La Sonnerie B.V.;;1;;;;;;;1
Hotel Leeuwarden Centre B.V.;;;1;;;;;;1
Hotel New York B.V.;;;1;;;1;;;1
Hotel Pension De Tipmast;;;;;;1;;;1
Hotel Restaurant 'De Zandhorst' B.V.;;;;;;1;;;1
Hotel Restaurant Princenhof;;;;;;1;;;1
Hotel Vianen B.V.;;;;;;1;;;1
Hotel, Cafe, Rest. de Lantaren;;;1;;;;;;1
Hotel/Restaurant Corona;;;;;;;;1;1
Hotel-Café-Restaurant De Gouden Leeuw;;;;;;1;;;1
Hotel-Café-Restaurant Haarhuis;;;;;;1;;;1
Hotel-Café-Restaurant 'Hoog Soeren';;;;;;1;;;1
Hotel-Café-Restaurant Terminus;;;;;;1;;;1
Hotel-Café-Restaurant 'Zwolle' B.V.;;;;;;1;;;1
Hotellerie De Holtweijde;;;;;1;;;;1
Hotel-Restaurant Vijlerhof;;;;;;1;;;1
Hotel-Restaurant Zalkerbroek B.V.;;;;;;1;;;1
Hotel-Restaurante La Casa B.V.;;;1;;;;;;1
House of Lords B.V.;;;1;;;;;;1
Houtrust Catering;;;1;;;;;;1
Houwen's Vlaai B.V.;;;1;;;;;;1
HRD-group;;;;;4;;;;4
