;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Huisartsenpraktijk De Kroonsteen Boven;;;;;;;;1;1
Huisartsenpraktijk De Oude Kapelanie;;;;;;;;1;1
Huisartsenpraktijk De Schans;;;;;;;;1;1
Huisartsenpraktijk de Vleugelnoot;;;;;;;;1;1
Huisartsenpraktijk De Weerark;;;;;;;;1;1
Huisartsenpraktijk Dingemans;;;;;;;;1;1
Huisartsenpraktijk Drs. F. Ogbuli;;;;;;;;1;1
Huisartsenpraktijk Dumont;;;;;;;;1;1
Huisartsenpraktijk Elzink en Faber;;;;;;;;1;1
Huisartsenpraktijk Fan Marren;;;;;;;;1;1
Huisartsenpraktijk H. Slager B.V.;;;;;;;;;
Huisartsenpraktijk Heikens;;;;;;;;1;1
Huisartsenpraktijk Houtweg;;;;;;;;1;1
Huisartsenpraktijk J.H.A. Bleiker;;;;;;;;1;1
Huisartsenpraktijk J.M.M. Lombarts;;;;;;;;1;1
Huisartsenpraktijk Kramers en Westra;;;;;;;;1;1
Huisartsenpraktijk Lupine;;;;;;;;1;1
Huisartsenpraktijk Maessen B.V.;;;;;;;;1;1
Huisartsenpraktijk Mahabir B.V.;;;;;;;;1;1
Huisartsenpraktijk Michaël;;;;;;;;1;1
Huisartsenpraktijk Minken;;;;;;;;1;1
Huisartsenpraktijk Morgenstond;;;;;;;;1;1
Huisartsenpraktijk Mostart;;;;;;;;1;1
Huisartsenpraktijk Om de Noord;;;;;;;;1;1
Huisartsenpraktijk Overman;;;;;;;;1;1
Huisartsenpraktijk Pelser;;;;;;;;1;1
Huisartsenpraktijk Pootstraat Ham & Rick;;;;;;;;1;1
Huisartsenpraktijk R.R. Blees;;;;;;;;1;1
Huisartsenpraktijk Ramcharan;;;;;;;;1;1
Huisartsenpraktijk Rasenberg;;;;;;;;1;1
Huisartsenpraktijk S.A.A.M. Romeijnders;;;;;;;;1;1
Huisartsenpraktijk Scheijmans-Laauwen;;;;;;;;1;1
Huisartsenpraktijk Spaarndammerbuurt;;;;;;;;1;1
Huisartsenpraktijk Spaubeek B.V.;;;;;;;;1;1
Huisartsenpraktijk Stoppels;;;;;;;;1;1
Huisartsenpraktijk 't Joppe;;;;;;;;1;1
Huisartsenpraktijk T. Radstake;;;;;;;;1;1
Huisartsenpraktijk Tas;;;;;;;;1;1
Huisartsenpraktijk ten Hove & de Jong;;;;;;;;1;1
Huisartsenpraktijk ten Kate;;;;;;;;1;1
Huisartsenpraktijk Tychon;;;;;;;;1;1
Huisartsenpraktijk van Berckel Smit;;;;;;;;1;1
Huisartsenpraktijk Van Kooten;;;;;;;;1;1
Huisartsenpraktijk Verdilaan B.V.;;;;;;;;1;1
Huisartsenpraktijk Verhaaren;;;;;;;;1;1
Huisartsenpraktijk Vernhout;;;;;;;;1;1
Huisartsenpraktijk Vondellaan;;;;;;;;1;1
Huisartsenpraktijk Zoon;;;;;;;;1;1
Huisartsenpraktijk Zwaan;;;;;;;;1;1
Huisartsenpraktijk Zweeloo;;;;;;;;1;1
Huisartsenpraktijk Zwerver;;;;;;;;1;1
Huisartspraktijk Andeweg;;;;;;;;1;1
Huisartspraktijk Ansari;;;;;;;;1;1
Huisartspraktijk R.C. Jansen;;;;;;;;1;1
Huisartspraktijk Ramnath Kanhai;;;;;;;;1;1
Huisartspraktijk S.J. Edema;;;;;;;;1;1
Huisartspraktijk Vrenken;;;;;;;;1;1
Huisartspraktijk Witting;;;;;;;;1;1
Huitema Marketing Services;;;;;;1;;1;1
Human Capital Group B.V.;;;;1;;;;;1
Human Content Media Producties B.V.;;;;;1;1;;;1
Hygiene Consult Nederland;;;;;;;;1;1
i3 groep;;;5;;;;;;5
i4IP;;;;;;;;1;1
iBabs B.V.;;;;;2;;;;2
IBM Nederland B.V.;;;;1;2;1;;;2
ICMP Headquarters;;;;;;4;;;4
ICT Concept B.V.;;;;;;;;1;1
ICT for Events;;;;;1;;;;1
ID Interieur;;1;;;;;;;1
ID Ware International B.V.;;;;;;1;;;1
idd.nl;;;;;1;;;;1
IDEMIA Identity & Security France;;2;;;;;;;2
IDEMIA The Netherlands B.V.;;;;;2;;;;2
Ilumy B.V.;;;;1;;;;;1
ILUMY Prototyping B.V.;;;;2;;;;;2
Impact R&D;;;;;;;;2;2
Impres B.V.;;;;;1;;;;
Improvement-IT B.V.;;;;;2;;;;2
Impulse Info Systems;;;;;5;1;;;5
Imtech Nederland B.V.;;;;;;;4;;4
in60seconds B.V.;;;;;;1;;;1
Inbraakpreventie 'M.I.B.' B.V.;;;1;;;;;;1
Inconnect B.V.;;;;;;;;2;2
Incontrol Management Consultants B.V.;;;;;1;;1;1;2
Indigo Brabant B.V.;;;;;;;;1;1
Infection Control Nederland B.V.;;;;;;;;1;1
Infoland;;;;;;;;;
Infopact Netwerkdiensten B.V.;;;;;;;;1;1
Infoprojects;;;;;;;;2;2
Information Dynamics B.V.;;;;;2;;;;2
Informaxion B.V.;;;;;;;;1;1
Infracom Internet B.V.;;;;;;;1;1;2
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;;2;;;;;;;2
Ingenico e-Commerce Solutions B.V.;;;1;;2;;;;2
Ingenieursbureau B-Ware B.V.;;;;;;1;;;1
Ingressus B.V.;;;;;5;;;;5
Initiative Media B.V.;;;;;2;;;;2
Inner-Piece;;;;;;;1;;1
Inperon B.V.;;;;;;;;1;1
InsideStory;;;;;;;;1;1
Insight Enterprises Netherlands B.V.;;;2;4;7;1;;;7
InsightsWorld B.V.;;;;;1;;;;1
Installerende Partners Commun.techn. B.V.;;1;;;;;;;1
Institute for Strategic Dialogue;;;;;;;;2;2
Instituut voor Publieke Waarden B.V.;;;;;;;;2;2
Integron B.V.;;;;;;;;2;2
Intelligence Group B.V.;;;;;1;;;2;2
INTER;;7;4;;2;1;1;;7
Interaction Next B.V.;;;;;2;;;;2
Interactive Affairs B.V.;;;;;1;;;;1
Intercity Zakelijk;;;;;;;;1;1
InterConnect Services B.V.;;;;;1;;;1;2
Interfurn B.V.;;2;;;;;;;2
Intermax Cloudsourcing;;;;;;;;1;1
International Centre for Migration Policy Development;;;;;;;;1;1
International Kids Concepts;;1;;;;;;;1
Internedservices;;;;1;1;;;;1
Interscience B.V.;;4;;;;;;;4
Interseco Investigations;;;;;;;;2;2
Interstroom Informatietechnologie B.V.;;;;;;;;1;1
Intimus International Netherlands B.V.;;2;1;;;;;1;2
Intos B.V.;;5;;;;;;;5
InTouch N.V.;;;;;;;;1;1
Iolan B.V.;;;;;2;;1;;2
IP Visie;;;;;;;;1;1
ipBT B.V.;;;;;;;;1;1
Ipsos B.V.;;;;;;;;4;4
i-psy Haaglanden B.V.;;;;;;;;1;1
i-psy Midden & Noord Nederland B.V.;;;;;;;;1;1
i-psy Noord-Holland B.V.;;;;;;;;1;1
i-psy PsyQ Brijder B.V.;;;;;;;;1;1
IRAS-NKAL;;;;;;;;1;1
Iretail.Solutions B.V.;;1;;;;;;;1
Isogen Life Science B.V.;;2;;;;;;;2
IT Brouwerij;;;;;;;;4;4
IZZ B.V.;;;;;;;;1;1
J&J Techniek B.V.;;2;;;;;;;2
J.D.B.M. Verhoeff;;;;;;;;1;1
J.M. Abbenhuis;;;;;;1;;;1
J.P.A.C. Rozestraten B.V.;;;;;;;;1;1
Jaap de Jong Tuinaanleg & Montage;;2;;;;;;;2
Jacques Handelé Antwoorden en Vragen;;;;;;;;1;1
Jaguar Land Rover Nederland B.V.;;7;;;;;;;7
JAM visueel denken B.V.;;;;;;;;2;2
JCDecaux Nederland B.V.;;1;;;;;;;1
Jeol (Europe) B.V.;;5;;;;;;;5
JFK projectinrichting;;1;;;;;;;1
Joh. Enschedé Amsterdam B.V.;;;;;;;;2;2
Johnson Health Tech. Netherlands B.V.;;3;;;;;;;3
Jos ten Berg's Handelmaatschappij B.V.;;;1;;;;;;1
JOUW® bureau B.V.;;;;;;2;;;2
Juma International B.V.;;1;;;;;;;1
Jumbo Supermarkt;;;;;;;;1;1
Jungheinrich Nederland B.V.;;2;;;;;;;2
Juris-Dictie B.V.;;;;;;;;1;1
Jurisquare NV;;;;1;;;;;1
JustForYou;;;;;;;;1;1
K.N.O. Maatschap Martini Ziekenhuis;;;;;;;;1;1
K2 Marketing B.V.;;;;;;;;2;2
Kabel Noord B.V.;;;;;;;;1;1
Kagys;;;;;;;;2;2
Kamera Express;;;;1;;;;;1
Kamera Express Amsterdam B.V.;;1;;;;;;;1
Kantar Netherlands B.V.;3;;;;;;;2;4
Kardex Systemen B.V.;;;1;;;;;;1
KCM Survey B.V.;;;;;2;;;2;2
Kembit B.V.;;;;;4;;;;4
Kentie Nederland B.V.;;;1;;;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;;;;2;2
Khonraad Software Engineering B.V.;;;;;2;;;;2
Kick Smeets Fotografie;;;;;;;;1;1
Kickstart Your Social Impact;;;;;;;;1;1
KijkOpMedia;;;;;;;1;;1
Kinderfysiotherapie Abeln;;;;;;;;;
kk huisarts;;;;;;;;1;1
Klaucke Tweewielerhuis;;1;;;;;;;1
Klein Units B.V.;;1;;;;;;;1
Klein XL Barendrecht B.V.;;1;;;;;;;1
Knipmeijer & Blok Elektrotechniek B.V.;;;;;;;;1;1
Kno-Tech Productbeveiliging;;;;1;;;;;1
Knowledge Exchange B.V.;;;;;;;2;;2
Kodision B.V.;;;;;1;;;;1
kommago.nl;;1;;;;;1;;1
Kompactor B.V.;;2;;;;;;;2
Koning & Hartman B.V.;;;;;;;2;;2
Koninklijke Fabrieken Posthumus B.V.;;;1;;;;;;1
Kop Beveiliging B.V.;;1;;;;;;;1
Korton Group B.V.;;;;;;;;1;1
Kovoks;;;;;;;;1;1
KPMG Audit;;;;;;;;5;5
KPN B.V.;;;4;4;3;4;6;7;7
KPN B.V. Telecom Facturering Vaste Telefonie;;;;;;;1;;1
KPN Consulting B.V.;;;;;2;;1;2;3
Kramer Gieten B.V.;;2;;;;;;;2
Kreatief Inrichten;;1;;;;;;;1
krijn van beek;;;;;;;;2;2
Kris Kras context, content and design;;;;;;;;1;1
Kropman Installatietechniek;;2;;;;;;;2
KSP Kunstgras B.V.;;2;;;;;;;2
KVS Kantoorinrichtingen B.V.;;1;;;;;;;1
Kwebbl B.V.;;;;;;;;1;1
L.L. Ben-Zvi, huisarts;;;;;;;;1;1
Lasaulec B.V.;;2;1;;;;;;2
LBVD Consultancy B.V.;;;;;;;;2;2
Lead Solutions B.V.;;;;;2;;;;2
Leaseplan Nederland N.V.;;;;;;;;;
LeaseWeb Netherlands B.V.;;;;;1;;;;1
Lebara Limited;;;;;;;;1;1
Ledeboer Gastroenterology B.V.;;;;;;;;1;1
Leen Bakker;;1;;;;;;;1
Leerkotte B.V.;;1;;;;;;;1
Lef Interim;;;;;;;;2;2
Leica Microsystems B.V.;;2;;;;;;;2
Leijen & Nandoe Advocaten;;;;;;;;1;1
LemmerRijn;;;;;;;;1;1
Lensvelt Contract B.V.;;1;;;;;;;1
LexisNexis Univentio B.V.;;;;1;2;;;;2
Leza Efficiency B.V.;;;;;1;;;;1
LGC Standards Proficienciy Testing;;;;1;;;;;1
Limesco;;;;;;;;2;2
Lloyd's Register Nederland B.V.;;;;;1;;;1;1
LockersandMore B.V.;;2;;;;;;;2
Logeion;;;;;1;;;;1
Lomitel Zuid B.V.;;;;;2;;;;2
Lost Lemon B.V.;;;;;;;;2;2
Louwman & Parqui B.V.;;3;;;;;;;3
Louwman Kerketuinen;;2;;;;;;;2
LSR Dienstencentrum B.V.;;;;;;;;1;1
Lumatec B.V.;;2;;;;;;;2
Luna.nl B.V.;;;;;;;;1;1
Luxigo;;;;;;;;1;1
Lycamobile Netherlands Ltd.;;;;;;;;1;1
M & I /Partners B.V.;;;;;;;;2;2
M&R Micro-Imaging;;;;;;;;2;2
M. Emmelkamp;;;;;;;;1;1
M. Ooms;;;;;;;;1;1
M.C. TEC B.V.;;1;;;;;;;1
M2Mobi B.V.;;;;;;;;3;3
M7 Group S.A.;;;;;;;;1;1
Maasdam Broers Fischer advocaten;;;;;;;;1;1
Maasdam Groep B.V.;;1;;;;;;;1
Maasmond B.V.;;5;;;;;;;5
Maastricht Aachen Airport B.V.;;;;;;;;4;4
Maasziekenhuis Pantein B.V.;;;;;;;;1;1
Maatsch. A.J.M. Von Reth en M. Von Reth Brian;;;;;;;;1;1
Maatsch. Oogheelknde St. Catharina Ziekenhuis;;;;;;;;1;1
Maatschap Cardiologen Martini Ziekenhuis;;;;;;;;1;1
Maatschap Dechesne/Van der Gang;;;;;;;;1;1
Maatschap Deneer & van Gaalen;;;;;;;;1;1
Maatschap H.J.M. Heuberger en A.J. de Boer;;;;;;;;1;1
Maatschap Huisartsen 's Hertogenbosch Noord;;;;;;;;1;1
Maatschap Huisartsen Schelfhoed;;;;;;;;;
Maatschap Huisartsenpraktijk Vijverberg;;;;;;;;1;1
Maatschap Longartsen Martiniziekenhuis;;;;;;;;1;1
maatschap MSB Gooi en Eemland;;;;;;;;1;1
Maatschap Neurologie Eindhoven;;;;;;;;1;1
Maatschap Neurologie Zeeland;;;;;;;;1;1
Maatschap O & G St. Antonius Ziekenhuis;;;;;;;;1;1
Maatschap Orthopaedie & Traumatologie;;;;;;;;1;1
Maatschap Psychiatrie Amphia Ziekenhuis;;;;;;;;1;1
Maatschap Urologie MCH;;;;;;;;1;1
Mainpress B.V.;;;;1;;;;;1
Management Drives Netherlands B.V.;;;;;1;;;;1
Manav Telecom;;;2;;;;2;;2
Manutan B.V.;;2;1;;;1;;;2
Marc Noyons & Partners;;;;;;;;2;2
Marlies van Eck advies - training - onderzoek;;;;;;;;1;1
Marosel B.V.;;;;;;;;2;2
Martini Zknhs/C.B. Tandheelk. Martini Zknhs;;;;;;;;1;1
Maruda;;;;;;;;2;2
Marzan Security B.V.;;1;;;;;;;1
Matrix IT B.V.;;;1;;;;1;;1
Mavention B.V.;;;;;5;4;;;6
Mavention Beheer en Producten B.V.;;;;1;;;;;1
Mavotrans B.V.;;2;;;;;;;2
Máxima Medisch Centrum;;;;;;;;1;1
MaxiTEL Telecom B.V.;;;;;;;;1;1
Maxxus;;;1;;;;;;1
MDL Maatschap Midden Brabant;;;;;;;;1;1
MDL Zuidoost Friesland;;;;;;;;;
MDxHealth Research B.V.;;;;;1;;;;1
Meander Medisch Centrum;;;;;;;;1;1
Med. Centr. Alkmaar/Nw Ziekenhuisgrp, Alkmaar;;;;;;;;1;1
Med. Spec. Bdr. Spaarne Gasths H'lem/Hoofddrp;;;;;;;;1;1
Media Markt Arena B.V.;;1;;;;;;;1
Mediant locatie Roessinghsbleekweg;;;;;;;;1;1
MediaVault Hungary AdatbiztonsÃƒÂ¡gi Kft.;;;1;;;;;;1
MediCor Gezondheidszorg Erasmusplein B.V.;;;;;;;;1;1
Medicor Gezondheidszorg Hobbemaplein B.V.;;;;;;;;1;1
MediFirst B.V.;;;;;;;;4;4
Medifix B.V.;;2;;;;;;;2
Medimo B.V.;;;;;1;;;;1
medisch centrum de overkant;;;;;;;;1;1
Medisch Centrum Haaglanden;;;;;2;;;;2
Medisch Centrum Leeuwarden B.V.;;;;;;;;1;1
Medisch Centrum Margraten;;;;;;;;1;1
Medisch Centrum Mook;;;;;;;;1;1
Medisch Centrum Oud West;;;;;;;;1;1
Medisch Kwartier;;;;;;;;1;1
Medisch Specialist. Coöperat. Kennemerland UA;;;;;;;;1;1
Medisch Specialisten Coöperatief RDGG UA;;;;;;;;1;1
Medisch Specialisten Noord West;;;;;;;;1;1
Medisch Specialistisch Bedrijf Peelland;;;;;;;;1;1
Medizon B.V.;;1;;;;;;;1
Medpunkt B.V.;;;;;;;;1;1
Meer van Tekst;;;;;;;;1;1
Meetingselect B.V.;;;;1;1;;;;1
Mehler Vario System GmbH;;1;;;;;;;1
Meinema Projectinrichting B.V.;;4;;;;;;;4
Mekander;;;;;;;;1;1
Mellink Sociale Veiligheid;;;;;;;;2;2
Meltwater The Netherlands B.V.;;;;2;;;;;2
Mentimeter AB;;;;1;;;;;1
MEO;;;;;;1;;;1
Mercedes-Benz Vans Nederland B.V.;;3;;;;;;;3
Merkenbureau Knijff & Partners B.V.;;1;;;;;;;1
MerkPC B.V.;;;;;;;;1;1
Metabolic B.V.;;;;;;;;2;2
Metabolic Coöperatief UA;;;;;;;;2;2
Metaregistrar B.V.;;;;1;;;1;;1
Metis IT B.V.;;;;;;4;;7;7
Metos B.V.;;2;;;;;;;2
Metrohm Nederland B.V.;;2;;;;;;;2
MichielB.com;;;;;;;;1;1
Miele Nederland B.V.;;2;;;;;;;2
mijnpartnergroep.nl;;;;;1;;;;1
Mimecast Netherlands B.V.;;;;;1;;;;1
Mindful Marketing;;;;;;;;2;2
Mitel Gebruikersgroep Nederland;;;;1;;;;;1
MIXACT;;;;;;;;;
Molenaars Kunstzaken;;1;;;;;;;1
Momice B.V.;;;;;1;;;;1
More4Apps;;;;2;1;;;;2
Morgens B.V.;;;;;;;;2;2
Motivaction International B.V.;;;;;;;;2;2
Motto Voip B.V.;;;;;;;;1;1
Mount Knowledge B.V.;;;;;;;;4;4
MSB de Medici;;;;;;;;1;1
MSB St. Jansdal B.V.;;;;;;;;1;1
MTS CARDIOLOGIE;;;;;;;;1;1
Mts Oogheelkunde Amphia;;;;;;;;1;1
Mts. Chirurgengroep Albert Schweitzerziekenh.;;;;;;;;1;1
Mts. huisartsen gezondheidscentrum Leonardus;;;;;;;;1;1
Mts. Int. Geneeskunde en M-d-l.z. Leeuwarden;;;;;;;;1;1
Mts. Inwendige Geneesknd., Longzkt./Tubercul.;;;;;;;;1;1
Mts. Universitaire Orthopaed. Groep Nijmegen.;;;;;;;;1;1
Mulder Wagenbouw B.V.;;2;;;;;;;2
Multi-Post Mail Systems B.V.;;;1;;;;;;1
Muthher Al-Rushdy;;;;;;;;1;1
MV Loopbaanontwikkeling & Advies;;;;;;;;1;1
MWM2 B.V.;;;;;2;;;;2
MXM Creatives;;;;1;;;;;1
N.J. Pereira;;;;;;;;1;1
N.V. Luchthaven Lelystad;;;;;;;;2;2
Nancy Olthoff;;;;;;;;1;1
Nauta Security Storage B.V.;;2;;;;;;;2
Ned. ICT, V.b. Inf.techn., Telec.&aanv. sect.;;;;;;;;1;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;;;6;6
Nederlands Centrum voor Informatie Management;2;;;;;;;;2
Nederlandse School voor Openbaar Bestuur B.V.;;;;;;;;3;3
Nederlandse Vereniging voor Psychiatrie;;;;;;;;2;2
Nesh Media;;;;;1;;;;1
Nespresso Nederland B.V.;;1;;;;;;;1
Net2Legal Consultants;;;;;;;;2;2
Netaffairs Internetdiensten B.V.;;;;;;;;1;1
NetAnts B.V.;;;;1;;;;;1
Netco Technology;;;;;;1;;;1
Netexpo Internet B.V.;;;;;;;;1;1
Networking4all B.V.;;;;1;;1;1;;1
Neurologenpraktijk Midden-Nederland;;;;;;;;1;1
Nextpertise B.V.;;;;;;;;1;1
NFG Net Facilities Group B.V.;;;;;1;;;;1
Nieuwe Vaart Productions;;2;;;;;;;2
Nijboer Interieur en Design B.V.;;1;;;;;;;1
Nijha B.V.;;2;;;;;;;2
Nijssen People Support;;;;;;;;1;1
Nilfisk B.V.;;2;;;;;;;2
Nimsys B.V.;;;;;;;;1;1
Nine Thirty B.V.;;;;;;2;;1;2
NL Hosting B.V.;;;1;;;;1;;1
No Gutz No Glory;;;;;;;;2;2
No Ties B.V.;;;;;;;;1;1
Nodema B.V.;;2;;;;;;;2
Noord Huisartsen;;;;;;;;1;1
Northnets B.V.;;;;;;;2;;2
Notice Branded Media B.V.;;;;;;1;;;1
Novagraaf Nederland B.V.;;;;;;;;1;1
NovoServe B.V.;;;;;;;;1;1
NSDSK Behandelgr. Ster en Knipoog Amsterdam Z;;;;;;;;1;1
Nsecure B.V.;;1;;;;;;;1
NTA;;;;;;;;1;1
Nuance door Training & Advies (NTA) B.V.;;;;;;;;3;3
Oasis Data & Document Management Netherlands;;;;;;;;2;2
OCLC B.V.;;;;2;2;;;;2
ODSecurity B.V.;;;;;1;;;;1
Office Athletes B.V.;;;1;;;1;;;1
Office Depot B.V.;;;1;;1;;1;;1
Office Team Hoekschewaard;;1;;;;;;;1
Okaphone Elektronika B.V.;;;1;;;;1;;1
Olivier Middendorp Fotografie;;;;;;;;1;1
Olssen B.V.;;2;;;;;;;2
Omgevingspsycholoog B.V.;;;;;;;;1;1
Ommelander Ziekenhuis Groningen;;;;;;;;1;1
Omnicom Public Relations Group B.V.;;;;;;;;5;5
ON2IT B.V.;;;;;;;2;;2
Onderwijsbureau Groei;;;;;1;;;;1
Onderzoekdoen.nl;;;;;1;;1;;1
One.com Nederland;;;;;;;1;;1
one2many B.V.;;;;;;;;2;2
Online Marketing Coach;;;;;;1;;;1
Onomatopee B.V.;;;;;;;;2;2
Oogziekenhuis Zonnestraal Flevoland B.V.;;;;;;;;1;1
Opinity B.V.;;;;;;;;2;2
Opnivo Horecameubilair;;1;;;;;;;1
Optelec Nederland B.V.;;;1;;1;;;;1
Oracle Nederland;;;;;2;1;;;2
Orbis Software Benelux B.V.;;;;;1;;;;1
Orcavoice B.V.;;;;1;;;1;;1
Ordina Luxembourg SA;;;;;;;;1;1
Ordina Nederland B.V.;;;;;;;;2;2
Ordina Technologie & Competenties B.V.;;;;;2;6;;;6
Organisatieluisteraars B.V.;;;;;;;;1;1
Orthopedium B.V.;;;;;;;;1;1
OSAGE communicatie en ontwerp;;;;;;;;1;1
Otherside at Work B.V.;;;;;;1;;;1
Owello B.V.;;;;;;1;;1;1
OXILION;;;;1;1;;;;1
P. Jonker-Bakker;;;;;;;;1;1
P.D.M. de Buck;;;;;;;;1;1
P.I. Research B.V.;;;;;;;;2;2
P.J.G. van de Put Handelsagenturen;;1;;;;;;;1
Paardekooper Organisatieadvies;;;;;;;;1;1
Pactechno;;;1;;;;;;1
PAK Aanhangwagens Kruiningen;;2;;;;;;;2
Pakkt Organisatieadviesbureau B.V.;;;;;;;;3;3
Pan Medical;;;;;;;;1;1
Panteia B.V.;;;;;;;;2;2
Paperwork I.T. B.V.;;;;;;;;1;1
PARAG;;;;;;;;4;4
Paralax B.V.;;;;;1;;;;1
Pardon Consult;;;;;1;;1;;1
Parkhuis Lombok;;;;;;;;1;1
Parnassia Noord-Holland B.V.;;;;;;;;1;1
PATboard B.V.;;;1;;;;;;1
Payeasy Internet Solutions B.V.;;;;;;;;1;1
PBLQ B.V.;;;;;;;;4;4
PDS Professional Driving Solutions B.V.;;;;;1;;;;1
Pe Netlogics B.V.;;;;;;;;1;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;;;2;2
PerkinElmer Nederland B.V.;;3;;;;;;;3
Peutz B.V.;;1;;;;;;2;2
Phone-MediC;;;;;;;1;;1
Pinewood B.V.;;;;1;;2;;;2
Ping Online B.V.;;;1;;;;;;1
Pinkcube B.V.;;;1;;;;;;1
Pino Evenementen & Congressen B.V.;;;;;;;;2;2
Planetbyfoot;;;;;;;;2;2
Planon B.V.;;;;;2;;;;2
Plex B.V.;;;;;;;;1;1
PLINQ B.V.;;;;;;;;1;1
Plusport B.V.;;;;;1;;;;1
Pocos;;;;;;;;1;1
Point FWD B.V.;;;;;;;;1;1
Polytrack B.V.;;2;;;2;1;;;2
Ponte Juristen;;;;;;;;1;1
Postcode.eu;;;;;1;;;;1
Posthumus Machines en Revisie B.V.;;2;;;;;;;2
PostNL Data Solutions B.V.;;;;2;;;;3;3
Powdersafe Pty Ltd;;1;;;;;;;1
PPC B.V.;;;;;;1;;;1
PQR B.V.;;7;7;1;2;1;2;;7
Praktijk Goossens Veenvliet;;;;;;;;1;1
Praktijk Lorewtz - Levert;;;;;;;;1;1
Praktijk Mozaiek B.V.;;;;;;;;1;1
Praktijk R.J.A. Bollen;;;;;;;;1;1
Praktijk Verboom;;;;;;;;1;1
Praktikon;;;;1;;;;;1
Pretium Telecom;;;;;;;;1;1
Previder;;;;;;;;1;1
Pricewaterhousecoopers N.V.;;;;;;;;5;5
Primair Projekt B.V.;;4;;;;;;1;4
Prins facilitaire dienstverlening;;2;;;;;;;2
Privacy Company B.V.;;2;;;;;;3;4
Pro Conference B.V.;;;;;;;1;;1
Pro Facility Adviesbureau B.V.;;;;;;;;;
Pro Persona GGz;;;;;;;;1;1
ProcessGold B.V.;;;;;;1;;;1
Prof. Dr. Wim Derksen;;;;;;;;1;1
Projectstoffering Utrecht B.V.;;1;;;;;;;1
Promaint B.V.;;;;;;;;2;2
Promax Information Technology B.V.;;;;2;;;;;2
Promed B.V.;;;;1;;;;;1
Promptus Cursussoftware B.V.;;;;;1;;;;1
Property Care Nederland B.V.;;;;;;;;1;1
Protagonist.nl;;;;1;;;;;1
Protinus IT B.V.;;7;6;7;8;7;5;5;9
Psychiatriepraktijk W.H. Lionarons;;;;;;;;1;1
Psychiatrische Praktijk Alsality;;;;;;;;1;1
Psychodiagnostica;;;;;;;;1;1
Psychologie praktijk Cherryl Sewpersad;;;;;;;;1;1
Psychologiepraktijk De Meeuwen;;;;;;;;1;1
Psychologiepraktijk Hechtscheiden;;;;;;;;2;2
Psychologisch praktijk;;;;;;;;1;1
Public Data Services B.V.;;;;1;;;;;1
PubliContact B.V.;;;;;;;;2;2
Purfacts;;1;;;;;;;1
Purple Hippo;;;;;1;;;;1
Purpose Connection UA;;;;;;;;2;2
PUUR en Partners;;;;;;;;2;2
PVO by Desque;;3;;;;;;;3
Qconferencing B.V.;;;;;1;;;;1
Q-Fast Telecom B.V.;;;;;;;;1;1
Qmatic Holland B.V.;;;1;;;;;;1
Q-Team Solutions;;;;;;;2;2;2
Quadient Finance Netherlands B.V.;;;2;;2;;;;3
Quadient Netherlands B.V.;;1;;;;;;;1
Quality Systems B.V.;;;;;;;;1;1
Quarto B.V.;;;1;;;;1;;1
Quis Products B.V.;;;;;1;;;;1
QuoVadis Trustlink B.V.;;;2;4;4;;1;;5
R.A.L. Schoop Praktijk B.V.;;;;;;;;1;1
R2 Retail Solutions B.V.;;2;;;;;;;2
Raatwerk B.V.;;;;;1;1;;;1
Rabobank Regio Den Haag;;;;;1;;;;1
Radar Advies B.V.;;;;;;;;4;4
Radik;;;;;;;;2;2
RAPIDE Internet;;;;;;;;1;1
Rapportagebureau 030;;;;;;;;1;1
REACon B.V.;;1;;;;;;;1
Readme Signing B.V.;;1;;;;;;;1
Rechtnet B.V.;;;;2;1;;;;2
Rechtsorde B.V.;;;;2;;;;;2
Reconi B.V.;;;;;;1;1;;1
Recuper Expertise;;;;;;;;1;1
Red Plume Management;;;;;;;;2;2
Redworks B.V.;;;;;;;;1;1
Refractiecentrum Haaglanden B.V.;;;;;;;;1;1
Regional Support Office RSO-MIO;;2;;;;;;;2
Regioplan Beleidsonderzoek B.V.;;;;;;;;2;2
Regiovakgroep Chirurgen Noordoost B.V.;;;;;;;;1;1
Regulus Partners LLP;;;;;;;;2;2
Rehomy B.V.;;2;;;;;;;2
Rekenservice;;;;;;;1;;1
Renée Broekmeulen Tekst & Training;;;;;;;;1;1
Reparatie Almelo;;;;;;;1;;1
Reversed Digital B.V.;;;;;1;;;;1
REWA Technology Czech s.r.o.;;1;;;;;;;1
Rhenus Data Office Netherlands B.V.;;;2;;;;;;2
Richard Sluijs ontwerpen;;;;;;;;1;1
Ricoh;;1;2;;3;;;;4
Rijwielbedrijf Vincent van Ellen B.V.;;1;;;;;;;1
Riscure B.V.;;;;;;2;;3;3
Rivierduinen;;;;;;;;1;1
Rodeq Dental;;1;;;;;;;1
