Verkiezing		Provinciale Staten Zuid-Holland 2019																																																																		
Datum		20-3-2019																																																																		
Gebied		Gemeente Dordrecht																																																																		
Nummer		505																																																																		
																																																																				
Lijstnummer	Aanduiding	Volgnummer	Naam kandidaat	Totaal	Stadhuis	Stadskantoor	't Zeepaert	Centrum Stapal	Dordrechts Museum	't Klockhuys, bij toren Grote Kerk	School Vest	Hogeschool InHolland	Energiehuis	Centraal Station, Portacabin op bordes	School Noordhove	Gebouw De Driesprong	Zorgcentrum De Linde	Kerkgebouw Pinkstergemeente	Dordtse Vrije School	School De Repelaer	Sportcomplex Sport+	Wantijschool	School De Regenboog	Zorgcentrum Merwelanden	Prinses Julianaschool	Prinsemarij	Gebouw Dorswedo	Prins Bernhardschool	Het Weizigt NMC	School De Fontein	Het Waterwiel	Speeltuin Zeehavenkwartier	Wijkcentrum De Admiraal	Wooncentrum Watersteijn	Postillion Hotel	Wooncentrum De Klockelaer	J.F. Kennedyschool	Trefpunt de Nieuwe Stoof	Zorgcentrum Vreedonk	Bewonersvereniging 't Trefpunt	Winkelcentrum Sterrenburg	Cultureel Centrum Sterrenburg	Albert Schweitzerziekenhuis, Dordtwijk	Verpleeghuis De Sterrenlanden	Polyanderschool	School De Driehoek	Portacabin Eulerlaan	Gymzaal Ockenburg	Ontmoetingskerk	School De Meridiaan	School Het Kristal Dependance	School Het Kristal	Verzorgingshuis Dubbelmonde	Beatrixschool, de boerderij	Verpleeghuis Het Parkhuis	Postduivenvereniging 'De Luchtbode'	OBS Dubbeldam	De Gravenhorst	Hotel De Watertoren	School De Griffioen	Lucina Verloskundigenpraktijk	Geert Grooteschool	Wielborgh, Het Polderwiel	Portacabin Parkeerplaats Stadspolderring	Kandelaarkerk	Speeltuin Stadspolders	School De Bever	Johan Frisoschool Dependance
		14	Hokke, M.W.J.	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
		15	Verweij-Talboom, A.T.M.	12	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		16	Kaffa, D.P.	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		17	Smitskam, P.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		18	van der Velden, P.	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
		19	Helweg, R.	137	0	1	0	0	3	3	1	0	0	2	2	3	4	0	0	2	0	1	3	4	1	6	0	2	6	3	6	1	7	1	0	3	4	4	1	2	1	1	2	0	1	1	0	2	4	1	2	5	1	1	5	0	2	4	1	4	1	0	3	3	2	0	7	7
		20	Meeuwissen, M.J.P.	32	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	1	2	1	0	0	0	2	1	3	2	0	0
3	Democraten 66 (D66)			3334	114	126	66	57	88	54	101	33	76	159	38	104	91	31	49	66	15	37	18	14	26	66	42	39	63	29	16	3	20	39	9	24	29	30	38	26	41	32	50	47	32	69	40	11	110	67	12	67	73	59	73	25	55	35	66	51	51	69	75	43	51	51	78	65
		1	Oosterop-van Leussen, H.R.	1849	59	60	36	36	48	24	49	19	46	87	21	58	55	16	22	40	10	19	10	5	13	25	27	18	26	11	9	1	13	24	3	15	16	20	18	13	30	24	30	23	21	40	22	4	67	49	6	37	40	25	49	14	30	21	40	30	31	43	46	21	32	34	47	21
		2	Wilkeshuis, K.	222	11	19	1	3	9	5	5	1	5	9	4	6	5	2	4	5	2	3	1	0	2	6	2	3	4	1	0	0	2	0	0	2	0	2	5	0	3	1	3	3	2	4	1	1	8	3	2	4	7	4	2	3	3	1	2	2	3	6	5	5	3	1	3	8
		3	Heuvelink, J.	42	3	1	0	0	1	3	2	0	2	1	0	0	0	1	3	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	2	0	1	0	1	1	0	0	1	3	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1
		4	van Rijnberk, A.T.	10	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0
		5	Lalta, V.D.	18	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	2	2
		6	Wijbenga, A.	50	2	3	0	1	0	1	2	0	0	4	0	0	2	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	1	1	0	0	0	1	1	3	1	0	2	1	0	1	0	0	2	0	0	3	0	1	2	0	0	0	0	0	0	0	1	2	0	2	1	2
		7	Grond, T.	9	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		8	Neijenhuis, L.J.M.W.	119	8	3	6	2	7	4	1	0	2	7	1	3	4	0	1	1	0	1	1	0	1	5	3	1	2	2	0	0	0	0	1	1	1	0	1	2	0	0	2	0	1	6	4	1	1	1	0	2	2	2	1	8	0	0	2	0	2	2	3	0	2	2	1	2
		9	Somer, S.F.	27	1	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0
		10	Wessels, R.M.	760	23	35	19	8	20	12	36	10	16	31	9	25	21	10	11	16	3	11	5	6	3	17	7	16	23	10	2	2	1	12	3	5	9	2	0	8	4	0	9	16	8	13	12	3	24	9	4	14	17	18	12	0	16	10	13	14	9	12	8	10	12	9	18	19
		11	Faasse, L.J.	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
		12	Op den Kamp, F.L.A.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
		13	Mols, F.	7	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
		14	de Klerk-de Groot, B.G.M.	17	0	0	0	0	0	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	0	0	0	0	1
		15	Verkade, L.	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
		16	Abdulrazag, M.	94	4	2	1	1	0	2	2	2	3	7	0	5	2	1	2	0	0	1	1	1	6	6	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	3	0	0	1	0	1	4	2	0	3	0	1	1	0	3	2	3	0	3	0	2	1	1	1	4	3
		17	Wijnen, P.J.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		18	Feenstra-Bruins, S.I.	16	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0
		19	Yalçin, H.	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
		20	de Koning, C.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		21	Looijen, S.J.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		22	Beijer, C.J.	8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
		23	van Woudenberg, D.B.	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		24	Gerritsen, D.M.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		25	Puts, J.	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		26	van Straten, P.F.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		27	de Iongh, E.	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		28	Buis, A.J.C.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		29	Oey, K.H.	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		30	Eser, H.H.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
		31	Doekaloe, V.A.R.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		32	de Beer, L.	6	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
		33	van Brussel, L.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		34	Kocken, B.M.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		35	van der Stad, R.A.R.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		36	de Wolf, D.A.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
		37	Pahladsingh, M.R.R.S.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
		38	Magermans-Oving, D.E.	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		39	Breitbarth, P.V.F.L.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		40	Wenneker, G.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		41	Hekker, A.H.	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
		42	van Meerten, H.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		43	Tulp, R.L.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		44	Meurs, J.M.A.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
		45	Strijk, R.C.L.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		46	Bonsen-Lemmers, M.M.	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		47	Voshol, H.W.	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		48	van Oudenhoven-Rijskamp, J.	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		49	van Drimmelen, F.A.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		50	Weber, J.F.	8	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2
4	CDA			3079	64	66	19	43	45	25	59	10	31	43	27	40	62	33	18	56	15	17	31	55	27	65	33	39	37	24	18	2	21	36	21	26	29	38	54	69	60	50	42	83	54	54	35	29	73	58	30	86	148	77	86	52	84	113	59	41	41	86	80	47	56	39	75	43
		1	Bom-Lemstra, A.W.	1848	44	41	11	27	20	13	38	0	17	23	18	21	38	17	13	37	11	6	20	33	14	36	18	27	21	14	13	0	13	15	13	13	19	27	37	44	33	28	22	62	32	34	24	17	38	39	14	40	106	46	57	36	46	75	42	23	19	52	54	26	36	22	37	16
		2	Stolk, M.	57	0	2	0	2	1	1	0	0	1	0	0	0	1	0	1	3	1	0	0	1	0	2	0	0	0	0	0	0	1	2	0	1	0	2	1	2	1	1	2	0	0	1	0	0	0	0	2	1	4	2	1	0	0	2	1	1	0	1	2	3	1	2	1	3
		3	Rogier, M.R.	29	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0	1	0	6	0	1	1	0	2	0	0	0	0	2	0	0	1	1	0
		4	van Sandick-Sopers, M.A.C.M.	92	1	2	0	4	1	0	0	4	3	3	0	1	0	0	0	4	0	2	1	0	2	1	1	2	3	1	0	0	0	1	1	3	1	0	4	1	3	3	2	2	0	0	0	2	2	1	0	1	2	1	2	2	1	2	1	0	1	4	0	1	2	3	3	4
		5	de Haan, M.A.C.	108	0	5	0	2	2	1	4	0	1	3	1	2	2	4	0	0	0	2	4	1	1	3	1	1	2	0	2	0	0	5	0	3	1	0	3	2	3	5	0	3	1	0	2	2	2	0	0	2	4	1	7	2	2	0	2	3	1	1	0	1	0	0	4	2
		6	Kastelein, J.	12	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
		7	de Vries, D.C.	19	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0
		8	Alsalhawi, E.	13	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		9	Wind, G.	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1
		10	de Veld-van Hassel, M.P.J.	27	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	0	10	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0
		11	Keizerwaard, A.	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		12	Verouden, E.M.	17	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0
		13	van den Berg-la Fleur, J.C.E.	16	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0
		14	van Ek, H.C.H.	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		15	Mous, I.E.	717	17	13	5	5	18	9	11	5	8	11	6	11	14	6	3	8	2	5	3	16	7	16	9	5	8	3	2	2	4	9	5	4	6	5	5	13	13	0	13	10	16	15	8	7	26	15	12	29	20	21	18	9	32	24	12	11	19	23	16	13	7	10	22	17
		16	van Butselaar, M.J.K.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		17	Winkels, B.B.T.T.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		18	Seegers-Chien, F.T.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
		19	de Witte, J.A.M.	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		20	van Loo, P.D.	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		21	Berg, H.E.	15	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
		22	Veninga, G.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		23	de Lange-Leguijt, G.C.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
		24	Maramis, D.R.I.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		25	Kraaijveld, G.	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
		26	de Jonge, T.T.E.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
		27	de Rijk-de Jong, J.H.M.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		28	Kuo, C.	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
		29	Slob, A.	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0
		30	Snel, F.A.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		31	Blacquière, A.R.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
