Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;;;1;2;1;;2
TCA Telecom;;;;;;1;;1
Tech Office B.V.;;1;;;;1;;1
Techcai B.V.;;1;;;;;;1
Technische Unie;;1;1;;1;1;;1
Technology Investment Group;;;;;;1;;1
Technolution;;;;;;;3;3
Tele2 (incl. Versatel, BBeyond);1;1;7;2;5;8;;8
Telecom Service Groep;;1;;;1;1;;2
Telecom Today;;;;;;;2;2
Teleena;;;;;;;2;2
Telefoon Totaal;;;;;;;2;2
Telesur-SRG;;;;;;;2;2
Telio Nedeland;;;;3;2;;;4
Tempass BV;;;;;1;;;1
Ter Hoeven & Partners;;2;;;;;;2
Tes Installatietechniek;;1;;;3;;;3
Th. Engering;;1;;;;;;1
Th.A.M. Deenen;;;;;1;;;1
The Webcare Company;;;;;1;;;1
Thieme Grafimedia Groep;;;;;1;;;1
Thoenes, van der Hoeff & Lichten-;;;;;;;1;1
Thornstein Groep;;;;;1;;;1
Tijssens Electrotechniek;;1;;;;;;1
TimeTell;;;;1;;;;1
Timmers Bouwbedrijf;;1;;;;;;1
T-Mobile Netherlands;7;;;;;5;;7
TNO;;;;;1;;;1
Top Informatie Systemen;;;;2;1;;;2
Topbloemen Nederland;;;;;;1;;1
Topdesk;;;;2;;;;2
Total Identity, Total Public;;;;1;;;;1
Toys XL;;;;2;;;;2
TRConsult;;;;;1;;;1
Trend Call Nederland;;;;;;;2;2
Tri-Ennium;;1;;;;;;1
Trimbos-Instituut;;1;;;;;;1
Trimension;;;;;;;1;1
TriNed;;;;;;;2;2
Triptic;;;;2;1;;;2
TWS Technologies;;;;;;;2;2
Tyco Integrated Fire & Security (incl. ADT Fire & Security);;2;;1;;;;2
ULC Technisch Beheer;;;;;1;;;1
Ultimo;;;;2;;;;2
Ultimo Software Solutions;;;;1;1;;;1
Ultimoo Incasso;;;1;;;;;1
Unet;;;;;;;2;2
Unilogic Networks;;;;;;;2;2
Unipas;;;1;;;;;1
Unisys Nederland;;;;7;1;;;7
UPC Nederland;;;1;;;2;;2
Van Dam Technisch Beheer;;1;;;;;;1
Van Duijnen Koffie;;1;;;;;;1
Van Randwijk Paperflow Solutions;;1;;;;;;1
Van Rossum Ijzerhandel;;;1;;;;;1
Vecozo;;;;2;;;;2
Veenman;;;;;;1;;1
Velzart;;;;;;;2;2
Veolia Gebouwenbeheer;;1;;;;;;1
Vereniging COIN;;;;;;;1;1
Verizon Nederland (incl. VB Verizon Business);;;;;;2;;2
Vertimart Consultants;;;;1;;;;1
Vesting Finance Incasso;;;;;;1;;1
VIA.nl (incl. Informatica, Verkeersadvies);;;;;;;1;1
Viadesk;;;1;1;2;2;;2
Vialis Traffic;;;;;;;1;1
Vidiline Voting;1;;;;;;;1
Visser Adviseur in Ergonomie;;1;;;1;;;1
Visuall;;;;;2;;;2
VKA Verdonck Klooster & Associates;;;;;3;;;3
VLS Van Leeuwen Schoonmaak;;;;;2;;;2
VNSG Vereniging Nederlandstalige SAP Gebruikers;;;;1;;;;1
Vodafone (incl. Libertel);7;1;1;;4;7;;8
Voice Corp Webservices (incl. Readspeaker);;;;;1;;;1
Voicedata;;;;;;;2;2
Voiceworks;;;;;;;2;2
VoipQ;;;;;;;2;2
Voipro;;;;;;;2;2
Voizz Nederland;;;;;;;2;2
Voorhout Data Connection;;;;;1;;;1
VoorneNet;;;;;;;2;2
VRC Telecom;;1;;;;;;1
VRH Informatisering;;2;;;;;;2
Vrieservice;;;;;;4;;4
VrijdagOnline.nl;;;;1;;;;1
VSS Nederland;;1;;;;;;1
VWR International (incl. Omnilabo);;1;1;;;;;1
VX Company;;;;1;;;;1
W.Th. Pot en Zoons;;;;;;;1;1
Wanders Software;;;;1;;;;1
WCC Services;;;;5;;;;5
Web2Work;2;;;;;;;2
Webelect;;;;1;;;;1
Webscale;;1;;1;;;;1
Webstekker;;;;;1;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;1;;;;;1
Welldotcom;;;;;;1;;1
Welzorg Autoaanpassingen;;1;;;;;;1
Wentzo;;;;;;1;;1
Westerscheldetunnel;;;;;;;3;3
Westmedia Production;;;;;1;;;1
Wewo Europe;;1;;;;;;1
Widexs;;;;;1;;2;2
Wifly;;;;;;;2;2
Winitu Communications;;;;;;;2;2
WKS Office Shop;;;1;;;;;1
Wolters Kluwer (incl. Kluwer);;;1;;;;;1
Worksphere - Stork en Strukton;;4;;;;;;4
XA Document Solutions;;;1;;;;;1
Xenosite;;;;;;;2;2
Xentech;;;;;;;2;2
Xerox;6;2;2;;4;1;;6
Xerox/Document House;;1;1;;;;;1
XL Internet Services B.V.;;;;;;1;;1
Xolit;;;;2;;;;2
X-pact Stichting Beheer Derdengelden;;;;;;1;;1
XRC;;;;;;;2;2
X-REF Nederland;;2;;1;;;;2
XS4ALL Internet;;1;2;;1;2;;3
XSO;;;;1;;;;1
Xtandit;;;;;1;;;1
Yellow Yard;;;;2;;;;2
Yellowtail B.V.;;;;4;;;;4
Yiggers Nederland;;;;;;;2;2
Youfone Nederland;;;;;;;2;2
Yourhosting;;;;;1;;;1
Yourrequest;;;1;2;;;;2
Ypex Eurosales B.V.;;;;1;;;;1
Ypos Internettoessingen;;;;;1;;;1
Zeelandnet;;;;;1;1;2;2
Zenitel;;;;;1;1;;1
Zetacom;;1;;;;1;;1
ZG Zomerdijk & Groenheijde Telecommunicatie;;1;;1;1;2;;2
Ziggo (vh Casema);;;1;;1;2;;2
Zoranet;;;;;;;2;2
ZyLAB Benelux;;;1;;;;;1
Eindtotaal;9;9;9;11;9;9;8;12
