Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Johnson Controls Automation Systems;;1;;;;1
Jones Lang Lasalle;;2;;;;2
Jonker Engineering Beheer;;1;;;;1
Josefien & Co;;3;;;;3
JOSS B.V.;;;;;3;3
Jovi Groep (incl. Platina Argenta);;;;;7;7
Jowitherm Nederland B.V.;;1;;;;1
JuBi Bouwcombinatie;;7;;;;7
Jungheinrich Nederland;;1;;;;1
Jurriëns Bouw, Onderhoud, Noord;;8;;;;8
K.A.T./Kunst, Advies en Techniek;;1;;;;1
KAAL B.V. METAALBEDRIJF;;1;;;;1
Kampert en Helm (incl. K&H, Rotaform);;2;;;;2
Kamphuis' Gulch;;1;;;;1
Karel V Utrecht Grand Hotel;;1;;;;1
Karres en Brands Landschappenarchitecten;;2;;;;2
Kemkens Installatietechniek, Gasservice;;3;;;;3
Kemkens Utiliteit;;4;;;;4
Kemtec;;1;;;;1
Kerkvoogdij Hervormde Gemeente Aduard-Den Ham-Fransum;;1;;;;1
KernGroen B.V.;;1;;;;1
Keyner Projectadvies ;;1;;;;1
Kieback & Peter Nederland;;1;;;;1
Klaassen Bouwmaatschappij Arnhem B.V.;;1;;;;1
Klein Poelhuis Installatietechniek;;7;;;;7
Klein Zwitserland Hoveniersbedrijf;;1;;;;1
Kleverwal Schilderwerken;;1;;;;1
Klift-Roest Wonen;;2;;;;2
KMG (incl. Juris);;2;;;;2
Knol Bouw;;2;;;;2
Kodi;;1;;;;1
Koek en Reinders Glas- en Schilderwerken;;6;;;;6
Kohler Peutz Geveltechniek;;6;;;;6
Kok Tuinmachines;;1;;;;1
Kone Liften, Deursystemen;;7;;;;7
Koninklijke Aanneningmaatschappij van Waning;;5;;;;5
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;1;;;;1
Koninklijke De Swart;;3;;;;3
Koninklijke Eijsbouts Klokkengieterij en Fabriek van Torenuurwerken;;1;;;;1
Koninklijke Saan (incl. Horiz. & Vert. Transport, Archiefbeheer);;2;;;;2
Koninklijke Woudenberg;;8;;;;8
Kontek Engineering;;7;;;;7
Koopmans Bouwgroep;;4;;;;4
Kopak B.V.;;1;;;;1
Korporaal Installatietechniek;;5;;;;5
Korrekt Bouw B.V.;;1;;;;1
KORRIE BESEMS / FOTOWERKEN;;1;;;;1
Kortekaas Cleaning Equipment B.V.;;1;;;;1
KPN (incl. Getronics, PTT Telecom);;2;;;4;4
Kraft Adviseurs B.V.;;1;;;;1
Kramer Bouw;;7;;;;7
Kranenburg Gevelonderhoudsinstallaties;;1;;;;1
Kreeft Bouwbedrijf;;1;;;;1
Kromwijk Inspectie en Advies B.V.;;3;;;;3
Kroon Leveranciers;;1;;;;1
Kropman Installatietechniek;;7;;;;7
KTD Klimaatbeheersing;;2;;;;2
Kubik B.V.;;1;;;;1
Kuijpers Installaties (incl. Maintenance, Beveilinging);;7;;;;7
Kuijs Reinder Kakes;;1;;;;1
Kuiper Bouwgroep;;7;;;;7
Kuipers Ben Landschapsarchitect;;4;;;;4
Kunstpassage;;1;;;;1
KWA Bedrijfsadviseurs;;1;;;;1
Kwerreveld Dakbedekkingen;;3;;;;3
Laan Infra Consult;;2;;;;2
Laarhoven Design;;2;;;;2
Lahr Marianne;;1;;;;1
Lakwijk Kunststoffen;;1;;;;1
Lamplord;;1;;;;1
Land Id (Gj Bouwman);;2;;;;2
Lankelma Geotechniek;;1;;;;1
LBA;;2;;;;2
LBP Lichtveld Buis & Partners;;3;;;;3
Leenhouts' Aannemings-Bedrijf;;5;;;;5
Lentis Maatschappelijke Onderneming;;;;;3;3
Leonidas;;1;;;;1
LetC Communicatieadvies;;2;;;;2
Letterop;;1;;;;1
Liander;;6;4;;;6
Liccom;;1;;;;1
Lievense Raadgevende Ingenieursbureau;;3;;;;3
Lifoka Kopie en Print;;2;;;;2
Liftinstituut;;1;;;;1
Liftned;;1;;;;1
Lijstenmakerij-Atelier Grijspaardt;;1;;;;1
Lineair Bouwmanagement;;2;;;;2
LINT landscape architecture Utrecht;;1;;;;1
Lodige Benelux;;3;;;;3
Lokaal Werk;;2;;;;2
Lokapost;;1;;;;1
Lomans Groep;;1;;;;1
Loo Plan;;2;;;;2
Loodgieters- en Leidekkersbedrijf van Wely;;4;;;;4
Loonbedrijf Post;;1;;;;1
Lubron Waterbehandeling;;1;;;;1
Luchthaven Maastricht;;;;;3;3
Lukasse Dakbedekkingen Goes;;6;;;;6
LUTEIJN BOUKUNDIG ADVIESBUREAU;;1;;;;1
Lyreco Nederland (vh Ahrend Office Products);;;;;1;1
M+P Raadgevende Ingenieurs;;1;;;;1
M3H architecten;;1;;;;1
Maasbouw B.V.;;4;;;;4
Maasdak;;1;;;;1
Maatschap Rijp;;;;;4;4
Made by rENs;;3;;;;3
Madison Legal;;2;;;;2
Madurodam;;;;;1;1
Maen Gevelbeheer;;1;;;;1
Magnus Grafische Afwerkers;;1;;;;1
Maincontracting CWJP;;5;;;;5
Makelaarscentrum;;;;;2;2
Managed-It;;2;;;;2
Manntech Gevelinstallaties;;2;;;;2
Manutan (vh Overtoom International);;1;;1;1;1
Maquette Atelier;;1;;;;1
Maranti Mixed;;1;;;;1
Marida IV;;;;;2;2
Marks Wachters Notarissen;;1;;;;1
Marshall Security Services;;3;;;;3
Mas Restaurant;;1;;;;1
Massier Technisch Bureau;;7;;;;7
Mastermate;;2;;;;2
Mauritshuis;;7;;;;7
Maxwan Architecs & Urbanists;;2;;;;2
McArt Creative Signmaker;;2;;;;2
Meesterbouw;;3;;;;3
Meijer & Van Eerden Architectenbureau;;1;;;;1
Meliskerke Bouwbedrijf;;4;;;;4
Memories of Asia;;1;;;;1
Mensys (incl. Computercollectief);;1;;;;1
Mercatus Beheer B.V.;;1;;;;1
Merin (vh Uni-Invest);;2;;;7;7
Merk X B.V.;;2;;;;2
METAALRESTAURATIE AMSTERDAM;;1;;;;1
Metos Kitchen Intelligence;;6;;;;6
Meyer Service & Onderhoud;;2;;;;2
MH Projects;;2;;;;2
MIDDENSTANDSHUIS HET B.V. MAATSCHAPPIJ VAN ONROERENDE GOEDEREN;;;;;4;4
Misco Nederland;;1;;;;1
Mitsubishi Elevator Europe;;3;;;;3
Mo2;;1;;;;1
Mobius Consult;;2;;;;2
Moesman's Antieke-, Oude- en Nieuwe-Stijl Meubelmakerij;;2;;;;2
Möhringer Liften;;5;;;;5
Mol Ingenieursbureau;;1;;;;1
Mondial Movers;;;;6;;6
Moniker;;2;;;;2
Montako B.V.;;1;;;;1
Monument en Project;;2;;;;2
Moonen Onderhoud & Renovatie;;1;;;;1
Movares Nederland;;7;;;;7
MR Woodproducts;;1;;;;1
Mulhuyzen Bliksembeveiliging;;1;;;;1
Multi Post Nederland;;1;;;;1
Museum Boerhaave;;2;;;;2
Mutua Fides;;3;;;;3
MVGM Bedrijfshuisvesting, Vastgoedmanagement;;7;;;4;7
MWH;;2;;;;2
N.D.F. Special Light Products B.V.;;1;;;;1
N.V. Bank voor de Bouwnijverheid;;3;;;;3
N.V. Beleggingsmaatschappij de Pyramiden;;;;;7;7
NACO Netherlands Airport Consultants;;5;;;;5
Nai Uitgevers/Publishers;;3;;;;3
NATIONALE VASTGOED GROEP BELEGGINGEN;;;;;7;7
Ned Document Reproductie;;1;;;;1
Nedalo Ener-G;;3;;;;3
Nederlands Openluchtmuseum;;1;;;;1
Nederlof R.A.-Periodiek;;;;;4;4
Nedon Adviesburo;;1;;;;1
Nelissen Ingenieursbureau;;3;;;;3
Neopost (incl. Neopost Finance);;1;;;;1
NIBA Consultants;;2;;;;2
Nibag;;6;;;;6
Niek Interim Management;;2;;;;2
Nieuw Jansen;;2;;;;2
Nieuwe Steen Investments/Zeeman Vastg.Beh/Nsi;;;;;7;7
Nieuwenhuis Stofvrij Stralen B.V.;;1;;;;1
Nijeboer-Hage;;1;;;;1
Niscayah Stanley Security Nederland;;1;;;;1
NISSEN ADVISERING ENERGIE EN KLIMAAT;;4;;;;4
Noordelijke Atelier Textielrestauratie;;1;;;;1
Nootenboom Sport;;4;;;;4
NORD ARCHITECTUUR;;2;;;;2
Notariaat Duiven Westervoort;;1;;;;1
NPN Drukkers;;1;;;;1
NS - Spoorwegen Nederlandse;;;;;2;2
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);;;;;6;6
NSI Kantoren en Winkel;;3;;;;3
Numan & Kant;;1;;;;1
Nuon Business;;3;;;2;4
NVD Beveiligingen;;1;;;;1
NWB Nederlandse Waterschapsbank;;;;;7;7
Nyenburgstaete;;1;;;3;3
O.V.T. Architecten;;1;;;;1
Objectum B.V.;;1;;;;1
Observatorium Maatschap;;2;;;;2
Octatube Nederland B.V.;;7;;;;7
Octavius Vastgoed;;;;;4;4
Oenema Aannemings- en Transportbedrijf;;5;;;;5
Oesterbaai Ingenieursbureau;;3;;;;3
OFFICE RADARWEG B.V.;;;;;5;5
Officenter Maastricht;;;;;3;3
Oldenhave Technisch Beheer;;5;;;;5
Olster Dakwerken/Dakbehoud Nederland;;1;;;;1
Omega Properties;;;;;5;5
Ondernemingshuis Kantorenpand Sittard;;;;;2;2
Oostelbos van den Berg;;3;;;;3
Oostendorp Interieur en Meubelstoffering;;3;;;;3
Oosterveld Elektro Advies;;1;;;;1
Orange Portfolio Stichting Administratiekantoor;;;;;6;6
Oranjedak;;4;;;;4
Oranje-Nassau Vastgoed;;;;;6;6
Orly en Endevoets Voegersbedrijf;;1;;;;1
ORMIX DRIEBERGEN C.V.;;;;;7;7
Orona (vh ALL-IN Lifttechniek);;3;;;;3
Oskam B.V. Asbestverwijdering;;1;;;;1
Oskam Vastgoed Cothen;;;;;6;6
Oskomera Service & Onderhoud;;1;;;;1
OSP Office Service Partners (incl. Du Monde Food, Catering);;1;;;;1
Ossip Architectuurfotografie;;1;;;;1
OTH Ontwerpgroep Trude Hooykaas;;2;;;;2
Otis;;1;;;;1
Otto Ooms B.V.;;1;;;;1
Oudaen Stadskasteel;;1;;;;1
Oudewaal Bouwkundig Bureau;;3;;;;3
Overdevest Adviseurs;;1;;;;1
Overvoorde & van Tilborg Advies en Dienstverlening Vastgoedonderhoud;;2;;;;2
Oxalis Hoveniersbedrijf;;2;;;;2
P.T. Structural Design and Analysis;;1;;;;1
Paleis Het Loo Nationaal Museum;;3;;;;3
Pannenkoekhuis den Strooper;;1;;;;1
Panta Real Estate B.V.;;;;;7;7
Panteia (incl. Stratus, Consult, Eim, Research Voor Beleid, NEA);;2;;;;2
PARKING DORDRECHT B.V.;;;;;2;2
Parkstad Inspecties;;4;;;;4
Partners in Cultuur en Beleving;;1;;;;1
Patina Beverwijk;;4;;;;4
PATISAN VASTGOED B.V.;;;;;2;2
Paul Verhuurbedrijf;;1;;;;1
PBLQ (HEC, ROI, Zenc);;;;;3;3
PBM Pennings Bouwmij;;7;;;;7
PBT Beveiliging en Telecom;;1;;;;1
PCBO Meppel Stichting;;1;;;;1
PE Elektro;;;;;1;1
Peijnenburg Vught;;2;;;;2
Pelican Rouge (vh Autobar Holland, Cafe Bar);;1;;;;1
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;9;;;;9
Pensioen Fonds Metaal en Techniek;;;;;9;9
Perinco Real Estate;;;;;3;3
Peters Bouwgroep;;5;;;;5
Pi2 B.V.;;1;;;;1
Picard Restauratie Atelier;;1;;;;1
Piels Technische Installaties;;1;;;;1
Pieters Bouwtechniek;;1;;;;1
Pingproperties;;4;;;8;8
PKR BOUWCOMBINATIE;;3;;;;3
PKW Architecten- en Bouwadviesbureau;;3;;;;3
Planmaat;;2;;;;2
Plein 10A (Rozee, Millers Restaurant);;1;;;;1
PMB;;5;;;;5
Pontmeyer;;;;;1;1
Poort van Den Haag B.V.;;9;;;;9
PoortCentraal B.V.;;2;;;;2
POORTVLIET BOUWADVIES;;2;;;;2
Portakabin;;;;;2;2
Porto Kali Kantoren;;;;;6;6
Post & Eger Hang- en Sluitwerk;;1;;;;1
PP10 B.V.;;1;;;;1
Pradi;;1;;;;1
Pranger-Rosier Installaties;;6;;;;6
Prent Dordrecht B.V.;;1;;;;1
Prevoo Totaalonderhoud B.V.;;1;;;;1
Prime Advice;;2;;;;2
Privapark Nederland - Service Support;;1;;;;1
PRO Safety Center;;1;;;;1
Productiepunt;;1;;;;1
Project Vote Smart;;2;;;9;9
Prominus Vastgoedbeheer B.V.;;2;;;7;7
Promosana;;;;;4;4
Promteg;;1;;;;1
Pronk Restauratie;;5;;;;5
Propertize B.V.;;;;;7;7
Property Match;;;;;4;4
Provada;;2;;;;2
Provak;;1;;;;1
Proxyz Consultancy;;3;;;;3
Puur Restaurant;;1;;;;1
PVM Eindhoven;;4;;;;4
PWC PriceWaterhouseCoopers;;5;;;;5
PWN Waterleidingbedrijf Noord-Holland;;2;;;;2
Q.Wateradvies;;2;;;;2
QC Light Factory;;2;;;;2
Q-Estate B.V.;;2;;;;2
Q-Park;;6;;;5;6
Quist/Wintermans Architecten;;4;;;;4
QuuB B.V.;;2;;;;2
R.E.C. Real Estate Consulting;;4;;;;4
R2B Inspecties;;2;;;;2
RAAAF;;2;;;;2
Raad van Arbitrage voor de Bouw;;1;;;;1
Raadgevend Technisch Bureau Huisman en van Muijen;;2;;;;2
RACK INSPECS;;;;;1;1
Rademaker Beheer;;;;;7;7
RAI Amsterdam;;2;;;;2
Randstad Bewaking;;6;;;;6
Randstad Group (incl. Tempo Team, P/Flex);;2;;;;2
Rano + Advies en Projectmanagement;;3;;;;3
Rappange & Partners/Folkers& van Buiten;;2;;;;2
RASP-STUC Adviseur;;1;;;;1
RD Bouw;;3;;;;3
Rechtmaat Juridisch Adviesbureau B.V.;;1;;;;1
Redactiepartners Mediagroep;;1;;;;1
Redefine International Den Haag B.V.;;;;;9;9
Rederij 't Smidtje;;1;;;;1
Regel Partners;;1;;;;1
Regin Art;;1;;;;1
Rekaf Holding;;4;;;;4
Renaud Delft Horecabenodigdheden;;;;;1;1
Rene Verleg Fotografie;;1;;;;1
Renpart Vastgoed;;;;;6;6
Rensen Regeltechniek;;1;;;;1
Rent A Plant Almelo;;1;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;2;;;1;2
Restauratie Atelier Oude Delft;;2;;;;2
Rhine Consulting Group (incl. SmartSolutions);;2;;;;2
RICHARTS;;2;;;;2
Ricoh Groep (incl. Nashuatec, NRG);;1;;;;1
RIEKELT SLOT;;;;;2;2
Rijksmuseum Amsterdam;;1;;;;1
Rijksmuseum Voor Volkenkunde;;6;;;;6
Robbers & van den Hoogen;;1;;;;1
ROC Horizon College;;;;;6;6
Roc Vastgoed I C.V.;;;;;4;4
Rochdale Woningstichting;;1;;;;1
Rockview;;1;;;;1
Roofing Service;;5;;;;5
Rooijakkers Olie- en Benzinehandel;;;2;;;2
Roos en Ros Goes B.V. Architektenburo;;2;;;;2
Ropeni (incl. Schlemmer);;1;;;;1
Rosarium Wokrestaurant;;1;;;;1
Roseboom Aannemersbedrijf;;1;;;;1
Roulaux Asbestonderzoek B.V.;;1;;;;1
Rovecom Holding;;;;;2;2
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;8;;;;8
Royal Invest Europe;;;;;4;4
ROYAL TALENS;;;;;2;2
RpG Vastgoed;;;;;2;2
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);;1;;;;1
RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek);;1;;;;1
Ruijters en Thio Architecten;;2;;;;2
Ruimtelijk-Economisch Atelier Tordoir (P.P.);;2;;;;2
RUYGROK B.V. HANDEL- EN EXPLOITATIEMAATSCHAPPIJ;;;;;2;2
'S Zomers;;1;;;;1
Sachwert Rendite-Fonds Holland;;;;;1;1
SaferSpaces;;1;;;;1
Safire;;;;;9;9
Saint-Gobain (incl. Raab Karcher);;2;;;;2
Sajoscha;;3;;;;3
Salland Parket;;1;;;;1
Salon de Roosekrans Chocolaterie Koekhuis;;1;;;;1
Salvage Transport Incident;;2;;;;2
Salverda Bouwbedrijf;;7;;;;7
Satijnplus Architecten;;3;;;;3
Sauter Building Control Nederland;;1;;;;1
Saval;1;;;;;1
SB4 Bureau Voor Historische Tuinen, Parken en Landschappen;;2;;;;2
SBRCURnet Stg Bouwresearch;;1;;;;1
SC Safety Combinatie B.V.;;3;;;;3
SCHAUFELI VASTGOED B.V.;;;;;4;4
Schekman Elektrotechniek;;2;;;;2
Scheldebouw;;2;;;;2
Schilderbedrijf Sikkens;;1;;;;1
Schildersbedrijf Duits-Fleuren;;3;;;;3
Schildersbedrijf van Krimpen;;5;;;;5
Schindler Liften;;7;;;;7
Schiphol Groep (incl. Real Estate);;5;;;8;8
Schokland Landschapsontwerp en Verhaal;;2;;;;2
Schoonmaakbedrijf en Glazenwasserij Teunissen;;1;;;;1
SCHOUTEN & DE JONG PROJECTONTWIKKELING B.V.;;;;;2;2
Schreuder Raadgevend Ingenieursburo;;1;;;;1
Schulte & Lestraden;;2;;;;2
Schuttelaar & Partners;;1;;;;1
SDR Electrotechniek;;3;;;;3
Search Ingenieursbureau, Laboratorium, Opleidingen, Consultancy, Knowledge;;2;;;;2
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;5;;;;5
Seta Fiori;;1;;;;1
SGS;;3;;;;3
Siemens Nederland;;5;;;;5
Sign Force;;1;;;;1
Signet;;1;;;;1
Sijperda Adviesbureau;;1;;;;1
Simmons & Simmons;;2;;;;2
Sinis;;4;;;;4
SKYMASTER C.V.;;;;;7;7
Slangen Staal;;2;;;;2
Smaak Restaurant;;2;;;;2
SMC Security Monitoring Centre;1;;;;;1
Smeba Brandbeveiliging;;1;;;;1
Smederij van Rijn B.V.;;2;;;;2
Smeets Vastgoedservice;;4;;;;4
Smeulders Participaties;;1;;;;1
Smile Licht en Geluid Utrecht;;1;;;;1
Snelvertaler;;1;;;;1
Snijders Grafische Machines;;;;;1;1
Solide Projectadvies & Detachering;;5;;;;5
Solutionlab;;1;;;;1
Space Architecture;;1;;;;1
Spek van der Bouwbedrijf;;7;;;;7
Spekkink Consultancy & Research;;1;;;;1
Spijker en Van Ouwerkerk;;3;;;;3
Sprikk;;3;;;;3
Squizzo Architecten;;3;;;;3
Srlev;;;;;6;6
St. Pensioenfonds Openbaar Vervoer;;;;;4;4
Staples (incl. Advantage, Corporate Express);;1;;;;1
Stationslocaties O.G. C.V.;;;;;5;5
Stavast Bewaar B.V.;;;;;7;7
Stedin (vh Eneco Netbeheer, Mdds);;5;6;;;7
Steegman Groep - Installatie- en Elektrotechniek;;6;;;;6
Steenhuismeurs;;1;;;;1
Steinbuch Consultancy;;2;;;;2
Stek STichting Emissiepreventie Koudetechniek;;3;;;;3
Stena Realty;;;;;5;5
Steuntichting VZZ Vereniging Voor Zoogdierkunde en Zoogdierbescherming;;1;;;;1
Stg Bedrijfspensioenfonds voor de bouwnijverheid;;;;;8;8
Stg CBW;;2;;;;2
Stg Erfgoedlab;;1;;;;1
Stg Haagse Willemsvaart;;1;;;;1
Stg Ruimte voor Onderwijs en Kinderopvang;;2;;;;2
Stg. Het Utrechts Landschap;;;;;1;1
STICHTING BEDRIJFSPENSIOENFONDS VOOR DE LANDBOUW;;;;;5;5
Stichting Be-Ja;;2;;;;2
STICHTING BEVEILIGING INDUSTRIETERREIN MOERDIJK;;;;;1;1
STICHTING BURGERWEESHUIS-ROOMSCH CATHOLIEK JONGENS WEESHUIS;;;;;6;6
Stichting DLO Dienst Landbouwkundig Onderzoek;;;;;6;6
Stichting het Nederlands Vestingmuseum;;1;;;;1
Stichting in Arcadie;;1;;;;1
Stichting ISSO;;2;;;;2
Stichting Monumentenwacht Gelderland;;1;;;;1
Stichting Oude Groninger Kerken;;1;;;;1
Stichting Restauratie Atelier;;2;;;;2
STICHTING SPOORWEG PENSIOENFONDS;;;;;3;3
Stieva Metalen Puien;;1;;;;1
Sting Advies Rond Vastgoed;;1;;;;1
Stöbich;;2;;;;2
Stoel Milieu;;1;;;;1
Stoop Waterbouw;;3;;;;3
Storimans Wijffels van Hoogmoed Architecten;;2;;;;2
Stoverink Interieurbouw;;3;;;;3
Streefkerk Architects & Consultants;;2;;;;2
Stroop Raadgevende Ingenieurs;;2;;;;2
Strootman Landschapsarchitecten;;1;;;;1
StruktonHurks RIVM B.V. i.o.;;7;;;;7
Stud Studentenuitzendbureau;;1;;;;1
Studio D11;;2;;;;2
Studio Ro;;3;;;;3
Studio Seven;;2;;;;2
Studio Wasch;;1;;;;1
Sun Solutions;;1;;;;1
Sunchar Beheer;;2;;;;2
Supair Intermediairs;;2;;;;2
Sweegers en De Bruijn;;2;;;;2
Swisslog;;3;;;;3
Sytec;;2;;;;2
't Schoutenhuis;;;;;4;4
T&G Terrein- en Groenvoorziening;;3;;;;3
Taartenwinkel.nl;;1;;;;1
Tac Technisch Advies Centrum, Brandveiligheid;;1;;;;1
Takkenkamp;;4;;;;4
Tango Properties;;;;;5;5
Tappan Communicatie;;2;;;;2
Tasman Properties;;;;;7;7
Tauw;;4;;;;4
TBI Concessies B.V.;;6;;;;6
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;9;;;;9
TCN SIG Telehousingexploitatie;;;;;6;6
TD NETHERLANDS B.V.;;1;;;;1
Team 4 Architecten;;2;;;;2
Technica Installatie;;1;;;;1
Technion Ingenieurs- en Adviesburo;;1;;;;1
Technip-EPG;;4;;;;4
Technisch Beheer Nederland B.V.;;1;;;;1
Technische Unie;;1;;;;1
Technoconsult;;1;;;;1
Tele2 (incl. Versatel, BBeyond);;2;;;;2
Telecom Service Groep;;1;;;;1
Tensen 2 Wielers Westland;;1;;;;1
Terwindt Eugéne Beeldende Kunst;;3;;;;3
Tes Installatietechniek;;7;;;;7
Tetterode Nederland;;1;;;;1
Theateradvies B.V.;;2;;;;2
THT Elektrotechniek;;5;;;;5
ThyssenKrupp;;5;;;;5
Tijdhof Consulting/Callvoip Telefonie;;1;;;;1
Tijssens Electrotechniek;;2;;;;2
TNO;;4;;;;4
Toes Montage;;4;;;;4
TOMAZZI MANAGEMENT B.V;;1;;;;1
Tomin Groep;;1;;;;1
Top Movers;;;;5;;5
Topbloemen Nederland;;3;;;;3
Total Identity, Total Public;;1;;;;1
Tour de Groot Apeldoorn;;2;;;;2
Tourber Consultancy;;2;;;;2
Traject Adviseurs en Managers B.V.;;2;;;;2
Trane Airconditioning;;2;;;;2
Tresforte Beheer;;;;;3;3
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;2;;;;2
TRIVEST VENRAY B.V.;;1;;;;1
Troostwijk (incl. Expertises, Real State, Taxaties);;1;;;;1
TST Atrium;;;;;3;3
Tuesday Multimedia;;1;;;;1
Tuin van Noord B.V.;;2;;;3;4
Two-O-Four;;1;;;;1
Tyco Integrated Fire & Security (incl. ADT Fire & Security);;1;;;;1
UBP;;4;;;;4
UBS Real Estate;;;;;6;6
UComp B.V.;;3;;;;3
Uitzendbureau 65+;;3;;;;3
ULC Technisch Beheer;;2;;;;2
UNIBAIL-RODAMCO NEDERLAND WINKELS B.V.;;;;;2;2
Unica (ICT Network, Technisch beheer, Installatietechniek, Automatic Sprinkler);;7;;;;7
Unique Events;;1;;;;1
United Fish Auctions;;;;;2;2
Univé;;;;;6;6
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);;1;;;;1
Uticon Ingenieursbureau;;4;;;;4
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;1;;1;6;6
UTS van der Geest Verhuizingen B.V.;;3;;;;3
Vabeog Amersfoort;;;;;4;4
Vako;;2;;;;2
Valprevent;;5;;;;5
Valstar Simonis;;4;;;;4
van Apeldoorn & Faber Hout Amsterdam B.V.;;1;;;;1
Van Apeldoorn Schildersbedrijf;;1;;;;1
Van Asbeck Bouw & Restauratie Consultants;;5;;;;5
van Beukering & Borsboom;;1;;;;1
Van Dam Technisch Beheer;;2;;;;2
Van De Geer's Wasverorging;;1;;;;1
Van De Haar Infra, Buitenruimte, Groen, Services;;2;;;;2
Van de Laar Advies- en Ingenieursbureau;;1;;;;1
Van den Berg Groep Adviseurs, Architecten;;1;;;;1
Van den Bijtel Ecologisch Onderzoek;;2;;;;2
Van den Brul Restauratie;;1;;;;1
Van den Hoever Installatiebedrijf;1;;;;;1
VAN DER BEL B.V. SLOOPWERKEN;;3;;;;3
Van der Heide Bliksembeveiliging, Opleiding & Inspectie;;2;;;;2
Van der Kroft's Party Rental;;1;;;;1
VAN DER MOLEN JURIDISCH BOUWADVIES;;1;;;;1
Van der Plas Adviesburo;;4;;;;4
Van der Sande VanOpstal Bedrijfsmakelaars;;1;;;;1
Van der Veekens;;;;;2;2
Van der Veen;;;;;1;1
Van der Velde 't Veentje Verhuizingen;;1;;;;1
Van der Vlis Bouwconsult B.V.;;4;;;;4
Van der Vorm Vastgoed;;2;;;6;6
Van Doorn Soest B.V.;;1;;;;1
Van Dorp Installaties, Service Equipe, Prolux;;7;;;;7
Van Eijk ARS Asbestos Removal Services;;2;;;;2
Van Galen Service & Onderhoud Utrecht B.V.;;3;;;;3
Van Gansewinkel;1;;;;;1
Van Ginkel Groep Hoveniersbedrijf (incl. Pius Floris);;2;;;;2
Van Gogh Museum Enterprises;;2;;;;2
van Heijkop Onderhoud & Timmerwerk;;2;;;;2
Van Ijken Metaalrestauratie;;1;;;;1
Van Keulen Interieurbouw (incl. Magista);;2;;;;2
Van Kooten Loodgieters- en Installatiebedrijf;;4;;;;4
Van Kralingen (Hizkia);;5;;1;4;5
Van Laar Bouw- en Aannemingsbedrijf;;4;;;;4
Van Lierop Impregneerbedrijven;;1;;;;1
Van Lierop Zuid;;1;;;;1
Van Loen Groentechniek;;1;;;;1
Van Loenen Milieu;;1;;;;1
Van Luyt Taxateurs;;1;;;;1
Van Norel Bouwgroep;;2;;;;2
Van Randwijk Paperflow Solutions;;1;;;;1
Van Schagen Architekten;;1;;;;1
Van Wijk Onroerend Goed;;;;;3;3
Van Wijnen;;7;;;;7
Van Wijnen Dordrecht;;7;;;;7
Van Zoelen Aannemersbedrijf;;6;;;;6
Van Zwanenburg Handelmaatschappij, Projekten;;;;;1;1
VanderHelm Milieubeheer B.V.;;1;;;;1
Vandersnoek Verantwoord Vastgoedonderhoud ;;4;;;;4
Vasloc Beheer;;;;;7;7
Vast Janszen;;3;;;;3
VASTGOED FUNDAMENT FONDS N.V.;;;;;4;4
VASTGOED UTRECHTSEWEG 290 ARNHEM B.V.;;;;;2;2
Vastgoedfonds Hanzevast Holland 58;;3;;;3;4
VASTGOEDMAATSCHAP MPC HOLLAND 27 STICHTING BEWAARDER;;;;;4;4
Vastgoedmaatschap Zuidflank/Noordwal;;;;;6;6
VASTPRODUCT C.V.;;;;;6;6
VB Groep;;;;;6;6
VB&T Vastgoedmanagement;;4;;;;4
VBA Noord B.V.;;1;;;;1
VCK Groep, Travel & Logistics;;1;;;;1
Vega Projects International (Brain of buildings);;3;;;;3
Veldman Rietbroek Smit Architektenburo;;2;;;;2
Velopa Citystyle;;1;;;;1
Venema Gevelrenovatie;;3;;;;3
Veolia Gebouwenbeheer;;7;;;;7
Verf Advies Centrum;;1;;;;1
Verhoeven Elektrotechniek;;;;;2;2
Verkleij Hovenier Boomverzorgingsbedrijf;;2;;;;2
Verkoelen Weert B.V. Dakdekkersbedrijf;;4;;;;4
Vermaat Leisure, Horeca, Service;;1;;;;1
Vermeulen Benthuizen Aannemingsbedrijf;;1;;;;1
Vermeulen Sloop- en Milieutechnieken;;5;;;;5
Verschoor Groep;;6;;;;6
Verschuren Interieurbouw;;1;;;;1
