lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;vve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
101668879;VGO;Nee;Brandwacht-Peters;6;;Ingeschreven;07-06-2012;de Linde 8 ;6941ZL;Didam;1955010000035197;Brandwacht-Peters;;;;;;;;;;;;;;;'';;;1955;Montferland;163832341;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/65054f62-a15f-4f5b-9cbb-1f798755b535
101675483;KDV;Nee;KDV De 'Dassenburcht' Ane/Marslanden e.o.;46;Ja;Ingeschreven;01-01-2010;De Steeghe 9 ;7784CG;Ane;0160010000024359;KDV/BSO De 'Dassenburcht' B.V.;82856540;000002245507;Besloten Vennootschap;2016-01-25;;De Steeghe 9 ;7784CG;Ane;;De Steeghe 9 ;7784CG;Ane;;M. Kwant;'0523-305305';info@kinderdagverblijfdedassenburcht.nl;http://www.kinderdagverblijfdedassenburcht.nl;160;Hardenberg;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e811ebe7-d8dd-49b6-b9e6-c96d65c3c053
101679257;BSO;Nee;BSO De Terp;50;;Ingeschreven;21-07-2008;Dorpsstraat 6 ;2912CB;Nieuwerkerk a/d IJssel;1892010000671796;KindeRdam Kinderopvang B.V.;24384799;000041826876;BV;2015-12-10;;Postbus 2150;3000CD;Rotterdam;;;;;;W. Peperkamp;'010-4430033';info@kinderdam.nl;;1892;Zuidplas;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/fecfdc4b-337b-4c24-8f8e-d8195bc355a6
101691695;KDV;Nee;Buutplaats;30;Ja;Ingeschreven;21-08-2012;Stortenbekerstraat 264 ;2525SR;'s-Gravenhage;0518010000404348;stichting Kinderspeelzaal Den Haag;61449083;000032570732;Stichting;2015-12-22;;Postbus 649;2600AP;DELFT;;Postbus 649;2600AP;DELFT;;K. van der Schoor;'015-2511463';info@kinderspeelzaal.nl;http://www.kinderspeelzaal.nl;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/feb844cd-eda2-4eae-a515-14606bcfaf0a
101697028;KDV;Nee;Peuteropvang Hubertus;16;Ja;Ingeschreven;01-11-2021;Jagerslaan 55 ;5042LJ;Tilburg;0855010000029527;Stichting Humankind;41208044;;Stichting;2016-01-14;;Postbus 591;6400AN;Heerlen;;Helvoirtseweg 9 ;5261CA;Vught;;Saskia Brock;'0613130198';saskiabrock@humankind.nl;http://www.humankind.nl;855;Tilburg;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b6adc2e8-4ec2-406c-99ac-6cc3eedc0925
101701081;VGO;Nee;Burg;6;;Ingeschreven;02-09-2010;Vijzelstraat 70 ;1781TT;Den Helder;0400010000005671;Burg;;;;;;;;;;;;;;;'';;;400;Den Helder;100219937;146575891;305142562;793918133;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5b078182-1b2c-43ef-a916-a37a1aead5e3
101702644;VGO;Nee;Olijslagers-Ouadah;4;;Ingeschreven;08-12-2010;Zonneveldweg 11 ;2242XV;Wassenaar;0629010000006657;Olijslagers-Ouadah;;;;;;;;;;;;;;;'';;;629;Wassenaar;100223278;137403112;266611904;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f0f7135e-80bc-4bcb-b882-63e62f3061f2
101710215;VGO;Nee;van der Laan-Schomaker;4;;Ingeschreven;17-11-2010;Sluiskade 135 ;9581JR;Musselkanaal;0037010000362845;Schomaker;;;;;;;;;;;;;;;'';;;37;Stadskanaal;240676609;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f70bc783-16e9-4300-a278-17aa5e575b77
101721432;VGO;Nee;Versteeg- van der Perk;6;;Ingeschreven;28-09-2010;Grotestraat 9 ;4264RH;Veen;0738010000001773;Versteeg- van der Perk;;;;;;;;;;;;;;;'';;;1959;Altena;169981447;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e55ba59b-62dd-41dd-a6d9-09beb96f9ed2
101722345;GOB;Nee;Gastouderbureau Zonnekind;;;Ingeschreven;14-03-2012;Irenestraat 8 ;4941JN;Raamsdonksveer;0779010000004826;Gastouderbureau Zonnekind;54347041;;VOF;2015-11-25;;Irenestraat 8 ;4941JN;Raamsdonksveer;;Irenestraat 8 ;4941JN;Raamsdonksveer;;L. van der Pluijm;'06-41318668';info@gastouderbureauzonnekind.nl;http://www.gastouderbureauzonnekind.nl;779;Geertruidenberg;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f96d52b4-3cf2-4b7f-aae7-1f41660d5f2d
101737099;VGO;Nee;Godet;6;;Ingeschreven;11-08-2010;Fruinpad 2 ;9602VG;Hoogezand;0018010000003268;Godet;;;;;;;;;;;;;;;'';;;1952;Midden-Groningen;135032337;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d6032527-4eba-4227-9fe9-241216115299
101742605;KDV;Nee;Kinderdagverblijf Tuintje Regenboog;55;Nee;Ingeschreven;01-01-2010;Pieter Calandlaan 839 ;1069SC;Amsterdam;0363010002005100;Tuintje Regenboog B.V.;75266350;000009034021;Besloten Vennootschap;2016-03-30;;Pieter Calandlaan 839 ;1069SC;Amsterdam;;Pieter Calandlaan 839 ;1069SC;Amsterdam;;;'06-29116330 / 020-3375071';tuintje@regenbooggroep.nl;http://www.regenbooggroep.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/38f0ecc7-8c02-4935-8c78-eee501d63c68
101748693;VGO;Nee;Spek Nijenhuis;5;;Ingeschreven;09-06-2020;Hoogmade 40 ;4761LJ;Zevenbergen;1709010000001549;Spek Nijenhuis;;;;;;;;;;;;;;;'';;;1709;Moerdijk;132893277;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/eae1c015-ee8b-4326-a676-c9810deb0bcd
101763153;VGO;Nee;Dongen;6;;Ingeschreven;19-03-2013;Langenboomseweg 28 ;5411AW;Zeeland;1685010000002345;Dongen;;;;;;;;;;;;;;;'';;;1991;Maashorst;512128121;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8566579d-9efb-4e9e-a2cb-f1a7ffd43c45
101763359;VGO;Nee;Voogd-de With;4;;Ingeschreven;13-12-2010;Schaikseweg 32a ;4143HG;Leerdam;0545010000356674;Voogd-de With;;;;;;;;;;;;;;;'';;;1961;Vijfheerenlanden;217063408;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8d91ac63-6ad2-4e0e-ae39-bdb162b7a83e
101767584;VGO;Nee;Mars;6;;Ingeschreven;22-01-2021;Geermanstraat 78 ;7678BL;Geesteren;0183010000142664;Mars;;;;;;;;;;;;;;;'';;;183;Tubbergen;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d9a1e76f-d0ae-4130-a36b-742d0df6e220
101796055;KDV;Nee;Prokino Nijntje;16;Ja;Ingeschreven;01-05-2013;Brouwersdijk 111 ;3314GJ;Dordrecht;0505010000009265;Stichting Prokino Kinderopvang;34162208;000022669728;Stichting;2016-01-12;;Postbus 10248;1001EE;Amsterdam;;Burgemeester de Raadtsingel 93A ;3311JG;Dordrecht;;N. van Doorn;'+31 0786485555';info-Dordrecht@prokino.nl;http://www.prokino.nl;505;Dordrecht;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/46183ff5-2568-4273-ad53-146c78edb2f9
101817101;VGO;Nee;Eeten van Hout;6;;Ingeschreven;08-09-2010;Lopense 15 ;5421AA;Gemert;1652010000005406;Eeten van Hout;;;;;;;;;;;;;;;'';;;1652;Gemert-Bakel;985438046;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/803b4451-718f-467a-a731-6bcb9f3b7bf1
101836260;BSO;Nee;De Jutter;8;;Ingeschreven;01-11-2012;Lutinelaan 3 ;8899BD;Vlieland;0096010000387278;Stichting Kinderopvang Friesland;41002574;000041003347;Stichting;2016-03-10;;Postbus 134;8800AC;Franeker;;;;;;M. Lichtenberg;'06 10617431';kinderopvang@dejutter.nl;http://www.kinderopvangfriesland.nl/;96;Vlieland;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/129a38e5-845c-4ffa-b994-b9019f7936ee
101842764;VGO;Nee;Janssen-Warmerdam;6;;Ingeschreven;01-11-2010;Fazantlaan 2 ;2211KV;Noordwijkerhout;0576010000003110;Janssen-Warmerdam;;;;;;;;;;;;;;;'';;;575;Noordwijk;167213076;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ea22f528-815b-434b-9dc9-dc70709bd171
101846824;VGO;Nee;Raats;6;;Ingeschreven;26-03-2014;Heulberg 46 ;4708HL;Roosendaal;1674010000002545;Raats;;;;;;;;;;;;;;mw. Raats;'06-40875026';michelleraats_92@hotmail.com;;1674;Roosendaal;206278421;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a482cdd3-a578-459e-a8c7-2863575715b7
101850724;VGO;Nee;Waninge-de Kuijper;5;;Ingeschreven;01-11-2011;De Bovenkruier 3 ;7707DN;Balkbrug;0160010000005865;Waninge-de Kuijper;;;;;;;;;;;;;;;'';;;160;Hardenberg;139317521;191088055;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5f3c4437-dc39-437a-8aa9-db049fd3a40b
101854092;VGO;Nee;Kuijs;6;;Ingeschreven;26-08-2010;Roermondseweg 182 ;5935AE;Steyl;0983010000077295;Kuijs;;;;;;;;;;;;;;;'';;;983;Venlo;385448636;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0d31a5c3-285c-4ea5-add2-d2286fec1c2d
101863123;VGO;Nee;Mehmedagic;6;;Ingeschreven;23-09-2010;Schutterweg 27 ;1033XV;Amsterdam;0363010000808422;Mehmedagic;;;;;;;;;;;;;;;'';;;363;Amsterdam;305142562;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f670f32f-8df5-4a56-84d0-f23b9e2f1475
101880273;KDV;Nee;Prokino Kinderdagverblijf Nooterhof;97;Nee;Ingeschreven;18-02-2016;Goertjesweg 5 ;8013PA;Zwolle;0193010000004911;Stichting Prokino Kinderopvang;34162208;000041196317;Stichting;2016-01-12;;Postbus 10248;1001EE;Amsterdam;;Klooienberglaan 561 ;8031GC;Zwolle;;C. Hakkesteegt;'0204121200';midden-noord@prokino.nl;http://www.prokino.nl;193;Zwolle;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e244d9d5-48f6-4e9b-ab32-e8cc1569a6b1
101884758;KDV;Nee;Simba Zilvermeeuwstraat;58;Ja;Ingeschreven;01-01-2010;Zilvermeeuwstraat 1 ;2681TT;Monster;1783010000044240;Kinderopvang Simba B.V.;27242273;;BV;2015-11-24;;Zilvermeeuwstraat 1 ;2681TT;Monster;;Zilvermeeuwstraat 1 ;2681TT;Monster;;Sandra Lansink;'0174-243104';info@kdvsimba.nl;http://www.kdvsimba.nl;1783;Westland;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/33d1a149-cae7-41ee-a1b6-b8bd8c37059c
101895082;BSO;Nee;Partou BSO Willem Alexanderplantsoen 2a (IKC Stella Nova);90;;Ingeschreven;16-10-2015;Willem-Alexanderplnts 2A ;2713VM;Zoetermeer;0637010000304251;Partou B.V.;30225440;;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;VIANEN UT;;;;;;Secretariaat;'088-2357550';regiosecretariaat@partou.nl;http://www.partou.nl;637;Zoetermeer;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f906e448-e7c7-48ab-a150-c002501c6b84
101903157;VGO;Nee;Delden Phelipa;6;;Ingeschreven;18-10-2010;Nieuwenhoornstraat 142 ;3082VM;Rotterdam;0599010000407901;Delden Phelipa;;;;;;;;;;;;;;;'';;;599;Rotterdam;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e7b6eb43-4fb4-4ad9-b13e-8a4f56b81f79
101905166;VGO;Nee;Zandbergen-Mulder;2;;Ingeschreven;11-05-2010;de Savornin Lohmanhof 4 ;8262WC;Kampen;0166010000016117;Zandbergen-Mulder;;;;;;;;;;;;;;;'';;;166;Kampen;219129873;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/353a29b6-b3fc-4bad-adea-d4e90a7f4549
101905221;VGO;Nee;Bouchoms;4;;Ingeschreven;17-10-2012;Schoolstraat 13 ;6255AK;Noorbeek;0936010000005189;Bouchoms;;;;;;;;;;;;;;;'';;;1903;Eijsden-Margraten;121575597;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b36529fd-adc0-4c92-a173-c6c11ec41788
101911166;VGO;Nee;Snijders;6;;Ingeschreven;02-09-2019;Putterlaan 7 ;3722WE;Bilthoven;0310010000703267;Snijders;;;;;;;;;;;;;;;'';;;310;De Bilt;474021890;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d281ab83-7edb-4cf8-9bd9-f8ff735a2581
101955054;BSO;Nee;Partou BSO Kerstrooslaan 7;53;;Ingeschreven;01-07-2013;Kerstrooslaan 7 ;5644EA;Eindhoven;0772010000706525;Partou B.V.;30225440;000029044014;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;VIANEN UT;;;;;;Marieke Kanters;'088-2357550';info@partou.nl;http://www.partou.nl;772;Eindhoven;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f1322304-5e63-4db0-9d51-d7b190a7136d
101961066;BSO;Nee;BSO Oosterhuizen;20;;Ingeschreven;29-10-2007;Het Oude Veen 21 ;7364BZ;Lieren;0200010000474389;Smallsteps B.V.;60901934;000028098803;Besloten Vennootschap;2016-01-27;;Postbus 396;4130EJ;Vianen;;Postbus 586;7550AN;Hengelo;;regiosecretariaat;'088-2357550';regiosecretariaat@smallsteps.nl;http://www.smallsteps.nl;200;Apeldoorn;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a1e7effc-b785-416c-a61a-301c9bc0721b
101983736;VGO;Nee;Dogger-Berkhoff;6;;Ingeschreven;10-12-2010;Hammerflier 1 ;7683SK;Den Ham;1700010000041340;Dogger-Berkhoff;;;;;;;;;;;;;;;'';;;1700;Twenterand;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/61ca065a-d2f3-4be7-adbc-4e64a758d7cf
101985265;BSO;Nee;Kinderdagverblijf Kiekeboe Het Speelhuis;33;;Ingeschreven;01-01-2010;Berkstraat 75 ;7572CA;Oldenzaal;0173010000152941;Stichting Humankind;41208044;;Stichting;2016-01-14;;Postbus 591;6400AN;Heerlen;;;;;;mw. Y. Olde Scholtenhuis;'0541-515399';speelkasteel@kinderdagverblijfkiekeboe.nl;http://www.kinderdagverblijfkiekeboe.nl;173;Oldenzaal;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/92026812-5304-4da9-a88e-0c034f4ed7da
101989362;KDV;Nee;Kinderhoeve Escharen;40;Nee;Ingeschreven;01-01-2010;Graafschedijk 57 ;5364PR;Escharen;0786010000002119;Kinderhoeve Escharen V.O.F.;17128473;;Vennootschap Onder Firma;2015-12-28;;Graafschedijk 57 ;5364PR;Escharen;;Graafschedijk 57 ;5364PR;Escharen;;G.W.J. Janssen-Van Eeuwijk;'0486-454283';info@kinderhoeve.nl;http://www.kinderhoeve.nl;1982;Land van Cuijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/dfbbf17c-5994-40bb-aa5b-ddca30ba3a30
101996299;VGO;Nee;Bochove e/v Dorrepaal;6;;Ingeschreven;09-05-2013;Middenmolensingel 6 ;2912PK;Nieuwerkerk a/d IJssel;1892010000667184;Bochove e/v Dorrepaal;;;;;;;;;;;;;;;'';;;1892;Zuidplas;160012351;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8c430d71-0552-40a2-9ed4-3315ff68702e
102002721;VGO;Nee;Kadijk-Wesseling;4;;Ingeschreven;01-08-2015;Pluit 4 ;9801MP;Zuidhorn;0056010000027735;Kadijk-Wesseling;;;;;;;;;;;;;;;'';;;1969;Westerkwartier;144498224;435819768;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b3966313-0515-4a8b-870b-7379b600b6c9
102021892;VGO;Nee;Huibers-Leenders;6;;Ingeschreven;08-08-2011;Parklaan 102 ;5953BV;Reuver;0889010000262396;Leenders;;;;;;;;;;;;;;;'';;;889;Beesel;205480470;862582209;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a8182d1e-e5ef-4827-9517-4f0fe171d32d
102031332;KDV;Nee;Reitdiephaven;23;Nee;Ingeschreven;01-03-2012;Reitdiephaven 153 ;9746RC;Groningen;0014010022186677;Kids First Kinderopvang NL B.V.;02071716;000024515760;BV;2016-01-12;;Postbus 1030;3640BA;Mijdrecht;;Friesestraatweg 215b ;9743AD;Groningen;;Facilitair;'088-0350400';facilitair@kidsfirst.nl;http://www.kidsfirst.nl;14;Groningen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2c1d4ecb-0548-4dc9-9923-d59eb6514f88
102032294;BSO;Nee;Kinderdagverblijf Ziezo B.V.;40;;Ingeschreven;28-06-2013;Bernhardstraat 2a ;5761BJ;Bakel;1652010000000782;Kinderdagverblijf Ziezo B.V.;72034548;000001935909;Besloten Vennootschap;2018-12-11;;Sluisstraat 30 ;5712BG;Someren;;Sluisstraat 30 ;5712BG;Someren;;Fanneke van der Schouw-van Lieshout;'0646367057';fanneke.ziezo@gmail.com;;1652;Gemert-Bakel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/511905d7-01c8-4ba0-b2ca-a89f6121cd0a
102034175;KDV;Nee;Kinderopvang Roomtuintjes;110;Ja;Ingeschreven;01-01-2010;Zeeburgerdijk 23 ;1093SK;Amsterdam;0363010000878190;Smallsteps B.V.;60901934;000020620438;Besloten Vennootschap;2016-01-27;;Postbus 396;4130EJ;Vianen;;Postbus 396;4130EJ;Vianen;;Regiosecretariaat;'+31882357550';regiosecretariaat@partou.nl;http://www.smallsteps.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2cee2175-46d7-4bd2-a094-82a51ec583a7
102053182;VGO;Nee;Minnema;6;;Ingeschreven;27-11-2012;Houtzagerijweg 18 ;8356HA;Blokzijl;1708010000000609;Minnema;;;;;;;;;;;;;;;'';;;1708;Steenwijkerland;993587938;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/92323acd-33f4-4f31-ad77-29f94a7ad809
102054125;VGO;Nee;Bussink Wenneker;6;;Ingeschreven;23-03-2017;Hof van Rome 237 ;7007KP;Doetinchem;0222010000645464;Bussink Wenneker;;;;;;;;;;;;;;;'';;;222;Doetinchem;210758855;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/00e487f9-0873-404d-b915-dc702a223a96
102092382;VGO;Nee;Jansen;6;;Ingeschreven;03-10-2019;Van Schuppenstraat 6 ;5253DD;Nieuwkuijk;0797010000055518;Jansen;;;;;;;;;;;;;;;'0651328174';mariette_jansen_91@hotmail.com;;797;Heusden;514367635;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/96fa3c5e-466c-4ba9-ae7e-08999db954f7
102092461;BSO;Nee;De Boshut;24;;Ingeschreven;01-11-2019;van Starkenborghkan Zz 2a ;9801TA;Zuidhorn;0056010000014995;De Boshut B.V.;78474183;000039726800;Besloten Vennootschap;2018-06-07;;Agenastraat 14 ;9801WB;Zuidhorn;;;;;;A.G. Mooibroek-Kloosterman;'0594 442176';alies@deboshut.com;http://www.deboshut.com;1969;Westerkwartier;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f24bba95-fe17-4415-a4d9-731e186806a2
102092540;VGO;Nee;Doorn van der Heijden;4;;Ingeschreven;29-10-2020;Jekschotstraat 12A ;5465PG;Veghel;0860010010904848;Doorn van der Heijden;;;;;;;;;;;;;;;'';;;1948;Meierijstad;921029494;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/adefb3fd-7f62-46e0-8bc4-1c3f95502620
102093374;VGO;Nee;Knijp-Kuperus;6;;Ingeschreven;16-02-2011;Gudsekop 117 ;8604CZ;Sneek;0091010000022383;Knijp-Kuperus;;;;;;;;;;;;;;;'';;;1900;Súdwest-Fryslân;170370471;171165937;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5eaff12a-50b6-4224-af6e-8ddede9d67bd
102098050;VGO;Nee;Odijk Duivesteijn;6;;Ingeschreven;01-01-2022;Appelgaard 2 ;3264PA;Nieuw-Beijerland;0588010001224225;Odijk Duivesteijn;;;;;;;;;;;;;;;'';;;1963;Hoeksche Waard;212533022;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3ee00f13-6693-4f99-88cc-c8f32bbe4543
102105315;KDV;Nee;De Vlinderboom bewuste kinderopvang;26;Nee;Ingeschreven;20-12-2017;Roemer Visscherlaan 7 ;4707BX;Roosendaal;1674010000048203;Dijk;69665419;000038002981;Eenmanszaak;2017-10-18;;;;;;Roemer Visscherlaan 7 ;4707BX;Roosendaal;;Patricia van Dijk;'+31 0628167125';info@devlinderboomkinderopvang.nl;http://www.devlinderboomkinderopvang.nl;1674;Roosendaal;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e7cf9dec-eca3-48be-81e4-a8ebf0dd1cf7
102106630;VGO;Nee;Koppenhagen van Munster;6;;Ingeschreven;01-04-2020;Bodegravenplantsoen 4 ;6843ED;Arnhem;0202010000300606;Koppenhagen van Munster;;;;;;;;;;;;;;;'';;;202;Arnhem;283816442;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4b89394e-6bb7-4fc0-9faa-e9465edab3a7
102111170;KDV;Nee;De Kameleon;13;Ja;Ingeschreven;11-09-2012;Ketelstraat 101 ;2516VN;'s-Gravenhage;0518010000754649;Stichting Jongleren;69092222;000022149724;Stichting;2018-01-01;;Postbus 43197;2504AD;'s-Gravenhage;;Postbus 43197;2504AD;'S-GRAVENHAGE;;H. van der Zanden;'070-2052390';h.vanderzanden@jonglerendenhaag.nl;http://www.jonglerendenhaag.nl;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d6b0fcc7-812c-46cc-bf4a-06ca2c1a118d
102128893;KDV;Nee;kinderopvang Kiki Nous B.V.;102;Nee;Ingeschreven;21-03-2014;Zwitserlandstraat 6 ;1363BE;Almere;0034010000086674;Kiki Nous BSO BV;55013910;000024716847;BV;2016-03-24;;Zwitserlandstraat 6 ;1363BE;Almere;;;;;;Linda Sirach;'0640374616';info@kikinous.nl;;34;Almere;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/9aa4cfc3-adee-4532-9223-05b0d4f029eb
102134194;VGO;Nee;Hulleman-Kaspers;6;;Ingeschreven;16-11-2010;Wildforster 13 ;6713KA;Ede;0228010000025728;Hulleman-Kaspers;;;;;;;;;;;;;;;'';;;228;Ede;955688899;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/34502e79-8561-4431-a24e-d089ba4a81ad
102140728;KDV;Nee;Spring, De Tovertuin;39;Nee;Ingeschreven;29-08-2011;Buitenlust 13 ;5803AZ;Venray;0984010001115614;Stichting Spring Kinderopvang;41062125;;Stichting;2016-02-08;;Postbus 116;5830AC;Boxmeer;;Postbus 116;5830AC;BOXMEER;;Manager Kindcentrum;'088-2088200';register@spring-kinderopvang.nl;http://www.spring-kinderopvang.nl;984;Venray;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/035c56d1-aed0-4f62-ab82-c3a592580ee0
102153218;KDV;Nee;Partou KDV Ariaweg 115 (VVE Het Scala);28;Ja;Ingeschreven;01-01-2013;Ariaweg 115 ;3816HJ;Amersfoort;0307010000447384;Partou B.V.;30225440;000029045657;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;VIANEN UT;;;;;;secretariaat;'088-2357550';info@partou.nl;http://www.partou.nl;307;Amersfoort;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0957ccad-0b36-49e2-af0a-4032494a009d
102156682;VGO;Nee;Heemskerk- Kemp;6;;Ingeschreven;31-08-2010;Willeskop 25 ;3417MA;Montfoort;0335010000329349;Heemskerk- Kemp;;;;;;;;;;;;;;;'';;;335;Montfoort;138358242;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/68c5a2d1-1730-42f8-b6f1-c4e64b802012
102171166;VGO;Nee;Stienstra Riedstra;4;;Ingeschreven;27-08-2018;P.B. Winsemiusstrjitte 34 ;9047JL;Minnertsga;0063010000004341;Stienstra Riedstra;;;;;;;;;;;;;;;'';;;1949;Waadhoeke;818211118;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b5eff998-126d-4b04-b772-0adc75326b41
102176127;VGO;Nee;Vonk Noordegraaf;6;;Ingeschreven;01-07-2015;Benedenkerkseweg 116 ;2821LG;Stolwijk;0623010001979044;Vonk Noordegraaf;;;;;;;;;;;;;;J.J. Dieren-Vonk Noordegraaf;'0622507489';diere079@planet.nl;;1931;Krimpenerwaard;836058112;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5b233cf1-3e6b-490e-ac63-41a51cee2dd6
