Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Bison Haarlem B.V.;;;1;;;;;1
Bistro 2.53;;;;;;;1;1
Bistro De Eeterij B.V.;;;1;;;;1;1
Bistro De Zoete Inval V.O.F.;;;;;;;1;1
Bistro Noord B.V.;;;;;;;1;1
Bistro Pampus;;;1;;;;1;1
Bistro Petite Ruelle;;;1;;;;;1
Bistro 't Kannetje B.V.;;;;;;;1;1
Bistro Tante Pietje;;;;;;;1;1
Bites & Stories;;;1;;;;;1
Bizzdesign Academy B.V.;;;;;3;;;3
Blankestijn & Partners B.V.;;;;;1;;;1
Bleekemolens Race Planet;;;1;;;;;1
Blender B.V.;;;2;;;;;2
Blij Lunch & Borrelroom;;;1;;;;;1
Blik op Ethiek;;;1;;;;;1
Blits Group;;;;;1;;;1
Blixem;;;;;;;1;1
Bloc B.V.;;;;;1;;;1
BLOEM;;;;;;;1;1
bloem & styling aan de zeven alleetjes;;;1;;;;;1
Bloembinderij Calendula;;;1;;;;;1
Bloembinderij Cees Van Eijck;;;1;;;;;1
Bloembinderij De Mare;;;1;;;;;1
Bloembinderij Geschikt;;;1;;;;;1
Bloembinderij Johnflora;;;1;;;;;1
Bloembinderij Myosotis;;;1;;;;;1
Bloemdesign Rotterdam;;;1;;;;;1
Bloemen & Emoties;;;1;;;;;1
Bloemenhuis D.P. van Wageningen;;;1;;;;;1
Bloemenhuis 'De Narcis';;;2;;;;;2
Bloemenhuis Klimop;;;1;;;;;1
Bloemenhuis 'Meindert';;;1;;;;;1
Bloemenkrans;;;1;;;;;1
Bloemenmagazijn 'De Eeuwige Lente' B.V.;;;1;;;;;1
Bloemenmagazijn Johan;;;1;;;;;1
BloemenzaakZuid;;;1;;;;;1
Bloemisterij Bloesem;;;1;;;;;1
Bloemsierkunst Anggrek;;;1;;;;;1
Bloemsierkunst 'Het groene Huys';;;1;;;;;1
Bloemsierkunst J. Bluijs;;;1;;;;;1
Bloemstylist Hans Zijlstra;;;1;;;;;1
Blokvoort Advocatenkantoor B.V.;;;;;1;;;1
BlomBerg Society B.V.;;;1;;1;;;1
Blomke Fan Romke;;;1;;;;;1
BLOSSOM bloemisterij;;;1;;;;;1
Blue Basket;;;;;1;;;1
Blue Boat Company;;;1;;;;1;1
Blue by MANNA;;;1;;;;;1
Blue Collar Hotel B.V.;;;;;;;1;1
Blue Luna B.V.;;;1;;;;;1
Blue Sakura B.V.;;;;;;;1;1
BlueFields;;;;;1;;;1
blueriq;;;;;1;;;1
Bluesail;;;1;;;;;1
Bluevents B.V.;;;1;;;;;1
BMC Advies B.V.;;;2;;1;;;2
BMC Implementatie;;;1;;1;;;1
Boardroom@Crisis B.V.;;;;;1;;;1
Boat Company;;;;;;;1;1
Bob Looman B.V.;;;;;1;;;1
Boca Kaarsen B.V.;;;1;;;;;1
Bodhi Tree B.V.;;;;;;;1;1
Bodil Producties;;;1;;;;;1
Body & Mind Sports;;;1;;;;;1
BodyMind Development;;;;;1;;;1
Boek en kantoorvakhandel Reterink;;;1;;;;;1
Boek- en Kantoorvakhandel Schipperheijn;;;1;;;;;1
Boek en Service;;;;;1;;;1
Boeketcadeau.nl;;;1;;;;1;1
Boekhandel Van der Velde B.V.;;;1;;;;;1
Boekhandel Van Stockum Belinfante & Coebergh;;;;;1;;;1
Boekhandel Waanders B.V.;;;;;;;1;1
Boels Verhuur Lelystad;;;;;;;1;1
Boerderij Camping 'Bouwlust';;;1;;;;;1
Boerderij de Kat in de Wilg;;;;;;;1;1
Boerderij Missieklooster G.S. Migchels;;;1;;;;;1
Boerenbondsmuseum;;;1;;;;;1
Boerke Verschuren;;;;;;;1;1
Boertien en Partners;;;;;2;;;2
Boertien Vergouwen Overduin B.V.;;;;;2;;;2
Bohms Beheer;;;;;;;1;1
Bohn Stafleu Van Loghum;;;;;1;;;1
Boin Bedrijfstrainingen;;;;;2;;;2
Bojo B.V.;;;;;1;;1;1
Bokaal B.V.;;;1;;;;1;1
Bokstijn Feestartikelen;;;1;;;;;1
Bol.Com bv;;;1;;;;;1
Bolletje Winkel & Koffieschenkerij Anno 1867;;;;;1;;;1
Bolten Training en Advies;;;;;1;;;1
Bon Bon Partyservice B.V.;;;1;;;;;1
Bon Vivant B.V.;;;1;;;;;1
Bonbon Atelier A3;;;1;;;;;1
Bonbonnerie Borrel;;;1;;;;;1
Bongo Belevenisbon;;;1;;;;;1
Bonhof*bloemen*maarssen V.O.F.;;;1;;;;;1
Bonnie Beer B.V.;;;;;;;1;1
Boodschappendienst Amsterdam B.V.;;;1;;;;;1
Bookx B.V.;;;1;;;;;1
Boom en bloem;;;1;;;;;1
Boom uitgevers Amsterdam B.V.;;;1;;;;;1
Boom uitgevers Den Haag;;;1;;;;;1
Boomsma Distilleerderij/Wijnkoperij B.V.;;;1;;;;;1
Boost Events;;;2;;;;;2
Boots apotheek Emma;;;1;;;;;1
Bootsma De Rouwe Advocaten;;;;;;;1;1
Boringa & Lankester registeraccountants;;;;;1;;;1
Bos Coacing Dorette;;;1;;;;;1
Bos Horeca B.V.;;;;;;;1;1
Bosan B.V.;;;;;1;;;1
Boscafé het Maasdal;;;1;;;;;1
Bosch Car Service Breda;;;;;;;1;1
Boschweij Consultancy;;;;;1;;;1
Boshotel Vlodrop;;;1;;1;;1;1
Boshuis Venkraai;;;;;;;1;1
Botenverhuur De Rijnstroom;;;1;;;;;1
Boterwaag Den Haag B.V.;;;1;;;;1;1
Botswana College of Distance and Open Learning;;;;;1;;;1
Boulevard;;;1;;;;1;1
Bouma Beheer Bergum;;;1;;;;;1
Bouman Bezorgbakker;;;2;;;;1;2
Bouman GGZ;;;;;1;;;1
Bounce Centra voor Werk & Psyche;;2;2;;1;;;2
Bounin Special Services;;;;;;;4;4
Bourgonje Geluid- en Lichtservice B.V.;;;;;1;;;1
Bourgonjen-Helmers Advocaat;;;1;;;;1;1
BOURLA N.V.;;;;;;;1;1
Boutique des Fleurs;;;1;;;;;1
Bouvigne Paradijs B.V.;;;;;;;1;1
BOW psychologisch advies;;;;1;;;;1
Bowling & Party Centrum Noordwijk B.V.;;;;;;;1;1
Bowling & Partycentrum Breda;;;1;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;;;;1;1
Bowling Almere B.V.;;;1;;;;1;1
Bowling en Party Centrum Breda;;;1;;;;;1
Bowling- en Partycentrum De Schelmse Brug;;;1;;;;;1
Bowling en Partycentrum Maaspoort;;;1;;;;;1
Bowling- en Partycentrum Westerpark B.V.;;;1;;;;;1
Bowling Goes;;;1;;;;;1
Bowling Harderwijk B.V.;;;;;;;1;1
Bowling Nieuwegein B.V.;;;1;;;;;1
Bowling Scheveningen B.V.;;;1;;;;;1
Bowlingcentrum Schagen B.V.;;;1;;;;;1
Bowling-Restaurant Menken;;;1;;;;;1
Boxem Ter Apel B.V.;;;1;;;;1;1
BPM Medica;;;;2;;;;2
Br.- en Banketbakkerij J.A. van der Waal B.V.;;;1;;;;;1
Brabant Expres B.V.;;;;;;;1;1
Brabant Golf;;;1;;;;;1
Brabant Sports;;;1;;;;;1
Brain Box Mediatraining B.V.;;;;;2;;;2
Brain Club;;;;;1;;;1
Braint;;;;;2;;;2
Brandpreventie Academy B.V.;;;;;1;;;1
Brandveilig Bouwen Nederland;;;;;1;;;1
BrandweerSurvival B.V.;;;1;;;;;1
Brasserie 155 B.V.;;;1;;;;1;1
Brasserie Bakboord B.V.;;;;;;;1;1
Brasserie Buitenhof;;;;;;;1;1
Brasserie Buitenhuis B.V.;;;1;;;;1;1
Brasserie Carpe Diem By Daan;;;;;;;1;1
Brasserie d'ANVERS;;;1;;;;;1
Brasserie de Alphense Burgemeester;;;1;;;;;1
Brasserie De Boerderij;;;;;;;1;1
Brasserie De Haenehof;;;;;;;1;1
Brasserie de Houtrib;;;1;;;;1;1
Brasserie de Koepel;;;;;;;1;1
Brasserie de Markt B.V.;;;;;;;1;1
Brasserie De Stadstuin;;;1;;;;;1
Brasserie d'Oude Veiling;;;1;;;;1;1
Brasserie Eiggenwijzz;;;;;;;1;1
Brasserie Friends;;;1;;;;;1
Brasserie Hof 21;;;1;;;;;1
Brasserie in den Zevenden Hemel;;;1;;;;;1
Brasserie Jansen;;;;;;;1;1
Brasserie Laag-Kanje;;;1;;;;;1
Brasserie NUL76;;;;;;;1;1
Brasserie Ome Bernard B.V.;;;;;;;1;1
Brasserie Sequenza;;;;;;;1;1
Brasserie Soho B.V.;;;1;;1;;1;1
Brasserie Spiegelaar;;;1;;1;;;1
Brasserie 't Zusje Uden B.V.;;;;;;;1;1
Brasserie Tante Pos;;;1;;1;;1;1
Brasserie Waalhaven;;;1;;1;;1;1
Brasserie/Cafetaria Iets Anders;;;;;;;1;1
Brauner Klingenberg GmbH;;;;;1;;;1
Brauwers B.V.;;;;;;;1;1
Bravo-Preventie;;;;;1;;;1
Braxhoofden La;;;1;;;;;1
Braza B.V.;;;1;;;;1;1
Break Free Fun Company;;;2;;1;;;2
Break Out Events B.V.;;;;;1;;;1
Break-Out Gruno Park B.V.;;;1;;;;1;1
Breakout Room;;;1;;;;;1
Breakout Rotterdam;;;1;;;;;1
Bredase Custombike Shop Worldwide;;;1;;;;;1
Bredzz;;;1;;;;;1
BreinRevisie;;;1;;;;;1
Bres Hulpmiddelen;;;1;;;;;1
Breur IJzerhandel Vlietlaan B.V.;;;1;;;;;1
Brezan Automaterialen Hoorn;;;;;;;1;1
Bridge2learn;;;;;1;;;1
Bright & Company B.V.;;;;;1;;;1
Bright Events;;;1;;1;;;1
Brillat-Savarin B.V.;;;1;;;;1;1
Brilmij Groep B.V.;;1;1;;;;;1
Brink Bedrijfskleding;;;1;;;;;1
Brink Personenvervoer B.V.;;;;;;;1;1
Brinkhof N.V.;;;;;1;;;1
Brinkhuis Consultancy;;;;;1;;;1
Brisk-Consultancy;;;;;1;;;1
Brodies;;;1;;;;;1
Broekhuis Nunspeet B.V.;;;;;;;1;1
Broekies Entertainment Group V.O.F.;;;;;;1;;1
Broekmans Patisserie B.V.;;;1;;;;;1
Bromsnor verhuur;;;1;;;;;1
Brons Pfc;;;;;;;1;1
Brood- & Banketbakkerij Prins;;;1;;;;;1
Brood en Banket Aalbertsen;;;1;;;;;1
Brood en Banketbakkerij Besseling;;;;;;;1;1
Brood en Banketbakkerij C. van Barneveld B.V.;;;1;;;;1;1
Brood- en Banketbakkerij Godschalk;;;;;;;1;1
Brood- en Banketbakkerij Mestrom;;;1;;;;1;1
Brood- en Banketbakkerij Mulder;;;1;;;;;1
Brood- en Banketbakkerij P.A. Bliek;;;1;;;;1;1
Brood-en Banketbakkerij Bos;;;1;;;;1;1
Broodje Apart;;;1;;;;;1
Broodje van Martin;;;;;;;1;1
Broodjes Direct;;;1;;;;;1
Brottsoffermyndigheten;;;;;;;1;1
Brouwer Financiële Hulpverlening;;;1;;;;;1
Brouwerij de Prael;;;;;;;1;1
Brouwer's Hap & Tap;;;1;;;;;1
Brouwer's Tours B.V.;;;;;;;1;1
Brownies & Downies Wijchen B.V.;;;;;;;1;1
BR-Platform Nederland;;;;;1;;;1
Brug in Bedrijf;;;;;2;;1;2
Brut;;;;;;;1;1
BRUT Catering B.V.;;;1;;;;;1
BS Workspace Solutions;;1;;;;;;1
BSI Group The Netherlands B.V.;;;;;1;;;1
Buchrnhornen B.V.;;;1;;;;;1
Budget- en Begeleidingsbureau Kreule;;;1;;;;;1
Budgetcam;;;1;;;;;1
Buena Vista Beach Club;;;2;;;;1;2
Buffetrestaurant De Schaopwas;;;;;;;1;1
Buffetrestaurant Thijs & Aafke;;;1;;;;1;1
Bugei-Ryu Budokai Breda;;;1;;;;;1
Buitelaar Metaal;;;;;;;1;1
Buitengoed Fredeshiem;;;;;1;;;1
Buitengoed Uylenburg B.V.;;;;;1;;1;1
Buitenherberg Ter Linde;;;1;;1;;;1
Buitensport Zwolle;;;1;;;;;1
Bulder International;;;1;;;;;1
Bullit House;;;1;;;;;1
Bundesministerium fur Justiz;;;;;;;1;1
Bureau Beke;;;;;;;1;1
Bureau De Jong en de Jong;;1;2;;;;;2
Bureau Lammers B.V.;;;1;;;;;1
Bureau Liedeweijde B.V.;;;;;1;;;1
Bureau Loopbaanverandering;;;;;1;;;1
Bureau Maaiveld;;;;;1;;;1
bureau MindsWare;;;1;;;;;1
Bureau pAct;;;;;1;;;1
Bureau Personal Development B.V.;;;;;1;;;1
Bureau Rokus Loopik;;;;;1;;;1
Bureau Schippers coaching en training;;;;;2;;;2
Bureau Ten Bate;;;;;1;;;1
Bureau Tromp B.V.;;;;;1;;;1
Bureau Van Vliet B.V.;;;;1;;;;1
Bureau Veritas Industrial Services;;;1;;;;;1
Bureau Volzin B.V.;;;;;1;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;1;;;1
Bureau voor Kwaliteitszorg Zwolle B.V.;;;;;1;;;1
Bureau voor Ongevraagd Advies;;;;;1;;;1
Bureau Zuidema B.V.;;;;;3;;1;3
Bureautaal B.V.;;;2;;2;;;2
Burger Coaching & Advies;;;;;2;;;2
Burgers Arneym B.V.;;;;;;;1;1
Burgers Zoo;;;1;;;;;1
Burgman Security B.V.;;;1;;;;;1
Burn Out Poli;;1;2;;2;;;3
Buro Acting;;;;;;;1;1
Buro Beneker;;;;;;;1;1
Buro Bis;;;;;1;;;1
Buro de Goede;;;;;1;;1;1
Buro Grootswagers Communicatie&Spel;;;1;;1;;;1
Buro Vermeer;;1;1;;2;;;2
Buro voor Rij- en Verkeersveiligheid;;;;;1;;;1
Business Cars & Limousineservice;;;;;;;1;1
Business Events Amsterdam;;;2;;;;;2
Business Fashion;;;1;;;;;1
Business Flash;;;1;;;;;1
Business Graphics;;;;1;;;;1
Business Marketing Services B.V.;;;;;2;;;2
Business Talen Rotterdam B.V.;;;;;1;;;1
BusinessGames.nl;;;;;1;;;1
Buurtboerderij Horeca B.V.;;;;;;;1;1
Bvba BENEDEN;;;;;1;;;1
BVO Opleidingen B.V.;;;;;2;;;2
BW Bedrijfsfitness B.V.;;;1;;2;;;2
C & F Sporting B.V.;;;1;;;;;1
C&C-raad B.V.;;;;;1;;;1
C&O Travel Special Tours;;;1;;;;;1
C. Aalders Expert. Centrum Mindf. en Zingev.;;;;;1;;;1
C.C.W. van Grunsven t.h.o.d.n. High Tea & Co Grave;;;;;;;1;1
C.F.C. Taxi;;;;;;;1;1
C.I.C. Company B.V.;;;;;1;;;1
C.M.A. De Vries Beheer B.V.;;;;;2;;;2
C.V. Advies B.V.;;1;1;;1;;;2
C2B B.V.;;;1;;;;;1
C2Results B.V.;;;;;2;;;2
Cadeau Concepten B.V.;;;4;;;;;4
Cadir Restaurant B.V.;;;1;;;;;1
Café 2005;;;;;;;1;1
Café Berger Beheer;;;;;;;1;1
Café Beurs;;;1;;;;;1
Café Bolhuis;;;;;;;1;1
Café Cafetariabedrijf 't Engeltje;;;;;;;1;1
Café Colette B.V.;;;;;;;1;1
Café de Bank;;;1;;;;1;1
Café de Hertog-Jan Proeverij;;;1;;;1;;1
Café De Hetebrij;;;;;;;1;1
Café de kroeg;;;1;;;;1;1
Café de Kroeg eten & drinken;;;;;;;1;1
Café De Kroon;;;;;;;1;1
Café De Pimpelaar;;;;;;;1;1
Cafe de Rus;;;1;;;;;1
Café de Schatkamer;;;;;;;1;1
Café de Sjmeed;;;;;;;1;1
Café De Tijd - The Legends Sports Bar;;;1;;;;;1
Café de Tram;;;1;;;;;1
Cafe de Unie;;;1;;;;;1
Cafe du Midi 'De Uylenburg';;;;;;;1;1
Café Groothuis;;;1;;;;;1
Café Haags Filmhuis;;;;;;;1;1
Café Hekking C.V.;;;;;;;1;1
Café Hier;;;;;;;1;1
Café Kanters;;;;;;;1;1
Café Kromme Knilles;;;;;;;1;1
Cafe Lust;;;1;;;;;1
Café Mano;;;;;;;1;1
Café Maurickzicht;;;1;;1;;1;1
Café Mulder;;;;;;;1;1
Café Party Centrum 'De Deel';;;1;;;;;1
Café Restaurant Dauphine;;;;;;;1;1
Café Restaurant De Beyerd;;;;;;;1;1
Café Restaurant De Eendracht Abcoude B.V.;;;1;;;;1;1
Café Restaurant 'De Hoeve' B.V.;;;;;;;1;1
Café Restaurant De Rietstulp;;;1;;;;;1
Cafe Restaurant 'De Vriendschap';;;;;;;1;1
Café Restaurant De Wits;;;1;;;;1;1
Café Restaurant Luchthaven Lelystad;;;;;;;1;1
Café Restaurant Merz;;;1;;;;;1
Café Restaurant Piet Hein B.V.;;;1;;;;2;2
Cafe Restaurant Rootz B.V.;;;;;;;1;1
Café Restaurant Rootz B.V.;;;1;;;;1;1
Café Restaurant Stelios;;;1;;;;;1
Cafe Restaurant Vandaag B.V.;;;1;;;;;1
Café Ristorante Claudio;;;;;;;1;1
Café Salden;;;1;;;;1;1
Café Sintermerte;;;1;;;;;1
Café Smit&Voogt;;;1;;;;;1
Café Studio Haarlem B.V.;;;1;;;;;1
Café 't Trefpunt;;;1;;;;;1
Café Van Beek;;;;;;;1;1
Café van Eijk;;;;;;;1;1
Café van Uhm;;;;;;;1;1
Café Verheyden;;;1;;;;1;1
Cafe Wouters;;;1;;;;;1
Café Wouters;;;;;;;1;1
Café XO Haarlem B.V.;;;1;;;;1;1
Café Zomers & Zomers;;;1;;;;1;1
Café Zuid;;;;;;;1;1
Cafe/Cafetaria 'Effe Om';;;1;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;;;1;1
Café-Bar-Restaurant 'De Vriendschap';;;1;;;;;1
Café-Restaurant Amier B.V.;;;1;;;;1;1
Café-Restaurant De Mol B.V.;;;1;;;;;1
Café-Restaurant 'De Soesterduinen' B.V.;;;1;;;;1;1
Café-Restaurant De Veranda B.V.;;;1;;;;1;1
Café-Restaurant d'Olde Heerd;;;1;;;;;1
Café-Restaurant Hoogendam;;;;;1;;1;1
Café-Restaurant New York Den Haag;;;1;;;;;1
Café-Restaurant 't Klukske B.V.;;;;;;;1;1
Cafetaria Jimmy's;;;;;;;1;1
Cafetaria Stap es in;;;1;;;;1;1
Cafetaria 't Lambertje;;;1;;;;1;1
Cafeteria/Lunchroom 't Eendje;;;;;;;1;1
Caffe 500;;;1;;;;1;1
CAI-Opleidingen B.V.;;;;;1;;;1
Caleidoscoop Leertrajecten;;;;;;;1;1
Camiel Mikily B.V.;;;;;;;1;1
Caminando;;;;;1;;;1
Camping en Recreatiecentrum Lauwersoog B.V.;;;1;;;;;1
Camping Moekesgat B.V.;;;1;;;;;1
Camuse;;;;;1;;;1
Canal Company B.V.;;;1;;;;;1
Canoy strafrechtadvocaatuur Leeuwarden;;;;;;;1;1
Cantina Mexicana B.V.;;;;;;;1;1
Canton en Brugman;;;;;1;;2;2
Capabel Hogeschool;;;;;1;;;1
Capabel Onderwijs Groep B.V.;;;;;2;;;2
Caparis N.V.;;1;;1;;;;1
Capetown Rotterdam;;;1;;;;;1
Capgemini Educational Services B.V.;;;;;3;;;3
Capgemini Nederland B.V.;;;1;;4;;;4
Capo Cucina;;;;;;;1;1
Capponsupport;;;;;1;;;1
Capra advocaten;;;;;1;;;1
Card ID Solutions;;;1;;;;;1
Cardan Mobility Services B.V.;;;1;;;;;1
Carel Jacobs training & development;;;;;1;;1;1
Carin Tiggeloven journalistieke producties;;;;;1;;;1
Carlton Ambassador Hotel B.V.;;;;;;;1;1
Carlton De Brug B.V.;;;;;1;;;1
Carlton Hotel Brussel B.V.;;;1;;;;;1
Carlton Hotels Nederland B.V.;;;2;;2;;1;2
Caroline Bun Coaching;;;;;1;;;1
Caroni;;;;;;;1;1
Carpabizzgifts B.V.;;;1;;;;;1
CARPEDIEM;;;;;;;1;1
Carrello Pizza Express;;;;;;;1;1
Casablanca Variete;;;1;;;;;1
Cascara Events;;;;;1;;1;1
Casteleijn Brood B.V.;;;1;;;;1;1
Cat.bedr. Jenner t.h.o.d.n. Spare Rib Express;;;;;;;1;1
Catering Company;;;1;;1;;1;1
Catering de Commanderie B.V.;;;1;;;;1;1
Catering Hanenburg B.V.;;;1;;;;;1
Catering Oud London B.V.;;;1;;;;1;1
Catering Service 't Ankertje;;;1;;;;1;1
Catering Utrecht B.V.;;;1;;;;1;1
Cateringbedrijf 'Cadenza';;;;;;;1;1
Cateringbedrijf Dekker;;;;;;;1;1
CB Facturatie B.V.;;;;;1;;;1
CBE - Group B.V.;;;;;1;;;1
CBZ Verzuimbezoeken B.V.;;1;;;;;;1
CCB Groep B.V.;;;;;2;;;2
CCG Training & Coaching B.V.;;;;;2;;;2
Cedere B.V.;;;;;1;;;1
Cello;;;;;1;;;1
Centoph;;1;;;;;;1
Centrale Bibliotheek Almelo;;;1;;;;;1
Centrale Rino B.V.;;;1;;3;;;3
Centrale Wapenhandel Dorhout Mees B.V.;;;1;;;;;1
Centre de Cours Alliance Française de La Haye;;;;;1;;;1
Centre for Generative Leadership B.V.;;;1;;;;;1
Centric Netherlands B.V.;;;;2;1;;;2
Centrum de Spreng;;;;;1;;;1
Centrum Permanente Educatie;;;;;1;;;1
Centrum Vertrouwenspersonen Plus;;;;;1;;;1
Centrum voor Conflicthantering B.V.;;;1;;2;;;2
Centrum voor Keteninformatisering B.V.;;;;;1;;;1
Centrum voor Mindfulness;;;;;1;;;1
Cert. Inst. voor Beveilig. & Veiligheid B.V.;;;;;1;;;1
CertoPlan B.V.;;;;;1;;;1
CGI;;;;;2;;;2
CGI Nederland B.V.;;;;;1;;;1
Chain Consult;;;;;2;;;2
Chalet Bergrust;;;;;;;1;1
Chameleon Associates B.V.;;;;;2;;;2
Chance2change;;;1;;1;;;1
Change Creators B.V.;;;1;;;;;1
Charelli B.V.;;;1;;1;;1;1
Charles Schwab & Co Inc.;;;;;;;1;1
Charles van Eijken/Bezorgbeer Den Haag-Schev.;;;;;;;1;1
Charme Hotel Wildthout;;;1;;;;;1
Chartervaart Harderwijk B.V.;;;1;;;;;1
Charts Financial & Governance B.V.;;;;;;;1;1
Chateau De Raay B.V.;;;;;1;;;1
Chatham House Enterprises Limited;;;;;1;;;1
CHCH Exploitatie B.V.;;;;;;;1;1
Chemisch Reiniging Hahné;;;1;;;;;1
Chi Kung Studio;;;1;;;;;1
Chin. Indisch Restaurant International Almelo;;;1;;;;;1
Chin. Special. Restaurant 'Empire Palace';;;1;;;;;1
Chin. Specialiteiten Restaurant Color Flower;;;;;;;1;1
Chin. Specialiteiten Restaurant 'Lotus' B.V.;;;1;;;;;1
Chin.-Ind. Rest. Sonsbeekpaviljoen V.O.F.;;;;;;;1;1
China Garden B.V.;;;1;;;;;1
China Palace;;;1;;;;1;1
China Tuin B.V.;;;;;;;1;1
China-Town;;;1;;;;;1
Chinees Indisch Restaurant 'Asian Palace';;;;;;;1;1
Chinees Indisch Restaurant 'Golden House';;;;;;;1;1
Chinees Indisch Restaurant 'Hong Fong';;;1;;;;1;1
Chinees Indisch Restaurant Long Sing;;;1;;;;;1
Chinees Indisch Restaurant Man Wah;;;1;;;;1;1
Chinees Indisch Restaurant Nieuw China;;;;;;;1;1
Chinees Indisch Restaurant Sin Jah;;;1;;;;1;1
Chinees Restaurant China;;;;;;;1;1
Chinees Restaurant Manchuria;;;1;;;;1;1
Chinees Restaurant 'Royal City';;;1;;;;;1
Chinees restaurant Specialiteiten van Drenthe;;;;;;;1;1
Chinees Specialiteitenrestaurant Ah Tim;;;1;;;;;1
Chinees Wok Restaurant Royal Palace;;;1;;;;;1
Chinees-Indisch Restaurant 'Hong Kong' V.O.F.;;;1;;;;;1
Chinees-Indisch Restaurant Kota Radja;;;;;;;1;1
Chinees-Surinaams Restaurant Sweetie;;;;;1;;;1
Chinese Shaolin Martial Arts Centrum;;;1;;;;;1
Chip Bizz B.V.;;;;;;;1;1
Chocing Good;;;1;;;;;1
Chocobreak;;;1;;;;;1
Chocolade Atelier van Noppen B.V.;;;1;;;;;1
Chocoladebezorgd;;;1;;;;;1
Chocolate Company Specials B.V.;;;1;;;;;1
Chocolateria en Desserteria 'Jordino';;;1;;;;;1
Chocolaterie De Lelie;;;1;;;;;1
Chocolaterie Lugano V.O.F.;;;1;;;;;1
Choco-Story;;;1;;;;;1
Chocstar;;;1;;;;;1
Chris Lahnstein advisering;;;;;1;;;1
Chris Transformatie Reisleidster;;;1;;;;;1
ChrisCreatief;;;1;;;;;1
Christelijke Hogeschool Ede;;;;;2;;;2
Christelijke Hogeschool Windesheim;;;;;2;;;2
Christianne Nagel Coaching;;;1;;1;;;1
CHS Special Products B.V.;3;;;;;;;3
Ciao! Ciao! B.V.;;;1;;1;;1;1
CIBIT Adviseurs/Opleiders;;;;;2;;;2
CIIO B.V.;;;;;1;;;1
Cinetone V.O.F.;;;;;;;1;1
CIO Platform Nederland;;;2;;;;;2
CIOnet Nederland B.V.;;;;;1;;;1
CIP Institute;;;;;1;;;1
Cisco Live;;;;;1;;;1
Cito B.V.;;;1;;2;;;2
City & Financial Global Ltd;;;;;1;;;1
City Gaming B.V.;;;1;;;;;1
City Life Church Den Haag;;;;;;;1;1
City Tax B.V.;;;;;;;1;1
Cityhotel Exploitatie B.V.;;;;;;;1;1
CitySense B.V.;;;2;;;;1;2
CKC Seminars;;;;;1;;;1
CKV Advocaten B.V.;;;1;;;;;1
Claire Werkt!;;;;;1;;;1
Classical Pilates by Ernie Prevoo;;1;;;;;;1
Clear Conduct B.V.;;;;;1;;;1
Cleerdin & Hamer Advocaten;;;;;;;1;1
Clever Cat Escapes;;;1;;;;;1
Clevers Take Away Roermond B.V.;;;;;;;1;1
Clocked-Up;;;1;;;;;1
Cloose;;;1;;;;1;1
Clou, voor Marketing, Informatie en Research;;;;;1;;;1
CLS Computertrainingen;;;;;1;;;1
Club Sportive Mahler Zuidas B.V.;;;;;1;;;1
CMB Holding B.V.;;;;;1;;;1
CMS Derks Star Busmann;;;;;;;1;1
CNV Connectief;;;1;;;;1;1
CNV Jongeren;;;;;1;;;1
CNV Publieke Zaak;;;;;;;1;1
Co Solo Producties B.V.;;;1;;;;;1
Coach Collectief Frans de Jel;;1;;;;;;1
Coach²;;;;;1;;;1
Coachboulevard B.V.;;;;;2;;;2
Coaching & Advies;;;;;1;;;1
Coaching & Training;;;;;1;;;1
Coaching in Change;;;;;1;;;1
Coaching Nederland B.V.;;;;;2;;;2
Coaching Plaza B.V.;;;1;;;;;1
Coen Verbruggen;;;;;1;;;1
Coffee & Cream;;;;;;;1;1
CoffeeClub 2015 B.V.;;;1;;;;1;1
Coffeemania Handel B.V.;;;;;;;1;1
Collective Talent Company;;;;;1;;;1
College 24;;;;;1;;;1
College of Multimedia;;;;;1;;;1
College voor de Rechten van de Mens;;;;4;;;;4
Colombo B.V.;;;;;2;;;2
Colonie Breda;;;;;;;1;1
Colourful People B.V.;;;;2;;;;2
Columba Communications;;;1;;1;;;1
CombiCraft;;;1;;;;;1
Com-Connect B.V.;;;;;1;;;1
Comenius Consult;;;;;2;;;2
Comitato Biometrics;;;;;1;;;1
Comm B.V.;;;2;;2;;1;3
CommGres;;;;;1;;;1
Common Eye B.V.;;;;;1;;;1
Communication4you;;;;;1;;1;1
Compacon & Partners B.V.;;;2;;;;;2
Compacon B.V.;;;1;;1;;;1
Compagnon B.V.;;;1;2;;;;2
Company Sandwich;;;;;;;1;1
COMPAREX Nederland B.V.;;1;;;3;;;3
Compass Group Nederland B.V.;;;1;;;;1;1
Compu Act Opleidingen B.V.;;;;;1;;;1
Compu'Train;;;;;1;;;1
Computrain Opleidingen;;;;;3;;;3
CompuType B.V.;;;;;1;;;1
Conclusion B.V.;;;;;3;;;3
Concorde Group B.V.;;;1;;;;1;1
