Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
De Baak Noordwijk B.V.;1;;;;;;;1
de boer communicatie;2;;;;;;;2
De Booij Party en Congresarchitekten;2;1;;;;;;2
De Borgh;1;;;;;;;1
De Brauw Blackstone Westbroek N.V.;5;;;;;;;5
De Coaching Centrale B.V.;1;;;;;;;1
De Cobra;1;;;;;;;1
de Context;1;;;;;;;1
De Dwarsdenkerij B.V.;1;;;;;;;1
De Efteling B.V.;2;;;;;;;2
De Galan Groep B.V.;;1;;;;;;1
De Gemeynt Coöperatie UA;1;;;;;;;1
De Gevangentoren B.V.;1;;;;;;;1
De heer Environment & Communication;2;;;;;;;2
De Hofstad Taxicentrale B.V.;1;;;;;;;1
De Jonge Helden;;1;;;;;;1
De Jonker Consultancy;1;;;;;;;1
De Kantine;1;;;;;;;1
De Klantcontact Monitor B.V.;2;;;;;;;2
De Klok Breda B.V.;1;;;;;;;1
De Koers;2;;;;;;;2
De Koning Organisat.-Creativit./Ontwikk. B.V.;1;;;;;;;1
De Kookfabriek Den Haag B.V.;1;;;;;;;1
De Korte Prins;1;;;;;;;1
De Lekkernij Utrecht B.V.;1;;;;;;;1
De Lof der Zotheid (Lords);1;;;;;;;1
De Lorijn Raadgevers Onroerend Goed B.V.;1;;;;;;;1
De Merkdirectie;2;;;;;;;2
De Nieuwe Pelgrim;;1;;;;;;1
De Ontmanager;1;;;;;;;1
De Pont B.V.;1;;;;;;;1
De Raad Vastgoed B.V.;1;;;;;;;1
De Resolutie Utrecht B.V.;1;;;;;;;1
De Roever Milieuadvisering;4;;;;;;;4
De Roos & Pen B.V.;;1;;;;;;1
De Rotterdam B.V.;2;;;;;;;2
De schaal van Kampen;1;;;;;;;1
De Sleutelspecialist Leeuwarden V.O.F.;1;;;;;;;1
de Smeltkroes;1;;;;;;;1
De Steen Tekst- & Redactiebureau;2;;;;;;;2
De Stroper Dordt B.V.;1;;;;;;;1
De Tombe Consultancy B.V.;1;;;;;;;1
de urbanisten;3;;;;;;;3
De Utrechtse Haven B.V.;1;;;;;;;1
De Versnelling B.V.;;;1;;;;;1
De Vlieg Techniek B.V.;1;;;;;;;1
De volgende fase B.V.;2;;;;;;;2
De Voort Advocaten - Mediators;1;;;;;;;1
De Vries Projekt Design B.V.;2;;;;;;;2
De Wijde Blik B.V.;2;;;;;;;2
De Wilt-Cyrox Groep B.V.;1;;;;;;;1
De Winkel van Sinkel B.V.;2;;;;;;;2
De Witte Leeuw Breda B.V.;1;;;;;;;1
De Zaak van Dorien;1;;;;;;;1
De Zeeuw Facilitator Productions;1;;;;;;;1
De Zilveren Vosch B.V.;1;;;;;;;1
De Zwarte Hond Rotterdam B.V.;3;;;;;;;3
Debatacademie;1;;;;;;;1
Deblick B.V.;1;;;;;;;1
Decisio B.V.;3;;;;;;;3
Decolux Holding B.V.;3;;;;;;;3
Déhora Consultancy Group B.V.;1;;;;;;;1
Déhora detachering B.V.;1;;;;;;;1
Dekra People B.V.;2;;;;;;;2
Dekxels B.V.;1;;;;;;;1
Deli33 Van Nelle Fabriek B.V.;1;;;;;;;1
Delmeco Fishing Technology B.V.;1;;;;;;;1
Deloitte Accountants;4;2;;;;;;4
Delphi's Lunch & Diner;1;;;;;;;1
Delta III Visuals & Communications;1;;;;;;;1
DELVA Landscape Architects;2;;;;;;;2
Demi Sec;1;;;;;;;1
Den Haag Evenementen B.V.;;1;;;;;;1
Denkproducties V.O.F.;1;;;;;;;1
Derek Middleton;1;;;;;;;1
DeSeizoenen B.V.;1;;;;;;;1
Design & Development;1;;;;;;;1
Detail Devil;1;;;;;;;1
DGMR Industrie Verkeer en Milieu B.V.;2;;;;;;;2
DHL International B.V.;1;;;;;;;1
DHV B.V.;2;1;;;;;;2
Dialogic Innovatie & Interactie;1;;;;;;;1
Diemex Expertise;1;;;;;;;1
DIG - Design Innovation Group B.V.;1;;;;;;;1
Digital Action;;1;;;;;;1
Digital Ants;1;;;;;;;1
Dijksterhuis & van Baaren Werkmaatsch. B.V.;3;;;;;;;3
Dima Media Groep B.V.;1;;;;;;;1
Diner Thuis;2;;;;;;;2
DiOrganize;2;;;;;;;2
Direct Force B.V.;1;;;;;;;1
Direct2Improve B.V.;4;;;;;;;4
Discountoffice.nl B.V.;1;;;;;;;1
Dispuut Verkeer;1;;;;;;;1
DNA Projecten B.V.;1;;;;;;;1
Documa GMT B.V.;2;;;;;;;2
DocWolves B.V.;2;;;;;;;2
Doelen Coach Service B.V.;1;;;;;;;1
Dokkumer Vlaggen Centrale B.V.;1;;;;;;;1
Dominique Holtrop Office Management;1;;;;;;;1
Don Bureau B.V.;;;;1;;;;1
Donki Gotte;2;;;;;;;2
Dopper;1;;;;;;;1
Dosign Engineering B.V.;4;;;;;;;4
dot by dot;2;;;;;;;2
Douwe Egberts Horeca;1;;;;;;;1
Down Under Horecaexploitatie B.V.;1;;;;;;;1
Doxa Communicatie B.V.;4;;;;;;;4
Doxis;4;;;;;;;4
DPA Cauberg-Huygen;2;;;;;;;2
DPI Animation House B.V.;3;;;;;;;3
Dr. Stork B.V.;1;;;;;;;1
Dr. Ten B.V.;1;;;;;;;1
Draaisma CCT B.V.;1;;;;;;;1
Dräger Safety Nederland B.V.;5;1;;;;;;5
Drentea Kantoormeubelen;1;;;;;;;1
Driven By Values B.V.;1;;;;;;;1
Drukkerij Vaba;1;;;;;;;1
Drupsteen + Straathof;1;2;;;;;;2
DTV Consultants B.V.;3;;;;;;;3
Du Nord Rijwielen;;1;;;;;;1
Duo Market Research B.V.;1;;;;;;;1
Dupyla Advies;2;;;;;;;2
Dura Vermeer Autobeheer;1;;;;;;;1
Dutch Aviation Group (DAG);1;1;;;;;;1
Dutch aWEARness B.V.;2;;;;;;;2
Dutch Coast B.V.;1;;;;;;;1
Dutch Drone Company B.V.;;1;;;;;;1
Dutch Research Institute for Transitions B.V.;1;;;;;;;1
Dutch Sino Business Promotions;2;;;;;;;2
Duurzaamheid4all;1;;;;;;;1
DynaVision B.V.;;1;;;;;;1
Dynniq Nederland B.V.;2;;;;;;;2
Dynniq Peek Traffic B.V.;2;;;;;;;2
E&MS B.V.;;2;;;;;;2
E. & H. Brunekreef t.h.o.d.n. Spar Brunekreef;1;;;;;;;1
E. van der Boom Advies;2;;;;;;;2
E.A.L. Electronic Application Laboratory B.V.;1;;;;;;;1
E.A.M. Groenewegen Holding B.V.;1;;;;;;;1
E.B.O. van Weel Beheer B.V.;2;;;;;;;2
Easy Access;;1;;;;;;1
Easy Actors B.V.;1;;;;;;;1
Easybookings B.V.;1;;;;;;;1
eCarConnect B.V.;1;;;;;;;1
ECN Wind Energy Facilities B.V.;1;;;;;;;1
Eco Consult;4;;;;;;;4
Ecofys Netherlands B.V.;4;;3;;;;;4
ECORYS Nederland B.V.;7;;2;;;;;7
EdDDD;1;;;;;;;1
Edelstomerij en -Wasserij Miedema B.V.;1;;;;;;;1
Eden Den Haag Hotel Exploitatie I B.V.;1;;;;;;;1
Eden Springs Nederland B.V.;1;;;;;;;1
Ediand B.V.;1;;;;;;;1
EditieM;1;;;;;;;1
Edwin Smulders Catering;1;;;;;;;1
Eenhoorn Evenementen;1;;;;;;;1
Eetcafe De Kleine Prins B.V.;1;;;;;;;1
EG Media;2;;;;;;;2
EHBO Plus;1;;;;;;;1
EHM Hotel Amsterdam Museum B.V.;1;;;;;;;1
Eiffel B.V.;1;;;;;;;1
Eight Media B.V.;1;;;;;;;1
Eijkelkamp Soil & Water B.V.;2;;;;;;;2
Einstein Exploitatie B.V.;1;;;;;;;1
Elbenk Com B.V.;1;;;;;;;1
Electro-Techn. Inst.bedr. 'Leerkes' B.V.;1;;;;;;;1
Elektro-Four B.V.;3;;;;;;;3
Elektro-Groeneweg Installatie B.V.;1;;;;;;;1
Elleni;1;;;;;;;1
Elles van Goozen - Decor & Architectuur;1;;;;;;;1
Elles van Happen Communicatie;4;;;;;;;4
Elycio Talen B.V.;1;;;;;;;1
EMA Gravures Flevoland V.O.F.;1;;;;;;;1
EMMA Communicatie B.V.;3;;;;;;;3
Emme Woord en Beeld;1;;;;;;;1
EMMENEL B.V.;2;;;;;;;2
Empaction B.V.;1;;;;;;;1
EnablE-U B.V.;2;1;;;;;;2
Energieonderzoek Centrum Nederland;4;;;;;;;4
Energiepartners;2;;;;;;;2
enerGQ B.V.;2;;;;;;;2
Engaging Scientists;;1;;;;;;1
Engelen en Partners Organisatieontwikk. B.V.;1;;;;;;;1
Engels & Partners;1;;;;;;;1
Engels Horeca Rotterdam B.V.;1;;;;;;;1
ENGIE Services Noord B.V.;1;;;;;;;1
Enjoy your Office;1;;;;;;;1
Enprodes Management Consultancy B.V.;2;;;;;;;2
Entopic B.V.;2;1;;;;;;2
Entry Technology Support B.V.;1;;;;;;;1
E-ONE B.V.;1;;;;;;;1
E-PLACE;1;;;;;;;1
Epona Software Productions B.V.;;1;;;;;;1
ER;1;;;;;;;1
Er Services;1;;;;;;;1
Erasmus;1;;;;;;;1
Erbrink Stacks Consult;1;;;;;;;1
Erdi Wegbebakening B.V.;1;;;;;;;1
Eric Burgers Tekst & Redactie;;;1;;;;;1
Eridanos;1;;;;;;;1
Ernst & Young Accountants LLP;4;2;;;;;;4
Escher MC;2;;;;;;;2
Espero B.V.;1;;;;;;;1
Espi Designers B.V.;2;1;;;;;;2
Esquine Advies B.V.;3;;;;;;;3
Esra Handelmaatschappij B.V.;1;;;;;;;1
Essencia B.V.;1;;;;;;;1
Essentium B.V.;1;;;;;;;1
Ettu Configuration B.V.;;1;;;;;;1
Eureco B.V.;1;;;;;;;1
Eurekam Research B.V.;1;;;;;;;1
Eurest Services B.V.;1;;;;;;;1
Eurofins Analytico B.V.;1;2;;;;;;2
Euroforum;1;;;;;;;1
Euro-Index B.V.;1;;;;;;;1
Europees Instituut De Baak B.V.;1;;;;;;;1
Eurosafe Solutions B.V.;1;;;;;;;1
Eurotext Vertaalbureau Leidschendam;3;;;;;;;3
Evera en Ondernemershuis Groningen;1;;;;;;;1
Evident Projectstoffering B.V.;2;;;;;;;2
Evite Services B.V.;2;;;;;;;2
EVO Fenedex B.V.;2;;;;;;;2
Ewepo Reinigingssystemen B.V.;1;;;;;;;1
Excellent Incasso B.V.;1;;;;;;;1
Executive Consult;;1;;;;;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;1;;;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;2;;;;;;;2
EYE - Bar Restaurant B.V.;1;;;;;;;1
F. C. Nienhuis Wegbeveiliging;1;;;;;;;1
F.A.X. Translations B.V.;1;1;;;;;;1
Faber Vlaggen;1;;;;;;;1
Facilitor B.V.;1;;;;;;;1
Factor Vijf;3;;1;;;;;3
Factual Design B.V.;2;;;;;;;2
Fakton B.V.;1;;;;;;;1
Falco B.V.;1;;;;;;;1
Fanplay;5;2;;;;;;5
Farwick Groenspecialisten;1;;;;;;;1
FBH B.V.;1;;;;;;;1
Feddes/Olthof Landschapsarchitecten B.V.;3;;;;;;;3
Federatie Ruimtelijke Kwaliteit;2;;;;;;;2
Ferro Explore B.V.;3;;;;;;;3
Ffact Management Consultants B.V.;;1;;;;;;1
Fh Advisory;3;;;;;;;3
Fibrecount B.V.;1;;;;;;;1
Fietsenwereld Roy Seine;1;;;;;;;1
FietsNED B.V.;1;;;;;;;1
Fietspoint Leeuwarden V.O.F.;1;;;;;;;1
Filtrex Services;;1;;;;;;1
Finance Ideas B.V.;;1;;;;;;1
Financial Professional Services B.V.;;1;;;;;;1
Finaps B.V.;2;;;;;;;2
Firebrush Studios;;1;;;;;;1
Firma Hof der Muzen;1;;;;;;;1
First Dutch Services B.V.;2;;;;;;;2
First Service Business Events;1;;;;;;;1
Fish & Meat B.V.;1;;;;;;;1
Five Spices B.V.;2;;;;;;;2
Flanderijn en v. Eck Gerechtsdeurwaard. B.V.;1;;;;;;;1
Floor 2 Floor Studio;2;;;;;;;2
FlowFabric B.V.;4;;;;;;;4
Flycatcher Internet Research B.V.;1;;;;;;;1
FM Projekten B.V.;1;;;;;;;1
Fodis;2;;;;;;;2
Folkert Post Advies;1;;;;;;;1
Fonq.nl B.V.;1;;;;;;;1
Formenta Wego B.V.;1;;;;;;;1
Fornari;1;;;;;;;1
Forrester Research B.V.;;;;;;2;;2
Forsa Advies;;1;;;;;;1
Fort Resort Beemster B.V.;1;;;;;;;1
Fort Voordorp B.V.;2;;;;;;;2
Fotografie : Paul Voorham;1;1;;;;;;1
Fotografie Erald Van der Aa;1;;;;;;;1
Fotografie Nienke Elenbaas;1;;;;;;;1
Fotografie Siebe Swart;1;;;;;;;1
Fotopersburo Texel;1;;;;;;;1
Four Digits B.V.;2;;;;;2;;2
Foxgloves advies;2;;;;;;;2
Frame B.V.;1;;;;;;;1
Francien Machielse Communicatie & Projecten;3;;;;;;;3
Frank Jansen Fotografie;1;;;;;;;1
Franke Interim Management B.V.;1;;;;;;;1
Frans Beks & Zn. Interieur B.V.;1;;;;;;;1
Fred Ernst Fotojournalist;;1;;;;;;1
Frederiek van Lienen Consultancy;;1;;;;;;1
freelance;1;;;;;;1;1
Frences van de Ven;2;;;;;;;2
Frephitophe;1;1;;;;;;2
Frequin Producties;1;;;;;;;1
Frisse Blikken ondernemen met talent B.V.;1;;;;;;;1
FriZZ Communicatie;;1;;;;;;1
Fujitsu Technology Solutions B.V.;;7;;;;;;7
Future Communication Consultants B.V.;1;;;;;;;1
Future Insight Group B.V.;2;;;;;;;2
Future Motions;1;;;;;;;1
Futureconsult Holding B.V.;2;;;;;;;2
Futurevision;;1;1;;;;;1
Fysergo B.V.;4;;;;;;;4
Gaia Concept B.V.;1;;;;;;;1
Gall & Gall (B.J. Wühl);1;;;;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;1;;;;;;;1
Gargouilles B.V.;1;;;;;;;1
Gartner Nederland B.V.;6;;;;;;;6
Gastheeren Bedrijfscatering;2;;;;;;;2
Gauchos Franchise Utrecht B.V.;1;;;;;;;1
Gebiedspromotieindex;1;;;;;;;1
Geert Ploeger;2;;;;;;;2
Geertje Korf;2;;;;;;;2
Geldof c.s. B.V.;2;;;;;;;2
Gemini Design B.V.;1;;;;;;;1
Genetics B.V.;1;;;;;;;1
Geodan B.V.;6;1;;;;;;6
Geodan Software Development & Technology B.V.;;2;;;;;;2
Geofox-Lexmond B.V.;2;;;;;;;2
Geovusie;2;2;1;;;;;3
Gerard Graave Document Solutions;2;;;;;;;2
Gerdes Translations;1;;;;;;;1
gereedsch./techn./sleut./slot.;;1;;;;;;1
Geschenkbezorgen.nl B.V.;1;;;;;;;1
Gesprek in Beweging;;1;;;;;;1
Getting the picture B.V.;1;;;;;;;1
Geveke Plus;1;;;;;;;1
GezondVerkeer;3;;;;;;;3
GFK Panel Services Benelux;2;;;;;;;2
Giant Leap Technologies B.V.;1;;;;;;;1
Giant Publicity B.V.;1;;;;;;;1
Gijs de Haan;2;;;;;;;2
Gijs Geluid;1;;;;;;;1
Giraf Results;2;;;;;;;2
Gist;1;;;;;;;1
GKSV B.V.;2;;;;;;;2
GL events World Forum Convention Center B.V.;1;;;;;;;1
Glassinstruments;;1;;;;;;1
Globos B.V.;1;;;;;;;1
Glocnet;1;;;;;;;1
Gloudemans;1;;;;;;;1
Goal Trainingen B.V.;;1;;;;;;1
Gobar Adviseurs B.V.;2;;;;;;;2
GoDataDriven B.V.;;1;;;;;;1
Godelieve Spaas Consultancy B.V.;2;;;;;;;2
Goedewaagen Gouda B.V.;1;;;;;;;1
Gom Schoonhouden;1;;;;;;;1
Gooiland B.V.;1;;;;;;;1
Gotcha Monitoring Systems;3;;;;;;;3
Goudappel Coffeng B.V.;7;;;;;;;7
Gr8 Nederland B.V.;1;;;;;;;1
Grafisch Buro van Erkelens B.V.;;1;;;;;;1
grand café Lebowski;1;;;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;1;;;;;;;1
Grand Kasteel Woerden B.V.;1;;;;;;;1
Grand Plage;1;;;;;;;1
Grandcafe Buena Vista;1;;;;;;;1
Grand-diner-café 't Boterhuis B.V.;1;;;;;;;1
Gravioli;1;;;;;;;1
Grazie Grazie B.V.;1;;;;;;;1
Green Earth Products;1;;;;;;;1
Green Multimedia Productions B.V.;1;;;;;;;1
Greengiving B.V.;1;;;;;;;1
Greenlight Solutions;3;;;;;;;3
Greensoft Design;3;;;;;;;3
GreyPOSSIBLE Amsterdam B.V.;5;;;;;;;5
Grizzly B.V.;1;;;;;;;1
GRM Expertises B.V.;2;;;;;;;2
Groeneveld Eten;2;;;;;;;2
Groeneveld Horeca B.V.;1;;;;;;;1
Grondslag B.V.;1;;;;;;;1
Groot Haarlem B.V.;1;;;;;;;1
Groot Melkhuis B.V.;1;;;;;;;1
GT-Advies;2;;;;;;;2
GVZ3 B.V.;1;;;;;;;1
H.C. de Vries Digitale Media;;1;;;;;;1
H.R. Guest Fotografie;1;;;;;;;1
H+N+S B.V.;2;;;;;;;2
H2H advies;2;;;;;;;2
H2O Job B.V.;1;;;;;;;1
Haai B.V.;2;;;;;;;2
Habermehl;1;;;;;;;1
Habitat Connect B.V.;1;;;;;;;1
Hacousto Security Systems;1;;;;;;;1
Haesje Claes B.V.;1;;;;;;;1
Hago Electronics;1;;;;;;;1
Hand. & Dienstverlening Mark van Oostenbrugge;1;;;;;;;1
Handels- en Verhuurbedrijf Krans B.V.;1;;;;;;;1
Handelsonderneming Henny van Ommeren B.V.;1;;;;;;;1
Hans Roggen Fotografie;1;;;;;;;1
Happy Meat B.V.;1;;;;;;;1
Harmelink Consulting & Projectmanagement;;2;;;;;;2
Harmsen Heftrucks B.V.;1;;;;;;;1
HaskoningDHV Nederland B.V.;7;;;;;;;7
Hatech Gasdetectietechniek B.V.;1;;;;;;;1
Haute Equipe;2;;;;;;;2
Havenbedrijf Rotterdam N.V.;12;;;;;;;12
Haverkamp & Bergers Project Communicatie;1;;;;;;;1
HeadFirst B.V.;;2;;;;;;2
Healthy Work/Active Ageing;;1;;;;;;1
Heart to Change;1;;;;;;;1
HeartMath BeNeLux B.V.;1;;;;;;;1
Hecla Professional Audio & Video Systems B.V.;1;;;;;;;1
Heemskerk Bloemisten;1;;;;;;;1
Hefmatic B.V.;1;;;;;;;1
Heijmans Utiliteit;2;;;;;;;2
Heijnen Infra Contractmanagement;1;;;;;;;1
Heldring Advies;1;;;;;;;1
Helen van Empel Managementondersteuning;2;;;;;;2;2
Helicon Conservation Support B.V.;;1;;;;;;1
Héman Verhuurservice B.V.;1;;;;;;;1
HemCom;1;;;;;;;1
Hemelrijk Lelystad B.V.;1;;;;;;;1
Henri Bloem's Wijnkoperij;1;;;;;;;1
HERE Europe B.V.;6;;;;;;;6
Hestair Aviation Consultancy;2;;;;;;;2
Het Gegeven Paard B.V.;1;;;;;;;1
Het Gezelschap 'Practische Studie';1;;;;;;;1
Het juridisch argument;2;;;;;;;2
Het Keringhuis;1;;;;;;;1
Het Kookplein;1;;;;;;;1
Het Lab grafisch ontwerpers B.V.;;1;;;;;;1
Het Muntgebouw-Utrecht B.V.;2;;;;;;;2
Het Nationaal Automobielmuseum;1;;;;;;;1
Het Nederlands Tekstbureau B.V.;1;;;;;;;1
Het NIC B.V.;2;2;;;;;;3
Het Nieuws van Apeldoorn;1;;;;;;;1
Het Nutshuis;1;;;;;;;1
Het Restaurant van Piet Hein Eek B.V.;1;;;;;;;1
Het Stempel No. 539 B.V.;1;;;;;;;1
Het Twickelerveld B.V.;;1;;;;;;1
Het Venster op Waterland;1;;;;;;;1
Heuvelman Sound & Vision B.V.;3;;;;;;;3
Hewlett-Packard Nederland B.V.;5;2;;;;;;5
HHV Consultancy B.V.;1;;;;;;;1
Hiemstra & De Vries B.V.;2;;;;;;;2
High Security International B.V.;1;1;;;;;;1
High&mighTEE;1;;;;;;;1
Hillsafety B.V.;1;;;;;;;1
Hiltra Verhuur B.V.;1;1;;;;;;1
Hinowa Nederland B.V.;1;;;;;;;1
HKV Lijn in Water B.V.;4;;;;;;;4
HLB Van Daal & Partners N.V.;;2;;;;;;2
Hobru Wegenonderhoud B.V.;1;;;;;;;1
Hoekstra & Partners Notarissen Utrecht B.V.;1;;;;;;;1
Hoeve Buitenlust;1;;;;;;;1
Hoeve Rosa;1;;;;;;;1
Hoffmann Bedrijfsrecherche B.V.;1;2;;;;;;2
Hofstad Tours B.V.;1;;;;;;;1
Hogeschool VHL;2;;;;;;;2
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;1
Holding D. Sijmons B.V.;1;;;;;;;1
Holland Floor International B.V.;2;;;;;;;2
Holland Floor Projectstoffering B.V.;2;;;;;;;2
Holland Maritime Services B.V.;1;;;;;;;1
Holland Mast B.V.;1;;;;;;;1
Holland Service Koeriers C.V.;1;;;;;;;1
Hollandse Hoogte B.V.;2;1;;;;;;2
Hollandse Telecommunicatie Maatschappij;1;;;;;;;1
Hollandsouvenirshop;1;;;;;;;1
Holscher-Bebakening;1;;;;;;;1
Hoogteyling BNO;1;;;;;;;1
Horeca Exploitatie in De Doelen B.V.;1;;;;;;;1
Horeca Onderneming Buiten Eten + Drinken;1;;;;;;;1
Horecaexploitatie Nobis Asten B.V.;1;;;;;;;1
Horecapa B.V.;2;;;;;;;2
Horecaservice Beesd B.V.;;1;;;;;;1
Horvat & Partners B.V.;1;;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;1;;;;;;;1
Hotel Contact B.V.;6;;;;;;;6
Hotel De Vigilante;1;;;;;;;1
Hotel Leeuwarden Centre B.V.;1;;;;;;;1
Hotel New York B.V.;1;;;;;;;1
Hotel Post Plaza B.V.;1;;;;;;;1
Hotel Vianen B.V.;1;;;;;;;1
Hotel Zaan Inn B.V.;1;;;;;;;1
Hotel Zaanstad B.V.;1;;;;;;;1
Hotel-Café-Restaurant De Stadsherberg;1;;;;;;;1
Hotelexpl.mij. Stationsstraat Amersfoort B.V.;1;;;;;;;1
Hotelschool The Hague;1;;;;;;;1
House of Lords B.V.;1;;;;;;;1
House of Performance B.V.;2;;;;;;;2
House of Sports;1;;;;;;;1
Houthoff Buruma London;3;1;;;;;;3
Hoveniersbedrijf Kees de Bruin B.V.;1;;;;;;;1
HowAboutYou B.V.;;1;;;;;;1
HS Events B.V.;1;;;;;;;1
HSK Interventie B.V.;1;;;;;;;1
HTCE Site Management B.V.;1;;;;;;;1
HTM Specials;1;;;;;;;1
HTMC Holding B.V.;1;;;;;;;1
Hugo van der Steenhoven;1;;;;;;;1
Huize Molenaar B.V.;2;;;;;;;2
Huizer Bouw B.V.;3;;;;;;;3
Hulskamp Audiovisueel Zwolle;1;;;;;;;1
HumanCapitalCare B.V.;2;;;;;;;2
Humor werkt producties;1;;;;;;;1
Hurts Support;3;;;;;;;3
Hutten Business Catering B.V.;1;;;;;;;1
Hutten Catering B.V.;2;;;;;;;2
HVB Communicatie;2;;;;;;;2
HVB Technisch Advies en Uitvoering;1;;;;;;;1
HVR PA/PR;3;;;;;;;3
Hydrologic B.V.;1;;;;;;;1
I & O Research B.V.;4;;;;;;;4
IASAS;1;;;;;;;1
IBA Parkstad B.V.;3;;;;;;;3
IBG Advies;1;;;;;;;1
IBM Nederland B.V.;;;;;;4;;4
Ibuildings.NL Zeeland B.V.;1;;;;;;;1
ICM Opleidingen & Trainingen B.V.;1;1;;;;;;1
Ideate;2;;;;;;;2
Idee en Ontwerp Grafische Vormgeving;1;;;;;;;1
Identity Design B.V.;2;;;;;;;2
IFS Interim B.V.;5;;;;;;;5
Igluu B.V.;1;;;;;;;1
IHC Holland B.V.;1;;;;;;;1
IJmond Tours;1;;;;;;;1
IJsberg Holding B.V.;2;;;;;;;2
Imageselect B.V.;1;;;;;;;1
Imagine Factory Productions B.V.;1;;;;;;;1
Imagro B.V.;1;;;;;;;1
Immolab B.V.;1;;;;;;;1
Imouse B.V.;1;;;;;;;1
Impact Company;1;1;;;;;;1
ImpactAbility;1;;;;;;;1
Impero Romano Holding B.V.;1;;;;;;;1
Impromex Technics B.V.;1;;;;;;;1
Improofit;2;;;;;;;2
Imtech Building Services;2;;;;;;;2
Imtech Infra Data B.V.;4;;;;;;;4
In2Content B.V.;4;2;;;;;;4
in60seconds B.V.;4;;;;;;;4
Incasso en Adviesbureau Vmp & Partners B.V.;1;;;;;;;1
Incensio B.V.;2;;;;;;;2
Incentive Promotions B.V.;1;;;;;;;1
Incentro Nederland B.V.;;1;;;;;;1
Indisch Restaurant Garoeda;1;;;;;;;1
Indoor Skydive N.V.;1;;;;;;;1
Infinity;;1;;;;;;1
Info Trace;2;;;;;;;2
Infoplaza B.V.;;2;;;;;;2
Infoprojects;2;;;;;;;2
Informaat B.V.;4;;;;;;;4
Informatiebord.nl B.V.;1;;;;;;;1
Infotrading B.V.;1;;;;;;;1
Infra Assistance B.V.;1;;;;;;;1
Infram B.V.;7;;;;;;;7
Infraspeed B.V.;13;;;;;;;13
Inge Diepman B.V.;1;;;;;;;1
INIS VITRIN B.V.;2;;;;;;;2
Initio DBK B.V.;2;;;;;;;2
Innergo B.V.;4;;;;;;;4
Inno-V B.V.;1;;;;;;;1
Innovactory International B.V.;3;;;;;;;3
Innovatie en Duurzaamheid B.V.;3;;;;;;;3
Innovatie Groep Nederland;3;;;;;;;3
Innovero Software Solutions B.V.;;1;;;;1;;1
Inntel Hotels Rotterdam Centre;2;;;;;;;2
InOtherWords;;1;;;;;;1
Inretail;1;;;;;;;1
Inscene Company B.V.;1;;;;;;;1
Insites Consulting;2;1;;;;;;2
Inspiration Company Nederland B.V.;1;;;;;;;1
Inst. voor Onderzoek der Zee;1;;;;;;;1
Installatiebedrijf J.C. Barendse;1;;;;;;;1
Installatiebedrijf Van Dijk B.V.;1;;;;;;;1
Instituut Maatschappelijke Innovatie;;1;;;;;;1
instituut voor;;1;;;;;;1
Instituut voor Psychotrauma Nederland B.V.;2;;;;;;;2
Instituut voor Veiligheid en Milieu B.V.;1;;;;;;;1
Int. Vereniging van Stedebouwkundigen;1;;;;;;;1
IntellinQ B.V.;2;;;;;;;2
Inter Access O.P. B.V.;1;;;;;;;1
Inter Act Industrial Automation B.V.;2;;;;;;;2
Inter Boat Marinas B.V.;1;;;;;;;1
Interactive Robotics B.V.;1;;;;;;;1
Interexcellent Executive Search B.V.;2;;;;;;;2
Intergo B.V.;2;;;;;;;2
Intermontage;1;;;;;;;1
Internet New Business Concepts B.V.;1;;;;;;;1
Internetbureau Haboes B.V.;1;;;;;;;1
Intersafe Groeneveld B.V.;1;1;;;;;;1
Intertek Polychemlab B.V.;1;2;;;;;;2
Investm. in Sustainable Innovations (I.S.I.);1;;;;;;;1
IPMA Certificering B.V.;1;;;;;;;1
Ir. H.J. VD Wolfshaar Consulting & Coaching;2;;;;;;;2
Iris Fotowerk;1;;;;;;;1
Iris-International;1;;;;;;;1
Iron Mountain Nederland B.V.;2;1;;;;;;2
ISC B.V.;2;;;;;;;2
ISRIC;3;;;;;;;3
ISS Catering Services B.V.;1;;;;;;;1
IT Company B.V.;1;;;;;;;1
IT Security eXperts B.V.;1;;;;;;;1
IT Visors ECM B.V.;3;;;;;;;3
ItaQ;3;2;;;;2;;4
Itera B.V.;;;;;;1;;1
ITS Hendrion B.V.;1;;;;;;;1
IT-Staffing Nederland B.V.;2;5;;;;;;5
IVENGI Enterprise B.V.;2;;;;;;;2
IV-Infra B.V.;1;;;;;;;1
Ivo Broekhuizen Communicatie;2;;;;;;;2
J. Feitsma Tuinaanleg en Groenvoorziening;1;;;;;;;1
