Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
Pakhuis De Zwijger;;;;;1;;1
Pan Café Restaurant;;;;1;;;1
Panorama Mesdag;;;;;1;;1
Paradijs Jasmijn Garden Restaurant Wok;;;;1;;;1
Parkhotel;;;;;1;;1
Pastoor Communicatietrainingen;;;;;;1;1
Paul Verhuurbedrijf;;;;;1;;1
Pavlov Bar Restaurant;;;;;1;;1
PBLQ (HEC, ROI, Zenc);;;;;1;;1
PBN-Management Muziekprodukties;;;;;1;;1
PEAC Educatief Advies en Communicatie;;1;;;;;1
Perfect Direct Mail;;;;;;2;2
Peter Valkema Communicatie;;;1;;;;1
Phaff Export Marketing;;;;;1;;1
Photo Republic;;;;;1;;1
Pim's Olifant;;;;;1;;1
Pink Pepper;;;;;1;;1
Pinkcube;;;;;1;;1
Pino Productions;;;;;2;;2
Plaggemars & Co Incassobureau;;1;;;;;1
Platform Formalities Officers;;1;;;;;1
Podium Communicatie;;;;;1;3;3
Point To Point Communicatie;;;;;2;5;5
Polder Horeca;;;;;1;;1
Polman's Café-Restaurant;;;;;1;;1
Pondres Distributie;;;;;;2;2
Port4Growth Services;;;;;3;;3
PPO Praktijkonderzoek Plant & Omgeving;;;;;1;;1
Primera;;;;1;;1;1
Priva (incl. Meiny Prins);;;;;1;;1
Project B-Amsterdam B.V.;;;;;1;;1
Prolocation;;;;;;1;1
Prominent Greenhouse Academy B.V.;;;;;1;;1
Property Nl;;1;;;;;1
Prorest Catering;;;;1;;;1
PSPS Export & Investment Services;;;;;2;;2
Publicount;;1;;;;;1
Publitas Holding B.V.;;1;;;;;1
Quintor;;;;;1;;1
R. Voorwinden;;;;;;1;1
R.L. Showequipment;;;;;;1;1
Raccourci Ver(taal)bureau;;;;;2;;2
RAI Amsterdam;;;;;2;;2
Randstad Group (incl. Tempo Team, P/Flex);;;;;;1;1
RB&W;;1;;;;;1
RCG Reprografisch Centrum Groningen;;;;;;1;1
RCM Products;;;;;;1;1
RDM Campus;;;;1;;;1
RDMG Uitgeverij;;1;;;;;1
Rederij Lovers;;;;1;;;1
Rederij 't Smidtje;;;;1;1;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;1;;;;;1
Regardz (incl. Iassociate);;;;;1;;1
Remunj Personeelsvereniging;;;;1;;;1
Rena Productions;;;;;1;;1
Rendement;;1;;;;;1
Rescon Research & Consultancy;;;;;;1;1
Restaurant 'De Liskoel';;;;1;;;1
REW Productions;;;;;;2;2
Rikilt Instituut Voor Voedselveiligheid;;1;;;;;1
Rikkers infographics;;;;;;1;1
Ristorante Da Nello B.V.;;;;1;;;1
rob en niets anders;;;;;1;;1
Robert Goddijn Photography;;;;;;1;1
Roel Rozenburg Fotobureau;;;;;;1;1
Roodbont Publishers;;1;;;;;1
Ropeni (incl. Schlemmer);;;;;1;;1
RW Media;;;;;;3;3
Sabel Communicatie;;;;;;1;1
Sandd;;;;;;6;6
Sanders Tweewielers;;;;;1;;1
Sandton Hotels (incl. Sandton Malie Exploit.);;;;;1;;1
Santos Grillrestaurant;;;;1;1;;1
Satcomm;;;;;;1;1
Saturday Investment;;;;1;;;1
SBRCURnet Stg Bouwresearch;;1;;;;;1
Schimmelpenninckhuys Hotel Restaurant;;;;1;;;1
Screenhouse Textieldrukkers;;;;1;1;1;2
Scripta Media;;;;;;1;1
SDU - Service Centrum Uitgevers;;2;;;;;2
Secumar Benelux;;;;;;1;1
Security Press;;1;;;;;1
Seinen Projectontwikkeling;;;;;1;;1
Sendsteps;;;;;1;;1
Sense Organisatie & Coaching;;;;;1;;1
Sepawa Afdeling Nederland;;1;;;;;1
Siebe Swart Fotografie;;;;;;1;1
Siere Cateraars;;;;;1;;1
Siletsy Asperen Holland;;;;;1;;1
Simone van Trier Presentaties;;;;;1;;1
Sizzling Wok Restaurant;;;;1;;;1
Sjaalman Media;;;;;;2;2
Skils;;;;;;1;1
Slagerij Cox;;;;1;1;;1
Smart Media Publishing Holland;;;;;;2;2
Smetsers Oirschot;;;;;1;;1
Smidswater;;;;;;2;2
Snoek Promo;;;;1;1;;1
Societeit De Witte Nieuwe of Litteraire;;;;;1;;1
Sodexo;;;;1;1;;1
Soundfocus;;;;;;1;1
Spacelinq;;;;2;;;2
SpaceNed (NISO);;;;1;;;1
SPB - Stichting Projecten Binnenvaart;;;;;1;;1
SpelenderWijs Projecten;;;;;1;;1
Spitz Congres & Event;;;;;2;;2
Staats Interactive B.V.;;;;;;2;2
Stadion Amsterdam;;;;;1;;1
Stads Koffy Huis;;;;1;;;1
Stadspoort Philips Fruittuin B.V.;;;;;1;;1
Staples (incl. Advantage, Corporate Express);2;;;;1;;2
Sterrenlab;;;;1;;;1
Stg De Meenthe;;;;1;;;1
Stg Differential Satellite Navigation Systems '93;;;;;1;;1
Stg Duurzame Scholen;;;;;;1;1
Stg Greenport Holland International;;;;;3;;3
Stg Planet Prosperity Foundation;;;;;1;;1
Stg Platform Bio-Energie;;;;;1;;1
Stg. Fietsersbond ENFB Projektburo Amsterdam;;;;;1;;1
Stichting Amsterdam Economic Board;;;;;1;;1
Stichting BE Basic;;;;;4;;4
Stichting Beheer Mariapark Sittard;;;;1;;;1
Stichting Bestuursbureau Noorderlink;;;;;2;;2
Stichting Centraal Bureau Voor Schimmelcultures Odo van Vloten;;1;;;;;1
Stichting Dag van Het Schaap;;;;;1;;1
Stichting De Balie;;;;;1;;1
Stichting De Groene Grachten;;;;;;1;1
Stichting Dutch & Japanese Trade Federation;;;;;;1;1
Stichting Food Floral Fashion;;;;;2;;2
Stichting Food Valley;;;;;4;;4
Stichting Groen Gas Nederland;;;;;2;;2
Stichting Het Nationale Park De Hoge Veluwe;;;;;1;;1
Stichting Holland High Tech;;;;;2;;2
Stichting Internationale Bloemententoonstelling Keukenhof;;;;;1;;1
Stichting Japan Festival;;;;;1;;1
Stichting Kenniscentrum Plantenstoffen;;;;;1;;1
Stichting Nederlands-Afrikaans Centrum Voor Handelsbevordering;;;;;1;;1
Stichting Noordwijk Space Expo;;;;1;1;;2
Stichting ODE-projecten;;1;;;;;1
Stichting Promotie Deventer Musea;;;;1;;;1
Stichting Radio Nederland Wereld Omroep;;;;;1;;1
Stichting TKI-EnerGO;;;;;1;;1
Stichting We@Sea;;;;;1;;1
Streetball Groningen;;;;;;1;1
Studentenfonds Koninklijk Conservatorium;;;;;1;;1
Studio Linksboven;;;;;1;;1
Studiodet Grafische Vormgeving;;;;;;1;1
Swets Info Services (incl. Blackwell, Zeitlinger);;1;;;;;1
Synack;;;;;1;;1
Synpact;;;;;6;;6
't Hoogt Horeca, Filmtheater;;;;;1;;1
't Huys van Bunne;;;;1;;;1
T.M.C. Asser Instituut;;;;;1;;1
Taalcentrum-Vu;;;4;;1;;4
Taartenland.nl;;;;1;;;1
Taartenwinkel.nl;;;;1;;;1
Taat & De Regt;;;;;1;;1
Tabula Rasa;;;;;;1;1
Tairona;;;1;;;;1
Taluut;;;;;;1;1
Taxi 312000;;;;;;1;1
TBLI Conference B.V.;;;;;1;;1
Teka Groep;;;;;1;;1
Tekstwerk Timmermans;;;;;;1;1
Telecom Paper;;2;;;;;2
Telltale Windparken;;;;;1;;1
Ter Doest Vertaalbureau;;;2;;;;2
The Inside;;;;;2;;2
The Punchy Pack;;;;;1;;1
Theaterhotel De Oranjerie;;;;1;;;1
Thedge B.V.;;;;;;1;1
Theeschenkerij het Koetshuis;;;;1;;;1
Thermen Bussloo B.V.;;;;1;;;1
Thomson Reuters;;1;;;;;1
Three Kings Produkties;;;;;1;;1
tHUIS aan de Amstel;;;;;1;;1
Tigges Strategie Concept Ontwerp, Consultancy en Management;;;;;;3;3
TMG - de Telegraaf Media Group;;1;;;;;1
TNO;;;;;4;;4
TNS-NIPO;;;;;;2;2
Today Designers;;;;;;3;3
Tom van Dijk;;;;;;1;1
Tomato World;;;;;1;;1
Ton Kastermans Fotografie;;;;;;1;1
Ton Persoon;;;;;;2;2
Topbloemen Nederland;;;;1;;;1
Total Identity, Total Public;;;;;;2;2
Tower Leisure (Haagse Toren);;;;;1;1;1
Tracteur;;;;;1;;1
Transaction Technologies;;;;;;1;1
Transfer Holding B.V.;;;;;2;;2
Trimension;;;;;2;;2
Trossen Los Grafische Communicatie;;;;;;2;2
TSM Business School;;;;;2;;2
Tuindorphotel 't Lansink;;;;;;1;1
Tuvalu Media;;;;;;1;1
TWiN-design;;;;;1;;1
Uit je eigen stad;;;;;1;;1
Unesco IHE;;;;;1;;1
UPC Nederland;;1;;;;;1
Usine Eindhoven;;;;;1;;1
V. Molnár;;;1;;;;1
V.O.F. Kaashandel Peters;;;;;1;;1
V2C2;;;;;;2;2
Valerie Kuypers Fotografie;;;;;;1;1
Van der Linde Catering + Evenementen;;;;;1;;1
Van der Oest Bloemsierlijk;;;;1;;;1
Van der Valk Hotels;;;;1;;;1
Van Stockum;;1;;;;;1
Van Stockums Veilingen;;1;;;;;1
Van Tiggelen Tekst & Communicatie;;;;;;2;2
Van Vlier Media;;;;;;1;1
Vandelinde Consulting B.V.;;;;;;1;1
Var Ver Voor Bestuursrecht;;1;;;;;1
VCK Groep, Travel & Logistics;;;;;1;;1
Veentjer Guided Tours;;;;;1;;1
Vegetarische Slager Catering;;;;;1;;1
Veldkamp Mediaonderzoek, Marktonderzoek;;;;;;1;1
Vereniging BVF Platform;;1;;;;;1
Vereniging Fme-Cwm;;;;;5;;5
Vereniging Nederlandse Wind Energie Associatie;;;;;1;;1
Vereniging tot Behartiging van de Belangen van Nederlandse Lucht- en;;;;1;;;1
Vereniging VNO-NCW;;1;;;1;;1
Vereniging Voor Agrarisch Recht;;1;;;;;1
Vereniging voor Intellectuele Eigendom;;1;;;;;1
Vereniging Voor Oppervlaktetechnieken van Materialen;;;;;1;;1
Vereniging Voor Overheidsmanagement;;;;;;1;1
Verheug (De Beleving);;;;1;;;1
Verizon Nederland (incl. VB Verizon Business);;;;;;1;1
Verkeersgroep 't Hogeland;;;;;;1;1
Vermaat Leisure, Horeca, Service;;;;;1;;1
Vertaalbureau Perfect;;;1;;;;1
Vide Beroepsvereniging;;1;;;;;1
Vincenzo B.V.;;;;1;;;1
Vino Vero;;;;1;;;1
Visibles Presentatiesystemen;;;;1;;1;1
Visscher Verhuur Zwolle;;;;;1;;1
Visserijnieuws;;1;;;;;1
Vizualism/Frephitophe;;;;;;1;1
VMR Vereniging voor Milieurecht;;1;;;;;1
VNU Exhibitions;;;;;2;;2
Vodafone (incl. Libertel);;;;;;2;2
Voor Nieuws!;;;;;;1;1
Voxx Communicatie-Adviseurs;;;;;;6;6
VVK Vereniging Voor Klachtrecht in De Publieke Sector;;1;;;;;1
VVM Netwerk van Milieuprofessionals;;1;;1;1;;1
Webhand Redactie en Advies;;;;1;;;1
Webmanagement.nl;;;;;;1;1
Webservices.nl;;1;;;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;;1;;1;1
Wemekamp's Loonbedrijf;;;;1;;;1
Wereldhaven Festival St.;;;;;1;;1
Werkgemeenschap Octrooi-Informatie Nederland;;;;;1;;1
Westmedia Production;;;;;;2;2
Widexs;;;;;;1;1
Wiebe Kiestra Fotografie;;;;;;1;1
Willem Nijeboer Producties;;;;;;1;1
Willem Post Amerika Centrum;;;;;1;;1
Wirelab Creative;;;;;;3;3
Wolters Kluwer (incl. Kluwer);;1;;;;;1
Wortgewandt;;;1;;;;1
Wouter Kurpershoek Media;;;;;;1;1
WTC Expo, Horeca, Hospitality;;;;;1;;1
www.Meesterlijk.nl;;1;;;;;1
XPatMedia;;;;;1;;1
Yellow Communications;;;;;1;;1
YES!Delft B.V.;;;;;1;;1
YuMe Sushi & Grill;;;;1;;;1
YveY Events;;;;;1;;1
Zaans Museum;;;;;1;;1
Zeevonk Grafisch Ontwerp;;;;;;2;2
Ziggo (vh Casema);;1;;;;1;1
Zilt & Co Vetimpleg;;1;;;;;1
Zilt Aan Zee;;;;;1;;1
Zoom Media;;2;;;;;2
Eindtotaal;2;7;5;4;8;7;9
