leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4-Diensten en middelen
Taste the Wine Bar;;1;;;;;;;;1
Te Werve Landgoed;;1;;;;;;;;1
Team Reacon;;;;;;;;1;;1
Team Relocations, Project Verhuizers;;;;;;;;1;;1
Techno Security Systems;;;1;;;;;;;1
Technogym the Wellness Company;;;;;;;;;1;1
Teico Service;;;;1;;;;;;1
Teka Groep;1;;;;;;;;;1
Telecom Service Groep;;;1;;;;;;;1
Tensen 2 Wielers Westland;;;;;;;;;1;1
Testo;;;;;;;;;1;1
Tetterode Nederland;;;;;;;;;1;1
The Peppermill Zwolle;;1;;;;;;;;1
Things To Make And Do;;;;;;2;;;;2
TipTop Fashion;;;;;;;;;1;1
Topa Verpakking;;;;;;1;;;;1
Topbloemen Nederland;;;;;;;;;1;1
Tornado International;;;;;;1;;;;1
Total Identity, Total Public;;;;;;4;;;;4
Tower Leisure (Haagse Toren);;1;;;;;;;;1
TPF Inkoopservice;;;;;;1;;;;1
Trefzeker Partyverzorging & Verhuurservice;1;;;;;;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;;8;;;;;;;8
TSA Top Serv All-Roundpreventie;;;2;;;;;;;2
TVVL Nederlandse Technische Vereniging;1;;;;;;;;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;1;;;;;;;;1
Tyrilo (incl. Oscars restaurant);;1;;;;;;;;1
Uit koken / Diner Thuis;;1;;;;;;;;1
United Fish Auctions;1;;;;;;;;;1
USB Factory;;;;;;;;;1;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;;;;;5;;;;5
UW Holding incl. Flora;;;;;;;;3;;3
Valid Express;;;;;1;;;;;1
Van As Drukkerij;;;;;;2;;;;2
Van Brummen Consultancy;;;1;;;;;;;1
Van den Hoven Schoenen;;;;;;;;;1;1
Van der Plas Meubel & Projekt;;;;;;;;4;;4
Van der Valk Hotels;;1;;;;;;;;1
Van der Velde 't Veentje Verhuizingen;;;;1;;;;;;1
Van Deventer Drukkerij;;;;;;4;;;;4
Van Dijk Zakelijk (incl. Selexyz, Donner, Scholtens, Scheltema, Kooyker, de Tille, Gianotte, Broese,...);;;;;;;;;4;4
Van Duijnen Koffie;;5;;;;;;;;5
Van Duuren Security;;;1;;;;;;;1
Van Gansewinkel;;;;;;;5;;;5
Van Kleef Jenevers, Likeuren, Bitters;;1;;;;;;;;1
Van Randwijk Paperflow Solutions;;;;;2;;;;;2
Van Zwanenburg Handelmaatschappij, Projekten;;1;;;;;;;;1
Veneco Telecommunicatie & Beveiliging;;;1;;;;;;;1
Verhuurbedrijf Zuid-Holland;;1;;;;;;;;1
VERS SHOP DE NIEUWE MARKT;;1;;;;;;;;1
Versteden Papier;;;;;;;;;1;1
Viking;;;;;;;;;1;1
VindiQ Office;;;;;;;;;1;1
Vink Lisse;;;;;;;;1;1;1
Viteau Watercoolers (incl. Viteau Direct);;;;;;;;;1;1
Vizualism/Frephitophe;;;;;;2;;;;2
VKP Beveiligingstechniek B.V.;;;;;;;;1;;1
Vorm Vijf Ontwerpteam;;;;;;2;;;;2
Walrecht;;;;;;;;;1;1
Waterlogic/Watercompany International;;1;;;;;;;;1
WDV Bedrijfskleding;;;;;;;;;1;1
Webo Promotion;;;;;;;;;1;1
Weka Uitgeverij;;;;;;1;;;1;1
Wifac (vh PDF Diensten&Systemen);;;;;;1;;;;1
Wijnkoperij Henri Bloem;;1;;;;;;;;1
Wilkens C S Overheidsvertalingen;;;;;;1;;;;1
Wissink's Bakkerij en Lunchroom;;1;;;;;;;;1
Wittebrug Autogroep;;;;;;;;;1;1
WMF;;1;;;;;;1;;1
Woudschoten Conferentiecentrum;;1;;;;;;;;1
XDialogue BV;;;;;;2;;;;2
Xerox;;;;;;4;;;1;4
Xtandit;;;;;;1;;;1;1
Zaalverhuur 7;;1;;;;;;;;1
Zalsman;;;;;;6;;;;6
Zeefdrukkerij Bieling (Stickers.nl);;;;;;1;;;;1
Zilvoldhf;;2;;;;;;;;2
Zin Kloosterhotel;;1;;;;;;;;1
Eindtotaal;4;8;9;8;4;7;5;8;7;10
