Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4-Diensten en middelen
Kwintet;2;;;;;;5;4;6
L&S Artprint Verhuur;;;;;;;1;;1
La Galleria;1;;;;;;;;1
LAAGLAND COMMUNICATIE;;;;;2;;;;2
Lancker Wolters Beveiliging&ICT;;1;;;;;;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);2;;;;;;;;2
Landgoed Groenhoven;1;;;;;;;;1
Landgoed Huize Bergen;1;;;;;;;;1
Las Palmas Visrestaurant;1;;;;;;;;1
Lasaulec;;;1;;;;;;1
Latynse School Stichting;1;;;;;;;;1
Laundry Handelsond;;;;;;;;1;1
Laverbe;;;;;1;;;;1
Le Strasbourg;2;;;;;;;;2
Learn It;1;;;;;;;;1
Lejeune Multi Electra;;1;;;;;;;1
LEMON INNOVATION;;;;;2;;;;2
Lensen Projectinrichters;;;;;;;1;;1
Leylines;1;;;;;;;;1
LIEVENS COMMUNICATIE;;;;;4;;;;4
Lifoka Kopie en Print;;;;;1;;;;1
Lijn 43;;;;;1;;;;1
Linde Gas (incl. Cryoservice en Therapeutics);;;;;;;;1;1
Link Art Company;;;;;;;1;;1
LMCG;;;;;1;;;;1
LODGE25;1;;;;;;;;1
Logies De Tabaksplant;1;;;;;;;;1
LOMAN-FONTEINE;1;;;;;;;;1
Lübeck Grand Café Exploitatie;;;;;;;1;;1
Luden Restaurant&Brasserie;1;;;;;;;;1
Lunch-Express Zaanstad;1;;;;;;;;1
Luxe Bakkerij D. Ten Hoopen;;;;;1;;;;1
Lyreco Nederland (vh Ahrend Office Products);1;;;;;;;6;6
M.B. Veenswijk Holding;1;;;;;;;;1
Maas Internationaal - Koffieautomaten;2;;;;;;;;2
Madurodam;3;;;;;;;;3
Maesstede Catering;1;;;;;;;;1
Magneet Grafische Communicatie;;;;;1;;;;1
Main;;;;;;1;;;1
Main Sales;;;;;1;;;1;1
MAINNOVATION;1;;;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);1;;;;;;;1;1
Maison Louis B.V.;;;;;;;;1;1
Makeblijde;1;;;;;;;;1
Management Drives Opleidingen;3;;;;1;;;;3
Manutan (vh Overtoom International);;;;;;;1;3;3
Martens Havenontvangsinstallatie;;;;;;1;;;1
Mavention;;;;;3;;;;3
MD Techniek;;;;;;;;1;1
Medemblik Hotel (incl Het Wapen van Medemblik);1;;;;;;;;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;;;;;;;1;1
Media Markt;;;;;;;;1;1
Medicall Life Support;;;;;;;1;;1
MEET AND C B.V.;1;;;;;;;;1
Meeting Plaza;2;;;;;;1;;2
Meetinglinq;;;;;;;;1;1
MEIJER & SIEGERS BOEK- EN;;;;;;;;1;1
Meltwater the Netherlands;;;;;;;;1;1
MET INHOUD COMMUNICATIE;;;;;1;;;;1
Metos Kitchen Intelligence;;;;;;;;2;2
Metrohm Applikon;;;;;;;;1;1
METT;;;;;1;;;;1
MGP/Arnopress;;;;;;;;1;1
MIDTEX;;;;;;;1;;1
Miedema Edelstomerij;;;;;;;1;;1
MII;;;;;;;;2;2
Mijs Cartografie en Vormgeving;;;;;2;;;;2
Mikropakket Nederland;;;;1;;;;;1
MINDBENCH ACTIVE MEDIA;;;;;;;;1;1
MINERALS EN CHEMICALS ASSISTENCE;;;;;;1;;;1
Misco Nederland;;;;;;;;1;1
Misco Solutions (vh SCC Services);;;;;;;;1;1
Mitland Hotel;1;;;;;;;;1
Mk2 Visuele Media;;;;;;;;1;1
MKB KANTOORARTIKELEN B.V.;;;;;1;;;;1
Modelec Data-Industrie;;;;;;;;1;1
Moeleker Custom Cooking;1;;;;;;;;1
Molecaten Horeca;1;;;;;;;;1
Mooii Restaurant;1;;;;;;;;1
MSKI;;;;;4;;;;4
Mts voor Communicatie;;;;;5;;;;5
MULTI CARTOGRAFIE;;;;;;;;1;1
Multi Post Nederland;;;;;;;;1;1
Multicopy (incl. Andre Cossee);;;;;1;;;;1
Multimedia Baarn (De Vries & Co);;;;;;;;1;1
Museum Catering;1;;;;;;;;1
Museum Catharijneconvent;1;;;;;;;;1
Museum Sterrenwacht Sonnenborgh;1;;;;;;;;1
Museum voor Communicatie;1;;;;;;;;1
Museumkwartier;1;;;;;;;;1
MV Mart Visser Design;2;;;;;;;;2
Mwee;;;;;;;;1;1
MWH;;;;;;;2;;2
Nadrukkelijk;;1;;;;;;;1
Nationale Beeldbank;;;;;1;;;;1
Navacqs (incl. Verzegelingenshop.nl);;;;;;;;1;1
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;3;;;;;;;;3
Nederlandsch Octrooibureau;;1;;;;;;;1
Nederlandsche Uitgeversmaatschappij;1;;;;;;;;1
Nederlandse Zouthandel;;;;;;;;1;1
Neopost (incl. Neopost Finance);;;;1;;;;;1
Nestle Waters Direct (incl. Nutrition, Aqua System);1;;;;;;;1;1
New Babylon Meeting Center;2;;;;;;;;2
New Sin Guang;1;;;;;;;;1
Next Kitchen;1;;;;;;;;1
NH Hotels (incl. Nhow hotels);2;;;;;;;;2
Nic Best Deal;1;1;;;;;;1;1
Nico Transport;;;;;;1;;;1
Nieuwspoort;1;;;;;;;;1
Niscayah Stanley Security Nederland;;1;;;;;;;1
NonFood4Profs;;;;;;;;1;1
Noordeinde Horeca;1;;;;;;;;1
Noordhoek Uitgeverij;;;;;;;;1;1
Nooter;;1;;;;;;;1
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);1;;;;;;;;1
NSOB Nederlandse School Voor Openbaar Bestuur;;;;;;;;1;1
NVD Beveiligingen;;1;;;;;;;1
NVS Nederlandse Vereniging voor Stralingshygiene;;;;;;;;1;1
OBM Ongedierte bestrijding Maarssen;;;;;;1;;;1
OBN Ongedierte Bestrijding Nederland;;;4;;;;;;4
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;2;;;;2
OCLC (incl. PICA);;;;;;;;1;1
Office Depot (incl. Viking Direct, vh Guilbert);;;;1;;;;1;1
Officenter Maastricht;1;;;;;;;;1
OFFSETDRUKKERIJ HAVEKA;;;;;1;;;;1
Olssen;;;;;;;2;;2
Omrin;;;;;;1;;;1
On Board On Shore;1;;;;;;;;1
Onder De Luifel Catering & Partyservice;1;;;;;;;;1
ONEforONE;1;;;;;;;;1
Only Human Recruiting en Consulting;;;;;3;;;;3
Op Ten Noort Blijdiensten;;;;;;;3;;3
Openbare Bibliotheek Amsterdam;1;;;;;;;;1
Opgeleid Persoon;;1;;;;;;;1
Ordina (incl. Be Value, Clockwork);;;;;2;;;1;2
Oud London Catering-Hotel-Restaurant;1;;;;;;;;1
Oud Poelgeest;1;;;;;;;;1
Oudaen Stadskasteel;2;;;;1;;;;2
Oud-Katholieke Kerk van Nederland;1;;;;;;;;1
Paagman Kantoorbenogigdheden;;;;;;;;1;1
Pakhuis De Zwijger;2;;;;;;;;2
Papyrus Groep;;;;;4;;;1;4
Paradijs Chinees Restaurant;1;;;;;;;;1
Paragon;;;;;;;;1;1
Pardon Consult (vh Wassenaar Consult);;;;;;;;1;1
Park Plaza;2;;;;;;;;2
Parkhotel;1;;;;;;;;1
PARTNERS 4 PARTNERS;1;;;;;;;;1
Partycentrum Open Huis;1;;;;;;;;1
Paviljoen De Colonie;1;;;;;;;;1
Paviljoen de Leyen;1;;;;;;;;1
PBN Sport & Adventure;1;;;;;;;;1
PBT Beveiliging en Telecom;;1;;;;;;;1
Pensioen Fonds Metaal en Techniek;;;;;;;1;;1
Peoples Republic;;;;;3;;;;3
Peter's Partyservice;2;;;;;;;;2
PFAUTH LOGISTIEKE DIENSTVERLENERS;;;;1;;;;;1
Philips Electronics Nederland;1;;;;;;;;1
Platform P;;;;;1;;;;1
PLUS HOLDING;;;;;1;;;;1
POL VAN DER AUTOVERHUUR;1;;;;;;;;1
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;;;;;;;1;1
Polanen Slijterij en Supermarkt;1;;;;;;;;1
Polman's Café-Restaurant;1;;;;;;;;1
Pondres Distributie;;;;;;;;1;1
Poortvliet Fotografie;;;;;1;;;;1
PORTAAL LEIDEN;1;;;;;;;;1
Portaal van Vlaanderen Terneuzen;1;;;;;;;;1
Post technische groothandel;;;;;;;1;1;1
Postillion Hotels;1;;;;;;;;1
PostNL (incl. TNT Post);;;;1;;;;;1
Postpapier Enzo;;;;;;;;1;1
Pots Bakkerij;1;;;;;;;;1
PRESSISION B.V.;;;;;;;;1;1
Print and Press;;;;;1;;;;1
PROFISCORE;;;;;;;;1;1
Pronk Ontwerp;;;;;;;2;;2
Proteon Communication Builders;;;;;;;;1;1
Protinus It;1;;1;;;;4;2;4
PROVEN WORKSPACE;;;;;4;;;;4
Pulchri Studio;1;;;;;;;;1
Puur Events;1;;;;;;;;1
PV DE TROLLEYS;1;;;;;;;;1
PWG Bedrijfsveilige Kleding;;;;;;;;1;1
PWN Waterleidingbedrijf Noord-Holland;1;;;;;;;;1
Q Delft;;;;;;;;1;1
Q28;;;;;;;1;;1
QNH Consulting Noord;;;;;2;;;;2
Qpit;;;;;;;;1;1
Quantes;;;;;1;;;1;1
Quignon Grand Café;1;;;;;;;;1
Quovadis Trustlink;;;;;;;;1;1
R.J. DE VRIES NOORD B.V.;;;;;;;1;;1
RAI Amsterdam;1;;;;;;;;1
RAMEAU C J ORTHOPEDISCHE SCHOENTECH;;;;;;;;1;1
Randstad Group (incl. Tempo Team, P/Flex);;;;;2;;;;2
RauwCC;;;;;;;;2;2
Reaktie Safety Shops;;;;;;;;1;1
Rebelgroup;;;;;1;;;;1
RedNose Ict Training en Advies;;;;;1;;;;1
Regardz (incl. Iassociate);2;;;;;;;;2
Regts Professional;;;;;;;1;;1
Regus;2;;;;;;3;;4
Reisswolf;;;;;;3;;;3
Renaud Delft Horecabenodigdheden;1;;;;;;;1;1
Rendac Son;;;;;;1;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;1;1;;;;1;;1
Resort Land & Zee;1;;;;;;;;1
Restauratie Atelier Sterken;;;;;1;;;;1
RGB PRODUCTIES;;;;;2;;;;2
Ricoh Groep (incl. Nashuatec, NRG);1;;;;1;;;2;2
Ridderprint Offsetdrukkerij;;;;;1;;;;1
Rijnja Repro;;;;;1;;;;1
Rob Stolk Drukkerij;;;;;;;;2;2
Rodi Rotatiedruk;;;;;1;;;;1
Rohde & Grahl (incl. Working Well);;;;;;;;1;1
RÖHLIG NEDERLAND;;;;1;;;;;1
Rom;;;;;2;;;;2
Römer Drukkerij;;;;;1;;;;1
Roodbeen (Jongensboek);;;;;;;;1;1
Ropeni (incl. Schlemmer);1;;;;;;;;1
Rotterdam Airport;;1;;;;;;;1
RS Components;;;;;;;;1;1
Ruig;1;;;;;;;;1
Ruimteutrecht;1;;;;;;;;1
RUSTAURATIE HET STATION VLISSINGEN;1;;;;;;;;1
Sabel Communicatie;;;;;2;;;;2
Safe And Sure Nederland;;;;;;;;1;1
Sam International;;;;;;;;1;1
Sandton Hotels (incl. Sandton Malie Exploit.);1;;;;;;;;1
Sato;;;;;;;;1;1
Saturday Investment;;;;;;;1;;1
Sauer & Oonk Notarissen Maatschap;;;;;1;;;;1
SBI Training & Advies, Zonheuvel, Boschoord;2;;;;;;;;2
SCHOEN EN VOETSPECIALIST SNOEREN;;;;;;;;1;1
SCHOONMAAK AMSTERDAM;;;1;;;;;1;1
Schouten Global (incl. Schouten & Nelissen Groep, Thema);1;;;;1;;;;1
Schurgers Sleutelservice;;;;;;;1;1;1
Science Plus Group;;;;;;;;1;1
Scope Business Media;;;;;;;;1;1
Seats2meet.com;2;;;;;;;;2
Seceurtronics Nederland;;;;;;;;1;1
Sectra Communications;;2;;;;;;;2
Selecta;2;;;;;;;;2
SENET EINDHOVEN;;;;;1;;;;1
Sense Organisatie & Coaching;1;;;;;;;;1
Separations Analytical Instruments;;;;;;;;1;1
SHOP PAIN LEIDERDORP;1;;;;;;;;1
Shoppartners Homeshopping;;;;;;;;1;1
Sieca Repro;;;;;1;;;;1
Siemens Nederland;;1;;;;;;;1
Sigma-Aldrich;;;;1;;;;;1
Silverijn;1;;;;;;;;1
SIMARTI;1;;;;;;;;1
Simonis Oude Visafslag (incl. Catch Restaurant);1;;;;;;;;1
Sita;;;;;;2;;;2
Sitex Electronics;;;;;;;;1;1
Skippi Sneltransport;;;;1;;;;;1
SKY PICTURES;;;;;2;;;;2
Slagersbedrijf Wolfhagen;1;;;;;;;;1
Sleutelservice.com;;;;;;;1;;1
SLEUTELSPECIALIST DELFT;;;;;;;;1;1
Sligro (incl. van Hoeckel);1;;;;;;;;1
SLOT DODDENDAEL;1;;;;;;;;1
Slot Loevestein;1;;;;;;;;1
SLTN (vh Inter Access);;;;;1;;;2;2
SMC Security Monitoring Centre;;2;;;;;;;2
Smink Van Vliet Groep;;;;;;1;;;1
Smit & Dorlas Koffiebranders;1;;;;;;;;1
Snelpas Business Service;;;;;;;;1;1
SNT CONNECT;1;;;;;;;1;1
Societeit De Witte Nieuwe of Litteraire;1;;;;;;;;1
Sodexo;1;;;;;;;;1
SOETERS TELECOM, CAR HIFI;;;;;;;;1;1
SOETING JOURE HANDELSCENTR;;;;;;;1;;1
Sofi de France;1;;;;;;;;1
Spaces Rode Olifant;2;;;;;;;;2
SPAN DESIGN;;;;;;;;1;1
Specialtours Events;;;;;;;;1;1
SPRINTPHOTO;;;;;;;;1;1
Staal;1;;;;;;;;1
Stadhuis Lunchcafe;1;;;;;;;;1
Stadion Amsterdam;1;;;;;;;;1
Stadzigt Gasterij;1;;;;;;;;1
Stalplein;1;;;;;;;;1
Staples (incl. Advantage, Corporate Express);;;;;1;;;1;1
Star Project;;;;;1;;;;1
STC Group;1;;;;;;;;1
Steelcase;;;;;;;1;;1
Stempelfabriek De Maas;;;;;;;;1;1
Stempelfabriek.nl/Stempelmakers.nl;;;;;;;;1;1
STEVE DE REUS AUDIO VISUALS;;;;;1;;;;1
STEVENS FEIKO DRUKKERIJ;;;;;1;;;;1
Stg De Hezenberg;1;;;;;;;;1
Stg Flevo-Landschap;1;;;;;;;;1
Stg Rivas Zorggroep;;1;;;;;;;1
Stg SAB Afvalstoffen & Vaardocumenten Binnenvaart;;;;;;1;;;1
Stibbe Advocaten;;;;;2;;;;2
Stichting Automotive Eindhoven;1;;;;;;;;1
Stichting Bestuur en Toezicht Triade;1;;;;;;;;1
Stichting Biologische Landbouw Flevoland;1;;;;;;;;1
Stichting Cultureel Beheer;1;;;;;;;;1
Stichting de Lindenberg;1;;;;;;;;1
Stichting Doorgang Dominicaanse Projecten Zwolle;1;;;;;;;;1
Stichting Dorpscentrum Spaarndam;1;;;;;;;;1
Stichting Film Instituut Nederland;1;;;;;;;;1
Stichting Haags Openbaar Vervoer Mu;1;;;;;;;;1
STICHTING HEERLIJCKHEYT GELLICUM;1;;;;;;;;1
Stichting Kontakt der Kontinenten Conferentiehotel;2;;;;1;;;;2
STICHTING PENNING VAN HET TUCHTCOLL;;;;;;;;1;1
Stichting Podium 0950;1;;;;;;;;1
Stichting XL De Ateliers;1;;;;;;;;1
STICHTING ZEEKADETKORPS HARLINGEN;;;;;;1;;;1
Stilbeeld Uitvaartfotografie;;;;;1;;;;1
STORING HORECA;1;;;;;;;;1
Strandhotel;1;;;;;;;;1
Stubbe It B.V.;;;;;;;;1;1
Studentenfonds Koninklijk Conservatorium;1;;;;;;;;1
Stulz Groep;;;;;;;;1;1
SUIT Supply;;;;;;;;1;1
Sumo Sushi & Grill Restaurant;1;;;;;;;;1
Swets Info Services (incl. Blackwell, Zeitlinger);;;;;;;;1;1
'T Goude Hooft Beheer Equus Stadsherberg, Hotel;1;;;;;;;;1
'T Reeuwijkse Hout Restaurant Paviljoen;1;;;;;;;;1
'T Smoske;1;;;;;;;;1
Taarten.nl;1;;;;;;;;1
Tamminga en Verweij;1;;;;;;;;1
Tapes Mediaproducties;;;;;;;;1;1
Tappan Communicatie;;;;;4;;;;4
Technische Unie;;;;;;;1;;1
Teeuwen Groep Sprekersbureau;1;;;;;;;;1
TELECOM SERVICE WEST;;;;;;;;1;1
Termifa;;;;;;;1;;1
Textcetera;;;;;1;;;;1
Teylers Museum;1;;;;;;;;1
The College Hotel;1;;;;;;;;1
The Grand Winston Hotel;2;;;;;;;;2
The Key Agency;;;;;1;;;;1
Theaterhotel De Oranjerie;2;;;;;;;;2
Theehuis Rhijnauwen;1;;;;;;;;1
Thomson Reuters;;;;;;;;1;1
Thyzo;;;;;;;1;;1
TIEKAMP BUITENSPORT;1;;;;;;;;1
TNS-NIPO;;;;;1;;;;1
Today's Media/Subb4;1;;;;1;;;1;1
Top Movers;;;;;1;;;;1
Top Skin Group;;;;;;;1;1;1
Topa Verpakking;;;;;;;;1;1
Tornak Groep;1;;;;;;;;1
Total Identity, Total Public;;;;;1;;;;1
Tower Leisure (Haagse Toren);1;;;;;;;;1
TPO Management & Advies;2;;;;;;;;2
Tradaware;;;;;;;;1;1
Transparant Systemisch Werken;1;;;;;;;;1
TREFPUNT HET ST DORPSHUIS;1;;;;;;;;1
Triamfloat;;;;;1;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;2;;;;;;;2
Triple Ace;1;;;;;;;;1
TUV Nederland;;;;;1;;;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);1;;;;3;;;;3
Tyrilo (incl. Oscars restaurant);1;;;;;;;;1
Unie Services;1;;;;;;;;1
Unishore Bedrijfskleding;;;;;1;;;;1
United Knowledge;;;;;;;;1;1
UPC Nederland;;;;;;;;1;1
UPS - United Parcel Service;;;;1;;;;;1
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);;;;;2;;;;2
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;;;;1;;1;;1
V@N MORGEN;;;;;4;;;;4
Van Beek & Specker Banketbakkerij;;;;;1;;;;1
Van der Dussen Restaurant;1;;;;;;;;1
Van der Peijl Groep;;;;;;;;1;1
Van der Valk Hotels;2;;;;;;;;2
Van Gansewinkel;;;;;;5;;;5
Van Hulzen Public Relations;;;;;3;;;;3
Van Loenen Instrumenten;;;;;;;;1;1
Van Randwijk Paperflow Solutions;;;;;;;;1;1
Van Regteren (incl. Brasserie 'T Raethuys);1;;;;;;;;1
Van Zandbeek Corporate Communicatie;;;;;3;;;;3
Van Zelst Automaten;2;;;;;;1;;2
Van Zwanenburg Handelmaatschappij, Projekten;2;;;;;;;;2
VCK Groep, Travel & Logistics;;;;;;;;1;1
Vellekoop & Meesters;;;;;4;;;;4
VENDRIG J BEDRIJFCATERING;1;;;;;;;;1
Verder Organisatiebegeleiding;1;;;;;;;;1
Vereniging Tot Behoud van Natuurmonumenten;1;;;;;;;;1
Verkadefabriek;1;;;;;;;;1
Vermaat Leisure, Horeca, Service;1;;;;;;;;1
Vermeij Verpakkingsmateriaal;;;;;;;;1;1
Verwey Vastgoed (incl. Pronam);;;;;;;2;;2
VERWIN B.V.;1;;;;;;;;1
Veth Carrosseriefabriek;;;;;;;;1;1
VFC Zeilcharters;1;;;;;;;;1
Via-Direct;;;;;;;1;1;1
Vialis Traffic;;;;;;;1;;1
Victoria Hotel;1;;;;;;;;1
VIGILANTIS;;1;;;;;;;1
Vijfschaft Catering en Verhuur;1;;;;;;;;1
Villa Augustus Hotel-Restaurant;1;;;;;;;;1
Villa Jongerius;1;;;;;;;;1
VILLA OLDENHOFF;1;;;;;;;;1
Villa Sonsbeek (vh Dokal);1;;;;;;;;1
Villa Westend;1;;;;;;;;1
Vingerling Boek en Kantoor;;;;;;;;1;1
Vink Lisse;;;;;;;1;1;1
VIPA Holding;1;;;;;;;;1
Virtual Vision;;;;;;;;1;1
Visafslag Café-Restaurant;1;;;;;;;;1
VISSER AFVALVERWERKING;;;;;;1;;;1
VISUAL PRODUCTIONS;;;;;;;;1;1
Vitam Catering;1;;;;;;;;1
Viteau Watercoolers (incl. Viteau Direct);;;;;;;;1;1
Vitesse Textielreinigers;;;;;;;1;;1
VKA Verdonck Klooster & Associates;;;;;6;;;;6
VMR Vereniging voor Milieurecht;;;;;;;;1;1
VnS Group (incl. Naammo Stempelfabriek en Stempeltempel);;;;;;;;1;1
Vodafone (incl. Libertel);;;;;;;;1;1
Volta Limburg;;;;;;;1;;1
Vorm Vijf Ontwerpteam;;;;;2;;;;2
Vortech;;;;;;;;1;1
Voskuilen Interieur- en Projectstoffering;;;;;;;1;1;2
Vriendschap Café-Restaurant;1;;;;;;;;1
Vrieswijk Kraanbedrijf;;;;1;;;;;1
W. Schuurman Elektrotechnische;;;;;;;1;;1
Wally's;1;;;;;;;;1
Waterlogic/Watercompany International;1;;;;;;;;1
Watersnoodmuseum;1;;;;;;;;1
Webpower;;;;;1;;;;1
Webwinkelconcern;;;;;;;1;1;1
WebXtra;;;;;;;;1;1
Werkgemeenschap Landschapsecologisch Onderzoek;;;;;;;;1;1
Werkstation Zwolle;1;;;;;;;;1
Westcord Hotels;2;;;;;;;;2
WHO'S NEXT;;;;;;;;1;1
WICC Hotel en Congrescentrum;1;;;;;;;;1
WIERSEMA GENERAL SHIP SUPPLY;1;;;;;;;;1
Wijnkelders / Galerie Des Vins van Dorp;;;;;1;;;;1
Wilchem;;;;;;1;;;1
Wilco Drukkerij;;;;;1;;;;1
Winkel van Sinkel Cultureel;2;;;;;;;;2
Womenworks;;;;;;;;1;1
Woudschoten Conferentiecentrum;2;;;;;;;;2
Wouters Café;1;;;;;;;;1
WTC Expo, Horeca, Hospitality;1;;;;;;;;1
X ELST;;;;;;;1;1;1
Xerox;;;;;;;;1;1
Yara Gas;;;;1;;;;1;1
Yokado relatie- en kerstgeschenken;1;;;;;;;;1
Zalmap;;;;;;;;1;1
ZEE VANDER MELKHANDEL & K W;1;;;;;;;;1
ZEEFDRUKKERIJ TRIOMF  B.V.;;;;;;;;1;1
ZEEZEILEN;;;;;;;;1;1
Ziggo (vh Casema);;;;;;;1;1;1
ZNTM Zuid Nederlandse Theatermaatschappij;1;;;;;;;;1
Zuiver Restaurant;1;;;;;;;;1
Zwaard Ijzerhandel;;;;;;;1;;1
Zwartewater Hotel;1;;;;;;;;1
Eindtotaal;8;8;8;3;8;5;7;7;10
