Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Café du Midi B.V.;;;;1;;;;;;1
Café Einstein;1;;;1;;;;;;1
Café Forum;;;;1;;;;;;1
Café het Veulen;;;;1;;;;;;1
Café Hier;;;;1;;;;;;1
Café Jan Primus;1;;;;;;;;;1
Café Jeronimus;;;;1;;;;;;1
Café Otje;;;;1;;;;;;1
Café Rembrandt;;;;1;;;;;;1
Café Restaurant Dauphine;;;;1;;;;;;1
Café Restaurant De Beyerd;;;;1;;;;;;1
Café Restaurant 'De Engel';;;;1;;;;;;1
Café Restaurant Dunya Lokanta;;;;1;;;;;;1
Café Restaurant Kerkzicht;;;;1;;;;;;1
Café Restaurant Land- en Zeezicht;;;;1;;;;;;1
Café Restaurant Luchthaven Lelystad;;;;1;;;;;;1
Café Restaurant Merz;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;;1
Cafe Restaurant 'Storm';1;;;;;;;;;1
Cafe Restaurant Vandaag B.V.;;;;1;;;;;;1
Café Servaas;;;;1;;;;;;1
Café Sjiek;1;;;;;;;;;1
Café van Miltenburg;;;;1;;;;;;1
Café XO Haarlem B.V.;;;;1;;;;;;1
Café Zuid;;;;1;;;;;;1
Cafe/Clubhuis Saeftinghe;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
Café/Restaurant 'De Zwarte Ruiter';;;;1;;;;;;1
Café-Restaurant B.V.;;;;1;;;;;;1
Café-Restaurant 'Centrum';;;;1;;;;;;1
Café-Restaurant De Boschvijver B.V.;;;;1;;;;;;1
Café-Restaurant De Plantage B.V.;;;;1;;;;;;1
Café-Restaurant 'De Roskam' B.V.;1;;;1;;1;;;;1
Café-Restaurant 'De Zingende Wielen';;;;1;;;;;;1
Café-Restaurant Floor B.V.;;;;1;;;;;;1
Café-Restaurant New York Den Haag;;;;1;;;;;;1
Café-Restaurant Nieuw Land B.V.;;;;1;;;;;;1
Cafetaria de Dirigent B.V.;;;;1;;;;;;1
Cafetaria Van den Berg V.O.F.;;;;1;;;;;;1
CAI-Advies B.V.;;;;;;1;;;;1
CAI-Opleidingen B.V.;;;;;;2;;;;2
Calla's LVRED 51A B.V.;;;;1;;;;;;1
Camiel Mikily B.V.;;;;1;;;;;;1
CampSpirit;;;;1;;;;;;1
Cancer Health Coach;;;;;;1;;;;1
Candela;1;;;;;;;;;1
Capgemini Educational Services B.V.;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;2;2;;;;2
Capilla;;;;;1;;;;;1
Capo Cucina;;;;1;;;;;;1
Caprilli Coaching;;;;1;;;;;;1
Carlton Beach Club;;;;1;;;;;1;1
Casu Utrecht B.V.;;;;;;2;;;;2
Catering de Commanderie B.V.;1;;;1;;;;;;1
Catering De Steiger V.O.F.;;;;1;;;;;;1
Catering Oud London B.V.;1;;;;;;;;;1
Cateringbedrijf De Smaeck;1;;;;;1;;;;1
CATREAL.COM;;;;;;1;;;;1
CBE - Group B.V.;;;;;;1;;;;1
CBZ Verzuimbezoeken B.V.;1;;;;;;;;;1
CE Delft;1;;;;;;;;;1
Central Dredging Association (Ceda);1;;;;;;;;;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;1;;;;;;1
Centrum voor Conflicthantering B.V.;;;;;;1;;;;1
Certium B.V.;;;;;;1;;;;1
Césant Wijnhaven Catering B.V.;;;;2;;;;;;2
Challenge;;;;;;2;;;;2
Challenge Team;;;;1;;;;;;1
Charissa's Lavanderia;1;;;;;;;;;1
Chauffeurstelefoon B.V.;;;;;;;;;1;1
Cheiron It B.V.;2;;;;;;;;;2
China Dragon;;;;1;;;;;;1
China Great Hotel Management B.V.;;;;;;;;;1;1
Chinchilla Textiles B.V.;1;;;;;;;;;1
Chinees Indisch Restaurant Sin Jah;;;;1;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;;1;;;;;;1
Chinees Restaurant 'Paradijs';;;;1;;;;;;1
Chinees Specialiteiten Restaurant 'Fountain';;;;1;;;;;;1
Chinees Wok Restaurant Royal Palace;;;;1;;;;;;1
Chinees-Indisch Afhaalcentrum Lotus;;;;1;;;;;;1
Chinees-Indisch restaurant Ko Shing;;;;1;;;;;;1
Chinees-Indisch Restaurant Lotus;1;;;;;;;;;1
Chorda B.V.;;;;;;1;;;;1
Chung Ching/Kyoto;;;;1;;;;;;1
Churchill Hotel Terneuzen;;;;;;;;;1;1
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;1;2;;;;2
Ciconia Aviation Services B.V.;;;;;;1;;;;1
CineCity B.V.;1;;;;;;;;;1
Cinop Advies B.V.;;;;;;4;;;;4
CIO Platform Nederland;;;;;;1;;;;1
Citylife B.V.;1;;;;;;;;;1
Classic Art Atelier;;;;;;1;;;;1
Clear Conduct B.V.;;;;;;2;;;;2
CLM Onderzoek en Advies B.V.;;;;;;1;;;;1
Clocked-Up;;;;1;;;;;;1
Clockwise B.V.;1;;;;;;;;;1
Cloose;;;;1;;;;;;1
CM Partners Holding B.V.;;;;;;1;;;;1
Coach 020;;;;;1;;;;;1
CocoKookt;;;;1;;;;;;1
Coffeelicious;;;;1;;;;;;1
Collective Talent Company;;;;;2;2;;;;2
Columba Communications;;;;;;1;;;;1
CombiCraft;;;;1;;;;;;1
Comic House Amsterdam B.V.;;;;;;1;;;;1
commongrounds;;;;;;1;;;;1
CommPartners;;;;;;1;;;;1
Communicatie Bureau Podium B.V.;;;;2;;;;;;2
Compacon West Nederland B.V.;;;;2;;;;;;2
Company B.V.;;;;1;1;2;;;;2
Compass Group Nederland B.V.;1;;;1;;1;;;;1
Competence Factory;;;;1;;2;;;;2
Compu'Train;;;;;;2;;;;2
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
Concentra Media Nederland B.V.;1;;;;;;;;;1
Conclusion Learning Centers B.V.;;;;;;8;;;;8
Concorde Group B.V.;2;;;;;;;;1;2
Conducto B.V.;;;;;;1;;;;1
Conducto Opleidingen B.V.;;;;;;1;;;;1
Conf.- & Opleidingscentr. De Ruwenberg B.V.;;;;;;;;;1;1
connecting2life;;;;;;1;;;;1
Connexxion Taxi Services B.V.;;;;;;;;;1;1
Connexxion Tours B.V.;;;;1;;;;;;1
Conny de Laat Communicatie;1;;;;;;;;;1
Construction Media B.V.;;;;;;1;;;;1
Consumer Centric;;;;;;;;;1;1
Contact@Work;;;;;;1;;;;1
CookCook!;;;;1;;;;;;1
Coolblue B.V.;1;;;;;1;;;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;;1;;;;1
Coöperatie De Betekenaar UA;;;;;;1;;;;1
Coöperatie 'Neptunus' UA;;;;;;;;;1;1
Coöperatie Schoonderwoerd & Partners UA;;;;;;1;;;;1
Coöperatieve Ver. van Vletterl.-Werkzaamh. WA;;;;;;;;;1;1
Coöperatieve Vereniging Kootsj UA;;;;;1;1;;;;1
Coosto B.V.;;;;;;1;;;;1
Copla Opleiding & Training B.V.;;;;;;1;;;;1
Corael;;;;;;1;;;;1
Core Business B.V.;;;;;;1;;;;1
Corfu;;;;1;;;;;;1
Corinor Organisatieontwikkeling B.V.;;;;;;1;;;;1
Cormet Schoolcatering B.V.;;;;1;;;;;;1
Corpus Experience Beheer B.V.;1;;;;;;;;;1
Corvers Procurement Services B.V.;;;;;;1;;;;1
CRA Nederland B.V.;;;;;;;;;1;1
Craeyenburg - Ipse de Bruggen;;;;1;;;;;;1
Crazy Beach B.V.;1;;;;;;;;;1
Creaim B.V.;;;;;;1;;;;1
CREM;1;;;;;;;;;1
Creme B.V.;;;;;;1;;;;1
Croissanterie Aad de Groot B.V.;;;;1;;;;;;1
Croissanterie 'de Snor' Beheer B.V.;;;;1;;;;;;1
Cross Resolution;1;;;;;;;;;1
Crown Hotel;;;;;;;;;1;1
Crowne Plaza Hotel Maastricht;;;;;;;;;1;1
CS Trainingen en Opleidingen B.V.;;;;1;;;;;;1
CSR Centrum B.V.;;;;;;1;;;;1
Culinair Catering;;;;1;;;;;;1
Cuppen Psychologen;1;;;;;;;;;1
CZAV;;;;;;;;;1;1
D&F Consulting B.V.;;;;;;1;;;;1
D. v.d. Pol Administraties;;;;1;;;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;;1;;;;1
Daan exploiteert B.V.;;;;1;;;;;;1
Damstraat Rent a Bike;1;;;;;;;;;1
Danny's Eeterij;;;;1;;;;;;1
Danscentrum Cornelissen;;;;1;;;;;;1
Dansschool Lucky Dancing;1;;;;;;;;;1
Dap & Co B.V.;;;;1;;;;;;1
DARA B.V.;;;;1;;;;;;1
Dare & Care;;;;;;1;;;;1
DASMO-TPAST B.V.;;;;;;1;;;;1
David van Schie party rental;;;;1;;;;;;1
Da-Xin;;;;1;;;;;;1
Dazhong B.V.;;;;1;;;;;;1
De Academy B.V.;;;;;;1;;;;1
De Amsterdamsche Tram;;;;1;;;;;;1
De Auw Pastorie;;;;1;;;;;;1
De Baak Administratie;;;;;;4;;;;4
De Baak B.V.;;;;;;1;;;1;1
De Baak Noordwijk B.V.;1;;;1;1;2;;;2;2
De Bakkerswinkel Den Haag;;;;1;;;;;;1
De Bakkerswinkel Utrecht;;;;1;;;;;;1
De Ballentent;;;;1;;;;;;1
De Bazar B.V.;;;;1;;;;;;1
De Beertuin B.V.;;;;1;;;;;;1
De Belgische Keizer B.V.;;;;1;;;;;;1
De Bergse Bossen;;;;2;;1;;;;2
De Bierkelder Utrecht;;;;1;;;;;;1
De Bisschopsmolen;;;;1;;;;;;1
De Bistro;1;;;;;;;;;1
De Blauwe Steen Senta Braaksma;1;;;;;;;;;1
De Bloemerie;1;;;;;;;;;1
De Bloemist;;;;1;;;;;;1
De Blokhut Feesten & Activiteiten;;;;1;;;;;;1
De Blomster;1;;;1;;;;;;1
De Boeketterie Bloembinderij;;;;1;;;;;;1
De Boer & Ritsema van Eck;;;;;;1;;;;1
De Boerinn B.V.;;;;1;;;;;;1
De Bonte Koe B.V.;1;;;;;;;;;1
De Booij Party en Congresarchitekten;;;;;;1;;;1;1
De Bootsmannen B.V.;1;;;;;;;;;1
De Broederschap B.V.;;;;1;;;;;;1
De Correspondent B.V.;;;;1;;;;;;1
De Diamanten Ring;1;;;;;;;;;1
De Druiventros B.V.;;;;1;;;;;;1
De Eetkamer;;;;1;;;;;;1
De Efteling B.V.;;;;1;;;;;;1
De Emauspoort;;;;;;;;;1;1
De Fanfare;;;;1;;;;;;1
De Ferrante Secretariaten en Opleidingen B.V.;;;;;;1;;;;1
De Fietstoko;;;;1;;;;;;1
De Franse Stap Culinair;;;;1;;;;;;1
De Gebouwengids;;;;;;;;;1;1
De Gecroonde Liefde;1;;;1;;;;;;1
De Gelagkamer;;;;1;;;;;;1
De Gevangentoren B.V.;;;;1;;;;;;1
De Gezonde Zaak B.V.;1;;;;;;;;;1
De Gildenborch B.V.;;;;1;;;;;;1
De Goede Reede;;;;1;;;;;;1
De Goesting;;;;1;;;;;;1
De Goudse Lichtfabriek B.V.;;;;1;;;;;;1
De Graven van Leuven;;;;1;;;;;;1
De Griffel V.O.F.;;;;1;;;;;;1
De Groeiwerkplaats;;;;;1;1;;;;1
De Groot Optiek B.V.;;;1;;;;;;;1
De Haagse Creatieven Alliantie B.V.;;;;1;;;;;;1
De Haarlemse Bakker B.V.;1;;;;;;;;;1
De Heeren Van Leeuw;;;;1;;;;;;1
De Herberg;;;;;1;;;;;1
De Hofstad Taxicentrale B.V.;;;;;;;;;2;2
De HumorGroep;;;;;;1;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;1;;;;1;;;;;1
De Juf;1;;;;;;;;;1
De Kaepstander;;;;1;;;;;;1
de Keuken van Alex;;;;1;;;;;;1
De Kijker B.V.;;;;1;;;;;;1
De Kleine Taveerne;1;;;;;;;;;1
De Kloveniersdoelen B.V.;;;;1;;;;;;1
De Klub;;;;1;;;;;;1
De Kompaszaal;;;;1;;;;;;1
De Koningin van Lombardije;;;;1;;;;;1;1
De Koperen Hoogte;1;;;;;;;;;1
De Koperen Tuin B.V.;;;;1;;;;;;1
De Korenbeurs;;;;1;;;;;;1
De Kriek Groente- en Fruit Speciaalzaak;1;;;;;;;;;1
De Kurenpolder B.V.;;;;1;;;;;;1
De Lachende Javaan;;;;1;;;;;;1
De Landgoederij B.V.;;;;;;1;;;;1
De Lekkernij Utrecht B.V.;1;;;1;;;;;;1
De L'espoir;;;;;;;;;2;2
De Lindeboom B.V.;;;;1;;;;;;1
De Lof der Zotheid (Lords);;;;1;;;;;;1
De Lunch Express;1;;;;;;;;;1
De Matroos en het Meisje;;;;1;;;;;;1
De Mee-denkers;;;;;1;;;;;1
De Meisjes van Spijs;;;;1;;;;;;1
De Methoeve Organisatie B.V.;;;;;;2;;;;2
De Mexicaan;;;;1;;;;;;1
De Mispelhoef;;;;1;;;;;;1
De Muur;1;;;1;;;;;;1
De Muynck Exploitatie B.V.;1;;;;;;;;1;1
De Nieuwe Academie B.V.;;;;;;;;;1;1
'De Nineties';;;;1;;;;;;1
De Nonnen in Vught;;;;;;3;;;;3
De Peer Horeca B.V.;;;;1;;;;;;1
de Persgroep Nederland B.V.;1;;;;;;;;;1
De Postoari;;;;1;;;;;;1
De Rede van Batavia Haven B.V.;;;;1;;;;;;1
'De Reehorst' B.V.;;;;;;;;;1;1
De Ri4;;;;1;;;;;;1
De Roofvogelboerderij;;;;1;;;;;;1
De Rotterdam B.V.;;;;1;;;;;1;1
De Ruiter Catering;1;;;1;;;;;;1
De Rustende Jager Beheer B.V.;;;;1;;;;;;1
De Ruyter Training & Consultancy B.V.;;;;;;2;;;;2
De Scamele Ruter;;;;1;;;;;;1
de ScheidingsDeskundige B.V.;;;;;;1;;;;1
De Schenker B.V.;1;;;1;;;;;;2
De Schone Lei B.V.;;;;1;;;;;;1
De Schouwse Hoeve;;;;1;;;;;;1
De Sjees;;;;1;;;;;;1
De Sparrenhorst;;;;1;;;;;;1
De Stadskwekerij B.V.;;;;1;;;;;;1
De Stroopwafelwinkel;;;;1;;;;;;1
De Stroper Dordt B.V.;1;;;1;;;;;;1
De Succesvolle Introvert;1;;;;;;;;;1
De Taaltrainer;;;;;;1;;;;1
De Tapuit;1;;;;;;;;;1
De Tijd;;;;1;;;;;;1
De Tombe Consultancy B.V.;1;;;;1;1;;;1;1
De Transformatiecirkel;;;;;1;;;;;1
De Tussentijd;;;;;1;;;;;1
De Twee Stampertjes;;;;1;;;;;;1
De Utrechtse Haven B.V.;1;;;1;;;;;;1
De Utrechtse Watertoren B.V.;;;;1;;;;;;1
De Veldkeuken;;;;1;;;;;;1
De Verbeeldingh B.V.;;;;;1;;;;;1
De Vicco Coaching & Mediation;;;;;1;1;;;;1
De Vlinderstichting;;;;;;1;;;;1
De Waterreus;;;;1;;;;;;1
De Watertuin Schiedam B.V.;;;;1;;;;;;1
De Winkel van Sinkel B.V.;1;;;1;;;;;;1
De Witte Zwaan B.V.;1;;;1;;;;;;1
de Workaholics B.V.;1;;;;;;;;;1
De Ysbreker B.V.;;;;1;;;;;;1
De Zaak;;;;1;;;;;;1
de Zaak Roovers;1;;;;;;;;;1
de Zeeuwse Gasten;1;;;1;;;;;;1
'De Zwaan' Coaching en Training;;;;;1;;;;;1
De Zwarte Ruiter op 't Witte Paart;;;;1;;;;;;1
Debat.NL B.V.;1;;;;;;;;;1
Debatrix;;;;;;1;;;;1
Decora B.V.;1;;;1;;;;;;1
Déhora Consultancy Group B.V.;1;;;;;;;;;1
Déhora detachering B.V.;2;;;;;1;;;;2
DeJe Catering;;;;1;;;;;;1
Dekxels B.V.;;;;1;;;;;;1
Delft Congress Support B.V.;;;;;;1;;;;1
Delicat Catering Delft;;;;1;;;;;;1
DeLimes B.V.;;;;;;1;;;;1
Delina Horeca B.V.;;;;1;;;;;;1
Deloitte Accountants;;;;;;1;;;;1
Delta Park Neeltje Jans B.V.;;;;1;;;;;;1
Den Bosch Evenementen B.V.;;;;1;;;;;;1
Den Draeck;1;;;1;;;;;;1
Den Hartog & van Heijst;2;;;;;;;;;2
Den Ouden Coaching & Consult B.V.;;;;;;1;;;;1
Den Witten Haen;1;;;;;;;;;1
Den&M Horecabedrijven Holding B.V.;;;;1;;;;;;1
Dendy B.V.;;;;1;;;;;;1
Denkproducties V.O.F.;;;;1;;1;;;;1
DeTenders Rotterdam;;;;1;;;;;;1
Deuts;1;;;1;;;;;1;1
Development Works;;;;;1;1;;;;2
DFG;1;;;;1;;;;;1
Dhirata B.V.;1;;;;;;;;;1
DHM infra B.V.;;;;;;2;;;;2
DIANA FEA B.V.;;;;;;1;;;;1
Diana Koster VrouwenCoach & Verloskundige;;;;;;1;;;;1
DiEx B.V.;;;;;;2;;;;2
Different Drums;;;;1;;;;;;1
Digidoen;;;;;;2;;;;2
Digital Dreams;1;;;;;;;;;1
Dignitas Mediation & Conflict Management;1;;;;1;1;;;;1
Dijkstra-Vereenigde B.V.;1;;;;;;;;;1
Diner Thuis;;;;2;;;;;;2
DIOR Opleidingen;;;;;;2;;;;2
Direct2Improve B.V.;;;;;1;2;;;;2
Djoyn B.V.;;;;1;;;;;;1
DNV GL Business Assurance;;;;;;1;;;;1
DO Consultancy;;;;;;1;;;;1
Docspro B.V.;;;;;;1;;;;1
Dodidop B.V.;;;;1;;;;;;1
Doen! en laten/Coaching;;;;;;1;;;;1
Doenederland.nl B.V.;1;;;1;;;;;;1
Dogcenter;;;;1;;;;;;1
DOJA Plein B.V.;;;;1;;;;;;1
Dok 28 B.V.;;;;1;;;;;;1
Dolfie's Bar;;;;;;;;;1;1
Dols Consult;;;;;;1;;;;1
Domstad Evenementen B.V.;;;;1;;;;;;1
Don Bureau B.V.;1;;;;;;;;;1
Donker&Blond;;;;1;;;;;;1
Dopper;;;;1;;;;;;1
Dordrechtse Brandweervereniging;;;1;;;;;;;1
Dordts Genoegen;1;;;;;;;;;1
Dordts Wonen;;;;1;;;;;;1
Dorp en Land Advies;;;;;;1;;;;1
Dorsthuys Demmers B.V.;;;;1;;;;;;1
Dotka Data B.V.;;;;;;1;;;;1
Down Under Horecaexploitatie B.V.;1;;;2;;1;;;;2
DP Middelburg B.V.;1;;;;;;;;;1
DPB Groep;;;;;;1;;;;1
Draaisma CCT B.V.;2;;;;;;;;;2
Drink- en Eetgelegenheid Tafelberg;;;;1;;;;;;1
DROOM Elst B.V.;;;;1;;;;;;1
Drs. Roderik Bender;;;;;1;;;;;1
Drukkerij en Boekhandel Van de Sande B.V.;;;;1;;;;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;;;;;;;;1;;1
DTV Consultants B.V.;;;;;;2;;;;2
Du Nord Rijwielen;;;;1;;;;;;1
Dudok Den Haag B.V.;;;;1;;;;;;1
Duifhuizen tassen & koffers;1;;;;;;;;;1
Dunea N.V.;;;;1;;;;;;1
Dutch Aviation Group (DAG);;;;;;1;;;;1
Dutch aWEARness B.V.;1;;;;;;;;;1
Dutch Pinball Museum;;;;1;;;;;;1
Dutch Research Institute for Transitions B.V.;1;;;;;;;;1;1
Dynamika;;;;;;1;;;;1
DynaVision B.V.;1;;;;1;1;;;;2
EAZEE B.V.;;;;1;;;;;;1
Ebbinge & Company International Holding B.V.;;;;;;1;;;;1
Eburon Uitgeverij B.V.;;;;;;2;;;;2
Echt Waar;;;;;;1;;;;1
Echte Bakker Steehouder Vianen B.V.;1;;;1;;;;;;1
Ecofys Netherlands B.V.;1;;;;;;;;;1
Ecologica B.V.;;;;;;1;;;;1
Ecologische winkel Agro Turismo AVG De Lotto;;;;1;;;;;;1
Eddy's Bike Shop B.V.;;;;1;;;;;;1
Eden Den Haag Hotel Exploitatie I B.V.;;;;1;;;;;1;2
Eden Oranje Hotel B.V.;;;;1;;;;;1;1
Edo Advies;;;;1;;;;;;1
Eduact B.V.;;;;;;1;;;;1
Eduvision B.V.;;;;;;1;;;;1
Eelc. B.V.;;;;;;2;;;;2
Eemshotel;;;;;;;;;1;1
Eet- en Drinkhuis 'De Gulzige Kater';;;;1;;;;;;1
Eetcafé 1837;;;;1;;;;;;1
Eetcafé De 3-Ster;;;;1;;;;;;1
Eetcafé de Klap;;;;1;;;;;;1
Eetcafé De Poort B.V.;1;;;;;;;;;1
Eetcafé Dwaze Zaken;;;;1;;;;;;1
Eetcafé Het Gesprek;;;;2;;;;;;2
Eetcafé het leven;;;;1;;;;;;1
Eetcafe Joos;1;;;1;;1;;;;1
Eetcafe 'La Bota';;;;1;;;;;;1
Eetcafé Noorderpoort-Harlingen;;;;1;;;;;;1
Eetcafe Restaurant Kolkzicht;;;;1;;;;;;1
Eetcafé 't Goede;;;;1;;;;;;1
Eetcafé/Hotel Le Virage;;;;1;;;;;;1
Eeterij De Dungense Brug;;;;1;;;;;;1
Eeterij het Wapen van Kattuk;1;;;;;;;;;1
Eeterij Tapperij Juno;1;;;;;;;;;1
Eethuys- Café 'De Generaal';1;;;;;;;;;1
Eet-Lokaal;;;;1;;;;;;1
Eet-Villa Van den Brink;;;;1;;;;;;1
Effectivents;;;;;;1;;;;1
EHM Hotel Almere B.V.;;;;;;;;;1;1
EHM Hotel Lelystad B.V.;;;;;;;;;1;1
EHP Exploitatie Hotel Loosdrecht B.V.;;;;;;;;;1;1
EHP Hotel De Wipselberg B.V.;;;;1;;;;;;1
Eindhoven247 B.V.;;;;1;;;;;;1
El Barrio;;;;1;;;;;;1
El Mundo;;;;1;;;;;;1
El Olivo;;;;1;;;;;;1
El Popo Nijmegen B.V.;;;;1;;;;;;1
El Qatarijne;;;;1;;;;;;1
E-Learningportals B.V.;;;;;;1;;;;1
Elektroraad Opleidingen B.V.;;;;;;2;;;;2
Ella's Training Service;;;;;;1;;;;1
Elroycom;1;;;;;;;;;1
Elsendoorn Horeca Exploitatie B.V.;;;;1;;;;;;1
Elycio Talen B.V.;;;;;;2;;;;2
Elzinga Catering;1;;;;;;;;;1
Embraceled Interactions B.V.;;;1;;;;;;;1
Emday B.V.;;;;;;1;;;;1
Encore Bar & Grill;1;;;;;;;;;1
Energetisch Centrum Leonardus;1;;;;;;;;;1
Energy Matters;;;;;;1;;;;1
Engels Conference Center B.V.;;;;1;;;;;;1
Engels Horeca Rotterdam B.V.;;;;1;;;;;;1
Entopic B.V.;;;;;;1;;;;1
EOS Organisatie & Ontwikkeling;;;;;;1;;;;1
Equipe Quality Products B.V.;1;;1;;;;;;;1
ER-coaching;;;;;1;;;;;1
Ergatis B.V.;2;;;1;;1;;;;2
ESB B.V.;;;;;;1;;;;1
ESC International B.V.;;;;;;1;;;;1
Escape Challenge B.V.;;;;1;;;;;;1
Escape Room;;;;1;;;;;;1
Escape Room Rijswijk;;;;1;;;;;;1
Escape Room Uden;;;;1;;;;;;1
Escape World B.V.;;;;1;;;;;;1
Escape010;;;;1;;;;;;1
Escher MC;1;;;;;;;;;1
Escobar Breskens;1;;;;;;;;;1
Esri Nederland;;;;;;2;;;;2
Esri Nederland Groep;;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;;;;1
Eten bij Werelds;;;;1;;;;;;1
Eten en Drinken;;;;1;;;;;;1
Eterij/Drinkerij De Herberg;;;;1;;;;;;1
EURIB/Europ. Instit. for Brand Managem. B.V.;;;;;;1;;;;1
Eurocontrol B.V.;;;;;;1;;;2;2
Eurofins Food Testing Rotterdam B.V.;;;;;;1;;;;1
Euroforum;;;;;;3;;;;3
Eurolinguist Nederland;;;;;;2;;;;2
European Renascence Association;;;;;;1;;;;1
Europees Instituut De Baak B.V.;;;;;;1;;;;1
Eus.nl Zeilevents B.V.;;;;1;;;;;;1
EVC Centrum Nederland B.V.;;;;;;1;;;;1
Evenementen Team Holding B.V.;;;;1;;;;;;1
Eventmaker;;;;1;;;;;;1
Evers Research & Training;;;;;;1;;;;1
EVO Fenedex B.V.;;;;;;1;;;;1
EVW Creations;;;;1;;;;;;1
Executive Academy V.O.F.;;;;;;1;;;;1
Executive Consult;;;;;;1;;;;1
Exellior B.V.;;;;;;2;;;;2
Expert in Actie;;;;1;;;;;;1
Expertisecentrum Conflictmanagement;;;;;;1;;;;1
Expl.maatschappij Golfbaan Amelisweerd B.V.;;;;1;;;;;;1
Explainit Company;;;;;;1;;;;1
ExplainIT Special Accounts B.V.;;;;;;1;;;;1
Exploitatie Maatschappij Lommerrijk B.V.;;;;1;;;;;;1
Exploitatiemaatschappij Fort Vechten B.V.;;;;1;;;;;;1
Exploitatiemaatschappij Hotel Best B.V.;;;;;;;;;2;2
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;1;;2;;;1;2
Explorans;;;;;1;;;;;1
Expomedia;;;;;;2;;;;2
Exponential Expansion B.V.;;;;;;1;;;;1
Extrarius Adventures;1;;;;;;;;;1
EYE - Bar Restaurant B.V.;;;;1;;;;;;1
Eye Hotel B.V.;;;;;;;;;1;1
Eyescream Wolterinck;1;;;;;;;;;1
F&U Nederland B.V.;;;;;;1;;;;1
Fa. Speijkervet B.V.;;;;1;;;;;;1
Faber Vlaggen;;;;1;;;;;;1
Facint B.V.;;;;1;;;;;;1
Falck Nutec B.V.;;;;;;2;;;;2
Falumi;;;;1;;;;;;1
Fanplay;;;;;;1;;;1;1
Faubourg St. Jacques;;;;1;;;;;;1
FB Consult;;;;1;;;;;;1
Feestzaal de Kösterie;;;;1;;;;;;1
Feithhuis Exploitatie B.V.;;;;1;;;;;;1
Fellini city lounge;;;;1;;;;;;1
FELLOW;;;;1;;;;;;1
Figi;;;;1;;;;;;1
Finance4Care B.V.;;;;;1;;;;;1
Finn's;;;;1;;;;;;1
Finow B.V.;;;;1;;;;;;1
Fire and Medical Training Centre B.V.;;;;;;1;;;;1
Fire Palace B.V.;;;;1;;;;;;1
Firma Gebroeders Van den Berg;;;;1;;;;;;1
Firma Hof der Muzen;;;;1;;;;;;1
Firma Smeele Delicatessen;;;;1;;;;;;1
Fish & Meat B.V.;;;;1;;;;;;1
Fitland Suytkade B.V.;;;;1;;1;;;1;1
Fletcher hotel de Zalm;;;;;;;;;1;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;;1;;;;;1;1
Fletcher Hotel Restaurant Doorwerth-Arnhem;;;;;;;;;1;1
Fletcher Hotel-Restaurant Heiloo;;;;;;;;;1;1
Fletcher Stadspark Hotel;;;;;;;;;1;1
Florent;;;;1;;;;;;1
Flow Events;;;;1;;;;;;1
Flowriders Music;;;;;;1;;;;1
Fonk Beach B.V.;;;;1;;;;;;1
Food of Cultures;;;;1;;;;;;1
Foodzie;;;;1;;;;;;1
For Conference B.V.;;;;;;1;;;;1
Fornari;;;;;;1;;;;1
Forsa Advies;;;;;;1;;;;1
Fortune Factory B.V.;1;;;1;;;;;;1
Fortuyn Horeca B.V.;;;;1;;;;;;1
Forus Europe B.V.;;;;;;1;;;;1
Foto Barend;1;;;;;;;;;1
Fox-IT;;;;;;2;;;;2
Frame B.V.;;;;;;1;;;1;1
Frank van Berkum Consultancy;;;;;;1;;;;1
Frank's Tapasbar De Dijk;1;;;;;;;;;1
Frankwatching B.V.;;;;;;2;;;;2
Fratelli Leidschendam B.V.;;;;1;;;;;;1
Frederik B.V.;;;;1;;;;;;1
Freudenberg;;;;;1;;;;;1
Frijters Mind Tuning B.V.;;;;;;1;;;;1
Frisian Queen;;;;1;;;;;;1
Frisse Blikken ondernemen met talent B.V.;;;;1;;;;;;1
FriZZ Communicatie;;;;;1;;;;;1
Fruitful Office Nederland B.V.;;;;1;;;;;;1
