Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Stichting VielGoed;;;1;;;;;1
Stichting Vilans;;;;;1;;;1
Stichting Voeding Leeft;;;;;1;;;1
Stichting Vogin;;;;;1;;;1
Stichting Vrienden van het Koos Vorrinkhuis;;;1;;;;;1
Stichting Werk aan de Linie;;;1;;;;;1
Stichting Werken op Maat;;;;1;;;;1
Stichting WIJ 3.0;;;1;;;;;1
Stichting Zenith Innovations;;;1;;;;;1
Straal Den Haag;;;;;1;;;1
Straal Theater;;;;;1;;;1
Strandpaviljoen Buiten B.V.;;;1;;;;;1
Strandpaviljoen Summertime Scheveningen;;;1;;;;;1
Street-Wear Jeans & Casuals;;;1;;;;;1
Sumo Den Haag II B.V.;;;1;;;;;1
Sumo Utrecht B.V.;1;;;;;;;1
SuperMailService;;;;;2;;;2
Suzanne van Veen Training & Coaching;;;;;1;;;1
SVS 2017 Conferenece Secr.;;;;;1;;;1
SVS Opleidingen;;;;;1;;;1
Synspec B.V.;;;;;1;;;1
Sysqa B.V.;;;;;1;;;1
t Achterommetje;;;1;;;;;1
t Goude Hooft Exploitatie B.V.;;;1;;;;;1
t Ogenblik;;;1;;;;;1
t Veurhuis;;;1;;;;;1
Taartenwinkel.nl B.V.;;;1;;;;;1
Taca Training;;;;;1;;;1
Tai Chi Arnhem;;;1;;;;;1
taiji@work;;;;;1;;;1
Tanny Dobbelaar tekst, advies & training;;;;;1;;;1
TÜV NORD Akademie GmbH;;;;;1;;;1
Tarpon Biosystems Europe B.V.;;1;;;;;;1
Taxibedrijf Van der Wijst;;;;;;;3;3
TB Events;;;;;1;;;1
TD Interim Specialist B.V.;;;;;1;;;1
Tecan Benelux B.V.B.A.;;;;;1;;;1
Tech Data Nederland B.V.;;;;;1;;;1
Tempo-Team Resource B.V.;;;;;;;1;1
Tennispark W.W.;;;1;;;;;1
Terrapin Holdings Ltd;;;;;1;;;1
Terrapinn Holdings Limited;;;;;2;;;2
Tezet Business Gifts B.V.;1;;;;;;;1
The Box Ventures B.V.;1;;;;;;;1
The Dutch Bus. Sport and Recreat. Expl. B.V.;;;1;;;;;1
The Inst.of Chemical Engineers IChemE;;;;;1;;;1
The Leadership Company B.V.;;;;;1;;;1
The Stressmanagement Company;;;;1;;;;1
The Virtual Reality Cinema B.V.;;;1;;;;;1
Theehuis Rhijnauwen B.V.;;;1;;;;;1
Therapie & Coaching Miranda de Jong;;;;;1;;;1
Things To Make And Do B.V.;;;;;1;;;1
Tiara Leadership NL;;1;;1;;;;1
TIG Sports B.V.;;;1;;;;;1
Tinqwise B.V.;;;;;2;;;2
Tintelingen B.V.;;;5;;;;;5
Tjitske Sluis Foto's;;1;;;;;;1
TNO B.V.;;5;;;;;;5
Tol Burgers;;;;;2;;;2
Ton Persoon;;;;;1;;;1
Tony's Factory B.V.;;;1;;;;;1
Toon Verlinden;;;1;;;;;1
Topgeschenken Nederland B.V.;;;1;;;;;1
Tornak Groep B.V.;;;;;4;;;4
Totziens Promotions;;;1;;;;;1
Tower Leisure B.V.;;;1;;;;;1
Transfer Education B.V.;;;;;1;;;1
Travel Congress Management B.V.;;;;;1;;;1
TRConsult B.V.;;;;;1;;;1
Tridata B.V.;;;;;1;;;1
Trimbos Mobile Virtual Reality Solutions B.V.;;;;;1;;;1
Triple Blue;;;;;1;;;1
TRIPLE DEAL BV;;;;;1;;;1
TROON Massage;;;1;;;;;1
ttopstart B.V.;;;;1;;;;1
Tweede Kamer der Staten Generaal;;;1;;;;;1
Twynstra Gudde;;;;;2;;;2
Twynstra Gudde Adviseurs B.V.;;;;;1;;;1
Twynstra Gudde Domus Consilium B.V.;;;;;1;;;1
Tyrilo B.V.;;;1;;;;;1
Uitgetypt.nl;;1;;;;;;1
Umami Restaurant B.V.;;;1;;;;;1
Unic Medical Services B.V.;;1;;;;;;1
United Events;;;1;;;;;1
Universiteit Antwerpen;;;;;1;;;1
University Hospital of Cologne;;;;;1;;;1
Unlimited people;;1;;;1;;;1
UP learning B.V.;;;;;1;;;1
US EPA Agency FOIA;;;;;;;1;1
USG Restart B.V.;;1;;1;;;;1
Utrecht Summer School;;;;;1;;;1
UtrechtInc C.V.;;;;;1;;;1
Utrechtsche Studenten Roeivereeniging Triton;;;1;;;;;1
Utrechtse Taxi Centrale (U.T.C.) B.V.;1;;;;;;1;1
V.O.F. A New Perspective On Public Policy;;;;;1;;;1
V.O.F. Frisia Rondvaarten en Sportvissen;;;1;;;;;1
V.O.F. Uitvoeringsorg. Beroepsopl. Advocaten;;;;;2;;;2
Vaccinatiezorg B.V.;;1;;;;;;1
Vakmedianet Management B.V.;;;;;1;;;1
Valentum Kommunikation;;;;;1;;;1
Valkenburg Trainingen;;;;;1;;;1
Valori Interim B.V.;;;;;1;;;1
Valori Investments B.V.;;;;;1;;;1
Van der Hilst Communicatie B.V.;;;;;1;;;1
Van der Kruijs Governance Search;;;;2;;;;2
Van der Linde Holding B.V.;;;1;;;;;1
Van der Linden Communication;;;;;1;;;1
Van der Valk Utrecht;;;1;;;;;1
Van Dijk Techniek B.V.;;;;;;;2;2
Van Dun & Partners B.V.;;1;;;;;;1
Van Haarst B.V.;;;;1;;;;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;2;;;2
Van Sevagram;;;;;1;;;1
Van Swinden Laboratorium;;2;;;;;;2
Van Vlastuin Touringcar B.V.;;;;;;;1;1
VCK Travel B.V.;;;;;;;7;7
Vegter en Hoek Advies & Interimman. V.O.F.;;;;;1;;;1
Veilingmeester B.V.;;;1;;;;;1
Vektis C.V.;;1;;;;;;1
Velders & Novak IMC;;;;;1;;;1
Veldhuis Opleidingsadvies;;;;;1;;;1
Venture Informatisering Adviesgroep N.V.;;;;;1;;;1
Ver. Intern Toezichthouders Pensioensector;;;;;1;;;1
Veranderbrigade B.V.;;2;;;;;;2
Verdonck, Klooster & Associates B.V.;;2;;;;;;2
Vereniging BVF Platform;;;;;1;;;1
Vereniging Farma en Recht;;;;;1;;;1
Vereniging Nederlandstalige Sap-Gebruikers;;;;;1;;;1
Vereniging van Milieuprofessionals;;;;;1;;;1
Vereniging voor Gezondheidseconomie;;;;;1;;;1
Vereniging voor Gezondheidsrecht;;;;;1;;;1
VERENIGING VOOR KLACHTRECHT;;;;;1;;;1
Vereniging voor Overheidsmanagement;;;;;1;;;1
Vereniging voor Statistiek;;;;;1;;;1
Verkeersveiligheid Groep Nederland B.V.;;;;;1;;;1
Verpleegkundigen & Verzorgenden Nederland;;;;;1;;;1
Verpleegunit MGG locatie MCA Alkmaar;;;1;;;;;1
Verploegen & Vossenberg Training Coach. Int.;;;;;1;;;1
Vhic Faculty B.V.;;;;;1;;;1
Vijverberg Juristen B.V.;;;;;1;;;1
Vijverberg opleidingen;;;;;1;;;1
Villa Suikerberg;;;1;;;;;1
Vino & Cucina;;;1;;;;;1
Virology Education B.V.;;;;;1;;;1
VIRQAS B.V.;;1;;;;;;1
Visumdienst Breda B.V.;;;;;;;1;1
Visumdienst India;;;;;;;1;1
Vitaal door Menselijk Kapitaal;;;;;1;;;1
VitalSmarts Benelux;;;;;1;;;1
Vitamine en Zo;;;2;;;;;2
Vlaams Instituut Gezond Leven vzw;;;;;1;;;1
Vocaluse;;;;;1;;;1
Voedingscentrum Nederland;;1;;;;;;1
Voor Claar B.V.;1;;1;;;;;1
Vos en Setz B.V.;;;1;;;;;1
Voster Events B.V.;;;;;1;;;1
VOSTOK I B.V.;;;;;1;;;1
VR Experience B.V.;;;1;;;;;1
Vragenvuur;;;;;1;;;1
Vrije Denkers;;;;;1;;;1
Vrije Universiteit Brussel;;;;;1;;;1
Vroeg B.V.;1;;1;;;;;1
Vrumun;;1;;;;;;1
Vuurland Produkties P.A.;;;1;;;;;1
VVZRL. Health Claims Europe;;;;;1;;;1
W&S MYP B.V.;;;;1;;;;1
W.E. B.V.;;;1;;;;;1
WagenaarHoes B.V.;;;;;1;;;1
Wageningen Plant Research;;;;;1;;;1
Wagner Group | Social Capital B.V.;;;;;2;;;2
Waterkant Roeibotenverhuur-Theeschenkerij;;;1;;;;;1
Webhelp Nederland BV (SNT Nederland BV);;;;;1;;;1
Weg naar Succes;;;;;1;;;1
Wens Reizen B.V.;;;;;1;;;1
Werken aan Waarde;;;;;1;;;1
Wesselink of meer B.V.;;;;;1;;;1
West English Communications B.V.;;;;;1;;;1
Westbeach Events;;;1;;;;;1
Westland United;;;1;;;;;1
Whisky- en Wijnhandel Verhaar;;;1;;;;;1
Wielinq B.V.;;1;;;;;;1
Wiesman Coaching;;;;;2;;;2
Wijnen Coaching & Consultancy;;;;;1;;;1
Windunie Development Bommelerwaard B.V.;;1;;;1;;;1
Winnock B.V.;;1;;;;;;1
Winnock Zeist (alle vestigingen);;;;1;;;;1
Winterhuis B.V.;1;;;;;;;1
WishWish NL B.V.;;;1;;;;;1
Witte Ballons B.V.;;;1;;;;;1
WIV - Wetenschappelijk Instuituut Volksgezondheid;;;;;1;;;1
Worldmeetings;1;1;2;;2;;3;4
Worldmeetings International B.V.;;;;;;;2;2
Woudschoten - KNVB V.O.F.;;;;;1;;;1
Wouter Mensink;;;;;;;1;1
Xerox (Nederland) B.V.;;1;1;;;;;1
XPI B.V.;;;;;1;;;1
Ynnovate;;;;;1;;;1
You're a winner;;;1;;;;;1
Yowsim! competence simulator B.V.;;;;;1;;;1
Yvonne Drissen Efficiency;;;;;1;;;1
Zakelijk Schrijven;;;;;1;;;1
Zandhof B.V.;;;1;;;;;1
Zanskar Training & Consultancy;;1;;;;;;1
ZEBS;;;1;;;;;1
Zenden Heerlen BV / Beerkompanie;;;1;;;;1;1
Zinnige Zaken;;;;;2;;;2
Zjost Recreatie, Educatie;;;1;;;;;1
Zorgcampus Rotterdam B.V.;;;;;1;;;1
ZorgmarktAdvies;;;;;2;;;2
Zorgverzekeraars Nederland;1;;1;;;;;1
Zuid BV;;;1;;;;1;1
Zuiver Horeca B.V.;;;1;;;;;1
Zuyd Hogeschool;;;;;1;;;1
Eindtotaal;5;7;7;5;7;2;7;9
