;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
De Gouden Ton;;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;;1;;;;;;1
De Goudse Lichtfabriek B.V.;;;;1;;;;;;1
De Groen Advisering;;;;;;2;;;;2
De Haagse Hogeschool;;;;;;2;;;;2
De Heeren Hofsteenge;;;;1;;;;;;1
De Hofnar Scheveningen B.V.;;;;1;;;;;;1
De Horeca Academie Zakelijk B.V.;;;;1;;1;1;;2;2
De horeca mannen;;;;1;;;;;;1
De Japanse Watertuin B.V.;;;;1;;;;;;1
de Keuken van Alex;1;;;1;;;;;;1
De Knegt & Leeflang B.V.;;;;1;;;;;;1
De Koekjesfabriek;;;;1;;;;;;1
De Kookfabriek Den Haag B.V.;;;;1;;;;;;1
De Koperen Hoogte;;;;2;;;;;;2
de Kreiterij;;;;1;;;;;;1
De Letterspecialist B.V.;;;;;1;;;;;1
De Matroos en het Meisje;;;;1;;;;;;1
De Meesterproef;;;;1;;;;;;1
De Meisjes van Spijs;;;;;;1;;;;1
De Nederlandse Ver. van Rentmeesters NVR;;;;;;1;;;;1
De Nieuwe Lijn B.V.;;;;;;;;;3;3
De Nieuwe Pelgrim;;;;;;1;;;;1
De Onderstroom Karin Brugman;;;;;;1;;;;1
de Persgroep Nederland B.V.;;;;1;;;;;;1
DE REE;;;;;;1;;;;1
De Roos Geschenken B.V.;;;;;;1;;;;1
De Schenker B.V.;;;;1;;;;;;1
De Sfeerstal;;;;1;;;;;;1
De Spijker B.V.;;;;1;;;;;;1
De Stad B.V.;;;;1;;;;;;1
De Staffing Groep Nederland B.V.;;;;;;;;;1;1
De Stickerkoning B.V.;;;;;;1;;;;1
De Succesvolle Introvert;;;;;;1;;;;1
De Teamcoach;;;;;;1;;;;1
De Tuinderij;;;;1;;;;;;1
De Uurwerker;;;;1;;;;;;1
De Vrienden van de Burgemeester;1;;;;;;;;;1
De Vuijst Consult B.V.;;;;;;2;;;;2
De Watertuin Holding B.V.;;;;1;;;;;;1
De werktuin;;;;;;2;;;;2
De Werkvermogen Oplossing;;;2;;;;;;;2
De Wijkplaats B.V.;;;;1;;;;;;1
De Wolf Lezingen;;;;;;1;;;;1
De Zaak van Dorien;;;;;;1;;;;1
Debat.NL B.V.;;;;;;2;;;;2
DéBlé-Venlo;;;;1;;;;;;1
Dechesne Personal Coaching;;;;;;1;;;;1
Deerns Nederland B.V.;;;;;;1;;;;1
DEFA Europe B.V.;;;1;;;;;;;1
DEFACTO Architectuur en Stedenbouw;;;;2;;;;;;2
Dekker Zoetermeer;;;;1;;;;;;1
Dekxels B.V.;;;;1;;;;;;1
Dekxels Restaurant;;;;1;;;;;;1
Delflandhoeve;;;;1;;;;;;1
Delft Congress Support B.V.;;;;;;1;;;;1
Delftechniek;;;;1;;;;;;1
Delirium Café Amsterdam;;;;1;;;;;;1
DELVA Landscape Architects;;;;1;;;;;;1
Den Bosch Evenementen B.V.;;;;;;1;;;;1
Den Hors Beheer B.V.;;;;1;;;;;;1
Den Overkant;;;;1;;;;;;1
Denk Producties B.V.;;;;;;1;;;;1
Denkschets.nl;2;;;1;;;;;;2
depoorte.com;;;;;;1;;;;1
Deskbookers B.V.;;;;;;1;;;;1
Detron Communication Solutions;;;;;;2;;;;2
Devoteam Nederland B.V.;;;;;;1;;;;1
Dezember;;;;;;1;;;;1
DGMR Bouw B.V.;2;;;;;;;;;2
D-Hits;;;;1;;;;;;1
Dialogic Innovatie & Interactie B.V.;3;;;;;;;;;3
Dialogis;;;;;;1;;;;1
Dickens Horecabedrijven B.V.;;;;1;;;;;;1
Diederik Samsom;;;;2;;;;;;2
Dierenpark 'Amersfoort' B.V.;;;;2;;;;;;2
Diga Consult;;;;;;1;;;;1
Digital Action;;;;;;1;;;;1
Digital Revolution B.V.;;;;;;1;;;;1
Dijkhuizen Verhuurt;;;;1;;;;;;1
Dikscommuniceert;;;;;;1;;;;1
Diner Thuis;;;;1;;;;;;1
Dining56;;;;1;;;;;;1
DIOR Opleidingen;;;;;;1;;;;1
Discountoffice.nl B.V.;;;1;1;;;;;;1
Disworks;;;;1;;;;;;1
Diversity Matters;2;;;;;;;;;2
D'Javas;;;;;1;;;;;1
Doc/sa;;;;;;2;;;;2
DOL Drama op Lokatie B.V.;;;;;;1;;;;1
Domstad Evenementen B.V.;;;;1;;;;;;1
Don Qui-John B.V.;;;;1;;;;;;1
Donna Gelateria B.V.;;;;1;;;;;;1
Doornse Oranjerie;;;;1;;;;;;1
Doorsprong;;;;;;1;;;;1
Doorwerth Groep B.V.;;;;;;1;;;;1
Double Healix Educational Media B.V.;;;;;;1;;;;1
Douwe Egberts Horeca;;;;1;;;;;;1
DPA Compliance;;;;;;;;;4;4
DPG Media B.V.;;;;;;1;;1;;1
DPI Animation House;;;;;;1;;;;1
DPI Animation House B.V.;;;;2;;;;;;2
Driemension;;;;2;;;;;;2
DROG B.V.;;;;;;;;2;;2
Dröge&V. Drimmelen, Corp.Comm.&Publ.Aff. B.V.;;;;;;2;;;;2
Drone Education Centre B.V.;;;;1;;;;;;1
Drooms AG;;;;;;;;;1;1
Drukkerij van der Hulst B.V.;;;;1;;;;;;1
Dudok Den Haag B.V.;;;;1;1;1;;;;2
Duel B.V.;2;;;;;;;;;2
Duke of Tokyo B.V.;;;;1;;;;;;1
Dulang Indonesische Lekkernijen;;;;1;;;;;;1
DuneWorks B.V.;;;;;3;;;;;3
Dununba Percussie Workshops;;;;1;;1;;;;1
Dutch Biz B.V.;;;;;;1;;;;1
Duurzaam Gebouwd B.V.;;;;;;1;;;;1
DVLP Advocaten B.V.;;;;3;;;;;;3
DynaVision B.V.;;;;;;1;;;;1
Ebbinge B.V.;;;;;;1;;;;1
Ebbinge&Company;;;;;;1;;;;1
ECHOS Home Baan Zulu;;;;1;;;;;;1
EcoGiving B.V.;;;;1;;;;;;1
Ecorys B.V.;2;;;;;;;;;2
E-Democracy B.V.;;;;;;1;;;;1
EduParc B.V.;;;;;;1;;;;1
Eduvision B.V.;;;;;;1;;;;1
Edward Val Productions;;;;1;;;;;;1
eelloo;;;;;;1;;;;1
Eemshotel;;;;1;;;;;;1
EEN! B.V.;;;;1;;;;;;1
Eetbar De Wagon B.V.;;;;1;;;;;;1
Eetcafe 't Keershuys;;;;1;;;;;;1
Eethuis Smaak;;;;1;;;;;;1
EFE;;;;;;2;;;;2
Effectory Holding B.V.;;;;;2;2;;;;2
EGN Nederland B.V.;;;;;;1;;;;1
EHdK B.V.;;;;;;1;;;;1
Eiber Bier;;;;1;;;;;;1
Eiffel B.V.;2;;;;;;;;;2
Eigenarenvereniging Binnenstad Den Haag;;;;;;1;;;;1
Elektroraad Opleidingen B.V.;;;;;;3;;;;3
Elenchis;;;;;;1;;;;1
Elisabeth van den Hoogen, debat &;;;;;;1;;;;1
Elycio Talen B.V.;;;;1;;2;;;;2
Elzinga Catering;;;;1;;;;;;1
EMD CENTRE;1;;;;;;;;;1
Emerce B.V.;;;;;;2;;;;2
EMMA Communicatie B.V.;;;;;;5;;;;5
Emoena Projects B.V.;;;;;1;;;;;1
Employee Performance Group B.V.;2;;;;;4;;;2;4
Emtek Ergonomics B.V.;;;1;;;;;;;1
EN communicatie & participatie;;;;;;1;;;;1
Encore Media Group Ltd;;;;;;1;;;;1
Energie ambassadeur;;;;1;;;;;;1
Enterprise Summit B.V.;;;;;;1;;;;1
Entertainment Agency;;;;1;;;;;;1
Entopic B.V.;1;;;;1;1;;;;2
E-Office B.V.;;;;;;2;;;;2
Equipe Acteurs B.V.;;;;;;1;;;;1
ER;;;;;;1;;;;1
ER&ES Consult;;;;;;1;;;;1
Ergatis;;;1;;;;;;;1
Ergatis B.V.;;;2;1;;1;;;;2
Ervaren Ambtenaren;;;;;;1;;;;1
Erwin Butzelaar Training;;;;;;1;;;;1
ESAA;;;;;;1;;;;1
ESB B.V.;;;;;;;;;1;1
Escape Room Rijswijk;;;;1;;;;;;1
Escape World Waterlooplein B.V.;;;;1;;;;;;1
Escaperoom071 B.V.;;;;1;;;;;;1
Esri Nederland;;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;;2;;;;;;2
Eten & Zo Zwolle B.V.;;;;1;;;;;;1
Etop;;;;;;1;;;;1
EuroFlorist Nederland BV;;;;1;;;;;;1
Euroforum;1;;;;;3;;;;3
Euroscope Benelux B.V.;;;;1;;;;;;1
Eurotackle Venlo V.O.F.;;;;1;;;;;;1
EVC Centrum Nederland B.V.;;;;;;1;;;;1
EVE Tilburg B.V.;;;;1;;;;;;1
Event Business Academy B.V.;;;;;;;;;1;1
Event Netherlands Operations B.V.;;;;;;;;;1;1
Event Point;;;;1;;;;;;1
Eventmaker;;;;1;;;;;;1
Evite Services B.V.;;;;1;;;;;;1
EVO Fenedex;;;;;;1;;;;1
eX:plain;;;;;;1;;;;1
Examenadviesburo B.V.;;;;;;1;;;;1
EXIN;;;;;;1;;;;1
Exin Holding B.V.;;;;;;1;;;;1
Expereans Financiële Diensten B.V.;;;1;;;;;;;1
expertcoach;;;;;;2;;;;2
Expl.mij. Automobielmusea in Nederland B.V.;;;;1;;;1;;;1
Explainit Company;;;;;;2;;;;2
Exploit. Maatsch. De Nwe Poort Amsterdam B.V.;;;;;;2;;;;2
Exploitatiemaatschappij Grand Hotel;;;;2;;;;;;2
F.B.M. Olijslager/NISeR;;;;;;1;;;;1
Fa. R. Stoesser;;;;1;;;;;;1
Fakton B.V.;;;;4;;;;;;4
Falke & Verbaan B.V.;;;;;;1;;;;1
Family Horeca Concepts B.V.;;;;1;;;;;;1
Fancybooth;;;;1;;;;;;1
FCL1.com;;;;;;;;;1;1
FeestMee.com;;;;1;;;;;;1
Felixx Landscape Architects & Planners B.V.;;;;;;;;;2;2
Fepa Horeca B.V.;;;;1;;;;;;1
FILOSOOF B.V.;;;;;;1;;;;1
Finow B.V.;;;;1;;;;;;1
Firebrand Training BeNeLux B.V.;;;;;;2;;;;2
Firma Hof der Muzen;1;;;1;;;;;;2
First Choice Events;;;;1;;;;;;1
First Priority Music;;;;1;;;;;;1
Fishes to Birds;;;;;;1;;;;1
Fitt-recreatie B.V.;;;;;;1;;;;1
Flamingo's Plaza B.V.;;;;1;;;;;;1
Flex IT Rent B.V.;;;;;;1;;;;1
Flitz-Events;;;;1;;;;;;1
Floating Farm Rotterdam B.V.;;;;1;;;;;;1
FLOC Restaurant;;;;1;;;;;;1
Floor!;;;;1;;;;;;1
Floor! Marketing Communicatie & Sales B.V.;4;;;;;2;;;;4
Floreshuys;;;;1;;;;;;1
Florista by Pieta;;;;;;1;;;;1
Flos Vingerhoets Illustratie;;;;1;;;;;;1
Flow Events;;;;1;;;;;;1
Flowers4u;;;;;1;;;;;1
Fonk Beach B.V.;;;;1;;;;;;1
For Conference B.V.;;;;;;1;;;;1
Forta Opleidingen B.V.;;;;;;1;;;;1
Fortune Factory B.V.;;;;1;;;;;;1
Fotografie : Paul Voorham;;;;1;;1;;;1;1
Four Points Automation B.V.;;;;;;1;;;;1
Fox-IT;;;;;;1;;;;1
Franke Interim Management B.V.;;;;;;1;;;;1
Frankwatching B.V.;;;;;;1;;;;1
Frans B.V.;;;;1;;;;;;1
Fratelli Pizzeria Ristorante B.V.;;;;1;;;;;;1
FRC Financial Reporting Council;;;;;;;;;1;1
Frederik B.V.;;;;1;;;;;;1
Freek van den Bergh Fotografie;;;;;;1;;;;1
Friesland Business Events B.V.;;;;;;1;;;;1
Froh Presentaties;;;;1;;;;;;1
Fruitful Office Benelux;;;;1;;;;;;1
Fudura B.V.;;;;1;;;;;;1
Fugro NL Land B.V.;;;;2;;;;;;2
Future Insight Group B.V.;2;;;;;;;;;2
Fysergo B.V.;;;;;;1;;;;1
G4S Services;;;;;;1;;;;1
G4S Training & Safety B.V.;;;;;;3;;;;3
Gajes in de Bajes;;;;1;;;;;;1
Gall & Gall B.V.;;;;1;;;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;;1;;;;;;1
Garoeda;1;;;1;;;;;;1
Garoeda, Indonesisch restaurant;;;;1;;;;;;1
Gartner Nederland B.V.;;;;3;;4;;;;5
Gauchos Franchise Den Haag B.V.;;;;1;;;;;;1
Gawke HRM advies;1;;;;;;;;;1
GBR Advies;;;4;;;;;;;4
Gebr. Barendsen B.V.;;;;2;;1;;;;2
gefeliciTAART B.V.;;;;1;;;;;;1
Gelukkig Werken;;;;;;1;;;;1
Generation Energy B.V.;2;;;1;;2;;;;3
Genesys University B.V.;;;;;;1;;;;1
Geodan B.V.;3;;;;;2;;;;4
Geregeld;;;;;;2;;;;2
Geschenk met Verhaal B.V.;;;;1;;;;;;1
GET EVENTS;;;;;1;;;;;1
get the laugh flow;;;;;;1;;;;1
Gettid B.V.;;;;1;;;;;;1
Getting the picture B.V.;;;;1;;;;;;1
GEWIS;;;;;;1;;;;1
GezondVerkeer;;;;2;;;;;;2
Gh Catering B.V.;;;;;;1;;;;1
GIMD B.V.;;;1;;;;;;;1
GIOIA Consultancy;;;4;;;;;;;4
Gispen Outlet Delft;;;1;;;;;;;1
gjvl;;;1;;;;;;;1
Gladwell Academy B.V.;;;;;;2;;;;2
Glamping Club;;;;1;;;;;;1
Global Knowledge Holdings B.V.;;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;;3;;;;3
Global Project Performance;;;;2;;1;;;;2
Glotzbach Holding B.V.;1;;;;;;;;;1
Glow Golf Scheveningen B.V.;;;;1;;;;;;1
GO BV VOORBURG;;;;2;;;;;;2
Go2People Websites B.V.;;;;;;1;;;;1
Goed Gebouw;;;;3;;;;;;3
Goense Holding B.V.;1;;;;;;;;;1
Good Work Company B.V.;;;;;;1;;;;1
GORTcoaching;;;;;;1;;;;1
Graave Eten & Drinken;;;;1;;;;;;1
GradusGroep B.V.;;;1;;;;;;;1
Grafisch Buro van Erkelens B.V.;1;;;;;;;;;1
Gran Mercado B.V.;;;;2;;1;;1;;2
Grand Café de Pakschuit;;;;1;;;;;;1
Grand cafe De Tijd;;;;1;;;;;;1
Grand Cafe Groningen;;;;1;;;;;;1
Grand Café Hotel De Bourgondier B.V.;;;;1;;;;;;1
Grand Café Siezo;;;;;;1;;;;1
Grand Hotel Opduin;;;;1;;;;;;1
GrandcafÃ© de Kanselarij;;;;2;;;;;;2
GrandcafÃ© De Wens B.V.;;;;1;;1;;;;1
Grandcafé De Wens B.V.;;;;1;;;;;;1
Grandcafe Haagsche Bluf;;;;;;1;;;;1
Granny's Corner;;;;2;;;;;;2
Graphic Hunters;;;;;;1;;;;1
Green Valley B.V.;;;;;1;;;;;1
Greenchoice;;;;4;;;;;;4
Greengiving B.V.;;;;;;1;;;;1
Greetz B.V.;;;;1;;;;;;1
Grieks Restaurant Greekz;;;;1;;;;;;1
Grieks Restaurant Mykonos;;;;1;;;;;;1
Groene Bij;;;;1;;;;;;1
Groeneveld Communicatie;;;;;;2;;;;2
Groot, Christa de, Kwaliteit & Adviesbur;;;;;;2;;;;2
Guiding Transition BVBA;;;;;;1;;;;1
Gusto Mangia e Bevi;;;;1;;;;;;1
GW Cross Media B.V.;1;;;;;;;;;1
H.A.E. Ali / New York Pizza Den Haag Centrum;;;;1;;;;;;1
H.B. Banket B.V.;;;;1;;;;;;1
H.K. Business & Advisory Services B.V.;;;;2;;;;;;2
H.L.M. Lageweg B.V.;;;4;;;;;;;4
H.U. Günes t.h.o.d.n. SPAR City Korte Poten;;;;1;;;;;;1
H+N+S B.V.;2;;;;;;;;;2
Haags Historisch Museum;;;;1;;;;;;1
Haagse Beek organisatieadvies B.V.;;;;1;;2;;;;2
Hala Zeeland B.V.;;;;1;;;;;;1
Hampshire Exploitatie I B.V.;;;;;;1;;;;1
Hangar Amsterdam B.V.;;;;;;1;;;;1
Hania Coaching, Training & Advies;;;;;;1;;;;1
Hanna Boersema Organisatieadvies;;;;;;1;;;;1
Happy Garden;;;;1;;;;;;1
Happy Island;;;;;;1;;;;1
Happy Meat B.V.;;;;1;;;;1;;1
Happy Moose;;;;1;;;;;;1
Happy Sandwich;;;;1;;;;;;1
Harmonia B.V.;;;;1;;;;;;1
Hartelijk Gefaciliteerd;;;;;;2;;;;2
HaskoningDHV Nederland B.V.;4;;;2;;;;;;5
HBO-I. Stichting;;;;;;1;;;;1
HE Den Haag B.V.;;;;1;;;;;;1
HeadFirst B.V.;;;;4;;;;;;4
Health & Employebility, van Bennekom;;;4;;;;;;;4
Health2Work B.V.;;;1;;;1;;;;1
Heart Connected;;;;1;;;;;;1
Heijting en Weerts B.V.;;;;1;;;;;1;1
Heilig Vuur;;;;;;1;;;;1
Heinen Delftware Trading B.V.;;;;1;;;;;;1
Helder Graveertechniek en Naamplaat-Ind. B.V.;;;;1;;;;;;1
Helder Werk B.V.;;;;;;1;;;;1
Helemaal Jij;;;;;;1;;;;1
Helicon Conservation Support B.V.;;;;;;1;;;;1
Helicon Opleidingen;;;;;;1;;;;1
Heliview conferences & Training;;;;;;1;;;;1
Helix Advies B.V.;;;;;;1;;;;1
Helix Learning;;;;;;1;;;;1
Henk Elich;;;;;;;;1;;1
Hennekes Special Seating B.V.;;;1;;;;;;;1
Herberg De Koppelpaarden;;;;1;;;;;;1
Herberg Molecaten VOF;;;;1;;;;;;1
Het Bakkertje;;;;;;1;;;;1
Het Beugeltje;;;;1;;;;;;1
Het Financieele Dagblad B.V.;;;;;;1;;;;1
Het gezonde lichaam;;;2;;;;;;;2
Het Heden;;;;1;;;;;;1
het Hoofdkantoor;;;;;;;;;1;1
Het Kookplein;1;;;1;1;;;;;1
Het Pleidooi;;;;1;1;;;;;1
Het Tiende Huis;;;;;;2;;;1;2
Hiawatha Actief;;;;;;1;;;;1
High Five Health Promotion B.V.;;;4;;;;;;;4
HLC Doetinchem B.V.;;;;1;;;;;;1
Hodac B.V.;;;;;;2;;;;2
Hodgkiss language & communication services;;;;;;1;;;;1
Hoekman Houtindustrie Rijssen B.V.;;;;2;;;;;;2
Hoens & Souren Advocaten;;;;1;;;;;;1
Hoeve Kromwijk;;;;1;;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;;1;;;;1
Hof van Holland;1;;;;;;;;;1
Hofje van Pauw;;;1;1;;1;;;;2
Hofje van Pauw: praktijk voor haptonomie;;;1;;;1;;;;1
Hofstad Events B.V.;;;;1;;;;;;1
Hogeschool NOVI B.V.;;;;;;1;;;;1
Hogeschool Rotterdam;;;;;;1;;;;1
Hogeschool Schoevers;;;;1;;1;;;;1
Hogeschool Utrecht;;;;;;1;;;;1
Hogeschool Windesheim;;;;;;2;;;;2
Holding Beheermaatschappij Ropeni B.V.;1;;;2;;1;;;;2
Holding Medical Navigator B.V.;;;;1;;;;;;1
Holland Consulting Group;;;;;;1;;;;1
Holland Maritime Services B.V.;;;;1;;;;;;1
Holland Tour Guides B.V.;1;;;1;;;;;;1
Home food & drinks;;;;1;;;;;;1
Hoogendijk Coaching en Opleiding;;;;;;1;;;;1
Hooghiemstra & Partners B.V.;;;;2;;;;;;2
Hoogland & Co B.V.;;;;;;1;;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;;1;;;;;;1
Horeca Spoordonk B.V.;;;;1;;;;;;1
Horeca Staverden B.V.;;;;1;;;;;;1
Horvat & Partners B.V.;;;;;;2;;;;2
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;;;;1;1
Hotel Contact B.V.;;;;;;1;;;4;4
Hotel De Jonge Exploitatie B.V.;;;;1;;;;;;1
Hotel Des Indes B.V.;;;;1;;;;;;1
Hotel Drachten B.V.;;;;;;;;;1;1
Hotel Indigo The Haque - Palace Noordeinde;;;;1;1;;;;;1
Hotel New York B.V.;;;;1;;;;;;1
Hotel Oranjeoord Exploitatie B.V.;;;;1;;;;;;1
Hotel Restaurant 'De Gravin van Vorden';;;;1;;;;;;1
Hotel Rotterdam-Blijdorp B.V.;;;;;;;;;1;1
Hotel-Café-Restaurant De Gouden Leeuw;;;;;;;;;1;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;;;;;;;;1;1
House of Lords;;;;1;;;;;;1
House of Lords B.V.;;;;2;;;;;;2
House of Sports;;;;1;;;;;;1
Hoveniersbedrijf en Forellenkwekerij Reijmer;;;;1;;;;;;1
how2ask;;;;1;;;;;;1
HOZA LOGISTIC SOLUTIONS;;;;2;;;;;;2
HR TO GO;;;;;1;1;;;;2
Hrd Groep;;;;;;1;;;;1
Hrd Groep Business;;;;;;2;;;;2
HSK Interventie B.V.;;;2;;;1;;;;2
HTM Personenvervoer N.V.;;;;;;;;;1;1
Hubble;;;;1;;;;;;1
Hudson Danzig B.V.;;;;2;;;;;;2
Hudson Zoetermeer B.V.;;;;3;;;;;;3
Huf & Go;;;;1;;;;;;1
HUF & GO TUK TUK;;;;;;;;1;;1
Huis van Verbeelding;;;;1;;;;;;1
Huisaanhuis.nu B.V.;1;;;;;;;;;1
Huisartsenpraktijk Roomburgh;;;;;;1;;;;1
Huitema Arbozorg op Maat;;;3;;;;;;;3
Hulshof TCP B.V.;;;;;;1;;;;1
Human Concept V.O.F.;;;;1;;;;;;1
Human Dimensions B.V.;;;;;;1;;;;1
Human Quality Management;;;;;;2;;;;2
Hummeltjes Kraamkado;;;;1;;;;;;1
Humphrey's Den Haag B.V.;;;;1;;;;;;1
Hurts Support;;;;;;;;;2;2
Huszár;;;;1;;;;;;1
Hutten Catering B.V.;;;;2;;;;;;2
HV Advies en Opleidingen;;;;;;1;;;;1
HVR PA/PR;2;;;;;;;;;2
I.K. Training & Ontwikkeling;;;;;;1;;;;1
IAPP;;;;;;1;;;;1
iBabs B.V.;;;;;1;;;;;1
ICM Administratie B.V.;;;;;;2;;;;2
ICM Opleiding & Trainingen;;;;;;2;;;;2
ICM Opleidingen & Trainingen B.V.;;;;1;;2;;;;2
Ideaalcatering B.V.;;;;1;;;;;;1
Ideeaanzee B.V.;;;;2;;;;;;2
IdeeVersa B.V.;;;;;;;;;2;2
IDO Research;2;;;;;;;;;2
Igluu B.V.;;;;;;1;;;;1
IJff Medisch Advies;;;4;;;;;;;4
IJsselpaviljoen Zutphen;;;;1;;;;;;1
IKA Nederland;;;1;;;;;;;1
Ikiks Communicatie Trainingen B.V.;;;;;;1;;;;1
Ikos Consult;;;;;;2;;;;2
Il Pozzo B.V.';;;;1;;;;;;1
Imaginez B.V.;;;;;;1;;;;1
IMC Mensontwikkeling B.V.;;;;1;;;;;;1
Impact Company;;;;;;1;;;;1
IMPAHLA B.V.;;;;;;1;;;;1
Impulsus Personal Quality & Results;;;;;;2;;;;2
Impulsus Personal Quality and Results;;;;2;;2;;;;2
In Den Stallen V.O.F.;;;;;1;;;;;1
In Pace B.V.;;;;1;;;;;;1
In vertrouwde handen bij Mathilde Mulder;;;;;;1;;;;1
In2Talent B.V.;;;;;;1;;;;1
in60seconds B.V.;1;;;1;;;;;;2
In-B-tween advies;;;;;;1;;;;1
India Glory;;;;1;;;;;;1
Indiaas Restaurant Taj Mahal;;;;1;;;;;;1
Indisch Restaurant Garoeda;;;;1;;;;;;1
Indonesische Toko Dapur Ibu;;;;1;;;;;;1
Infopact Netwerkdiensten B.V.;;;;;;1;;;;1
Infoprojects;;;;;;1;;;;1
Infram B.V.;;;;3;;;;;;3
ING Bank N.V.;;;;;;2;;;;2
Ingeburgerd Zwolle B.V.;;;;1;;;;;;1
Ingezicht;;;;;;2;;;;2
Innercity Training & Consultancy;;;;;;2;;;;2
InnerVitaal;;;4;;;;;;;4
Innova;;;;;;2;;;;2
Innovation/Change/Participation;;;;;;1;;;;1
Innovention Change Management B.V.;;;;;;1;;;;1
Inpakcentrale ICN B.V.;;;;1;;;;;;1
Inprocess Consultants B.V.;;;;;;;;2;;2
Inrush B.V.;;;;;;2;;;;2
InsideStory;;;;1;;1;;;;1
InsightsWorld B.V.;;;;;;5;;;;5
Inst. for Hous. and Urban Devel. Stud. B.V.;;;;1;;;;;;1
Institute for International Research IIR;;;;;;1;;;;1
Instituut HR Bedrijfskunde;;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;1;;1;;;;1
Instituut voor Arbeidsrecht B.V.;;;;;;1;;;;1
Instituut voor Juridische Opleidingen B.V.;;;;;;1;;;;1
Instituut voor Veiligheid en Milieu B.V.;;;;;;1;;;;1
Instituut voor Wijsbegeerte B.V.;;;;1;;1;;;1;1
Int. Knowledge & Networking (IKN) B.V.;;;;;;1;;;;1
Interarbeid Mediation & Consultancy B.V.;;;1;;;;;;;1
Interdepartementaal Trainee Overleg;;;;;;3;;;;3
Interimshop;1;;;;;;;;;1
Intermax outsourcing;;;;1;;;;;;1
Intermenso;;;;1;;1;;;;1
International Security Consultants B.V.;;;;;;1;;;;1
Interpactum B.V.;;;;2;;;;;;2
Interparking Nederland B.V.;;;;;;;;;1;1
Interstate Planning;;;;;;2;;;;2
Intop Mediationtoets;;;;;;1;;;;1
Invite Office en Event Support;;;;1;;;;;;1
INVK B.V.;;;;;;1;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;;;1;;;;1
IPMA Certificering B.V.;;;;;;1;;;;1
Ir. Mechtild Linssen, adv. in de v.h.v. B.V.;;;;1;;;;;;1
Iris Huys;;;1;;;;;;;1
IRM UK Strategic IT Training Ltd.;;;;;;1;;;;1
Irma Schouten;;;;1;;;;;;1
ISBW;;;;;;1;;;;1
ISBW Opleidingen B.V;;;;;;1;;;;1
Isolabella Pizzeria;;;;1;;;;;;1
ISS Integrated Facility Services B.V.;;;;1;;1;;;;2
IT Management Group;;;;;;2;;;;2
Itannex B.V.;;;;;;1;;;;1
ItaQ;2;;;;;;;;4;4
ITC Infotech India Limited;;;;;;;;;1;1
itslearning Nederland B.V.;5;;;;;;;;3;5
IVEX B.V.;;;3;;;;;;;3
IV-Experts.com B.V.;;;;;;1;;;;1
J.B.T. Schaafsma;;;3;;;;;;;3
JAARBEURS UTRECHT;;;;;;1;;;;1
Jahoma Development B.V.;;;;1;;;;;;1
James Watt Leisure B.V.;;;;1;;1;;;;1
Jamey Bennet Kitchen & Bar;;;;1;;;;;;1
Jan Rooijmans MMMusic;;;;;;1;;;;1
jannydierx.nl;;;;2;;;;;;2
Japans Restaurant Natsumi Fusion B.V.;;;;1;;;;;;1
Japas Café;;;;1;;;;;;1
Jebo Promotions;;;;1;;;;;;1
Jeu de Boulesbar B.V.;;;;1;;;;;;1
Jobdigger B.V.;;;;;;1;;;;1
JoJo Management B.V.;;;;1;;;;;;1
JoJotours B.V.;;;;;;;;;1;1
Jong Europe B.V.;;;;1;;;;;;1
Jongbloed B.V.;;;;1;;;;;;1
JoostenCoaching;;;;;;1;;;;1
Jordy Wedding Illustratie & Vormgeving;;;;1;;1;;;;1
Joris Leijtens;;;;;;1;;;;1
JorisMencke;;;;;;1;;;;1
JR Zuure Photography;;;;1;;;;;;1
JR's Cuisine;;;;1;;;;;;1
JS Consultancy B.V.;;;;;;;;;4;4
Juffrouw van Zanten Kralingen B.V.;;;;1;;;;;;1
Julia Wolff Management;;;;1;;;;;;1
Juliana Bloemen;;;;1;;;;;;1
Jumbo Supermarkt;;;;1;;;;;;1
JustBiz;;;;;;1;;;;1
Juurlink en Geluk BNSP Rotterdam B.V.;;;;;;2;;;;2
JVDT B.V.;;;;;;2;;;;2
Ka Lun B.V.;;;;1;;;;;;1
Kaai 13;;;;1;;;;;;1
Kaaij Advocatuur Mediation en Coaching;;;;2;;;;;;2
Kaap Doorn B.V.;;;;;;1;;;;1
