;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Grieks Specialiteiten Restaurant Knossos;;;1;;;1;;;1
Groen Management Advies B.V.;;;1;;;;;;1
Groepspraktijk Huisartsen De Compaenen;;1;;;;;;;1
Gumption26 B.V.;;;;;1;;;;1
Gusto Mangia e Bevi;;;1;;;1;;;1
Haaglanden Verhuur;;;1;;;;;;1
Haagse Pool Vereniging Hague Five;;;1;;;;;;1
Hacom Sportprijzen Centrum Assen;;;1;;;;;;1
Hanting Cuisine B.V.;;;1;;;;;;1
Hapas;;;1;;;1;;;1
Harbour Café B.V.;;;1;;;;;;1
Harry's Foodservice;;;1;;;1;;;1
Hassing Advies;;;1;;;;;;1
Havana B.V.;;;1;;;;;;1
HCR 't Langenbaergh V.O.F.;;;1;;;;;;1
HE Den Haag B.V.;;;1;;;;;1;1
Health2Work B.V.;;2;;;1;;;;2
Heartlife Klinieken B.V.;;;;1;;;;;1
Hein Post Wijnen Gastronomie;;;1;;;;;;1
Heldere Zaken;;;1;;;1;;;1
Heliview Conferences en Training B.V.;;;;;1;;;;1
Helming Coaching en Advies;;;;;1;;;;1
Hemelse Modder;;;1;;;;;;1
henkdehaan.org;;;1;;;1;;;1
Hennekes HealthCare;;1;;;;;;;1
Herberg De Fazant;;;1;;;1;;;1
Herkulosche Esch;;;1;;;;;;1
Hester Krol;;1;;;;;;;1
Het Drents Kwartiertje;;;2;;;1;;;2
Het Gegeven Paard;;;1;;;;;;1
Het Gegeven Paard B.V.;;;1;;;1;;;1
Het Goudkantoor;;;1;;;1;;;1
Het Grootste Kennisfestival;;;1;;2;;;1;2
Het Heerenhuis, Grandcafé, Lunch, Diner, Zal.;;;1;;;1;;;1
het Hoofdkantoor;;;;;2;;;;2
Het Huisartsenteam Dudok;;;;1;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;1;;;1
Het Kookplein;;;1;;;;;;1
Het LangeLand Ziekenhuis;;;;1;;;;;1
het Montferland;;;1;;;;;;1
Het Nederlands Openluchtmuseum;;;1;;;;;;1
Het Nieuwe Trivium;;;1;;;;;;1
Het Notuleercentrum B.V.;;;;;1;;;;1
Het Pakhuis;;;1;;;1;;;1
Het Paleis Groningen B.V.;;;1;;;1;;;1
Het Pleidooi;;;1;;;;;;1
Het Stalplein B.V.;;;1;;;;;;1
Het Zuiderlicht Managementadviseurs B.V.;;;;;2;;;;2
Hettema Verhuurt Praktisch Alles!;;;;1;;;;;1
HGRV Adviseurs Managers B.V.;;;;;;;;1;1
HHHpraktijk;;;;1;;;;;1
High Five Health Promotion B.V.;;;;;1;;;;1
Hippefruitmand.nl;;;1;;;;;;1
Hit it;;;1;;;1;;;1
HMC Antoniushove;;1;;;;;;;1
HMC Bronovo;;1;;;;;;;1
Hocarest B.V.;;;;;;1;;;1
Hoens Formule B.V.;;;;;1;;;;1
Hoeve Kromwijk;;;1;;;1;;;1
Hoezee B.V.;;;;;1;;;;1
Hoezo?;;;;;1;;;;1
Hoffmeister Coaching;;;;;1;;;;1
Hofstad Sports, Business & Events B.V.;;;1;;;1;;;1
Hoftrammm Holding S.C.M. B.V.;;;1;;;1;;;1
Hogenelst Horeca Groep B.V.;;;1;;;;;;1
Hogeschool Rotterdam;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;2;;;;;;2
Hollandse Nieuwe B.V.;;;;1;1;;;;1
Hondenschool Groningen;;;;;1;;;;1
Hooghoudt B.V.;;;1;;;1;;;1
Horeca Exploitatie Schiedamse Vest B.V.;;;1;;;;;;1
Horecabedrijf De Witte Raaf B.V.;;;1;;;1;;;1
Hortus;;;1;;;;;;1
Hotel 050;;;1;;;1;;;1
Hotel De Jonge Exploitatie B.V.;;;1;;;1;;;1
Hotel Des Indes B.V.;;;1;;;;;;1
Hotel Groningen-Hoogkerk B.V.;;;1;;;1;;1;1
Hotel Miss Blanche B.V.;;;;;;;;1;1
Hotel Modez B.V.;;;;;;;;1;1
Hotel Mondragon;;;;;1;;;;1
Hotel Restaurant Bitter en Zoet B.V.;;;1;;;1;;;1
Hotel Van der Werff B.V.;;;1;;;1;;;1
Hotel Zuiderduin B.V.;;;;;;;;1;1
Hotelexpl.mij. Janskerkhof Utrecht B.V.;;;;;;;;1;1
Houdt van Eten;;;1;;;1;;;1
House of Cooking;;;1;;;1;;;1
House of Media;;;;;1;;;;1
HSK Interventie B.V.;;1;;;1;;;;1
HTM Specials B.V.;;;1;;;;;;1
Huis van Verbeelding;;;;;1;;;;1
Huisartsen Amersfoort Zuid;;;;1;;;;;1
Huisartsen Laan op Zuid;;;;1;;;;;1
Huisartsen OUDE TURFMARKT;;;;1;;;;;1
Huisartsen praktijk Avicenna;;;;1;;;;;1
Huisartsenmaatschap Holtrop en Westermann;;;;1;;;;;1
Huisartsenmaatschap Nieuw Huys;;;;1;;;;;1
Huisartsenmaatschap Smits - Peters;;;;1;;;;;1
Huisartsenpraktijd Balwant-Gir;;;;1;;;;;1
Huisartsenpraktijk Bruggers en Lolkema;;;;1;;;;;1
Huisartsenpraktijk Curtevenne;;;;1;;;;;1
Huisartsenpraktijk De Griffioen;;;;1;;;;;1
Huisartsenpraktijk De Kroonsteen Beneden;;;;1;;;;;1
Huisartsenpraktijk 'De Triniteit';;;;1;;;;;1
Huisartsenpraktijk De Trommel;;;;1;;;;;1
Huisartsenpraktijk De Vecht;;;;1;;;;;1
Huisartsenpraktijk EM Kluitman;;;;1;;;;;1
Huisartsenpraktijk Feijenoord B.V.;;;;1;;;;;1
Huisartsenpraktijk Geuzenwaard;;;;1;;;;;1
Huisartsenpraktijk Gezondh.centrum Zevenkamp;;;;1;;;;;1
Huisartsenpraktijk Grote Waal;;;;1;;;;;1
Huisartsenpraktijk Het Baken;;;;1;;;;;1
Huisartsenpraktijk Honkoop en Spoek;;;;1;;;;;1
Huisartsenpraktijk Korte Akkeren;;;;1;;;;;1
Huisartsenpraktijk Lambertus;;;;1;;;;;1
Huisartsenpraktijk Maessen B.V.;;;;1;;;;;1
Huisartsenpraktijk Nicolay;;;;1;;;;;1
Huisartsenpraktijk 'Op 't Zand';;;;1;;;;;1
Huisartsenpraktijk Overschie B.V.;;;;1;;;;;1
Huisartsenpraktijk Rambharose B.V.;;;;1;;;;;1
Huisartsenpraktijk van der Laan;;;;1;;;;;1
Huisartsenpraktijk Vermaas & Bettman;;;;1;;;;;1
Huisartsenpraktijk Zaandam Oost;;;;1;;;;;1
Huisartsenpraktijk Zeswegen;;;;1;;;;;1
Huisartspraktijk Dukatenburg;;;;1;;;;;1
Huisartspraktijk Grote Fok B.V.;;;;1;;;;;1
Huisartspraktijk J.G. Borgman;;1;;;;;;;1
Huisartspraktijk Michon;;;;1;;;;;1
Huisartspraktijk Niessen-Schouwenaar;;;;1;;;;;1
Huisartspraktijk Woerden-Oost;;;;1;;;;;1
Huitsing;;;;;1;;;;1
Huize Molenaar B.V.;;;1;;;;;;1
Human Dimensions B.V.;;;;;2;;;;2
Humanagement;;;;;;1;;;1
HumanCapitalCare B.V.;;;;;1;;;;1
Humphrey's Rotterdam B.V.;;;1;;;1;;;1
Humphrey's Utrecht B.V.;;;1;;;;;;1
I.T.S. International Technical Service;;1;;;;;;;1
IADA V.O.F.;;;;;1;;;;1
IAMerica HEM B.V.;;;1;;;;;;1
IBC Logistics Center B.V.;;;;;1;;;1;1
IBM Nederland B.V.;;;;;1;;;;1
IBSE-Technologie Consulting B.V.;;;;;;;1;;1
ICAM B.V.;;;;;;;1;;1
ICI B.V.;;;;;;;1;;1
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;2;;;;2
ICS Opleidingen;;;;;2;;;;2
ICWE GmbH;;;;;1;;;;1
IDcentre B.V.;;;;;2;;;;2
Idols Rijswijk B.V.;;;1;;;;;;1
IItaly - Dario Donato;;;1;;;;;;1
IJsselland Ziekenhuis;;;;1;;;;;1
Ik gids u door Den Haag;;;1;;;;;;1
Ikos Consult;;;;;1;;;;1
Il Lago B.V.;;;1;;;1;;;1
Il Padrino Breda;;;1;;;1;;;1
Imono B.V.;;;1;;;1;;;1
Improved Learning B.V.;;;;1;1;;;;1
In de Steigers B.V.;;;;;1;;;;1
In Touch Women Resource Management B.V.;;;;;1;;;;1
Incasso Partners B.V.;;;1;;;;;;1
India Glory;;;1;;;;;;1
Indisch Restaurant Garoeda;;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;1;;;;;;1
Indoor Funcentre Breda;;;1;;;1;;;1
Indoorstrand Binn'n Pret B.V.;;;1;;;1;;;1
Inf. Syst. Aud. & Contr. Ass. Neth. Chapter;;;;;1;;;;1
Infini.nu;;;;;1;;;;1
Infinite Financieel B.V.;;;;;1;;;;1
Infix B.V.;;;;;2;;;;2
Info Support B.V.;;;;1;1;;;;1
Informatica Nederland B.V.;;;;;2;;;;2
Information Security Academy B.V.;;;;;1;;;;1
Info-Wonen;;;1;;;1;;;1
ING Commercial Finance B.V.;;;;;;;;1;1
Ingekleurt;;;;;1;;;;1
Innessence;;;;;1;;;;1
InsightsWorld B.V.;;;;;2;;;;2
Inspiratie op Locatie B.V.;;;1;;1;;;;1
Inspire Circle of Professionals;;;;;1;;;;1
Inst. for Hous. and Urban Devel. Stud. B.V.;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;;;1;;1
Instituut voor Publiek Leiderschap;;;;;1;;;;1
Instock Den Haag;;;1;;;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;1;;;;1
IntellinQ B.V.;;;;;1;;;;1
Interactive Concept;;;1;;;;;;1
Intercédé B.V.;;;1;;;;;;1
Interior Archives B.V.;;;;;1;;;;1
Intermenso;;1;;1;2;;;;2
International Anti Crime Academy B.V.;;;;;2;;;;2
Interscience B.V.;;;;;1;;;;1
Intransito;;;1;;;;;;1
IP Squared;;;;;1;;;;1
Ipcom Nederland B.V.;;;;;;;1;;1
IPMA Certificering B.V.;;;;;1;;;;1
ISS Integrated Facility Services B.V.;;;1;;;1;;;1
ISS Nederland B.V.;;;;;2;;;;2
Istanbul Catering;;;1;;;;;;1
It Fryske Gea;;;1;;;1;;;1
IT Management Group;;;;;2;;;;2
IT's Privacy;;;1;;1;1;;;1
IV-Experts.com B.V.;;;;;1;;;;1
Ivo Zandhuis Informatiesystemen;;;;;1;;;;1
J. Hoebe;;;1;;;;;;1
J. Khalaf;;;;;;;;1;1
J. Kos;;;1;;;;;;1
J. Muller;;;;;;;;1;1
J.H. Bosman;;;;;;;;1;1
J.H. van Embden Andres;;1;;;;;;;1
J.L. Stranders;;;;;1;;;;1
J.W. Pol & Partners B.V.;;;;;;;;1;1
Jachthaven Zuidwesthoek B.V.;;;1;;;;;;1
JaDeTo B.V.;;;;;1;;;;1
Ja-maar® B.V.;;;;;1;;;;1
Jamie's Italian Den Haag;;;1;;;;;;1
Jamin;;;1;;;;;;1
Jan de Wit Autocars N.V.;;;;;;;;1;1
Jan van Baardewijk;;;;;1;;;;1
Janmaat Raad & Daad;;;1;;;;;;1
Janskerkhof B.V.;;;1;;;;;;1
Jantine Zeeman Training, Onderw. en Specials;;;;;1;;;;1
Jasper Spaans ICT;;;;;1;;;;1
je leukste graffiti;;;1;;1;;;;1
Jechell Zorg;;;;;1;;;;1
Jentien Keijzer;;;;;1;;;;1
Jeu de Boulesbar B.V.;;;1;;;1;;;1
Joan Boere Organisatieadvies B.V.;;;;;1;;;;1
Job Events;;;;;1;;;;1
Joey Mercuur Patisserie;;;1;;;;;;1
Johan Tinge;;;;;1;;;;1
Johansson Horeca B.V.;;;1;;;;;;1
Jolieke Sorber Zang & Zangcoaching;;;;;1;;;;1
Joost Zoeteman;;;;;1;;;;1
Judith Meulenbrug;;;;;1;;;;1
Juffrouw Taart;;;1;;;1;;;1
Juliana's Cafe Restaurant;;;1;;;;;;1
Julius van IJperen;;;;;;1;;;1
Jutta Hulshof;;;;;2;;;;2
K.S.N.M. Werkgoed B.V.;;;1;;;1;;;1
Kaap Doorn B.V.;;;;;1;;;;1
Kaars Koffie B.V.;;;1;;;;;;1
Kairos Trainingen;;;;;1;;;;1
KAM Consultants B.V.;;;;;1;;;;1
Kamera Express Groningen B.V.;;1;;;;;;;1
Kamp Coaching - Training & Advies;;;;;2;;;;2
Karin Wikaart bedrijfspsycholoog;;;;;1;;;;1
Kartinie Cateringservice;;;1;;;;;;1
Keldercafé Merlot;;;1;;;1;;;1
Kensas B.V.;;;;;1;;;;1
Kepner-Tregoe Nederland;;;;;3;;;;3
Kessels & Smit, Publishers B.V.;;;;;2;;;;2
Kever Cabrio Rally;;;1;;;;;;1
Key Result;;;;;1;;;;1
Khoentis, Prakt. voor bewustword. en ontwik.;;;;;1;;;;1
Kickstart School B.V.;;;;;1;;;;1
KI-Coach;;;;;1;;;;1
Kikkerprint;;;1;;;;;;1
King Arthur B.V.;;;1;;;;;;1
Kings & Queens Assen B.V.;;;1;;;1;;;1
Kiran's Bakery B.V.;;;1;;;;;;1
Klantcontact Boosters B.V.;;;;;1;;;;1
Klantgericht Trainen;;;;1;;;;;1
Kleijne, W..;;;;;;;;1;1
Kleine Beer Brouwerij;;;;;1;;;;1
Klinkende Taal B.V.;;;;;1;;;;1
Kloek B.V.;;;2;;;;;;2
KNOBO B.V.;;;;;;;1;;1
Knols koek;;;;;1;;;;1
Koetsenruijter Conflictmanagement en Bemid.;;;;;1;;;;1
Koetshuis de Burcht;;;1;;;;;;1
Koffie- en Eetsalon 't Achterommetje;;;1;;;;;;1
Koken-op-maat;;;1;;;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;1;;1;;1
Kon. Verenig. van Archivarissen in Nederland;;;;;4;;;;4
Koos Sikkens AGF Paterswolde;;;1;;;;;;1
Kop & Schoud. Conc. & Promot. Services B.V.;;;1;1;1;;;;1
Korte Poten 1-3 B.V.;;;1;;;1;;;1
Kosterij Sint Joriskerk;;;1;;;;;;1
Kouwenhoven Opleidingen;;;;;1;;;;1
Kpinterimmanagement;;;;;1;;;;1
KPN B.V.;;;;;1;;;1;1
Kring van Zuid-Hollandse Archivarissen;;;;;1;;;;1
Krishna Vilas group of restaurants B.V.;;;1;;;;;;1
Kroeg van Klaas;;;1;;;1;;;1
KSG B.V.;;;;;2;;;;2
KSG Trainers & Consultants;;;;;2;;;;2
Kunskapsskolan Nederland B.V.;;;;;;;;1;1
Kunst&Kook workshopatelier;;;1;;;;;;1
L. Berbers;;;;;;;;1;1
L.M. de Vries;;;;;;;;1;1
La Bouquetterie;;;1;;;;;;1
La Elegance;;;;;;;;1;1
La Fenice Restaurant;;;1;;;;;;1
La Plancha;;;1;;;;;;1
La Red B.V.;;;;;1;;;;1
La Roque Utrecht B.V.;;;1;;;;;;1
Lagerweij & Partner Consultants B.V.;;;;;1;;;;1
Land van Kokanje B.V.;;;1;;;1;;;1
Landelijke Vereniging van Vertrouwenspersonen;;;;;1;;;;1
Landgoed B.V.;;;;;1;;;;1
Landgoed de Horst;;;;;;;;1;1
Landgoed de Horst B.V.;;;;;1;;;;1
Landgoed Hotel & Restaurant Carelshaven B.V.;;;;;;;;1;1
Landgoed Lockhorst;;;1;;;;;1;1
Landhuis Eten en Drinken;;;1;;;;;;1
Langeveld Eetcafe B.V.;;;1;;;;;;1
Larijs trainingen;;;;;1;;;;1
Laura Bakker;;;;;1;;;;1
Lautsprecher Teufel GmbH;;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Blanc Advies Process Management;;;;;1;;;;1
Le Connaisseur;;;1;;;;;;1
Le Taupe Beheer B.V.;;;;;1;;;;1
LE:EN Restaurant B.V.;;;;;1;;;;1
Leading Transformations;;;;;2;;;;2
Learn it B.V.;;;;;1;;;;1
Leaseplan Nederland N.V.;;;;;;;;2;2
Lectric Trainingen B.V.;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;;2;;;;2
Leids Congres Bureau B.V.;;;;;1;;;;1
Leidsche Glashandel B.V.;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
Leisure Concepts Holding B.V.;;;1;;;;;;1
Lekker;;;1;;;;;;1
Leo Bouwmeester;;;;;;1;;;1
Let's Cook Together;;;1;;;;;;1
Levi van Lingen;;;;;;;;1;1
Leyhoeve Horeca Groningen B.V.;;;1;;;1;;1;1
Libereaux B.V.;;;;;1;;;;1
Lily Schuimer;;;;;2;;;;2
Liman Restaurant;;;1;;;;;;1
Link Academy;;;;;1;;;;1
Little V Den Haag B.V.;;;1;;;;;;1
Locatie Vlietland Ziekenhuis;;1;;;;;;;1
LOCOletter B.V.;;;1;;;;;;1
Loekan;;;;;1;;;;1
Logeion;;;;;1;;1;;1
Logopedie & Stotterpraktijk Zeeheldenkwartier;;;;;1;;;;1
Lokaal 77;;;1;;;1;;;1
Long John;;;1;;1;;;;1
Loo Van Eck B.V.;;;;;1;;;;1
LOOF;;;1;;;;;1;1
Loof training en advies B.V.;;;;;1;;;;1
Lostivale;;;1;;;1;;;1
Louis XV;;;1;;;1;;;1
Louisa Vijfschaft Juridisch Advies;;;;;1;;;;1
Louwman Holdings B.V.;;;;;1;;;;1
Lovers of Event & Catering;;;1;;;;;;1
LS Holding B.V.;;;;;1;;;;1
LSR B.V.;;;;;1;;;;1
LTP Advies B.V.;;;;2;1;;;;2
LTP Holding B.V.;;;;;2;;;;2
luc;;;1;;;;;;1
Luden B.V.;;;1;;;1;;;1
Luden Utrecht;;;1;;;;;;1
Lumage Managing Customer Relations B.V.;;;;;4;;;1;4
Luuk Ex;;;;;1;;;;1
M&M Consult;;;;;1;;;;1
M. de Rooij Pensioen B.V.;;;1;;;;;;1
M. Esghir;;1;;;;;;;1
M. Roman;;;1;;;;;;1
M. Wijsman;;;;;;;;1;1
M.A. Visser, huisarts;;;;1;;;;;1
M.G.W.M. Franssen;;1;;;;;;;1
M.H. Akkerman;;;;;1;;;;1
M.J.W. Grosfeld Holding B.V.;;1;;;;;;;1
Maallust B.V.;;;1;;;1;;;1
Maarsingh & Van Steijn Psynovatie B.V.;;1;;;;;;;1
Maas International B.V.;;;1;;;;;;1
Maatschap Coerts Croonen en Keizer;;;;1;;;;;1
Maatschap M.J. Riemens en K.M. Riemens;;;1;;;;;;1
Magic Time;;;1;;;;;;1
Mainpress B.V.;;;;;1;;;;1
Maite Vanhellemont;;;;;1;;;;1
MaMa Kelly B.V.;;;1;;;;;;1
Manders Productions;;;1;;;;;;1
Mansystems Nederland B.V.;;;;;2;;;;2
Manta Beach;;;1;;;1;;;1
Margo Hendriks training & coaching;;;;;1;;;;1
Maria Paviljoen;;;1;;;;;;1
MARIA'S Biologische Catering en Eetwinkel;;;1;;;;;;1
Mariënburggroep B.V.;;;;;1;;;;1
Marietje Beemsterboer;;;;;;1;;;1
Marijke van Dijk Organisatieadvies & Coaching;;;;;1;;;;1
Mark Schep Museumeducatie en Onderzoek;;;;;1;;;;1
Marosel B.V.;;;;;6;;;;6
Marqt;;;1;;;;;;1
Martini Hotel Group B.V.;;;1;;;1;;1;1
Masterclass Academy of Languages B.V.;;;;;1;;;;1
Matsu Consultancy;;;;;1;;;;1
Matthieu Maas;;;;;2;;;;2
Maven Publishing B.V.;;;1;;;;;;1
Mavim B.V.;;;;;2;;;;2
Maximal Reizen;;;1;;;;;;1
MAZO brasserie;;;1;;;;;;1
MBO Events B.V.;;;;;1;;;;1
MdL-Coaching;;;;;1;;;;1
Meca B.V.;;;;;1;;;;1
Media Inn B.V.;;;;;1;;;;1
Mediavrouw;;;;;2;;;;2
Medisch Centrum Czaar Peter;;;;1;;;;;1
Medisch Centrum Leeuwarden B.V.;;;;1;;;;;1
Medisch Kwartier;;;;1;;;;;1
Medisch Specialisten Noord West;;;;1;;;;;1
Mediterraan Restaurant Celik;;;1;;;;;;1
Medity Medisch Instituut;;;;1;;;;;1
Meerweg Exploitatie Haren B.V.;;;1;;;1;;;1
Mees Hakkenberg Consultancy;;;;;;;;1;1
MeetIn B.V.;;;;;2;;;;2
Meetingselect B.V.;;;2;;4;;;2;4
Meinardi Beheer B.V.;;;1;;;;;;1
Meneer Jan B.V.;;;1;;;1;;;1
Merleyn;;;1;;;1;;;1
Meulenberg Training & Coaching;;;;;1;;;;1
MFC Engelbert;;;1;;;1;;;1
Michel Renses h.o.d.n. Makelaarnu Stadskanaal;;;;;2;;;;2
Middleton B.V.;;;;;;;;1;1
Mier Entertainment;;;;;1;;;;1
Mijnheer Dut;;;;;1;;;;1
Mila de Koning Mindfuness Training & Coaching;;;;;1;;;;1
Milou Adjanga;;;;;1;;;;1
Mind at Work B.V.;;1;;;;;;;1
Mindcampus B.V.;;;;;1;;;;1
Mindfulness Hillegom;;;;;1;;;;1
MingleMush B.V.;;;1;;;;;;1
Ministry of messages;;;;;1;;;;1
Mirjam van der Vegt;;;;;1;;;;1
Mobiel Casino Nederland B.V.;;;1;;;;;;1
MobilebarSolutions;;;1;;;;;;1
Mollinger, Meeuwes;;;1;;;;;;1
Monsterevents;;;1;;;;;;1
Montage-/Handelsonderneming VM;;;1;;;;;;1
Moodboost;;1;1;;;;;;2
More Balls Than Most B.V.;;;;;1;;;;1
Mosa Conference;;;;;2;;;;2
Mr & Mrs Oasis;;;;1;;;;;1
Mr Black and The White ox;;;1;;;;;;1
Mrs V;;;;;1;;;;1
MSB Zuid-Hollandse Eilanden;;;;1;;;;;1
MSF Coaching and Research;;;;;1;;;;1
Mts. Universitaire Orthopaed. Groep Nijmegen.;;1;;;;;;;1
MTSA Technopower Projectrealisatie B.V.;;;;;1;;;;1
Munckhof Regie;;;;;1;;;;1
Munckhof Reizen B.V.;;;;;1;;;1;1
Museum Beelden aan Zee;;;1;;;;;;1
Museum Catering B.V.;;;1;;;;;;1
Museum Catering Den Haag B.V.;;;2;;;;;;2
Museum Van Loon;;;1;;;;;;1
Museumkwartier B.V.;;;1;;;;;;1
Muzus B.V.;;;;;1;;;;1
My HBM Support B.V.;;;;;1;;;;1
N.B.C. Exploitatie B.V.;;;;;1;;;1;1
N.V. Nederlandse Spoorwegen;;;;;;;;2;2
nai010 uitgevers/publishers;;;1;;;;;;1
Nano Technology Instruments- Europe B.V.;;;;;;;1;;1
Nationaal Gevangenismuseum;;;1;;;1;;1;1
Nationaal Onderduik Museum;;;1;;;1;;;1
Nationale Handelsacademie B.V.;;;;;1;;;;1
Nationale Opera & Ballet;;;1;;;;;;1
Natuur en Mens;;;1;;;;;;1
NCOD Opleidingen B.V.;;;;;2;;;;2
NCOI Trainingen B.V.;;;;;3;;;;3
Ned. Gen.schap van Funct. Gegevensbescherming;;;;;1;;;;1
Nederl. Ber.ver. voor Contractmanagement;;;;;1;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;;;;1;;;;1
Nederlands Architectuur Forum;;;;;1;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;1;;;;1
Nederlands Fotogenootschap;;;;;;;1;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;4;;;;4
Nederlandse Vereniging voor Burgerzaken;;;;;1;;;;1
Nederlandse Vereniging voor Europees Recht;;;;;;;1;;1
Nederlandse Vereniging voor Examens;;;;;;;1;;1
NEDFAC B.V.;;;;;1;;;;1
Nel Schellekens;;;1;;;;;;1
Nesma B.V.;;;;;1;;;;1
NetQloud B.V.;;1;;;;;;;1
Neurologenpraktijk Midden-Nederland;;1;;;;;;;1
Neve;;;;;1;;;;1
Nevi B.V.;;;;;1;;;;1
NEVI-Purspective B.V.;;;;;2;;;;2
NGI B.V.;;;;;1;;;;1
Ngoma;;;;;1;;;;1
Ni Hao Stadsparkpaviljoen B.V.;;;1;;;1;;;1
Nicky-Tax;;;;;;;;1;1
Nicolai's steekijs;;;1;;;1;;;1
Nieuw Allardsoog;;;;;1;;;;1
Nieuwe of Litteraire Sociëteit De Witte;;;;;;1;;;1
Nieuwhuis Consult B.V.;;;;;1;;;;1
Nikkels Music Productions;;;1;;;;;;1
Nina Faneker;;;1;;;;;;1
Ninetyseven Agency;;;1;;;;;;1
Nive B.V.;;;;;2;;;;2
Nivoo Opleidingen B.V.;;;;;1;;;;1
NLJUG B.V.;;;;;1;;;;1
NLUUG;;;;;1;;;;1
NnU;;;;;1;;;;1
Nobbe Mieras Trainingen;;;;;1;;;;1
Noloc;;;;;1;;;;1
Noorderpoort;;;1;;1;1;;1;1
Nordic Hotels OU;;;;;1;;;;1
NoRisk Veiligheidsopleidingen B.V.;;;;;1;;;;1
Northstorm;;;1;;;;;;1
Northwave B.V.;;;;;2;;;;2
Notenmaker;;;1;;;;;;1
NS Reizigers B.V.;;;;;;;;4;4
NS Stat. Ret.bdr. B.V./Kiosk hal (Amersfoort);;;1;;;;;;1
Nsob;;;;;1;;;;1
NTC Vastgoed Den Haag;;;1;;;;;;1
NTI B.V.;;;;;1;;;;1
Octopus Photography;;;;;1;;;;1
Odyssee B.V.;;;;;1;;;;1
Office Athletes B.V.;;1;;;;;;1;1
Office Depot B.V.;;;1;;1;;;;1
OfficeOrganizer Sietske Duijn;;;;;1;;;;1
OGZ B.V.;;;;;1;;;;1
Omni Mobilae Binnen;;;;1;;;;;1
Onder de Linden Roden;;;;;;;;1;1
Onderneem 't - Projecten;;;;;1;;;;1
One Fox B.V.;;;;;;;;1;1
Onemeeting.com B.V.;;;;;1;;;1;1
OnlyHuman Groep B.V.;;;;;2;;;;2
Ooperon B.V.;;1;;;;;;;1
Open Ateliers B.V.;;;;;1;;;;1
oPEn Campus B.V.;;;;;1;;;;1
Open Text Coöperatief UA;;;;;1;;;;1
Operation Exit;;;1;;;;;;1
Optelec Nederland B.V.;;1;;;;;;;1
Ordina N.V.;;;;;1;;;;1
Original Tours & Activities Nederland B.V.;;;1;;;1;;;1
ORM Massages;;1;1;;;;;;1
Oscars;;;1;;;;;;1
Oskam Recruitment Consultancy;;;;;1;;;;1
OSP B.V.;;;1;;;1;;;1
OSR Juridische Opleidingen B.V.;;;;;2;;;;2
oud-Katholieke parochie van de H. Martinus;;;;;;;;1;1
Outsource Uk Limited;;;;;1;;;;1
OutSystems Benelux B.V.;;;;;2;;;;2
P.G.M. Weijers;;;1;;;;;;1
PAADWIIS!;;;;;1;;;;1
Pacific Groningen;;;1;;;1;;;1
Palmette B.V.;;;1;;;;;;1
Papieren Tijger Beheer B.V.;;;;;1;;;;1
Parfumerie Douglas Nederland B.V.;;;1;;;1;;;1
Park Hey B.V.;;;1;;;;;;1
Parkeerstation P+R Pelikaanlaan;;;;;1;;;;1
Parkpaviljoen Wezenlanden B.V.;;;1;;;;;;1
Parnassia B.V.;;1;;;;;;;1
Parthen Meeting Essentials B.V.;;;;1;;;;;1
Pass;;;;;1;;;;1
Passie voor Vuur;;;1;;;;;;1
Passion@Work;;;;;1;;;;1
Pasteur Beleggingen B.V.;;;1;;;;;;1
Pasveer, Annet;;;;;1;;;;1
PaulBlok.Com;;;;;1;;;;1
Paulien Excursions;;;1;;;1;;;1
Paviljoen Pool;;;1;;;1;;1;1
Paviljoen van de Dame B.V.;;;1;;;1;;;1
Pavlov;;;1;;;;;;1
PBLQ B.V.;;;;;2;;;;2
Pedagogisch Coachen;;;;;1;;;;1
Pellenaer Events B.V.;;;;;;1;;;1
PensioenKompaan;;;;;1;;;;1
Performa Uitgeverij B.V.;;;;;1;;;;1
Personeelsvereniging RKD;;;1;;;;;;1
Peter Paul Jongerius Organisatieontwikkeling;;;;;2;;;;2
Peter Vader Trainingen;;;;;1;;;;1
Phaos Advies B.V.;;;;;1;;;;1
