Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
The Commons Den Haag B.V.;;;1;;;;;;1
The Dupont Circle Doyle Hotel Group USA Limited;;;;;;;;2;2
The Hague Marriott;;;;;;1;;1;1
The Head Office Consulting;;;;;1;1;;;1
THE INDIAN HOTELS CO. LTD. THE TAJ MAHAL PALACE MUMBAI;;;;;;;;1;1
The New How;;;;;1;;;;1
The Square Mile Public Sector Training B.V.;;;;;1;;;;1
Tijdloos Theater- en Muziekproducties;;;;;;1;;;1
Tilkema Horeca B.V.;;;;;;1;;;1
Timmermans Opleidingsconsultancy;;;;;2;;;;2
Toko Asli B.V.;;;;;;1;;;1
Tonco Modderman Training & Advies;;;;;2;;;;2
Topgeschenken Nederland B.V.;;1;1;;;1;;;1
Tornak Groep B.V.;;;;;2;;;;2
Total Care Store Heerhugowaard;;1;;;;;;;1
Tower Leisure B.V.;;;1;;;;;;1
train2work B.V.;;;;;2;;;;2
Tramrestaurant Hoftrammm B.V.;;;;;;1;;;1
Transamerica Comercial E Servicos Ltda Sao Paolo;;;;;;;;1;1
Tri Tunggal;;;;;;1;;;1
TriamFloat B.V.;;;;;3;;;;3
Troje Training en Theater;;;;;1;;;;1
UF De Schilde B.V.;;;;;;1;;;1
Uitjes in Holland;;;;;;1;;;1
UniCarriers Netherlands B.V.;;;;;1;;;;1
UrbanGuides;;;;;;1;;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;1;;;;;;1
Van de Bunt, Advis. v. Org. en Beleid B.V.;;;;;2;;;;2
Van der Meer Tours/Tournado B.V.;;;;;;1;;;1
Van der Valk Hotel Bijhorst;;;;;;;;1;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;2;;;;2
Van Hulzen Communicatie;;;;1;;;;;1
Van Rijn-Dewina Praktijk B.V.;;;;;1;;;;1
VCK Travel B.V.;4;;1;;1;1;;8;8
Veenerick V.O.F.;;;1;;;;;;1
Verdraaide Organisaties B.V.;;;;;1;;;;1
Vereniging Bedrijfscollecties Nederland;;;;;1;;;;1
Vereniging SANEC Emea;;;;;;1;;;1
Vereniging VNO-NCW;;;;;1;1;;;1
Veronica Cars Nv Leefdaal;;;;;1;;;;1
Verybz;;;;;;1;;2;2
Victor de Stuersstichting;;;;;1;;;;1
Vijverberg Interim B.V.;;;;;1;;;;1
VILLA K�LLHAGEN;;;;;;;;1;1
Village Ridge Boutique Hotel Pretoria;;;;;;;;1;1
Vincent's Management B.V.;;;1;;;;;;1
Vital Change B.V.;;;;;;1;;;1
Vlaardingse Taxicentrale B.V.;;;;;;;;1;1
VNSG Diensten B.V.;;;;;1;;;;1
Vocale Communicatie Training Elizabeth Ebbink;;;;;1;;;;1
Voedingsbodem;;;;;1;;;;1
Voor Tekst;;;;1;;;;;1
W.P. Joh. de Liefde & Zn.;;;;;;1;;;1
Waardebron Bilthoven;;;;;2;;;;2
Warung Bude Kati;;;;;1;;;;1
Wendy van Leusen;;;;;1;;;;1
Werklust;;;;;1;;;;1
WFP - World Food Programme;;;;;;;;1;1
Wicked Jazz Sounds;;;1;;;;;;1
Wilmar Photography;;;;1;;;;;1
WIM managementtrainingen B.V.;;;;;1;;;;1
World Forum Convention Center N.V.;;;;;;2;;;2
Worldmeetings.com B.V.;;;;;2;1;;3;4
Xerox (Nederland) B.V.;;;;1;1;1;;1;1
XL10 Training B.V.;;;;;1;;;;1
XpatCoach;;;;;1;;;;1
Xportwise;;;;;3;;;;3
Yearth B.V.;;;;;1;;;;1
Your Choice Catering;;;;;;1;;;1
Yuan Massage;;1;;;;;;;1
Zebedeus Café-Restaurant;;;;;;1;;;1
Zero10 Training;;;;;1;;;;1
ZINWAARTS;;;;;1;;;;1
Zzamen;;;;;1;;;;1
Eindtotaal;7;6;2;5;7;5;2;8;9
