Rijlabels;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS specifiek;Eindtotaal
Wageningen Plant Research;;;;;4;;4
AJ Vaccines A/S;;;;;;5;5
Bio-Rad Laboratories B.V.;;3;4;;;;5
CGI Nederland B.V.(Logica Ned.B.V.);;;;;;5;5
Fisher Scientific of the Netherlands B.V.;;5;2;;;;5
Kiwa VERIN B.V.;5;;;;;;5
Stichting Fonds Instituut Clingendael;;;;;5;;5
Wageningen Research Holding B.V.;;;;;5;;5
Envitec N.V.;;;6;;;;6
BaseClear B.V.;6;3;;;;;7
Blackbird Consultancy;;;;;;7;7
Devrimed B.V.;;7;;;;;7
Elisabeth-TweeSteden Ziekenhuis Facturen en ook Laboratorium;7;;;;;;7
IJsselland Ziekenhuis;7;;;;;;7
KPN B.V.;;;;;;7;7
PerkinElmer Nederland B.V.;7;4;4;;;;7
sanofi-aventis Netherlands B.V.;;;;;;7;7
Stichting Isala Klinieken;7;;;;;;7
TNO B.V.;7;;;;7;;7
VWR International B.V.;;6;2;;;;7
Merck Sharp & Dohme B.V.;;;;;;8;8
Mylan B.V.;;;;;;8;8
Pfizer B.V.;;;;;;8;8
GlaxoSmithKline B.V.;;;;;;10;10
Eindtotaal;8;8;7;6;8;11;11
