Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Black Label Light & Sound;;;1;;;;;1
BlackRockStar;;;;;;;1;1
Blankestijn & Partners B.V.;;;;;1;;;1
Blesbanket;;;1;;;;;1
Blijburg B.V.;;;1;;;;;1
Blijvend anders;;;;;1;;;1
Blijwin;;;1;;;;;1
Blissense;;;;;1;;;1
Blitz Events;;;1;;;;;1
BLOEM;;;;;;;1;1
bloem & styling aan de zeven alleetjes;;;1;;;;;1
Bloembinderij Cees Van Eijck;;;1;;;;;1
Bloembinderij Geschikt;;;1;;;;;1
Bloembinderij Myosotis;;;1;;;;;1
Bloembinderij Provence;;;1;;;;;1
Bloemenatelier in de Roos;;;1;;;;;1
Bloemengalerie Het Kerkbrugje;;;1;;;;;1
Bloemenhandel Weggemans;;;1;;;;;1
Bloemenhuis De Narcis;;;1;;1;;;1
Bloemenhuis 'Meindert';;;1;;;;;1
Bloemenmagazijn Johan;;;1;;;;;1
Bloemsierkunst Anggrek;;;1;;;;;1
Bloemsierkunst Krayenhoff V.O.F.;;;1;;;;;1
Blom Beroepsopleidingen B.V.;;;;;1;;;1
Blom Opleidingen;;;;;1;;;1
Blom Veugelers Zuiderman Advocaten;;;;;;;1;1
BlomBerg Society B.V.;;;;;1;;1;1
blooming hotel en conferentielandgoed B.V.;;;;;1;;;1
Bloopers CafÃ© B.V.;;;1;;;;;1
BLOSSOM bloemisterij;;;1;;;;;1
Blygold Laboratories B.V.;;;1;;;;;1
BMC Advies B.V.;;;;;1;;;1
Bo & Ro KookInstituut B.V.;;;;;;;1;1
BOCA Horeca B.V.;;;1;;;;;1
Boca Kaarsen Groep B.V.;;;1;;;;;1
Bodil Producties;;;;;1;;;1
Body & Mind Sports;;;1;;1;;;1
BodySports B.V.;;;1;;;;;1
Boefje B.V.;;;;;;;1;1
Boeiend;;;;;;;1;1
Boek en Service;;;;;1;;;1
Boeketcadeau.nl;;;1;;;;;1
Boekhandel Jansen & De Feijter;;;1;;;;;1
Boekhandel Van der Velde B.V.;;;1;;;;;1
Boekhandel Waanders B.V.;;;;;;;1;1
Boerderij Camping 'Bouwlust';;;1;;;;;1
Boerderij Dichtbij;;;1;;;;;1
Boerensolexverhuur;;;1;;;;;1
Boerke Verschuren;;;1;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;3;;;3
Bogaerts & Groenen Advocaten B.V.;;;;;1;;;1
Bohms Beheer;;;;;;;1;1
Boin Bedrijfstrainingen;;;;;2;;;2
Bokaal B.V.;;;;;;;1;1
Bokkers;;;;;;;1;1
Bokstijn Feestartikelen;;;1;;;;;1
bol.com B.V.;;;1;;;;1;1
Bolletje Winkel & Koffieschenkerij Anno 1867;;;1;;;;;1
Bolten Training en Advies;;;;;1;;;1
Bombari B.V.;;;1;;;;;1
Bommel;;;;;;;1;1
Bommels B.V.;;;;;;;1;1
Bon Bon Partyservice B.V.;;;1;;;;1;1
Bon Bon Prestige;;;3;;;;;3
Bon Courage B.V.;;;;;2;;;2
Bonbon Atelier A3;;;1;;;;;1
Bonbonatelier Janson;;;1;;;;;1
Bonbonnerie Borrel;;;1;;;;;1
Bongo Belevenisbon;;;1;;;;;1
Bonheur Horeca Exploitaties B.V.;;;1;;;;;1
Bontolie;;;1;;;;1;1
Bookx B.V.;;;1;;;;;1
Boom uitgevers Amsterdam B.V.;;;1;;1;;;1
Boom uitgevers Den Haag;;;1;;;;;1
Boomerang Beach;;;1;;;;;1
Boontje B.V.;;;1;;1;;;1
Boost Events;;;1;;;;;1
Boot 10 Amsterdam B.V.;;;1;;;;;1
Boot Varen Den Haag;;;1;;;;;1
Boots apotheek Emma;;;1;;;;;1
Bootsma De Rouwe Advocaten;;;;;;;1;1
Borealis Horeca Exploitaties B.V.;;;;;;;1;1
BO-Rent B.V.;;;;;;;1;1
Borgo d'Aneto B.V.;;;;;;;1;1
BORO Scheveningen B.V.;;;1;;;;;1
Borrel Bar;;;1;;;;;1
Bos & Bos GAE B.V.;;;;;;;1;1
Bos Incasso B.V.;;;;;;;1;1
Bosan B.V.;;;;;1;;;1
Boscaf� het Maasdal;;;;;;;1;1
Boshotel Vlodrop;;;;;1;;1;1
Bosporus;;;1;;;;;1
Bossers & Cnossen B.V.;;;;;1;;;1
Botenverhuur De Rijnstroom;;;1;;;;;1
Boterhal;;;;;;;1;1
Boterwaag Den Haag B.V.;;;1;;;;1;1
Boulevardtrein;;;1;;;;;1
Bounin Special Services;;;;;;;5;5
Bouquetterie Fronita;;;1;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;;;;1;;;1
Bouvigne Paradijs B.V.;;;1;;;;;1
BOW psychologisch advies;;;;1;;;;1
Bowa Sportprijzen en Relatiegeschenken;;;;;1;;;1
Bowlen & Zo B.V.;;;1;;;;;1
Bowling & Partycentrum Zaandam;;;1;;;;;1
Bowling Almere B.V.;;;1;;;;;1
Bowling Bergen op Zoom B.V.;;;1;;;;;1
Bowling 'De Kruitmolen';;;1;;;;;1
Bowling en Party Centrum Breda;;;1;;;;;1
Bowling- en Partycentrum De Schelmse Brug;;;1;;;;;1
Bowling- en Partycentrum Krimpenhof B.V.;;;;;;;1;1
Bowling en Partycentrum Lelystad B.V.;;;1;;;;;1
Bowling- en Partycentrum 's-Heerenberg B.V.;;;1;;;;;1
Bowling- en Partycentrum Westerpark B.V.;;;1;;;;;1
Bowling Exploitatie Maaspoort;;;1;;;;;1
Bowling Harderwijk B.V.;;;1;;;;;1
Bowling Scheveningen B.V.;;;1;;;;;1
Bowling-Bistro Merlijn B.V.;;;1;;;;1;1
BPI Services B.V.;;;;;2;;;2
BPM Medica;;;;2;;;;2
Brabant Expres B.V.;;;;;;;1;1
Brain Box Mediatraining B.V.;;;1;;2;;;2
Braint;;;;;1;;;1
Bram Graafland;;;;;1;;;1
Brammer Consultancy;;;;;1;;;1
Branchever. Profess. Bewindvoerd./Inkom.beh.;;;;;1;;;1
Brandpreventie Academy B.V.;;;;;1;;;1
BrandsÃ¸n, drinking bar & dining room;;;1;;;;;1
Brasilbinkie B.V.;;;;;;;1;1
Brasserie 155 B.V.;;;1;;;;1;1
Brasserie Bakboord B.V.;;;;;;;1;1
Brasserie Bob & Co;;;1;;;;;1
Brasserie Buitenhof;;;1;;;;1;1
Brasserie Carpe Diem By Daan;;;;;;;1;1
Brasserie De 7 Deugden;;;1;;;;1;1
Brasserie de Alphense Burgemeester;;;1;;;;1;1
Brasserie de Berk B.V.;;;1;;;;;1
Brasserie De Boerderij;;;;;1;;1;1
Brasserie de Drukkerij B.V.;;;;;;;1;1
Brasserie de Houtrib;;;;;;;1;1
Brasserie De Kloostertuin;;;;;;;1;1
Brasserie de Koepel;;;1;;;;1;1
Brasserie de Markt B.V.;;;;;;;1;1
Brasserie de Swaen;;;;;;;1;1
Brasserie de Zeezot;;;;;;;1;1
Brasserie d'Oude Veiling;;;1;;;;1;1
Brasserie Down Town;;;1;;;;1;1
Brasserie Eldorado B.V.;;;;;;;1;1
Brasserie 'Het Vliegerhuys';;;;;;;1;1
Brasserie Lodge Visdonk;;;;;;;1;1
Brasserie Midi;;;1;;;;1;1
Brasserie NUL76;;;1;;;;1;1
Brasserie Ome Bernard B.V.;;;;;1;;1;1
Brasserie Soho B.V.;;;1;;;;1;1
Brasserie Spiegelaar;;;1;;;;;1
Brasserie 't Zusje Raamsdonksveer B.V.;;;;;;;1;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;1
Brasserie 't Zusje Sint-Oedenrode B.V.;;;1;;;;;1
Brasserie 't Zusje Uden B.V.;;;1;;;;1;1
Brasserie Tante Pos;;;1;;;;;1
Brasserie Van Dam B.V.;;;1;;;;;1
Brasserie Vuur B.V.;;;;;;;1;1
Brasserie Waalhaven;;;1;;1;;1;1
Brasserie Willemientje;;;;;1;;;1
Brasserie Zypendaal;;;;;;;1;1
Brasserie-Traiteur Dungelmann B.V.;;;;;;;1;1
Brauwers B.V.;;;;;;;1;1
Brave media;;;;;1;;;1
Bravo-Preventie;;;;;1;;;1
Braza B.V.;;;;;;;1;1
Break Free Fun Company;;;2;;;;;2
Break Out Events B.V.;;;1;;;;;1
Break-Out Gruno Park B.V.;;;1;;1;;;1
Breakout Room;;;1;;;;;1
Breakout Rotterdam;;;1;;;;;1
Breda Promotions;;;1;;;;;1
Bredzz;;;;;;;1;1
Breetveld Organisatie Adviseurs;;1;;;;;;1
Breijwerk Management V.O.F.;;;1;;;;;1
Breizh B.V.;;;1;;;;;1
BRENDING;;;1;;;;;1
Bres Hulpmiddelen;;;1;;;;;1
Breur IJzerhandel Vlietlaan B.V.;;;2;;;;;2
Brezel;;;1;;;;;1
Brezo-Elan B.V.;;;1;;;;;1
Bricks Zwolle B.V.;;;;;;;1;1
Bright Events;;;1;;;;1;1
Brillat-Savarin B.V.;;;1;;;;1;1
Brilmij Groep B.V.;;1;;;;;;1
Brinkhof N.V.;;;;;1;;;1
Brinkhuis Consultancy;;;;;1;;;1
Brinkman t.h.o.d.n. SUBWAY Rijswijk;;;;;;;1;1
Briska Smit;;;;;;;1;1
Brisk-Consultancy;;;1;;1;;;1
Brodies;;;1;;;;;1
Broekers B.V.;;;;;1;;;1
Broers;;;1;;;;1;1
Bronkhorstermolen;;;1;;;;;1
Brood- & Banketbakkerij Prins;;;1;;;;;1
Brood- en Banketbakkerij Godschalk;;;;;;;1;1
Brood- en Banketbakkerij Mulder;;;;;;;1;1
Brood- en Banketbakkerij P.A. Bliek;;;1;;;;;1
Broodje Ben;;;;;;;1;1
Broodje van Martin;;;1;;;;;1
Broodjes Direct;;;;;;;1;1
Brookhuis Reizen;;;;;;;1;1
Brouwer Financi�le Hulpverlening;;;1;;;;;1
Brouwerij Martinus;;;1;;;;;1
Brouwhuis Breda B.V.;;;1;;;;1;1
Brug in Bedrijf;;;2;;2;;1;3
Br�ggemann horeca groep;;;;;1;;1;1
Bruis;;;;;1;;;1
BS Workspace Solutions;;1;;;;;;1
BTO B.V.;;;;;2;;;2
Buba Entertainment B.V.;;;;;1;;;1
Bubbels Agency;;;1;;;;;1
Buchrnhornen B.V.;;;1;;;;;1
Buckaroo B.V.;;;;;;;1;1
Buena Vista Beach Club B.V.;;;2;;;;1;2
Buffetrestaurant Thijs & Aafke;;;;;;;1;1
Buggy-Fun;;;1;;;;;1
Building Better People;;;;;1;;;1
Building for Tomorrow B.V.;;;;2;;;;2
BuitenBusiness B.V.;;;1;;1;;;1
Buitenhuis AlbaNera;;;;;1;;;1
Bullit House;;;1;;;;;1
Bureau 51;;;1;;;;;1
Bureau Beke;;;;;1;;1;1
Bureau De Jong en de Jong;;1;2;;;;;2
Bureau de Wissel;;1;;;1;;;1
Bureau Fris B.V.;;;;;1;;;1
Bureau Jeugdzorg Limburg;;;;;1;;;1
Bureau Maaiveld;;;;;1;;1;1
Bureau Maatschappelijke Zorg;;;;;1;;;1
Bureau Meijerman;;;;;3;;;3
Bureau Ondersteboven;;;1;;;;;1
Bureau pAct;;;;;1;;;1
Bureau P-zaken;;;;;1;;;1
Bureau Schijf, Partner in Leiderschap;;;;;2;;1;2
Bureau Schippers coaching en training;;;;;2;;;2
Bureau Streefkerk B.V.;;;1;;;;;1
Bureau Ten Bate;;;;;1;;;1
Bureau Tromp B.V.;;;;;1;;;1
Bureau Veritas Industrial Services;;;1;;;;;1
Bureau Volzin B.V.;;;1;;;;;1
Bureau voor Beeldzaken;;;;;1;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;1;;;;1
Bureau voor Overheidscommunicatie B.V.;;;;;;;1;1
BUREAU YAN;;;;;1;;;1
Bureau Zuidema B.V.;;;;;4;;;4
Bureautaal B.V.;;;;;3;;1;3
BureauVos ontwikkel./opleiding, train./coach.;;;;;1;;1;1
Burgemeester Kruijffbad B.V.;;;1;;;;;1
Burger Coaching & Advies;;;;;2;;;2
Burgerij Rotterdam B.V.;;;;;;;1;1
BurgGolf Zoetermeer B.V.;;;1;;;;;1
Burgundy Street B.V.;;;1;;;;;1
Burn Out Poli;;;;;2;;;2
Buro Acting;;;;;;;2;2
Buro Beneker;;;;;;;1;1
Buro Grootswagers Communicatie&Spel;;;1;;;;;1
buro KleurKracht;;;;;1;;;1
Buro Vermeer;;;1;;2;;;2
Buro Wittenburg;;;;;1;;;1
Burrata Turfmarkt B.V.;;;1;;;;1;1
Burrough B.V.;;;;;1;;;1
Business Fashion;;;1;;;;;1
Business Marketing Services Opleidingen B.V.;;;;;2;;;2
Buurtboerderij Horeca B.V.;;;;;;;1;1
Buurtkracht B.V.;;;1;;;;;1
Buurtzorg Concepts B.V.;;;;;1;;;1
Buutvrij coaching;;;1;;;;;1
BuzzMaster B.V.;;;;;1;;;1
BVO Opleidingen B.V.;;;1;;2;;;3
BW Rotterdam t.h.o.d.n. backWERK;;;;;;;1;1
by share. Prakt. voor mindfulness en coaching;;;1;;1;;;1
C&Ç Consultancy B.V.;;;;;;;1;1
C&O Travel Special Tours;;;1;;;;;1
C. Aalders Expert. Centrum Mindf. en Zingev.;;;;;1;;;1
C.A.M. Elshof t.h.o.d.n. Care for Women;;;1;;;;;1
C.F.C. Taxi;;;;;;;2;2
C.I.C. Company B.V.;;;;;1;;;1
C.M.A. De Vries Beheer B.V.;;;;;1;;;1
C.S.C. Ceelen Sport Constructies B.V.;;;;;1;;;1
C.V. Advies B.V.;;;2;;1;;;2
C.V. La Galleria-Chicoleo Kijkduin;;;;;;;1;1
C2Results B.V.;;;;;2;;;2
Cabolicious;;;;;;;1;1
cacao;;;1;;;;;1
CAD & Company Projects B.V.;;;;;1;;;1
CADdesign CAD trainingen;;;;;1;;;1
Cadeau Concepten B.V.;;;5;;;;;5
Cadeaubonnen.nl B.V.;;;1;;;;;1
Café 'De Kleine Witte';;;;;;;1;1
Café Restaurant De Eendracht Abcoude B.V.;;;;;;;1;1
Café Restaurant Hoogendam;;;1;;;;1;1
Café Restaurant Piet Hein B.V.;;;1;;;1;1;1
Café Restaurant Rootz B.V.;;;2;;;;1;2
Café 'Silversant';;;;;1;;;1
Café Studio Haarlem B.V.;;;1;;;;;1
Café XO Haarlem B.V.;;;;;;;1;1
CafédeBieB@hotelroom11;;;;;;;1;1
Café-Restaurant Amsterdam B.V.;;;;;;;1;1
Café-Restaurant De Plantage B.V.;;;1;;;;;1
Café-Restaurant Pan;;;;;;;1;1
Café-Restaurantbedrijf De Kikker;;;1;;;;;1
CafÃ© Boudewijn B.V.;;;1;;;;;1
CafÃ© Brasserie Intermezzo;;;1;;;;;1
CafÃ© de Bommel B.V.;;;1;;;;;1
CafÃ© de Gouden Leeuw;;;;;;;1;1
CafÃ© de Mug B.V.;;;1;;;;;1
CafÃ© de Spoek;;;1;;;;;1
CafÃ© Groothuis;;;;;;;1;1
CafÃ© het Veulen;;;1;;;;;1
CafÃ© Het Witte Huis;;;;;;;1;1
CafÃ© Restaurant 'BelvÃ©dÃ¨re' B.V.;;;;;;;1;1
CafÃ© Restaurant De Rietstulp;;;1;;;;;1
CafÃ© Restaurant Dunya Lokanta;;;;;;;1;1
CafÃ© Restaurant Stegers V.O.F.;;;;;;;1;1
CafÃ© Restaurant 't Binnenhof;;;1;;;;;1
CafÃ© Ristorante Claudio;;;;;;;1;1
CafÃ© Soif;;;1;;;;;1
CafÃ© 't Pruuske;;;;;;;1;1
CafÃ© Verheyden;;;1;;;;1;1
CafÃ© Wouters;;;;;;;1;1
CafÃ©-Restaurant De Boschwachter;;;;;;;1;1
CafÃ©-Restaurant De Mof B.V.;;;;;;;1;1
CafÃ©-Restaurant De Mol B.V.;;;1;;;;1;1
CafÃ©-Restaurant 'De Roskam' B.V.;;;;;;;1;1
CafÃ©-Restaurant Floor B.V.;;;;;;;1;1
CafÃ©-Restaurant 't Vonder;;;1;;;;;1
Caf� Anno 1890;;;1;;;;;1
Caf� de Hertog-Jan Proeverij;;;1;;;1;;1
Caf� de kroeg;;;1;;;;;1
Caf� de Kroeg eten & drinken;;;;;;;1;1
Caf� De Sport;;;;;;;1;1
Cafe de Unie;;;1;;;;1;1
Cafe Joost;;;;;;;1;1
Caf� Maurickzicht;;;1;;;;1;1
Caf� Restaurant Dauphine;;;;;;;1;1
Caf� Restaurant De Wits;;;1;;;;;1
Caf� Restaurant Luchthaven Lelystad;;;1;;;;1;1
Cafe Restaurant Vandaag B.V.;;;1;;;;1;1
Caf� Salden;;;1;;;;;1
Cafe van Zuylen;;;;;;1;;1
Caf� Zomers & Zomers;;;1;;;;1;1
Caf� Zuid;;;;;;;1;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;1;1
Cafe/Restaurant De Vliegende Hollander;;;;;;;1;1
Caf�-Bar-Restaurant 'De Vriendschap';;;1;;;;;1
Caf�-Restaurant De Nederlandse Alp;;;;;;;1;1
Cafetaria Jimmy's;;;1;;;;;1
Cafetaria 't Lambertje;;;1;;;;;1
Cafetariabedrijven Lepoutre B.V.;;;1;;;;1;1
Caffe 500;;;;;;;1;1
Caio B.V.;;;;;;;1;1
Cambier & Wieland;;;;1;;;;1
Camiel Mikily B.V.;;;1;;;;1;1
Camping Moekesgat B.V.;;;;;;;1;1
Campingbedrijf Si-Es-An;;;;;1;;;1
Campus Heerlen Management & Development B.V.;;;;;1;;;1
Canal Company B.V.;;;1;;;;;1
Candela;;;1;;;;;1
Cantina Italia B.V.;;;;;;;1;1
Canton en Brugman;;;;;;;1;1
Capabel Hogeschool;;;;;1;;;1
Capabel, Coaching en Counseling;;;;;1;;;1
Caparis N.V.;;;;2;;;;2
Capetown Rotterdam;;;;;;;1;1
Capgemini Educational Services B.V.;;;1;;4;;;4
Capgemini Nederland B.V.;;;;;2;;;2
Capilla;;;;;1;;;1
Capital Media Services B.V.;;;;1;;;;1
Capo Cucina;;;;;;;1;1
Capra advocaten;;;1;;1;;;1
Capriole Coffee Café B.V.;;;;;;;1;1
Carbotec;;;1;;;;;1
Card Vision B.V.;;;1;;;;;1
Cardio Solutions B.V.;;;1;;;;;1
Careca Verhuur;;;;;;1;;1
Carex B.V.;;;1;;;;;1
Carlton Ambassador Hotel B.V.;;;;;;;1;1
Carlton Hotels Nederland B.V.;;;;;2;;1;2
Carmen Breeveld;;;;1;;;;1
Caroline Horikx Arbeid & Gezondheid;;;1;;;;;1
Caroline Vos;;;;;1;;;1
Caron Entertainment;;;1;;;;;1
Caroni;;;1;;;;1;1
Carpabizzgifts B.V.;;;1;;;;;1
Casa di Renzo B.V.;;;;;;;1;1
Casa Ramon;;;;;;;1;1
Casablanca Variete;;;;;;;1;1
Cascara Rodizio B.V.;;;;;;;1;1
Casteleijn Brood B.V.;;;1;;;;;1
Castell Bites & Steaks;;;;;;;1;1
Caterij Bielderman V.O.F.;;;1;;;;;1
Catering De Steiger V.O.F.;;;1;;;;1;1
Catering Groep Nederland B.V.;;;1;;;;;1
Catering Service 't Ankertje;;;1;;;;1;1
Catering Utrecht B.V.;;;1;;;;;1
Catering Zutphen;;;;;;;1;1
Cateringspecialist Bertus Voortman;;;;;;;1;1
Cavari Clinics Groningen B.V.;;2;2;;;;;2
Cavella;;;;;1;;;1
CB Facturatie B.V.;;;;;1;;;1
CB Leisure B.V.;;;;;;;1;1
CC Excellence;;;;;1;;;1
CCG Training & Coaching B.V.;;;1;;2;;;2
Cedere B.V.;;1;;;1;;;1
Censor Bestuur;;;;;1;;;1
Central Point Nederland B.V.;;1;1;;1;;;1
Centrale Bibliotheek Almelo;;;1;;;;;1
Centrale Rino B.V.;;;1;;4;;;4
Centrale Wapenhandel Dorhout Mees B.V.;;;1;;;;;1
Centre de Cours Alliance Fran�aise de La Haye;;;;;1;;;1
Centric Netherlands B.V.;;;;;4;;;4
Centrum Cabane;;;1;;;;;1
Centrum de Poort;;;;;1;;;1
Centrum Het Helperhart;;;1;;;;;1
Centrum Vertrouwenspersonen Plus;;;;;1;;;1
Centrum voor Conflicthantering B.V.;;;;;2;;;2
Centrum voor Keteninformatisering B.V.;;;;;1;;;1
CEO baas van het vlees B.V.;;;;;;;1;1
Certified Secure B.V.;;;;;2;;;2
CEVA Logistics Netherlands;;;1;;;;;1
CFOLab B.V.;;;;;1;;;1
CGI;;;;;2;;;2
Chain Consult;;;;;2;;;2
Challenge of Change;;;;;1;;;1
Chameleon Associates B.V.;;;;;3;;;3
Change by Choice;;;1;;1;;;1
Change Worx;;;1;;;;;1
Change2Result;;;;;2;;;2
Charelli B.V.;;;1;;;;1;1
Charocy B.V.;;;;;;;1;1
Charoso B.V.;;;;;;;1;1
Charts Financial & Governance B.V.;;;;;;;1;1
Chau B.V.;;;;1;;;;1
C-H-C Maatschappelijkwerk & Meer;;;1;;;;;1
CHCH Exploitatie B.V.;;;1;;;;;1
Chemisch Reiniging Hahn�;;;1;;;;;1
Chez Antoinette;;;;;;;1;1
Chin. Ind. Rest. 'De Chinese Muur';;;;;;;1;1
Chin. Special. Restaurant 'Empire Palace';;;;;;;1;1
Chin. Wok Japans Rest. Keyzer Palace Rosmalen;;;;;;;1;1
Chin.-Ind. Rest. Sonsbeekpaviljoen V.O.F.;;;1;;;;;1
China Palace;;;1;;;;1;1
China-Town;;;1;;;;;1
Chinees Indisch Restaurant 'Hong Fong';;;;;;;1;1
Chinees Indisch Restaurant Long Sing;;;;;;;1;1
Chinees Indisch Restaurant Lotus;;;;;;;1;1
Chinees Indisch Restaurant Man Wah;;;;;;;1;1
Chinees Indisch Restaurant Nieuw China;;;;;;;1;1
Chinees Indisch Restaurant Peking;;;1;;;;1;1
Chinees Indisch Restaurant Sin Jah;;;;;1;;1;1
Chinees Restaurant China;;;1;;;;;1
Chinees restaurant Specialiteiten van Drenthe;;;;;;;1;1
Chinees Spec. Restaurant Jasmine Garden;;;1;;;;;1
Chinees/Japans Restaurant Momiji;;;1;;;;;1
Chinees-Indisch Restaurant 'Hong Kong' V.O.F.;;;;;;;1;1
Chinees-Indisch Restaurant Kota Radja;;;1;;;;1;1
Chinees-Indisch Restaurant Malakka;;;1;;;;1;1
Chinees-Japans Restaurant Jasmine;;;1;;;;;1
Chip Bizz B.V.;;;;;;;1;1
Chiron Center;;;;;1;;;1
Choco Loca;;;1;;;;;1
Chocobreak;;;1;;;;;1
Chocola Belga;;;1;;;;;1
Chocolade Atelier van Noppen B.V.;;;1;;;;;1
Chocolaterie Pierre;;;1;;;;;1
Choco-Paradijs;;;1;;;;;1
Chris Transformatie Reisleidster;;;;;1;;;1
ChrisCreatief;;;1;;;;;1
ChristelClear coaching & training;;;;;1;;;1
Christelijke Hogeschool Windesheim;;;1;;2;;;2
Christianne Nagel Coaching;;;;;1;;;1
Christianne Wagemakers;;;;;1;;;1
CHS Special Products B.V.;2;;;;;;;2
Ciao! Ciao! B.V.;;;1;;1;;1;1
CIBIT Adviseurs/Opleiders;;;;;2;;;2
Cimsolutions;;;;;2;;;2
Cinclus Advies en Mediation;;;1;;;;;1
Cinema The Movies Dordrecht B.V.;;;;;;;1;1
Cintea;;;;;1;;;1
CIO Platform Nederland;;;2;;;;;2
City Gaming B.V.;;;1;;;;;1
City Life Church Den Haag;;;1;;;;;1
City Resort;;;;;3;;1;3
City Rotterdam;;;1;;;;;1
City Skydive Centres B.V.;;;1;;;;;1
City Tax B.V.;;;;;;;1;1
Citygameshop B.V.;;;1;;;;;1
Citylife B.V.;;;;;;;1;1
Claire Werkt!;;;;;1;;;1
Claus Hoofddorp B.V.;;;1;;;;;1
Clingendael Advocaten;;;1;;;;;1
Clocked-Up;;;1;;;;;1
Cloose;;;2;;;;1;2
Clubgebouw JST Waalsdorp;;;1;;;;;1
CM Telecom B.V.;;;;;;;1;1
CMB Holding B.V.;;;;;1;;;1
CMDz';;;;;1;;;1
CMN-Maartenskerk B.V.;;;1;;;;;1
CMS Derks Star Busmann;;;;;;;1;1
CNV Connectief;;;1;;;;1;1
cnxy;;;;;1;;;1
Coöperatie De Betekenaar UA;;1;1;;1;;;2
Coach Dekkers;;;;;1;;;1
Coach en Coach B.V.;;;;;1;;;1
Coach to coach B.V.;;;;;1;;;1
Coachboulevard B.V.;;;;;1;;;1
Coaching in Change;;;;;1;;;1
COBBS Industries B.V.;;;1;;;;;1
CoCo The Cocktail Company;;;;;1;;;1
Coen Verbraak Media;;;;;1;;;1
Coen Verbruggen;;;;;1;;;1
Coffee & Cream;;;;;;;1;1
College of Multimedia;;;;;1;;;1
Collegia;;;;;1;;;1
Colombo B.V.;;;2;;;;;2
Color and Coaching, geef kleur aan je kracht;;;;;1;;;1
Colorworks B.V.;;;1;;;;;1
Columba Communications;;;1;;1;;;1
Combo Emonomy B.V.;;;;;2;;;2
Com-Connect B.V.;;;;;1;;;1
Comedytrain Impresariaat B.V.;;;1;;;;;1
Comfort Food B.V.;;;;;;;1;1
Comic House Amsterdam B.V.;;;;;1;;;1
Comigo;;;1;;;;;1
Comm B.V.;;;;;2;;;2
Comment B.V.;;;;;1;;;1
Comminz B.V.;;;1;;;;1;1
Communication4you;;;;;1;;1;1
Compacon & Partners B.V.;;;1;;;;;1
Compacon B.V.;;;2;;;;;2
Compagnon B.V.;;;;2;;;;2
Company Sandwich;;;;;;;1;1
COMPAREX Nederland B.V.;;1;2;;2;;;3
Compass Group Nederland B.V.;;;1;;;;1;2
Competence Factory;;;;;1;;;1
CompuAct Opleidingen Nederland B.V.;;;;;1;;;1
Computrain Opleidingen;;;1;;1;;;1
Comtax Contractvervoer B.V.;;;1;;;;1;1
Condor Arnhem B.V.;;;2;;1;;;2
Condor Training & Coaching;;;;;;;1;1
Conducto B.V.;;;;2;;;;2
Conducto Opleidingen B.V.;;;;;2;;;2
Confederation of European Probation;;;;;1;;;1
Confer.- en Opleid.centrum De Ruwenberg B.V.;;;;;2;;;2
ConflictSolutions;;;;;1;;;1
Confriends;;;1;;;;;1
Congres- en Studiecentrum Twente B.V.;;;;;;;1;1
Congres4U;;;;;1;;;1
Congressen MetZorg;;;;;1;;;1
CONNECTING, Maatsch. voor Consult en Training;;;;;;;1;1
Connexxion;;;2;;1;;2;3
Connexxion Taxi Services B.V.;;;;;;;1;1
Conrad Electronic Benelux B.V.;;;1;;;;;1
Considerati B.V.;;;;;2;;;2
Consistent;;1;;;;;;1
Consultancy-DeBevlogenTrainer;;;;;1;;;1
Consulting Mark Groothuis;;;;;1;;;1
Consulting Public;;;1;;;;;1
Contact Combat B.V.;;;;;1;;;1
Contactgroep Personeelsbeleid Enschede CPE;;;;;1;;;1
ContentVisie B.V.;;;;;1;;1;1
Cook Down;;;1;;;;;1
Coolblue B.V.;;;1;;;;;1
Co�peratie ACS partners UA;;;1;;;;;1
Co�peratie De Betekenaar UA;;;1;;;;;1
Coosto Holding B.V.;;;1;;;;;1
Copgroep B.V.;;;;;2;;;2
Copini Buitensport B.V.;;;;;1;;;1
Cor Hoffer Training & Advies;;;;;1;;;1
Corael Compagnie;;;;;1;;;1
Corinor Organisatieontwikkeling B.V.;;;;;1;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;1
Cornelese Technical Systems B.V.;;;;;1;;;1
Corporate Rebels Revolt;;;;;1;;;1
Corps 3 op twee B.V.;;;1;1;;;;1
Corpus Consultancy;;;;;2;;1;2
Corrie Breeman Organisatie & Communicatie;;;;;1;;;1
Corval;;;;;1;;;1
COT Inst. v. Veiligh. & Crisismanagement B.V.;;;;;4;;;4
Cotica HRM advies;;;;2;;;;2
Country Golf Ees;;;1;;;;;1
Countus Accountants + Adviseurs B.V.;;;;;1;;;1
CoupÃ© International B.V.;;;1;;;;;1
CQT Zorg & Gezondheid B.V.;;;;;1;;;1
