Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Nieuwhuis Consult;1;;;1;;;;1
Nieuwland Advies, Opleiding, Automatisering;;;;1;;;;1
Nieuwspoort;;1;;;;;;1
NIJBOER STRESS & ONDERNEMERSCOACH;;;;1;;;;1
NIOW Taaltrainingen, Vaardigheidstrainingen, Advies & Opleiding;;;;1;;;;1
NISB Ned Inst Sport en Bewegen;;1;;;;;;1
NIVEL Nederlands instituut voor onderzoek van de gezondheidszorg;;;;1;;;;1
Novotel;;;;;;;1;1
NRC Handelsblad;;2;;;;;;2
NRG BEHEER;;1;;;;;;1
NS - Spoorwegen Nederlandse;;;;;;;2;2
NSOB Nederlandse School Voor Openbaar Bestuur;;;;3;;;;3
NTI - Nederlands Talen Instituut;;;;1;;;;1
NTI-NLP Nederlands Trainingsinstituut voor Neurolinguistisch Programmeren;;;;1;;;;1
Nunu Elektrotechnisch Servicebureau;;;;1;;;;1
NVGCT Nederlands Vereniging voor gen- en Celtherapie;;;;1;;;;1
NVKC Nederlandse Vereniging Voor Klinische Chemie en Laboratorium;1;;;;;;;1
Nyenrode Services;;;;2;;;;2
OCA Haaglanden;1;;;;;;;1
Oca Operations;1;;;;;;;1
Odyssee Groep training, pensioen in zicht;;;;1;;;;1
Oker Restaurant;;1;;;;;;1
Olivier Belgisch Bier Café;;1;;;;;;1
Onz Restaurant;;1;;;;;;1
Onze Taal Genootschap;;;;1;;;;1
Oor Veiligheidskunde & Managementsystemen;1;;;;;;;1
Open Studio;;;;1;;;;1
Optima Forma;;1;;;;;;1
Ordina (incl. Be Value, Clockwork);5;;;;;;;5
Orga;;;1;1;;;;1
Organisatieburo de Lang;;1;;;;;;1
Organisatieregie;;;;1;;;;1
Original Tours en Events Amsterdam;;1;;;;;;1
OSR Opleidingen Sociaal Recht Juridische Opleidingen;;;;1;;;;1
OTV Wageningen;;;;1;;;;1
Oud London Catering-Hotel-Restaurant;;1;;;;;;1
Oud Poelgeest;;1;;;;;1;1
Oudaen Stadskasteel;;1;;;;;;1
Overwijk Koffiesystemen;;2;;;;;;2
Oxforthe Change;;;;1;;;;1
P&S Entertainment ('t Feesthuis Wateringen);;1;;;;;;1
P.H. Schouten Bestuursadviseurs;;;;1;;;;1
PA-academie;;;;1;;;;1
Paardenveld Vastgoed;;;;;;;1;1
PAD VINDER;;;;1;;;;1
PAL Pioniers in Authentiek Leiderschap;;;;2;;;;2
Paleis Het Loo Restaurants;;1;;;;;;1
PALGA Pathologisch anatomisch landelijk geautomatiseerd archief;1;;;1;;;;1
Pantem / Leopold Cafe-Restaurant;;1;;;;;;1
Paradijs Chinees Restaurant;;1;;;;;;1
Parkhotel;;;;;;;1;1
Parthen (incl. Meeting Essentials, Presentatie, R&S, Impact);;;;;;;1;1
Party Service Bureau Pere;;1;;;;;;1
Pavlov Bar Restaurant;;1;;;;;;1
PBLQ (HEC, ROI, Zenc);2;;3;3;;;1;4
PCO Kennis;;;;1;;;;1
PCS Pharmaceutical Consultancy Services;;;;1;;;;1
PDS Professional Driving Solutions;;;;2;;;;2
Perfect Pastry;;1;;;;;;1
Perron 4/5 Volgens Tollius;;1;;;;;;1
Persoonlijk Succes;;;;1;;;;1
PGGM;;;;1;;;;1
Phaos Organisatieontwikkeling;;;;3;;;;3
Pharmatech;;;;1;;;;1
Phit;;;;1;;;;1
Phonsawan Thais Restaurant;;1;;;1;;;1
Physical Solutions;;;;1;;;;1
Pieterson Boulangerie;;1;;;;;;1
Pinkcube;;1;;;;;;1
Plaggemars & Co Incassobureau;;1;;;;;;1
Plasman Banketbakkerij;;1;;;;;;1
Plein 10A (Rozee, Millers Restaurant);;1;;;;;;1
PNA Group;;;;2;;;;2
POFFERTJESHUIS KIJKDUIN BV;;1;;;;;;1
Polman's Café-Restaurant;;1;;;;;;1
POSG Professionals, P&O Services Professionals, P&O Mobiliteit;2;;4;;;;;4
Positief Coachen Stichting;;1;;;;;;1
Posthumus Mieke;;;;2;;;;2
Postillion Hotels;;1;;;;;1;1
Poteen Still Irish Pub;;1;;;;;;1
Pouw Vervoer;;1;;;;;3;3
PPTstudios B.V.;;;;1;;;;1
Prachtig;;1;;;;;;1
Pragmaticos;;;;1;;;;1
Pragmavision;;;1;1;;;;1
Praktijk Landaya;;;;1;;;;1
PRAKTIJK MAUD SOETERS;1;;;;;;;1
Premier Taaltraining;;;;1;;;;1
PRI Nederland;;;;1;;;;1
Profess Medical Consultancy;;;;1;;;;1
Projectil;1;;;;;;;1
Promenade Hotel-Restaurant;;;;;;;1;1
Promo De L'Eau;;1;;;;;;1
Protinus It;;1;;1;;;;1
Prowareness Group iSense;;;;1;;;;1
PS Pandre Special Events;;1;;;;;;1
Public Support Groep;;;;1;;;;1
Puur Events;;2;;;;;;2
Qaducation;;;;1;;;;1
QO Storm (Maria Café Utrecht);;1;;;;;;1
Q-Park;;;;;;;2;2
Q-Tips;1;;;;;;;1
Quakernaat;;;;1;;;;1
Quercus Bloembinders;;1;;;;;;1
R.M. Schippers & Zn;;1;;;;;;1
Rakos Beheer;;;;1;;;;1
Randstad Group (incl. Tempo Team, P/Flex);;;2;;;;;2
RCG Reprografisch Centrum Groningen;;1;;;;;;1
RDM Campus;;1;;;;;;1
RDOG Hollands Midden;;;;1;;;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;;;1;;;;1
Regardz (incl. Iassociate);;1;;;;;;1
Regina Coeli Taleninstituut (incl. de Nonnen van Vught);;;1;1;;;;2
Regus;;1;;;;;;1
Reinaerde;;1;;;;;;1
Relatics;;;;1;;;;1
Remyx;2;;;;;;;2
Rene Verleg Fotografie;;1;;;;;;1
Residentie Ontdekkingen;;1;;;;;;1
Respons;;;;1;;;;1
RESTAURANT DE OSSENSTAL;;1;;;;;;1
RESTAURANT DE OUDE MELKHANDEL;;1;;;;;;1
Restaurant Song Phi Nong;;1;;;;;;1
Result ADR Conflictmanagement;;;1;1;;;;1
Rigo Research en Advies;2;;;;;;;2
Ripassa;;1;;;;;;1
Robbers & van den Hoogen;;1;;;;;;1
Rohde & Grahl (incl. Working Well);1;;;;;;;1
Rolinka Wijne Health Law;;;;1;;;;1
Rootz Cafe Restaurant;;1;;;;;;1
Ropeni (incl. Schlemmer);;2;;;;;;2
ROVC Technische Opleidingen;;;;1;;;;1
Royal Delft / De Porceleyne Fles;;1;;;;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);5;;;;;;;5
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);2;;;;;;;2
Russell en Bakker;;;;1;;;;1
Rutgers WPF;2;;;;;;;2
SAAM COMMUNICATIE ONDERZOEK ADVIES TRAINING;;;1;;;;;1
SALINE Advies;;;;1;;;;1
Salsaparilla;;;;1;;;;1
Saltro Diagnostic and Medical;;;;;;;1;1
San Siro Restaurant;;1;;;;;;1
San Wah;;1;;;;;;1
Sandwich Expresse;;1;;;;;;1
SAVR Consultancy;1;;;1;;;;1
SCA Hygiene Products Nederland;;;;;;;1;1
Scheidegger Opleidingen;;;;1;;;;1
Schiphol Groep (incl. Real Estate);;2;;;;;;2
Schoevers Opleidings- en Exameninstituut;;;;1;;;;1
Schortinghuis Restaurant;;1;;;;;;1
Schouten Global (incl. Schouten & Nelissen Groep, Thema);;;;2;;;1;2
Schouwburg & Congrescentrum Orpheus;;1;;;;;;1
Schuttelaar & Partners;2;;;2;;;;2
Schwandt Infographics;;;;1;;;;1
SDH Executive Search BV;;;2;;;;;2
SDU - Service Centrum Uitgevers;;;1;1;;;;1
See You At Noon;;1;;;;;;1
Selian;;;;1;;;;1
Sertum kennisinstituut vastgoed (vh REOV);;;;1;;;;1
SGS;;;;1;;;;1
SignOn Training & ICT Services;;;;1;;;;1
Sint Elisabeth Ziekenhuis;;;;;;;1;1
SIOO Stichting Interuniveristair centrum Organisatie Veranderkunde;;;;1;;;;1
Sir Institute For Pharmacy Practice And Policy;;;;1;;;;1
SIRIUS MOVES;;1;;;;;;1
Skils;;;;1;;;;1
Smaakmaker Catering & Organisatie;;1;;;;;;1
Smits Koffiehuis;;1;;;;;;1
Smoortax;;1;;;;;2;2
Snelwenskaart.nl;;1;;;;;;1
Snow World;;;;1;;;;1
SOA Aids Nederland;1;;;;;;;1
Sogeti Nederland;;;;1;;;;1
Soho (South of Houston);;1;;;;;;1
Solbeach Strandpaviljoen;;1;;;;;;1
Sos Sports & Events;;1;;;;;;1
Specialiteitenhuys Hulsebosch;;1;;;;;;1
Speechless;;;;1;;;;1
Spido;;1;;;;;;1
Spitz Congres & Event;;;;1;;;;1
Spize Asian Bistro Restaurant;;1;;;;;;1
Spraakmakend Studio Voor Spreekkunst;;;;1;;;;1
Sprengers Advocaten (vh Advokatenkollektief);;;;1;;;;1
Srm;;;;1;;;;1
St. Anna Ziekenhuis;;1;;;;;;1
St. Nat. Jeugd Fonds Jantje Beton;2;;;;;;;2
Stadion Feijenoord;;1;;;;;;1
Stairway To Heaven;;1;;;;;;1
Stavoor;;;;1;;;;1
Stayokay;;1;;;;;;1
Stedelijk Museum Amsterdam;;1;;;;;;1
Stg Abrona;;1;;;;;;1
Stg Adoptievoorzieningen;;;;1;;;;1
Stg Bedrijfshulpverlening Nederland;;;;1;;;;1
Stg Go;;;;1;;;;1
STG HAAGSE SKATE UNIE;;1;;;;;;1
Stg HBO Haaglanden & Rijnstreek Haagse Hogeschool;;;;1;;;;1
STG HET OUDE THEEHUYS;;1;;;;;;1
Stg Jonge Ambtenaren;;;;1;;;;1
Stg Karakter;;1;;;;;;1
STG PAKSCHUIT NOOIT GEDACHT;;1;;;;;;1
Stg Postdoctorale Opleidingen I&M;;;;1;;;;1
Stg Promotie den Haag;;6;;;;;;6
Stg War Child;;;;;;;1;1
Stg Zozijn;;1;;;;;;1
Stg. Hobeon Certificering;;;;1;;;;1
Stichting BOSNO;;;;;;;1;1
Stichting Centrum Werk Gezondheid;;;;1;;;;1
Stichting HL7 Nederland;;;;1;;;;1
Stichting IRun2BFit;1;;;;;;;1
Stichting Kanjertraining;1;;;;;;;1
Stichting Kasteel Amerongen;;1;;;;;;1
Stichting Lareb Nederlands Bijwerkingen Centrum;;1;;;;;;1
Stichting Microbiele typering;;;;1;;;;1
Stichting Opleidingen Sfeerkeepers;1;;;;;;;1
Stoelmassage op Locatie;;;;1;;;;1
Stokman Keurslager;;1;;;;;;1
Stratech;1;;;;;;;1
Studelta;;;1;;;;;1
Studio A Mediamelange;;;;1;;;;1
Studystore Studieboekencentrale;;;;1;;;;1
Sumo Sushi & Grill Restaurant;;1;;;1;;;1
SUPERMARKT DEN HAAG;;1;;;;;;1
Surfnet;;;;1;;;;1
Synspec b.v.;;;;1;;;;1
Sysmex (vh Goffin Meyvis);2;;;;;;;2
T Bosch Kwartiertje;;1;;;;;;1
'T Goude Hooft Beheer Equus Stadsherberg, Hotel;;1;;;;;;1
't Hof van Eten;;1;;;;;;1
Taalcentrum-Vu;;;;1;;;;1
Taartenwinkel.nl;;1;;;;;;1
TAFELVOETBALHUREN;;1;;;;;;1
Talent in Progress;;;1;;;;;1
Tamminga en Verweij;;1;;;;;;1
Taverne De Resident Restaurant;;1;;;;;;1
Taxibedrijf W. Schoenmaker;;;;;;;1;1
Taxicentrale Den Haag;;;;;;;1;1
TB-Brandveiligheid;;;;1;;;;1
Technische Unie;;;;1;;;;1
Tek Tok;1;;;;;;;1
Terminus Hotel;;;;;;;1;1
Thalassa Rederij;;1;;;;;;1
The Associate, Coaching & Consultancy;;;1;1;;;;1
The Blue Print;;1;;;;;;1
The Curious Network;;;;1;;;;1
The Decision Group;;;;1;;;;1
The Institute of Protocol The Hague;;;;1;;;;1
The Leadership Company;1;;;1;;;;1
The Lime Tree;;;;1;;;;1
Theaterhotel De Oranjerie;;;;;;;1;1
Theefeestje;;1;;;;;;1
Theehuis Rhijnauwen;;1;;;;;;1
TI Pharma/Top Institute Pharma;;;2;;;;;2
Tias Nimbas Business School Utrecht;;;;1;;;;1
Tinqwise;2;;;1;;;;2
TNO;;;;1;;;;1
Toby enzo;;;;1;;;;1
Toko Eddo;;1;;;;;;1
toko IBUKU;;1;;;;;;1
Toko Mitra;;1;;;;;;1
TolBurgers & DeGrood;1;;;;;;;1
Tony's Factory;;1;;;;;;1
Topbloemen Nederland;;2;;;;;;2
Topdesk;1;;;2;;;;2
Toque-Toque Restaurant;;1;;;;;;1
Tornak Groep;;;;3;;;;3
Tot Z Diensten;;;;1;;;;1
Tower Leisure (Haagse Toren);;1;;;;;;1
Training Informatie Advies Serviceverlening;;;;1;;;;1
TranQ;;;;1;;;;1
Transfer Solutions, Consulting, Education;1;;;;;;;1
Trimbos-Instituut;;;;1;;;;1
Ttopstart;1;;;;;;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;;1;;;;1
Tyrilo (incl. Oscars restaurant);;1;;;1;;;1
Uit koken / Diner Thuis;;1;;;;;;1
Uitgetypt.nl (inc transcript.nl);1;;;;;;;1
UITGEVERIJ ADEP;;;1;;;;;1
Umami Restaurant;;1;;;;;;1
Unitive Management (Aalt Aalten);;;;1;;;;1
Unlimited People (incl. Burnout Poli);2;;;;;;;2
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);1;;1;2;;;;2
Utrechtse Taxicentrale UTC;;;;;;;1;1
Utrechtse Uitjes nl;;1;;;;;;1
V Kam Education;;;;1;;;;1
V&Vn Beroepsvereniging van Zorgprofessionals;1;;;;;;;1
Vaccinatiezorg;1;;;;;;;1
Valkenburg Trainingen;;;;1;;;;1
Van der Hilst Communicatie-Trainingen;;;;2;;;;2
Van der Hoeven Nelissen Mediation & Onderhandelen;;;;1;;;;1
Van der Linde Catering + Evenementen;;1;;;;;;1
Van der Valk Hotels;;1;;1;;;1;1
Van Ede & Partners;;;;1;;;;1
Van Harte & Lingsma;;;;1;;;;1
Van Kleef & Partners;1;;;;;;;1
VAN LAAR CATERING;;2;;;;;;2
Van Miltenburg Café;;2;;;;;;2
Van Rooijen Catering;;1;;;;;;1
Van Schie keurslager;;1;;;;;;1
Vandeputte Medical;1;;;;;;;1
VCA Nederland;;;;1;;;;1
VCK Groep, Travel & Logistics;;;;1;;;6;6
Velink & De Die Advocaten;;;;;;;1;1
Venezia Ijskiosk en Ijskarverhuur;;1;;;;;;1
Verbeter;3;;;;;;;3
VERENIGING FARMACIE EN RECHT;;;;1;;;;1
Vereniging Voor Bestuurskunde;;;;1;;;;1
Vereniging Voor Overheidsmanagement;;;;1;;;;1
Verhaaf Party Catering;;1;;;;;;1
Verhaar Whisky- en Wijnhandel;;1;;;;;;1
VERPLOEGEN & VOSSENBERG;;;;1;;;;1
Verspoor Advies;1;;;;;;;1
Vest IT Engineering BV;2;;;;;;;2
VGR Vereniging voor Gezondheidsrecht;;;;1;;;;1
Vibspec;;;;1;;;;1
Vide Beroepsvereniging;;;;1;;;;1
Vijfhart -IT;;;;2;;;;2
Vijverberg Juristen (incl. Detachering);;;;1;;;;1
Villa La Ruche;;1;;;;;;1
Vino & Cucina Restaurant;;1;;;1;;;1
Vintage Road Trips;;1;;;;;;1
Vis en Meer;;1;;;;;;1
VOF Hemelrijken 77;;;;1;;;;1
Voncken Brood-Banket;;1;;;;;;1
Vreugde Tours;;;;;;;1;1
Vroeg;;1;;;;;;1
VSL (vh NMi van Swinden Laboratorium);3;;;;;;;3
Vuurland Producties;;1;;;;;;1
VvAA Financiële diensten voor Medische Professionals;1;;;;;;;1
VVM Netwerk van Milieuprofessionals;;;;1;;;;1
VVV Nederland;;3;;;;;;3
"W/Z; Projecten in de Zorg";2;;;;;;;2
Wammes Bakkerij (P.P.);;1;;;;;;1
Waterlogic/Watercompany International;;1;;;;;;1
Waterreus De;;1;;;;;;1
Watertaxi Rotterdam;;;;;;;1;1
WeCreate Events;;2;;;;;;2
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;1;1;;;;;1
Welness Instituut Veluwse Bron;;;;1;;;;1
Westcord Hotels;;;;1;;;1;1
Westhoff Drempt;;1;;;;;;1
White Queen;2;;;;;;;2
Wilde Wingerd, De;;1;;;;;;1
Willy's Snackbar;;1;;;;;;1
Winnock;1;;;;;;;1
WOLFF CONSULT;;;;1;;;;1
Wolters Kluwer (incl. Kluwer);;;;1;;;;1
Wolthuis Rederij;;1;;;;;;1
Woudschoten Conferentiecentrum;;1;;1;;;2;2
WOW Beach Club;;1;;;;;;1
Xebia;1;;;1;;;;2
Xpand;1;;1;1;;;;1
Yellow Pharma;2;;;;;;;2
Yield Plus Nederland;;1;;;;;;1
You Name It!;;1;;;;;;1
Young Colfield;;;;1;;;;1
ZADEL-en TUIGMAKERIJ VAN RIJS BV;;1;;;;;;1
ZakelijkeWorkshops.nl;;;;1;;;;1
Zanzibar Café;;1;;;;;;1
Zen-Fire;3;;;;;;;3
Zilverlijn Communicatie & Interactie;2;;;;;;;2
Zorg Innovatie Forum Stg;;;;1;;;;1
Zorgmarktadvies;;;;2;;;;2
Zorgverzekeraars Nederland;;;;2;;;;2
Zorgvuldig Advies;2;;;;;;;2
Zuidema Bureau;;;;1;;;;1
Zwarte Zwaan Events;;1;;;;;;1
Zwezerijnen Advocatuur;;;1;;;;;1
Eindtotaal;7;7;5;7;2;1;7;9
