Handelsnaam;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Thonik B.V.;;;;;1;1
Tijmen Lohmeijer;;;;;1;1
Timescale;;;;;1;1
Timmer en Onderhoudsbedrijf Chris v/d Linden;1;;;;;1
TMG Landelijke Media B.V.;;;;;1;1
TNS Nipo B.V.;;;;;1;1
Tom van den Brink;;;;;1;1
Ton Hendriks Fotografie;;;;;1;1
Total Identity;;;;;1;1
Touwenwinkel.nl;;;;;1;1
Trancity;;;;1;1;1
Trapped in Suburbia;;;;;2;2
Trouw B.V.;1;;;;;1
Truus van Gog Fotografie;;;;;1;1
Uitgeverij Blauwdruk B.V.;1;;;;2;2
Uitgeverij Edu'actief B.V.;1;;;;;1
Uitgeverij Educom;1;;;;;1
Uitgeverij IP B.V.;;;;;2;2
Uitgeverij OMJS B.V.;1;;;;;1
Uitgeverij Paris B.V.;1;;;;;1
Uitgeverij Spiegel Historiael B.V.;;;;;1;1
Uitgeverij Verloren B.V.;1;;;;;1
Ulco Glimmerveen;;;;;1;1
uNiek-Design;;;;;2;2
Unique Mondzorg;;;;1;;1
United Photos;;;;;1;1
University of the Street;;;;;1;1
Urbannerdam B.V.;;;;1;;1
V.O.F. Jan Ruitenbeek;;1;;;;1
Vakmedianet Management B.V.;1;;;;1;1
Valerie Kuypers Fotografie;;;;;1;1
Valor B.V.;1;;;;;1
Van der Kroft Party Rental Services B.V.;;;;;1;1
Van der Linde Holding B.V.;;;;2;;2
Van der Veen;;;;;1;1
Van Geest;;;;1;;1
Van Kralingen B.V.;;;;;2;2
Van Mill Fotografie;;;;;1;1
Vanschagen Architecten;;;;;1;1
Vantilt Producties B.V.;1;;;;;1
VDK Taxivervoer B.V.;;;;1;;1
VdlC publishers/consultants B.V.;1;;;;;1
Veenstra Expo B.V.;;;;3;;3
Velon;1;;;;;1
ver. besch./inst.houd. C.E.N.;1;;;;;1
Ver. v. Leraren in de;1;;;;;1
Ver. voor Klachtrecht in de publieke sector;1;;;;;1
Vereniging Bedrijvenparken Groningen West;1;;;;;1
Vereniging Fries Scheepvaart Museum;;;;;1;1
Vereniging Testnet;1;;;;;1
'Vereniging van Classici in Nederland';1;;;;;1
Vereniging voor Bestuurskunde;;;;1;;1
Vereniging voor Onderwijsrecht;1;;;;;1
Vereniging vrienden van Hoppe;1;;;;;1
Verhees-voor-landschap;;;;1;1;1
Verhuurbedrijf-Westerhuis B.V.;;;;1;;1
Vermeulen Audiovisueel;;;;1;;1
Vertaalbureau It Ljocht;;1;;;;1
Vestigia B.V.;;;;1;1;1
Victorien Koningsberger;;;;;2;2
Videm Communicatie;;;;;2;2
Vigo Entertainment;;;;1;;1
Virtumedia B.V.;1;;;;1;1
Vlot Horeca B.V.;;;1;;;1
VNSG Diensten B.V.;1;;;;;1
Vonhof Video;;;;;1;1
Voorhuis Juweliers;;;;;1;1
Vorm Vijf Ontwerpteam B.V.;;;;;1;1
Vos en Setz B.V.;;;1;;;1
VOS/ABB;1;;;;;1
Vriens Archeo Flex B.V.;;;;;1;1
Vrolijk Scheveningen;;;;;1;1
Vromans Design;;;;;1;1
Vulkers Fotografie;;;;;1;1
Walhalla in De Meern B.V.;;;1;;;1
Webstate B.V.;;;;;1;1
WEKA Business Media B.V.;1;;;;;1
Wereldwinkel Groningen;;;;1;;1
Wesseling Banket B.V.;;;;1;;1
Wiebe Kiestra Fotografie;;;;;1;1
Wiegers Foto-Vaklaboratorium;;;;;1;1
Wijmans Cultuurperspectief;;;;2;1;2
Wijz werkt!;;;;;1;1
Wilkens c.s.;;1;;;;1
Wim Euverman;;;;;1;1
Wim van der Ende-Fotografie;;;;;1;1
Winter Media B.V.;;;;1;;1
Wolters Kluwer Nederland B.V.;1;;;;;1
Woord en Plaats;;;;1;;1
Worldwide Vision;1;;;;;1
Wouter Borre Fotografie;;;;;1;1
Wouter van der Sar Photography;;;;;2;2
Wyldebeast & Wunderliebe B.V.;;;;;1;1
Xerox (Nederland) B.V.;2;;;1;4;5
Xolphin SSL Certificaten;;;;;1;1
Your Source B.V.;;;;;2;2
Yune B.V.;;;;2;1;2
Z aan Zet;;;;;1;1
Zalig;;;1;;;1
Zoom Media B.V.;2;;;;;2
Zuidelijke Land- en Tuinbouworganisatie;;;;1;;1
Zwaan printmedia;;;;;1;1
Van Stockum;1;1;;;;1
Aveq Show Theatre & Congress Facilities;;;;1;;1
Sal Stam Tekst;;;;;1;1
Eindtotaal;5;3;2;6;7;7
