;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Quality Bookings B.V.;;;;1;;1
Rakos Management en Training;;;;1;;1
RDN-Holding B.V.;;;;1;;1
Rederij Castor B.V.;;;;1;;1
Rederij P. Kooy B.V.;;;1;;;1
Rederij 't Smidtje B.V.;;;;1;;1
Reeser Piano's & Vleugels;;;;;1;1
Regio Business B.V.;;;;;1;1
Reisaco B.V.;;;1;;;1
Repro-van de Kamp B.V.;;;1;;;1
ResetManagement B.V.;;;;1;;1
Restaurant De Spitsheuvel V.O.F.;;;1;;;1
Restaurant Klein Hartenstein B.V.;;;1;;;1
Restaurant 't Jagershuys B.V.;;;1;1;;1
Restaurant Vlaar B.V.;;;1;;;1
Restaurant Wilhelminapark B.V.;;;1;;;1
Rietveld Bloemisten;;;;;1;1
Rijkaart;;;1;;;1
Rijnja Repro;;;1;;;1
Risk Management Consultancy B.V.;;;1;;;1
Rivafoam B.V.;;;1;;;1
RJB Music Productions;;;;;1;1
Rob & Joep Events;;;;1;;1
Rocks 'n Rivers B.V.;;;;2;;2
Roels B.V.;;;1;;;1
Romanello Music;;;;;1;1
Rondvaartbedrijf Zilvermeeuw B.V.;;;;1;;1
Rongen Aktief B.V.;;;;1;;1
Ropament B.V.;;;1;;1;1
Ro's catering;;;1;;;1
Rotterdam Marathon B.V.;;;;;1;1
S & R Commercials B.V.;;;;2;;2
S.B.I. Zonheuvel B.V.;;;1;;;1
Sage Strategie & Management;;;;;1;1
Scherp Muziekprodukties;;;;;1;1
schipperswinkel;;;1;;;1
Schouwburg en Congrescentrum Orpheus N.V.;;;2;2;;3
Schuuring Installatie Techniek B.V.;;;1;;;1
Schuurman Omheiningen B.V.;;;1;;;1
Semaphore Signs B.V.;;;1;;;1
Seneca Advies Loopbaanbegeleiding en Coaching;;;;;2;2
Sensz B.V.;;;;;1;1
Set in motion B.V.;;;;1;;1
Sierhuis Relatiegeschenken B.V.;;;1;;;1
SIGHT Landscaping B.V.;;;1;;;1
SiRe (Para) Archery Promotion;;;;1;;1
SkagaVenture B.V.;;;1;;;1
Skyline Productions;;;;1;;1
Slagerij/Traiteur Quadakkers B.V.;;;;2;;2
Sligro B.V.;;;1;;1;1
Smikhouse B.V.;;;;;1;1
Snel-Braber Bathmen;;;1;;;1
SnowWorld N.V.;;;;3;;3
SoapBox B.V.;;;;2;;2
Social Media Hulp;;;1;;;1
Spac Sport Defensie B.V.;;1;;;;1
Spandex Benelux B.V.;;;;;1;1
Speakers Academy Special Projects B.V.;;;1;2;;2
Speakers Academy®;;;;3;;3
Springer Media B.V.;;;;1;;1
SRO Amersfoort B.V.;;;;1;;1
Stagelight Verhuur B.V.;;;;5;1;5
Stal Mansour;;;1;;;1
Stay Tuned Media;;;1;;;1
Stegman Groothandel B.V.;;;;1;;1
Stern Partyservice;;;1;;;1
Storm Plastificeren;;;1;;;1
Story Sound;;;;6;1;6
Strategy Works B.V.;;;;2;;2
Strijbosch B.V.;;;;3;;3
Studilio Muziekprodukties;;;;;1;1
Studio 38C;;;;;2;2
Stultiens Group V.O.F.;;;1;;;1
Supremia B.V.;;;7;;1;7
Swinging.nl;;;;1;;1
SWOOP;;;;;1;1
t Hoofd B.V.;;;1;;;1
t Oude Tolhuys B.V.;;;1;;;1
t Riddershof;;;;1;;1
Technisch Bureau Magema B.V.;;1;;;;1
Technische Unie B.V.;;1;;;;1
Tentenverhuur De Weerd Voorst;;;;5;7;7
Testo;;;1;;;1
Texelcars;;;;1;;1
The Ambassadors Of Entertainment B.V.;;;;1;;1
The American Book Center;;;1;;;1
The Baron Crown;;;1;;;1
The Future Store;;;;;1;1
The Glasshouse B.V.;;;1;;;1
The Inhumans Agency;;;;2;;2
Theater Markant N.V.;;;;;1;1
Thinc ahead B.V.;;;2;;;2
Ticketmaster;;;;1;;1
Tiger Concept B.V.;;1;;;;1
Tintelingen B.V.;;;1;;;1
TMG Landelijke Media B.V.;;1;;;;1
TNT Express Nederland B.V.;;;1;;;1
Toko Eddo B.V.;;;1;;;1
Topgeschenken Nederland B.V.;;;1;;;1
Topsportplaza Breda B.V.;;;1;;;1
Topvoice;;;;;1;1
Toversleutel.nl;;;1;;;1
TRConsult B.V.;;;;1;;1
Tuk Tuk Express;;;1;;;1
TX44 Waddencruise;;;1;;;1
Uitgeverij Geromy B.V.;;;1;;;1
Uitgeverij Kerckebosch B.V.;;1;;;;1
Uitgeverij Starters Pers B.V.;;;1;;;1
Uitjes & Eten B.V.;;;;1;;1
UNIK Groothandel;;;1;;;1
United4all;;;;;7;7
UP Events B.V.;;;;1;;1
Urban Events;;;;2;;2
Urbana Zwolle B.V.;;;1;;;1
V.d. Valk Hotel Apeldoorn de Cantharel B.V.;;;1;;;1
V.O.F. Namco Aerospace and Defense;;;;1;;1
V.O.F. Stoopman Vos;;;;3;;3
V.V. IJsselmeervogels;;;;1;;1
Vakmedianet Food & Horeca B.V.;;1;;;;1
Vakmedianet Management B.V.;;;;;1;1
Valk Exclusief Zakelijk - Corporates;;;;4;;4
van Amerongen facilitair bedrijf B.V.;;;;1;;1
Van Barneveld culinair V.O.F.;;;1;;;1
van Bavel Producties;;;1;;;1
Van Boxtel Elektro B.V.;;;;;1;1
Van Bruggen Glasinstrum./Lab.benodigdh. B.V.;;;1;;;1
Van Den Dobbelsteen B.V.;;;;1;;1
Van der Aa Vocal Productions;;;;1;;1
Van der Donk, Visual Art & Design;;;1;;;1
Van der Stad Groothandel;;;;;1;1
Van der Valk Utrecht;;;;1;;1
Van der Veen Muziek;;;;;1;1
Van der Wal Boeken;;;1;;;1
Van Dijk Zakelijk B.V.;;1;;;;1
Van Dongen Offset B.V.;;;1;;;1
Van Harten Landbouwmechanisatie;;;;;1;1
Van Kralingen B.V.;;;1;;;1
Van Luyken Communicatie Adviseurs;;;;;2;2
Van Rens B.V.;;;;4;;4
Van Stockum, Belinfante & Coebergh B.V.;;;1;;;1
Van Vlier Media B.V.;;;;;1;1
Vanderkooij Telecommunicatie B.V.;;;;;3;3
vandervliet design;;;1;;;1
Vanhemelrijk Tekst, Web en Redactie;;;1;;;1
VDWJ B.V.;;;;1;;1
Veluwehof Natuursteen B.V.;;;1;;;1
Vendrig Packaging B.V.;;;1;;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;;;1;;;1
Verberne Music Productions;;;;;1;1
Verjo B.V.;;1;;;;1
Verloning.nl B.V.;;;;;1;1
Vermaat Leisure B.V.;;;;;2;2
Vermeulen Bikes;;;;1;;1
Vevon B.V.;;;;1;;1
Viduate B.V.;;;1;;;1
Viggo Eindhoven Airport B.V.;;;;;1;1
Viking Entertainment;;;;1;;1
Vincent Productions;;;1;;;1
Violien bloemen en interieur;;;1;;;1
Virtumedia B.V.;;;1;;;1
Visit Arnhem Nijmegen B.V.;;;1;;;1
Voortman Onderscheidingen;;;1;;;1
Vorm Vijf Ontwerpteam B.V.;;;;1;;1
Vreuls Music;;;;;1;1
Vroeg B.V.;;;1;1;;1
Vrolijk Scheveningen;;;1;;;1
VVC-Adventure;;;;1;;1
VVV Business B.V.;;;2;;;2
VVV Cadeaubonnen B.V.;;;2;;;2
VVV Cards B.V.;;;1;;;1
VVV Nederland B.V.;;;2;;;2
WeBerg;;;;1;;1
Westernboerderij B.V.;;;;2;;2
Whale Agency;;;1;;;1
WHD Wapenhandel Donck;;;1;;;1
White Elephant Publishing;;;1;;;1
Wickerhoff Beheer B.V.;;;1;;;1
Wildkamp B.V.;;;;;1;1
Willemse Horeca Beheer;;;;;1;1
Wings Food & Drinks B.V.;;;;1;;1
Wirtz, Film & Experience Agency B.V.;;;;;3;3
WK Communicatie;;;1;;;1
Woel Sports;;;1;;;1
Wonderlust Creatives;;;;;1;1
Worcflow;;;;;1;1
Xenox Music & Media B.V.;;1;;;;1
Xerox (Nederland) B.V.;;1;1;;5;5
X-Systems B.V.;;;;;2;2
Yachtelectronics Rimare B.V.;;1;;;;1
Yarden Uitvaartverzekeringen N.V.;;;1;;;1
YourGift Cards B.V.;;;1;;;1
Ziggo B.V.;;1;1;;;1
Ziggo Services B.V.;;;1;;;1
Eindtotaal;7;7;7;8;8;9
