OBJECTID,BEHEERCODE,VERHARDINGSGROEP,ONDERDEELTYPE,VERHARDINGSSOORT,OPPERVLAKTE,BEHEEROBJECTTYPE,WEGTYPE,GEBRUIKSFUNCTIE,BEHEERDER,GEBIED,WIJK,STRAAT,AANLEGJAAR,SHAPESTArea,SHAPESTLength
467,00229/10/502,Asfalt,Hoofdrijbaan,Asfalt,238.82,hoofdrijbaan,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,238.81766741,73.5296789172152
468,00161/10/503,Gebakken steen,Hoofdrijbaan,Klinker waalformaat,95.51,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,CSA,Arnhemse Broek,Daendelsstraat,2016,95.513162,73.9059582434247
469,00984/34/534,Betonsteen,Hoofdrijbaan,Betonsteen keiformaat,926.64,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Wagnerlaan,2016,926.641031495,398.099650489621
470,00984/34/535,Asfalt,Fietspad,Asfalt,129.46,fietspad,Fietspad,woonstraat/erf (verblijfsgeb.),Particulier,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Wagnerlaan,2016,129.46218841,98.2021976158183
471,00984/34/536,Betonsteen,Voetpad,Betonsteen dikformaat,124.08,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Wagnerlaan,2016,124.083952605,86.8742360211736
472,00984/34/537,Betonsteen,Voetpad,Betonsteen dikformaat,377.21,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Wagnerlaan,2016,377.2084925,277.859560796202
473,00984/34/538,Betonsteen,In- uitrit,Betonsteen keiformaat,136.23,in- uitrit links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Wagnerlaan,2016,136.228509265,98.0351372526539
474,00229/10/501,Asfalt,Hoofdrijbaan,Asfalt,1891.59,hoofdrijbaan,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,1891.586385295,426.052004939614
475,00229/10/507,Betontegels,Trottoir,Betontegels,146.27,trottoir rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,146.26502444,111.687085059992
476,00229/10/506,Betontegels,Trottoir,Betontegels,465.24,trottoir rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,465.2425475,384.660219644262
477,00984/34/540,Betonsteen,Parkeerterrein,Betonsteen keiformaat,6464.94,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Wagnerlaan,2016,6464.9430745,439.6382585211
478,01662/20/2,Betonsteen,In- uitrit,Betonsteen keiformaat,134.38,in- uitrit links,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Achterstraat,1960,134.3779065,77.0101502951055
479,00160/20/1,Asfalt,Hoofdrijbaan,Asfalt,191,hoofdrijbaan,Licht belaste weg,buurtweg (verblijfsgebied),Particulier,Bossen en Parken,Burgemeesterswijk / Hoogkamp,Daam Fockemalaan,1962,191.0043065,133.544468866559
480,00160/20/2,Betontegels,Voetpad,Betontegels,145.72,voetpad,Licht belaste weg,buurtweg (verblijfsgebied),Particulier,Bossen en Parken,Burgemeesterswijk / Hoogkamp,Daam Fockemalaan,1962,145.7234095,130.503498108104
481,00087/11/4,Betonsteen,Parkeerterrein,Betonsteen keiformaat,170.35,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,170.3504795,60.7213600187127
482,00229/10/517,Betonsteen,Uitstapstrook,Betonstraatstenen,73.29,uitstapstrook rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,73.28974695,80.3275051239581
483,00229/10/516,Betontegels,Uitstapstrook,Betontegels,208.51,uitstapstrook rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2008,208.508508425,97.4937738753238
484,00229/10/527,Betontegels,Verkeersdruppel,Betontegels,17.29,verkeersdruppel,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,17.285339925,24.9971387328231
485,01498/20/527,Betonsteen,Trottoir,Betonsteen keiformaat,2.35,trottoir algemeen,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Schepen van Voorsthof,1978,2.3523375,6.13578095127814
486,01498/20/528,Betonsteen,Trottoir,Betonsteen keiformaat,2.35,trottoir algemeen,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Schepen van Voorsthof,1978,2.354826,6.13835992911956
487,01498/20/529,Betonsteen,Trottoir,Betonsteen keiformaat,2.38,trottoir algemeen,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Schepen van Voorsthof,1978,2.376526,6.16666544586733
488,01498/20/530,Betonsteen,Trottoir,Betonsteen keiformaat,2.31,trottoir algemeen,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Schepen van Voorsthof,1978,2.307147,6.0763103459013
489,00229/10/526,Betontegels,Verkeersdruppel,Betontegels,7.07,verkeersdruppel,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,7.065943295,10.4694134562537
490,01017/20/579,Betontegels,Trottoir,Betontegels,6.63,trottoir algemeen,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Westervoortsedijk,2013,6.631696,11.6125708181567
491,01017/20/578,Betontegels,Trottoir,Betontegels,12.97,trottoir algemeen,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Westervoortsedijk,2013,12.96779575,14.4783007871929
492,00087/11/5,Betontegels,Voetpad,Betontegels,48.38,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,48.378657,31.3809937647715
493,00087/11/6,Betonsteen,Parkeerterrein,Betonsteen keiformaat,416.57,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,416.5687195,89.0219623021584
494,00087/11/7,Betonsteen,Parkeerterrein,Betonsteen keiformaat,177.13,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,177.133658,63.249792461842
495,00087/11/8,Betontegels,Voetpad,Betontegels,56.72,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,56.7173085,33.3153594787925
496,00087/11/9,Betonsteen,Parkeerterrein,Betonsteen keiformaat,431.3,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,431.2961805,89.9803121941117
497,00087/11/10,Betonsteen,Parkeerterrein,Betonsteen keiformaat,167.47,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,167.4678445,59.1118534170351
498,00087/11/11,Betontegels,Voetpad,Betontegels,36.12,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,36.123614,28.9830380835592
499,00087/11/12,Betonsteen,Parkeerterrein,Betonsteen keiformaat,329.09,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Bontekoestraat,1963,329.092606,76.8090729098058
500,00068/23/506,Betonsteen,Trap,Elementen verharding,3.84,Trap,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost,Monnikenhuizen,Beukenlaan,2012,3.8365385,8.71147630356698
501,00668/30/520,Cementbeton,Trap,Beton,3.74,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,3.738741,7.93771914679362
502,00229/10/515,Betontegels,Uitstapstrook,Betontegels,211.68,uitstapstrook rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Eusebiusbuitensingel,2012,211.675129895,248.185243233791
503,01017/20/577,Betontegels,Trottoir,Betontegels,6.5,trottoir algemeen,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Westervoortsedijk,2013,6.5010124,11.4762158048395
504,00637/20/505,Betonsteen,Parkeervak,Betonsteen keiformaat,166.55,parkeervak links,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,166.5497956,78.5729575594476
505,00637/20/504,Betonsteen,Parkeervak,Betonsteen keiformaat,165.33,parkeervak links,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,165.3348175,78.2312338583768
506,00637/20/503,Betonsteen,Parkeervak,Betonsteen keiformaat,33.37,parkeervak links,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,33.36667035,24.4283595930705
507,00668/30/521,Cementbeton,Trap,Beton,3.69,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,3.6915435,7.93324100143157
508,00668/30/522,Cementbeton,Trap,Beton,4.58,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.575745,8.79503631080035
509,00668/30/523,Cementbeton,Trap,Beton,4.09,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.0919385,8.25729808717218
510,00668/30/524,Cementbeton,Trap,Beton,4.12,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.1207865,8.2562782981773
511,00668/30/525,Cementbeton,Trap,Beton,4.55,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.5518585,8.82188539567648
512,00668/30/526,Cementbeton,Trap,Beton,4.53,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.533795,8.7783032429518
513,00668/30/527,Cementbeton,Trap,Beton,4.49,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.488124,8.74741496012349
514,00668/30/528,Cementbeton,Trap,Beton,4.71,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.711352,9.00800404831774
515,00668/30/529,Cementbeton,Trap,Beton,4.33,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.333347,8.50088287158091
516,00668/30/530,Cementbeton,Trap,Beton,5.01,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,5.011714,9.36709036368973
517,00668/30/531,Cementbeton,Trap,Beton,4.74,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Onderlangs,2000,4.7438,9.05627736742552
518,00676/20/519,Betonsteen,Trap,Elementen verharding,66.94,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Centrum,Oranjewachtstraat,2009,66.936767,49.5080364894958
519,01017/5/508,Betonsteen,Trap,Elementen verharding,65.95,Trap,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,CSA,Arnhemse Broek,Westervoortsedijk,2012,65.9547355,49.8022654627681
520,00637/20/515,Betonsteen,Parkeervak,Betonsteen keiformaat,17.42,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,17.420213,24.6155630821406
521,00637/20/514,Betonsteen,Parkeervak,Betonsteen keiformaat,59.17,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,59.1670125,66.5650825966327
522,00637/20/513,Betonsteen,Parkeervak,Betonsteen keiformaat,57.09,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,57.0910395,64.594478506605
523,00637/20/512,Betonsteen,Parkeervak,Betonsteen keiformaat,69,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,68.9957765,76.6463399036178
524,00637/20/511,Betonsteen,Parkeervak,Betonsteen keiformaat,57.38,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,57.3778565,64.7235243435732
525,00637/20/510,Betonsteen,Parkeervak,Betonsteen keiformaat,55.02,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,55.021316,62.4385081870077
526,00637/20/509,Betonsteen,Parkeervak,Betonsteen keiformaat,57.07,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,57.0662595,64.4331392954706
527,00637/20/508,Betonsteen,Parkeervak,Betonsteen keiformaat,80.05,parkeervak rechts,Weg in woongebied,kade,Gemeente Arnhem,CSA,Arnhemse Broek,Nieuwe Havenweg,2010,80.047310115,85.2429223175482
528,00771/30/521,Gebakken steen,Parkeervak,Klinker dikformaat,24.34,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Velperweg e.o.,Roemer Visscherstraat,2011,24.3402663,29.5246964462895
529,00045/10/501,Betonsteen,Hoofdrijbaan,Betonsteen keiformaat,878.58,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,CSA,Centrum,Bastionstraat,1990,878.5787655,337.691804999672
530,01271/60/1,Rood asfalt,Fietspad,Rood asfalt,803.71,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (RVK),Rijkerswoerd,Kruisstraat,2011,803.710220925,414.684511161203
531,01271/60/2,Rood asfalt,Fietspad,Rood asfalt,1721.74,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (RVK),Rijkerswoerd,Kruisstraat,2011,1721.736112475,871.96100863332
532,01498/30/501,Betonsteen,Hoofdrijbaan,Elementen verharding,220.18,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Schepen van Voorsthof,1978,220.182902,113.458776853992
533,00045/10/502,Betonsteen,Hoofdrijbaan,Betonsteen keiformaat,536.39,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,CSA,Centrum,Bastionstraat,1990,536.3904735,197.639731616574
534,01579/30/508,Betontegels,Trottoir,Betontegels,447.68,trottoir links,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (RVK),Rijkerswoerd,Dr. Joop den Uylsingel,1995,447.6766845,283.753532274173
535,00608/40/501,Asfalt,Hoofdrijbaan,Asfalt,2065.8,hoofdrijbaan,Weg in woongebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Monnikensteeg,2013,2065.7975795,651.930294049999
536,00167/40/506,Gebakken steen,Drempel,Klinker keiformaat,26.6,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Geitenkamp,Dennenweg,2020,26.6034715,20.6765057687438
537,00167/40/507,Gebakken steen,Drempel,Klinker keiformaat,26.18,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Geitenkamp,Dennenweg,2020,26.181372,20.5516422204709
538,00732/10/503,Asfalt,Hoofdrijbaan,Asfalt,439.18,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,439.182977945,186.018069371982
539,00184/20/506,Betontegels,Trottoir,Betontegels,15.55,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Dovenetellaan,2008,15.55175116,16.7668596605902
540,00184/20/505,Betontegels,Trottoir,Betontegels,114.69,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Dovenetellaan,2008,114.69185846,132.16240683488
541,00184/20/504,Betontegels,Trottoir,Betontegels,247.25,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Dovenetellaan,2008,247.2545605,258.217378387994
542,01043/30/513,Betonsteen,Voetpad,Elementen verharding,5.69,voetpad,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Klarendal,Willemstraat,2009,5.692817,9.65348077534522
543,00678/10/520,Betonsteen,Trap,Elementen verharding,3.07,Trap,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Oremusplein,2014,3.07438,7.27916472468585
544,00678/10/521,Betonsteen,Trap,Elementen verharding,6.86,Trap,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Oremusplein,2014,6.864096,17.8304702574153
545,00678/10/522,Betonsteen,Trap,Elementen verharding,8.16,Trap,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West (Alteveer-Cranevelt),Alteveer / Cranevelt,Oremusplein,2014,8.1597495,18.1733996623552
546,01073/10/519,Betonsteen,Trap,Elementen verharding,10.1,Trap,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Klarendal,Zwaluwstraat,2012,10.1003865,13.0833000710993
547,01073/10/520,Betonsteen,Trap,Elementen verharding,8.05,Trap,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Klarendal,Zwaluwstraat,2012,8.0532235,11.8305132840479
548,00978/22/506,Betonsteen,Voetpad,Elementen verharding,4.66,voetpad,Weg in verblijfsgebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Klarendal,Vijverlaan,2009,4.655159,8.69327482936782
549,00812/10/526,Betonsteen,Trap,Elementen verharding,4.1,Trap,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Heijenoord / Lombok,Schilderstraat,1985,4.1028065,8.98502732060497
550,01081/50/502,Betontegels,Trottoir,Betontegels,192.8,trottoir links,Weg in woongebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Eldensedijk,1977,192.8034545,222.776526054465
551,00373/110/512,Betonsteen,Oversteekplaats,Dubbelklinker 20x20,13.13,oversteekplaats,Gemiddeld belaste weg,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Huissensestraat,2011,13.127997,14.5933668856433
552,00373/110/511,Rood asfalt,Oversteekplaats,Rood asfalt,10.48,oversteekplaats,Gemiddeld belaste weg,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Huissensestraat,2012,10.480077,13.247608684056
553,00684/10/502,Asfalt,Hoofdrijbaan,Asfalt,642.74,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2011,642.739132,231.816755837905
554,00684/10/501,Asfalt,Hoofdrijbaan,Asfalt,727.48,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2011,727.482852,260.909449432875
555,00684/20/502,Asfalt,Hoofdrijbaan,Asfalt,754.83,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2011,754.831236,273.769062498997
556,00684/20/501,Asfalt,Hoofdrijbaan,Asfalt,767.49,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2011,767.4879263,244.694764057513
557,00684/10/505,Asfalt,Drempel,Asfalt,27,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2011,26.9972045,20.8654506956069
558,00684/10/504,Asfalt,Drempel,Asfalt,27.61,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2011,27.614045,21.1302759167989
559,00023/102/506,Betontegels,Trottoir,Betontegels,198.22,trottoir rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Burgemeesterswijk / Hoogkamp,Amsterdamseweg,2010,198.2167505,264.74319205105
560,00710/10/501,Asfalt,Hoofdrijbaan,Asfalt,1104.75,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Burgemeesterswijk / Hoogkamp,Paul Krugerstraat,2020,1104.7523649,378.342599583432
561,00608/22/502,Betonsteen,Hoofdrijbaan,Betonsteen keiformaat,325.91,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Monnikensteeg,2013,325.912132,155.748098648467
562,00608/22/501,Betontegels,Hoofdrijbaan,Betontegels,14.79,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Monnikensteeg,2013,14.791542,15.42621615063
563,00025/20/504,Gebakken steen,Parkeervak,Klinker dikformaat,78.03,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Anemoonstraat,2008,78.0270615,67.1407952994747
564,00025/20/503,Gebakken steen,Parkeervak,Klinker keiformaat,76.32,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Anemoonstraat,2008,76.316741,59.3268552051089
565,00032/170/7,Asfalt,Hoofdrijbaan,Asfalt,489.03,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Bossen en Parken,Schaarsbergen e.o.,Apeldoornseweg,2010,489.0336905,326.542957539368
566,00032/170/6,Asfalt,Hoofdrijbaan,Asfalt,111.35,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Bossen en Parken,Schaarsbergen e.o.,Apeldoornseweg,2010,111.3462725,74.1624193697056
567,00032/170/8,Asfalt,Hoofdrijbaan,Asfalt,145.8,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Bossen en Parken,Schaarsbergen e.o.,Apeldoornseweg,2010,145.7986135,93.1801017890247
568,00732/10/502,Asfalt,Hoofdrijbaan,Asfalt,147.71,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,147.714063,70.1643352812799
569,00732/10/501,Asfalt,Hoofdrijbaan,Asfalt,292.96,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,292.955386,135.401232362444
570,00732/10/508,Betontegels,Trottoir,Betontegels,3.19,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,3.18843,13.9801828746165
571,00183/30/523,Gebakken steen,Hoofdrijbaan,Klinker lingeformaat,69.89,hoofdrijbaan,Licht belaste weg,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Dotterlaan,2006,69.886093015,48.9011366149129
572,01063/10/508,Asfalt,Hoofdrijbaan,Asfalt,517.01,hoofdrijbaan,Zwaar belaste weg,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zeegsingel,2008,517.01393082,111.184539428117
573,00581/20/515,Asfalt,Hoofdrijbaan,Asfalt,183.66,hoofdrijbaan,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Meldeplein,2008,183.6595665,68.9934245043559
574,00581/10/510,Asfalt,Hoofdrijbaan,Asfalt,202.4,hoofdrijbaan,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Meldeplein,2008,202.4002705,70.2773997069353
575,00732/10/507,Betontegels,Trottoir,Betontegels,44.94,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,44.935623545,177.94770235765
576,00732/10/506,Betontegels,Trottoir,Betontegels,26.08,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,26.076799,54.3526467828208
577,00732/10/505,Betontegels,Trottoir,Betontegels,6.51,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Populierstraat,2014,6.506008,28.6527156426134
