Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Demontage Werkplaats Zeeland (D.W.Z.) B.V.;;;;;2;;;;2
Dendy B.V.;;;1;;;;;;1
DeNieuweStad B.V.;;;1;;;;;;1
Denk Producties B.V.;;;;;2;;;;2
Deskbookers;;1;;;;;;;1
Detron Telecom Enterprise;;;;;2;;;;2
DFG;;3;;3;3;;;;4
Dialogic Innovatie & Interactie;;;;;;;1;;1
Dialogue B.V.;;;;;2;;;;2
Dickens Horecabedrijven B.V.;;;1;;;;;;1
Digital Action;;;;;1;;;;1
Digitalia B.V.;;;;;1;;;;1
Dijksterhuis & van Baaren Werkmaatsch. B.V.;;;;;1;;;;1
Diner Thuis;;;1;;;;;;1
DingemansVanderKind;;;;;1;;;;1
Direct Dutch B.V.;;;;;1;;;;1
Dirkzwager advocaten & notarissen N.V.;;;1;;;;;;1
Discountoffice.nl B.V.;;;1;;;;;;1
Distri-Boek B.V.;;;;;1;;;;1
Doelen Coach Service B.V.;;;;;;;;1;1
Doenederland.nl B.V.;;;1;;;;;;1
Doller Loopbaanadvies & Doelencoaching;;;;;2;;;;2
Domino's Pizza Utrecht 2;;;1;;;;;;1
Domstad Evenementen B.V.;;;1;;;;;;1
DOMSTAD EVENEMENTEN BV;;;;;;2;;;2
DON Opleidingen;;;;;1;;;;1
Don Qui John;;;1;;;;;;1
Dordts Genoegen;;1;;;;;;;1
Douane Harmonie Nederland;;;;;;1;;;1
Douane Schiphol Personeelsvereniging;;;1;;;;;;1
Double B Bar & Kitchen;;;1;;;;;;1
Dr. M. Tophoff;;;;;1;;;;1
Dräger Nederland B.V.;;;;;1;;;;1
Driessen Supermarkt Driel B.V.;;;1;;;;;;1
Drs. G.S. Nie;;1;;;;;;;1
Drs. P.C. Linnenbank, Arb.- & Org.psych.;;;;;1;;;;1
DtC - Desire to Communicate;;;;;1;;;;1
DTPerium;;;;;1;;;;1
DTZ Zadelhoff;;;;;1;;;;1
Du Nord Rijwielen;;;1;;;;;;1
Dubbel E. Acteerservice B.V.;;;;;2;;;;2
Ducona Holland B.V.;;;1;;;;;;1
Duikers- & Bergingsbedrijf W. Smit B.V.;;;;;1;;;;1
Dutch Leisure Concepts;;;1;;;;;;1
Duthler Associates;;;;;1;;;;1
Dynamika;;;;;2;;;;2
e relatiegeschenken;;;1;;;;;;1
E.J. Karman;;;;;1;;;;1
E3 ICT B.V.;;;;;2;;;;2
Ebbinge & Company;;;;;2;;;;2
Ecabo Services;;;;;1;;;;1
Echte Bakker Keurhorst;;;1;;;;;;1
Edison International Concept & Agencies B.V.;;;1;;;;;;1
Edison Roadhouse B.V.;;;1;;;;;;1
Eduact B.V.;;;;;4;;;;4
Edusafe;;;;;2;;;;2
Eduvita;;2;;2;;;;;2
EelenPt;;1;;;;;;;1
Eernst Security Advies & Techniek (ESAT);;1;;;;;;;1
Eet- en koffiehuis de Kiosk;;;1;;;;;;1
Eetcafé De Schuimspaan;;;1;;;;;;1
Eetcafé de Spil;;;1;;;;;;1
Eetcafe El Mamma Boogaard;;;1;;;;;;1
Eetcafe Spinoza;;;1;;;;;;1
Eetcafe 't 'Klavertje Vier';;;1;;;;;;1
Eethuis Smaak;;;1;;;;;;1
Eet-Idee;;;1;;;;;;1
Effect Consulting B.V.;;;;;1;;;;1
Effectory Publieksmonitor B.V.;;;;;3;;;;3
Effectyf B.V.;;1;;2;;;;;2
El Mundo;;;1;;;;;;1
El Patio Andaluz B.V.;;;1;;;;;;1
Elbo Tours B.V.;;;1;;;;;;1
Elenchis;;;;;1;;;1;1
Elly Dikker - HR Consultancy & Coaching;;;;1;;;;;1
Elsenaar IJs;;;1;;;;;;1
Elycio Talen B.V.;;;;;1;;1;;1
EMC Advies B.V.;;;;;3;;;;3
Emcart Thuiszorg Uitleen;;1;;;;;;;1
Emerce B.V.;;;;;1;;;;1
EmigratieBeurs B.V.;;;;;1;;;;1
Employee Dynamics;;;;;1;;;;1
Energetisch Psychotherapeut I.M. van Ierlant;;;;1;;;;;1
Enexis B.V.;;;;;1;;;;1
Engels Horeca Rotterdam B.V.;;;1;;;;;;1
ENGELS HORECA ROTTERDAM BV;;;;;;1;;;1
Enneagram Nederland;;;;;1;;;;1
Entopic B.V.;;;;;1;;;;1
ER Events B.V.;;;1;;;;;;1
Erasmus Beleggingen B.V.;;;;;1;;;;1
Ergatis B.V.;;2;;3;1;;;;3
Ergobrain B.V.;;2;;;1;;;;2
Ernst & Young Accountants LLP;;;;;1;;;;1
Escape Hunt Groningen;;;1;;;;;;1
ES-Connect B.V.;;;;;1;;;;1
Esra Handelmaatschappij B.V.;;;;;2;;;;2
Essie Tweewielers;;;1;;;;;;1
Esther Voorwinden van Iwaarden Tolk NGT;;;1;;;;;;1
Estian;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;1;;;;;;1
ETEN & ZO ZOETERMEER BV;;;1;;;;;;1
Eten bij Pa & Ma;;;1;;;;;;1
Eudaimonia B.V.;;1;;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;1;;;;1
Euro Kartracing B.V.;;;1;;;;;;1
Euroborg Horeca;;;1;;;;;;1
Euroforum;;;;;1;;;;1
Eurolinguist Nederland;;;;;2;;;;2
Euromast Horeca B.V.;;;1;;;;;;1
European Language Centre B.V.;;;;;1;;;;1
Europeesche Verzekering Maatschappij N.V.;;;;;1;;;1;1
Eurosafe Solutions B.V.;;;;;3;;;;3
Even Uit Evenementen;;;1;;;;;;1
EVENEMENTEN TEAM HOLDING BV;;;;;;2;;;2
E-Vent entertainment;;;1;;;;;;1
Evers Medica Roermond B.V.;;1;;;;;;;1
Evo B.V.;;;;;2;;;;2
Exact Holding B.V.;;;;;1;;;;1
Exito Matrix B.V.;;;1;;;;;;1
Expertisecentrum Conflictmanagement;;;;;1;;;;1
Explainit Company;;;;;;;1;;1
Exploitatiemaatschappij Duursma B.V.;;;1;;;;;;1
Exploitatiemaatschappij Fort Vechten B.V.;;;1;;;;;;1
EXPLOITATIEMIJ DE POORT VAN LEYDEN BV;;;;;;1;;;1
F.C. Boode Holding;;;;;1;;;;1
F2D WKD B.V.;;;1;;;;;;1
Fa. A. Robertus & Zn.;;;1;;;;;;1
Fa. Ganseman V.O.F.;;1;;;;;;;1
Fa. Haring's Bloemservice;;;1;;;;;;1
Faber Vlaggen B.V.;;;1;;;;;;1
Facilicom PPS Doetinchem Exploitatie B.V.;;;2;;;;;;2
Factor Nederland B.V.;;;5;1;;;;;5
Falck Nutec B.V.;;;;;1;;;;1
Falck Prevention B.V.;;;;;1;;;;1
Falke & Verbaan B.V.;;;;;1;;;;1
Farmer's Steakhouse;;;1;;;;;;1
Faro Architecten B.V.;;;;;1;;;;1
Federatie Personeelsverenigingen Financien;;1;;;;;;;1
Feestverhuur Groningen;;;1;;;;;;1
Felua-Groep Interstap B.V.;;1;;2;;;;;2
Fepa Horeca B.V.;;;1;;;;;;1
Ferro Explore B.V.;;;;;1;;;;1
Fewiro Wijchen B.V.;;;1;;;;;;1
Finnegan's Apeldoorn B.V.;;;1;;;;;;1
Firma Banketbakkerij J. Smit;;;1;;;;;;1
Firma Banketbakkerij Lindeboom;;;1;1;;;;;1
Firma H.A. Tibbe;;;1;;;;;;1
Firma Rijwielhandel Tieleman en Zoon;;;;;1;;;;1
First Service Business Events;;;2;;;;;1;2
Fiscaal Economisch Instituut B.V.;;;;;1;;1;;1
Fiscaal Studie- en Documentatiecentrum;;;;;2;;;;2
Fiscaal Up to Date B.V.;;;;;2;;;;2
Fitland Servicecenter B.V.;;;1;;;;;;1
Fitworks;;2;;;;;;;2
Fjord B.V.;;;;;;1;;;1
Flamingo's Plaza B.V.;;;1;;;;;;1
Fletcher Hotel-Restaurant Heiloo;;;1;;;;;;1
Flevo Yachtcharter;;;;;;1;;;1
Floriënt Express B.V.;;;1;;;;;;1
Flowers for you;;;1;;1;;;;1
Fluisterboot Vissershang;;;1;;;;;;1
Flux Groep B.V.;;;;;2;;;;2
Fluxicon;;;;;1;;;;1
FlyermanNL B.V.;;;1;;;;;;1
FM Horeca B.V.;;;1;;;;;;1
FMH Academy B.V.;;;;;1;;;;1
Fonq.nl B.V.;;1;;;;;;;1
Foodworkz;;;;;;1;;;1
Foodzie;;;1;;;;;;1
Forsa Advies;;;;;1;;;;1
Franciscaans Studiecentrum;;;;;1;;;;1
Franke Interim Management B.V.;;;;;1;;;;1
Franklincovey;;;;;1;;;;1
Fréderique Speckman Vormgever van Verandering;;;;;1;;;;1
Freedom Scientific Benelux B.V.;;;;;1;;;;1
Freeqs B.V.;;;;;1;;;;1
Friesland Sportprijzen;;;1;;;;;;1
Frisse Blikken ondernemen met talent B.V.;;;;;2;;;;2
Fun Valley Exploitatie B.V.;;;1;;;;;;1
Fysio- en Manueletherapie Praktijk Bilgaard;;1;;;;;;;1
Fysiotherapie Oudegracht;;1;;;;;;;1
G. Bakker en Zn. B.V.;;;1;;;;;;1
GaiaPark B.V.;;;1;;;;;;1
Gall en Gall Jelle Geerts;;;1;;;;;;1
Gasterij de Wagenmeester;;;1;;;;;;1
Gasterij Smits;;;1;;;;;;1
GDH Catering B.V.;;;1;;;;;;1
Geldof Designs;;;2;;;;;;2
Gelukmanagement Beheer B.V.;;;;;1;;;;1
Gemma Denteneer;;;;;1;;;;1
Genesys University B.V.;;;;;1;;;;1
Genootschap voor Informatie Architecten (Gia);;;;;1;;;;1
Gentlemen B.V.;;;1;;1;;;;1
George Royal B.V.;;;1;;;;;;1
Gerard van der Made B.V.;;;;;2;;;;2
Gert Westerveld;;;;;1;;;;1
Geschenkbezorgen.nl B.V.;;;1;;;;;;1
Get Events;;;1;;;;;;1
GGN van Mastrigt & Partners;;;;;1;;;;1
Giant Publicity B.V.;;;1;;;;;;1
Gids in Bedrijf;;;;;1;;;;1
Gift Coaching Training & Consultancy V.O.F.;;;;;1;;;;1
Gilde Utrecht;;;;;1;;;;1
GITP B.V.;;;;4;;;;;4
GITP Interim Management;;;;;1;;;;1
GITP Training & Opleiding B.V.;;;;;1;;;;1
Glaszett.- en Schildersbedrijf M. Bouwmeester;;;1;;;;;;1
Global Knowledge Network Netherlands B.V.;;;;;6;;;;6
Global Project Performance;;;;;1;;;;1
GlowGolf Kerkrade B.V.;;;1;;;;;;1
Glowgolf Rotterdam;;;1;;;;;;1
Go B.V.;;;;;1;;;;1
Golden Oldies Café Het Wapen van Bloemendaal;;;1;;;;;;1
Golden Palace;;;1;;;;;;1
Golden Peacock V.O.F.;;;1;;;;;;1
Golden Tulip Hotel De Reiskoffer;;;1;;;;;;1
Good Day Hospitality Services B.V.;;;1;;1;;;;1
GoodHabitz B.V.;;;;;3;;;;3
Gooische Catering;;;;;1;;;;1
gooodyfooods zwolle;;;1;;;;;;1
Gorkink Natuurlijk;;;1;;;;;;1
Gortcoaching.nl;;;;;1;;;;1
Governance & Integrity Nederland B.V.;;;;;3;;;;3
Grafisch Media Instituut B.V.;;;;;1;;;;1
Grafisch Ontwerpburo Mijke de Hartog;;;1;;;;;;1
Grand Athina;;;1;;;;;;1
Grand Café de Fanfare;;;1;;;;;;1
Grand Café Kroonenburg;;;1;;;;;;1
Grand Cafe Lubeck;;;1;;;;;;1
Grand Café Restaurant Staal;;;;;;1;;;1
Grand Café Zarautz;;;1;;;;;;1
Grand Café-Restaurant Loos B.V.;;;1;;;;;;1
Grand Catering B.V.;;;2;;;;;;2
Grand Theatre 1-7;;;2;;;;;;2
Grand Turquoise;;;;;;;;1;1
Grandcafé Rue de la Gare;;;1;;;;;;1
Granny's Corner;;;1;;;;;;1
Grapes & Olives;;;1;;;;;;1
Greenz B.V.;;;1;;;;;;1
Grieks Restaurant Elpitha;;;1;;;;;;1
Grieks Spec.restaurant 'Sirtaki Valkenswaard';;;1;;;;;;1
Gringo's;;;1;;;;;;1
Grip Human Resource Control B.V.;;;;1;;;;;1
Groenewoud B.V.;;;;1;;;;;1
Grontmij Nederland B.V.;;;;;2;;;;2
Grote Poot Horeca B.V.;;;1;;;;;;1
GroupSupport.com B.V.;;;;;;;;1;1
GS Handelsbedrijf B.V.;;;1;;;;;;1
GS1 Nederland B.V.;;;;;1;;;;1
Guliano Den Haag;;;1;;;;;;1
GuruScan B.V.;;;;;1;;;;1
Gusto Mangia e Bevi;;;1;;;;;;1
Guts / Stug Videoprodukties / Stug Facilitair;;;;;2;;;;2
H. Worst Holding B.V.;;;1;;;;;;1
H.B.E. Bedrijfshallen B.V.;;;1;;;;;;1
H.J. Nieman t.h.o.d.n. Multicopy Drukwerksrv.;;;1;;;;;;1
H.W.M. van Kesteren Belastingadvies B.V.;;;;;1;;;;1
Haagse Sportcombinatie Trias (H.S.K. Trias);;;;;;1;;;1
Haco Lichtreclame B.V.;;;1;;;;;;1
Häfele Nederland B.V.;;;;;1;;;;1
Halmans&Bakker,opleiden en coachen met lef;;;;;1;;;;1
Hampshire Exploitatie I B.V. Hotel Babylon Den Haag;;;1;;;;;1;1
Hananja Hamelink;;;;1;;;;;1
Handelsonderneming Henny van Ommeren B.V.;;1;;;;;;;1
Hans Willink Tekst & Fotografie;;;;;1;;;;1
Hanting Cuisine B.V.;;;1;;;;;;1
Hap-Inn;;;1;;;;;;1
Happy Meat B.V.;;;1;;;;;;1
Happy Wok Numansdorp B.V.;;;1;;;;;;1
Haptotherapie Bert Adolfsen;;1;;;;;;;1
Harbour Horeca B.V.;;;1;;;;;;1
Harmke Koning-Datema;;;1;;;;;;1
Hartelijk Gefaciliteerd;;;;;2;;;;2
Harvey Nash B.V.;;;;;4;;;;4
Hatokira B.V.;;;1;;;;;;1
Havana Den Haag;;;1;;;;;;1
Havenbedrijf Rotterdam N.V.;;;1;;;;;;1
HA-ZUS;;;1;;;;;;1
Health Factor Business;;2;;1;;;;;2
HealthclubInCompany;;;;;;1;;;1
HeartMath BeNeLux B.V.;;1;;;;;;;1
HEC B.V.;;;;1;4;;;;4
Heeren van Charlois;;;1;;;;;;1
Hegro Wolvega B.V.;;;1;;;;;;1
Heijkens V.O.F., Drukw., Stempels, Belett.;;;1;;;;;;1
Heleen de Winter;;1;;;;;;;1
Helen Kuyper;;;;;1;;;;1
Helicon Opleidingen;;;;;1;;;;1
Heliview Conferences en Training B.V.;;;1;;;;;;1
Héman Verhuurservice B.V.;;;1;;;;;;1
Hemingway B.V.;;;1;;;;;;1
Hemingway Professional Governance B.V.;;;;;1;;;;1
Herberg ¨De Zwarte Ruiter¨;;;1;;;;;;1
Herberg de Ploeg;;;1;;;;;;1
Herberg van Smallingerland;;;1;;;;;;1
Herbergh Bijsmans;;;1;;;;;;1
Hereitcomes B.V.;;;;;2;;;;2
Hermantap;;;;;1;;;1;1
Hertenkamp B.V.;;;1;;;;;;1
Het Balkon;;;;;1;;;;1
Het Bergpaviljoen, proeftuin van A'foort B.V.;;;;;;1;;;1
Het Bloemenhuis;;;1;;;;;;1
Het Dorstige Hert;;;1;;;;;;1
Het Drents Kwartiertje;;;1;;;;;;1
Het Eerste Huis;;;;;1;;;;1
Het Financieele Dagblad B.V.;;;;;;;1;;1
Het Haagsche Schouw;;;1;;;;;;1
Het Hanze Huis;;;;;1;;;;1
Het Huys van Frederik Hendrik B.V.;;;1;;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;;1
Het Kantoor van nU;;;;;;;;1;1
Het Kookplein;;;1;;;;;;1
Het Leerbedrijf;;;;;1;;;;1
Het Medaillehuis Suurd;;;1;;;;;;1
Het MiddelPunt essentiecoaching;;1;;;;;;;1
Het NIC B.V.;;;;;3;;;;3
Het Pleidooi;;;1;;;;;;1
Het Prentenkabinet;;;1;;;;;;1
Het Tolhuis;;;1;;;;;;1
Het Vliegende Paard;;;1;;;;;;1
Het Wapen van Diemen;;;1;;;;;;1
Het Wapen van Rhoon B.V.;;;1;;;;;;1
Het Wapen van Roosendaal V.O.F.;;;1;;;;;;1
Hiawatha Actief;;;1;;;;;;1
Hielle Tillema Coaching Mediation;;;;;1;;;;1
Hodegre B.V.;;;1;;;;;;1
Hoeksema Prakijk voor Psychomotorische Ther.;;;;1;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;1;;1;;;;1
Hofje van Pauw: praktijk voor haptonomie;;1;;1;;;;;1
Hofstad Events B.V.;;;;;;1;;;1
Hogeschool INHolland;;;;;2;;;;2
Hogeschool NOVI B.V.;;;;;1;;;;1
Hogeschool Schoevers;;;;;2;;;;2
Hogeschool van Amsterdam;;;;;1;;;;1
Hogrefe Uitgevers B.V.;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;;1
Holding Sanz B.V.;;;1;;;;;;1
Holland Casino;;;;;;1;;;1
Holland Tour Guides B.V.;;;;;;1;;;1
HolstijnCentre;;;;;1;;;;1
Honeywell Building Solutions;;;;;2;;;;2
Hooftman Autobedrijf B.V.;;;;;1;;;;1
Hoogenraad Transport V.O.F.;;;1;;;;;;1
Hooridee Advies bij Gehoorverlies;;1;;;;;;;1
Horeca Baarle-Nassau B.V.;;;;;;;;1;1
Horeca Centrum Spa;;;1;;;;;;1
Horeca Exploitatie Hermitage B.V.;;;1;;;;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;1;;;;;;1
Horeca Exploitatie Maatschappij Schiphol B.V.;;;1;;;;;;1
Horeca Onderneming Buiten Eten + Drinken;;;1;;;;;;1
Horecaexploitatie DRU Cultuurfabriek B.V.;;;1;;;;;;1
Horecastoffen.nl;;;1;;;;;;1
Hostiebakkerij Klooster Sint Josephsberg;;;;;1;;;;1
Hotel Contact B.V. Worldmeetings;;;;;;;;3;3
Hotel De Ville B.V.;;;;;;;;1;1
Hotel Ekamper B.V.;;;1;;;;;;1
Hotel Hertogplein;;;;;;;;1;1
Hotel Leeuwarden Centre B.V.;;;;;1;;;1;2
Hotel Noordsee Ameland B.V.;;;1;;;;;;1
Hotel 't Heuveltje B.V.;;;1;;;;;;1
Hotel-Restaurant 'Oud London';;;1;;;;;;1
Houdstermaatschappij R.E. Bouwer B.V.;;;1;;;;;;1
House of Lords B.V.;;;2;;;;;;2
House of Spice;;;1;;;;;;1
House of Sports;;;1;;;;;;1
how2ask;;;;;1;;;;1
HowAboutYou B.V.;;;;;2;;;;2
HRcommunity;;;;;1;;;;1
HRD Support;;;;;1;;;;1
HRD-group;;;;;5;;;;5
HSB Holding B.V.;;;1;;;;;;1
HSK Interventie B.V.;;2;;2;;;;;3
HTM Specials B.V.;;;1;;;1;;1;1
Hudson Danzig B.V.;;;1;;;;;;1
Huf & Go;;;1;;;;;;1
Huisman International B.V.;;;;1;;;;;1
Huize Molenaar B.V.;;;2;;;;;;2
Human Competence;;;;;1;;;;1
Human Resolutions;;;;;1;;;;1
Humphrey's Rotterdam B.V.;;;1;;;;;;1
Hutten Catering B.V.;;;1;;;;;;1
Hypnobalance;;1;;1;;;;;1
Hytech;;;;;1;;;;1
I Love Workshopevents;;;1;;;;;;1
IBM Nederland B.V.;;;;;5;;;;5
ICARA B.V.;;1;;1;;;;;1
ICM Holding B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
ICON Entertainment B.V.;;;2;;;;;;2
Idols Den Haag B.V.;;;1;;;;;;1
Iep Holding B.V.;;;;;1;;;;1
IJsfontein Gamewise B.V.;;;;;1;;;;1
IMC;;;;;1;;;;1
IMK Intermediair B.V.;;;;;1;;;;1
Impromex Technics B.V.;;1;;;;;;;1
Impulsus, Support & Facilities B.V.;;;;;2;;;;2
In Balans Integratieve Zorg;;1;;1;;;;;1
In Creation;;;;3;1;;;;3
In De Goede Luim;;;1;;;;;;1
In de Klander Muelen;;;1;;;;;;1
In de Steigers B.V.;;;1;;;;;;1
In de Tenne Kan;;;1;;;;;;1
In2Content B.V.;;;;;1;;;;1
Inbraakpreventie 'M.I.B.' B.V.;;;;;1;;;;1
Incentivo B.V.;;2;;;;;;;2
Indisch Restaurant Garoeda;;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;;;;1;;;1
Inf.- & Comm.techn. Stud.ver. Inter-Actief;;;;;1;;;;1
Info Support B.V.;;;;;5;;;;5
Info Training B.V.;;;;;1;;;;1
Informagic;;;;;1;;;;1
Information Security Academy B.V.;;;;;2;;;;2
Informatique Computers & Componenten;;;;1;;;;;1
ING Bank;;;1;;;;;2;2
InnoValor B.V.;;;;;2;;;;2
Innovero Software Solutions B.V.;;;;;1;;;;1
InsightsWorld B.V.;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;2;3;;3;;4
Instituut voor Mens. Gedrag / De Leugenacad.;;;;;1;;;;1
Intend Centra voor Werk & Psyche B.V.;;1;;;;;;;1
Interarbo Consultancy B.V.;;1;;;;;;;1
Interned Services;;;;;1;;;;1
Intersafe Groeneveld B.V.;;4;;;;;;;4
Intop Zorgsector B.V.;;;;;1;;;;1
Intrum Justitia Nederland B.V.;;;;;1;;;;1
Invivo Werk en Gezondheid B.V.;;1;;;;;;;1
Invloedrijk;;;;;1;;;;1
Involon B.V.;;;;1;;;;;1
IP Trainershouse B.V.;;;;;4;;;;4
IPMA - NL;;;;;1;;;;1
IPMA Certificering B.V.;;;;;1;;;;1
Ipse de Bruggen;;;1;;;;;;1
Isa Beheer B.V.;;;1;;;;;;1
ISDA;;;;;1;;;;1
Isotoon Trainingen & Therapie;;;;;1;;;;1
IT Rains Fishes;;;;;;1;;;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;;1
IT-Staffing Nederland B.V.;;;;;3;;;;3
Izeboud Coaching;;;;;1;;;;1
J & H Professioneel Licht en Geluid;;1;;;;1;;;1
J & M van den Broek Beheer B.V.;;;1;;;;;;1
J. & K. Catering;;;1;;;;;;1
J. Heebink Int. Trans.- en Expedit.bedr. B.V.;;;1;;;;;;1
J. Kos & Zoon B.V.;;;1;;;;;1;1
J.H. Bosman en Zoon;;;1;;;;;;1
J.L. de Jong Touringcarbedrijf Rotterdam B.V.;;;;;;;;1;1
J.S. Jonkers;;;;;1;;;;1
Jacksart B.V.;;;1;;;;;;1
Jacob Meijer Forwarding B.V.;;;1;;;;;;1
Jacqueline Rijsdijk;;;;;1;;;;1
Jaffar Consultancy;;;;;1;;;;1
Jan Stam Fietsverhuur;;;1;;;;;;1
Jan-Jaap in der Maur;;;;;1;;;;1
Jébé Massage;;1;;;;;;;1
Jim Samuels Schilderwerken;;;1;;;;;;1
Jobmassage B.V.;;1;;;;;;;1
JoJotours B.V.;;;;;;;;1;1
Joop's Broodjes;;;1;;;;;;1
Jopen Horeca Exploitatie B.V.;;;1;;;;;;1
Jos Paauw Training en Theaterimprovisatie;;;;;1;;;;1
Jos ten Berg's Handelmaatschappij B.V.;;;;;1;;;;1
Jouwbestejaar.nu;;;;;2;;;;2
Judith Lodewijks;;;;;1;;;;1
Jules Verne B.V.;;;1;;;;;;1
Juncto;;;;;1;;;;1
Junior Kamer Ede;;;;;1;;;;1
Just Ask! B.V.;;;1;;;;;;1
Juul Martin;;;;;1;;;;1
K.M. Scheepers;;;;;;;;1;1
Kaapse Brouwers B.V.;;;1;;;;;;1
Kamamak Bedrijfsopleiding en -training;;;;;1;;;;1
Kameleon Uitvaartzorg;;1;;;;;;;1
Kantine Exploitatie H.S.V.-V.U.C.;;;1;;;;;;1
Karen Sjouke;;;;1;;;;;1
Karin Naaijkens Prestatiepsychologie;;1;;;;;;;1
Karting Plaza Vastgoed B.V.;;;1;;;;;;1
Katholieke Voetbalvereniging 'Losser';;;1;;;;;;1
Kees Tak Bloemist;;;1;;;;;;1
Kefee 'd'n Hertog van Gelder';;;1;;;;;;1
Keizer Culinair B.V.;;;1;;;;;;1
Keizers Taxi;;;;;;;;1;1
Kèk Media;;;;;1;;;;1
Kemtec B.V.;;;1;;;;;;1
Kerckebosch Holding B.V.;;;;;1;;;;1
Kerkvoorde Dienstverlening;;;1;;;;;;1
Kessels & Smit Leertrajecten B.V.;;;;;1;;;;1
Kessels & Smit Something B.V.;;;;;1;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;4;;;;4
Kesselskramer;;;;;4;;;;4
KGH Kuper Douaneservice B.V. Douaneopleidingen;;;;;1;;;;1
Kids & Family Insight;;1;;;;;;;1
KIT Intercultural Professionals;;;;;1;;;;1
Klaas Brant Consulting & Education B.V.;;;;;2;;;;2
Klaas Schut Meubelagenturen;;;1;;;;;;1
Klantocratie B.V.;;;;;;;1;;1
Klarna B.V.;;;;;1;;;;1
Klein Wittenoord V.O.F.;;;1;;;;;;1
KLM Equipment Services B.V.;;;;;;;;2;2
Kluwer Opleidingen;;;;;1;;;;1
Knocom B.V.;;;;;1;;;;1
Knol's Koek, Iets Aparts;;;1;;;;;;1
Knus;;;1;;;;;;1
Koffieschenkerij/branderij Genuujerrie;;;1;;;;;;1
Kohinoor van India;;;1;;;;;;1
Koken-op-maat;;;;;;;;1;1
Kokkeler Bloemen;;;1;;;;;;1
Kolpinghuis Nijmegen B.V.;;;1;;;;;;1
Koning Accountancy en Opleidingen;;;;;1;;;;1
Koningshof B.V.;;;1;;2;;;1;2
Koninklijke Burgers' Zoo;;;1;;;;;;1
Kookje eetwinkel V.O.F.;;;1;;;;;;1
Kookrijk;;;1;;;;;;1
Kooning Schiphol B.V.;;;;;1;;;;1
KPMG N.V.;;;;;3;;;1;3
KPN B.V.;;;;;1;;;1;1
Kr. van Havengebied van Rotterdam en Omgeving;;;;;;;1;;1
Kralingse Drankenhandel B.V.;;;1;;;;;;1
Krauthammer International B.V.;;;;;2;;;;2
Kreeft Opleidingen;;;;;1;;;;1
Kreta Restaurant B.V.;;;1;;;;;;1
Kritische Actuarissen en Econometristen;;;1;;;;;;1
Kruizinga B.V.;;;;;1;;;;1
KSG B.V.;;;;;2;;;;2
Kuijpers;;;1;;;;;;1
Kuiper & Partners, psychologen;;;;;1;;;;1
KUNST&KOOK WORKSHOPATELIER;;;;;;;;1;1
Kunstbureau Luuk Pijl;;;1;;;;;;1
Kwaliteitsstichting Mediators;;1;;;1;;;;1
KWD Management Diensten B.V.;;;;;3;;;;3
Kwibus Funbus B.V.;;;;;;1;;;1
Kyda;;;;;1;;;;1
L' Avenir de Pia Massages & Workshops;;1;;1;;;;;1
L. Wolters;;;;;1;;;;1
La Bergere Hospitality Group B.V.;;;;;;;;1;1
La Brasserie Teiwes;;;1;;;;;;1
La Cantina di David B.V.;;;1;;;;;;1
La Cocotte;;;1;;;;;;1
La Cubanita;;;1;;;;;;1
Laagsteprijsgarantie B.V.;;;1;;;;;;1
Laarhoven Design Rijssen B.V.;;;;;1;;;;1
Labo-Tech B.V.;;;1;;;;;;1
Ladderfabriek Zeegers;;;1;;;;;;1
Laemers Teksten;;1;;;;;;;1
Lagant Management Consultants B.V.;;;;;1;;;;1
Lagerweij & Partner Consultants B.V.;;1;;;2;1;;;2
Lagerweij Zwolle B.V.;;;;;1;;;;1
Landel. Ver. Supervisie en Coaching (lVSC);;;;;;;1;;1
Landg. Hotel-Restaurant Groot Warnsborn B.V.;;;1;;;;;;1
Landgoed de Horst;;;;;1;;1;1;1
Landskroon Event B.V.;;;1;;;;;;1
Lanzfeld B.V.;;;1;;;;;;1
Lawn Tennis Club 'De Manege';;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Blanc Adviesgroep;;;;;2;;;;2
Le Farmer;;;;;;1;;;1
Le Petit Pain;;;1;;;;;;1
Le Strasbourg;;;2;;1;;;;2
Leagle B.V.;;;;;1;;;;1
Lean Consultancy Group B.V.;;;;;2;;;;2
