Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
Carlton Hotels Nederland B.V.;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Carpe CarrièrePerspectief;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Carpe Diem Sailing;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Catch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Catering Houtop B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Cedin B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Cees Media Communicatie Advies CMCA;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Celal Altuntas;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cendris Dataconsulting B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Centraal Boekhuis B.V.;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;1
Centraal Bureau voor de Statistiek;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Central Point Nederland B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
CGI Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;6;;3;;;;;;;;;6
Change2Result;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Charles Le Grand B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chin. Ind. Restaurant 'De Chinese Muur' B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chocoloco B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Chorda B.V.;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Chris Bos Teksten & Boeken;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ciao! Ciao! B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CIBIT Adviseurs/Opleiders;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cicero Publiciteit;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
CiEP;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Cimsolutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
CINOP Publieke Programma's en Projecten B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3
"Circumference; Pers. & Prof. Development";;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
City Safari B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Claranet Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1
Cleanbuilding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Clevers Asbestsanering B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Clineschrijft;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clipit News B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1
Clockwork;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;3
Cloetta Holland B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cloose;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clou B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CM Telecom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
CMSA Inz Chirurgie;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
CNV Vakmensen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CNV Vakmensen.nl;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
CoCon Coaching & Consultancy;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Code d'Azur Interactive B.V.;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Cofely West Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Coform B.V.;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
CoJobs;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Comfoor B.V.;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Comic House Amsterdam B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Company.Info B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
COMPAREX Nederland B.V.;;;;4;;;;4;;;;;;;;;;;;2;;;;;;7;;3;;;;;1;;;2;7
Compass Group Nederland B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Competence Factory;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Compu'Train;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Comtext Communicatie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Conclusion All Finance;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Concorde Group B.V.;;1;;;;;5;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;2;5
Condubouw B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Connexxion Tours;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Consumentenbond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Consurge B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coöperatie Medisch Specialisten IJmond UA;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Coöperatie Orthopedie Groot Eindhoven UA;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Coöperatief Congrestolkensecretariaat UA;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;2
Coopr;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Coosto B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cosanta B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Coursepath B.V.;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CPM Coaching Paard en Mens;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Creative Colors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Credit Tools;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
CREM B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Crijns Asbestsanering B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Crisisplan B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Croissanterie 93;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Croissanterie 'de Snor' B.V.;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Croon Elektrotechniek B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;1
Crystal River;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CSU Cleaning Services;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;3
CVA Informatica Opleidingen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
D & C Engineering;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
D' Uston en Allard;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
D&F Consulting B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Dapoer Sunda;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DAS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DASC B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DataExpert B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1
De (Mobiele Telefoon) Inbouwspecialist B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
De Argumentenfabriek B.V.;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2
De Baak Administratie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Baak B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Baak Noordwijk B.V.;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
De Bakkerswinkel Den Haag;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Bazar B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Belgische Keizer B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Boerinn B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Bonte Haas B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Corridor;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Gouden Heren B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
De Groene Amsterdammer weekbl. voor Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
De Heeren van Soetermeer;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Horeca Academie Zakelijk B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Javaanse Vlam;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Jonker Consultancy;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Kluizenier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
De Knegt & Leeflang B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
De Koers;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Lens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
De Massagestoel;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
De Meeuw Oirschot B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
De Nieuwe Lijn B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Nonnen in Vught;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Onderzoekspartner;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
de Persgroep Nederland B.V.;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
De Poort van Kleef Utrecht B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Rijtuigenloods B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
De Surinees;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Tuinkamer;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
De Vitale Mens;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Volkskrant B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
De Vos Bedrijfsdiensten B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Voscheheugte;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Winkel van Sinkel B.V.;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
De Zoete Inval B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Zorgbalie.nl B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
De Zwarte Zwaan Rotterdam B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Debi-Carz;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Defabrique Evenementen B.V.;;;;;;;;1;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;4
Defacto Software B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Déhora Consultancy Group B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Dekxels B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Dell Co;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Deloitte Accountants B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Delphi's Lunch & Diner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Delta Berging & Transport B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Delta International Uniformuitrustingen B.V.;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2
Den Haag Specsavers B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Den Hartogh Liquid Logistics B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Détect Milieu Services B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
DFG;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DGG Schoonmaak;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
Dialogis;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Diebels Relatiegeschenken B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Diemen & Van Gestel Select B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
dierenshop;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
DiEx B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Digital Action;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Dignitas Mediation & Conflict Management;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DilemmaConsult;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Dilemmamanager B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Dim Sum Bar Pacifica;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Diner Thuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Diversity Inc.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Divosa, Land. veren. leid.gev. gemeent. dnst.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Dochter Van de Smid;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Doenederland.nl B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Dohsbase V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Dols Consult;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Donkelaar & Schüller Adviseurs B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Doom & Dickson B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Doorpakken;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Dos Santos Legal;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Douwe Egberts Horeca;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;2
DPI Animation House B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Dräger Safety Nederland B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Drentea Kantoormeubelen;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;1;;;;;;2
Driemensies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Drijber en Partners B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DSP-Groep B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Dubbel E. Acteerservice B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Dudok Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Duidingsdienst B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
DutchAndFamous;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Duwtje;;;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
E.A.L. Electronic Application Laboratory B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;5
EBC Taleninstituut B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ECHOS Home Het Baken;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
ECORYS Nederland B.V.;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Eden Springs Nederland B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Edulaw;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Edward Severin Onderz., adv. en projectleid.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Eekelaar Eye Fashion;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Eetcafe De Kruusing;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Eetcafé Treffen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Effectory B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Eijkelkamp Soil & Water B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
El Barrio;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Electrotech.- en Ond.bedr. L. v.d. Wiel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Element Materials Technology Amsterdam B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Elenchis;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Elycio Talen B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
EMC Advies B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
EMMA Communicatie B.V.;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Emmtec Services B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
EnablE-U B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2
Eneco Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;2
Engelbert Strauss B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Engels B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
EnginEars 003 B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Entopic B.V.;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Entrada Restaurants & Catering C.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
E-Office B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Equrion Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ER;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Ergo B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ergozit;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ernst & Young Actuarissen B.V.;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ESB B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Eten & Drinken B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
European Management Development Centre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
EURS B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
'Evangelisch Centrum Europoort';;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Evenementenbureau SPEV;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Evers Research & Training;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
eX:plain;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Exact Holding B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Expertise Centrum Samenleving;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Expl.mij. Automobielmusea in Nederland B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Explainit Company;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Exploitatie Maatschappij Hotel Kurhaus V.O.F.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Expo Display Service;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
F.J. de Reijdt Opt. thodn Eye Wish Groeneveld;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
F19 Projecten B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Faas Audiovisuele Dienstverlening;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1
Fabricom Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Facilion B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Facility Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Facint B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Falck Nutec B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Federal Express Nederland;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Ferro Explore B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Fibrecount B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Finalist IT Group;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Find Asbestinventarisatie B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Find Inspecties & Analyses B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Fiori di Rose;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Firma De Groot;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Firma Hof der Muzen;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;2
First Care Company;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Fish & Meat B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FIZZ reclame + communicatie;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Fletcher Hotel Exploitaties B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fletcher Hotel Heidehof;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fletcher Hotel Restaurant Elzenduin;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Flexchair B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Flex-I.D. B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;3
Florent;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FNV Formaat (Opleidingen & Advies);;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
FNV Formaat B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
FNV Vrouwenbond;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Focus Nederland;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Forrester Research B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Forsa Advies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fortune Factory B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Forum Management Partner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Fotasia;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fotogeniek;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
