Handelsnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Central Point Nederland B.V.;;;;;;;;1;;1
Centrale Bibliotheek Almelo;;;;;1;;;;;1
Centrale Rino B.V.;;;;1;;;;;;1
Centre for Generative Leadership B.V.;;;;;1;;;;;1
Centric Netherlands B.V.;;;;;;;1;;;1
Centrum Sifa Psychiatrische Praktijk;;;;;;;;;1;1
CEVA Logistics Netherlands;;;;;1;;;;;1
Ch Brandbeveiliging;;1;;;;;;;;1
Chair Repair;;;;;;;1;;;1
Champelle V.O.F.;;;;;1;;;;;1
Charelli B.V.;;;;;1;;;;;1
Charki B.V.;1;;;;;;;;;1
Charles van Eijken/Bezorgbeer Den Haag-Schev.;1;;;;;;;;;1
Chem-Dry R & O.B.V.;;;1;;;;1;;;2
Chin. Ind. Special. Restaur. De Kersenbloesem;1;;;;;;;;;1
Chin. Specialiteiten Restaurant Color Flower;1;;;;;;;;;1
Chin.-Ind. Special. Restaurant Malakka B.V.;;;;;1;;;;;1
China-Town;1;;;;;;;;;1
Chinees Indisch Restaurant 'Hong Fong';1;;;;;;;;;1
Chinees Indisch Restaurant Man Wah;1;;;;;;;;;1
Chinees Indisch Restaurant New Ocean;;;;;1;;;;;1
Chinees Indisch Restaurant 'Ni Hao';1;;;;;;;;;1
Chinees Indisch Restaurant Sin Jah;1;;;;;;;;;1
Chinees Restaurant Manchuria;1;;;;;;;;;1
Chinees-Indisch Restaurant 'Hong Kong' V.O.F.;1;;;;;;;;;1
Chocolade Atelier van Noppen B.V.;;;;;1;;;;;1
Chocolaterie Pierre;;;;;1;;;;;1
Chocstar;;;;;1;;;;;1
Christianne Nagel Coaching;;;;;1;;;;;1
Chubb Fire & Security Amsterdam;;2;;;;;1;1;;2
Ciano Netherlands B.V.;;;;;1;;;;;1
Ciao! Ciao! B.V.;1;;;;1;;;;;1
Classic Incasso B.V.;;;;;;;;;1;1
Claudio Benito Musica;;;;;1;;;;;1
CLB Integrated Solutions B.V.;;1;;;;;;;;1
CleanProfs B.V.;;;1;;;;;;;1
Clearfreight B.V.;;;;;;;;1;;1
CMIB;;;;;;;;;1;1
Coca-Cola European Partners Nederland B.V.;1;;;;;;;;;1
CoffeeClub 2015 B.V.;1;;;;;;;;;1
Collactive B.V.;;;;;;;;;1;1
Color Wood Holding B.V.;;;;;;;;1;;1
Colour XL B.V.;;;;;1;;;;;1
CombiCraft;;;;;;;;1;;1
Combigas B.V.;;;;;;;1;;;1
Comedytrain Impresariaat B.V.;;;;;1;;;;;1
Commotie;;;;;1;;;;;1
Communicatie Techniek Jaspers;;;;;;;;1;;1
Compacon & Partners B.V.;;;;;1;;;1;;2
Compacon B.V.;;;;;2;;;1;;2
COMPAREX Nederland B.V.;;;;;;;1;1;;1
Compass Group Nederland B.V.;5;;1;;1;;;;;5
Comsec B.V.;;2;;;;;;;;2
Concentra Media Nederland B.V.;;;;;1;;;;;1
Concorde Group B.V.;;;;;;;2;;;2
Condor Arnhem B.V.;;;;;;;1;;;1
Confederation of European Probation;;;;;;;2;;;2
Conferentiehotel Landgoed Rhederoord B.V.;;;;;1;;;;;1
Congres- en Studiecentrum VNG B.V.;;;;;;;1;;;1
Connexxion Taxi Services B.V.;;;;;1;;;;;1
Conpax Verpakkingstechniek B.V.;;;;;;;;1;;1
Conrad Electronic Benelux B.V.;1;1;1;1;;;1;2;;2
Conservatorium Hotel B.V.;;;;;1;;;;;1
Constructor Dexion Holland B.V.;;;;;;;;1;;1
ContrAll Inspectie B.V.;;;;;;;1;1;;1
Coolblue B.V.;;;1;;1;;;1;;1
Coöp. Nederl. Associatie voor Examinering UA;;;;;;;1;;;1
Coöperatie De Betekenaar UA;;;;;1;;;;;1
Coöperatie Schoonderwoerd & Partners UA;;;;;1;;;;;1
Coöperatief Congrestolkensecretariaat UA;;;;;1;;;1;;1
Copy Right Roden;;;;;1;;;;;1
Copy Service Leeuwarden B.V.;;;;;1;;;;;1
Copy Time;;;;;1;;;;;1
Cornelese Technical Systems B.V.;;1;;;;;;;;1
Cornelissen Aannemingsbedrijf B.V.;;;;;;;;1;;1
Corps 3 op twee B.V.;;;;1;3;;;;;3
Couwenberg Zonwering en Kozijnen B.V.;;;;;;;1;;;1
Craens Consultancy;;;;;1;;;;;1
Creagivity B.V.;;;;;1;;;1;;1
Creator Meeting Support B.V.;;;;;1;;;;;1
Credifin Nederland B.V.;;;;;;;;;1;1
Credifixx Incassoservices B.V.;;;;;;;;;1;1
Credit Management Group B.V.;;;;;;;;;1;1
Creja Ontwerpen B.V.;;;;;1;;;;;1
Crisicom B.V.;;1;;;;;;;;1
Croissanterie 'de Snor' Beheer B.V.;1;;;;;;;;;1
Croon Elektrotechniek B.V.;;1;;;;;;;;1
Crown Business Center Haarlem I B.V.;;;;;1;;;;;1
Crown Electric Records;;;;;1;;;;;1
Crowne Plaza Hotel Maastricht;;;;;1;;;;;1
Cruise With Us B.V.;;;;;2;;;;;2
CSU Airport Services;3;7;8;;1;;1;1;;8
CSU Cleaning Services;;;5;2;;;;;;5
CURA Advies & Training B.V.;;3;;1;;;;;;3
Cura Mortu Orum Mortuariabeheer B.V.;;;1;;;;;;;1
CURA Preventie B.V.;;2;;1;;;;1;;2
CURA Safety Solutions B.V.;;1;;;;;1;1;;2
CWS Nederland B.V.;;;5;;;;;;;5
D Sign Marking B.V.;;;;;;;2;;;2
D.P. Breda 1 B.V.;1;;;;;;;;;1
D.P. Friesland B.V.;1;;;;;;;;;1
D.P. Hilversum B.V.;;;;;1;;;;;1
Da Vinci Laboratory Solutions B.V.;;;;;;;;2;;2
Daantje Café B.V.;;;;;1;;;;;1
Dado Nederland;1;;;;;;;;;1
Dagelijks Lekker;;;;;1;;;;;1
Dako Netherlands B.V.;;;;;;;;1;;1
Danckaarts Techniek B.V.;;;;;;;2;1;;2
DARE ! ! Calibrations;;;;;;;;1;;1
DAS;;;;;;;;;1;1
Dassen Bouw B.V.;;;;;;;2;;;2
Datec;;;;;1;;;;;1
Datona B.V.;;;;;;;;1;;1
Dazzles;;;;;1;;;;;1
DBB Debiteuren Beheer Benelux LLP;;;;;1;;;;;1
dBme;;;;;;;1;;;1
DBO Incasso B.V.;;;;;;;;;1;1
DBS Maaitechniek B.V.;;;;;;;;1;;1
dc logistics services;;;;1;;;;;;1
D-Creator;;;;;1;;;;;1
De Andere Slager;1;;;;1;;;;;1
De Apostelhoeve;;;;;1;;;;;1
De Baak B.V.;;;;;1;;;;;1
De Baarzen Vastgoed B.V.;1;;;;;;;;;1
De Balken;1;;;;;;;;;1
De Ballentent;;;;;1;;;;;1
De Ballonnenwinkel;;;;;1;;;;;1
De Bandenhal;;;;;;;;1;;1
De Bazar Amsterdam B.V.;;;;;1;;;;;1
De Belgische Keizer B.V.;;;;;1;;;;;1
De Bierelier B.V.;;;;;1;;;;;1
De Blauwe Lotus;1;;;;;;;;;1
De Bloemenschuur;;;;;1;;;;;1
De Boeketterie Bloembinderij;;;;;1;;;;;1
De Boulevard Breda;;;;;1;;;;;1
De Broadtsje Bakker;1;1;;;;;;;;1
De Chinese Muur Warnsveld B.V.;;;;;1;;;;;1
De Colonie Waalbrug B.V.;;;;;1;;;;;1
De elfde elf;;;;;1;;;;;1
de firma Langenberg;;;;;;;;1;;1
De Fleurist;;;;;1;;;;;1
De Gereghthof B.V.;1;;;;;;;;;1
De Gouden Ton;;;;;1;;;;;1
De Groot B.V.;;;;1;;;;1;;1
De Groot Design B.V.;;;;;1;;;;;1
De Groot Drukkerij B.V.;;;;;1;;;;;1
De Groot Houtbewerkingsmachines B.V.;;;;;;;;1;;1
De Haagse Gravin;;;;;1;;;;;1
De Haven van Texel;;;;;1;;;;;1
De Jong Diepvries B.V.;1;;;;;;;;;1
De Jong Inc.- en Rechtskund. Adv.bureau B.V.;;;;;;;;;1;1
De keuken van Thijs;1;;;;1;;;;;1
De Knegt & Leeflang B.V.;;;;1;1;;;1;;1
De Koekjesfabriek;;;;;1;;;;;1
de KunstPiloot;;;;;;;1;;;1
De La Rubia Interieurbouw & Timmerwerk;;;;;;;1;;;1
De Meeuw Oirschot B.V.;;;;;;;2;;;2
De Middellandse Zee Nieuwegein;;;;;1;;;;;1
De Online Lijsten Fabriek;;;;;;;;1;;1
De Oude Rechtbank B.V.;;;;;1;;;;;1
De Parodie;;;;;1;;;;;1
de Persgroep Nederland B.V.;;;;;1;;;;;1
De Projectinrichter B.V.;;;;;;;1;;;1
De Raat Security Products B.V.;;1;;;;;1;1;;1
De Ridder B.V.;;;1;;;;1;1;;1
De Rijk Magazijninrichting B.V.;;;;;;;1;1;;1
De Roos Geschenken B.V.;;;;;1;;;;;1
De Rotterdam B.V.;;;;;3;;;;;3
De Ruif B.V.;1;;;;1;;;;;1
DE RUIF, totale service in catering en events;;;;;1;;;;;1
'De Saladetuin' Catering;1;;;;;;;;;1
De Schenker;;;;;1;;;1;;1
De Schone Lei B.V.;;;;;1;;;;;1
De Sleutel Culinair B.V.;;;;;1;;;;;1
De Smidse B.V.;;;;;;;1;;;1
De Speld B.V.;;;;;1;;;;;1
De Stempelplaats B.V.;;;;1;;;;1;;1
De Stroopwafelwinkel;;;;;1;;;;;1
'De Tijd' Bedrijfskleding;;;;;;;;1;;1
De Utrechtse Haven B.V.;;;;;1;;;;;1
De Verdieping;;;;;1;;;;;1
De Vergaderie;;;;;1;;;;;1
De Vertrekhal;;;;;1;;;;;1
De Vries Projekt Design B.V.;;;;;1;;;1;;2
De Waterreus;;;;;1;;;;;1
De Wijnvriend;;;;;1;;;;;1
De Wilt-Cyrox Groep B.V.;;;;;1;;1;;;1
De Winkel van Sinkel B.V.;;;;;1;;;;;1
De Wit Communicatie Techniek;;;;;;;1;1;;1
De Wit Schijndel B.V.;1;;;;;;;;;1
De Zagerij Ontwerpbureau;;;;;1;;;;;1
De Zandkamer;;;;;1;;;;;1
De Zilveren Vosch B.V.;;;;;1;;;;;1
Decora B.V.;;;;;1;;;;;1
Decorum B.V.;;;;;;;2;;;2
Defabrique Evenementen B.V.;;;;;2;;;;;2
Deinum's Catering & Party-Service;1;;;;;;;;;1
Delft Congress Support B.V.;;;;;1;;;;;1
Delphi;;2;;1;;;;;1;2
Delta International Promotioneel B.V.;;;;1;1;;;1;;1
Demmer opleidingen;;1;;;;;;;;1
Den Haag Evenementen;;;;;1;;;;;1
Denhaagtransport.Nl;;;;;;;;1;;1
Dennis Cooking Place;;;;;1;;;;;1
dental bauer Nederland B.V.;;;;;;;;1;;1
Dental Partners Rotterdam B.V.;;;;;;;;1;;1
Dental Recycling Services B.V.;;;;;;1;;;;1
Dental Union B.V.;;;;;;;;1;;1
Desain & Design;;;;;1;;;;;1
Deskbookers;1;;;;1;;;;;1
Destil B.V.;;1;;;;;1;1;;1
Detron Telecom Enterprise;;;;;;;;1;;1
Deurwaard.kant. Hanemaayer De Boer & Partners;;;;;;;;;1;1
Deurwaarderskantoor Karin Wigger B.V.;;;;;;;;;1;1
Deurwaarderskantoor Stam;;;;;;;;;1;1
Deurwaarderskantoor Van Dam en Pruijn B.V.;;;;;;;;;1;1
Deutsche Post International B.V.;;;;1;;;;;;1
Dewi SRI Grindweg B.V.;;;;;1;;;;;1
DHL Express;;;;1;;;;;;1
DHL International B.V.;;;;2;;;;1;;2
DHM group B.V.;;;;;1;;;;;1
Dhobizz B.V.;;;;;;;1;;;1
Diamant-groep Groen Xtra;;;;;;;2;1;;2
Diederen Konstruktie B.V.;;;;;;;2;1;;2
Dierenkliniek De Warande;;;;;;;1;;;1
Diergeneeskundig Centrum op den Diek;;;;;;;1;;;1
Digital Revolution B.V.;;;;;;;;1;;1
Digitransfer B.V.;;;;;;;1;;;1
Dilara Boekhandel;;;;1;;;;;;1
Diner Thuis;;;;;1;;;;;1
Dinerspel.nl;;;;;1;;;;;1
Direct Response Drukwerk Support B.V.;;;;;1;;;;;1
Dirksen Schoonmaakartikelen B.V.;1;;2;1;;;;1;;2
Dirkzwager advocaten & notarissen N.V.;;;;;1;;;;;1
Discountoffice.nl B.V.;;;;;;;;1;;1
Disseldorp Techniek;;;;;;;;1;;1
Diversey B.V.;;;4;;;;1;2;1;4
Dnn Verhuur;;;;;;;1;;;1
Document House Beuningen;;;;;1;;;;;1
Doenederland.nl B.V.;;;;;1;;;;;1
Dokkumer Vlaggen Centrale B.V.;;;;;1;;1;;;1
Domino's Pizza Deventer;1;;;;;;;;;1
Domino's Pizza Netherlands B.V.;1;;;;;;;;;1
Domstad Evenementen B.V.;;;;;1;;;;;1
Doornenbal & De Rooij V.O.F.;;;;;;;;1;;1
Dopper;;;;;1;;;;;1
DoubleTree by Hilton Hotel A'dam Centr. Stat.;;;;;1;;;;;1
Douwe Egberts Horeca;7;;;;;;1;1;;7
Douwes Equipment;;;;;;;;1;;1
Douwes International B.V.;;1;;;;;;1;;1
Down Under Horecaexploitatie B.V.;1;;;;;;;;;1
DP Amsterdam Buitenveldert B.V.;;;;;1;;;;;1
DPS RIJSWIJK B.V.;;;;;1;;;;;1
Dräger Medical Netherlands B.V.;;;;;;;;1;;1
Dräger Nederland B.V.;;2;;1;;;1;1;;2
Draisma Industriële Vormgeving;;;;;1;;;;;1
Drankenhandel J. Veldboer B.V.;1;;;;;;;;;1
Drechtwerk;;;;;1;;;;;1
D-Reizen Vakantie Winkels;;;;;1;;;;;1
Drentea Kantoormeubelen;;;;;;;7;2;;7
Drieharing B.V.;;;;;1;;;;;1
Driessen B.V.;;;;;1;;;;;1
DRominos t.h.o.d.n. Domino's Pizza Den Bosch;;;;;1;;;;;1
Droom van Zwolle;;;;;1;;;;;1
DROOMvilla LUX B.V.;1;;;;;;;;;1
Drs. A Belegde Broodjes;1;;;;;;;;;1
Drukkerij Akxifo B.V.;;;;;1;;;;;1
Drukkerij Excelsior B.V.;;;;;1;;;;;1
Drukkerij Het Snorretje;;;;;1;;;1;;1
Drukkerij Koopmans B.V.;;;;;1;;;1;;1
Drukkerij Loor B.V.;;;;;1;;;;;1
Druk-Store Sneldruk B.V.;;;;;1;;;;;1
Drukwerkdeal.nl;;;;;1;;;;;1
Drukwerkservice Assendorp;;;;;1;;;;;1
Drums and Barrels;;;;;1;;;;;1
DSG diensten B.V.;;;;;;;1;1;;1
DTG B.V.;;;;;;;1;;;1
Du Nord Rijwielen B.V.;;;;;;;1;;;1
Dudok Arnhem B.V.;;;;;1;;;;;1
Dudok Beheer B.V.;;;;;1;;;;;1
Dudok Vicini Arnhem B.V.;;;;;1;;;;;1
Duifhuizen tassen & koffers B.V.;;;;;;;;1;;1
Duits verbouw;;;;;;;;1;;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;;1;;;;;1
Dustco International B.V.;;;;;;;;1;;1
Dutch Special Solutions B.V.;;;;;;;1;;;1
E & S Stoffering;;;;;;;1;;;1
E. Witte Bouw- en Aannemersbedrijf B.V.;;;;;;;;1;;1
E.A.L. Electronic Application Laboratory B.V.;;3;;;;;;1;;3
E.L. Cravatte B.V.;;;;;1;;;;;1
Easy Noise Control B.V.;;;;;;;1;;;1
EBN Veiligheidsdienst B.V.;;1;;;;;;;;1
Eburon Uitgeverij B.V.;;;;;;;;1;;1
ECHOS Home Baan Zulu;1;;;;;;;;;1
Echte Bakker Theo Pastoor B.V.;;;;;1;;;;;1
Ecolab B.V.;;;1;;;;1;;;1
Eddie's Taartenservice;1;;;1;;;;;;1
Edelweiss Textielverzorging B.V.;;;;;;;1;1;;1
EDEN springs B.V.;1;;;;;;;;;1
Eden Springs Nederland B.V.;2;;;;;;;1;;2
Edenred Nederland;;;1;;;;;;;1
EDITOO B.V.;;;;;1;;;;;1
Edpnet B.V.;;;;1;;;;;;1
Edz;;;;;1;;;;;1
Eerste Hulp Bij Ongelukken Vereniging Erp;;1;;;;;;;;1
Eet-/Feestcafé De Klok Zalencnt. CateringB.V.;1;;;;;;;;;1
Eetcafé Bij Oma;;;;;1;;;;;1
Eetcafé het leven;;;;;1;;;;;1
Eetcafé Roezemoes;;;;;1;;;;;1
Eetcafé Schuitendiep;;;;;1;;;;;1
Eetcafé Te Koop B.V.;;;;;1;;;;;1
Eethuis Misto;1;;;;;;;;;1
Eet-Villa Van den Brink;1;;;;1;;;;;1
eFormity;;;;;1;;;;;1
Ehabo Preventie B.V.;;1;;;;;;;;1
EHM Hotel Breda B.V.;;;;;1;;;;;1
EHM Hotel Groningen B.V.;;;;;1;;;;;1
Eijsink Afrekensystemen;;;;;;;1;1;;1
ELA Units;;;;;;;;1;;1
Eldorado;;;;;1;;;;;1
Ele Tio Fermin;;;;;1;;;;;1
Electro Calorique Holland B.V.;;;;;;;;1;;1
Electrocar B.V.;;;;;;;;1;;1
Electrolux Home Products (Nederland) B.V.;;;;;;;;1;;1
Electrolux Professional B.V.;;;;;;;;1;;1
Electrospecialist Peter Lunenburg B.V.;;;;;;;;1;;1
Electrotech. Installatiebureau Randstad B.V.;;;;;;;;1;;1
Eliëns Interieur Projecten B.V.;;;;;;;1;;;1
Elinex Power Solutions B.V.;;;;;;;1;;;1
ElVi, Koffie, Lunch, Diner;;;;;1;;;;;1
EMC Electro Mechanical components GmbH;;;;;;;;1;;1
Emhaes Visuele Communicatie B.V.;;;;;;;;1;;1
Emrol;;;;;;;1;1;;1
Emtek Ergonomics B.V.;;;;;;;1;;;1
Emtra Hygiëne Service;1;;;;;;;;;1
en Insp.-instellingen-Fenelab;;;;;;;1;;;1
Eneco Zakelijk;;;;;;;;;1;1
Enexis B.V.;;;;;;;;;2;2
ENFSI Secretariat Wiesbaden;;;;;;;1;;;1
Engels;;;;;;;1;1;;1
Engels Conference Center B.V.;;;;;1;;;;;1
Engels Horeca Rotterdam B.V.;;;;;1;;;;;1
Engeltje en Bengeltje Kinderkleding;;;;;;;1;;;1
ENGIE Serv. Zuid vestiging Maastricht-Airport;;;;;;;1;;;1
ENGIE Services Noord locatie Leeuwarden;;1;;;;;1;2;;2
ENGIE Services West B.V.;;1;;;1;;2;;;2
ENGIE Services West vestiging Alkmaar;1;;;;;;;;;1
Enjoy your Office;;;;;1;;;;;1
Enmo;;;;;;;;1;;1
Enorm-Wieberdink;;;;;;;;1;;1
Enschede/SDU;;;;;;;2;;;2
Entertainment Engineers;;;;;1;;;;;1
Entertainmentservice Langenberg E.S.L.;;;;;1;;;;;1
Enveloprint B.V.;;;;;;;;1;;1
EP: Electronic Partner Ko Schalkwijk;;;;;;;;1;;1
E-Profits;;;;;;;1;1;;1
Equestrian Centre de Peelbergen B.V.;1;;;;;;;;;1
ER Medical;;1;;;;;;;;1
Erasmus Universit. Medisch Centrum Rotterdam;;;;;1;;;;;1
Ercon B.V.;;;;;;;;1;;1
Ergo2Work;;;;;;;;1;;1
Ergobrain B.V.;;;;;;;;1;;1
Ergonomique;;;;;;;;1;;1
Ergoweb;;;;;;;;1;;1
Ergozit;;;;;;;1;;;1
Erik Bos Schapenservice;;;1;;;;;;;1
Erik The;;;;;;;1;;;1
Eriko Beheer B.V.;;;;;1;;;;;1
Eringa Audiovisueel;;;;;;;;1;;1
Erve Hulsbeek B.V.;1;;;;;;;;;1
ES Elektro B.V.;;;;;;;1;;;1
Escape Hunt Eindhoven B.V.;;;;;1;;;;;1
Ese International B.V.;;1;;;;;;;;1
eSpecialisten B.V.;;;;;1;;;;;1
Esra Handelmaatschappij B.V.;;;;;;;;1;;1
Eterij-Tapperij De Platte Reedijk;;;;;1;;;;;1
Eudokia Internet & Design;;;;;;;;1;;1
Eur. Instit. voor Certified Public Controll.;;;;;;;1;;;1
Euro Events B.V.;;1;;1;;;;1;;1
Euro Tapijt Vinyl en Karpetten;;;;;;;1;;;1
EuroFlorist Europe B.V.;;;;;1;;1;;;1
Euro-Index B.V.;;;;;;;1;1;;1
Euromate B.V.;;;1;;;;2;;;2
Europe Numeriek B.V.;;;;;;;;1;;1
European Association for Biometrics;;;;;;;1;;;1
European Networks of Councils for the Judiciary;;;;;;;1;;;1
Eurosafe Solutions B.V.;;1;;;;;;;;1
Eurosalt Handelmaatschappij B.V.;;;;;;;1;;;1
EVAC Medical;;;;;;;;1;;1
Evangelisch-Lutherse gemeente Arnhem;;;;;1;;;;;1
EV-Box;;;;1;;;;1;;1
Eveline Bets Tekst & Publiciteit;;;;1;1;;;;;1
Evema Telecom B.V.;;;;;;;1;;;1
evenementen organisatie de waterkoets;;;;;1;;1;;;1
Evenses B.V.;;;;;1;;;;;1
Eventr B.V.;;;;1;1;;;;;1
Evers Kassasystemen B.V.;1;;;1;;;;1;;1
Evite Services B.V.;;;;;1;;;;;1
EW Special Care B.V.;;;1;;;;;;;1
eX:plain;;1;;;;;;;;1
exceet Card Nederland B.V.;;;;1;2;;1;;;2
Exita;;;;;2;;;;;2
Expert Tromp;;;;;;;1;;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;;;1;;;;;1
Exploitatie Maatschappij De Nieuwe Poort B.V.;;;;;1;;;;;1
Exploitatie Maatschappij Tropenhotel B.V.;;;;;1;;;;;1
Exploitatie Rijnkade Dining 56 B.V.;;;;;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;2;;;;;2
Exsta Nederland B.V.;;;;;;;2;;;2
Exterpatent;;;;;;;1;;;1
Extreme Air Products B.V.;;;;;;;;1;;1
FA. de Peinder;;;;;;;1;;;1
Faber Holding B.V.;;;;;;;1;;;1
Fabory Nederland;;;;;;;1;1;;1
Facilion B.V.;;;;;1;;1;;;1
Facility Services Nederland B.V.;;1;;;;;;;;1
Facilitylinq B.V.;;;;;;;2;;;2
Facint B.V.;;;;;1;;;;;1
Faculteit der Rechtsgeleerdh. vd Universiteit;1;;;;1;;;;;1
Faculteit Diergeneeskunde;;;;;;;1;;;1
Faculty Club vzw;;;;;1;;;;;1
Falck Emergency & Care Center;;1;;;;;;;;1
Falck Prevention B.V.;;4;;;;;;;;4
Falco B.V.;;;;;;;1;;;1
Fast Feet t.h.o.d.n. Runnersworld Hoorn;;;;;;;;1;;1
Fast 'n Finish B.V.;;;;;;;;1;;1
Fecto;;;;;1;;;;;1
Federal Express Nederland;;;;1;;;;;;1
FEI Europe B.V.;;;;;;;;3;;3
FEM Products;;;;;;;;2;;2
FERRY Store B.V.;;;;;;;;1;;1
Fidato B.V.;;;;;;;;1;;1
Fietsverhuur Veerhaven Texel V.O.F.;;;;;1;;;;;1
Fightshop4u;;;;;;;;1;;1
FilmService B.V.;;;;;;;;;1;1
Fiori Style;;;;;1;;;;;1
Fire Retarding Technology B.V.;;1;;;;;;;;1
Firecom;;1;;;;;;1;;1
Fire-Control B.V.;;1;;;;;;;;1
Fireware;;1;;;;;;;;1
Firma Bakkerij Verhoeff;;;;;1;;;;;1
Firma Banketbakkerij J. Smit;;;;;1;;;;;1
Firma Bijzonder Intern Transport;;;;;;;;1;;1
Firma F.P. Krijgsman;;;;;1;;;;;1
Firma Hof der Muzen;;;;;1;;;;;1
Firma Marnix Breda;;;;;;;;1;;1
Firma Rijwielhandel Tieleman en Zoon;;;;;;;1;;;1
First 1 Bedrijfsfitness B.V.;;1;;;;;;;;1
First Care Company;;1;1;1;;;;;;1
Fiscafax Service B.V.;;;;;1;;;;;1
Fish & Meat B.V.;;;;;1;;;;;1
Fisher Emergo B.V.;;;;;;;;1;;1
Flanderijn & Verdult Gerechtsdeurwaard. B.V.;;;;;;;;;1;1
Flanderijn en Bronsvoort Gerechtsdeurwrd. BV;;;;;;;;;1;1
Flanderijn en v. Eck Gerechtsdeurwaard. B.V.;;;;;;;;;1;1
Flash Rental Services B.V.;;2;;1;;;1;3;;4
Fletcher Hotel Erica;;;;;1;;;;;1
Fleurop-Interflora Nederland B.V.;;;;;1;;;;;1
Flevosol Zonwering;;;;;;;1;;;1
Flexposure B.V.;;1;;;;;;;;1
Flier's Rijwielgroothandel;;;;;;;1;;;1
Flirt!;;;;;;;1;;;1
FloorFriendly B.V.;;;;;;;1;;;1
Flora Nova Interieurbeplanting B.V.;;;;;;;;1;;1
FlowerGreets.nl;;;;;1;;;;;1
Fluke Nederland B.V.;;;;;;;;1;;1
FM Projekten B.V.;;;;;;;1;1;;1
Folkers Zonweringen-Rolluiken;;;;;;;1;1;;1
Fonq.nl B.V.;;1;;;1;;1;1;;2
Fonville Schoonhouden B.V.;;;1;;;;;;;1
Food City;1;;;;;;;;;1
Food Enjoyce;1;;;;;;;;;1
Food Experience;;;;;1;;;;;1
Foppen Grafische Bedrijven B.V.;;;;;1;;;;;1
Forensisch Medisch Genootschap;;;;;;;1;;;1
Fort Bronsbergen;1;;;;;;;;;1
fotentiek;;;;;1;;;;;1
Fotoburo Peter Drent;;;;;1;;;;;1
Fotogeniek;;;;;1;;;;;1
Fotografie Siebe Swart;;;;;1;;;;;1
Fotostudio van Bemmelen;;;;;1;;;;;1
Fox-IT;;1;;;;;;;;1
Frama Nederland;;;;1;;;;1;;1
Frank van Biemen Fotografie;;;;;1;;;;;1
Frans Mandemakers Naaimachines;;;;;;;;1;;1
Frimex Service;;;;;;;1;1;;1
Fruitema Spa;1;;;;;;;;;1
Fruitschaal.nu;;;;;1;;;;;1
Fujitsu Technology Solutions B.V.;;;;;;;;1;;1
Fun Beach B.V.;;;;;1;;;;;1
Funea Broadband Services B.V.;;;;;;;1;1;;1
G. Bakker en Zn. B.V.;1;;;;1;;1;;;1
G. Jansson;;;;;;;1;;;1
G.A.W.J.M. Overmeer h.o.d.n. Magic Flower;;;;;1;;;;;1
G.F.P. (Gear for Professionals) B.V.;;1;;1;;;;;;1
G4S Cash Management B.V.;;1;;1;;;;;1;1
G4S Cash Solutions B.V.;;1;;1;;;2;;1;2
G4S Direct B.V.;;7;;;;;;;;7
G4S Security Services B.V.;;2;;;;;;;;2
G4S Services;;8;;;;;;;;8
Galerie in de Kerkstraat;;;;;;;1;;;1
Galerie Z;;;;;;;1;;;1
Gall & Gall (B.J. Wühl);;;;;1;;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;;;1;;;;;1
Gardepoort;;;;;1;;;;;1
Garsthagen Projectinrichting B.V.;;;;;;;3;;;3
Gaserop B.V.;;;;;1;;;;;1
Gasterij 'T Losse Hoes;;;;;1;;;;;1
Gauchos Franchise aan de Plas B.V.;;;;;1;;;;;1
Gauchos Franchise Utrecht B.V.;;;;;1;;;;;1
GBLT;;;;;;;;;1;1
GBS re Home Office;;;;;1;;;;;1
GCA Events B.V.;;;7;;;;;1;;7
GCA Facility Services B.V.;;;4;;1;;1;;;4
GCC Breda B.V.;;;;;;;;1;;1
Gebak van Smolders;1;;;;1;;;;;1
Gebr. Barendsen B.V.;;;;;1;;;;;1
Gebroeders Baltus Bloembollen B.V.;;;;;1;;;;;1
Gebrs. M.- en R. Jansen Glas Hoogvliet B.V.;;;;;;;1;;;1
Gebrs. Stoop Waarland B.V.;;;;;;;;1;;1
Geen Blad voor de Mond B.V.;;;;;1;;;;;1
Geen Boot Wel Varen;;;;;1;;;;;1
gefeliciTAART B.V.;;;;;1;;;;;1
Genieterij De Slotplaats;;;;;1;;;;;1
Geografische Boekhandel Pied à Terre B.V.;;;;;1;;;;;1
Geometius B.V.;;;;;;;;1;;1
Gerechtsdeurw.kant. R.A.M. Vismans B.V.;;;;;1;;;;1;1
Gerlok Zuidbroek B.V.;;;;;;;;1;;1
Gerrie van Zetten B.V.;;;;;1;;;;;1
Gerritse IJzerwaren Utrecht Savannahweg;;;;;1;;1;1;;1
Gerson Papier B.V.;;;;;;;;1;;1
Geschenk met Verhaal B.V.;;;;;1;;;;;1
Geschenkbezorgen.nl B.V.;;;;;1;;;;;1
