Leverancier;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Nysingh Advocaten-Notarissen N.V.;;;;;1;;;1
OCA Operations B.V.;;1;;;;;;1
O'Casey's Irish Pub & Restaurant;;;1;;;;;1
Octopas coaching & training;;;;;1;;;1
OKTOBER in huis;;;1;;;;;1
Olijck Charcuterie B.V.;;;1;;;;;1
O'lio Communicatie B.V.;;;;;1;;;1
Olympic Training & Advies;;;;;1;;;1
Onder de Beuk - Pollmann LMH;;;;;1;;;1
Onderwijs Adviserings Buro Dekkers B.V.;;2;;;;;;2
Op Hodenpijl;;;1;;;;;1
OrangeValley Consultancy;;1;;;;;;1
Ordina Technologie & Competenties B.V.;;;;;1;;;1
Orthopedie Haga Ziekenhuis;;;1;;;;;1
OSR Juridische Opleidingen B.V.;;;;;1;;;1
Oudaen B.V.;1;;1;;;;;1
P & S Advies B.V.;;2;;;;;;2
P.P.P. van Esch t.h.o.d.n. Boterham Express;;;1;;;;;1
Paagman B.V.;;;1;;;;;1
Paapstvandam B.V.;;;;;2;;;2
PAK organisatieontwikkeling B.V.;;;;;1;;;1
Pallas health research and consultancy B.V.;;1;;;;;;1
Panta Rhei Consultancy HRD & PI;;1;;;1;;;1
Parkpaviljoen Wezenlanden B.V.;;;1;;;;;1
Pauwer Consult;;;;;1;;;1
Paviljoen Vlietland B.V.;;;1;;;;;1
PBLQ B.V.;;;;;1;;;1
PDS Professional Driving Solutions B.V.;;;;;2;;;2
Penta Scope B.V.;;;1;;;;;1
PEOPLE Unlimited B.V.;;;;;1;;;1
Per Saldo;;;1;;;;;1
Performa Uitgeverij B.V.;;;;;1;;;1
PerkinElmer LAS GmbH;;;;;1;;;1
Perseus bvba;;;;;1;;;1
Personenvervoer Verhoeven;;;;;;;2;2
Petra van Houtum;;;;;1;;;1
PGGM N.V.;;;;;1;;;1
Phaos Advies B.V.;;1;;1;2;;1;2
Pharmaceutical Consultancy Serv. (PCS) B.V.;;;;;1;;;1
PharmaLead Healthcare B.V.;;;;;1;;;1
Pharmatech Training B.V.;;;;;1;;;1
Phoenix Opleidingen;;;;;1;;;1
Phonsawan B.V.;;;1;;;;;1
Pierre par CP;;;1;;;;;1
Ping Pong Club;;;1;;;;;1
Pinkcube B.V.;;;1;;;;;1
Pipta;;;;;1;;;1
Pizzeria Pinocchio;;;1;;;;;1
PK Bar & Kitchen SR-Horeca bv;;;1;;;;;1
Plein 9 A B.V.;;;1;;;;;1
Plein 9 Den Haag Horeca B.V.;;;1;;;;;1
Poolz B.V.;;;;1;;;;1
Pop-up Fun B.V.;;;1;;;;;1
POSG B.V.;;;;2;;;;2
POSG Professionals B.V;;1;;;;;;1
Positief Gezond;;1;;;;;;1
Positief Opvoeden (Positive Parenting);;1;;;;;;1
Prachtig B.V.;;;1;;;;;1
Praction;;;;1;1;;;1
Pragmavision B.V.;;;;1;1;;;1
Praktijk Yvonne de Vries;;;;;1;;;1
Print & Stitch B.V.;;;1;;;;;1
Privacy Management Partners Coöperatie U.A.;;1;;;;;;1
ProMedia Events & Conferences B.V.;;;;;1;;;1
Promopodium B.V.;;;1;;;;;1
Protinus IT B.V.;;1;;;;;;1
Psycholex B.V.;;;;;1;;;1
Psychologen voor Arbeid & Gezondheid;;1;;;;;;1
Psychologie Praktijk De Jong;;;;;1;;;1
Psyned B.V.;;1;;;;;;1
Psyon B.V.;;1;;1;;;;1
PubliContact B.V.;;;;;2;;;2
Publique;;;1;;;;;1
Puur Amsterdam;;;1;;;;;1
Puur Catering Utrecht;;;1;;;;;1
Puur Events;1;;;;;;;1
Puur Invest Beleggingen B.V.;;;1;;;;;1
Puurgeschenk;;;1;;;;;1
QANU;;2;;;;;;2
QlikTech Netherlands B.V.;;;;;1;;;1
Q-Park Operations Netherlands B.V.;;;;;;;1;1
Q-Park Parking Hooghuis;;;;;;;1;1
Q-Talent B.V.;;;;2;;;;2
Quest Escapes;1;;;;;;;1
Quint;;;;;2;;;2
Quint Wellington Redwood Nederland B.V.;;;;;1;;;1
R.P. Mensink;;;;;1;;;1
Red Hat B.V.;;;;;2;;;2
Red Hat Limited;;;;;2;;;2
Regus Den Haag Centraal Station;;;1;;;;;1
Remyx;;1;;;;;;1
Reputatiegroep B.V.;;;;;2;;;2
Resilience+ Coöperatie UA;;;;;1;;;1
Restaurant & Catering Mennega;;;1;;;;;1
Restaurant De Basiliek B.V.;;;1;;;;;1
Restaurant Leen;1;;;;;;;1
Restaurant Luden Den Haag Kiosk;;;1;;;;;1
Restaurant ML B.V.;;;1;;;;;1
Restaurant Onz;;;1;;;;;1
Restaurant Ruig;;;1;;;;;1
Restaurant Settlers;;;1;;;;;1
Restaurant Speakers Corner;;;1;;;;;1
Restaurant Verona;;;1;;;;;1
Restaurant Wox;;;1;;;;;1
Result ADR B.V.;;;;;1;;;1
Rick Willemsen Training & Advies;;;;1;1;;;1
Ristorante Pizzeria Lanterna;;;1;;;;;1
Ristorante Trattoria Impero Romano;;;1;;;;;1
Rix Management B.V.;;;;;1;;;1
Robert Hermann CR.Appliance;;;;;1;;;1
Roberto Barbagallo;;;1;;;;;1
ROC Midden Nederland;;;;;1;;;1
Rol-maat;;;;;;;1;1
Room to grow;;;;;1;;;1
Ropini B.V.;;;1;;;;;1
Rozemond;;;;;1;;;1
Ruijgrok CareerCoaching;;;;;1;;;1
S. Dinçer h.o.d.n. Jamin;;;1;;;;;1
Salc B.V.;;;1;;1;;;1
Salsaparilla 4all B.V.;;;2;;2;;;3
SanaYouYoga;1;;;;;;;1
Sancy Tres B.V.;;;1;;;;;1
Sandwich Expresse V.O.F.;;;1;;;;;1
Sapori d'italia 2 B.V.;;;1;;;;;1
Savant Performing Partners B.V.;;;;;2;;;2
SBI Training en Advies BV;1;;;;;;;1
Schoevers Opleidingen B.V.;;;;2;;;;2
Schoevers Trainingen B.V.;;;;;2;;;2
Schulp Vruchtensappen B.V.;;;1;;;;;1
Schuttelaar Delicatessen Wijnen;;;1;;;;;1
Sdu Klantenservice;;1;;;;;;1
Sdu Uitgevers B.V.;;;;;1;;;1
Secretary Management Institute;;;;;1;;;1
September B.V.;;;1;;;;;1
SETAC Europe;;;;;1;;;1
Sevenhills;;;1;;;;;1
Shuttel B.V.;;;;;;;7;7
Sierbaar;;;1;;;;;1
SIKB;;;;;1;;;1
Sioo;;;;;2;;;2
Sioo B.V.;;;;;1;;;1
SIR Holding B.V.;;;;;2;;;2
SIR Instit. for Pharmacy Practice & Policy;;;;;2;;;2
SIROSS;;1;;;;;;1
Sjouke Training en Coaching;;;;;1;;;1
Skils B.V.;;1;;;1;;;2
Slovenia Agency for Med. JAZMP;;;;;1;;;1
SLTN IT Services B.V.;;;;1;;;;1
Smits & Beerends;;;;;1;;;1
SNPG;;4;;;;;;4
SNR Schouten & Nelissen Recovery B.V.;;;;;1;;;1
Sociale Academie Utrecht;;;;;1;;;1
Sofieke Jansen Evaluatieonderzoek;;2;;;;;;2
Sogeti Nederland B.V.;;;;;1;;;1
SOIA B.V.;;;1;;;;;1
SolBeach B.V.;;;1;;;;;1
Solid Sense B.V.;;;;2;;;;2
Soomers;;;1;;;;;1
SOS Sport en Events B.V.;;;1;;;;;1
Speakers Academy Special Projects B.V.;;;;;1;;;1
Speax B.V.;;;1;;;;;1
Speech Republic B.V.;;;;;1;;;1
Speechless;;1;;;1;;;1
Spiraltrain B.V.;;;;;1;;;1
Spirit of the age;;;;;1;;;1
SPITZ congres & event B.V.;;;;;1;;;1
SpiZe B.V.;;;1;;;;;1
Sportkeuken;;;1;;;;;1
Springer Media B.V.;;1;;;;;;1
Springer Media BV - BSL;;;;1;;;;1
SRM Communicatie B.V.;;;;;1;;;1
St. Cohezy, platform voor projectcoaching;;;;;1;;;1
St. Hogeschool voor de Kunsten Utrecht / HKU;;1;;;;;;1
St. Horeca Het Nationale Park De Hoge Veluwe;;;1;;;;;1
St. Koninklijke Visio;;1;;;;;;1
St. Post Hoger Onderwijs Veiligheidskunde;;;;;2;;;2
St.Opleidingskunde/Foundation for Corp.Educat;;;;;2;;;2
Staatvandienst B.V.;;;;2;1;;;2
Stadsbrasserie De Utrechter;1;;;;;;;1
Stadsbrouwerij De Pelgrim;;;1;;;;;1
Stay@Home;;;1;;;;;1
Stech Ventures B.V.;;;;1;1;;;2
Steenstraat B.V.;;;1;;;;;1
STERKADO;;;1;;;;;1
SternPoint;;;;;;;1;1
Stg. Fds. voor het Dove en Slechthorende Kind;;2;;;;;;2
Stg. Kon. Visio, exp.centr. slechtz./slechth.;;1;;;;;;1
Stg. NL School of Public & Occupation. Health;;;;;1;;;1
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;;;2;;;2
Sticht. behoud en expl. van Fort aan de Klop;;;1;;;;;1
Stichting 113;;;;;1;;;1
Stichting Accessibility;;1;;;;;;1
Stichting Alpe d'HuZes;;;1;;;;;1
Stichting Amsterdam Institute of Finance;;;;;1;;;1
Stichting Boogh;;;;1;;;;1
Stichting Care Innovation Center;;;;;1;;;1
Stichting Collegium Chirurgicum Neerlandicum;;;;;1;;;1
Stichting Expat Center Food Valley;;;;1;;;;1
Stichting Goudse Sint-Jan;;;1;;;;;1
Stichting Grotius Academie;;;;;1;;;1
Stichting Gynaecongres;;;;;1;;;1
Stichting Hoger Beroepsonderwijs Haaglanden;;;;;1;;;1
Stichting Hogeschool Leiden;;;;;1;;;1
Stichting Initiatiefgroep Hl7 Nederland;;;;;1;;;1
Stichting Instituut voor Bouwrecht;;;;;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;;;;1
Stichting Ipse de Bruggen;;;1;;;;;1
Stichting Kadobon Online derdengelden;;;1;;;;;1
Stichting Kenniscentrum Phrenos;;;;;1;;;1
Stichting Leiden Bio Science Park Foundation;;;;;1;;;1
Stichting Locus;;;;1;;;;1
Stichting Museum voor Communicatie;;;1;;2;;;2
Stichting Nationaal Pao-Centrum Farmacie;;;;;1;;;1
Stichting Opleiding Klinisch Fysicus;;;;;;;;
Stichting Pharos;;2;;;;;;2
Stichting Pleitacademie;;;;;1;;;1
Stichting ProDemos;;;1;;;;;1
Stichting Prokkel;;;1;;;;;1
Stichting Qualicor Europe;;2;;;;;;2
Stichting Rutgers;;1;;;;;;1
Stichting Siriz;;1;;;;;;1
Stichting Springtij Festival Terschelling;;;;;;;1;1
Stichting Studeren op Maat/Werken op Maat;;;;;1;;;1
Stichting Tools to Work;;;1;;;;;1
Stichting Transmurale Zorg Den Haag e.o.;;;;;1;;;1
Stichting Vaccinology Masterclass;;;;;1;;;1
Stichting Veko;;;1;;;;;1
Stichting VielGoed;;;1;;;;;1
Stichting Voorlinden;;;1;;;;;1
Stichting Werk aan de Linie;;;1;;;;;1
Stichting Werken op Maat;;;;2;;;;2
Stichting WIJ 3.0;;;1;;;;;1
Stichting Zodiezijn;;;1;;;;;1
Storywise 'Verhalen die het Hart raken';;;;;1;;;1
Straatmannen!;;;;;1;;;1
Strand Zuid;;;1;;;;;1
StressWise;;;;;1;;;1
Studio Bavinck;;;;;1;;;1
Sumo Den Haag 2 Sushi en Grill restaurant;;;1;;;;;1
SuperMailService;;;;;2;;;2
Suzie Q Horeca B.V.;;;1;;;;;1
Sweco Nederland B.V.;;;;;1;;;1
Swissmedic;;;;;1;;;1
Symbol B.V.;;;;;1;;;1
Synergy Golf;;;1;;;;;1
t Amusement;;;1;;;;;1
t Goude Hooft Exploitatie B.V.;;;1;;;;;1
t Hof van Dwingeloo;;;1;;;;;1
't Hof van Eten;;;1;;;;;1
t Oude Tolhuys B.V.;;;1;;;;;1
t Zusje Utrecht B.V.;;;1;;;;;1
T&T Compet&t.b.v.;;;;;1;;;1
Taalservice Reëel;;;;;1;;;1
Taarten.nl B.V.;;;1;;;;;1
Taartenwinkel.nl B.V.;;;2;;;;;2
Tabasco;;;1;;;;;1
Taca Training;;;;;1;;;1
Talent & Organisatie;;;;1;1;;;1
Talent in Progress;;;;1;;;;1
Tapas Bar Restaurant Limon;;;1;;;;;1
Taxibedrijf Van der Wijst;;;;;;;1;1
Te Werve B.V.;;;1;;;;1;1
TeamAcademy B.V.;;;;;1;;;1
Teds Den Haag B.V.;;;1;;;;;1
Tekstfirma;;;;;2;;;2
Telbucon;;1;;;;;;1
Tensen & Nolte Infectiepreventie B.V.;;;;;2;;;2
Tezet Business Gifts B.V.;;;1;;;;;1
TFHC;;;;;1;;;1
TH&P;1;;;;;;;1
Th. van Leeuwen Horeca Exploitatie B.V.;;;1;;;;;1
The Box Company B.V.;;;;;1;;;1
The Brownie Box B.V.;;;1;;;;;1
The Courseware Company B.V.;;;;;1;;;1
The Curious Network;;;;;1;;;1
The Leadership Company B.V.;;;;;1;;;1
The Unit Company;;;;;1;;;1
The Visual Connection;;;;;1;;;1
Thedge B.V.;;1;;;;;;1
Thijs van Exel;;;;;1;;;1
Three 85 h.o.d.n. Zomaar Events;;;1;;;;;1
Tiara Leadership NL;;;;;1;;;1
Tintelingen B.V.;2;;7;;;;;7
Tinybots B.V.;;1;;;;;;1
TNO B.V.;;6;;;;;;6
Today Designers B.V.;;2;;;;;;2
Toegevoegde Waarde Loopbaan & Coaching;;;;;1;;;1
Tonco Modderman Training & Advies;;;;;2;;;2
Tony's Chocolonely Nederland B.V.;;;1;;;;;1
Tony's Factory B.V.;;;1;;;;;1
Topgeschenken Nederland B.V.;;;3;;;;;3
Tornak Groep B.V.;;1;;;;;;1
Traject Consult;;1;;;;;;1
Trimbos Mobile Virtual Reality Solutions B.V.;;;;;1;;;1
Trimbos-instituut;;2;1;;;;;2
Tshukudu Technology College B.V.;;;;;1;;;1
Tweewielerservice Jean-Paul Odijk;1;;;;;;;1
Tyrilo B.V.;;;1;;;;;1
U.T.C.;;;;;;;1;1
Uitgesproken Communiceren met impact;;;;;1;;;1
Uitgetypt.nl;;1;;;;;;1
Uitjes & Eten B.V.;;;1;;;;;1
Uitjesbazen B.V.;1;;;;;;;1
Umami Restaurant B.V.;1;;;;;;;1
UNC Lean Six Sigma B.V.;;;;;1;;;1
Unic Medical Services B.V.;;1;;;;;;1
Unlimited People B.V.;;1;;;;;;1
UP Events B.V.;;;1;;;;;1
UP learning B.V.;;;;;2;;;2
Upbeatles;;;1;;;;;1
USG Marketing & Communications;;;;1;;;;1
USG Restart B.V.;;;;1;;;;1
V.O.F. Restaurant Hudson Voorschoten;;;1;;;;;1
v.o.f. Thai Fresh Voorburg;;;1;;;;;1
Va Bien B.V.;;;1;;;;;1
Vadenco B.V.;;;1;;;;;1
Vakmedianet Food & Horeca B.V.;;;;;1;;;1
Van Abbe ZKM Coaching;;;;;1;;;1
VAN Bien B.V.;;;1;;;;;1
Van de bovenste plank;;;1;;;;;1
Van der Hilst Communicatie B.V.;;;;;1;;;1
Van der Hilst Communicatie-Opleidingen B.V.;;;;;1;;;1
Van der Molen Advocatuur;;1;;;;;;1
Van der Valk Hotel Heerlen;;;1;;;;;1
Van der Valk Utrecht;;;1;;;;;1
Van der Veeken en De Bruijn Trainingen B.V.;;;;;1;;;1
Van Dijk Techniek B.V.;;;;;;;1;1
VAN DOESUM;;;;;1;;;1
Van Ede & Partners Eindhoven;;;;;1;;;1
Van Ede & Partners Zeist;;;;2;;;;2
Van Haarst B.V.;;;;;1;;;1
Van Harte & Lingsma Management en Organisatie;;;;;2;;;2
Van Melick Culinair B.V.;;;1;;;;;1
Van Oosterhout B.V.;;;;;1;;;1
Van Oss & Partners B.V.;;;;;1;;;1
Van Schijndel Management B.V.;;1;;;;;;1
Van Swinden Laboratorium;;2;;;;;;2
Vancis C&MS B.V.;;1;;;;;;1
VCK Business Travel;;;;;;;2;2
VCK Travel B.V.;;;;;;;5;5
Vehgro B.V.;;;1;;;;;1
Veiligwijs;;1;;;;;;1
Veldhuis Opleidingsadvies;;;;;1;;;1
Veldsterkte;;;;;1;;;1
Venster 33 Cafe-Restaurant;;;1;;;;;1
Vereniging Nederlandstalige Sap-Gebruikers;;;;;1;;;1
Vereniging van Milieuprofessionals;;;;;1;;;1
Vereniging voor Gezondheidseconomie;;;;;1;;;1
Vermaat Leisure B.V.;;;2;;;;;2
Verploegen & Vossenberg Training Coach. Int.;;;;;1;;;1
Vertus B.V.;;;1;;;;;1
Vigor B.V.;;;;1;;;;1
Vijfhart IT-trainingen B.V.;;;;;1;;;1
Vijverberg Holding B.V.;;;;;1;;;1
Villa Jongerius;1;;;;;;;1
Vincent Marchau;;;;;1;;;1
Vinity;1;;;;;;;1
Vino & Cucina;;;1;;;;;1
VIQH;;;1;;;;;1
Visumdienst India;;;;;;;1;1
Vitamine en Zo;;;1;;;;;1
Vroeg B.V.;;;1;;;;;1
VSG;;2;;;;;;2
W & H Sports B.V.;;;1;;;;;1
WagenaarHoes B.V.;;;;;1;;;1
Wajong Talenten B.V.;;;;1;;;;1
Walter Benedict B.V.;;;1;;;;;1
Walter Berghoef;;1;;;;;;1
Webo Promotion B.V.;;;1;;;;;1
WEKA Business Media B.V.;;;;;1;;;1
Wenders B.V.;;;;;2;;;2
Weustink&Partners B.V.;;1;;;;;;1
Wildschut Consultancy;;1;;;;;;1
Win Advies, Inkoop en Organisatie;;;;;1;;;1
Windsock B.V.;1;;;;;;;1
Windunie Development Bommelerwaard B.V.;;;;;1;;;1
Winnock Zeist (alle vestigingen);;;;1;;;;1
Worldmeetings International B.V.;;;;;1;;1;1
Worldmeetings.com B.V.;;;;;;;2;2
Wyatt Technology Europe;;;;;1;;;1
XpatCoach;;;;;1;;;1
YEARTH B.V.;;;;;1;;;1
Youfacilitate B.V.;;;;;1;;;1
YourSurprise.com;;;1;;;;;1
Zaakado B.V.;1;;1;;;;;2
Zandhof B.V.;;;1;;;;;1
Zanskar Training & Consultancy;;1;;;;;;1
Zanzibar Beachclub B.V.;;;1;;;;;1
Zinin;;;1;;;;;1
Zomaar Events;1;;;;;;;1
ZorgmarktAdvies;;;;;1;;;1
Zorgverzekeraars Nederland;;;;;1;;;1
Zustaina B.V.;1;;;;;;;1
Zuyderland Medisch Centrum (locatie Geleen);;;;;1;;;1
Zuyderland Medisch Centrum (locatie Heerlen);;;;;1;;;1
Eindtotaal;4;7;7;6;7;1;7;9
