OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,REF_TUNNELBUIS_PUIC,ROTATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
64,ea8e930e-6cc4-4e4d-aae6-2f279eb2cfc2,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.825527,"46,825527",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93730.776,436708.574,51.91548975,4.49666456
65,3fa6eec1-a1e7-43e1-9663-a2b1e0b5ce9e,,283,Onbekend,-1,,50,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,13.192734,"13,192734",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112937.908,481160.396,52.31678658,4.77032759
66,3da3f061-67ec-4f00-a110-9fc7e3fb0145,,283,Onbekend,-1,,320,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.036239,"14,036239",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112464.444,480463.875,52.31049039,4.76347217
67,989813ed-5acf-4754-9cec-131e41364f17,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.734559,"172,734559",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115939.069,493182.469,52.42505255,4.81294266
68,398608a6-e0cc-447e-b458-20528b180b01,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.408201,"46,408201",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93998.906,436383.528,51.91259788,4.500619
69,b111af44-0353-49d7-8cc6-67096a602be8,,283,Onbekend,-1,,322,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.417477,"12,417477",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113378.529,481799.338,52.32256241,4.77671036
70,fa4a9249-bdb6-43ec-bcda-028d74df8f94,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.825063,"210,825063",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97881.111,429405.934,51.85029826,4.55819344
71,ed736527-19cd-41a3-b6b1-0c1144ac653c,,283,Onbekend,-1,,110,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.39507,"49,395070",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155421.102,390675.186,51.50509257,5.39326492
72,099f9cd7-8321-4d0f-8272-17b3a91aaccb,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.691527,"46,691527",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93817.509,436601.089,51.91453328,4.49794419
73,a2bfbaff-352c-4666-a369-3303ec75892c,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.505201,"39,505201",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97313.589,430318.256,51.85843936,4.54980494
74,dd942256-6cc4-4990-ae09-77a940ef04a3,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.691718,"46,691718",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93821.587,436604.846,51.91456749,4.49800278
75,4cfce7af-a061-4ae6-8248-67ac5dec8c1b,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.408135,"46,408135",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94003.739,436387.163,51.91263108,4.50068859
76,5e635304-90cc-4b5f-b7c1-b12bf10f00de,,283,Onbekend,-1,,285,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,10.200253,"10,200253",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,105071.398,497876.13,52.4663515,4.65248109
77,6f6543a2-6938-4de0-984b-1dcb468e6fd7,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.475902,"14,475902",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112169.302,480140.71,52.30756313,4.75918559
78,49cd5078-34d9-467f-b991-81dd13ca5751,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.683406,"38,683406",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97755.349,429632.017,51.85231729,4.55633086
79,4fc7aa66-013a-4d7a-b7e1-e9798c1d858c,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.351321,"210,351321",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97579.679,429773.35,51.85356947,4.55375786
80,5e8ae992-608a-4f76-9973-850098c1a28a,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.062166,"210,062166",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97421.578,430016.318,51.85573684,4.55142276
81,fe9107cc-ae1c-43d2-9c27-632d8d0781ba,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.189056,"39,189056",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97470.358,430043.494,51.85598613,4.55212622
82,258e511f-9b82-43aa-a3f5-aa779a2272b3,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.692551,"39,692551",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97225.281,430485.117,51.85992988,4.54849522
83,597b967d-cf29-4725-ae32-7951e972de62,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.547098,"30,547098",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227687.98,487086.046,52.36683854,6.45445598
84,8a497da8-74e6-4985-a967-9d4848d4a587,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.37851,"39,378510",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97353.088,430196.09,51.85734547,4.55039866
85,b2d58a41-642b-421b-b9a9-f0848e87102c,,283,Onbekend,-1,,120,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.865027,"14,865027",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,111892.716,479873.318,52.30513842,4.75516449
86,bdfa0feb-6f88-426b-933a-a5ce40ce29e4,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,48.253906,"48,253906",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92751.409,437765.312,51.92487835,4.48223996
87,a5705dda-0c54-4add-a46c-a517ff718197,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.435877,"172,435877",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,116046.583,493459.52,52.42755009,4.81449102
88,9b4a28f4-277b-4cf7-b3dd-1cd73d7dbcd4,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.555793,"38,555793",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97825.111,429525.877,51.85137051,4.55736089
89,ffb74d11-bf9e-4534-997e-21a99b96a640,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.189774,"39,189774",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97459.525,430037.715,51.85593307,4.55196995
90,48e8e418-d4d7-47a7-8276-df1513e5752a,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.442006,"39,442006",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97314.013,430247.167,51.85780049,4.54982297
91,0ab21c41-f4ae-47e1-aef8-b742c63d68f8,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.568213,"39,568213",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97274.527,430368.876,51.85889027,4.54922949
92,886796f4-91cc-4556-88f7-f6f8c0816a04,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.631297,"39,631297",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97235.138,430419.959,51.8593453,4.5486492
93,210ac295-c389-4de3-ad26-3282b802bf68,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.493407,"38,493407",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97857.815,429472.271,51.85089208,4.55784438
94,10602e63-4f6f-4696-80d8-6678af96fa44,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.022501,"12,022501",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113678.998,482055.769,52.32488966,4.78108587
95,a736bcea-86d2-4d77-81c8-1f7115fa0018,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.951218,"173,951218",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115446.63,492069.014,52.4150105,4.80583467
96,2317541f-6dc2-4c02-8aed-b07ad031f5d1,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.800027,"173,800027",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115510.94,492207.53,52.41625999,4.80676356
97,240940cd-577e-40aa-ae39-af6fa45f3a60,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.530067,"173,530067",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115625.361,492451.071,52.41845695,4.80841674
98,793b7ded-3ed2-4b86-ada0-1e1079d6128d,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.135526,"173,135526",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115784.24,492813.064,52.42172161,4.81070973
99,4dd4fd9b-8cd6-49e6-bb1c-9771427a800a,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.734448,"172,734448",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115945.425,493179.819,52.42502919,4.8130364
100,205e10d2-b8d8-44ab-8aaf-9a269260fad6,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.435542,"172,435542",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,116052.97,493457.822,52.42753528,4.81458512
101,e5a5d715-0997-44ec-a36a-bd90e6a0cafc,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,29.967655,"29,967655",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,186868.054,504432.427,52.52662112,5.85679682
102,807dbeb8-2eee-41f3-abb4-72e568de9131,,283,Onbekend,-1,,205,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,29.798911,"29,798911",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,186709.833,504373.673,52.52610231,5.85445984
103,c7d37755-05bd-42dc-ac22-415d7e4798a9,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.666966,"30,666966",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227807.409,487074.362,52.36671772,6.45620669
104,1a5b2095-498d-44fd-ab2f-16884547d0d1,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.846687,"30,846687",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227986.554,487056.838,52.36653646,6.45883276
105,9129a63a-5526-47b6-be70-0e1b6d4b2455,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,45.828219,"45,828219",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94355.116,435926.4,51.90852839,4.50587613
106,03a5774b-2dd2-4d32-bd33-61584ce96472,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,45.828307,"45,828307",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94350.571,435922.887,51.90849632,4.50581071
107,9860151a-e55a-4189-85ff-3a8a6f60d90a,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.128187,"46,128187",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94164.617,436158.041,51.91058947,4.50306703
108,764c7794-2822-4214-9ba2-65cab53e4c74,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.269239,"46,269239",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94079.018,436270.161,51.91158778,4.50180328
109,ca438458-db41-40b6-ad5d-9a49630d2563,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.691963,"46,691963",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93825.973,436608.939,51.91460476,4.4980658
110,3d87c49f-281a-4c36-9d48-d46c93d6ef66,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.085102,"47,085102",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93542.998,436887.733,51.91707922,4.49390353
111,f0f26651-c6f7-44ca-aa58-e5d6e2567d73,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.084706,"47,084706",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93535.364,436879.098,51.91700077,4.49379412
112,d682397f-4ebd-47f7-bbe0-9f57cc5b4e0d,,283,Onbekend,-1,,310,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.969463,"47,969463",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92947.941,437551.893,51.92298223,4.48513531
113,3e36792b-cda1-493d-8d6a-7ef3ab527fd7,,283,Onbekend,-1,,310,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.969468,"47,969468",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92943.373,437548.014,51.92294686,4.48506961
114,4f9ae407-d64a-476b-8765-b81d10929a77,,283,Onbekend,-1,,270,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,8.8,"8,800000",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,105288.341,496495.824,52.45396669,4.65587837
115,bf01f0fa-6c9d-45b2-9380-43e6467e8cd8,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.397109,"49,397109",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155432.773,390679.552,51.5051318,5.39343302
116,1e0c514d-d33e-4679-bfc0-c037e2e4a434,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,29.801031,"29,801031",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,186709.706,504380.959,52.5261678,5.85445866
117,9b26efd8-898d-48ca-8600-85aa5850279e,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.726889,"30,726889",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227867.125,487068.52,52.3666573,6.45708207
118,beee843b-9b9d-486a-82a5-4613dbf1c0d9,,283,Onbekend,-1,,330,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.021385,"14,021385",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112457.201,480488.076,52.31070733,4.7633629
119,db07c988-1c2c-453c-866c-efa19fca3290,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,16.003814,"16,003814",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,110920.008,479281.403,52.29974169,4.74098085
120,1c790667-1787-408c-90c7-6b2cc2ffee8c,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,48.253874,"48,253874",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92747.593,437761.311,51.92484197,4.48218522
121,c4d3b607-67fa-4eab-bb24-4420675f9a21,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.810258,"38,810258",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97648.461,429709.159,51.85299963,4.55476678
122,7405a0bf-23ea-41c6-beef-46e97855562c,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.692342,"39,692342",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97215.46,430479.684,51.85988004,4.54835357
123,fe35861d-6a25-4879-87a0-1122c13e6e09,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.937465,"46,937465",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93649.323,436786.089,51.91617743,4.49546696
124,e97775b8-9cf4-4f10-8f89-efeaa4e70d8f,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.378607,"39,378607",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97362.951,430201.489,51.85739502,4.55054092
125,f0ea7490-f226-4ad4-8238-1fab8ea260cc,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.619684,"38,619684",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97775.668,429566.728,51.85173259,4.55663657
126,e6751dc1-ae9b-41bd-a70f-18de0f0ecb6b,,283,Onbekend,-1,,285,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,9.449966,"9,449966",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,105224.358,497142.49,52.45977235,4.65484097
127,9407857e-9507-4706-89d9-f4f979c0c1bd,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.492409,"38,492409",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97866.544,429479.016,51.8509536,4.55796994
