Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9520 - BZK Specifiek;9540 - EZ Specifiek;9-Dienstspecifiek
PBLQ (HEC, ROI, Zenc);;;;;3;3
Pede;;;1;;;1
Pel Advocaten;;;;;1;1
Perkinelmer Nederland;2;2;;;;3
Peter van Halder Grootverbruik in A.G.F.;;;1;;;1
Peulen;;;;;1;1
Pharmediair;;;;;3;3
Phyto Health Pharma B.V.;;;1;;;1
Plaggemars & Co Incassobureau;;;;1;1;1
Playgro Europe B.V.;;;1;;;1
Plieger;;;1;;;1
Plus Retail;;;1;;;1
Poeliersbedrijf Cuno Moormann en Zonen;;;1;;;1
Poiesz Supermarkten;;;1;;;1
Polak & Co. Import-Export;;;1;;;1
Pors Veterinaire Dienstverlening;;;;;2;2
PPO Praktijkonderzoek Plant & Omgeving;;;;;1;1
Prakken d'Oliveira Advocaten (vh Bohler Franken Koppe Wijngaarden);;;;;1;1
Praktijkvennootschap Van Haren B.V.;;;;;1;1
Praxair;1;;;;;1
Premdani;;;1;;;1
Procare;;1;;;;1
Profile Tyrecenter;;;;;1;1
Profix;1;;;;;1
Promega Benelux;2;1;;;;2
Pronk Import;;;1;;;1
ProVersCo VerServer B.V.;;;1;;;1
Puur Company B.V.;;;1;;;1
Qiagen Benelux;3;;;;;3
Qualinorm;;;1;;;1
R en A Daling-de Haan;;;;;1;1
R. van Zetten Eierhandel;;;1;;;1
R.J. Kaasenbrood;;;;;2;2
Rabobank;;;;;1;1
Rae Benelux;1;;;;;1
Rama Impex;;;1;;;1
Ratio Electric B.V.;;;1;;;1
Recycling Rouwmaat Groenlo;;;;;1;1
Relyvet;;;;;3;3
Remie Fiscaal Juridisch Adviesbureau;;;;;1;1
Remondis Argentia;;;;;1;1
Remunj Personeelsvereniging;;;;;2;2
Rendac Son;;;;;4;4
Rene Elvers Vleeswaren;;;1;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;;;1;1
RE-ON Lastechniek;1;;;;;1
Rheden Dierenartsenpraktijk;;;;;2;2
Rhumveld Winter & Konijn;;;1;;;1
Rikilt Instituut Voor Voedselveiligheid;6;2;;;;6
Riwojo Verhuur;;;;;1;1
Roche Diagnostics Nederland;2;;;;;2
Roelofsen Horeca Groothandel;;;1;;;1
Roelofsen Installatietechniek;;2;;;;2
Roerdalen Notariskantoor;;;;;2;2
Rombou B.V.;;;;;1;1
Römer Drukkerij;;;;;3;3
ROQZ Vaping Supplies B.V.;;;1;;;1
Roveg Fruit;;;1;;;1
Roxs-Electro;1;1;;;;1
Ruinemans Aquarium;;;;;1;1
Rustenburg Groothandel;;;1;;;1
Rutte & Zn.;;;1;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;;1;;;;1
S.C. van Ravenswaaij;;;1;;;1
Safe2Lock;;1;;;;1
Salm en Kipp;1;1;;;;1
Sanbio;1;1;;;;1
Sanjiao.nl;;;1;;;1
Saval;;;1;;;1
SBI Training & Advies, Zonheuvel, Boschoord;;;;;1;1
Scanology;1;;;;;1
Schapendokter.nl;;;;;3;3
Schenkeveld Advocaten;;;;;1;1
Scherpenhuizen;;;1;;;1
Schippers Bladel;;1;1;;;1
Scholten Awater & Partners;1;1;;;;1
Schoonzicht Dierenartsenpraktijk;;;;;3;3
Schrijvershof B.V.;;;1;;;1
SDU - Service Centrum Uitgevers;;;;;1;1
Sentega Etiketten;1;;;;;1
Separations Analytical Instruments;;1;;;;1
Seray Impex B.V.;;;1;;;1
Serhat Impex Velp;;;1;;;1
SGS;1;;;;;1
Shankara Europe B.V.;;;1;;;1
Shimadzu Benelux;;1;;;;1
Shisha Lounge Palace;;;1;;;1
Shoot Management B.V.;;;;;1;1
Showa Boeki Europe B.V.;;;1;;;1
Sibelco Benelux B.V.;1;;;;;1
Sidhu Food;;;1;;;1
Siemens Nederland;1;1;;;;1
Sigarenhandel Piet van Kuijk;;;1;;;1
Sigma-Aldrich;1;;;;;1
Simbolo Trading B.V.;;;1;;;1
Simon Levelt;;;1;;;1
Simonis Oude Visafslag (incl. Catch Restaurant);;;1;;;1
Sin Wah Foods;;;1;;;1
Sismatec;1;1;;;;1
Sita;1;1;;;;1
Skalar Analytical;1;;;;;1
Slachthuis Haaksbergen B.V.;;;;;5;5
Slachthuis HDL;;;;;1;1
Slingeland Dierenartsen;;;;;1;1
Smeba Brandbeveiliging;;;1;;;1
Smeva Service;;1;;;;1
Snijders Scientific;1;2;;;;2
Sogeti Nederland;;;;;4;4
SOLV;;;;;1;1
Sopachem;1;;;;;1
Sophie Timmer Specialist in permanente make up;;;1;;;1
Sorgente;;;1;;;1
SoundAware;;;;;2;2
Spaarbeleg;;;;;1;1
Spar Supermarkt;;;1;;;1
Spectrometry Vision;1;4;;;;4
Spraying Systems Co.;1;;;;;1
St. Oedenrode Dierenartsenpraktijk;;;;;4;4
Staay Food Group (incl. Staaij Barendrecht);;;1;;;1
Stad Advocaten;;;;;1;1
Star Groothandel B.V.;;;1;;;1
Stempelfabriek De Maas;;;;;1;1
Stg Papegaaienhulp;;;;;2;2
Stg. Beheer Derdengelden HABITAT Advo.knt.;;;;;1;1
Stg. Het Noordbrabants Landschap;;;;;1;1
Stg. Vakblad Natuur Bos Landschap;;;;;1;1
Sticht. Beheer Derdengelden Speciaaladvocaten;;;;;1;1
Stichting Centraal Bureau Voor Schimmelcultures Odo van Vloten;1;;;;1;1
Stichting Iguana;;;;;2;2
Stichting Vogelrevalidatiecentrum Zundert;;;;;1;1
Stolp International;;;1;;;1
Strogoff Freshfood B.V.;;;1;;;1
Studio 3005;;;;;1;1
Subvention;;;;;1;1
Surya Products;;;1;;;1
Sysmex (vh Goffin Meyvis);;1;;;;1
T.S. Reform;;;1;;;1
Tattoobase;;;1;;;1
Te Lintelo Systems;1;;;;;1
Technische Unie;;;;;1;1
Tekinova;;;1;;;1
Telecom Paper;;;;;3;3
Telstar Laboratory Equipment (vh PMV Particle Measurement & Validation, Clean Air Techniek, ilShin);1;1;;;;1
Tema Fine Foods B.V.;;;1;;;1
Terra Sana Natuurvoeding Leimuiden B.V.;;;1;;;1
Testo;1;1;;;;2
TFC Holland;;;1;;;1
Thaimas B.V.;;;1;;;1
The Fan Company B.V.;;;1;;;1
The Peanut Company B.V.;;;1;;;1
Theo van Woerkom S Confituren;;;1;;;1
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);2;1;1;;;2
Timmermans Dierenartspraktijk;;;;;3;3
Tisani;;;1;;;1
Tolsma Winterwijk Dierenartsenpraktijk ;;;;;4;4
Top Movers;1;;;;;1
Topa Verpakking;1;;;;;1
TopLEDshop;;;1;;;1
Tovano;;;1;;;1
TQC Thermimport Quality Control;1;;;;;1
TRC Unirice B.V.;;;1;;;1
Trebs;;;1;;;1
Trendy Colors;;;1;;;1
Tritium Microbiologie;1;;;;;1
TS Trading;;;1;;;1
TTMS;1;2;;;;2
Tuana Kruiden V.O.F.;;;1;;;1
Tuincentrum De Oude Tol;1;;1;;1;1
Tuinderij Vers;;;1;;;1
Tura Groothandel;;;1;;;1
Twentsch Wijnhuis;;;1;;;1
Ultimoo Incasso;;;;;1;1
ULU IMPEX;;;1;;;1
Unidex;;;1;;;1
UniFer.nl;;;1;;;1
Unlimited Health;;;1;;;1
V.C. De Grenshoek;;;;;4;4
V.O.F. A.H. Gerth;;;1;;;1
V.o.f. Keurntjes-Peters;;;;;1;1
V.O.F. Zeevalkink Hengelo;;;;;1;1
Vaessen-Schoemaker B.V.;;;1;;;1
Vakgarage Verbruggen;;;;;1;1
Vamexco Fruit & Vegetables;;;1;;;1
Van Assendelft Importgroothandel;;;1;;;1
Van Buttinghawichers Notarissen;;;;;2;2
Van Dam Bedrijven Beheer B.V.;;;;;1;1
Van den Berg Dierenartsenpraktijk Consultancy;;;;;2;2
Van den Berg Products;;;1;;;1
Van den Brink Instrumenten;;1;;;;1
Van den Hoek Organisatie-Advies;;;;;1;1
Van der Lem Groothandel;;;1;;;1
Van der Meulen Sneek;;;1;;;1
Van der Mey-Barendrecht;;;1;;;1
Van der Zandt Keuken-Interieurs B.V.;;1;;;;1
Van Deutekom B.V.;;;;;1;1
Van Dijck Groenteproducties B.V.;;;1;;;1
Van Es Foods International;;;1;;;1
Van Gansewinkel;;;;;1;1
Van Gelder Ridderkerk;;;1;;;1
Van Gunst Asbestsanering B.V.;;;;;1;1
Van Manen Handelsonderneming Veenendaal;;;1;;;1
Van Rooy Van Kessel Advocaten;;;;;1;1
Van Schie Advocatuur B.V.;;;;;1;1
Van Tol Laboratoriumtechniek;;3;;;;3
Vanilla Venture Amsterdam;;;1;;;1
Varuvo;;;1;;;1
VDT Advocaten & Mediators;;;;;1;1
Veba Meditemp;;1;;;;1
Vee- en Vleeshandel Beernink;;;;;4;4
Veip Disinfectants;1;;;;;1
Veldwijk;;;;;1;1
Veltman Vis Service B.V.;;;1;;;1
Verdi Import;;;1;;;1
Verlin Trading B.V.;;;1;;;1
Vermeij Verpakkingsmateriaal;1;;;;;1
Veronica Nail Products;;;1;;;1
Verschoor Groep;1;;;;;1
Verstegen Spices & Sauces B.V.;;;1;;;1
Vesbel Horeca B.V.;;;1;;;1
Veterinair Adviesbureau Chiara-Anada;;;;;3;3
Veterinary Poultry Consultancy;;;;;3;3
VHC Jongens BV;;;1;;;1
Viking Life Saving Equipment;;1;;;;1
Vinitex Laboratoriuminrichtingen;;1;;;;1
Vink Lisse;1;;;;1;1
Vink Witgoed;;;1;;;1
VinoVia B.V.;;;1;;;1
Virbac Nederland;;1;;;;1
VITAL20 B.V.;;;1;;;1
Vitals Voedingssupplementen B.;;;1;;;1
Vitelco;;;;;2;2
VnS Group (incl. Naammo Stempelfabriek en Stempeltempel);;;;;1;1
Voets Specialiteiten;;;1;;;1
Vogelkwekerij W de Koning;;;;;1;1
Vomar Voordeelmarkt;;;1;;;1
Vorselaars Vruchtensappen en Frisdranken;;;1;;;1
VOS instrumenten;1;;;;;1
Vroegop Windig;;;1;;;1
VSL (vh NMi van Swinden Laboratorium);1;1;;;;2
VWR International (incl. Omnilabo);6;4;2;;;6
W & A Fish;;;1;;;1
W. Dijk Holding;;;1;;;1
W. Karsten;;;1;;;1
W. Pols-Bom;;;1;;;1
W.G. den Heijer & Zn;;;1;;;1
Waters Chromatography;4;5;;;;5
Watson Marlow;1;;;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;;;1;1
Wel Utrecht;;;1;;;1
Wessels Grootverbruik;;;1;;;1
Westburg;1;;;;;1
Wijn & Stael;;;;;1;1
Wijncom;;;1;;;1
Wijnimport J. Bart;;;1;;;1
Wilde Alaska Zalm;;;;;1;1
Wildhandel van der Cruijsen B.V.;;;1;;;1
Wilkofruit;;;1;;;1
Wim Rijnart Speciaal Transport B.V.;;;;;1;1
Wishpel Webshops B.V.;1;;;;;1
Witjes, Drs, Th.A.M.;;;;;2;2
Witlox Notariskantoor;;;;;1;1
Witsenburg Natural Products B.V.;;;1;;;1
Wortelboer Medisch Adviesbureau;;;;;4;4
Wouters & Wouters Advocaten;;;;;1;1
www.Polsbandjesfabriek.nl;;;1;;;1
WZ Advies B.V.;;;;;1;1
Xenos;;;1;;;1
X-Function Benelux B.V.;;;1;;;1
Yara Gas;1;;;;;1
Zesta Europe;;;1;;;1
Zethof Olie- en Gashandel;1;;;;1;1
Zhong Hua International Trading;;;1;;;1
Zinloos Geweld tegen Dieren Stg;;;;;1;1
ZooLogistics B.V.;;;;;1;1
Zoutewelle Import;;;1;;;1
Zylyon International B.V.;;;;;1;1
Eindtotaal;7;7;4;1;10;10
