Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
EDGARFIELD COÖPERATIE;;;;;2;;;;2
Educore;;;;;;;;1;1
Edwin Snulders Catering;;;;;;;;1;1
Eemshotel;;;;;;;;1;1
Eerste Rotterdamsche Aandelen Maats;;;1;;;;;;1
Eet- en Koffiehuis De Kiosk;;;1;;;;;;1
EETCAFÉ DE ROSKAM;;;1;;;;;;1
Eetcafe Full House;;;1;;;;;;1
EHM Hotels (incl. Apollo Hotels & Resorts);;;;;;1;;2;2
EJBdesignery;;1;;;;;;;1
Ekamper Hotel Restaurant;;;1;;;;;;1
El Mundo Tapasbar;;;1;;;;;;1
EL PATIO ANDALUZ B.V.;;;1;;;;;;1
Elba Media;;;;;1;;;;1
E-learningportals (Icttrainingen.nl);;;;;1;;;;1
Element Materials Technology;;1;;;;;;;1
Elycio Talen;;;;;1;;;;1
Elzenhagen - Motel Restaurant;;;1;;;;;;1
Emmeloord Hotel;;;;;;;;1;1
Empower People;;;;;1;;;;1
ENCE KONING;;;1;;;;;;1
Engelenburg Exploitatiemaatschappij;;;1;;;;;1;1
Enginar;;;1;;;;;;1
ENMO Nederland;;1;;;;;;;1
ENTA Eerste Nederlandse Talenpraktikum;;;;;1;;;;1
Equipe Quality Products (incl. Health2Work);;1;;;;;;;1
Ergatis;;1;;;1;;;;1
Ervaren Ambtenaren Training & Coaching;;;;;1;;;;1
Escape010;;;1;;;;;;1
Escubelle Strandpaviljoen;;;1;;;;;;1
Espi Designers;;2;;;;;;;2
Esra Intern Transport;1;;;;;;;;1
Esri Nederland;;;;;2;;;;2
Eten en Zo;;;1;;;;;;1
ETERIJ-TAPPERIJ SALUD!;;;1;;;;;;1
EURO INDOORKARTING SWALMEN B.V.;;;1;;;;;;1
Euroforum/SBO Studiecentrum Bedrijf en Overheid;;;;;2;;;;2
Euro-Index;;1;;;;;;;1
European Language Centre;;;;;1;;;;1
Europees Instituut Voor Educatie;;;;;1;;;;1
Europoort Rondvaart;;;1;;;;;;1
Evc Centrum Nederland;;;;;1;;;;1
Evenementen Amersfoort;;;1;;;;;;1
E-Vent entertainment;;;1;;;;;;1
Evo Ondernemersorganisatie;;;;;1;;;;1
Ex Aequo Pruijssers Management;;;;;1;;;;1
eX:plain (incl. EXTH Exameninstelling Toezicht en Handhaving);;;;;1;;;;1
EXELLIOR;;;;;3;;;;3
ExplainIT;;;;;1;;;;1
Exploitatiemaatschappij Gelredome;;;2;;;;;;2
Exploitatiemaatschappij Seaport Beach Resort;;;;;;;;1;1
EYE Bar Restaurant;;;1;;;;;;1
Eyewish Groeneveld;;1;;;;;;;1
Faber Vlaggen (vh Shipmate);;;1;;;;;;1
FactorVeermans Trainingsacteurs;;;;;1;;;;1
Falck Group;;;;;2;;;;2
Falstaff Restaurant;;;1;;;;;;1
Fast Lane Benelux;;;;;2;;;;2
FCE Stichting Opleidingskunde;;;;;2;;;;2
Felicivin;;;1;;;;;;1
Fellini city lounge;;;1;;;;;;1
Fermion B.V.;;;;;1;;;;1
FIC Peripheral Nederland B.V.;;;;1;;;;;1
Fietsenverhuurbedrijf De Veluwe;;;1;;;;;;1
Fine Asian Gourmet;;;1;;;;;;1
Fine Sound Kortenhoef;;;1;;;;;;1
Firebrand Training Benelux;;;;;1;;;;1
Fletcher Hotel Restaurant;;;1;;;;;1;1
Flevomeerbibliotheek;;;1;;;;;;1
Floor Cafe Restaurant;;;1;;;;;;1
Flowers4U;;;1;;;;;;1
FMH Academy;;;;;2;;;;2
FNV Formaat;;;;;1;;;;1
Focus Advisering Training Coaching, Conferences;;;;;2;;;;2
Fontana Resort Bad Nieuweschans;;;;;;;;1;1
Fonville Bloemenboutique;;;1;;;;;;1
Foodism;;;1;;;;;;1
Forellenvijver Breukink/Bronkhorstermolen;;;1;;;;;;1
Form International;;;2;;;;;;2
Forsa Advies;;;;;1;;;;1
Fort Aan De Klop;;;1;;;;;;1
Foto Konijnenberg;;1;;;;;;;1
Fotostudio Wierd;;;1;;;;;;1
Fox-IT, Crypto;;;;;1;;;;1
Frame;;;;;1;;;;1
Franke Interim Management;;;;;1;;;;1
Fratelli Restaurant;;;1;;;;;;1
Frezon;;;1;;;;;;1
Frijters Mind Tuning;;;;;1;;;;1
Fruitful Office Nederland;;;1;;;;;;1
FSC TRAINING B.V.;;;;;1;;;;1
Fuiks Eten & Drinken;;;1;;;;;;1
FUSACON;;;;;2;;;;2
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;;;1;;;1;2
GAMES4GROUPS;;;1;;;;;;1
Gargouilles;;;1;;;;;;1
Garlin;;;1;;;;;;1
Garoeda Indonesisch Restaurant;;;1;;;;;;1
GASTERIE DE KNIP;;;1;;;;;;1
Gasterij Het Karrewiel;;;1;;;;;;1
Gefelicitaart;;;1;;;;;;1
Gemaco (vh Jos Premiums & Gifts);;;1;;2;;;;2
Gentile Restaurant;;;1;;;;;;1
Geofort;;;1;;;;;;1
Geonovum;;;;;;;;1;1
Geoplan Nederland;;;;;2;;;;2
Gerecht Grand Cafe;;;1;;;;;;1
Gerritse Ijzerwaren (inc Isero);;1;;;;;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;;1;;;;;;1
Geurst (incl. Pastis Restaurant);;;1;;;;;;1
Gewoon Aan De Slag;;;;;2;;;;2
GGZ;;;;;1;;;;1
GIELING HOTEL;;;1;;;;;;1
Giftcards;;;1;;;;;;1
Gilde Amsterdam;;;1;;;;;;1
Gili Amsterdam B.V.;;;1;;;;;;1
Gili Utrecht;;;1;;;;;;1
GILLISSEN SLAGERIJ;;;1;;;;;;1
Gimmeconcepts;;;1;;;;;;1
GITP (incl. Pi Company);;;;;2;;;;2
Glassinstruments;;1;;;;;;;1
Global Edutainment;;;;;1;;;;1
Global Knowledge Network;;;;;1;;;;1
GLOBE PARTY SERVICES;;;1;;;;;;1
Glope Events/Be You Events;;;1;;;;;;1
Go Opleidingen;;;;;1;;;;1
Goed in Ondernemen;;;1;;;;;;1
Goesting Events;;;1;;;;;;1
Golden Tulip;;;1;;;;;2;2
Golfbaan Delfland (Schipluiden);;;1;;;;;;1
GoodHabitz;;;;;2;;;;2
Gooische Catering;;;1;;;;;;1
Gouden Huis Restaurant;;;1;;;;;;1
Governance & Integrity;;;;;1;;;;1
Graaf Bernstorff Hotel;;;;;;;;1;1
Grachten Atelier;;;1;;;;;;1
GRAND CAFÉ DE KRUIT B.V.;;;1;;;;;;1
Grand Cafe De Sjees;;;1;;;;;;1
Grand Cafe Silva Ducis;;;1;;;;;;1
Grand Hotel Beatrix;;;;;;;;1;1
Grand Hotel Frans Hals;;;;;;;;1;1
Grand Kasteel Woerden;;;1;;;;;;1
Grand-café Boekmans B.V.;;;1;;;;;;1
GRANDHOTEL HOEK VAN HOLLAND;;;;;;;;1;1
Grape District;;;1;;;;;;1
GREAT CHINA;;;1;;;;;;1
GRIZZLY B.V.;;;2;;1;;;;2
GROCOM V.O.F.;;;1;;;;;;1
Groen Flora;;;1;;;;;;1
Groningen Airport Eelde;;;;;;;;1;1
Groningen Seaports;;;1;;;;;;1
Groot Haarlem;;;1;;;;;;1
GROSMAN HEKMAN THIELEN ADVIES;;;;;2;;;;2
Grotius Academie;;;;;2;;;;2
Gunther Holding;;;;;1;;;;1
Gusto Mangia E Bevi;;;1;;;;;;1
Haaglanden Opleidingscentrum;;;;;2;;;;2
Haje Shops Hotels & Restaurant;;;;;;;;1;1
Hakvoort Horeca;;1;;;;;;;1
Halfland partyschepen;;;1;;;;;;1
Hampshire Hotel;;;1;;1;;;1;1
Hans & Frans Hessing Banketbakkerij (Hesbak);;;1;;;;;;1
Hans Moerenhout Social Enterprises;;;;;1;;;;1
Hanting Cuisine;;;1;;;;;;1
Happy Meat;;;1;;;;;;1
HARBORHOUSE;;;1;;;;;;1
Harbour Horeca;;;1;;;;;;1
Harcotom;;1;;;;;;;1
HARRELS LUNCHROOM;;;1;;;;;;1
HAS Kennistransfer;;;;;1;;;;1
Hasekura Japans Restaurant;;;1;;;;;;1
Hatech Gasdectietech;;3;;;1;;;;3
Havana (Santé Horeca Beheer);;;1;;;;;;1
Havenbedrijf Amsterdam;;;;;1;;;;1
Havenbedrijf Ijmuiden;;;;;;;;1;1
Havenbedrijf Rotterdam;;;1;;;;;;1
HCR 'T LANGENBAERGH VOF;;;1;;;;;;1
Heigo Nederland;;4;;;;;;;4
HEIJMEN BUNKERSTATION;;1;;;;;;;1
Hejco Benelux;;;;;1;;;;1
Heli Holland Air Service;;;;;2;;;;2
Heliview;;;;;1;;;;1
helpdeskAanbesteden;;;;;1;;;;1
Helutex;;1;;;;;;;1
Hendrikx Party & Catering, Ton;;;1;;;;;;1
Henk Maas Weegschalen;;1;;;;;;;1
HERBERG DE COMPAGNIE B.V.;;;;;;;;1;1
HERBERG DE RONDE TAFEL;;;1;;;;;;1
Herberg 't Plein;;;1;;;;;;1
Herberg van Es;;;1;;;;;;1
Hermitage Restaurant & Bodega;;;1;;;;;;1
HERTEN EN WILDE ZWIJNEN;;;1;;;;;;1
Het Anker Zalencentrum;;;1;;;;;;1
Het Brouwcafe;;;1;;;;;;1
Het Consulaat Adviseurs, Acteurs en Art in Bedrijf;;;;;;;;1;1
Het Eerste Huis;;;;;1;;;;1
Het Effectieve Werken;;;;;2;;;;2
Het Gesprek Restaurant;;;2;;;;;1;2
Het Gevangenismuseum;;;1;;;;;;1
Het Gouden Kalf Brasserie;;;1;;;;;;1
Het Groninger Landschap Stg;;;1;;;;;;1
Het Groote Genoegen Eetcafé-Restaurant;;;1;;;;;;1
Het Haagsche Schouw;;;;;;;;1;1
Het Ijsselpaviljoen Zutphen;;;1;;1;;;;1
Het Kookplein Kookschool en Lunchrestaurant;;;1;;;;;1;1
Het Kookstation;;;;;1;;;;1
Het Munsterhof;;;1;;;;;;1
Het NIC - Nederlands Inkoop Centrum;;;;;1;;;;1
Het Notuleercentrum Opleidingen;;;;;1;;;;1
Het Oude Tolhuys;;;1;;;;;;1
Het Pleidooi/Lancee Café-Restaurant;;;1;;;;;;1
Het Postkantoor;;;1;;;;;;1
Het Savarijn Restaurant;;;1;;;;;;1
Het Scheepvaartmuseum Enterprise Stichting;;;1;;;;;;1
Het Wantveld Standpaviljoen;;;1;;;;;;1
HET WAPEN;;;1;;;;;;1
Het Wapen van Kennemerland;;;1;;;;;;1
Het Wapen van Leeuwarden;;;1;;;;;;1
Het Wapen van Rhoon;;;1;;;;;;1
Het Wapen van Willemstad;;;1;;;;;;1
Het Weeshuis Charme hotel en Restaurant;;;1;;;;;;1
Het Witte Hof;;;1;;;;;;1
Het Zuiden Mediterraan Restaurant;;;1;;;;;;1
Het Zuiderlicht;;;;;2;;;;2
High Five Health Promotion;;2;;;;;;;2
Historische Kelders/See U;;;1;;;;;;1
HL Bookshop (Bookshop J.P. de Vos);;;;;1;;;;1
Hmf Bloemen en Planten;;;1;;;;;;1
HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol;;;1;;;;;;1
Hoek Vervoer;;;;;;;;1;1
HOEZO! Projectmanagement en Congresorganisatie;;;1;;1;;;;1
Hof der Muzen Grand Cafe (J. Kos);;;1;;;;;;1
Hofker Hotel;;;;;;;;1;1
HofstadEvents.nl;;;1;;;;;;1
Hofstede Meerzigt Restaurant;;;1;;;;;;1
Hogeschool Arnhem en Nijmegen;;;;;2;;;;2
Hogeschool Leiden;;;;;1;;;;1
Hogeschool van Amsterdam;;;;;1;;;;1
Hogeschool van Utrecht;;;;;2;;;;2
Hogeschool Zeeland;;;;;1;;;;1
Hog-Line Exploitatie;;;1;;;;;;1
Holiday Inn;;;;;;;;2;2
Holland Geschenkpakket;;;1;;;;;;1
Holland Marine Equipment;;;;;1;;;;1
Holland Tour Guides;;;1;;;;;;1
Hoofdstuk2;;;1;;;;;;1
Hoogeboom Partyservice;;;1;;;;;;1
Hoogland Consulting;;;;;2;;;;2
Hoorn Hotel;;;;;;;;1;1
HORC;;;1;;;;;;1
Horeca Exploitatie WWZ I;;;1;;;;;;1
Horeca Exploitatiemaatschappij Mari;;;1;;;;;;1
Horeca T Olde Schop;;;1;;;;;;1
Horizon Interlingua;;;;;1;;;;1
Horizon Training Groep;;;;;3;;;;3
Hotel Artisan;;;1;;;;;;1
HOTEL ASSELT B.V.;;;;;;;;1;1
Hotel Bergse Bossen;;;;;1;;;1;1
Hotel Coen Delft;;;;;;;;1;1
Hotel Contact/Worldmeetings;;;1;;;;;4;4
Hotel Corps De Garde;;;;;;;;1;1
Hotel D Orangerie;;;;;;;;1;1
Hotel de Koophandel;;;;;1;;;1;1
Hotel De Lange Jammer;;;;;;;;1;1
Hotel De Nieuwe Doelen;;;;;;;;1;1
Hotel De Plataan;;;;;;;;1;1
Hotel De Prins;;;1;;;;;;1
Hotel De Witte Bergen;;;;;;;;1;1
Hotel den Helder;;;1;;;;;1;1
Hotel Des Indes Le Meridien, Lehwood;;;1;;;;;;1
Hotel Emma;;;;;;;;1;1
Hotel Exploitatiemaatschappij Chagall;;;1;;;;;;1
Hotel Landgoed Het Roode Koper;;;1;;;;;;1
Hotel New York Rotterdam;;;1;;;;;1;2
Hotel Oepkes-De Schoener;;;;;;;;1;1
HOTEL ORCHIDEE B.V.;;;;;;;;1;1
Hotel Post Plaza;;;1;;;;;2;2
Hotel Schylge;;;;;;;;1;1
Hotel Sneek;;;;;;;;1;1
Hotel Spoorzicht;;;;;;;;1;1
Hotel Vianen;;;1;;;;;;1
Hotel Wereld-Eethuis Bazar;;;1;;1;;;;1
Houtekamer coaching en begeleiding;;;;;1;;;;1
HOUTEN BOWLING/POOLTIME;;;1;;;;;;1
HPO Center (Center for Organizational Performance);;;;;1;;;;1
HRD Professionals;;;;;1;;;;1
HSG;;;1;;;;;;1
HSK Groep;;;;;1;;;;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;;;1;;;1;1
HTMC Haagse Taxi Mobilofoon Centrale;;;1;;;;;1;1
Huize Molenaar Cuisinier;;;1;;;;;;1
Humor Werkt producties (vh Pietje Bella Producties);;;1;;1;;;;1
Humphrey's Restaurant;;;1;;;;;;1
Huszar Cafe-Brasserie;;1;1;;;;;;1
Huurdeman Productions;;;1;;;;;;1
IABR Internationale Architectuur Biennale Rotterdam;;;1;;;;;;1
Ibex;;;;;1;;;;1
Ibki;;;;;2;;;;2
IBR Instituut Voor Bouwrecht;;;;;1;;;;1
ICM Holding;;;;;2;;;;2
Idol's Wok Chinees Restaurant;;;1;;;;;;1
IGNATIOS VOF;;;1;;;;;;1
IIA Instituut van Internal Auditors;;;;;1;;;;1
IIO KANTOOR EN INFORMATICA OPL;;;;;1;;;;1
Ijsselconsult;;;;;1;;;;1
Il Caminetto Ristorante Pizzeria;;;1;;;;;;1
Il Forno;;;1;;;;;;1
IM-Company B.V.;;;;;2;;;;2
IMI Instituut Voor Maatschappelijke Innovatie;;;;;1;;;;1
Impero Romano Restaurant;;;1;;;;;;1
In De Driehoek, Zalencentrum;;;1;;;;;;1
In De Waag Café-Restaurant;;;1;;;;;;1
In den Vollen Potvisch Restaurant;;;1;;;;;;1
In den Zevende Hemel Brasserie Restaurant;;;1;;;;;;1
In- en Outdoor Centre De Uithof;;;1;;;;;;1
In Regie Personal Coaching;;;;;2;;;;2
INEKES VLAAIENWINKEL;;;1;;;;;;1
Information Security Academy;;;;;2;;;;2
Infra Consultancy & Training B.V.;;;;;1;;;;1
Inholland Academy;;;;;1;;;;1
Ink Stichting;;;;;1;;;;1
Innerheart;;;;;1;;;;1
Inntel Hotels;;;;;2;;;1;2
Insight Enterprises Netherlands;;;1;;;;;;1
Insights Internationaal;;;;;1;;;;1
Inspearit (incl. CIBIT);;;;;1;;;;1
INSPEXX B.V.;;;;;1;;;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;;1;;;;1
Interdata;;;;;1;;;;1
Interim Direct/Van der Wijst personenvervoer;;;;;;;;2;2
Intersafe Groeneveld;;5;1;;1;;;1;5
Intertek Polychemlab;;1;;;;;;;1
InThere;;;;;1;;;;1
IOD International association for Organisational and social Development;;;;;1;;;;1
Ipanema;;;1;;;;;;1
IPD Instituut Voor Praktijkdiploma's;;;;;1;;;;1
Ipol (Instituut Politieonderwijs en Trainingen);;;;;5;;;;5
Iron Mountain Nederland;;;2;;;;;;2
ISVW Instituut voor Wijsbegeerte;;;;;1;;;1;1
It Management Group;;;;;2;;;;2
Itera;;;1;;;;;;1
ITIP School Voor Leven en Werk;;;;;1;;;;1
IVM Instituut voor Veiligheid & Milieu;;;;;1;;;;1
J.P.O.;;;;;1;;;;1
Jaa Joint Aviation Authorities;;;;;2;;;;2
Jaarbeurs Catering Services;;;1;;;;;;1
Jaarbeurs Utrecht;;;1;;;;;;1
JAC VAN DER NOORD EN ZOON;;1;;;;;;;1
Jacobs Toeringcars;;;;;;;;1;1
JANSEN & NIEUWLAND;;;1;;;;;;1
Jansen De Koning (Lekker & Co);;;1;;;;;;1
Janzen Restaurant;;;1;;;;;;1
JAPANS RESTAURANT SHIRO;;;1;;;;;;1
Jasmine Garden;;;1;;;;;;1
JCGM Jacobs;;;;;1;;;;1
Jeronimus eet & borrel cafe;;;1;;;;;;1
JHNTRAITEURCATERING;;;1;;;;;;1
Jiu-Jiu - De Chinese Muur Restaurant ;;;1;;;;;;1
Johnson Controls Automation Systems;;;;;1;;;;1
JONKER TRAVEL B.V.;;;;;;;;1;1
Jopen Horeca Exploitatie;;;1;;;;;;1
JOS HORECA GELEGENHEID;;;1;;;;;;1
Juliana's Café Restaurant (incl. In Pace);;;1;;;;;;1
KAAG B.V.;;;1;;;;;;1
Kader Bureau voor Kwaliteitszorg;;;;;1;;;;1
Kaizen Institute;;;;;1;;;;1
KAMI SUSHI;;;;;1;;;;1
Karel V Utrecht Grand Hotel;;;2;;;;;;2
Kassing Tours;;;1;;;;;;1
Kasteel De Vanenburg;;;;;2;;;;2
KASTEEL EYCKHOLT ROOSTEREN;;;1;;;;;;1
Katseveer Restaurant;;;1;;;;;;1
KEES SCHRIJVER SLAGERIJ;;;;;1;;;;1
Keizer Culinair;;;1;;;;;;1
Kellertax;;;;;1;;;;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;;;;;1;;;;1
Kern Konsult;;;1;;;;;;1
Kessels & Smit Learning Company;;;;;2;;;;2
KEURSLAGERIJ POLDERVAART;;;1;;;;;;1
Keyzer Palace Rosmalen;;;1;;;;;;1
Kievits Veerdiensten;;;1;;;;;;1
KIEVITSDEL TEPPAN YAKI JAPANS REST;;;1;;;;;;1
KIKA Stichting Kinderen Kankervrij;;;1;;;;;;1
Kim Spinder;;;1;;1;;;;1
King Arthur Groep;;;1;;;;;;1
KING WOK;;;1;;;;;;1
KINT VER NED VER VOOR KWALITEITSTOE;;;;;1;;;;1
Kivi Niria Congresbureau;;;;;1;;;;1
Kiwa Groep (incl. Gas Technology, Prismant, Certification);;1;;;;;;;1
Kjenning Opleiding;;;;;1;;;;1
KLM;;1;;;;;;;1
Kloosterman Advies & Opleidingen;;;;;1;;;;1
KN SINGLES & TWINS;;;;;1;;;;1
Knoope Ideaal Coaching;;;;;1;;;;1
KNRM Koninklijke Nederlandse Redding Maatschappij;;;1;;;;;;1
Knus;;;1;;;;;;1
KNW Koninklijk Nederlands Waternetwerk;;;;;1;;;;1
Koac.Npc, Instituut Voor Materiaal- en Wegbouwkundig Onderzoek;;;;;1;;;;1
Koeman's Catering Broodjes;;;1;;;;;;1
Koi Sushi Restaurant;;;1;;;;;;1
Kok Party-Catering Service;;;1;;1;;;;1
Koninklijke De Swart;;1;;;;;;;1
Koninklijke Roeiers Vereeniging Eendracht;;;;;;;;1;1
Koninklijke van den Boer Groep (incl. Oseven, happening and food);;;1;;;;;;1
Koninklijke Visio;;;;;;;;1;1
Konnichi Wa Japans Restaurant;;;1;;;;;;1
Kookclub Bodega;;;1;;;;;;1
KOP J B VAN DE BANKETBAKKERIJ;;;1;;;;;;1
Korf Catering Party Services;;;1;;;;;;1
Kort Pack;;1;;;;;;;1
Kota Radja Chinees Restaurant;;;1;;;;;;1
KPE Holding;;;;;1;;;;1
KPMG;;;;;2;;;;2
KPN (incl. Getronics, PTT Telecom);;;1;;;;;;1
Kraaybeekerhof Facilitair;;;1;;;;;;1
Krauthammer International;;;;;1;;;;1
Kring Andragologie;;;;;1;;;;1
Kring Vrienden van 's-Hertogenbosch;;;1;;;;;;1
Kuipers & van Kempen;;;;;1;;;;1
Kunst VOF;;;1;;;;;;1
Kwiezien;;;1;;;;;;1
L.A.-DJ's;;;1;;;;;;1
La Bota Eetcafe;;;1;;;;;;1
La Cantina Di David;;;1;;;;;;1
La Cantina Strandpaviljoen;;;1;;;;;;1
La Cubanita;;;1;;;;;;1
La Galleria;;;1;;;;;;1
La Galleria Boulevard;;;1;;;;;;1
La Liguria Restaurant;;;1;;;;;;1
La Poutre Bureau;;;;;1;;;;1
La Red;;;;;1;;;;1
LA SALUTE DELICATEZZE;;;1;;;;;;1
La Stanza Restaurant;;;1;;;;;;1
La Stella Marina;;;1;;;;;;1
La Vilette Restaurant;;;1;;;;;;1
Laborelec;;;;;2;;;;2
Lagerweij & Partners;;;;;2;;;;2
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);;;1;;;;;;1
Landgoed Groenendaal;;;1;;;;;;1
Landgoed Huize Bergen;;;1;;;;;;1
Lands End Hotel-Café-Restaurant;;;1;;;;;1;1
Language Partners (incl. Eurolinguist);;;;;2;;;;2
LANGUAGE TRAINING SOLUTIONS;;;;;1;;;;1
Lanting Reizen;;;1;;;;;;1
Lapershoek Hotel;;;1;;;;;;1
Lavendel Restaurant;;;1;;;;;;1
Laverbe;;;1;;;;;;1
Lawach;;;1;;;;;;1
Le Connaisseur Grand Restaurant;;;1;;;;;;1
Le Strasbourg;;;1;;;;;;1
Le Vieux Jean Restaurant;;;1;;;;;;1
LE:EN Restaurant;;;1;;;;;;1
Lean Consultancy Group;;;;;1;;;;1
Lean Six Sigma Company;;;;;1;;;;1
Learn It;;;;;1;;;;1
Lebowski Grand Café (vh Lofen);;;1;;;;;;1
Lectric Internetopleidingen;;;;;1;;;;1
LEERZEM VAN WIJNKOPERIJ;;;1;;;;;;1
Leeuwenbrug Hotel;;;;;;;;1;1
Leeuwendaal Advies;;;;1;;;;;1
Leijenberghlaan Amsterdam;;;;;;;;1;1
LELYSTAD '67 SV;;;1;;;;;;1
Lemongrass Gastronomie;;;1;;;;;;1
Leo Ringelberg Touringcars;;;1;;;;;1;1
Les Copains Restaurant;;;1;;;;;;1
L'Hirondelle Restaurant;;;1;;;;;;1
LIKEWISEACADEMY FOR NLP & COACHING;;;;;1;;;;1
Litax Reizen;;;;;;;;1;1
Little V Vietnamees Restaurant;;;1;;;;;;1
Live Trainingen;;;;;1;;;;1
LIVITION;;;;;1;;;;1
Lloyd's Register (incl. Cedeo);;;;;2;;;;2
Lloyd's Restaurant;;;1;;;;;;1
LOBO GRONINGEN B.V.;;;1;;;;;;1
Locomix;;;1;;;;;;1
Logavak Opleidingsgroep;;;;;1;;;;1
Logeion Vereniging Voor Communicatie;;;;;1;;;;1
Logisch Restaurant;;;1;;;;;;1
LÖHR HOLDING;;;1;;;;;;1
LOI Leidse Onderwijsinstelling;;;;;2;;;;2
Long Island;;;1;;;;;;1
Look-Tours;;;1;;;;;;1
Loos Grand Café-Restaurant;;;1;;;;;;1
Lorjé kantoorvakhandel;;;;;1;;;;1
LORKEERS;;;1;;;;;;1
Los Argentinos;;;1;;;;;;1
Loyalis Maatwerkadministraties, Verzekeringen, Kennis en Consult, Leven;;;1;;;;;;1
LPD;;;;;4;;;;4
LTC - Leeuwarder Taxi Centrale;;;;;;;;1;1
LTP;;;;3;;;;;3
Lubbelinkhof Hotel-Restaurant;;;;;;;;1;1
Lübeck Grand Café Exploitatie;;;1;;;;;;1
Luden Restaurant&Brasserie;;;2;;;;;;2
Ludens Talenontwikkeling;;;;;2;;;;2
Lunch-Express Zaanstad;;;1;;;;;;1
LUNCHROOM FOLKERTS V.O.F.;;;1;;;;;;1
Luxor Theater Rotterdam (incl. Restaurant);;;1;;;;;;1
Lyf's Grand Café-Restaurant;;;1;;;;;;1
MAATSCHAP WISMEIJER- STELLING;;;1;;;;;;1
Madestein Partycentrum-Restaurant;;;1;;;;;;1
Madetina B.V.;;;1;;;;;;1
Madurodam;;;2;;;1;;;2
Maesstede Catering;;;1;;1;;;;1
Magnetico Exploitatie B.V.;;;1;;;;;;1
Maharani Indian Restaurant;;;1;;;;;;1
Main Sales;;;1;;;;;;1
MAINNOVATION;;;1;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;1;;1;;;;1
MAISON LUUK;;;1;;;;;;1
MAITRE DEUX CATERING;;;1;;;;;;1
Malie Hotel;;;;;;;;1;1
Maliebaan45;;;;;;;;1;1
Management Drives Opleidingen;;;;;3;;;;3
Management Producties;;;;;1;;;;1
MANAGENET B.V.;;;;;1;;;;1
MANEGE CHARDON;;;1;;;;;;1
Manpower (incl. TVcN Tolk- en Vertaalcentrum Nederland);;;;;;;;1;1
Manutan (vh Overtoom International);;1;1;;;;;;1
Marcus Evans Linguarama;;;;;1;;;;1
Mariaplaats Recreatie;;;1;;;;;;1
Marin Maritiem Research Instituut Nederland;;;;;1;;;;1
Marion Reizen;;;1;;;;;1;1
Maritiem Museum Rotterdam;;;1;;;;;;1
Maritime Hotel Rotterdam;;;;;;;;1;1
MARJOLEIN KLAASSEN COMMUNICATIE;;;;;;;;1;1
MARKEN FIETSVERHUUR;;;1;;;;;;1
Marnemoende Restaurant;;;1;;;;;;1
Mas Restaurant;;;1;;;;;;1
MASTENBAR DE;;;1;;;;;;1
Master IT;;;;;1;;;1;1
Maurits Groen Milieu en Communicatie;;;1;;;;;;1
Mauritshuis;;;1;;;;;;1
Mavim Holding;;;;;1;;;;1
Maxime Restaurant;;;1;;;;;;1
MECC Hotel Service;;;1;;;;;;1
Mede Organisatie-Advies-Training;;;;;1;;;;1
Medemblik Hotel (incl Het Wapen van Medemblik);;;;;;;;1;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;;;;1;;;;1
Media Markt;;1;;;;;;;1
Medizon;;1;;;;;;;1
Meelfabriek Zijlstroom;;;1;;;;;;1
Meesters Stadscafe-Restaurant;;;1;;;;;;1
MEETBAND DE PERS VER;;;;;;;1;;1
Meeting Plaza;;;1;;;;;;1
Mei Wah Chinees Indisch Restaurant;;;1;;;;;;1
MEINDERS CATERING B.V.;;;1;;;;;;1
Mej. Janssen Restaurant;;;1;;;;;;1
MENEER CHOCOLA;;;1;;;;;;1
Mercure Hotels;;;;;;;;1;1
Merlijn Groep;;;;;2;;;;2
MERWELANDEN CATERING B.V.;;;1;;;;;;1
Metropole Grand Café;;;1;;;;;;1
Mettrop Kantoorvakhandel;;;1;;;;;;1
MfN Mediatorsfederatie Nederland (vh NMI Nederlands Mediation Instituut);;;;;1;;;;1
MGP/Arnopress;;;1;;;;;;1
MIA & LION V.O.F.;;;1;;;;;;1
Mibacu;;;;;2;;;;2
Middachten Landgoed;;;1;;;;;;1
MILTENBURG VAN BAKKERIJ;;;1;;;;;;1
Min Handelsonderneming chocolaterie;;;1;;;;;;1
MINDBENCH ACTIVE MEDIA;;;1;;;;;;1
Mindfulness Haarlem;;;;;1;;;;1
