;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal;
Grand Café de Pakschuit;;;1;;;;;;1;
Grand Cafe Lubeck;;;1;;;1;;;1;
Grandcafé De Wens B.V.;;;1;;1;1;;;1;
Grandcafe Haagsche Bluf;;;1;;;;;;1;
Greens in the Park B.V.;;;1;;;1;;;1;
Greenzz B.V.;;;1;;;;;;1;
GroupSupport.com B.V.;;;;;1;;;;1;
Growth Tribe B.V.;;;;;1;;;;1;
Gumption26 B.V.;;;;;2;;;;2;
Gusto Mangia e Bevi;;;1;;;1;;;1;
Haagse Beek organisatieadvies B.V.;;;;;1;;;;1;
Haiku Talentontwikkeling B.V.;;;;;2;;;;2;
Hapas;;;1;;;;;;1;
Hapjes aan Huis B.V.;;;1;;;;;;1;
Happy Communicators;;;;;1;;;;1;
Happy Meat B.V.;;;1;;;;;;1;
Haptotherapiepraktijk De Ruimte;;1;;;;;;;1;
Harbour Café B.V.;;;1;;;;;;1;
Harmonia B.V.;;;;;;1;;;1;
Harriet Aans;;;;;1;;;;1;
Hart & Brein: Train., Coach., Therapie, Med.;;;;;1;;;;1;
Hart Beach B.V.;;;1;;;;;;1;
Hartelijk Gefaciliteerd;;;;;1;;;;1;
HE Den Haag B.V.;;;1;;;;;5;5;
HeadFirst B.V.;2;;;;;;;;2;
Health Support Houten;;;;;1;;;;1;
Health2Work B.V.;;1;;;1;;;;1;
HeartMath BeNeLux B.V.;;;;;1;;;;1;
Heeredwinger Advies;;;;;2;;;;2;
Helder Werk B.V.;;2;;;;;;;2;
Heliview Conferences en Training B.V.;;;;;1;;;;1;
Hemingway;;;1;;;;;;1;
Hende Bauer Therapie training en coaching;;;;;1;;;;1;
Hendrikx van der Spek, Bur. voor Bedr.commun.;;;;;1;;;;1;
Henriëtte van Dueren den Hollander;;;;;1;;;;1;
Herkulosche Esch;;;;;1;1;;;1;
Hervormde Gemeente Nijkerk;;;;;;2;;;2;
Hesbak 2 B.V.;;;1;;;;;;1;
Het Balkon;;;;;2;;;;2;
Het Chocolade Huis;;;1;;;;;;1;
Het Distr. Limb. van h. Inst. v. N.;;;;;;1;;;1;
Het Drents Kwartiertje;;;;;1;1;;;1;
Het Gesprek;;;;;;1;;;1;
Het Goudkantoor;;;1;;;;;;1;
Het Grootste Kennisfestival;;;;;1;;;;1;
Het Kabinet, Eten en Drinken;;;1;;;;;;1;
Het Kookplein;;;2;;1;;;;2;
Het Ned. Instit. voor Verkeersveiligheid B.V.;;;;;1;;;;1;
Het Nederl.talig Buisleiding Industrie Gilde;;;;;1;;;;1;
Het Nutshuis;;;1;;;;;;1;
Het Pleidooi;;;1;;;1;;;2;
Het Postkantoor Hoogeveen B.V.;;;1;;;;;;1;
Het Zuiden F.G.;;;;;;1;;;1;
Heuvelman Sound & Vision B.V.;;;;;;1;;;1;
HIT Eten en Drinken;;;1;;;;;;1;
Hoens & Souren Advocaten;;;1;;;;;;1;
Hoeve Kromwijk;;;;;;1;;;1;
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;;1;
Hofkes Frölke Meekel Organisatiepsychol. B.V.;;;;;2;;;;2;
Hofstad Events B.V.;;;1;;;;;;1;
Hogeschool Domstad Facilitaire Zaken B.V.;;;;;;;;1;1;
Hogeschool Scheidegger B.V.;;;;;1;;;;1;
Hogeschool Schoevers;;;;;2;;;;2;
Hogeschool Windesheim;;;;;;1;;;1;
Hokra B.V.;;;1;;;;;;1;
Holapress Communicatie;;;;;1;;;;1;
HoLaPress Congresbureau B.V.;;;;;1;;;;1;
Holding Beheermaatschappij Ropeni B.V.;1;;2;;;1;;;2;
Holland Tour Guides B.V.;;;;;;1;;;1;
Home food & drinks;;;1;;;;;;1;
Hoober B.V.;;;;;;1;;;1;
Hor., Party En BBQ Serv. Hans v. Os de Man;;;1;;;;;;1;
Horeca Dome B.V.;;;1;;;;;;1;
Horeca Exploitatie Maatschappij Berlage B.V.;;;1;;;;;;1;
Horeca Invest Ned B.V.;;;;;;1;;;1;
Hotel De Jonge Exploitatie B.V.;;;1;;;;;;1;
Hotel New York B.V.;;;1;;;;;;1;
Hotel Post Plaza B.V.;;;1;;;;;;1;
Hotel Restaurant Keizersberg;;;1;;;;;;1;
Hotel/Kasteel Spelderholt B.V.;;;1;;;;;;1;
Hotel-Café-Restaurant 'W.E.E.V.A.';;;1;;;;;;1;
Hotel-Restaurant Roerdalen;;;1;;;;;;1;
Houdstermaatschappij R.E. Bouwer B.V.;;;1;;;;;;1;
Houdt van Eten;;;1;;;;;;1;
how2ask;;;;;1;;;;1;
HR-ICT;;;;;1;;;;1;
HSK Interventie B.V.;;1;;;1;;;;1;
HTM Specials;;;1;;;;;;1;
Huf & Go;;;1;;;;;;1;
Huisaanhuis.nu B.V.;;;1;;;;;;1;
Human Dimensions B.V.;;;;;1;;;;1;
Humphrey's Utrecht B.V.;;;1;;;;;;1;
Humphrey's Zwolle B.V.;;;;;;1;;;1;
Hutten Catering B.V.;;;;;;;;2;2;
Hyphen Projects B.V.;;;;;;;;1;1;
I.K. Training & Ontwikkeling;;;;;1;;;1;1;
ICM Administratie B.V.;;;;;1;;;;1;
ICM Opleidingen & Trainingen B.V.;;;1;;2;;;;2;
ICTRecht B.V.;;;;;1;;;;1;
Idea Concept LLC;;;;;;;;1;1;
idtours Rotterdam;;;;;;1;;;1;
Iedema Projectstoffering Wateringen B.V.;;1;;;;;;;1;
IEP, Instit. voor Eclect. Psychologie B.V.;;;;;1;;;;1;
IIR Ltd;;;;;2;;;;2;
IJsselhotel B.V.;;;;;;;;1;1;
Impact Hub Development Co.LTD;;;;;;;;1;1;
ImpactAbility;;;;;1;;;1;1;
Improven B.V.;4;;;;;;;;4;
Impulsus Personal Quality and Results;;;;;2;;;;2;
In de Driehoek, congres- en vergadercentrum;;;;;;1;;2;2;
In De Ruimte;;;;;;1;;;1;
In de Steigers B.V.;;;;;;1;;;1;
In Duplo, Vereniging voor Mr.drs.-Studenten;;;;1;;;;;1;
In Pace B.V.;;;1;;;;;;1;
Incassobureau Plaggemars;;;;;1;;;;1;
Independent Regulators Group IRG;;;;;2;;;;2;
Indisch Restaurant Garoeda;;;1;;;1;;;1;
Industrieel Klimmen B.V.;;;;;1;;;;1;
Industrielinqs Energie & Water B.V.;;;;;1;;;;1;
Industrielinqs Pers en Platform B.V.;;;;;;;;1;1;
Information Security Academy B.V.;;;;;1;;;;1;
Ingrid van den Bosch Coaching;;;;;1;;;;1;
InkoopAcademie B.V.;;;;;2;;;;2;
Innerland;;;;;1;;;;1;
Innermove Consult., Coach. & Procesbegeleid.;;;;;1;;;;1;
InnoLeaps B.V.;;;;;2;;;;2;
Innovero Software Solutions B.V.;;;;;1;;;;1;
Inside-Out;;;;;1;;;;1;
InsightsWorld B.V.;;;;;2;;;;2;
Institut für Weitwirtschaft;;;;;1;;;;1;
Instituut Scire B.V.;;;;;1;;;;1;
Instituut van Internal Auditors Nederland;;;;;1;;;;1;
Instituut voor Faalkunde;;;;;1;;;;1;
Instituut voor Veiligheid en Milieu B.V.;;;;;1;;;;1;
Instituut Voor Vitaal Ondernemen B.V.;;;;;1;;;;1;
Instock Den Haag;;;1;;;;;;1;
Instock Hospitality B.V.;;;1;;;;;;1;
Int. Inst. Toepasb. Psychol.-Bureau Land B.V.;;;;;1;;;;1;
Int. Knowledge & Networking (IKN) B.V.;;;;;1;;;;1;
International Association of Privacy Professionals IAPP;;;;;1;;;;1;
International Training Centre;;;;;1;;;;1;
Interoffice Kantoorinrichting B.V.;;;1;;;;;;1;
IntoTuition;;;1;;;;;;1;
IoT Partners B.V.;;;;;2;;;;2;
IPMA Certificering B.V.;;;;;1;;;;1;
Ipol B.V.;;;;;2;;;;2;
IPV Opleiding & Training B.V.;;;;;3;;;;3;
iQ-events B.V.;;;;;1;;;;1;
Irodion;;;1;;;;;;1;
ISBW;;;;;2;;;;2;
ISCC;;;;;1;;;;1;
ISCC System GmbH;;;;;1;;;;1;
ISS Integrated Facility Services B.V.;;;2;;;;;;2;
IT Management Group;;;;;3;;;;3;
ItaQ;5;;;;;;;;5;
Ithaka Harbors. Inc.;;;;;1;;;;1;
Iventus;;;;;;;;1;1;
J.A. Korteweg Holding B.V.;;;;;1;;;;1;
Jaarbeurs B.V.;;;1;1;1;1;;3;3;
Jacqueline Wiener;;;;;2;;;;2;
James Watt Leisure B.V.;;;1;;;;;;1;
Jamie's Italian Den Haag;;;1;;;1;;;1;
Jan Peeters;;;;;1;;;;1;
Janskerkhof B.V.;;;1;;;1;;;1;
Jenneke Gunther;;;;;1;;;;1;
Jeu de Boulesbar B.V.;;;1;;;;;;1;
JFB advies;;;1;;;;;;1;
jij bent beter dan je denkt;;;;;1;;;;1;
Jij bent OKÉ;;;;;1;;;;1;
Jobber Arbeidsreïntegratie B.V.;;;;;;;;1;1;
Jochanan;;;;;1;;;;1;
Joe's B.V.;;;;;;1;;;1;
JohMarAng t.h.o.d.n. De Beren Almere;;;;;;1;;;1;
Joop Vos Coaching;;;;;1;;;;1;
Joost Dijker Toegepast Theater;;;;;1;;;;1;
Joytime Groepsactiviteiten;;;;;;1;;;1;
JS Consultancy B.V.;4;;;;;;;;4;
Judith de Bruijn B.V.;;;;;1;;;;1;
Kader Bureau voor Kwaliteitszorg B.V.;;;;;1;;;;1;
KAHOOT! AS;;;;;1;;;;1;
Kamphuis Horen en Zien;;1;;;;;;;1;
Karma Dushi B.V.;;;;;;1;;;1;
Kart en Bowlingcentrum Groningen B.V.;;;1;;;;;;1;
Keiretsu Europe B.V.;;;2;;;;;;2;
Kemeling Taaltraining en Tekstadvies;;;;;2;;;;2;
Kennis- en Adviescentrum Dierplagen;;;;;1;;;;1;
Kick Smeets Fotografie;;;;;1;;;;1;
Kickstart School B.V.;;;;;1;;;;1;
Kies, voor jezelf;;;;;1;;;;1;
Kim Otten;;;;;1;;;;1;
Kimberley Nutbey;;;1;;;;;;1;
King Arthur B.V.;;;;;;1;;;1;
Kiwa Technology;;;;;2;;;;2;
Kiwa Training B.V.;;;;;1;;;;1;
Kjell Lutz;;;;;1;;;;1;
Klarna B.V.;;;1;;;;;;1;
Klaverblad Rechtsbijstand Stichting;;1;;;;;;;1;
Kloosterhof Neer B.V.;;;;;;;;1;1;
Koffie & Lunchlokaal;;;1;;;;;;1;
Koffie- en Eetsalon 't Achterommetje;;;1;;;;;;1;
Koken-op-maat;;;1;;;;;;1;
Kompaan;;;2;;;;;;2;
Kon. Ned. Veren. van Informatieprofessionals;;;1;;;;;;1;
Kon. Verenig. Het Comite van Graanhandelaren;;;;;1;;;;1;
Koninklijk Instituut van Ingenieurs;;;;;1;;;;1;
Koninklijk Nederlands Waternetwerk;;;;;1;;;;1;
Koninklijke Burgers' Zoo;;;;;;2;;;2;
Kontakt der Kontinenten;;;;;2;;;;2;
Korte Poten 1-3 B.V.;;;1;;;;;;1;
Korzo Theater;;;;;1;;;;1;
KPMG Advisory N.V.;;;;;;;;2;2;
Kromkommer B.V.;;;;;;1;;;1;
Kruim Exploitatie Maatschappij (K.E.M.);;;1;;;;;;1;
KSG Trainers & Consultants;;;;;5;;;;5;
K-T Dynamics;;;;;1;;;;1;
La Cantina di David B.V.;;;;;;1;;;1;
La Casa grill & pizza;;;1;;;;;;1;
La Vina B.V.;;;1;;;1;;1;1;
LACHKRACHT! empowerment met een lach;;;1;;;;;;1;
Lagerweij & Partner Consultants B.V.;;;;;1;;;;1;
Landgoed Ekenstein B.V.;;;1;;;;;;1;
Landhotel Diever B.V.;;;1;;;;;;1;
Landwinkel De Heus;;;1;;;;;;1;
Langhenkel-Talenter Academie B.V.;;;;;2;;;;2;
Language Partners;;;;;1;;;;1;
Laudius B.V.;;;;;1;;;;1;
Le Bistroquet B.V.;;;1;;;;;;1;
Le Connaisseur Den Haag B.V.;;;;;;1;;;1;
Le Connaisseur Utrecht B.V.;;;;;;1;;;1;
LeaderQuest;;;;;1;;;;1;
Learn it B.V.;;;;;1;;;;1;
Leaseplan Nederland N.V.;;;;;;;;2;2;
Lectric Opleidingen B.V.;;;;;1;;;;1;
Lectric Trainingen B.V.;;;;;2;;;;2;
LEEF Tapas B.V.;;;1;;;;;;1;
Leeuwendaal Advies B.V.;;;;;4;;;;4;
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1;
lekkerbootjevaren.nl;;;;;1;;;;1;
Let's Cook Together;;;1;;;;;;1;
Lexxion Publisher;;;;;1;;;;1;
Lifemaxx B.V.;;1;;;;;;;1;
Liff Assen B.V.;;;1;;;1;;;1;
Lijm & Cultuur B.V.;;;;;2;2;;;3;
Linedancing.nl;;;1;;;;;;1;
Linnartz van Binsbergen Opleidingen Gr. B.V.;;;;;1;;;;1;
Lisanne Bommer Utrecht B.V.;;;;;;1;;;1;
Live your soul purpose;;;;;1;;;;1;
Locatie Museumpark;;;;;1;;;;1;
Loetje Zuidas B.V.;;;;;;1;;;1;
Loft to Meet;;;;;;;;1;1;
Logeion;;;;;1;;;1;1;
Loo Van Eck B.V.;;;;;1;;;;1;
Loof training en advies B.V.;1;;;;2;;;;2;
LSR B.V.;;;;;1;;;;1;
LTP Advies B.V.;;;;1;1;;;;1;
LTP Holding B.V.;;;;;1;;;;1;
Luceo et Lateo;;;;;1;;;;1;
Lucom Benelux B.V.;;;;;1;;;;1;
Lugdunum Hotel B.V.;;;;;2;;;;2;
Lumage Managing Customer Relations B.V.;;;;;1;;;;1;
Lumen Events;;;;;;;;1;1;
Luuk Meijssen;;;1;;;;;;1;
Lysias Advies B.V.;;;;;1;;;;1;
M.A.M.T. de Bont;;;;;1;;;;1;
M.C. de Witte Consultancy B.V.;;;;;1;;;;1;
M.C. den Boer Organisatie Ontwikkeling;;;;;1;;;;1;
M.van der Meer Coach. & Loopb. Begeleid.;;;;;1;;;;1;
MAAN consultancy;;;;2;;;;;2;
Maarsingh & Van Steijn Groningen B.V.;;1;;;;;;;1;
Maatschap De Meyboom;;;1;;;;;;1;
MABUTEX Bedrijfskleding;;;1;;;;;;1;
Madurodam B.V.;;;1;;;;;;1;
Mainnovation B.V.;;;;;;;;1;1;
Mainpress B.V.;;;1;;1;1;;;2;
Malle Jan Leiden B.V.;;;;;1;;;;1;
Manag. Training Centre Outdoor Europe B.V.;;1;;;;;;;1;
Management Producties B.V.;;;;;1;;;1;1;
Marc Woods;;;1;;;;;;1;
Mareconsult;;1;;;;;;;1;
Maria Margarida Soares de Albergaria Ambar;;;;;;;;1;1;
Marianne Kroezen;;;;;1;;;;1;
Marieke de Vlaam;;;;;1;;;;1;
Mariënburggroep B.V.;;;;;1;;;;1;
Maritiem Museum Rotterdam;;;;;;1;;;1;
MARITIM Jolie Ville Golf & Resort;;;;;;;;2;2;
Marloes Fotografie en Vormgeving;;;1;;;;;;1;
Marosel B.V.;;;;1;7;;;;7;
Martini Advocaten & Mediators;;;;;1;;;;1;
Master in Event Management B.V.;;;;;1;;;;1;
Master it Training B.V.;;;;;1;;;;1;
Masterclass Nieuwe Zorg 3.0 B.V.;;;;;1;;;;1;
Masteryourlife;;;;;1;;;;1;
Mavim B.V.;;;;;2;;;;2;
Maximes Denneweg 10B B.V.;;;1;;;;;;1;
MaxPrevent;;1;;;;;;;1;
MAZO brasserie;;;1;;;;;;1;
MDF Training en Consultancy B.V.;;;;;1;;;;1;
MediaTrend B.V.;;;;1;;;;;1;
Mediavrouw;;;;;2;;;;2;
Medisch Expertise en Advies Centrum B.V.;;1;;;;;;;1;
Meelfabriek Zijlstroom B.V.;;;1;;;;;;1;
meereffect;;;;;1;;;;1;
Meerweg Exploitatie Haren B.V.;;;1;;;;;;1;
Meerwold B.V.;;;1;;;;;;1;
MeesterlijkLeven;;;;;1;;;;1;
MeetIn B.V.;;;;;1;;;;1;
Meetingselect B.V.;;;;;;;;2;2;
Meeuw & Roos;;;;;1;;;;1;
Mei Zakelijke Bijeenkomsten;;;;;1;;;;1;
Mérène Rouma Coaching;;;;;1;;;;1;
Merlijn B.V.;;;;;1;;;;1;
Milas Development;;;;;1;;;;1;
Millers;;;1;;;1;;1;1;
Mindcampus B.V.;;;;;1;;;;1;
Mindspace Benelux B.V.;;;1;;;;;;1;
Mindstep Psychologie;;1;;;;;;;1;
Mindstorm Lab B.V.;;;1;;;;;;1;
MingleMush B.V.;;;1;;;;;;1;
Mobile World Congress;;;1;;;;;;1;
Mobility Mixx B.V.;;;;;;;;3;3;
MOCuitgevers B.V.;;;;;1;;;;1;
Moduli Print B.V.;;;1;;;;;;1;
Momo Consultancy en Interimmanagement B.V.;;;;;2;;;;2;
Monsterevents;;;1;;;;;;1;
MoodTruck;;;;;1;;;;1;
Mooie Boules Amsterdam B.V.;;;1;;;1;;;1;
Mooie Boules Rotterdam;;;1;;;;;;1;
More Balls Than Most B.V.;;;;;;1;;;1;
Mostert Consult. Creativity/Innov. Management;;;;;2;;;;2;
Motel Assen B.V.;;;;;;1;;;1;
Motifade B.V.;;;;;1;;;;1;
Motivatio;;;;;2;;;1;2;
Motus B.V.;;;1;;;;;;1;
Mouser Electronics;;;;;1;;;;1;
Mr Wok Hardenberg B.V.;;;1;;;;;;1;
Mr. Finch B.V.;;;1;;;;;;1;
Multigift Relatiegeschenken B.V.;1;;;;;;;;1;
Munckhof Business Travel;;;;;;;;4;4;
Munckhof Groep B.V.;;;;;;;;1;1;
Munckhof Regie;;;;;;;;1;1;
Munckhof Reizen B.V.;;;1;;1;1;;2;2;
Murphy's Law;;;1;;;;;;1;
Museum Catering Den Haag B.V.;;;2;;1;;;;2;
Museum Escher in het Paleis;;;1;;;;;;1;
MVP Trainingen B.V.;;;;;1;;;;1;
MW Bedrijfskleding B.V.;;;1;;;;;;1;
N.B.C. Exploitatie B.V.;;;;;1;;;;1;
Nationaal Gevangenismuseum;;;;;;1;;;1;
natureXP;;;1;;;;;;1;
Navigatiestemmen.nl;;;1;;;;;;1;
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2;
NCOI Techniek Trainingen B.V.;;;;;1;;;;1;
NCOI Trainingen B.V.;;;;;2;;;;2;
Ned. Financ.-Mij. v. Ontwikkelingslanden N.V.;;;;;1;;;;1;
Ned. Gen.schap van Funct. Gegevensbescherming;;;;;1;;;;1;
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;1;;;;1;
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;;;;1;;;1;1;
Nederl. techn. veren. voor inst. in geb. TVVL;;;;;2;;;;2;
Nederl. Ver. Van Participatiemaatschappijen;;;;;1;;;;1;
Nederlands Architectuur Forum;;;;;1;;;;1;
Nederlands Debat Instituut Holding B.V.;;;;;1;;;1;1;
Nederlands Genootschap voor Sociale Zekerheid;;;;;1;;;;1;
Nederlandse Beroepsver. van Prof. Organizers;;;;;1;;;;1;
Nederlandse Orde van Register EDP-Auditors;;;;;;;;;;
Nederlandse School voor Openbaar Bestuur B.V.;;;;;3;;;;3;
Nederlandse Vereniging voor Energierecht;;;;;1;;;;1;
Nederlandse Vereniging voor Europees Recht;;;;;1;;;;1;
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;;;1;;;;1;
Nestor;;;;;1;;;;1;
Netherlands Maritime Technology B.V.;;;;;1;;;;1;
NEVERREST;;;;;;1;;;1;
Nevi B.V.;;;;;3;;;;3;
New Babylon Meeting Center B.V.;;;1;;;;;1;2;
NewForesight Consultancy B.V.;;;;;1;;;;1;
NH Den Haag;;;1;;;;;;1;
NIBE-SVV Opleidingen B.V.;;;;;1;;;;1;
NIBE-SVV Trainingen B.V.;;;;;1;;;;1;
Nieuw Allardsoog;;;1;;;;;;1;
Nieuw Bestuur B.V.;;;;;;;;1;1;
Nieuw Engelhard B.V.;;;;;;1;;;1;
NIMO Academy B.V.;;;;;1;;;;1;
Nive, Nederlandse Vereniging voor Management;;;;;1;;;;1;
Nivoo Opleidingen B.V.;;;;;1;;;;1;
NL Oracle User Group;;;;;1;;;;1;
NLUUG;;;;;1;;;;1;
Noorderlink;;;;;1;;;;1;
Nordseeheilbad Borkum GmbH;;;;;;;;1;1;
Novifarm V.O.F.;;;1;;;;;;1;
Nox People B.V.;;;;1;;;;;1;
NPM, Netherl. Platform for inclusive Finance;;;;;;;;1;1;
NRC Media;;;;;1;;;1;1;
NS Reizigers B.V.;;;;;;;;7;7;
Nsob;;;;;2;;;;2;
NTI B.V.;;;;;1;;;;1;
Nur Culinair;;;;;;1;;;1;
NWC Events B.V.;;;;;;;;2;2;
Nyenrode Services B.V.;;;;;2;;;;2;
O&i management consultants Noord NL B.V.;2;;;;;;;;2;
Oasen N.V.;;;;;1;;;;1;
Odette van Son;;;;;1;;;;1;
Odyssee B.V.;;;;;2;;;;2;
OdysSee Coaching;;;;;1;;;;1;
Odyssey Hotel Breda B.V.;;;;;;1;;;1;
OECD;;;;;1;;;;1;
Onemeeting.com B.V.;;;;;;1;;2;2;
OnlyHuman Groep B.V.;;;;;;;;1;1;
Onsight Solutions B.V.;;;;;1;;;;1;
Ontdek Autisme;;;;;1;;;;1;
Oostduinhaghe Hotel B.V.;;;1;;;;;;1;
Op Noord B.V.;;;1;;;;;;1;
Opdelijn.nl;;;;;1;;;;1;
Operation Exit;;;;;;1;;;1;
OPP Limited;;;;;1;;;;1;
Optelec Nederland B.V.;;;;;1;;;;1;
Orde van organisatiekundigen en -adviseurs;;;;;1;;;;1;
Ordina Beheer & Outsourcing;3;;;;;;;;3;
Ordina Nederland B.V.;5;;;;;;;;5;
Oscar David Consultancy B.V.;;;;;1;;;;1;
Oscar Wildschut Training en Coaching;;;;;1;;;;1;
OSR Juridische Opleidingen B.V.;;;;;1;;;;1;
Oudaen B.V.;;;1;;;1;;;2;
Oudshoorn Bloemen;;;1;;;;;;1;
Ouwekamp, ons eetcafé B.V.;;;;;1;;;;1;
P.C. Tamse t.h.o.d.n. New York Pizza Delivery;;;1;;;;;;1;
Pakhuis Leiden B.V.;;;;;;1;;;1;
Palmette B.V.;;;1;;;;;;1;
Pannenk.rest.-Crêperie Dubbel-Op De Kemphaan;;;;;;1;;;1;
Pannenkoekenboot B.V.;;;;;;1;;;1;
Partyschip de Berenboot;;;;;;1;;;1;
Pastoor B.V.;;;;;3;;;;3;
Patisserie van Gent;;;1;;;;;;1;
paulcoumans;;;;;1;;;;1;
Pauwstraat B.V.;;;;;;1;;;1;
PBLQ B.V.;;;;;4;;;;4;
Pegasus Events;;;;;;1;;;1;
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;1;1;;;1;
PernU B.V.;2;;;;;;;;2;
Personal Talent;;1;;;1;;;;1;
Personeelsvereniging CeBuSta-Den Haag;;;1;;;;;;1;
Personeelsvereniging 'De Til';;;1;;;1;;;1;
Personeelsvereniging Remunj;;;;;;1;;;1;
Personeelsvereniging T4all;;;1;;;;;;1;
Phaos Advies B.V.;;;;;1;;;;1;
Phoenix Opleidingen;;;;;1;;;;1;
Phonsawan B.V.;;;;;;1;;;1;
Piatto B.V.;;;;;;1;;;1;
PiCompany B.V.;;;;1;;;;;1;
Pier 32;;;1;;;;;;1;
PingPong Design B.V.;;;;;2;;;;2;
Pinkcube B.V.;;;1;;;;;;1;
Pino Evenementen & Congressen B.V.;;;;;1;;;;1;
Pioen Consult;;;;;2;;;;2;
Pitch en Putt Golf Bussloo;;;;;;1;;;1;
Pizzeria Verlengde Hereweg B.V.;;;;;;1;;;1;
Planon B.V.;;;;;1;;;;1;
Plata Fundament B.V.;;;;;1;;;;1;
Plein 19 Den Haag B.V.;;;1;;;;;;1;
Plein 20 Den Haag B.V.;;;1;;;;;;1;
Plein 9 A B.V.;;;1;;;1;;;1;
Plezier en Spel;;;1;;;;;;1;
Ploni Nieboer;;;;;1;;;;1;
Pluc B.V.;;;;;1;;;;1;
Pluimen B.V.;;;1;;;;;;1;
Pluut Interaction B.V.;;;;;1;;;;1;
Poldersport B.V.;;;;;;1;;;1;
Policy Tracker;;;;;1;;;;1;
Polisophia;;;;;;1;;;1;
Pop-up Fun B.V.;;;;;;1;;;1;
Posidé;;;;;1;;;;1;
Postillion Hotel Amersfoort Veluwemeer;;;2;;;;;;2;
Postwagen Tolbert B.V.;;;1;;;1;;;1;
Praktijk voor Nieuwe Landbouw;;;;;1;;;;1;
praktijk360graden;;;;;1;;;;1;
Pricewaterhousecoopers Advisory N.V.;;;;2;;;;;2;
Primera Den Haag;;;2;;;;;;2;
Prinsenhof Groningen;;;1;;;;;;1;
Privacy Company B.V.;;;1;;;;;;1;
Pro Facto B.V.;;;;;1;;;;1;
Process Systems Engineering NL';;;;;1;;;;1;
Project 13;;;;;1;;;;1;
ProMedia MBM B.V.;;;;;1;;;;1;
ProMedia NT B.V.;;;;;1;;;;1;
Protinus IT B.V.;1;1;;;1;;;;1;
Protocolbureau;;;;;1;;;;1;
Prowareness WeOn Academy B.V.;;;;;1;;;;1;
Psycholoogpraktijk Herfkens;;;;;1;;;;1;
Psyon B.V.;;2;;;;;;;2;
Publiec B.V.;;;;;1;;;;1;
Punt 8 Communicatie;;;;;1;;;;1;
PURE Talent;;;;;1;;;;1;
Puur Amsterdam;;;1;;1;1;;;1;
Puur Utrecht;;;1;;;;;;1;
PvIB: Platform voor informatiebeveiliging;;;;;1;;;;1;
Qidos B.V.;;1;;;;;;;1;
Qipeople B.V.;;;;;1;;;;1;
Q-Park Nederland;;;;;;;;1;1;
Qpr Costcontrol B.V.;;;;;1;;;;1;
Quadrant Advies;;;;;1;;;;1;
Quint;;;;;3;;;;3;
Quintel Intelligence B.V.;;;1;;;;;;1;
QuoVadis Trustlink B.V.;;;;1;;;;;1;
R.B. van Baaren Holding B.V.;;;;;1;;;;1;
R@W Experts - Resilience at Work;;;;;1;;;;1;
Radiological Society of North America (RSNA);;;;;;;;1;1;
Rahandusministeerium;;;;;;;;2;2;
Railforum Nederland;;;;;1;;;;1;
RamonHoogerhuis.nl;;;1;;;;;;1;
RB&W;;;;;1;;;;1;
Real-life Xcape;;;;;;1;;;1;
Rebelpoint;;;;;;1;;;1;
Rebelz op de Binckhorst B.V.;;;1;;;;;;1;
Rederij Brands;;;1;;;;;;1;
RedRox;;;1;;;;;;1;
Reed Business Information Ltd;;;;;;;;1;1;
Regina Bloemsierkunst;;;1;;;;;;1;
Regus Amsterdam B.V.;;;;;;;;1;1;
Reinoud van Rooij Trainingen;;;;;1;;;;1;
Rendiz Horeca B.V.;;;;;;1;;;1;
Restaurant & Catering Mennega;;;1;;;;;;1;
Restaurant Assen B.V.;;;1;;;1;;;1;
Restaurant De Basiliek B.V.;;;1;;;1;;;1;
Restaurant de Kade;;;1;;;;;;1;
Restaurant De Pauw B.V.;;;1;;;;;;1;
Restaurant De Zakkendrager B.V.;;;;;;1;;1;1;
Restaurant Fouquet;;;1;;;;;;1;
Restaurant La Viña;;;1;;;;;;1;
Restaurant LaSalle;;;1;;;;;;1;
Restaurant Lloyd's V.O.F.;;;;;;1;;;1;
Restaurant Onz;;;2;;;1;;;2;
Restaurant Ruig;;;;;;1;;;1;
Restaurant Saffraan;;;1;;;;;;1;
Restaurant Sarinande;;;1;;;;;;1;
Restaurant 'Savarin';;;1;;;;;;1;
Restaurant Setare;;;;;;1;;;1;
Rethink Events Ltd.;;;;;;;;1;1;
Rietland';;;1;;;;;;1;
Robko Service Management B.V.;;;;;1;;;;1;
Roelien Schrijver;;;;;;1;;;1;
Rofra Sportieve Arrangementen B.V.;;;;;;1;;;1;
ROHDE & GRAHL B.V.;;1;;;;;;;1;
Roland B.V.;;;;;;1;;;1;
