Staatscourant indeling,Tariefclustering,Omschrijving,Eenheid,Tarief
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 20–24 aspecten voertuig licht,STK,"150,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 25 of meer aspecten voertuig licht,STK,"180,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring minder dan 5 aspecten voertuig zwaar,STK,"30,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 5–9 aspecten voertuig zwaar,STK,"60,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 10–14 aspecten voertuig zwaar,STK,"90,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 15–19 aspecten voertuig zwaar,STK,"120,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 20–24 aspecten voertuig zwaar,STK,"150,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 25 of meer aspecten voertuig zwaar,STK,"180,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring minder dan 5 aspecten voertuig LRV,STK,"30,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 5–9 aspecten voertuig LRV,STK,"60,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 10–14 aspecten voertuig LRV,STK,"90,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 15–19 aspecten voertuig LRV,STK,"120,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 20–24 aspecten voertuig LRV,STK,"150,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Beoordeling goedkeuring 25 of meer aspecten voertuig LRV,STK,"180,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Her inschrijving voertuig licht,STK,"70,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Her inschrijving voertuig zwaar en LRV,STK,"146,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Schadekeuring voertuig licht,STK,"47,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Kentekenonderzoeken ten behoeve van inschrijving,Schadekeuring voertuig zwaar en LRV,STK,"116,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,Vrijwillige APK op eigen verzoek voertuig licht (bij identificatie),STK,"60,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,Vervangend keuringsbewijs,STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,Periodieke keuring voertuig licht,STK,"67,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,Periodieke keuring voertuig zwaar,STK,"128,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,"Periodieke keuring bus, < 20 zitplaatsen",STK,"80,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,"Periodieke keuring bus, 20 tot en met 41 zitplaatsen",STK,"146,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Periodieke keuringen,Periodieke keuring bus > 41 zitplaatsen,STK,"190,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,ADR-document,STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,ADR-certificaat,STK,"154,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,Afgifte CEOC-verklaring van ADR-tank(voertuig),STK,"154,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,Voorlopig ADR-keuringsdocument (12 weken geldig),STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,Afgifte individueel ADR inspectierapport van periodieke dichtheidsbeproeving bij een erkend bedrijf,STK,"125,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,"Afgifte individueel vervangend document in verband met vermissing, onleesbaarheid of een vol document",STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,Periodieke Keuring ADR-voertuig licht,STK,"85,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,Periodieke Keuring ADR-voertuig zwaar,STK,"151,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,ADR voertuigen,Periodieke keuring hitte werende bekleding LPG tanks,STK,"73,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,Keuring van een vaartuig voor het vervoer van levende dieren,Uur,"148,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,Keuring van een wegvoertuig voor her vervoer van levende dieren naar aanleiding van een schorsing,STK,"33,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,Keuring vervoer pluimvee en pelsdieren (basis),STK,"96,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,Vervangend certificaat voor het vervoer van levende dieren,STK,"16,50"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,"Basiskeuring vervoer levende dieren, voertuig licht",STK,"96,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,Keuring van een wegvoertuig voor het vervoer van levende dieren,STK,"96,00"
BIJLAGE II. KEURINGEN EN ONDERZOEKEN INDIVIDUELE VOERTUIGEN,Dierenvervoer,"Keuring vervoer vee, categorie: eenhoevig, geiten, runderen, schapen en varkens, voertuig licht en zwaar (uitgebreid)",STK,"180,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Reiskosten per auto tot en met 225 km,Autoreis,"122,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Reiskosten per auto van 225 km of meer,Autoreis,"342,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Reiskosten andere wijze van vervoer,Persoon,Daadwerkelijke kosten
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Reisuren,Uur,"74,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Verblijfskosten,Persoon,Daadwerkelijke kosten
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Administratiekosten,STK,"74,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Waarmerken van documenten,STK,"14,50"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Actualiseren typegoedkeuring nationaal getrokken voertuig abonnement per type,STK,"170,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Actualiseren typegoedkeuring nationaal getrokken voertuig abonnement per variant,STK,"42,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Actualiseren typegoedkeuring nationaal getrokken voertuig abonnement per type korting,STK,"56,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Algemeen,Actualiseren typegoedkeuring nationaal getrokken voertuig abonnement per variant korting,STK,"18,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Beoordeling ten behoeve correctie/ aanvulling /revisie van een certificaat,STK,"150,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Beoordeling ten behoeve correctie/ aanvulling /revisie van een certificaat,W>1,"74,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Beoordeling t.b.v. aanvulling / correctie / revisie van een certificaat (klant specifiek),STK,"74,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Verklaring flexibiliteitsregeling,STK,"338,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Beoordeling door TD uitgevoerd COP bezoek,STK,"865,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Aanvraag aanwijzing technische dienst,Uur,Artikel 3–5
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Instandhouding COP Europa,STK,"841,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Instandhouding COP overige landen,STK,"1.236,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Jaarlijkse instandhouding TD klein,STK,"3.499,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Jaarlijkse instandhouding TD groot,STK,"5.832,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Typegoedkeuringsverklaring,STK,"355,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Typegoedkeuringsverklaring aanvulling/correctie aangeleverd,STK,"287,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Europese Individuele Goedkeuring,STK,"360,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Europese Individuele Goedkeuring aanvulling/correctie,STK,"283,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Nieuwe HDVCO2 licentie,STK,"169,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Toezicht typegoedkeuringen en individuele goedkeuringen,Extensie / Correctie HDVCO2 licentie,STK,"134,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,WMI code,STK,"213,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten, (T)GK en verklaringen (nationaal & EG / ECE) aanvulling / correctie aangeleverd",W1 / Wel V,"287,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten, (T)GK en verklaringen (nationaal & EG / ECE) nieuw aangeleverd",Wel V,"360,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten Cybersecurity / ALKS, (T)GK en verklaringen (nationaal & EG / ECE) nieuw aangeleverd",W1 / Wel V,"2.311,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten Cybersecurity / ALKS, (T)GK en verklaringen (nationaal & EG / ECE) aanvulling / correctie aangeleverd",Wel V,"1.842,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten Software Updates, (T)GK en verklaringen (nationaal & EG / ECE) nieuw aangeleverd",W1 / Wel V,"1.156,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten Software Updates, (T)GK en verklaringen (nationaal & EG / ECE) aanvulling / correctie aangeleverd",Wel V,"921,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Certificaten, T(GK) en verklaringen (nationaal & EG / ECE) administratieve wijziging",STK,"78,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Certificaten verlichting combi unit >1,W>1,"111,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Goedkeuring volgens Wet Personenvervoer 2000 (Bus, Wegtrein, Taxi, OV-auto)",STK,"156,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,"Goedkeuring voertuig voor speciaal doeleinde (ambulance, voertuig ingericht voor gehandicapte)",STK,"156,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Verklaring van overeenstemming,STK,"169,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Jaarlijkse kosten typegoedkeuring Taiwan,Fabrikant,"3.225,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,CEMT verklaring,STK,"17,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Volledigheid dossiercontrole en check testresultaten typegoedkeuring EG voertuig (eenvoudig),STK,"651,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Volledigheid dossiercontrole en check testresultaten typegoedkeuring EG voertuig aanvulling/correctie (eenvoudig),STK,"326,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Volledigheid dossiercontrole en check testresultaten typegoedkeuring EG voertuig (complex),STK,"1.302,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Typegoedkeuringen en individuele goedkeuringen,Volledigheid dossiercontrole en check testresultaten typegoedkeuring EG voertuig aanvulling/correctie (complex),STK,"651,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Aanvraag typegoedkeuring,Uur,Artikel 3c en 17
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Instandhouding COP,STK,"841,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Periodiek toezicht op de typegoedkeuring,Uur,Artikel 3c en 17
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Steekproefsgewijs toezicht op de typegoedkeuring,Uur,Artikel 3c en 17
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Afgifte certificaat ATP/VWS koelvoertuig,STK,"154,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Typegoedkeuring ATP koelvoertuig afgifte certificaat voorlopig,STK,"16,50"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Typegoedkeuring ATP/VWA/koelvoertuig afgifte certificaat wijziging,STK <=5,"111,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Nationale typegoedkeuring,Typegoedkeuring ATP/VWA/koelvoertuig afgifte certificaat wijziging,STK >5,"54,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",ADR,Typegoedkeuring ADR,STK,"378,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",ADR,Wijziging/aanvulling van ADR typegoedkeuring,STK,"233,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",ADR,Wijziging ADR-certificaat,Uur,"108,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Binnenvaartregeling (tachografen Rijnvaart),Indien de keuring plaatsvindt door het beproevingslaboratorium van de RDW te Lelystad,Uur,"148,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Binnenvaartregeling (tachografen Rijnvaart),Indien de keuring plaatsvindt op de door de aanvrager gewenste locatie,Uur,"148,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Aanwijzing Bromfietsen (artikel 20b Wet),Beoordeling aanwijzing bromfietsen,Uur,Artikel 3c en 17
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Aanwijzing Bromfietsen (artikel 20b Wet),Jaarlijkse evaluatie Aanwijzing Bromfiets,STK,"841,00"
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Aanwijzing Bromfietsen (artikel 20b Wet),Periodiek toezicht op de aanwijzing,Uur,Artikel 3c en 17
"BIJLAGE III. TYPEGOEDKEURINGEN, INDIVIDUELE GOEDKEURINGEN EN AANWIJZING BIJZONDERE BROMFIETSEN, INCLUSIEF TOEZICHT",Aanwijzing Bromfietsen (artikel 20b Wet),Steekproefsgewijs toezicht,Uur,Artikel 3c en 17
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik testbaan,Uur,"131,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik baan parkeerremhelling,Uur,"131,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik geluidmeetvlakte baan,Uur,"131,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik geluidmeetvlakte apparatuur,Test / keuring,"62,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik dynamische vlakte,Uur,"398,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik deelstrook dynamische vlakte,Uur,"102,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik stabiliteitsvlakte,Uur,"181,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik stabiliteitsvlakte segment gladde strook,Uur,"181,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik cirkelsegment stabiliteitsvlakte,Uur,"181,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik stabiliteitsvlakte lichte voertuigen,Uur,"159,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik TCL baan aquaplaning,Uur,"184,00"
BIJLAGE IV. GEBRUIK RDW-TESTCENTRUM (LELYSTAD),RDW Testcentrum,Gebruik ABS-baan,Uur,"346,00"
