Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9303 - Laboratoriuminstrumenten;Eindtotaal
Autorecycling A. Kossen;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AutoRent Groep B.V.;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
Autorijschool Bruinsma B.V.;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autorijschool De Weerd B.V.;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autorijschool Twin;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autoschade J. Niesing B.V.;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Autoschade Rijnders Amersfoort B.V.;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;3
Autosloopbedrijf 'De Toekomst';;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autosloperij Van den Bliek V.O.F.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autotaalglas Nederland B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autoverhuur Bultman B.V.;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
AV Facility;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avans Hogeschool B.V.;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Avans Hogeschool BV;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avans Hogeschool MB B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avant Internet B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avaya Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;5;;;4;;;;;;;;;;;;;;;6
AVE Orthopedische Klinieken B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avensus Nederland B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aventics B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Avéro Achmea;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Averox Consulting;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avex B.V.;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aviall, Inc.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Aviation War Books;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Aviocom B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Aviquipo Holland B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
AVNed;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Avpp Audio Visual Production Partner;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AVROTROS;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AVT Benelux B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AWL-Techniek B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AWVN (Algemene Werkg.ver. Nederland);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Axians;;;;;;;;;;;;;;;;;;;;;4;;;4;2;;1;;;;;;;;;;;;;5
Axians Performance Solutions B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Axiell ALM Netherlands B.V.;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AXIS & Stuifmeel B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Axitraxi B.V.;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Axxicom Airport Caddy B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
AyniSpirit;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Azbil Telstar Benelux B.V.;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;2
Azerty;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2
Aziatisch Restaurant Golden Wok Palace;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
B & E Metaal B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B & S Paul Global B.V.;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
B & V Bedrijfshulpverlening B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B&G Catering Service;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B. Braun Medical B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
B.&V. Media B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.G.L. & Partners B.V.;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
B.L. Mulder B.V.;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Adviesbur. Mach. en Werktuigen 'A.M.W.';;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
B.V. Algemeen Nederlands Persbureau ANP;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2
B.V. Algemeen Verpakkings Centrum A.V.C.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Eerste Hulp Dichtbij!;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Electro Centraal E.C.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Etap;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Hotel Bel Air Den Haag;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. IJzerleeuw;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Indumij Motoren;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
B.V. Korthofah;;;;;;;;;;;1;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1
B.V. Leerdam Crystal;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Metaalwarenfabriek Umefa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.V. Motor-Parts Etten-Leur;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Natuurschoonlandgoed De Salentein;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Ned. Instrumenten Compagnie 'Nedinsco';;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
B.V. Nederlandse Optische Industrie E.N.O.T.;;;4;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4
B.V. Nederlandse Plastic Industrie Tzummarum;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
B.V. Princeville Exploitatie;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
B.V. Rotterdamse Gar.- & Autom.Mij. 'Rogam';;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Sport;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
B.V. Techn. Hand.ond. W.F. Schnabel & Co.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Technisch Bureau Uittenbogaart;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
B.V. Tilb. Uniformkleermakerij;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Twentsche Kabelfabriek;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
B.V. Uitgeverij De Bataafsche Leeuw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
B.V. Utrechts Auto Bedrijf U.A.B.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
B.V.Betsema & Zonen;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
B.V.D.A. International B.V.;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2
B+B Vakmedianet B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B3 Talent Development;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B55;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baars Horeca B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babello Entertainment;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BaBo Dienstverlening B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babypark Kesteren;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baco B.V.;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bacoadviesbureau;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Badges Unlimited;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Badhotel Scheveningen V.O.F.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bafa Doetinchem B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bagijn Tools B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Allard Jacobs B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Bedrijfswagens Scherpenzeel;;;;;;;;;;;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;2
Bakker Brandstoffen;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Geluidsverhuur;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Repair B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bakker Sliedrecht Electro Industrie B.V.;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
Bakkerij Bergman;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakx & Wagenaar B.V.;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Balans & Impuls B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ballaró Ristorante Italiano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ballorig Den Helder B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Balsportdirect.nl B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BAM Bouw en Techniek bv;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Bandorama B.V.;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Bandwerk;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bandzoeker.nl;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bank Text & Research;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Banketbakkerij Boheemen;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Jan de Groot;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Maison Pierre;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Nijstad;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Verspeek;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BAP & van den Brule Bloemisten B.V.;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bar Restaurant Pavlov B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barista Cafe Njoy;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Barlucca;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barplanet;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barrera B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bart Bloemwerken;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bart Smit;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bart Strijbosch B.V.;;;2;1;1;3;2;;;;5;1;;;;;7;2;;1;1;;;;;2;;;;;;;;;;1;;;;7
Barth Slijkhuis B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2
Bas Autowas;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BAS Groep B.V.;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Base Media;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Basecamp;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Basiliek Veenendaal B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Basko Healthcare;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baspartout;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bastiaansen Wonen;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bastion Hotel Breda B.V.;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Bataviakoor Lelystad;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baton Music;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bauerfeind Benelux B.V.;;;3;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;;;;;;;;;1;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;5
Bavak Beveiligingsgroep B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bavaria N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Bax Verkeersscholen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bax-shop.nl B.V.;;;1;;;1;;;;;2;1;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;2
BBN Bouwmaterialen B.V.;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
BBS Beamerbedrijf Spierenburg B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BCB;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BCC (Elektro-Speciaalzaken) B.V.;;;;1;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BCD Travel Nederland B.V.;;;;1;;5;1;;9;;1;1;;;8;;;2;;1;;;;;;;;;;;;;;;;;;;;10
Bclean2.com Nederland B.V.;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;1
BCM Academy;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
BCM Publishing B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
BDUmedia;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BE Kerkhof;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Beach Inn B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beachclub De Karavaan;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beat It B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;3
Beat-it.nl;;;;;;;;;;;;;;;;;;;;;4;2;1;;;;;;;;;;;;;;;;;4
Beauty V.O.F.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beauty XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Beauvert kunstflora;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bechtle direct B.V.;;;2;;;;;;;;1;;;;;;;;;;6;3;;1;2;2;;;;;;;;;;;;;;6
Beckman Coulter Nederland B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Becton Dickinson;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
BeDamCo B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
BeDi Culinair;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bedrijfswagen Service Friesland B.V.;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
BeeDirect B.V.;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Beeldengieterij TENAX;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beeldspraak;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bee-Line B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beerens Intercover B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BeeTronics B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bega International B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
BeGlobal Relatiegeschenken;;;;1;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;2
Beheerder Brandmeld B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bek;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bek & Verburg B.V.;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beker- en Biljarthuis Lambregts V.O.F.;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BekkerLaGram Waalwijk B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Beko Bakkerij Techniek B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beko Technologies B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beko-Slijpinrichting;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beks Advocaten B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Beleef Eindhoven;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belgraver B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Belimed B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Belimo Servomotoren B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belko Connection Technology B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bell Helicopter Supply Center B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bellezza Nuova Lijsten & Restauratie Atelier;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bellshape B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belpa B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belship B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BEMA Kunststoffen B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Bemiddelings- en Adviesburo Pammy Boltini;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bemoeienis met Zorg;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ben Box Metaal B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ben de Wild Productions B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ben Eilers Tenten B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bendertechniek B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Benegas;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Benelux NDT & Inspection Supplies B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bennie Beer B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bentley Systems Netherlands B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Benzine Super Markt Rijckholt V.O.F.;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Berdex Carross.- en Handelsonderneming B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berends Bloemsierkunst;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berends Groencentrum;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berendsen Textiel Service B.V.;;;1;;;;;;;;6;;;;;;;2;;;;;;;;;;;4;;;;;;;;;;;6
Berenschot B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Berg Chauffeurs Nascholing;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berg en Berg Amsterdam B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bergh Brandkasten B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berghauser Pont Academy B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;;;;;;;;;2;;;;3;;;;;2;;;;;;;;;;;;;;;;;;;;4
Bergnet;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berk Music Entertainment;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berko Noord B.V.;;;;;;;;;;;5;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;5
Berndsen Optiek en Foto;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beroepsorganisatie Nederlandse Ontwerpers;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;1;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2
Berry's Bloemenshop;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berson UV-techniek;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Bert de Leeuw Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Bert Hellinger Instituut Nederland;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bert van Dalen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bert-Jan Kosters Muziek;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bertjan Van der Heijden;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bert's Animal Verhuur;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Besbo Automaterialen B.V.;;;;;;;;;;;4;;1;;1;;;;;2;;;;;;;;;;;;;;;;;;;;4
Besseling Koeriersdienst B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Besseling Onderhoud B.V.;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;2
