Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;3-Uitbesteden
Imares;;;6;;;6
IMI Instituut Voor Maatschappelijke Innovatie;;;4;;;4
Impactive;;;2;;;2
Impeccable Communicatie Evenementen;;;1;;;1
Improvement Centre B.V.;;;4;;;4
In 't Veld Consult;;;1;;;1
In60seconds;;;1;;;1
Incotec;;;1;;;1
Incredible Crowds (Battle of Concepts);;;1;;;1
Indema;;;2;;;2
Indivirtual;;;2;;;2
Industry Insights B.V.;;;2;;;2
Infinitus Energy Solutions;;;2;;;2
Information Dynamics;;;1;;;1
ING Bank;;;1;;;1
Inge Diepman;;;1;;;1
Ingrid Brons;;;1;;;1
Inholland Academy;;;3;;;3
Innopay;;;2;;;2
Innovatie en Duurzaamheid;;;2;;;2
Innovero Software Solutions (incl. FormDesk);;;1;;;1
Inscene Company;;;1;;;1
Inspearit (incl. CIBIT);;;1;;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;6;;;6
Instituut Voor Agrarisch Recht;;;3;;;3
Insyde;;;3;;;3
Interactive Affairs;;;3;;;3
Intergemeentelijke Sociale Dienst Noordoost;;;1;;;1
Interliaise;;;2;;;2
Intermax;1;;;;;1
International Procurement Agency;;;1;;;1
International Secured Project Support B.V.;;;1;;;1
Interseco Consultancy, Security, Training Services;2;;1;;;2
InThere;;;2;;;2
Intraservice BV;;;2;;;2
Intraval Bureau Voor Onderzoeken Advies;;;4;;;4
iOnline B.V.;;;1;;;1
IPN Holding B.V.;;;3;;;3
Ipsos (incl. Synovate);;;3;;;3
IT Nova B.V.;;;1;;;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);9;;7;;;9
ITAQ Interim Professionals;7;;2;;;7
Itera;;;1;;;1
IUCN International Union for Conservation of Nature and Resources;;;5;;;5
IVM Instituut voor Veiligheid & Milieu;;;1;;;1
IVN Instituut voor natuureducatie en duurzaamheid;;;3;;;3
J. Blaauwendraad Advies;;;2;;;2
J. Stolze Beheer B.V.;;;2;;;2
Jaarbeurs Utrecht;;;1;;;1
Jackie Works Copy-Concept-Content-Communications;;;3;;;3
Jacobs Consultancy Ned;;;3;;;3
Jam Visueel Denken;;;2;;;2
Jan Kortie Muziekprodukties;;;1;;;1
Jan Vonk Fotografie;;;1;;;1
JC consulting attorney/emissions trading;;;2;;;2
Jenrick CPI Nederland;3;;;;;3
Jeroen Veenendaal innovatief aanbestedings- en inkoopadvies;;;1;;;1
Jinke van Dam Consultancy;;;3;;;3
JNV Audio-Visueel;;;1;;;1
J-OB Joining Objectives;;;1;;;1
John Post Advies;;;1;;;1
Jojoli;;;1;;;1
Jolly Kerkstra Tekst & Speech Tekstbureau;;;1;;;1
Jonge Honden;;;2;;;2
Joost Poort Onderzoek en Advies;;;1;;;1
Jord van den Berg Advies;;;2;;;2
Jules Dock Consultancy;;;1;;;1
Julien Haffmans;;;1;;;1
Jungle Minds;;;3;;;3
JuRo Horeca (Den Burgh Restaurant);;;1;;;1
K Tours B.V.;;;2;;;2
Kaales Natuur & Ondernemen;;;2;;;2
KAD Kenniscentrum Dierplagen;;;1;;;1
Karel V Utrecht Grand Hotel;;;2;;;2
Karst Grit Media;;;1;;;1
Kasteel De Hooge Vuursche;;;1;;;1
KB Agro;;;2;;;2
KBBa;;;1;;;1
KBI Kwaliteitsborging Installatiesector;;;3;;;3
Kega Holding Company B.V.;;;2;;;2
Keiretsu Europe;;;1;;;1
KELSEY'S o.o.m. B.V.;;;3;;;3
Kema;;;5;;;5
Kennis voor Klimaat;;;4;;;4
Kenniscentrum Arbeid & Longaandoeningen;;;1;;;1
Kenniscocreatie, onderzoek & advies;;;1;;;1
Kids&Schoolfruit B.V.;;;4;;;4
Kim Spinder;;;3;;;3
KING Kwaliteitsinstituut Nederlandse Gemeenten;;;3;;;3
King Wullur Consult;;;1;;;1
Kingsquare B.V.;;;1;;;1
KIT- IMC Koninklijk Instituut Voor De Tropen - Intercultural Professionals;;;2;;;2
Kiwa Groep (incl. Gas Technology, Prismant, Certification);;;1;;;1
Klein Holkenborg Management;;;3;;;3
Kleintje Pils;;;1;;;1
Klimaatverbond Nederland;;;2;;;2
Klinckenberg Consultants;;;2;;;2
Klint Holding;;;;1;;1
KNB Koninklijke Nederlandse Bouwkeramiek;;;2;;;2
Knowh2O;;;1;;;1
Knowledge For Business Innovation;;;1;;;1
Koers & Vaart;;;2;;;2
Koers Juridisch Advies;;;2;;;2
Kokreateur B.V.;;;1;;;1
Kon. Algemeene Vereeniging voor Bloembollencultuur;;;1;;;1
Koninklijke Woudenberg;;;1;;;1
Koole Communicatie B.V.;;;2;;;2
Kopconsult Consultancy & Management;;;2;;;2
Kornwerderzand Stg;;;1;;;1
Koumans & Partners;;;3;;;3
KplusV Organisatie Adviesbureau;;;1;;;1
KPMG;;;4;;;4
KPN (incl. Getronics, PTT Telecom);7;;6;;;7
Kracht in Nederland;;;2;;;2
Kris Kras Design;;;3;;;3
Kronenburg Promotie & Begeleiding;;;1;;;1
Krull Advies;;;1;;;1
Kubita;;;2;;;2
Kurstjens Ecologisch Adviesbureau;;;1;;;1
KWA Bedrijfsadviseurs;;;4;;;4
Kwink Groep;;;5;;;5
La Place Catering Service Restaurant;;;1;;;1
La Vina Restaurant;;;1;;;1
Label A;;;1;;;1
Labyrinth Onderzoeksbureau;;;2;;;2
Lamoree Management en Advies;;;4;;;4
Langens Mediation;;;;1;;1
Lansink Engineering;;;3;;;3
Laprocon;;;1;;;1
Lara Frank Managementadvies;;;1;;;1
Larive International;;;4;;;4
Lassche & de Bruijn;;;1;;;1
Latour Advies;;;1;;;1
Laurens Meyer Horeca Exploitatie (L.M.H.E.) Breda B.V.;;;1;;;1
Laverbe;;;1;;;1
Lavifoto;;;1;;;1
Lawton Advocaten;;;1;;;1
Lbvd Consultancy;;;2;;;2
LCR Systems B.V.;;;1;;;1
Leaps Innovation;;;2;;;2
LedGo B.V.;;;;1;;1
Leene Communicatie (incl. Leene.txt);;;2;;;2
Leeuwenberg adviesbureau;;;1;;;1
Leo van Hijkoop Fotografie;;;1;;;1
Leon Maas Management;;;2;;;2
Les Ombrelles Visspecialiteiten Restaurant;;;1;;;1
Leuke Dingen;;;1;;;1
Leusink Advies;;;2;;;2
Liander;;;1;;;1
Liandon;;;3;;;3
Lichthart Solutions;;;1;;;1
Life Sciences Health Stg;;;2;;;2
LimeSquare;;;1;;;1
Limoen Groen;;;2;;;2
Link IN Green;;;1;;;1
LINT landscape architecture Utrecht;;;2;;;2
LioniX;;;1;;;1
LIS Consult/H.C. De Vriend;;;1;;;1
Livetime Productions B.V.;;;1;;;1
Lloyd's Register (incl. Cedeo);;;2;;;2
Logan ICT services;;;1;;;1
Loon & Grondwerkbedrijf J. Elenbaas B.V.;;;1;;;1
L'orel Consultancy;;;2;;;2
Louis Bolk Instituut;;;2;;;2
LTO Land- en Tuinbouworganisatie (incl. Groeiservice, LLTB, ZLTO, LTO Noord, LTO Vastgoed);;;5;;;5
Lubbers Internet Oplossingen / Presenter;;;2;;;2
Lud Arte;;;1;;;1
Luuk Poorthuis;;;1;;;1
Lux Research;;;2;;;2
M. van Dalen;;;2;;;2
M. Wolterink Cartoonist;;;1;;;1
M.A.M. Boersma Consultancy;;;1;;;1
M.C. Korff;;;2;;;2
M.M. Projects;;;1;;;1
M.M.V. Consultancy;;;1;;;1
M3 Consultancy;;;4;;;4
Maacc Bestuuradvies Realisatie en Ontwikkeling;;;1;;;1
Maakum;;;1;;;1
Maatschap Dierenartsencentrum Oosterwolde;;;1;;;1
Macampo;;;1;;;1
MacroConsult;;;1;;;1
Madeleen Driessen;;;1;;;1
Maguise Partycatering;;;2;;;2
Maijers Ketens & Innovaties;;;2;;;2
Maison De La Foret;;;1;;;1
Makeblijde;;;1;;;1
Malengo;;;2;;;2
Mampa B.V.;;;2;;;2
Mannen Met Plannen;;;4;;;4
Mannen van De Maas;;;1;;;1
Marcelien, Media & Presentatie;;;3;;;3
Marco Pastors;;;1;;;1
Marco Polo Tolk- en Vertaalbureau Chinees;;;1;;;1
Margot Kok Onderwijs Projecten;;;1;;;1
Margriet Brandsma Media;;;1;;;1
Marinx Onderzoeksbureau (M. van Stralen);;;3;;;3
Marketresponse;;;3;;;3
Marnecs Management;1;;;;;1
Martijn De Groot Communicatie;;;2;;;2
Maryse Ducheine Advies & Media - MaDaMe;;;1;;;1
Master Omega;;;1;;;1
Matchmark;;;1;;;1
Mattie Training & Coaching;;;1;;;1
Mauritshuis;;;1;;;1
Mavim Holding;;;3;;;3
Maxime Restaurant;;;1;;;1
Maxlead Services;;;3;;;3
Mazars Paardekooper Hoffman;;;2;;;2
MC2;;;2;;;2
McKinsey en Company;;;3;;;3
MCW Studio's;;;1;;;1
MDF Training & Consultancy;;;4;;;4
MDH Audiovisueel;;;1;;;1
MediaCafé Amsterdam-Westergasfabriek;;;1;;;1
Mediagram;;;1;;;1
Mediamatic;;;1;;;1
Medy van der Laan;;;1;;;1
Meeting Plaza;;;1;;;1
Megaborn Traffic Development;;;1;;;1
Meijer & Associates (Consultants);;;1;;;1
Memo 2;;;2;;;2
MENG. Creatieve Communicatie;;;1;;;1
Mercator Novus B.V.;;;2;;;2
Meta;;;2;;;2
Meta Menkveld Ontwerp;;;1;;;1
Metis IT;6;;;;;6
Metropolitan Food Security;;;2;;;2
Midden Research and Consultancy;;;2;;;2
Mikrocentrum;;;2;;;2
Milieu Centraal;;;1;;;1
Mindmatters Software;;;1;;;1
Miracampo;;;2;;;2
Misteli;;;3;;;3
MKB Multifunds;;;2;;;2
Mmid Full Service Design Team B.V.;;;1;;;1
Mobius Consult;;;3;;;3
Modint Ond.Org. Mode, Inter, Tapijt & Textiel;;;2;;;2
MOL-MAASDAM & Partners;1;;;;;1
morePlatz;;;2;;;2
Moret Informatica Advies;;;2;;;2
Motivaction;;;3;;;3
Movares Nederland;;;2;;;2
Movarole;;;1;;;1
Movisie Fulfilment;;;1;;;1
mslgroup nederland B.V.;;;2;;;2
MTBS Maritime & Transport Business Solutions;;;2;;;2
Multicopy (incl. Andre Cossee);;;1;;;1
Multimedia Skills (NL) B.V.;;;1;;;1
Museum Boerhaave;;;1;;;1
Museum Catering;;;2;;;2
Museum voor Communicatie;;;1;;;1
Must Stedebouw;;;3;;;3
MVO Kenniscentrum Maatschappelijk Verantwoord Ondernemen;;;2;;;2
MW Advies;;;3;;;3
MWH;;;1;;;1
N&S Quality Consultants;;;2;;;2
N.E.C. van Tiggelen;;;2;;;2
N.Van Nunen-Mikhail;;;1;;;1
NABC - Netherlands-African Business Council;;;3;;;3
Nak - Nederlandse Algemene Keuringsdienst;;;6;;;6
NAK Nederlandse Algemene Kwaliteitsdienst Tuinbouw;;;6;;;6
Nationale Landschappen Coöperatief;;;1;;;1
Naturalis - National Natuurhistorisch Museum;;;5;;;5
Natuur en Milieufederaties;;;1;;;1
Natuurbalans/Limes Divergens;;;1;;;1
NatuurBank Limburg Stg;;;1;;;1
Natuurlijk in je kracht;;;1;;;1
Nauta Dutilh Advocatenkantoor;;;1;;;1
NCDO;;;2;;;2
NCH Nederlands Centrum voor Handelsbevordering;;;5;;;5
NCNG Nationaal Comité Nederlandse Glasindustrie;;;2;;;2
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;1;;;1
NEC Nederlandse Export Combinatie;;;4;;;4
Nederland Kennisland Stg;;;2;;;2
Nederlands Instituut voor Beeld en Geluid;1;;2;;;2
Nederlands Instituut voor Onderzoek der Zee;;;1;;;1
Nederlands Vlaamse Bouwfysica Vereniging;;;1;;;1
Nederlandse Aardappel Organisatie;;;1;;;1
Nederlandse Elasmobranchen Vereniging.;;;2;;;2
Nederlandse Gasunie;;;2;;;2
Nederlandse Thuiswinkel Organisatie;;;1;;;1
Nederlandse Vereniging tot Bescherming van Vogels;;;1;;;1
Nederlandse vereniging van koudetechniek en luchtbehandeling;;;2;;;2
Nederlandse Vereniging voor Fotonica;;;1;;;1
Nedworc Foundation;;;1;;;1
Nekovri (Vereniging van Nederlandse Koel- en Vrieshuizen);;;3;;;3
Nelen & Schuurmans;;;4;;;4
NEM Standard Fasel;;;2;;;2
Nemo Octrooiborrel;;;2;;;2
Nemo Science Center;;;4;;;4
Nenefa Nederlandse Neonfabriek;;;1;;;1
Neo Netherlands Geomatics & Earth Observation;;;1;;;1
Net2Legal Consultants;;;2;;;2
Netherlands Academy of Technology and Innovation;;;2;;;2
Netherlands Soil Partnership;;;2;;;2
Netto4Concepts;;;1;;;1
Netwerk Groene Bureaus;;;1;;;1
NEVAT Nederlandse Vereniging Algemene Toelevering;;;3;;;3
Nevi/Neho;;;2;;;2
New Babylon Meeting Center;;;3;;;3
New-Energy;;;2;;;2
NFGD Audiovisuele Technieken;;;1;;;1
NH Hotels (incl. Nhow hotels);;;1;;;1
NHTV Internationale Hogeschool Breda;;;1;;;1
NIBC Bank (Let Op Buitenland!);;;3;;;3
NIBI Nederlands Instituut Voor Biologie;;;2;;;2
Nibud Nationaal Instituut voor Budgetvoorlichting ;;;1;;;1
Nicolai Praktijk B.V.;;;1;;;1
NIDV Nederlandse Industrie voor Defensie en Veiligheid;;;1;;;1
Nieman Adviesburo;;;1;;;1
Nieman Consultancy;;;2;;;2
Nines;;;1;;;1
NIVRE Nederlands Instituut Van Register-Experts;;2;2;2;;2
NL-D. Communicatie;;;1;;;1
NLingenieurs;;;1;;;1
NLR;;;7;;;7
NMI Nutriënten Management Instituut;;;2;;;2
NNC Nederlands Helsinki Committee;;;4;;;4
Noclichés;;;1;;;1
NofaLab;;;1;;;1
NOM Investerings- en Ontwikkelingsmaatschappij voor Noord-Nederland;;;2;;;2
Nomads;;;2;;;2
Non-Verbaal (A. Kooren);;;1;;;1
Noordbrabantse Christelijke Boerenbond, Rooms-Katholieke Vereniging van Boeren en Tuinders-Ontwikkeling;;;1;;;1
Noordeinde Horeca;;;1;;;1
North-Holland Publishing;;;2;;;2
Novotel;;;2;;;2
NRG Nuclear Research And Consultancy Group - Petten, Individual Monitoring, Radiation&Environment;;;6;;;6
NRK - Federatie Nederlandse Rubber- en Kunststofindustrie;;;2;;;2
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);;;1;;;1
NSOB Nederlandse School Voor Openbaar Bestuur;;;3;;;3
Nuchter;;;2;;;2
NVM Ned Ver van Makelaars;;;1;;;1
NWP Netherlands Water Partnership;;;7;;;7
NZH Travel B.V.;;;1;;;1
Oase Beach Club;;;4;;;4
Oberon;;;2;;;2
OBT - Opmeer/De Bink/Tds - Boekdruk;;;3;;;3
Ocean Space Consult;;;4;;;4
Office Support Midden Holland;;;1;;;1
Omnext;;;2;;;2
Omnifocus Business Solutions B.V.;;;1;;;1
Onderzoeksbureau Onderzoekend Leren;;;1;;;1
Onstuimig B.V.;;;1;;;1
Ontwerpbureau De Kade;;;1;;;1
Ontwerpwerk multidisciplinary design;;;2;;;2
Oogenlust;;;3;;;3
Oomen Advisory Services;;;1;;;1
Openbare Bibliotheken Noordwest Fryslân;;;1;;;1
Oprit Duurzaamheid;;;1;;;1
Optima Forma;;;2;;;2
OranjeMund;;;1;;;1
Ordina (incl. Be Value, Clockwork);7;;2;;;7
Organiq;;;2;;;2
Org-Id;;;2;;;2
Origame;;;2;;;2
Ortec Finance;;;3;;;3
Otib;;;2;;;2
Oud London Catering-Hotel-Restaurant;;;1;;;1
Oudaen Stadskasteel;;;1;;;1
Outside The Box B.V.;;;2;;;2
Over De Vest Deurwaarderskantoor;;;1;;;1
Oxfam Novib;;;3;;;3
P.C. van der Heijde Management;;;2;;;2
P.T. Keestra Communicatie-Advies en Realisatie;;;2;;;2
P2 Proces- en Projectmanagers;;;2;;;2
P2P Consult;;;1;;;1
Packaging Knowhow;;;1;;;1
Paddenstoelenstichting;;;2;;;2
Palladio Groep;;2;3;;;3
PAM B.V.;;;2;;;2
Pan Café Restaurant;;1;;;;1
Panteia (incl. Stratus, Consult, Eim, Research Voor Beleid, NEA);;;6;;;6
Paraaf Vormgeving;;;1;;;1
Pardon Consult (vh Wassenaar Consult);;;1;;;1
Parkhotel;;;1;;;1
Partners For Innovation;;;4;;;4
Pas, Planeconomie & Gebiedsontwikkeling;;;1;;;1
Pathfinder;;;1;;;1
Patty Kluytmans;;;1;;;1
Paul Basset Adviseert;;;1;;;1
Paul Dral Holding;;;4;;;4
Paul van Oudenallen, Graphix en Visuals;;;1;;;1
PBLQ (HEC, ROI, Zenc);3;;4;;;4
PdV Innovation B.V.;;;2;;;2
Peergroup Stichting;;;2;;;2
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;;1;4;;4
Peredour Tekst en Thema's;;;2;;;2
Periplus Consulting, Archeomare, Resources;;;2;;;2
Petra Kamphuis;;;1;;;1
PF Technology;;;2;;;2
Phaff Export Marketing;;;2;;;2
Phanta Visual;;;2;;;2
Phonsawan Thais Restaurant;;;1;;;1
Piessens Advies & Consulting;;;2;;;2
Pieter van Geel Consultancy;;;1;;;1
Pinetree Interim en Advies;;;1;;;1
Pino Productions;;;2;;;2
Pinxterhuis CommunicatieAdvies;;;2;;;2
Pkzon;;;1;;;1
Plan Facilitators;;;1;;;1
Plant Lighting;;;4;;;4
Plas & Bossinade Advocaten;;;;1;;1
Platform Hout in Nederland;;;2;;;2
Plein 10A (Rozee, Millers Restaurant);;;1;;;1
PMC Connect;;;1;;;1
PMRuiter Coaching;;;1;;;1
Podium Communicatie;;;3;;;3
Poentjak Indonesisch Restaurant;;;1;;;1
Point To Point Communicatie;;;2;;;2
Polak & Co. Import-Export;;;1;;;1
Pondera Consult;;;2;;;2
PorQ;;;1;;;1
Port Consultants Rotterdam;;;2;;;2
POSG Professionals, P&O Services Professionals, P&O Mobiliteit;;;1;;;1
Postillion Hotels;;;1;;;1
Pouw Vervoer;;;1;;;1
PPO Praktijkonderzoek Plant & Omgeving;;;6;;;6
PR4Innovation;;;2;;;2
Printed;;;1;;;1
Printshop Sliedrecht;;;1;;;1
Pro Facto;;;1;;;1
Probos Stichting;;;5;;;5
Procede Biomass;;;2;;;2
Product Foundry;;;2;;;2
Proeftuin Zwaagdijk Stg;;;2;;;2
Profect Consultancy B.V.;;;2;;;2
Proforma Strategie & Onderwerp;;;1;;;1
ProFound Advisers in Development;;;1;;;1
Profource;5;;7;;;7
Project 13;;;4;;;4
Projectburo De Laat;;;2;;;2
Promio (Hardist);;;1;;;1
Promofit;;;1;;;1
Prosu;;;2;;;2
Protinus It;1;;;;;1
PTC+ Praktijkleren;;;2;;;2
Public Creation;;;1;;;1
Public Result;;;1;;;1
Publicontact;;;2;;;2
PublicSpirit;;;3;;;3
Pubos Producties B.V.;;;1;;;1
Pudelskern;;;1;;;1
Pulchri Studio;;;1;;;1
PWC PriceWaterhouseCoopers;3;;5;;;5
PwC Strategy& (vh Booz & Company);;;5;;;5
Q. C.N. Services B.V.;;;2;;;2
Q-Point;;;3;;;3
Quadraat;;;1;;;1
Quality Support (incl. Klantcontact monitor);;;2;;;2
Quint Wellington Redwood;2;;;;;2
Quintens Advies & Management;;;2;;;2
Quiver Management;;;2;;;2
Qunity;;;1;;;1
R. Ghielen Touringcarbedrijf;;;1;;;1
R. Ruijtenbeek Holding;;;2;;;2
R.B. van Baaren Holding (incl. D&b Dijksterhuis & van Baaren);;;1;;;1
Rabión Consultancy B.V.;;;2;;;2
Rabo Development;;;3;;;3
Rabobank;;;2;;;2
Radiation experts;;;1;;;1
RAI Amsterdam;;;1;;;1
Randstad Group (incl. Tempo Team, P/Flex);3;;;;;3
Ranj;;;1;;;1
RB Schrijven & Spreken;;;1;;;1
RBB Economics;;;3;;;3
RDM Makerspace;;;1;;;1
Re/Gent B.V.;;;2;;;2
Realink Consultancy B.V.;;;1;;;1
Reaseuro;;;2;;;2
Rebelgroup;;;5;;;5
Rederij Lovers;;;1;;;1
Redrum Bureau;;;2;;;2
Reflex Advies en Ondersteuning;;2;;;;2
Reflex Horti Consultancy;;;1;;;1
Reflex Systems Nederland B.V.;;;1;;;1
Regardz (incl. Iassociate);;;2;;;2
Regus;;;1;;;1
Renske Peters Advies en Klimaat;;;1;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;4;;;4
Rescon Research & Consultancy;;;2;;;2
Resetmanagement;;;1;;;1
Restaurant De Nas;;;1;;;1
RHD Training & Coaching;;;1;;;1
Rho Adviseurs (vh RBOI);;;3;;;3
Ridder & De Vries Transporten;;;1;;;1
Rikilt Instituut Voor Voedselveiligheid;;;5;;;5
Ro-Architecten;;;1;;;1
Rob Berkers Advies;;;2;;;2
Rob Klomp Consultancy;;;1;;;1
Rob Ter Bekke, Fotografie;;;1;;;1
Robbe & Partners;;;1;;;1
Roem Speelkaarten;;;1;;;1
Roerdalen Notariskantoor;;;;2;;2
Roland Berger Strategie Consultants;;;4;;;4
Rooduijn Jansen B.V.;;;2;;;2
Roorda Jan Reclamebureau;;;1;;;1
Roots Beleidsadvies;;;1;;;1
Ropeni (incl. Schlemmer);;;1;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;7;;;7
Rrood;;;1;;;1
Ruigrok/Netpanel;;;2;;;2
Ruigwerk;;;3;;;3
Runneboom;;;3;;;3
RW Media;;;1;;;1
RWI Consultancy & Counceling;;;2;;;2
S V P Sfeerbeheer;;;1;;;1
S. De Vries Beheer B.V.;;;2;;;2
S.F.M. Koertshuis Beheer B.V.;;;2;;;2
Saafconsult B.V.;;;1;;;1
Sabel Communicatie;;;1;;;1
Saint Trofee Refrigeration Tools & Services;;;1;;;1
Sam Adviesbureau;;;3;;;3
Sander Koenen;;;2;;;2
Sandra Rottenberg Journalistieke Producties;;;1;;;1
SarVision;;;2;;;2
Saxion Hogeschool Enschede;;;2;;;2
Scenarios 4 Summits;;;2;;;2
Schaap Research & Consultancy;;;2;;;2
Schadenberg Dakwerken;;;;1;;1
Schepers Communicatie Advies Beheer;;;1;;;1
Schierzicht Restaurette;;;1;;;1
Schimmelpenninckhuys Hotel Restaurant;;;1;;;1
Schoolfruit.nu B.V.;;;4;;;4
Schrijfblok;;;2;;;2
Schuttelaar & Partners;;;3;;;3
Schwandt Infographics;;;2;;;2
Science Port Holland N.V.;;;1;;;1
Science View;;;2;;;2
Sciomino B.V.;;;1;;;1
SD Communicatie B.V.;;;2;;;2
SDU - Service Centrum Uitgevers;;;3;;;3
Searail Consultancy BV;;;3;;;3
Sease;;;2;;;2
Seats2meet.com;;;1;;;1
SEc2 - Systems Engineering Coaching & Consultancy;;;3;;;3
Seinpost Adviesbureau;;;1;;;1
Semix;;;1;;;1
Senergy BV;;;1;;;1
SEO Economisch Onderzoek;;;6;;;6
ServiceXS (incl. Genomic Investments);;;2;;;2
SGS;;;5;;;5
Shantymen Kaap Hoorn;;;1;;;1
Sheraton Hotel;;;1;;;1
Shoot Management B.V.;;;2;;;2
SHZH Schipperscoöperatie Historische Zeilvaart Harlingen;;;1;;;1
SIG Software Improvement Group (incl. Portfolio Management);;;2;;;2
Significant;;;2;;;2
Silo Today;;;1;;;1
Simonis Oude Visafslag (incl. Catch Restaurant);;;1;;;1
Sindsdien;;;1;;;1
Sira Consulting;3;;4;;;5
Sirm;;;2;;;2
Skepja;;;1;;;1
Skills Masters;;;2;;;2
Skillz Advertising B.V.;;;3;;;3
Slem;;;2;;;2
Slootweg en van Schooten;;;1;;;1
SLTN (vh Inter Access);7;;3;;;7
Smeenk Law;;;1;;;1
SNV Netherlands Development Organisation;;;2;;;2
Sodexo;;;1;;;1
Sogeti Nederland;8;;6;;;8
Sol Samenwerking Op Landelijk Gebied;;;1;;;1
Solutherm;;;2;;;2
Somatic Art Risataki;;;1;;;1
Somo;;;2;;;2
Sovon Vogelonderzoek NL;;;6;;;6
Spacetalk B.V.;;;2;;;2
Sparkling;;;1;;;1
Speakers Academy;;;1;;;1
Special Balloon Services;;;1;;;1
SPF-Gezonde Varkens;;;2;;;2
Sprengers Advocaten (vh Advokatenkollektief);;;;1;;1
Sprite-IT Managed Services;;;2;;;2
Sproutside B.V.;;;2;;;2
SQ Consult;;;3;;;3
Staples (incl. Advantage, Corporate Express);;;1;;;1
STBY;;;2;;;2
STC Group;;;3;;;3
Stec Groep;;;2;;;2
Sterrenlab;;;1;;;1
Steuntichting VZZ Vereniging Voor Zoogdierkunde en Zoogdierbescherming;;;4;;;4
Stg Agrarisch Erfgoed Nederland;;;1;;;1
Stg Bargerveen;;;1;;;1
Stg Duurzame Scholen;;;1;;;1
Stg Greenport Holland International;;;6;;;6
Stg Monitoring Zonnestroom;;;3;;;3
Stg Sam;;;1;;;1
Stg TKI Wind op Zee;;;2;;;2
Stg. Amsterdam Center for Corporate Finance;;;1;;;1
Stg. Passief Bouwen;;;2;;;2
Stg. Propag. v. Ned. Vee in het Buitenland;;;1;;;1
Stg. tot Instandh. Diergaarde Natura Artis;;;1;;;1
Stg. v. Fundamenteel Onderzoek der Materie;;;2;;;2
Stg. Werkgeversinst. Soc. Cult.Werk Rotterdam;;;2;;;2
Stg.beh.drd.gld. Eillert & Van Lammeren Advo.;;;;1;;1
Stichting Adviesbureau Onroerende Zaken;;;2;;;2
Stichting Anemoon;;;2;;;2
Stichting Beheer NDSM werf Oost;;;1;;;1
Stichting Bionext;;;3;;;3
Stichting Centraal Bureau Voor Schimmelcultures Odo van Vloten;;;2;;;2
Stichting Centrum voor Biomassa Innovatie;;;2;;;2
Stichting Crisislab;;;1;;;1
Stichting de Nederlandse School voor Onderwijsmanagement NSO;;;2;;;2
Stichting DLO Dienst Landbouwkundig Onderzoek;;;4;;;4
Stichting Dominicanenklooster Zwolle;;;1;;;1
Stichting Duurzame Ontwikkeling Nederland Suriname (Dons);;;2;;;2
Stichting Duurzame Pabo;;;2;;;2
Stichting Energy Valley;;;2;;;2
Stichting European Invertebrate Survey Nederland;;;3;;;3
Stichting Faunabeheer Eenheid Zuid-Holland;;;2;;;2
Stichting GaN Gegevensautoriteit Natuur;;;2;;;2
Stichting Green ICT;;;2;;;2
Stichting Groen Gas Nederland;;;2;;;2
Stichting Groengelinkt;;;3;;;3
Stichting Herenboeren;;;2;;;2
Stichting Holland Fresh Group;;;3;;;3
Stichting Holland High Tech;;;2;;;2
Stichting Holland Pig;;;3;;;3
Stichting Innovatie Glastuinbouw;;;4;;;4
Stichting Insid (Insid Foundation);;;1;;;1
Stichting ISSO;;;4;;;4
Stichting Kenniscentrum Papier en Karton;;;2;;;2
Stichting Kwaliteits-Controle-Bureau;;;6;;;6
Stichting Landelijk InformatieCentrum Gezelschapsdieren;;;2;;;2
Stichting Livio;;;1;;;1
Stichting mEATing;;;1;;;1
Stichting Meer Met Minder;;;2;;;2
Stichting Milcon;;;1;;;1
Stichting Milieukeur;;;1;;;1
Stichting Montesquieu;;;2;;;2
Stichting Natuur en Milieu;;;3;;;3
Stichting Natuurinformatie;;;2;;;2
Stichting New World Campus;;;3;;;3
Stichting NLevator;;;1;;;1
Stichting Noorderbreedte;;;1;;;1
Stichting Oikos;;;2;;;2
Stichting Oplaadpalen.NL;;;1;;;1
Stichting Photonics Cluster Netherlands;;;2;;;2
Stichting Pymwymic Events;;;1;;;1
Stichting Ravon;;;5;;;5
Stichting Springtij Festival Terschelling;;;2;;;2
Stichting Technisch Centrum Voor De Keramische Industrie;;;4;;;4
Stichting Technologisch Kenniscentrum Textielverzorging (Tkt;;;2;;;2
Stichting TKI Gas;;;2;;;2
