Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6-ICT
Separations Analytical Instruments;;;;;;1;;1
SGS;2;;;;;;;2
Sharewire;;;;;;2;;2
Shimadzu Benelux;;;1;;;;;1
SHIPTRON;2;;;;;;;2
Sieca Repro;1;;;;;;;1
Siemens Nederland;1;;7;;1;;;7
SIG Software Improvement Group (incl. Portfolio Management);;;1;;;;;1
Sigma-Aldrich;;;2;;;1;;2
Silca Traffic Systems Europe;;;;;;1;;1
Simacan B.V.;2;;;;;;;2
Simultime Data Engineering;1;;;;;;;1
Skalar Analytical;;;1;;;;;1
Sleutelservice.com;;;;;;1;;1
SLIM DEVELOPMENT B.V.;3;;;;;;;3
SLTN (vh Inter Access);2;;4;;2;4;;5
SMC Security Monitoring Centre;;;;;;;1;1
SNT CONNECT;1;;;;;;1;1
Softline Solutions Netherlands;;;;;1;;;1
Software AG Nederland;;;;;2;1;;2
Software Borg;;;;;;1;;1
Sogeti Nederland;1;;;;;1;;1
Solcon Internetdiensten;2;;;;;;;2
SOLIT WALLET;4;;;;;;;4
Sovon Vogelonderzoek NL;;;;;;2;;2
Spanpartner Montage;;;;;;1;;1
SQL Integrator Quality Management;;;;;;2;;2
Square Information Systems;;;1;;;;;1
Srs Beveiliging;;;1;;;;;1
Stedin (vh Eneco Netbeheer, Mdds);;;;;;1;;1
Stema Survey Services;;;;;;1;;1
Stibbe Advocaten;1;;;;;3;;3
Stichting Bouwkwaliteit;1;;;;;;;1
Stichting Dorp, Stad en Land;;;;;;1;;1
Stichting Landelijk Informatiesysteem Schulden;;;;;4;;;4
Stichting Sterrenwacht Almere;;;;;;1;;1
STICHTING TRIVIUMLINDENHOF;;;;;;1;;1
Still Intern Transport;;;1;;;;;1
Stoffer Banketbakkerij;1;;;;;;;1
Superoffice Benelux;;;;;1;;;1
Surfmarket (vh surfdiensten);;;;;3;;2;4
Surfnet;;;;;;2;4;4
SWARCO NEDERLAND;5;;;;;2;;6
SWIER SLEUTELSPECIALIST IJMUIDEN;;;;;;1;;1
Symfoni Software;3;;;;;;;3
Syncom;;;1;;;;;1
Sysmex (vh Goffin Meyvis);;;1;;;;;1
Sysqa;7;;;;4;5;;7
Tam Tam;;;;;;2;;2
Tangram Automatisering;3;;;;;;;3
Tas & Company;;;;;;1;;1
TCPM;5;;;;;;;5
Tech Text;1;;;;;;;1
Technische Unie;;;;;;1;;1
Technoglas;;;1;;;;;1
Technogym the Wellness Company;;;1;;;;;1
Technolution;7;;;;6;2;;7
Technoram;;;;;4;;;4
Tein Telecom;6;;;;6;;;7
Tele2 (incl. Versatel, BBeyond);;;;;;1;;1
Telesignaal Europe;;;1;;;;;1
Telindus (incl. ISIT, 2-Store);7;;3;;1;2;;7
Telvent Netherlands;;;1;;3;;;3
Tempcontrol I.E.P.;;;1;;;;;1
Tenuki;4;;;;2;;;4
The Courseware Company;;;1;;2;;;2
The MathWorks;;;;;1;;;1
Theeschenkerij Het Rieten Dak;1;;;;;;;1
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;;1;;;1;;1
THIER SOFTWARE DEVELOPMENT;;;;;2;;;2
TIGRAN SPAAN ICT CONS;;;;;1;;;1
Tinqwise;;;;;;4;;4
T-Mobile Netherlands;;;;;;;1;1
TNO;4;;;;2;;;4
TOMTOM GLOBAL CONTENT;2;;;;;;;2
Topdesk;1;;;;1;2;;2
Total Nederland;;;;;;1;;1
TOUW EN STAALKABELHANDEL J E STAAL;;;;;;1;;1
TRAFFICLINK;5;;;;3;;;6
TRANSCRIPTUM;1;;;;;;;1
Transfer Solutions, Consulting, Education;1;;;;;;;1
Transpute;2;;;;2;;;2
TRIMBLE EUROPE;;;;;2;;;2
Trinité Automatisering;5;;;;;2;;5
Triopsys;5;;;;;3;;6
Triple P Nederland;1;;;;;2;;2
TURPIN VISION B.V.;;;;;1;;;1
Tyco Integrated Fire & Security (incl. ADT Fire & Security);1;;;;;;;1
U&I Learning Nederland;;;;;;2;;2
Ultimo Software Solutions;1;;;;3;1;;3
Ultimum;2;;;;;;;2
Unisys Nederland;;;;;2;;;2
United Forces Solutions (incl. Iton ICT);;;;;1;;;1
UNITIT SOLUTIONS;;;3;;;;;3
UNIVERSAL IT;1;;;;;;;1
UNLIMITED VISIONS;;;;;;1;;1
UPC Nederland;;;;;;;1;1
UPS - United Parcel Service;;;;;;1;;1
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);2;;;;;;;2
V/D Boogaard - Auto en Bergingsbedrijf;;;;;;1;;1
Vabi Vereniging voor Automatisering in de Bouw en Installatietechniek;;;;;1;;;1
VAKMAN DE VERFHUIS;;;;;;1;;1
VALID;3;;;;;;;3
Valmont Nederland;;;;;;6;;6
Van der Peijl Groep;;;;;;1;;1
VAN DONGEN PIJNACKER B.V.;;;1;;;;;1
Van Doorn Gebr.;;;2;;;;;2
Van Ede International Moving;;;;;;1;;1
Van Hamersveld Kantoorservice;1;;;;;;;1
Van Hulzen Public Relations;2;;;;;;1;2
Van Lint Kantoor Vakhandel;;;;;;1;;1
Van Loenen Instrumenten;;;1;;;;;1
Van Schagen;;;;;;5;;5
VAN SCHOOR AVIATION INFRA TECHNIEK;;;;;;1;;1
Vancis;;;1;;;;;1
Vandervelde Protection;;;3;;;;;3
VCK Groep, Travel & Logistics;1;;1;;;;;1
VDL Industrial Products;;;;;;1;;1
VECHT EN OMSTREKEN;;;;;;;1;1
Vector Eyes;1;;;;2;;;2
Veenhuizen Koeltechniek;;;1;;;;;1
Veld Koeltechniek;;;;;;1;;1
Velis Scholten Utrecht;;;;;;1;;1
Veneco Telecommunicatie & Beveiliging;;;;;1;;;1
Venko Schilderwerken;;;;;;6;;6
Veolia water solutions & Technologies (vh Rossmark Waterbehandeling);;;;;;1;;1
VERNOOY TH EN ZOON;;;;;;1;;1
Vesting Finance Incasso;;;;;;1;;1
VIA.nl (incl. Informatica, Verkeersadvies);2;;;;;;;2
Viadesk;;;;;2;;;2
VIALIS INFRATECHNIEK;;;6;;;2;;6
Vialis Traffic;4;;;;2;4;;5
Vicrea Solutions;1;;;;;;;1
VID NEDERLAND;4;;;;;;;4
Vinitex Laboratoriuminrichtingen;;;;;;1;;1
Vink Lisse;;;1;;;1;;1
Visma Software (vh Accountview);;;;;;1;;1
VISUAL PRODUCTIONS;;;1;;;;;1
VKA Verdonck Klooster & Associates;4;;;;4;2;;5
Vlaanderen Cafe Diner Restaurant;;;;;;1;;1
Vodafone (incl. Libertel);;;;;;2;6;6
Volantis Ingenieurs;;;;;1;1;;2
Volkerrail Services;2;;;;;;;2
Volta Limburg;;;;;;1;;1
VREGELAAR TEN TIMMER- EN BOUWBEDRIJ;1;;;;;;;1
Vrieservice;;;;;;1;;1
VSL (vh NMi van Swinden Laboratorium);;;1;;;;;1
VULPEN VAN DICK GELUIDSTECHNIEK;;;;;;1;;1
VWR International (incl. Omnilabo);;;5;;;;;5
Waters Chromatography;;;2;;;2;;3
WBN Software Solutions;;;;;1;;;1
Webhelp Nederland;4;;;;;;;4
Webpower;;;;;;1;;1
Weerspecialist;;;1;;;;;1
WELLER AUTOSCHADE;;;;;;1;;1
Wesquare;;;2;;;;;2
West Cons;2;;;;;;;2
Westcord Hotels;2;;1;;;1;;2
Westland Infra;;;;;;1;;1
Wetac Stand-By Nederland;;;;;;1;;1
Wijma Kampen;;;;;;1;;1
Wilchem;;;;;;1;;1
WIT WORK;;;1;;1;;;2
WitWay Webshops;;;;;;1;;1
World Nautic Center;;;;;;1;;1
WPS Worldwide Parking Systems;;;;;;1;;1
WTC Schiphol;;;;;;1;;1
Wurth nederland;;;;;;1;;1
Xantic Sales;;;;;;;2;2
Xerox;;6;3;;;;;6
XI Advies;2;;;;;;;2
X-pact Stichting Beheer Derdengelden;2;;1;;;2;1;2
XS4ALL Internet;;;;;1;;1;1
X-Tend;2;;;;;;;2
Yara Gas;;;;;;1;;1
YENLO;;;;;2;1;;2
YNS IT SOLUTIONS;;;;;;;1;1
Zeelandnet;;;;;;;1;1
Zet Solutions;;;;;1;;;1
Zetacom;1;;1;;1;2;1;2
ZHENECO;2;;;;;;;2
Zicht Nieuwe Media Ontwerpers;;;;;;1;;1
Zirbus Technology Benelux;;;1;;;;;1
ZIUT;;;;;;4;;4
Eindtotaal;11;7;9;1;10;10;9;13
