Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Dames & Heren Culinair Cafe;;;;;1;;;;;1
Damesmode Shopping B.V.;;;;;;;;1;;1
Danckaarts Techniek B.V.;;;;;;;1;1;;1
Dartli B.V.;;;;;;;;1;;1
DAS;;;;;;;;;1;1
Dassen Bouw B.V.;;;;;;;2;1;;2
Datec;;;;;1;;;;;1
Datema Electronics;;;;;;;1;1;;1
David Bernstein Forensic Consulting;;;;;1;;;;;1
Daxtrio B.V.;;1;;;;;1;1;;1
DBB Debiteuren Beheer Benelux LLP;;;;;;;;1;;1
dBme;;;;;;;;1;;1
DBS Maaitechniek B.V.;;;;;;;1;1;;1
De Andere Slager;1;;;;1;;;;;1
De Apostelhoeve;;;;;1;;;;;1
De Baak B.V.;;;;;1;;;;;1
de Band Dierenkliniek;;;;;;;1;;;1
De Beeldunie;;;;;;;;1;;1
De Blauwe Lotus;1;;;;;;;;;1
De Boer Surakarta B.V.;1;;;;;;;;;1
De Boerenbonthal B.V.;;;;;;;1;;;1
De Boulevard Breda;;;;;1;;;;;1
De Branding Utrecht B.V.;;;;;1;;;;;1
De Broadtsje Bakker;2;1;;;;;;;;2
de Coendersborg' B.V.;;;;;1;;;;;1
De Doelen;;;;;1;;;;;1
De Drie Graefjes B.V.;1;;;;;;;;;1
De EHBO Academy;;1;;;;;;;;1
De Fleurist;;;;;1;;;;;1
De Galan Groep B.V.;;;;;1;;;;;1
De Gereghthof B.V.;1;;;;;;;;;1
De Geus Projecten B.V.;;1;;;;;;;;1
De Groot Decoraties B.V.;;;;;;;1;;;1
De Groot Design B.V.;;;;;1;;;;;1
De Groot Houtbewerkingsmachines B.V.;;;;;;;;1;;1
De Haan Westerhoff Projecten B.V.;;;;;;;1;;;1
De Hof van Eden Pure Catering;1;;;;;;;;;1
De Huesmolen;;;;;1;;;;;1
De Jong Diepvries B.V.;1;;;;;;;;;1
De Kantine;;;;;1;;;;;1
De Kloveniersdoelen B.V.;;;;;1;;;;;1
De Kluizenier;;1;;;;;1;;;1
De Knegt & Leeflang B.V.;;;;;2;;;1;;2
De Kock Raamfolie B.V.;;;;;;;1;;;1
De Koffieplantage;1;;;;;;;;;1
de Koning Assen;;;1;;;;;;;1
De Koning Groningen;;;1;;;;;;;1
De Kookfabriek Den Haag B.V.;;;;;1;;;;;1
De Lantaern Holding B.V.;1;;;;1;;;;;1
De Letterman;;;;;;;;1;;1
De Meesterslijpers;;;;;;;;1;;1
De Meeuw Oirschot B.V.;;;;;;;1;;;1
De Mix Fitness Almere B.V.;;;;;1;;;;;1
De Moestuin van Jagtlust;;;;;1;;;;;1
De Molen;1;;;;;;;;;1
De Oliewinkel;;;;;1;;;;;1
de Persgroep Nederland B.V.;;;;;1;;;;;1
De Poort van Lunetten B.V.;1;;;;;;;;;1
De Projectinrichter B.V.;;;;;;;1;;;1
De Raadgevers Holding B.V.;;;;;;;;;1;1
De Raat Security Products B.V.;;1;;;;;2;;;2
De Resolutie Rijswijk B.V.;;;;;1;;;;;1
De Ridder B.V.;;;;1;;;;1;;1
De Rijk Magazijninrichting B.V.;;;;;;;1;;;1
De Schenker B.V.;;;;;1;;;1;;1
De Sleutel Culinair B.V.;;;;;1;;;;;1
De Smaak van Vietnam;1;;;;;;;;;1
De Staat Arnhem;;;;;1;;;;;1
De Stee;1;;;;;;;;;1
De Stempelplaats B.V.;;;;;;;;1;;1
De Utrechtse Haven B.V.;;;;;1;;;;;1
De Valom B.V.;;;;;1;;;;;1
De Veranderzaak;;;;;1;;;;;1
De Vries Projekt Design B.V.;;;;;;;1;;;1
De Watertuin Spijkenisse B.V.;;;;;1;;;;;1
De Wilt-Cyrox Groep B.V.;;;;;;;1;;;1
De Winkel van Sinkel B.V.;;;;;1;;;;;1
De Wit Communicatie Techniek;;;;;;;1;1;;1
De Wit Computers & Telecom;;;;;;;;1;;1
De Zagerij Ontwerpbureau;;;;;1;;;;;1
De Zandkamer;;;;;1;;;;;1
De Zilveren Vosch B.V.;;;;;1;;;;;1
De Zon;1;;;;;;;;;1
De Zwerfsteen;1;;;;;;;;;1
Decorum B.V.;;;;;;;2;;;2
Defabrique Evenementen B.V.;;;;;1;;;;;1
Defibrion;;2;;;;;;1;;2
Deinum's Catering & Party-Service;1;;;;1;;;;;1
DeLau tweewielers;;;;;;;1;;;1
Delft Congress Support B.V.;;;;;1;;;;;1
Delphi;;2;;1;;;;;;2
Delta International Promotioneel B.V.;;1;;1;2;;;1;;2
Demmer opleidingen;;1;;;;;;;;1
Den Hartog & van Heijst;;;;;;;;;1;1
dental bauer Nederland B.V.;;;;;;;;1;;1
Dental Partners Rotterdam B.V.;;;;;;;;1;;1
Dental Recycling Services B.V.;;;;;;1;;;;1
Dental Union B.V.;;;;;;;;1;;1
Dentalair Consumables B.V.;1;;;;;;;1;;1
Dentalair Products Nederland B.V.;;;;;;;;1;;1
DerTrade;;1;;;;;;;;1
DeRuimte B.V.;;;;;1;;;;;1
Deskbookers B.V.;1;;;;1;;;;;1
Destil B.V.;;;;;;;1;1;;1
Detron Communication Solutions;;;;;;;1;;;1
Deutsche Post International B.V.;;;;1;;;;;;1
DHL International B.V.;;;;2;;;;;;2
Diederen Konstruktie B.V.;;;;;;;1;;;1
Dielen Flightcase Bouw B.V.;;1;;;;;;;;1
Dienst Milieu en Bouwtoezicht;;;;;;;;1;;1
Digital Revolution B.V.;;;;;1;;;1;;1
DigitalsOnline;;;;;;;;1;;1
Dille & Kamille (Nederland) B.V.;;;;;1;;;;;1
DinercafÃ© Diep;;;;;1;;;;;1
Dining56;;;;;1;;;;;1
Dirksen Schoonmaakartikelen B.V.;;;2;1;;;1;1;;2
Discountoffice.nl B.V.;;;;1;;;1;2;;2
Dish B.V.;;;;;2;;;;;2
Disseldorp Techniek;;;;;;;;1;;1
Diversey B.V.;;;3;;;;;1;;3
Divertido | koken en creëren;;;;;1;;;;;1
DMARC Analyzer B.V.;;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;;1;1;;1;1;;1
Dolmans Calamiteiten Diensten;;;1;;;;;;;1
Domino's Pizza Den Haag;1;;;;;;;;;1
Domino's Pizza Netherlands B.V.;1;;;;;;;;;1
Domino's Pizza Utrecht 2;1;;;;;;;;;1
Donkergroen B.V.;;;1;;;;1;;;1
Doornenbal & De Rooij V.O.F.;;;;;;;;1;;1
Dordtse Bazar Verhuur;;;;;;;1;;;1
Dorpshuis Glimmen;;;;;1;;;;;1
Dorstlust V.O.F.;;;;;1;;;;;1
Doseer.nl Reinigingsmiddelen;;;1;;;;;;;1
DoubleTree by Hilton Hotel A'dam Centr. Stat.;;;;;1;;;;;1
Douwe Egberts Horeca;7;;;;;;;1;;7
Douwes Equipment;;;;;;;;1;;1
DP Gelderland;1;;;;;;;;;1
DPI Animation House B.V.;;;;;1;;;;;1
Dröge&V. Drimmelen, Corp.Comm.&Publ.Aff. B.V.;;;;;1;;;;;1
DrÃ¤ger Nederland B.V.;;2;;;;;1;1;;2
Draisma Industri�le Vormgeving;;;;;1;;;;;1
Drankenspeciaalzaak Ton Overmars;1;;;;;;;;;1
Drentea Kantoormeubelen;;;;;;;6;2;;6
Driessen B.V.;;1;;;;;;;;1
Drs. A' Belegde Broodjes;1;;;;;;;;;1
Drs. Martijn Delaere journalist;;;;;1;;;;;1
Drukkerij Cees Badoux B.V.;;;;;1;;;;;1
Drukkerij Edauw & Johannissen B.V.;;;;;1;;;;;1
Drukkerij Het Snorretje;;;;;1;;;;;1
Drukkerij Koopmans B.V.;;;;;1;;;;;1
Drukkerij Loor B.V.;;;;;1;;;;;1
Drukkerij Verloop B.V.;;;;;1;;;;;1
DSG diensten B.V.;;;;;;;1;1;;1
DTG B.V.;;;;;1;;1;;;1
Du Nord Rijwielen B.V.;;;;;;;1;;;1
Dudok Arnhem B.V.;;;;;1;;;;;1
Dudok Beheer B.V.;;;;;1;;;;;1
Dudok Den Haag B.V.;;;;;1;;;;;1
Duifhuizen tassen & koffers B.V.;;;;;;;;1;;1
Duits isolatie;;;;;;;1;;;1
Duracryl Flooring Systems Nederland B.V.;;;;;;;1;;;1
Dutch Biz B.V.;;;;;1;;;;;1
Dutch Special Solutions B.V.;;;;;;;1;;;1
DuurzaamNL B.V.;;1;;;;;1;;;1
E & E Collect B.V.;;;;;;;;;1;1
E. Emden t.h.o.d.n. DSR food Lelystad;1;;;;;;;;;1
E. van Gent Heftruckverhuur B.V.;;;;;;;1;;;1
E. Witte Bouw- en Aannemersbedrijf B.V.;;;;;;;1;1;;1
E.A.L. Electronic Application Laboratory B.V.;;2;;;;;;;;2
E.H.B.O. Vereniging Luther-King Wilbertoord;;1;;;;;;;;1
Easy Noise Control B.V.;;;;;;;1;;;1
Easybookings B.V.;;;;;2;;;;;2
Easyflo.nl;;;1;;;;;;;1
EatDutchWaffles B.V.;1;;;;;;;;;1
EBN Veiligheidsdienst B.V.;;1;;;;;;;;1
Ebricks;;1;;;;;;;;1
Eburon Uitgeverij B.V.;;;;;1;;;1;;1
ECHOS Home Baan Zulu;2;;;;;;;;;2
EcoSmart Nederland B.V.;;;1;;;;;2;;2
Edelweiss Textielverzorging B.V.;;;1;;;;;;;1
Eden Springs Nederland B.V.;2;;;;;;1;;;2
Edenred Nederland;;;1;;;;;;;1
EDITOO B.V.;;;;;1;;;;;1
Edwin Smulders Catering;;;;;;;1;;;1
Eef Meubels en Timmerwerk Op Maat V.O.F.;;;;;1;;;;;1
Eemlandhoeve Exploitatie B.V.;;;;;1;;;;;1
Eerste Hulp Bij Ongelukken Vereniging Erp;;1;;;;;;;;1
Eetcaf� het leven;;;;;1;;;;;1
Eethuis Panama;1;;;;;;;;;1
Efectis Nederland B.V.;;;;;;;1;;;1
eFormity;;;;;1;;;;;1
Ehabo Preventie B.V.;;1;;1;;;;1;;1
EHBO Vereniging Papendrecht;;1;;;;;;;;1
Eijlander Electronics B.V.;;;;1;;;;;;1
Eijsink Afrekensystemen;;;;;;;;1;;1
Eiland Muziek Arnhem;;;;;;;;1;;1
Eindtotaal;9;8;9;5;9;7;8;8;4;11
El Mundo de las Tapas;1;;;;;;;;;1
ELA Units;;;;;;;2;1;;2
Electro Tubbergen t.h.o.d.n. Expert Almelo;;;;;;;;1;;1
Electrocar B.V.;;;;;;;;1;;1
Electrocar C&L B.V.;;;;;;;;1;;1
Electrolux Professional B.V.;;;;;;;;1;;1
Electrospecialist Peter Lunenburg B.V.;;;;;;;;1;;1
Elektrotech. Bureau Bert van der Donk B.V.;;;;;;;1;;;1
Els Boek Zuiderburen B.V.;1;;;;;;;;;1
Elzinga Catering;1;;;;;;;;;1
Em Kantoorsystemen B.V.;;;;;1;;;;;1
Emil Andel Media Producties;;;;;1;;;;;1
Emkapak Verpakkingen B.V.;;;;1;1;;;;;1
Emtech Industrial Repairs B.V.;;;;;;;;1;;1
Emtek Ergonomics B.V.;;;;;;;1;;;1
en Insp.-instellingen-Fenelab;;;;;;;1;;;1
Eneco Zakelijk;;;;;;;;;1;1
Engels;;;;;;;;1;;1
Engels Conference Center B.V.;;;;;3;;;;;3
Engels Horeca Rotterdam B.V.;;;;;1;;;;;1
ENGIE Serv. Zuid vestiging Maastricht-Airport;;1;;;;;2;1;;2
ENGIE Services Noord locatie Leeuwarden;;1;;;;;2;1;;2
ENGIE Services West B.V.;;1;;;1;;;1;;2
Enorm-Wieberdink;;;;;;;1;1;;1
Entertainmentservice Langenberg E.S.L.;;;;;;;;1;;1
E-Profits;;;;;;;;1;;1
Erdee Media B.V.;;;;;1;;;;;1
Ergo2Work B.V.;;;;1;;;;1;;1
Ergonomic Living;;;;;;;;1;;1
Ergonomique;;;;1;;;;1;;1
Ergozit;;;;;;;1;;;1
ERHA Trading B.V.;;;;;;;;1;;1
Ericslijterij;;;;;1;;;;;1
ERIKS Kunststoffen Ede;;;;;;;1;1;;1
Esbe Sportprijzen;;;;;1;;;;;1
Ese International B.V.;;1;;;;;;;;1
Espi Designers B.V.;;;;;1;;;1;;1
Esra Handelmaatschappij B.V.;;;;;;;;1;;1
Essentra Components B.V.;;;;;;;;1;;1
Etishop De Etikettenfabriek B.V.;;;;;1;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;;;1;;;1
Euro Events B.V.;;1;;;;;1;;;1
EuroFlorist Europe B.V.;;;;;;;1;;;1
Euro-Gifts Exports B.V.;;;;;1;;;;;1
Euro-Index B.V.;;;;;;;1;1;;1
Euromate B.V.;;;1;;;;;2;;2
Europac Alarmcentrale;;1;;;;;;;;1
EuropeSecurity B.V.;;1;;;;;;;;1
Europresto B.V.;;;;;;;;1;;1
Eurosafe Solutions B.V.;;;;;;;1;;;1
Eurosalt Handelmaatschappij B.V.;1;;;;;;;;;1
Euro-Service B.V.;;;;;;;;1;;1
Eurostat Benelux;;;;;;;;1;;1
EVAC Medical;;1;;;;;;1;;1
Eveline Bets Tekst & Publiciteit;;;;;1;;;;;1
Evema Totaal B.V.;;;;;;;1;1;;1
Evenses B.V.;;;;;1;;;;;1
Evers Kassasystemen B.V.;;;;;;;;1;;1
Evidenter Webwinkels;;;;;1;;;;;1
Evite Services B.V.;;;;;1;;;;;1
EW Special Care B.V.;;;1;;;;;;;1
eX:plain;;1;;;;;;;;1
Exide Technologies B.V.;;;;;;;;1;;1
Expedio Arbori;;;1;;;;;;;1
Expl.mij. Automobielmusea in Nederland B.V.;;;;;2;;;;;2
Exploit. Maatsch. De Nwe Poort Amsterdam B.V.;1;;;;1;;;;;1
Exploitatie van Eventlocaties B.V.;;;;;1;;;;;1
Exploitatiemaatschappij City Hotel Gouda B.V.;;;;;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;;2;;;;;2
Exsta Nederland B.V.;;;;;;;1;1;;2
Exterpatent;;;;;;;1;;;1
Extreme Air Products B.V.;;;;;;;;1;;1
EZ book.nl B.V.;;;;;1;;;;;1
F&B Sherlock B.V.;1;;;;;;;;;1
F. Hofman;1;;;;;;;1;;1
F. Mesters Beheer B.V.;;;;;;;;1;;1
Fa. C. van Doremaele;;;;;;;;1;;1
FA. de Peinder;;;;;;;1;;;1
Fa. 'Het Haags Bloemenhuis';;;;;1;;;;;1
Fa. Verheijen Uw Kaasspecialist;;;;;1;;;;;1
Fabory Nederland;;;;;;;;1;;1
Facilion B.V.;;;;;1;;;1;;1
Facility Trade Group;;;1;;;;;;;1
Facilitylinq B.V.;;;;;;;6;;;6
Facint B.V.;;;;;1;;;;;1
Factor Veiligheid! B.V.;;;;;;;1;;;1
Falck Prevention B.V.;;2;;;;;;;;2
Federal Express Nederland;;;;2;;;;;;2
Federatie West Nederlandse Personeelsver.;;;;;1;;;;;1
Feest in Verve;;;;;1;;;;;1
FEI Europe B.V.;;;;;;;;3;;3
Fellini city lounge;;;;;1;;;;;1
FEM Products;;;;;;;;1;;1
Fenoprint;;;;;;;;1;;1
Festivale Entertainment;;;;;1;;;;;1
FHI, Federatie van Technologiebranches;;;;;;;1;;;1
Fico Urban Italian;;;;;1;;;;;1
Fiesta Verhuur V.O.F.;;;;;1;;;;;1
Fietspunt B.V.;;;;;1;;;;;1
Figi;;;;;1;;;;;1
FilmService B.V.;;;;;1;;;;;1
Fiori Style;;;;;1;;;;;1
Fire and Rescue Services;;1;;;;;;;;1
Fire Prevention & Training B.V.;;;1;;;;;;;1
Fire Retarding Technology B.V.;;1;;;;;;;;1
Firecom;;1;;;;;;1;;1
Fire-Control B.V.;;1;;;;;;;;1
Firma Bijzonder Intern Transport;;;;;;;;1;;1
Firma Hof der Muzen;;;;;1;;;;;1
Firma Rijwielhandel Tieleman en Zoon;;;;;;;1;;;1
Firma van Drunen Bloemen en Planten;;;;;1;;;;;1
Fisher Emergo B.V.;;;;;;;1;1;;1
Fitness Occasions B.V.;;;;;;;;1;;1
FITV Concepts;;;;;;;1;;;1
Flanderijn en Verlaek Gerechtsdeurw. B.V.;;;;;1;;;;;1
Flash Rental Services B.V.;;3;;;;;1;4;;4
Flatfield multi print International B.V.;;;;;;;;1;;1
Flessenpost;;;;;1;;;;;1
Fletcher Hotel Erica;1;;;;2;;;;;2
Flip! Reclame Promotie & Ontwerp;;;;;1;;;1;;1
FLOC Restaurant;;;;;1;;;;;1
Floor Facility Services B.V.;;;1;;;;;;;1
FloorFriendly B.V.;;;;;;;1;;;1
Flora Nova Interieurbeplanting B.V.;;;;;;;;1;;1
Fluke Nederland B.V.;;1;;;;;;1;;1
Fly & Food;1;;;;;;;;;1
FM Projekten B.V.;;;;;;;1;1;;1
Fofic;;;;;;;;1;;1
Folkers Zonweringen-Rolluiken B.V.;;;;;;;1;;;1
Fonq.nl B.V.;1;;1;;;;;1;;1
Food Enjoyce;1;;;;1;;;;;1
Food Experience;;;;;1;;;;;1
Forens. Psychologisch Adv.bur. Breuker B.V.;;;;;;;;;1;1
Formabouw B.V.;;;;;;;2;;;2
Fort Bronsbergen;1;;;;;;;;;1
Fortune City V.O.F.;1;;;;;;;;;1
Fortuyn Horeca B.V.;;;;;1;;;;;1
Forum' Cateringservice;1;;;;;;;;;1
fotentiek;;;;;1;;;;;1
Foto Dikken & Hulsinga;;;;;;;1;;;1
Foto Konijnenberg B.V.;;;;1;;;;1;;1
Foto Marius;;;;;1;;;;;1
Fotoburo Peter Drent;;;;;1;;;;;1
Fotofabriek.nl B.V.;;;;;1;;;;;1
Fotostudio van Bemmelen;;;;;1;;;;;1
Fra Sound;;;;;1;;;;;1
Frama Nederland;;;;1;1;;;;;1
Friethuis de Vlaminck;1;;;;;;;;;1
Frimex Service;;;;;;;1;1;;1
Frisk B.V.;;;;;1;;;;;1
Frisse Blikken ondernemen met talent B.V.;;;;;1;;;;;1
Fruitschaal.nu;;;;1;;;;;;1
Fuhler Wegenbouw;;;;;;;1;;;1
Fujitsu Technology Solutions B.V.;;;;;;;;1;;1
Fusian Express;1;;;;;;;;;1
FysioSupplies B.V.;;;;;;;1;;;1
G. Bakker en Zn. B.V.;1;;;;1;;1;1;;2
G. Jansson;;;;;;;1;;;1
G.J. Floors B.V.;;;;;;;1;;;1
G4S Cash Management B.V.;;;;;;;1;;1;1
G4S Cash Solutions B.V.;;1;;1;;;2;;1;2
G4S Direct B.V.;;4;;;;;;;;4
G4S Services;;6;;;;;;;;6
Gajes in de Bajes;;;;;1;;;;;1
Gall & Gall;;;;;;;1;;;1
Gargouilles B.V.;1;;;;;;;;;1
Gaserop B.V.;;;;;1;;;;;1
Gasterij De Waldwei B.V.;1;;;;;;;;;1
Gastromercado;;;;;1;;;;;1
GBS Shops;;;;;;;;1;;1
GCA Facility Services B.V.;;;7;;;;1;;;7
GE Healthcare B.V.;;;;;;;;1;;1
Gebak van Smolders;1;;;;1;;;;;1
Gebr. Barendsen B.V.;;;;;1;;;;;1
Gebrs. M.- en R. Jansen Glas Hoogvliet B.V.;;;;;;;1;;;1
Gebrs. Stoop Waarland B.V.;;;;;;;1;1;;1
Geen Blad voor de Mond B.V.;;;;;1;;;;;1
gefeliciTAART B.V.;;;;;1;;;;;1
Gehlen Zonwering B.V.;;;;;;;1;;;1
GekVanMedia;;;;;1;;;;;1
Generation F B.V.;;;;;1;;;;;1
Geometius B.V.;;;;;;;;1;;1
Gerrie van Zetten B.V.;;;;;1;;;;;1
Gerritse IJzerwaren Utrecht Savannahweg;;;1;;;;1;1;;1
Gerson Papier B.V.;;;;;;;;1;;1
Geschenk met Verhaal B.V.;;;;;2;;;;;2
Getinge B.V.;;;;1;;;;1;;1
Geurts Glas & Schildersbedrijf B.V.;;;;;;;1;;;1
Giant Store Veenstra;;;;;;;1;;;1
Gibas Numeriek B.V.;;;;;;;1;;;1
Gifts At Work;;;;;1;;;;;1
Gijs Ruurs H.O. Vers van Gijs;1;;;;;;;;;1
Gispen Kantoorinrichting;;;;;;;6;2;;6
Gjaltema Verhuur B.V.;;;;;;;;1;;1
Glas Compleet B.V.;;;;;;;1;;;1
Glas Ockels B.V.;;;;;;;1;;;1
Glasbeek Finish B.V.;;;;;;;;1;;1
Glasfolie Suncontrol B.V.;;;;;;;1;;;1
Glashandel Markenstein B.V.;;;;;;;1;;;1
Glashandel Verloop B.V.;;;;;;;1;;;1
GLE Maritime B.V.;;;;1;;;;;;1
Glimmobiel;;;;;;;1;;;1
GLS Netherlands;;;;1;;;;;;1
GMB Civiel B.V.;;;;;;;2;;;2
GMI Groep B.V.;;;;;;;2;;;2
Golden Dynasty;1;;;;;;;;;1
Golden Garden;1;;;;;;;;;1
Golden Palace;1;;;;;;;;;1
Golden Tulip Hotel Central;;;;;1;;;;;1
Golden Tulip Hotel De Reiskoffer;1;;;;;;;;;1
Golfpark Soestduinen B.V.;;;;;1;;;;;1
Gom Distributie- en Dienstencentrum B.V.;;;2;;;;1;;;3
Gouden Huis Lelystad B.V.;1;;;;;;;;;1
Gouweloos Elektrotechniek B.V.;;;;;;;2;1;;2
Govers Water Services;1;;;;;;;;;1
GrachtenAtelier;;;;;1;;;;;1
Grafisch Service Centrum Kik;;;;;;;1;1;;1
Grand CafÃ© - Restaurant Familia;;;;;1;;;;;1
Grand CafÃ© Arnhems Meisje;;;;;1;;;;;1
grand caf� Lebowski;;;;;1;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;;;;;1;;;;;1
Grandcafé De Wens B.V.;;;;;1;;;;;1
Granny's Corner;;;;;1;;;;;1
Grant Thornton Accountants en Adviseurs B.V.;;;;;1;;;;;1
GrapeDistrict B.V.;;;;;1;;;;;1
Graydon Incasso B.V.;;;;;;;;;1;1
GRB Verlichting B.V.;;;;;;;;1;;1
Greengiving B.V.;;;;;;;;1;;1
Greenz B.V.;;;;;1;;;;;1
Greetz B.V.;;;;;1;;;1;;1
Grieks Restaurant Dionysos;1;;;;;;;;;1
Groenendijk Bedrijfskleding B.V.;;;1;1;;;;1;;1
Groenhart Group B.V.;;;;;;;;1;;1
Groote Schaarsberg Audiovisueel V.O.F.;;;;;1;;1;;;1
Group 4 Securicor Alarmcentrale;;2;;;;;;;;2
Groveko;;;1;;;;;;;1
Gulf Nederland B.V.;;;;;;;1;;;1
Gullimex B.V.;1;;;;;;1;1;;1
Gunnebo Nederland B.V.;;;;;;;1;1;;1
Gunters en Meuser B.V.;;;;;;;;1;;1
H. de Vries Reinigingsapparatuur B.V.;;;;;;;;1;;1
H. Erren B.V.;;1;;;;;;;;1
H. van Namen B.V.;;;;;;;;1;;1
H.C.E. Rekko Beheer B.V.;;1;;;;;;;;1
H.H. Huuskes B.V.;2;;;;;;;;;2
Haagen Fire Training Products;;1;;;;;1;;;1
haes illustraties;;;;;;;;1;;1
Hagisto;;;;;;;;1;;1
HajÃ© Holding B.V.;1;;;;;;;;;1
Hakado Automatencatering;1;;;;;;;1;;1
Hakvoort Professional Zeeland B.V.;1;;;;;;;;;1
Hameetman Advies in Techniek;;1;;;;;;;;1
Hampshire Exploitatie I B.V.;;;;;1;;;;;1
Handboekbinderij Bronsgeest-Habi;;;;;1;;;;;1
Handelsonderneming Coenen B.V.;;;;;;;1;1;;1
Handelsonderneming D.J. Laan;;;;;;;;1;;1
Handelsonderneming Jewa Gas B.V.;;1;;;;;;;;1
Handelsonderneming Lemmen Tuin en Park;;;;;;;1;1;;1
Handelsonderneming Observe & Protect;;;;;;;;1;;1
Handelsonderneming T. van der Sanden B.V.;1;;;;;;;;;1
Hanos Amsterdam;1;;1;;;;;;;1
Hansen Evenementen B.V.;1;;;;1;;;;;1
Happy Meat B.V.;;;;;1;;;;;1
Harbach Sport B.V.;;;;;1;;;;;1
Harbour CafÃ© B.V.;;;;;1;;;;;1
Harrie Verkaik Sportprijzen B.V.;;;;;1;;;;;1
Hartech Meet- & Testapparatuur B.V.;;;;;;;;1;;1
Hasselaar Bouw en Afbouw B.V.;;;;;;;1;;;1
Hazemeijer Hengelo B.V.;;;;;1;;;;;1
Health2Work B.V.;;;;1;;;3;2;;3
HeartMath BeNeLux B.V.;;;;1;;;;;;1
Heas & Doedens;;;;;;;;1;;1
Hebaco Bakovenbouw N.V.;;;;;;;;1;;1
Hectas Facility Services C.V.;;;6;;1;;;;;6
Hedi International B.V.;;;;;1;;;1;;2
Heering Office;;;;;1;;;;;1
heerlijk & heerlijk banketbakkerij Jolink;;1;;;;;;;;1
Heerlijk bij;1;;;;;;;;;1
Hega Offset B.V.;;;;;1;;;;;1
Height B.V.;;;1;;;;;;;1
Heigo Nederland B.V.;;;1;;;;1;;;1
Heijmans Utiliteit;;2;;;;;2;2;;3
Heko;;;;;;;1;;;1
Helden van Handel B.V.;;;;;1;;;;;1
Heldervink;;;;;1;;;;;1
Helloprint Benelux B.V.;;;;;1;;;;;1
Hemels Lekker B.V.;;;;;1;;;;;1
Hennekes Preventie en Re�ntegratie;;;;;;;1;;;1
Henri Bloem's Vinotheek Zwolle;;;;;1;;;;;1
Henri Bloem's Wijnkoperij;;;;;1;;;;;1
Henry Schein Dental;;;1;;;;1;1;;1
Heras B.V.;;2;;;;;2;;;3
Herberg 't Wapen van Cromvoirt;1;;;;;;;;;1
Herkulosche Esch;;;;;1;;;;;1
Hertek B.V.;;;;;;;1;;;1
Hertzinger Satelliet Ontvangst B.V.;;;;;;;;1;;1
Het Bloemenatelier;;;;;1;;;;;1
Het Hoofdkantoor B.V.;1;;;;;;;;;1
Het Kaaswinkeltje 'De Lachende Koe';1;;;;;;;;;1
Het Kookplein;;;;;1;;;;;1
Het Leren Organiseren;;;;;1;;;;;1
Het Muntgebouw-Utrecht B.V.;1;;;;1;;;;;1
Het Nederlands Openluchtmuseum;1;;;;;;;;;1
Het Nederlandse Rode Kruis;;1;;;;;;;;1
Het Paleis Groningen B.V.;;;;;1;;;;;1
Het Pleidooi;;;;;1;;;;;1
Het Venster op Waterland;;;;;1;;;;;1
Het Verenigingsgebouw;;;;;1;;;;;1
Het Wapen van Leeuwarden B.V.;1;;;;1;;;;;1
Hettema Verhuurt Praktisch Alles!;;;;;;;1;;;1
Heymans Visuele Communicatie B.V.;;;;;;;;1;;1
Hiephiepkado B.V.;;;;;1;;;;;1
High End Low Register Music;;;;;1;;;;;1
Hilbert Boxem, Keurslager;1;;;;;;;;;1
Hildebrand Papier V.O.F.;;;;1;;;;1;;1
Hilman Meubelen;;;;;;;2;;;2
His Wilms Textielgroep B.V.;1;;;;;;;;;1
Hiscox Nederland;;;;;;;1;;;1
HMSHost Nederland B.V.;;;;;1;;;;;1
Hobart Nederland B.V.;;;;;;;1;1;;1
Hobrand B.V.;;;;;;;1;;;1
Hobrand Holding B.V.;;1;;;;;;;;1
Hoefsmederij Eijsvogels;;;;;1;;;;;1
Hoeksche Waardse Kantoor Service;;;;;;;;1;;1
Hofstee Brandbeveiliging;;1;;;;;;;;1
Hofvlietvilla B.V.;;;;;1;;;;;1
Hogeschool Domstad Facilitaire Zaken B.V.;;;;;2;;;;;2
Hogrefe Uitgevers B.V.;;;;1;2;;;1;;2
Hoka Den Haag B.V.;1;;;;;;;;;1
Holabouw B.V.;;;;;;;2;;;2
Holding Beheermaatschappij Ropeni B.V.;;;;;1;;;;;1
Holding Het Koningsbed B.V.;;;;;1;;;;;1
Holl. Sportveldenonderhouds Mij. (HSM) B.V.;;;;;;;1;;;1
Holland Casino Leeuwarden;1;;;;;;;;;1
Holland Mast B.V.;;;;;;;1;;;1
Holland Nautic Benelux B.V.;;1;;;;;;1;;1
Holland Tour Guides B.V.;;;;;1;;;;;1
Holland Vision B.V.;;;;;1;;;1;;1
Hollandse Hoogte B.V.;;;;;1;;;;;1
Hollandse Stijl' B.V.;;;;;;;;1;;1
