Leveranciersnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
CAFÃ?-RESTAURANT AMIER;;;;1;;;;;;1
CafÃ© De Blauwe Pan;;;;1;;;;;;1
CafÃ© Huppel 'The Pub';;;;1;;;;;;1
CafÃ© Restaurant Rootz B.V.;;;;1;;;;;;1
CafÃ© Van Beek;;;;1;;;;;;1
CAFE DE PARIS;;;;;;;;;1;1
CAFE HUPPEL ''THE PUP'';;;;1;;;;;;1
Cafe Luden;;;;1;;;;;;1
CAFE RESTAURANT DE EEUWIGE JACHTVELDEN;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;;1
Cafe Restaurant Vandaag B.V.;;;;1;;;;;;1
Cafe Rootz;;;;1;;;;;;1
Cafe SOOF Den Haag BV;;;;;;;;;1;1
CAFE VAN BEEK;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
Cafe-Restaurant Pan;;;;1;;;;;1;1
CaffÃ¨ Almondo;;;;1;;;;;;1
Cameraland B.V.;;;;1;;;;;;1
Campanile Hotel Zwolle;;;;1;;;;;;1
Cancer & Career;;;1;;;;;;;1
Cao-recht Advies en Opleiding;;;;;;1;;;;1
capgemini consulting;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;2;;;;2
Capo Cucina;;;;1;;;;;;1
Capriole C;;;;1;;;;;;1
Capriole Coffee Cafe B.V.;;;;1;;;;;;1
Carlton Ambassador Hotel B.V.;;;;1;;;;;;1
Carlton Beach;;;;1;;;;;;1
Carlton Beach Scheveningen Den Haag;;;;;;;1;;;1
Carlton Hotel Collection;;;;1;;2;1;;;2
Carlton Hotels Nederland B.V.;;;;;;;;;1;1
CARNEGIE - STICHTING;;;;;;1;;;;1
CARONI;;;;1;;1;;;;1
CARRILHO EXECUTIVE COACHING AND CONSULTI;;;;;;1;;;;1
Cartoon Blanche;;;;1;;;;;;1
Casa Ramon;;;;1;;;;;;1
Casadata;;;;1;;;;;;1
Catalunia;;;;1;;;;;;1
Catering Dik Trom;;;;1;;;;;;1
Catering Oud London B.V.;;;;1;;;;;;1
Catering Witteveen B.V.;;;;1;;;;;;1
Catootje aan de Markt;;;;1;;;;;;1
CB Facturatie B.V.;;;;1;;;;;;1
CEEP BENELUX;;;;;;1;;;;1
CENTRAAL BOEKHUIS;;;;;;1;;;;1
Centraal Incasso Buro Nederland B.V.;;;;;;1;;;;1
Central Point Nederland B.V.;;;1;;;;;;;1
Centric;;;;;;1;;;;1
Centrum voor Conflicthantering B.V.;;;;;;1;;;;1
CertoPlan B.V.;;;;;;1;;;;1
Chan Bedrijfsarts;;;1;;;;;;;1
CHARLOTTE GMELIG MEIJLING;;;;;;1;;;;1
Chateauhotel-Restaurant Havesathe De Havixhorst B.V.;;;;1;;;;;;1
Chauffeurstelefoon B.V.;;;;1;;;;;;1
Chauffeurstelefoon VIP Vervoer;;;;;;;;;1;1
CHE Synnervation B.V.;;;;;;1;;;;1
CHEEKY PIE;;;;1;;;;;;1
Chinees Indisch Rest. Wan Soen;;;;1;;;;;;1
Chinees Indisch Restaurant Mandarin Heemstede;;;;;;;1;;;1
CHINEES WOK RESTAURANT ROYAL PALACE;;;;1;;;;;;1
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;2;;;;2
CIO PLATFORM NEDERLAND;;;;;;1;;;;1
CIOa.i. B.V.;;;1;;;;;;;1
CIOnet Nederland B.V.;;;;;;1;;;;1
City Hotel Tilburg;;;;;;;;;1;1
City Resort Events;;;;;;;;;1;1
Citylife B.V.;;;;1;;;;;;1
Classic Incasso B.V.;;;;;;1;;;;1
CLOOS;;;;2;;;;;;2
Cloose;;;;1;;;;;;1
CLUBFOOS;;;;1;;;;;;1
Cmotions BV;;;;;;1;;;;1
COÃ?PERATIE VERTROUW JE;;;;;;1;;;;1
CoÃ¶peratie De Betekenaar UA;;;;;;1;;;;1
Coach to coach B.V.;;;;;;1;;;;1
CoÃƒÂ¶peratie Doon UA;;;;;;1;;;;1
COCD vzw;;;;;;1;;;;1
Coffee and Coaching;;;;;;1;;;;1
Cohesie;;;;1;;;;;;1
Collective Talent Company;;;1;;;1;;;;1
College of Multimedia;;;;;;1;;;;1
Colourshift;;;;;;1;;;;1
COMM VAN BEHEER RYKSKANT HANZELAND;;;;1;;;;;;1
Companion Conferences;;;;;;1;;;;1
COMPAREX Nederland B.V.;;;2;;;2;;;;3
Compu'Train;;;;;;1;;;;1
Computrain Opleidingen;;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
Compu'Train Trainingen B.V.;;;;;;2;;;;2
Conducto Opleidingen B.V.;;;;;;1;;;;1
Conferentiehotel Villa Heidebad;;;;;;2;;;;2
Confetti Shopping Group B.V.;;;;1;;;;;;1
Connecting Colours B.V.;;;;;;1;;;;1
Conny Schoonen;;;;;;1;;;;1
Conrad Electronic Benelux B.V.;;;;1;;;;;;1
Consulo B.V.;;;2;;;;;;;2
COOPERATIE DE BETEKENAAR U.A.;;;;;;1;;;;1
COOSTO;;;;;;1;;;;1
COPENHAGEN INSTITUTE OF;;;;;;1;;;;1
Corael Opleidingen;;;;;;1;;;;1
Cormet Enjoy the Good Life B.V.;;;;1;;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;;1
CORNER STONE;;;;;;1;;;;1
Corona;;;;;;;;;1;1
Corridor Taverne (Lunchroom/cafe De Corridor);;;;1;;;;;;1
Crazy Piano s Scheveningen B.V.;;;;1;;;;;;1
Creactor;;;;1;;;;;;1
Creaim B.V.;;;;;;1;;;;1
Cristina Hoogewind;;;;;;1;;;;1
CRP B.V.;;;;1;;;;;;1
CS Opleidingen B.V.;;;;;;1;;;;1
CTMabc;;;;1;;1;;;;1
Culinair Wonder Groep B.V.;;;;;;;1;;;1
CULPEPPER B.V.;;;;2;;;;;;2
CURLCONCEPTS B.V.;;;;1;;;;;;1
CUSTOMER REVOLUTION;;;;;;1;;;;1
CVA Informarica Opleidingen B.V.;;;;;;1;;;;1
DÃ©hora Consultancy Group B.V.;;;;;;2;;;;2
DAB TAX;;;;;;;;;1;1
Dakbar B.V.;;;;1;;;;;;1
DARA B.V.;;;;1;;;;;;1
De Academy B.V.;;;;;;1;;;;1
De Alchemist;;;;;;1;;;;1
DE ARGUMENTENFABRIEK DENKACADEMIE;;;;;;1;;;;1
DE BAAK;;;;;;3;;;;3
De Baak Administratie;;;;;;2;;;;2
De Baak B.V.;;;;2;;2;;;1;2
DE BAAK SEASIDE;;;;;;1;;;;1
De Beijer-Rehmann;;;;1;;;;;;1
De Belgische Keizer B.V.;;;;1;;;;;;1
De Beren Zwolle;;;;1;;;;;;1
de Betekenaar;;;;;;1;;;;1
De Betekenaar U.A.;;;;;;2;;;;2
De Beyerd Café Restaurant;;;;1;;;;;;1
DE BIBLIOTHEEK;;;;;;1;;;;1
DE BIJENKORF;;;;1;;;;;;1
De Boeckhorst B.V.;;;1;;;;;;;1
De Bonte Haas B.V.;;;;1;;;;;;1
DE COACHPRAKTIJK;;;;;;1;;;;1
De Corridor;;;;1;;;;;;1
De Dwarsdenkerij B.V.;;;;;;1;;;;1
De eerste verdieping;;;;;;1;;;;1
De Efteling B.V.;;;;1;;;;;;1
De Federatie B.V.;;;;;;2;;;;2
De Ferrante Secretariaten en Opleidingen B.V.;;;;;;1;;;;1
DE GENERAAL';;;;1;;;;;;1
De Gezonde Zaak B.V.;;;;;;1;;;;1
DE GOESTING;;;;1;;;;;;1
De Gouden Ton;;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;;1;;;;;;1
DE GOUDSE LICHTFABRIEK B.V.;;;;1;;;;;;1
De Heeren van Soetermeer;;;;1;;;;;;1
De Hofnar Scheveningen B.V.;;;;1;;;;;;1
De Hooge Vuursche B.V.;;;;;;;;;1;1
De Horeca Academie Zakelijk B.V.;;;;1;;;;;;1
De Horeca Academie Zakelijk BV;;;;1;;;;;;1
De Ibis Illustraties;;;;1;;;;;;1
De Javaanse Vlam;;;;1;;;1;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;;;;;1;;;;1
DE KEUKEN VAN THIJS;;;;1;;;;;;1
DE KNEGT & LEEFLANG B.V.;;;;1;;;;;;1
De Koers;;;;;;1;;;;1
De Kookfabriek;;;;1;;;;;;1
De Kookfabriek Den Haag B.V.;;;;1;;;;;;1
De Laat Teammanagement;;;;1;;;;;;1
De Lachende Koe III B.V.;;;;1;;;;;;1
De Lachende Lama;;;;1;;;;;;1
DE MARKTHOF;;;;1;;;;;;1
DE MOOR TEKST & UITLEG;;;;;;1;;;;1
De Nederlandse Ver. van Rentmeesters NVR;;;;;;1;;;;1
De Nederlands-Vlaamse Bouwfysica Vereniging;;;;;;1;;;;1
De Nonnen in Vught;;;;;;2;;;;2
De Ondersteen;;;;;;1;;;;1
De Onderstroom Karin Brugman;;;;;;1;;;;1
De Ooievaart / De Vlietvaart;;;;1;;;;;;1
DE OOIEVAER;;;;1;;;;;;1
DE PERSGROEP NEDERLAND B.V.;;;;1;;;;;;1
DE POORT VAN KLEEF;;;;1;;;;;;1
De Projectinrichter B.V.;;;;1;;;;;;1
De Pubquizmaster Delft;;;;1;;;;;;1
De Reehorst' B.V.;;;;;;1;;;;1
DE ROTTERDAM B.V.;;;;1;;3;;;;3
De Rotterdam Tours;;;;1;;;;;;1
De Salon Noordeinde B.V.;;;;1;;;;;;1
De Schelmse Brug B.V.;;;;1;;;;;;1
De Spijker B.V.;;;;1;;;;;;1
De Surinees;;;;1;;;;;;1
De Tijd Bar & Grill (onderdeel Somhoreca);;;;1;;;;;;1
De Toekomst B.V.;;;;;;1;;;;1
De Tombe Consultancy B.V.;;;;;;1;;;;1
DE TUINDERIJ;;;;1;;;;;;1
DE TUINKAMER;;;;;;1;;;;1
DE VOLKSKRANT;;;;;;1;;;;1
De Vrienden van de Burgemeester;;;;1;;;1;;;1
De Vrijplaats;;;;;;1;;;;1
De Watertuin Holding B.V.;;;;1;;;;;;1
De Wijkplaats B.V.;;;;;;1;;;;1
De Zeevruchten;;1;;1;;;;;;1
De Zuidooster B.V.;;;;;;;;1;;1
DEBAT.NL;;;;;;1;;;;1
Dechesne Personal Coaching;;;;;;1;;;;1
DEERNS;;;1;;;;;;;1
DEIMAN TOURS;;;;1;;;;;;1
DEKKER ZOETERMEER;;;;1;;;;;;1
DeLaMar Theater;;;;1;;;;;;1
Delflandhoeve;;;;1;;;;;;1
Delft Congress Support B.V.;;;;;;1;1;;;1
Deltion College Stichting;;;;;;1;;;;1
DEN HAAG MARKETING;;;;1;;;;;;1
DENDY;;;;1;;;;;;1
Dendy B.V.;;;;1;;;;;;1
DENKPRODUCTIES;;;;;;1;;;;1
DENKSCHETS.NL;;;;;;1;;;;1
Depok B.V.;;;;1;;;;;;1
Depressie Vereniging;;;;;;1;;;;1
DesignThinkers B.V.;;;;;;1;;;;1
Deskbookers;;;;;;;;;1;1
DeSpreker.nl;;;;;;1;;;;1
DGMR Bouw B.V.;;;;;;1;;;;1
DIALOGUE;;;;;;1;;;;1
Dickens Horecabedrijven B.V.;;;;1;;;;;;1
Diensten en Recreatiecomplex Nieuwe Haven Witte Raaf Stichting;;;;1;;;;;;1
DIENSTEN STICHTING MEDIATION;;;1;;;1;;;;1
DiEx B.V.;;;;;;1;;;;1
Different Drums;;;;;;1;;;;1
Digital Action;;;;;;1;;;;1
Digital Optimizers BV;;;;;;1;;;;1
DINER THUIS;;;;1;;;;;;1
DIOR Opleidingen;;;;;;1;;;;1
DIRECTION REGIONALE DES FINANCES;;;;;;2;;;;2
Discountoffice.nl B.V.;;;;1;;;;;;1
DISGOVER B.V.;;;;;;1;;;;1
Distinguished;;;;1;;1;;;;1
DIT B.V.;;;;1;;;;;;1
DJ JeroenSound;;;;1;;;;;;1
DJAMBO CARIBBEAN RESORT;;;;;;;;;1;1
Djembé Agogé;;;;1;;;;;;1
DNA Noordoost-Brabandt;;;;;;1;;;;1
DNV GL BUSINESS ASSURANCE;;;;;;1;;;;1
DOCFACTORY B.V.;;;;;;1;;;;1
Doffegnies Catering B.V.;;;;1;;;;;;1
DOKKUMER VLAGGEN CENTRALE;;;;1;;;;;;1
DOMINO'S PIZZA TORENSTRAAT;;1;;1;;;;;;1
Domino's Pizza Voorburg;;1;;1;;;;;;1
Domstad Cursus- en vergadercentrum;;;;;;1;;;;1
Domstad Evenementen B.V.;;;;1;;1;;;;1
Donconsult;;;;1;;;;;;1
DONKERGROEN B.V.;;;;1;;;;;;1
dOorsprong;;;;;;1;;;;1
Dopper;;;;1;;;;;;1
Dordts Genoegen;;;;1;;;;;;1
Doxis;;;;;;2;;;;2
DRAAKJE HOLDING;;;;;;1;;;;1
Drent Uitvaartverzorging;;;;1;;;;;;1
DRENTSE HISTORISCHE VERENIGING;;;;;;1;;;;1
DriveToConnect;;;;;;;;;1;1
DRIZwolle;;;;;;1;;;;1
DUDOK DEN HAAG;;;;2;;;;;;2
DUIDT;;;;;;1;;;;1
Dulang Restaurant;;;;1;;;;;;1
Dunea Duin & Water;;;;;;;;;1;1
Dunes Investment B.V.;;;;1;;;;;;1
DUNUNBA PERCUSSIE WORKSHOPS;;;;1;;;;;;1
Dusecon;;;;;;1;;;;1
Dutch Pinball Museum;;;;;;1;;;;1
DYNA VISION;;;;;;1;;;;1
DynaVision (Powered by Andija);;;;;;2;;;;2
Easy2Rent (nieuw);;;;;;1;;;;1
EasyStaff Freelance Services B.V.;;;;;;2;;;;2
EAZIE DEN HAAG II B.V.;;;;1;;;;;;1
Ebbinge & Company;;;;;;1;;;;1
Ebbinge B.V.;;;;;;2;;;;2
Echo;;;;;;1;;;;1
ECONOMISCH STATISTISCHE BERICHTEN;;;;;;1;;;;1
EDEN HOTEL EXPLOITATIE;;;;1;;;;;;1
Eden Oranje Hotel B.V.;;;;;;;;;1;1
Editio B.V.;;;;;;1;;;;1
EDWIN DE VOS BUSINESS CONSULTANCY;;;;;;1;;;;1
Eenhoorn Meeting Center;;;;;;;;;1;1
EFECTIS NEDERLAND BV;;;1;;;;;;;1
Effectief Office;;;;;;1;;;;1
EFFECTIVENTS;;;;;;1;;;;1
EFFECTORY;;;;;;2;;;;2
Eindhoven247 B.V.;;;;1;;;;;;1
Ekwadraat Advies B.V.;;;;1;;;;;;1
El Hage ,Burney;;;;;;;;;1;1
El Iberico;;;;1;;;;;;1
Elektroraad Opleidingen B.V.;;;;;;1;;;;1
Element Catering;;;;1;;;;;1;1
ELENCHIS;;;;;;1;;;;1
Elsevier Business Information;;;;;;1;;;;1
ELYCIO TALEN;;;;;;1;;;;1
Elycio Talen B.V.;;;;;;1;;;;1
EMC ADVIES;;;;;;2;;;;2
EMD CENTRE;;;;;;1;;;;1
Emerce B.V.;;;;;;1;;;;1
EMMA COMMUNICATIE;;;;;;1;;;;1
Emovements;;;;;;1;;;;1
Endemol Shine Nederland Producties B.V.;;;;1;;;;;;1
Engels Horeca Rotterdam B.V.;;;;1;;;;;;1
Enginear B.V.;;;;;2;;;;;2
English Breeze;;;;;;1;;;;1
Entalis B.V.;;;;;;1;;;;1
ENTERPRISE SUMMIT B.V.;;;;;;;;;1;1
Entopic B.V.;;;;;;1;;;;1
EQLANT;;;;;;1;;;;1
Equisabella Coaching;;;;;;1;;;;1
ER&ES Consult;;;;;;2;;;;2
ER&ESCONSULT;;;;;;1;;;;1
ERA;;;;;;1;;;;1
Ergatis B.V.;;;1;1;;1;;;;2
ESAA;;;;;;2;;;;2
Escape Experience;;;;1;;;;;;1
Escape Room Rijswijk;;;;1;;;;;;1
ESCAPE ROOM SCHEVENINGEN;;;;1;;;;;;1
Escape World B.V.;;;;1;;;;;;1
Esri Nederland;;;;;;1;;;;1
Essence trainingen;;;;;;1;;;;1
Essence Trainingen Amsterdam B.V.;;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;;;;1
ETEN EN ZO;;;;1;;;;;;1
Eten&Zo;;;;1;;;;;;1
ETIQUETTE A LA CARTE;;;;;;1;;;;1
Eurest Service BV;;;;;;1;;;;1
Euro Events B.V.;;;;1;;;;;;1
EUROBORG HORECA BV;;;;1;;;;;;1
Euroforum;;;;;;2;;;;2
European Groep for Public Administration;;;;;;1;;;;1
EUROPEAN LANGUAGE CENTRE;;;;;;1;;;;1
EUROPEAN LEADERSHIP PLATFORM;;;;;;2;;;;2
Eurosafe Solutions B.V.;;;;;;1;;;;1
Euroscope Benelux B.V.;;;;1;;;;;;1
EURS;;;;;;1;;;;1
Event Medical Service B.V.;;;;;;1;;;;1
Evers Events;;;;1;;;;;;1
Evolution at Work LLC;;;;;;1;;;;1
eX:plain;;;;;;1;;;;1
Exact Software Nederland B.V.;;;;;;1;;;;1
Examenadviesburo B.V.;;;;;;1;;;;1
EXCELLENT TOURINGCARS;;;;;;;;;1;1
EXIN;;;;;;1;;;;1
Expedia;;;;;;;;;1;1
Expertise Centrum Busch;;;;;;1;;;;1
Expl.maatschappij Golfbaan Amelisweerd B.V.;;;;1;;;;;;1
EXPLAINIT;;;;;;1;;;;1
ExplainiT B.V.;;;;;;1;;;;1
Explainit Company;;;;;;1;;;;1
Explicit Solutions;;;;;;1;;;;1
Exploitatie Maatschappij Komfort B.V.;;;;1;;1;;;;1
Exploitatie Schimmelpenninckhuys B.V.;;;;;;;;;1;1
EXPONENTIAL EXPANSION;;;;;;1;;;;1
F H BUDDENBERG;;;1;;;;;;;1
F.C.C. de IJsselcrossers;;;;1;;;;;;1
Faculteit Governance and Global Affairs;;;;;;1;;;;1
Faire du VÃ©lo B.V.;;;;;;1;;;;1
FAMO;;;;;;1;;;;1
Fashion Hotel Amsterdam B.V.;;;;;;;;;1;1
Fast Moving Targets B.V.;;;;;;1;;;;1
FCE STICHTING OPLEIDINGSKUNDE;;;;;;1;;;;1
Feelgood2GO B.V.;;;;1;;;;;;1
FEM Products;;;;;;1;;;;1
Fepa Horeca B.V.;;;;;;;;;1;1
Fidder's;;;;;;;;;1;1
Fietsen van Freek;;;;1;;;;;;1
FILM ATELIER DEN HAAG;;;;;;1;;;;1
FINE ASIAN GOURMET B.V.;;;;1;;;;;;1
Finow BV/ Burrata;;;;1;;;;;;1
Fire-Control B.V.;;;;;;1;;;;1
Firma Hof der Muzen;;;;1;;;;;;1
First Priority Music;;;;1;;;;;;1
Fish & Meat B.V.;;;;1;;;;;;1
Fles en Mes B.V.;;;;1;;;;;;1
Fletcher Hotel Restaur. de Wipselberg-Veluwe;;;;;;;;;1;1
Fletcher Hotel Restaurant Apeldoorn;;;;;;;;;1;1
FLETCHER HOTELS B.V.;;;;2;;;;;;2
Fletcher Hotels Leidschendam;;;;;;;;;1;1
Fletcher Hotels Nieuwegein-Utrecht;;;;;;;;;1;1
Fleurtiek Amsterdam B.V.;;;;1;;;;;;1
Flexchair;;;1;;;;;;;1
Flirt Incompany;;;;;;1;;;;1
Flitz-events;;;;1;;;;;;1
FLOC RESTAURANT;;;;1;;;;;;1
Flowers&Wheels;;;;1;;;;;;1
FLOWERS4U;;;;1;;;;;;1
FOCUS;;;;;;1;;;;1
Focus Learning Journeys;;;;;;1;;;;1
Fonk Beach BV;;;;1;;;;;;1
FOODZIE;;;;1;;;;;;1
FOR CONFERENCE;;;;;;1;;;;1
Forsa Advies B.V.;;;;;;1;;;;1
Fort Events;;;;1;;;;;;1
Fort Voordorp B.V.;;;;4;;;;;;4
FORTES SOLUTIONS;;;;;;1;;;;1
Fortune Factory B.V.;;;;1;;;;;;1
Fountainheads;;;;;;1;;;;1
FOUQUET RESTAURANT;;;;1;;;;;;1
Fox Consultancy;;;;;;1;;;;1
FOX-IT;;;;;;1;;;;1
FRAME B.V.;;;;;;1;;;;1
Frank Schaper;;;;1;;;;;;1
FRANKE INTERIM MANAGEMENT;;;;;;1;;;;1
Franklin-Coaching & Consultancy;;;;;;1;;;;1
FRANKLINCOVEY;;;;;;2;;;;2
Fratelli Den Haag;;;;1;;;;;;1
Fresh Today Westerkade;;;;1;;;;;;1
FREZON;;;;1;;;;;;1
Friends of the Brands B.V.;;;;1;;;;;;1
FRIJTERS MIND TUNING B.V.;;;;;;1;;;;1
FRISSEWIND;;;;;;1;;;;1
Fruitful Office Benelux;;;;1;;;;;;1
Fruitschaal.nu;;;;1;;;;;;1
FRYSKE AKADEMY;;;;;;1;;;;1
Fujitsu Technology Solutions B.V.;;;;;;1;;;;1
Funding Subsidiemanagement B.V;;;;;;1;;;;1
Furth Trainingen;;;;;;1;;;;1
Futureconsult Holding B.V.;;;;;;2;;;;2
G4S Training & Safety bv;;;;;;2;;;;2
Gaaf verhuur;;;;1;;;;;;1
GAAF! Events;;;;1;;;;;;1
GAROEDA;;;;1;;;;;;1
Garoeda  Indonesisch restaurant;;;;1;;;;;;1
Gartner Nederland B.V.;;;;;;2;;;;2
Gartner U.K. Limited;;;;;;;;;1;1
Gasterij 't Karrewiel B.V.;;;;1;;;;;;1
Gastvrijheid in bedrijf;;;;;;1;;;;1
Gebr. Barendsen;;;;1;;;;;;1
GEBR. BARENDSEN B.V.;;;;2;;1;;;;2
GEFELICITAART;;;;1;;;;;;1
gefeliciTAART B.V.;;;;1;;;;;;1
Gelukkig Werken;;;;;;1;;;;1
GENOOTSCHAP AMSTELODAMUM;;;;;;1;;;;1
Genootschap Onze Taal;;;;;;1;;;;1
GENOOTSCHAP ONZE TAAL PENN;;;;;;1;;;;1
Geoplan Nederland B.V.;;;;;;1;;;;1
GEORGE HOUSE;;;;;;1;;;;1
GESCHENKBEZORGEN.NL;;;;1;;;;;;1
Geschenkbezorgen.nl B.V.;;;;1;;;;;;1
GESCHIEDKUNDIGE VERENIGING DIE HAGHE;;;;;;1;;;;1
GET EVENTS;;;;1;;;;;;1
Get Events BV;;;;1;;;;;;1
Getting the picture B.V.;;;;;;1;;;;1
Gewoon aan de slag;;;;1;;;;;;1
Gezondheidszorg psycholoog;;;;;;1;;;;1
GH Catering B.V.;;;;;;1;;;;1
GILDE DELFT;;;;1;;;;;;1
Gilze-Tilburg Hotel;;;;1;;;;;;1
GITP;;;;;1;1;;;;2
GITP B.V.;;;;;;2;;;;2
GITP Training & Opleiding B.V.;;;;;;1;;;;1
GJM Communicatie B.V.;;;;;;1;;;;1
GL events World Forum Convention Center B.V.;;;;1;;;;;;1
GLOBAL KNOWLEDGE NETWORK;;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;;1;;;;1
Global Project Performance;;;;;;1;;;;1
Glope Events BV;;;;1;;;;;;1
Glow Golf Scheveningen B.V.;;;;1;;;;;;1
Glowgolf de Kuip BV;;;;1;;;;;;1
Go B.V.;;;;;;1;;;;1
GO BV VOORBURG;;;;;;2;;;;2
Golf- & Countryclub Liemeer B.V.;;;;1;;;;;;1
Golfbaan Heelsum Stichting;;;;1;;;;;;1
GOLFSTROMEN;;;;;;1;;;;1
Gommers I. Huis & Interieur;;;;;;1;;;;1
Gopi Perkash;;;;1;;;;;;1
Gosselink Advies en Management;;;;;;2;;;;2
Goude Hooft;;;;1;;;;;;1
Gouden Wok;;;;1;;;;;;1
GOVERNANCE & INTEGRITY NEDERLAND B.V.;;;;;;1;;;;1
Gran Mercado B.V.;;;;1;;;;;;1
Grand CafÃ© Van Buuren B.V.;;;;1;;;;;;1
Grand cafe De Tijd;;;;1;;;;;;1
Grand Cafe Hemels;;;;1;;;;;;1
Grand Central Food Market B.V.;;;;1;;;;;;1
Grand Central Foodmarket B.V.;;;;1;;;;;;1
GRAND HOTEL KAREL V;;;;1;;;;;;1
GRAND RESTAURANT LE CONNAISSEUR DEN HAAG;;;;1;;;;;;1
GrandcafÃ© De Wens B.V.;;;;1;;;;;;1
Grandcafe De Wens;;;;1;;;;;;1
Grandcafe De Wens BV;;;;1;;;;;;1
Grandcafe Haagsche Bluf;;;;1;;;;;;1
Grandcafe Lübeck;;;;1;;;;;;1
GRANNYS CORNER;;;;1;;;;;;1
Granny's Corner;;;;1;;;;;;1
GRAPES & OLIVES;;;;1;;;;;;1
GRAPHIC HUNTERS;;;;;;1;;;;1
Green Turf B.V.;;;;1;;;;;;1
Greenbean;;;;1;;;;;;1
Greetz;;;;1;;;;;;1
Grey Amsterdam B.V.;;;;;;1;;;;1
Grey Matters;;;;1;;;;;;1
GRILL- EN STEAKHOUSE DESPERADO;;;;1;;;;;;1
Grillrestaurant Boove & Beneeje;;;;1;;;;;;1
Groeneveld Communicatie;;;;;;1;;;;1
Groot Haarlem B.V.;;;;1;;;;;;1
GROOTE SOCIETEIT HAAGSCHE CLUB - PLAATS;;;;1;;;;;;1
GULDEN BELOFTE;;;;1;;;;;;1
GUSTO MANGIA E BEVI;;;;1;;;;;;1
H.U. Gunes t.h.o.d.n. SPAR CITY Korte;;;;1;;;;;;1
HÃ¶rnig Consultancy B.V.;;;;;;1;;;;1
HAAGS CONGRES BUREAU;;;;;;1;;;;1
Haagse Beek Organisatieadvies;;;;;;1;;;;1
HAAGSE BEEK ORGANISATIEADVIES B.V.;;;;1;;1;;;;1
HAAGSE BOEKERIJ;;;;;;1;;;;1
Hall4 B.V.;;;;;1;;;;;1
HALLMARK CARDS NEDERLAND B.V.;;;;1;;;;;;1
Hampshire Exploitatie I B.V.;;;;;;1;;;1;1
Hampshire Exploitatie II B.V.;;;;;;1;;;;1
Hampshire Hotel - Crown Eindhoven;;;;;;;;;1;1
HAMPSHIRE HOTEL BABYLON;;;;2;;;;;1;2
HAMPSHIRE HOTEL GRONINGEN;;;;;;;;;1;1
Hampshire Hotel Groningen Centre;;;;;;;;;1;1
Hampshire Hotel Management B.V.;;;;1;;;;;;1
Handelsonderneming Maessen B.V.;;;;2;;;;;;2
HANTING CUISINE B.V.;;;;1;;;;;;1
Hapjesbar Tabasco;;;;1;;;;;;1
Happy Garden;;;;1;;;;;;1
Happy Meat B.V.;;;;1;;;;;;1
Haptonomiepraktijk Vreeswijk;;;1;;;;;;;1
HARMONY RELOCATION;;1;;;;;;;;1
HART BEACH;;;;1;;;;;;1
HARTE VAN & LINGSMA;;;;;;2;;;;2
Hartelijk Gefaciliteerd;;;;;;1;;;;1
Hartog B;;;;1;;;;;;1
HARVARD KENNEDY SCHOOL;;;;;;2;;;;2
Hauber Management Advies;;;;;;1;;;;1
HBM Academy B.V.;;;;;;1;;;;1
HBO-I. Stichting;;;;;;1;;;;1
HBS (Ballon 24 uur);;;;1;;;;;;1
HD-HRM Consult bvba;;;;;;1;;;;1
HeadFirst B.V.;;;;;;5;;;;5
Health & Employebility, van Bennekom;;;4;;;;;;;4
HEALTH2WORK;;;1;;;;;;;1
Health2Work B.V.;;;1;;;;;;;1
Heart Connection;;;;;;1;;;;1
Heco Systems B.V.;;;;1;;;;;;1
Heeren & Jansze;;;;;;1;;;;1
HEIDI VIJVERBERG;;;;;;1;;;;1
Heijmans Utiliteit;;;;1;;;;;;1
Heilig Vuur;;;1;;;1;;;;1
Helder Werk B.V.;;;;;;1;;;;1
Helicon Opleidingen;;;;;;1;;;;1
Heliview;;;;;;1;;;;1
Heliview Conferences en Training B.V.;;;;;;1;;;;1
Heliview Marketingservice B.V.;;;;;;1;;;;1
HEMA BAKKERIJEN B.V.;;;;1;;;;;;1
HESBAK 2 BV;;;;1;;;;;;1
HET BAKKERTJE;;;;1;;;;;;1
Het Blije Wij;;;;;;1;;;;1
Het Debatbureau;;;;;;1;;;;1
HET FINANCIEEL DAGBLAD;;;;;;1;;;;1
