;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
De BBQ Chef;;;1;;;;;;1
De Belgische Keizer B.V.;;;1;;;;;;1
De Beren Apeldoorn;;;1;;;;;;1
De Beren Rotterdam Centrum;;;1;;;;;;1
De Best Consult;;1;;;;;;;1
De Beurs Schiedam;;;1;;;;;;1
De Bierkelder Utrecht;;;1;;;;;;1
De Biertuin Prinsengracht B.V.;;;;;;1;;;1
De BLANKEHOEVE;;;1;;;;;;1
De Boerinn B.V.;;;1;;;;;;1
De Boom in B.V.;;;1;;;;;;1
De Bowlingboerderij;;;1;;;;;;1
De Branding Utrecht B.V.;;;1;;;;;;1
De Brasserij Partycentrum;;;1;;;;;;1
De Broodbode Hengelo V.O.F.;;;1;;;;;;1
De Brouwschuur BV;;;1;;;;;;1
De Buik van Parijs;;;1;;;;;;1
De Busjop B.V.;;;1;;;;;;1
De Coaching Centrale B.V.;;;;1;1;;;;1
De Colonie 'S-Graveland;;;1;;;;;;1
De Corridor;;;1;;;;;;1
DE DEEL;;;1;;;;;;1
De Drie Paardjes;;;1;;;;;;1
De Efteling B.V.;;;1;;;;;;1
DE GENERAAL;;;1;;;;;;1
De Gezonde Zaak B.V.;;1;;;;;;;1
De Goede Aanloop;;;1;;;;;;1
De Gouden Leeuw;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;1;;;;;;1
De Gouverneur Maastricht B.V.;;;1;;;;;;1
De Graaf Van Vlaanderen B.V.;;;2;;;;;;2
De Grote Slok B.V.;;;1;;;;;;1
DE HAAGSCHE KLUIS;;;1;;;;;;1
De Haen Grandcafé en zalencentrum;;;1;;;;;;1
De Haven van Texel;;;1;;;;;;1
De Heeren van Driebergen B.V.;;;1;;;;;;1
De Heeren van Maarssen B.V.;;;1;;;;;;1
De Heerenmeester;;;1;;;;;;1
De Heerlijkheid Grand Steak & Grill;;;1;;;;;;1
De Herderin;;;1;;;;;;1
De Hooghcamer eten en drinken;;;1;;;;;;1
De Houtloods B.V.;;;1;;;;;;1
De Hûskeamer;;;1;;;;;;1
De Jonghe Graef van Buuren;;;1;;;;;;1
De Kade B.V.;;;1;;;;;;1
De Kale Pater B.V.;;;1;;;;;;1
De Kamer Hiernaast;;;1;;;;;;1
De Karkol;;;1;;;;;;1
De Klikspaan;;;1;;;;;;1
De Klok;;;1;;;;;;1
De Klok Horeca Gendt;;;1;;;;;;1
De Kloveniersdoelen B.V.;;;1;;;;;;1
De Kookfabriek Den Haag B.V.;;;1;;;;;;1
De Kookfabriek Rotterdam B.V.;;;1;;;;;;1
De Kookfabriek Utrecht B.V.;;;1;;;;;;1
De Koperen Bel;;;1;;;;;;1
De Koperen Tuin B.V.;;;1;;;;;;1
De Koppenjan;;;1;;;;;;1
De Korenmolen;;;1;;;;;;1
De Lachende Koe II B.V.;;;1;;;;;;1
De Lange Muur B.V.;;;1;;;;;;1
De Leidsche Flesch;;;;;1;;;;1
De Lichtkracht Academie;;;;;1;;;;1
De Loopbaanpraktijk;;;;;1;;;;1
De Makelaarsshop;;;1;;;;;;1
de Marktmeester;;;1;;;;;;1
De Matroos en het Meisje;;;1;;;;;;1
De Millinger Theetuin;;;1;;;;;;1
De Mindfulness Fabriek;;;;;1;;;;1
De Moriaan Eten & Drinken B.V.;;;1;;;;;;1
De Museumvereniging;;;1;;;;;;1
De Nederlandse Orde van Belastingadviseurs;;;;;2;;;;2
De Nieuwe Kracht B.V.;;1;;;;;;;1
De Nieuwe Pelgrim;;;2;;1;;;;2
De Nieuwe Ruysch;;;1;;;;;;1
De Nonnen in Vught;;;;;3;;;;3
De Onderstroom Karin Brugman;;;;;1;;;;1
De Onderwijsspecialisten;;;;;1;;;;1
De Oude Bibliotheek B.V.;;;;;;;;1;1
De Overbuurvrouw;;;1;;;;;;1
De Paardenstal;;;1;;;;;;1
De Paerssjtal;;;1;;;;;;1
De Pastorie Roermond;;;1;;;;;;1
De Peer Horeca B.V.;;;1;;;;;;1
De Pomp Utrecht;;;1;;;;;;1
De Poort van Kleef Utrecht B.V.;;;1;;;;;;1
De Postkamer thuis in Heerde;;;1;;;;;;1
De Prins Eetcafe;;;1;;;;;;1
De Proosdij;;;1;;;;;;1
DE PUBQUIZMASTER;;;;;;1;;;1
De Pudding;;;1;;;;;;1
De Roskam horeca vof;;;1;;;;;;1
De Ruyter Training & Consultancy B.V.;;;;;1;;;;1
De Sallandse Berg;;;1;;;;;;1
De Schalm;;;1;;;;;;1
De School voor Transitie;;;;;1;;;;1
de Schulenburch;;;1;;;;;;1
De Smaak van La Dolce Vita Services;;;1;;;;;;1
De Spelerij B.V.;;1;;;;;;;1
De Spits Horeca;;;1;;;1;;;1
De Stainkroeg, gelegenheidscafé;;;1;;;;;;1
De Stee;;;1;;;;;;1
De Stressontknoping;;1;;;;;;;1
De Taaltrainer;;;;;2;;;;2
De Thuislocaties;;;1;;;;;;1
De Topper B.V.;;;1;;;;;;1
De Tuinderij;;;1;;;1;;;1
De Tuynkamer;;;1;;;;;;1
De Twirre;;;1;;;;;;1
De Utrechtse Haven B.V.;;;1;;;;;;1
De Veldkeuken;;;1;;;;;;1
De Vergulde Vos;;;1;;;;;;1
De Vier Jaargetijden;;;1;;;;;;1
De vischmarkt;;;1;;;;;;1
De Vlotte Vloot;;;1;;;;;;1
De Vuurmakers;;;;;1;;;;1
De Waagh 1612 Nijmegen B.V.;;;1;;;;;;1
De Waterburcht Eelde B.V.;;;1;;;;;;1
De Waterreus;;;1;;;;;;1
DE WATERREUS BV.;;;1;;;;;;1
De Watertuin Spijkenisse B.V.;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;1;;;;;;1
De Wissel;;;1;;;;;;1
De Witte Attractieverhuur;;;1;;;;;;1
De Witte Zwaan B.V.;;;1;;;;;;1
De Ysbreker B.V.;;;1;;;;;;1
De Zeemeeuw' Strandpaviljoen;;;1;;;;;;1
De Zeilhoek;;;1;;;;;;1
De Zonnehoek Chr. Sch. v VSO ZMLK;;;;;1;;;;1
De Zwarte Vosch B.V.;;;1;;;;;;1
De Zwolsche Bol B.V.;;;1;;;;;;1
Debat.NL B.V.;;;;;2;;;;2
Dedal;;1;;;;;;;1
Defibrion;;2;;;;;;;2
Dek Opleidingen B.V.;;;;;1;;;;1
Deksels;;;1;;;;;;1
Dekxels B.V.;;;1;;;;;;1
DEL FERRO INSTITUTE BV;;1;;;;;;;1
DeLaathof';;;1;;;;;;1
Delft Congress Support B.V.;;;;;2;;;;2
Déli Amersfoort;;;1;;;;;;1
Delicalicious;;;1;;;;;;1
Delicatessenhuis/Notenbar Ten Voorde;;;1;;;;;;1
Delightful Desserts Europe B.V.;;;1;;;;;;1
Delirium CafÃ© Amsterdam;;;1;;;;;;1
Dell Co;;;;;;1;;;1
Deloitte Risk Advisory B.V.;;;;;4;;;;4
Delphi Grieks Restaurant;;;1;;;;;;1
Deltamarina Kortgene;;;1;;;;;;1
Den Bolle Boel;;;1;;;;;;1
Den Bosch Evenementen B.V.;;;1;;;;;;1
Denekamperdijk 59';;;1;;;;;;1
Denk Producties B.V.;;;;;1;;;;1
DFG;;;;;4;;;;4
DFGS B.V.;;;;;;1;;;1
Dialogue B.V.;;;;;3;;;;3
DIALOOG GESPREKSMETHODIEK;;;;;1;;;;1
DiaVentie Management Consulting;;;;;1;;;;1
Dickens Horecabedrijven B.V.;;;1;;;;;;1
Didactive B.V.;;;;;1;;;;1
DIERGAARDE BLIJDORP ROTTERDAM ZOO;;;;;;1;;;1
Different Drums;1;;;;;;;;1
Digibites B.V.;;;1;;;;;;1
DigiDokter Den Bosch;;;2;;;;;;2
DiGiEVC B.V.;;;;;1;;;;1
Dinee Cafe De Kempen;;;1;;;;;;1
Diner Thuis;;;1;;;;;;1
Diner-Café De Nachtwacht;;;1;;;;;;1
Dinerspel.nl;;;;;;1;;;1
Djihn Personal and Team Development;;;;;1;;;;1
D'n Boerderij;;;1;;;;;;1
Doenederland.nl B.V.;;;;;;1;;;1
Dok du Nord;;;;;;;;1;1
Dominicanen Klooster Zwolle;;;1;;;;;;1
Domstad Evenementen B.V.;;;2;;;1;;;2
Don Quichotte Eten & Drinken;;;1;;;;;;1
Dordtse Bazar Verhuur;;;1;;;;;;1
Dorine Schoon;1;;;;;;;;1
Double Healix Lead B.V.;;;;;1;;;;1
D'Oude Brandweer Exploitatie B.V.;;;1;;;;;;1
Down Under Horecaexploitatie B.V.;;;;;;1;;;1
D'r Klinge;;;1;;;;;;1
Dragon Chen BV;;;1;;;;;;1
Drieharing Twee B.V.;;;1;;;;;;1
Driessen Opleidingen;;;;;2;;;;2
Drinkerij 't Bierhuys;;;1;;;;;;1
Drs. Annette Mol Psycholoog NIP;;;;3;;;;;3
Drs. P.C. Linnenbank, Arb.- & Org.psych.;;3;;;;;;;3
Drs. Saskia van der Weijden, Anenmen Tpsych.;;2;;;;;;;2
Drums en Barrels;;;1;;;;;;1
Drums2play;1;;;;;;;;1
Drumschool Apeldoorn;1;;;;;;;;1
Dsiacademie;;;;;1;;;;1
Dubbel E. Acteerservice B.V.;;;;;1;;;;1
Duckcity B.V.;;;;;;1;;;1
Ducommerce;;;1;;;;;;1
Dudok Den Haag B.V.;;;1;;;;;;1
Dudok Rotterdam B.V.;;;1;;;;;;1
Duende Dos B.V.;;;1;;;;;;1
Duikteam H2O Westland;;;1;;;;;;1
Dujos Almelo;;;1;;;;;;1
Dununba Percussie Workshops;1;;;;;;;;1
Dutch Music Partners B.V.;1;;;;;;;;1
Dutchwebshark B.V.;;;;2;;;;;2
DWP B.V.;;;2;;;;;;2
E & G Partyverzorging;;;1;;;;;;1
E Posthuma Tentenverhuur;;;1;;;;;;1
E Schreurs B.V.;;;1;;;;;;1
EAST;;;1;;;;;;1
Eastern Plaza Bentelo B.V.;;;1;;;;;;1
Ebbinge B.V.;;;;;1;;;;1
EC Jansen;1;;;;;;;;1
ECD B.V.;;;;;3;;;;3
Echt Welschap B.V.;;;1;;;;;;1
Ecologische zorgboerderij De Mikkelhorst;;1;;;;;;;1
EConMIT B.V.;;;;;1;;;;1
Edo Roos Lindgreen;;;;;1;;;;1
Eduact B.V.;;;;;4;;;;4
Eduvision B.V.;;;;;1;;;;1
Eduvita;;2;;;;;;;2
EEN! B.V.;;;1;;;;;;1
Eenden Tours Westland;;;1;;;;;;1
Eenhoorn Evenementen;;;1;;;;;;1
Eet- en Drinkhuis 'De Gulzige Kater';;;1;;;;;;1
Eetbar De Wagon B.V.;;;1;;;;;;1
EetcafÃƒÂ© aon 't Bat B.V.;;;1;;;;;;1
EetcafÃƒÂ© CP;;;1;;;;;;1
Eetcafe Bob;;;1;;;;;;1
Eetcafe Brouwers;;;1;;;;;;1
Eetcafe Cloos;;;1;;;;;;1
Eetcafe de Compagnie;;;1;;;;;;1
Eetcafé de Gezelligeit;;;1;;;;;;1
Eetcafé de Hut Diemen BV;;;1;;;;;;1
Eetcafe de Jonckheer;;;1;;;;;;1
Eetcafé de Kem;;;1;;;;;;1
Eetcafe de Stadstuin;;;1;;;;;;1
Eetcafé De Tamme Boer B.V.;;;1;;;;;;1
Eetcafé de Trilker;;;1;;;;;;1
Eetcafé De Verlenging;;;1;;;;;;1
Eetcafe De Woerd B.V.;;;1;;;;;;1
Eetcafe De Zwarte Ruiter;;;1;;;;;;1
Eetcafe 'Lotgenoten';;;1;;;;;;1
Eetcafe Sas en Jan;;;1;;;;;;1
Eetcafe Spijker;;;1;;;;;;1
Eetcafe 't Centrum;;;1;;;;;;1
Eetcafe 't Centrum B.V.;;;1;;;;;;1
Eetcafé 't FAR;;;1;;;;;;1
Eetcafé 't Goede;;;1;;;;;;1
Eetcafé 't Stoepke;;;1;;;;;;1
Eetcafé 't Trefpunt;;;1;;;;;;1
Eetcaffee de Musketier;;;1;;;;;;1
Eeterij D'n Bal;;;1;;;;;;1
Eethuis Eekterzicht;;;1;;;;;;1
Eethuisje/brasserie bij d’n open ha;;;1;;;;;;1
Eetkamer Potjandorie;;;1;;;;;;1
Eetkavee De Belhamel;;;1;;;;;;1
Eetze Yin Holding B.V.;;;1;;;;;;1
EEZI V.O.F. / Brasserie 't Zusje Eindhoven;;;1;;;;;;1
Effe Anders;;;1;;;;;;1
EHBO Koffer;;1;;;;;;;1
EHS crew;;;;;;1;;;1
Eigenwijs eten & drinken;;;1;;;;;;1
Eindhoven Academy;;;;;1;;;;1
El Flaco Pizzeria;;;1;;;;;;1
El Gaucho;;;1;;;;;;1
El Greco;;;1;;;;;;1
El Primo B.V.;;;;;1;;;;1
El Qatarijne;;;1;;;;;;1
Elenchis;;;;;1;;;;1
Ellen Bliek music;1;;;;;;;;1
Elsenaar IJs;;;1;;;;;;1
Elycio Talen B.V.;;;;;1;;;;1
Elzinga Catering;;;1;;;;;;1
EMC Advies B.V.;;;;;4;;;;4
EMC Leren in Bedrijf B.V.;;;;;3;;;;3
E-Milers.com B.V.;;;3;;;;;;3
EMMA Communicatie B.V.;;;1;;;;;;1
Emotie Expertise Centrum;;1;;;;;;;1
Emtek Ergonomics B.V.;;1;;;;;;;1
En Profiel;;;;;1;;;;1
En Route Psychologie/SpecialistenNet Consult.;;1;;;;;;;1
ENCORE;;;1;;;;;;1
Enersafe B.V.;;;;;1;;;;1
Engage User Group vzw/asbl;1;;;;;;;;1
ENGEL DE HERBERG;;;1;;;;;;1
Enginar B.V.;;;1;;;;;;1
Enjoy;1;;;;;;;;1
Enkwest;;;;;1;;;;1
ENSINK OLST TAXI;;;;;;;;1;1
Ergatis;;1;;;;;;;1
Ergatis B.V.;;4;;;;;;;4
Ergo2Work B.V.;;1;;;;;;;1
Erik Blok Music;1;;;;;;;;1
Erik Geerds;;;;;1;;;;1
Erik Verbeek;1;;;;;;;;1
ERNW Insights GmbH;;;;;2;;;;2
ERP cursus;;;;;1;;;;1
Ervaren Ambtenaren;;;;;1;;;;1
Erve Hondeborg;;;1;;;;;;1
ESB B.V.;;;;;1;;;;1
Escape Room 076;;;1;;;;;;1
Escape Room Kerkrade V.O.F.;;;1;;;;;;1
Escaping NL B.V.;;;1;;;;;;1
Ese International B.V.;;1;;;;;;;1
Esther Kornalijnslijper;;1;;;;;;;1
Eten & Co Groningen B.V.;;;1;;;;;;1
Eten & Zo Zoetermeer B.V.;;;1;;;;;;1
Eten & Zo Zwolle B.V.;;;1;;;;;;1
Etxea Restaurant;;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;1;;1;;1
Euro Events B.V.;;;;;;1;;;1
Euro Kartracing B.V.;;;1;;;;;;1
Euroforum;;;;;1;;;;1
Eurolinguist Nederland;;;;;3;;;;3
Euromast Horeca B.V.;;;1;;;;;;1
European Academy for Taxes,;;;;;1;;;;1
European Customs Agencies B.V.;;;;;1;;;;1
European Leadership Platform B.V.;;;;;1;;;;1
European Speechwriter Network Ltd;;;;;1;;;;1
European University Institute;;;;;1;;;;1
Evan. m. B.V.;;;1;;;;;;1
EVEN DOEN BV;;;1;;;;;;1
evenementenamersfoort;;;1;;;;;;1
Evers Medica Medische Speciaalzaken;;1;;;;;;;1
EVO Fenedex;;;;;2;;;;2
EXITO;;;;;;1;;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;;;;;;1;1
Exploitatie Sportaccommodaties Aalsmeer B.V.;;;1;;;;;;1
Exploitatiemaatsch. De Poort van Leyden B.V.;;;;;;1;;;1
Extensus;;;;;1;;;;1
EYE - Bar Restaurant B.V.;;;1;;;;;;1
F.C. Den Helder;;;1;;;;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;;;1;;;;;;1
Fabia Dance Center;;;1;;;;;;1
fabriek woerden;;;1;;;;;;1
FacilitationProfs;;;;;1;;;;1
Faillissementsfraude.nl B.V.;;;;;2;;;;2
Fanfarezaal Berg & Dal;1;;;;;;;;1
Fast Flex B.V.;;;;;1;;;;1
Fast Lane Benelux B.V.;;;;;3;;;;3
Feedback Training Consulting B.V.;;;;;2;;;;2
Feest & Culinair;;;1;;;;;;1
Feestverhuur Groningen;;;1;;;;;;1
Fellow Man;;;;;1;;;;1
Femke Hoefman;;1;;;;;;;1
FEMU;;;;;1;;;;1
Fepa Horeca B.V.;;;1;;;;;;1
Ferro Explore B.V.;;;;;3;;;;3
FF Langs Gerben;;;1;;;;;;1
Film Atelier Den Haag;;;1;;;;;1;1
Filterz BV;;1;;;;;;;1
FinanciÃ«le Studievereniging Amsterdam;;1;;;;;;;1
Financieel Paspoort B.V.;;;;;1;;;;1
Financiële Studievereniging Rotterdam;;;;;1;;;;1
Finnegan's Apeldoorn B.V.;;;1;;;;;;1
Firma Hof der Muzen;;;1;;;;;;1
First Class Catering & Verhuur;;;1;;;;;;1
Fiscaal Studie- en Documentatiecentrum;;;;;4;;;;4
Fiscaalrechtelijk Dispuut Pecunia Non Olet;;2;;;;;;;2
Fiscale studievereniging In Fiscalibus;;;;;1;;;;1
Fiscale Topsprekers;;;;;1;;;;1
Flamingo's Plaza B.V.;;;1;;;;;;1
Fleming Conferences s.r.o.;;;;;1;;;;1
Flex-I.D. B.V.;;;;;4;;;;4
Florent;;;1;;;;;;1
Florentius Partycatering;;;1;;;;;;1
Flynn's;;;1;;;;;;1
Focus B.V.;;;;2;;;;;2
Focus Learning Journeys B.V.;;;;;2;;;;2
Foodhall Foodexplore;;;1;;;;;;1
Fopshop B.V.;;;1;;;;;;1
Fotodoos;;;1;;;;;;1
Four Rotterdam VOF;;;1;;;;;;1
Fouragehandel de Boer;;;1;;;;;;1
Fox Horeca;;;1;;;;;;1
Fox-IT;;;;;1;;;;1
Frageja B.V.;;;1;;;;;;1
Francien Daalwijk Letselzorg;;1;;;;;;;1
Frank Wintermans;1;;;;;;;;1
Frankwatching B.V.;;;;;1;;;;1
Free Golf B.V.;;;1;;;;;;1
Fresh Talent;;;;;2;;;;2
FreTon B.V.;;;1;;;;;;1
Fritz-Events;;;;;;1;;;1
FROM WOMB TO WORLD;;;;;1;;;;1
Fronteers;;;;;1;;;;1
Fujitsu Technology Solutions B.V.;;;;;2;;;;2
Fun Beach Panheel;;;1;;;;;;1
Fun en Party Match;;;1;;;;;;1
Fun Event;;;1;;;;;;1
Fundustry Apeldoorn B.V.;;;1;;;;;;1
Fundustry Events BV;;;1;;;;;;1
Fungi Factory;;;1;;;;;;1
Fusion Plaza Zwolle;;;1;;;;;;1
Fysiotherapie Heerlen Noord;;1;;;;;;;1
Fysisch-Mathematische Faculteitsvereniging;;;;;1;;;;1
G. Bakker en Zn. B.V.;;;1;;;;;;1
Gai - Schelle;;1;;;;;;;1
Gajes in de Bajes B.V.;;;;;;1;;;1
Gamba Seafood;;;1;;;;;;1
Gamestudio Marthijn;;;1;;;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;1;;;;;;1
Gastel Sfeer;;;1;;;;;;1
Gasterij De Zwaantjes;;;1;;;;;;1
Gasterij Kasteel Terborgh;;;1;;;;;;1
Gasterij Oatmossche;;;1;;;;;;1
Gasterij 't Karrewiel;;;1;;;;;;1
Gastrobar bij Rozendaal;;;1;;;;;;1
Gastrobar Dock Five;;;1;;;;;;1
GASTROLOODS Amsterdam;;;1;;;;;;1
Gauchos aan de Maas Rotterdam;;;1;;;;;;1
Gauchos Franchise Amsterdam-Centrum;;;1;;;;;;1
Gauchos Franchise Utrecht B.V.;;;1;;;;;;1
GDH Catering B.V.;;;1;;;;;;1
Gemeensch. v. Wiskunde en Inform. Studenten;;;;;1;;;;1
Gemeenschapshuis 'De Wanne';;;1;;;;;;1
Gemeenschapshuis d'r Eck;;;1;;;;;;1
Gentlemen B.V.;;;1;;;;;;1
Gentrade Holding B.V.;;;1;;;;;;1
Gerard van der Made B.V.;;;;;2;;;;2
Gesink Beheer B.V.;;;1;;;;;;1
Get out of here B.V.;;;1;;;;;;1
Gewoon Gastvrij;;;1;;;;;;1
Gewoon lekker Wervershoof;;;1;;;;;;1
GGzE;;1;;;;;;;1
Gids Patrick (Stonehenge Creations);1;;;;;;;;1
Gilde Utrecht;;;1;;;;;;1
Ginko B.V.;;;1;;;;;;1
GITP B.V.;;;;6;;;;;6
GITP Training & Opleiding B.V.;;;;;2;;;;2
Global Knowledge Network Netherlands B.V.;;;;;4;;;;4
Go B.V.;;;;;2;;;;2
Goede Mynott Holding B.V.;;;1;;;;;;1
Goeie Broikes;;;1;;;;;;1
Goesting Events B.V.;;;1;;;;;;1
'Golden Bird' Chinees-Indisch Restaurant;;;1;;;;;;1
Golden Oldies Café Het Wapen van Bloemendaal;;;1;;;;;;1
Golf & Businessclub Maastrcht BV;;;1;;;;;;1
Golfbaan De Vlietlanden;;;1;;;;;;1
Golfbaan Dirkshorn;;;1;;;;;;1
Golfbaan Het Rijk van Margraten BV;;;1;;;;;;1
Golfbaan Spaarnwoude;;;1;;;;;;1
GoodHabitz B.V.;;;;;2;;;;2
Gossimijne Den Bosch;;;1;;;;;;1
Goud Eten;;;1;;;;;;1
Gouden Huis Lelystad;;;1;;;;;;1
GOUDEN ZON DE;;;1;;;;;;1
Governance & Integrity Nederland B.V.;;;;;1;;;;1
Graaf-Floris;;;1;;;;;;1
GrachtenAtelier;;;1;;;;;;1
GradusGroep B.V.;;;;;1;;;;1
Gran Mercado B.V.;;;1;;;;;1;1
Grand Athina;;;1;;;;;;1
Grand Bistro Postkantoor Heerenveen;;;1;;;;;;1
Grand CafÃ© 'Central';;;1;;;;;;1
Grand CafÃ© De Keulse Kar B.V.;;;1;;;;;;1
Grand CafÃ© Hermes B.V.;;;2;;;;;;2
Grand CafÃ© Karakter;;;1;;;;;;1
Grand CafÃ© Time Out B.V.;;;1;;;;;;1
Grand CafÃƒÂ© Arnhems Meisje;;;1;;;;;;1
Grand CafÃƒÂ© Hendrixen B.V.;;;1;;;;;;1
grand cafÃƒÂ© Lebowski;;;1;;;;;;1
Grand CafÃƒÂ© Maagdenberg;;;1;;;;;;1
Grand CafÃƒÂ© Silva Ducis B.V.;;;1;;;;;;1
Grand Café de Sjaas;;;1;;;;;;1
Grand Café De Smidse;;;1;;;;;;1
Grand Café De Wildeman Eindhoven B.V.;;;1;;;;;;1
Grand café en restaurant de Veestal;;;1;;;;;;1
GRAND CAFE L'OPERA;;;1;;;;;;1
Grand Cafe Lubeck;;;1;;;;;;1
Grand Cafe van Buuren;;;1;;;;;;1
Grand Café van Ruysdael;;;1;;;;;;1
Grand Café/Restaurant Hertog Jan B.V.;;;1;;;;;;1
Grand Central Food Market B.V.;;;1;;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;;;;;;;;1;1
Grand Plaza;;;1;;;;;;1
Grand Restaurant Le Connaisseur;;;1;;;;;;1
GrandcafÃ© De Wens B.V.;;;1;;;;;;1
GrandcafÃƒÂ© Rue de la Gare;;;1;;;;;;1
Grandcafe Atlantic;;;1;;;;;;1
grandcafe Blond en Blond;;;1;;;;;;1
GrandCafe Cheers;;;1;;;;;;1
Grandcafé De Wens B.V.;;;2;;;;;;2
Grandcafe Haagsche Bluf;;;1;;;;;;1
Granny's Corner;;;1;;;;;;1
Great Communicators B.V.;;;;;1;;;;1
Green Leaf Bar & Kitchen B.V.;;;1;;;1;;;1
Greens in the Park B.V.;;;1;;;;;;1
Greet van Ommeren;1;;;;;;;;1
GRID Grafisch Museum Groningen;;;;;;1;;;1
Grieks Restaurant Akropolis B.V.;;;1;;;;;;1
Grieks Restaurant Athina;;;1;;;;;;1
Grieks Restaurant Dionysos B.V.;;;1;;;;;;1
Grieks Restaurant Nisos;;;1;;;;;;1
Grieks Restaurant Zorba;;;1;;;;;;1
Grieks Spec. Restaurant Rhodos V.O.F.;;;1;;;;;;1
Grieks Spec.restaurant 'Sirtaki Valkenswaard';;;1;;;;;;1
Grieks Specialiteitenrestaurant Mykonos;;;1;;;;;;1
Griftpark 1;;;1;;;;;;1
Gringo's Cantina B.V.;;;1;;;;;;1
Groeibrein;;;;;1;;;;1
Groenprojecten Ewsum;;1;;;;;;;1
GRONINGEN;;;1;;;;;;1
GSA Belgium bvba;;;;;1;;;;1
GuestHouse Hotel Kaatsheuvel B.V.;;;;;;1;;;1
Gusto Mangia e Bevi;;;1;;;;;;1
Gusto Rotterdam B.V.;;;1;;;;;;1
HÃ©roine restaurant & bar;;;1;;;;;;1
Haags Historisch Museum;;;;;;1;;;1
HAGAR Quality Management;;;;;3;;;;3
Hallo Mestreeg;;;1;;;;;;1
Hallo Mestreeg B.V.;;;1;;;;;;1
Halsaf Landgoed;;;1;;;;;;1
Hansje37 B.V.;;;1;;;;;;1
Hap-Inn B.V.;;;1;;;;;;1
Happy Grill All-inclusive dining;;;1;;;;;;1
Happy Italy Kop van Zuid;;;1;;;;;;1
Happy Meat B.V.;;;1;;;;;;1
Happy Meat BV;;;1;;;;;;1
Happy Tosti Den Haag B.V.;;;1;;;;;;1
Happyholics;;;;;1;;;;1
Haptonomie Henrieke;;1;;;;;;;1
Haptotherapie Elise van Galen;;1;;;;;;;1
Harem;;;1;;;;;;1
Harmonia B.V.;;;1;;;;;;1
Harmonie Terborgh;1;;;;;;;;1
Havana B.V.;;;1;;;;;;1
Havensafari;;;1;;;;;;1
Havenvereniging Rotterdam;;;1;;;;;;1
HBU Training en Advies;;;;;1;;;;1
Health Factor Business;;;;;2;;;;2
HeartMath BeNeLux B.V.;;;;;1;;;;1
Heer Bommel;;;1;;;;;;1
HEEREN & JANSZE;;;;;1;;;;1
Heeren Van Aemstel;;;1;;;;;;1
Heeren van Sonoy;;;1;;;;;;1
Heidi Nieboer Praktijk voor verlies en rouw;;;1;;;;;;1
Heinde & Ver Woerden;;;1;;;;;;1
Helder Stresspreventie en -behandel;;1;;;;;;;1
Heleen van der Straaten Advies & Coaching;;;;;1;;;;1
Hende Bauer Therapie training en coaching;;;;;1;;;;1
Henri Gerrits;;;;;;1;;;1
Herberg de Pot;;;1;;;;;;1
Herberg het Oude Loo;;;1;;;;;;1
HERBERG IN DE VALK;;;1;;;;;;1
Herberg 'In den Bockenreyder' B.V.;;;1;;;;;;1
Herberg van Ouds 't Nest;;;1;;;;;;1
HER-opleidingen B.V.;;;;;1;;;;1
Herre Zonderland Total Sports Experience;;;;;1;;;;1
Herremeniezaal Hier;;;1;;;;;;1
Het Apeldoorns Koffiehuys;;;1;;;;;;1
Het Balkon;;;;;1;;;;1
Het Drents Kwartiertje;;;1;;;;;;1
Het Genieten;;;1;;;;;;1
Het Haagsche Schouw;;;1;;;;;;1
Het Heden;;;1;;;;;;1
het Hemelrijck;;;1;;;;;;1
Het Kasteel van Rhoon;;;1;;;;;;1
Het Kookplein;;;1;;;;;1;1
Het Kookstation;;;1;;;;;;1
Het MiddelPunt essentiecoaching;;2;;;;;;;2
Het Moment;;;1;;;;;;1
Het Muziek Bos;;;;;;1;;;1
Het NIC B.V.;;;;;3;;;;3
Het Nieuwe Trivium;;;;;1;;;;1
Het Nieuws van Apeldoorn;;;2;;;;;;2
Het Nutshuis;;;;;;;;1;1
Het Pleidooi;;;1;;;;;;1
Het Roode Hert;;;1;;;;;;1
Het Ruiterhuys B.V.;;;1;;;;;;1
Het Schwarzwald B.V.;;;1;;;;;;1
Het Tramhuys;;;1;;;;;;1
Het Trefpunt Zalencentrum;;;1;;;;;;1
Het Wapen van Rhoon B.V.;;;1;;;;;;1
Het Wapen van Vriezenveen;;;1;;;;;;1
Het Wapen van Zoetermeer B.V.;;;1;;;;;;1
Het Warenhuis;;;1;;;;;;1
Het Zwaantje;;;1;;;;;;1
Hettema Verhuurt Praktisch Alles!;;;1;;;;;;1
