Leveranciersnaam;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Brasserie Archipel B.V.;;;1;;;;;;1
Brasserie Beekink & Co;;;1;;;;;;1
Brasserie De Monnick;;;1;;;;;;1
Brasserie Le Nord;;;1;;;;;;1
Brasserie Ome Bernard B.V.;;;1;;;;;;1
Brasserie Quartier B.V.;;;1;;;;;;1
Brasserie Restaurant de Luifel;;;1;;;;;;1
Brasserie Sequenza;;;1;;;;;;1
Brasserie Soho B.V.;;;1;;;;;;1
Brasserie t Zusje Scheveningen B.V;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;;1
BRASSERIE VINK;1;;1;;;;;;1
Brasserie Vrienden;1;;;;;;;;1
Brasserie Westbeer;;;1;;;;;;1
BravaCasa Ristorante;;;1;;;;;;1
Bravo 24 B.V.;;;1;;;;;;1
Braza B.V.;;;1;;;;;;1
Break Free Fun Company;;;2;;;;;;2
Breimer's Bakkerij;;;1;;;;;;1
Bright Events;1;;;;2;;;;2
Brilmij Groep B.V.;1;1;;;;;;;1
Brodies;;;1;;;;;;1
Broek & Buuren Evenementen;2;;;;;;;;2
Broekies Entertainment Group Bunnik;;;1;;;;;;1
BROICH PREMIUM CATERING GMBH;;;1;;;;;;1
Brood & Banketbakkerij Prins B.V.;1;;1;;;;;;1
Brood- en Banketbakkerij J.B. van de Kop;1;;1;;;;;;1
Brood- en Banketbakkerij Sterk B.V.;;;1;;;;;;1
Broodje Ben;;;1;;;;;;1
BROODJE KONING;1;;;;;;;;1
Brouwcafé De Molen B.V.;;;1;;;;;;1
Brouwer Produktie B.V.;;;1;;;;;;1
Brouwerij De Kromme Haring B.V.;;;1;;;;;;1
Brouwerij Martinus;;;1;;;;;;1
Brouwer's Hap & Tap;;;1;;;;;;1
Brouwer's Tours B.V.;;;1;;;;;;1
BrouwerscafÃ© STOOM B.V.;;;1;;;;;;1
Brouwershuys Moorees B.V.;;;1;;;;;;1
Brouwhuis Breda B.V.;;;1;;;;;;1
BSI Group The Netherlands B.V.;;;;;1;;;;1
BTN B.V.;;;;;1;;;;1
Buckaroo B.V.;1;;;;;;;;1
Buddhas B.V.;;;1;;;;;;1
Budget Rent a Car;;;;;;;;1;1
Buena Vista Beach Club B.V.;;;1;;;;;;1
BuitenBusiness B.V.;;;1;;;;;;1
Buitengewoon Bloemen;;;1;;;;;;1
Buitengoed Slavante Horeca Exploitatie;;;1;;;;;;1
Bulle's Mannenmode;;;;;1;;;;1
Bullit House;;;1;;;;;;1
Bumax B.V.;;;;;1;;;;1
Bureau Benninga;;;;1;;;;;1
Bureau Beysterveld;;;;;1;;;;1
Bureau Bohré;;;;;1;;;;1
Bureau Bohr�;1;;;;;;;;1
Bureau Consense;;;;;1;;;;1
Bureau G.I.T.;;;1;;;;;;1
Bureau Greven;;;;;1;;;;1
Bureau Integriteit B.V.;;;;;2;;;;2
Bureau Kees Horden B.V.;;;;;1;;;;1
Bureau Personal Development B.V.;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;2;;;;2
Bureau Spraakwater;;;;;1;;;;1
Bureau Ten Bate;;;;;1;;;;1
Bureau Tijd&Ruimte;;;;;2;;;;2
Bureau Tromp B.V.;;;;;3;;;;3
Bureau Van Vliet B.V.;;;1;;;;;;1
Bureau voor Beeldzaken;1;;;;1;;;;1
Bureau Zuidema B.V.;1;;;;4;;;1;4
Bureautaal B.V.;;;;;1;;;;1
Burghoorn Trainingen;;;;1;1;;;;1
BuroEvent;;;;;;;1;;1
Burrata Turfmarkt B.V.;;;1;;;;;;1
Business School Lausanne _ BSL;;;;;1;;;;1
Businesswise Inspiring People B.V.;1;;;;1;;;;2
Buurt Den Bosch;;;1;;;;;;1
Buurtzorg Concepts B.V.;;;;;;;;1;1
BVBA PAMPAS BRUSSEL;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;2;;;;2
Bvolve B.V.;;;;;1;;;;1
BVR Advis. Sted. Ontw. en Management B.V.;;;;;;;;1;1
BySpy Products B.V.;;;;;1;;;;1
C. Claessen, Manag. Opl. en Org. Ontwikkeling;;;;;1;;;;1
C.R.M. van Veen B.V.;;;;;1;;;;1
C2Results B.V.;;;;;1;;;;1
CAD Accent B.V.;;;;;1;;;;1
Cadeau Company;;;1;;;;;;1
Cadeau Concepten B.V.;1;;1;;;;;;1
Cadenza B.V.;;;;;1;;;;1
CAE Center Amsterdam B.V.;;;;;2;;;;2
CAE STS Limited - BATS;;;;;2;;;;2
CAE Training & Services Brussels N.;;;;;2;;;;2
Café 2005;;;1;;;;;1;1
Café Anno 1890;;;1;;;;;;1
Café de Ceuvel Coöperatie UA;;;1;;;;;;1
Café De Pomerans;;;1;;;;;;1
Café Huppel 'The Pub';;;1;;;;;;1
Café in den Koffer;;;1;;;;;;1
Café Restaurant Dauphine;;;1;;;;;;1
Café XO Haarlem B.V.;;;1;;;;;;1
CafÃ© - Bistro 't Wapen;1;;1;;;;;;1
CafÃ© Camelot;;;1;;;;;;1
CafÃ© de Rus;;;1;;;;;;1
CafÃ© De Schelde;1;;;;;;;;1
CafÃ© de Zaak B.V.;;;1;;;;;;1
CafÃ© Hanneke;;;1;;;;;;1
CafÃ© Het Witte Huis;;;1;;;;;;1
CafÃ© Local;1;;;;;;;;1
CafÃ© Rest. 'De Kajuit';;;1;;;;;;1
CafÃ© Restaurant De Weerribben;;;1;;;;;;1
CafÃ© Restaurant Luchthaven Lelystad;;;1;;;;;;1
CafÃ© Schtad Zitterd;;;1;;;;;;1
CafÃ© Zaal van Nieuwenhoven;;;1;;;;;;1
CafÃ© Zomers & Zomers;;;1;;;;;;1
CafÃ© Zuid;;;1;;;;;;1
CafÃ©-Restaurant 'L'Union';;;1;;;;;;1
Caf� 'Banka';;;1;;;;;;1
Cafe Blossom;;;1;;;;;;1
Caf� Donner;1;;;;;;;;1
Caf� Restaur. en Zalencentr. Het Wap. van Ens;;;1;;;;;;1
Caf� Restaurant Dauphine;;;1;;;;;;1
Caf� Restaurant Rootz B.V.;;;1;;;;;;1
Cafe Restaurant 'Tante Boefie';;;;;1;;;;1
Cafe Restaurant Vandaag B.V.;;;1;;;;;;1
Caf� Servaas;;;1;;;;;;1
Caf� van Miltenburg;;;1;;;;;;1
Cafe Wildschut;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;1
Caf�-Restaurant 'De Roskam' B.V.;;;1;;;;;;1
Caf�-Restaurant 'De Zingende Wielen';;;1;;;;;;1
Cafetaria Van den Berg V.O.F.;;;1;;;;;;1
CAI-Advies B.V.;;;;;1;;;;1
CAI-Opleidingen B.V.;;;;;2;;;;2
CAMARA DE COMERCIO COLOMBO HOLANDES;;;;;;;;1;1
Camiel Mikily B.V.;;;1;;;;;;1
Camping Zeeburg;;;;;;;;1;1
Canal Company B.V.;;;1;;;;;;1
Cancer Health Coach;2;;;;1;;;;2
Capgemini Educational Services B.V.;;;;;2;;;;2
Capgemini Nederland B.V.;;;;;2;;;;2
Capilla;;;;1;;;;;1
Capriole Coffee Café B.V.;;;1;;;;;;1
Captein & Co;;;;;1;;;;1
CarriÃ¨re Sprong B.V.;;;;;1;;;;1
Carrilho executive coaching and consulting;3;;;;;;;;3
Carthago ICT;2;;;;;;;;2
Catering de Commanderie B.V.;;;1;;;;;;1
Catering De Steiger V.O.F.;;;1;;;;;;1
Catering Elegance Nijmegen;1;;;;;;;;1
Catering Oud London B.V.;;;1;;;;;;1
Cateringbedrijf De Smaeck;;;;;1;;;;1
CBZ Verzuimbezoeken B.V.;1;;;;;;;;1
CC Excellence;;;;;1;;;;1
CE Delft;2;;;;;;;;2
Central Dredging Association (Ceda);2;;;;1;;;;2
Centrum Quadraat;;;1;;;;;1;1
CENTURIO B.V.;;;;;1;;;;1
CGI;;;;;1;;;;1
Challenge;;;;;1;;;;1
Chameleon Associates B.V.;;;;;1;;;;1
Chapeau Catering;;;1;;;;;;1
CHE Synnervation B.V.;;;;;1;;;;1
Chin. Ind. Restaurant 'De Chinese Muur' B.V.;;;1;;;;;;1
China Fantasy;;;1;;;;;;1
Chinchilla Textiles B.V.;1;;;;;;;;1
Chinees Indisch Restaurant Sin Jah;;;1;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;1;;;;;;1
Chinees Indon. Specialit. Restaurant Soen Lie;1;;;;;;;;1
Chinees, Ind. Special. restaurant Mee Ling;;;1;;;;;;1
Chinees-Indisch Restaurant Golden City;;;1;;;;;;1
Chinees-Indisch restaurant Ko Shing;;;;;;;;1;1
Chinees-Jap. Spec. Restaurant Asia B.V.;;;1;;;;;;1
Chorda B.V.;;;;;1;;;;1
C-HOTELS BURLINGTON;;;;;;;;1;1
Christi's Perron B.V.;1;;1;;;;;;1
Chubb Fire & Security B.V.;;;;;;;;1;1
Churchill Hotel Terneuzen;;;;;;;;1;1
CIANO Trading & Services;;;1;;;;;;1
Ciao! Ciao! B.V.;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;2;;;;2
Cicerones;;;1;;;;;;1
CineCity Terneuzen B.V.;;;1;;;;;;1
Cinop Advies B.V.;;;;;5;;;;5
Circustheater Scheveningen B.V.;;;2;;;;;;2
City Resort;;;1;;;;;1;1
City Skydive Centres B.V.;1;;;;;;;;1
CitySense B.V.;;;1;;;;;;1
CLARKSONS PORT SERVICES;;;;;;;;1;1
Class by Jofel B.V.;;;1;;;;;;1
Classic Hotels VIII B.V.;;;;;;;;1;1
Clockwise B.V.;1;;;;1;;;;1
Cloose;;;1;;;;;;1
Close Combat NL;;;;;2;;;;2
Clou, voor Marketing, Informatie en Research;;;;;1;;;;1
CLS Computertrainingen;;;;;1;;;;1
CM Partners Holding B.V.;;;;;1;;;;1
CNV Jongeren;;;1;;1;;;;1
Coöperatie Barbaar UA;;;1;;;;;;1
Coöperatie De Betekenaar UA;;;;;1;;;;1
Coöperatie Exploitatie Bouwcampus UA;;;;;1;;;;1
Coöperatieve Ver. van Vletterl.-Werkzaamh. WA;;;;;;;;1;1
Coach to coach B.V.;1;;;;1;;;;1
CoÃ¶peratie Academic Transfer UA;;;;1;;;;;1
CoÃ¶peratie Schoonderwoerd & Partners UA;;;;;1;;;;1
Cobbler Coaching & Training;;;;1;;;;;1
Cockpit4u Aviation Service GmbH;;;;;1;;;;1
Cocreci;;;;;1;;;;1
Coen Zwezerijnen Verander. & Karakterbouwers;;;;;1;;;;1
Collective Talent Company;;;;2;2;;;;3
Colm Clancy;;;;;;;;1;1
Columba Communications;;;;;1;;;;1
Columbia University;;;;;1;;;;1
Comminz Schiedam;1;;;;;;;;1
Common Eye B.V.;1;;;;;;;;1
Compacon West Nederland B.V.;;;2;;1;;;1;2
Company B.V.;;;;;2;;;;2
COMPAREX Nederland B.V.;;;;;1;;;;1
Competence Factory;;;;;1;;;;1
Compu'Train;;;;;3;;;;3
Compu'Train Opleidingen B.V.;;;;;1;;;;1
Condite B.V.;;;;;1;;;;1
Conducto Opleidingen B.V.;;;;;1;;;;1
Conflictexperts B.V.;;;;;1;;;;1
Congrescentrum Kasteel Wijenburg B.V.;;;1;;;;;;1
Congress by design;;;;;2;;;;2
Connected Intelligence Ltd.;;;;;1;;;;1
connecting2life;;;;;1;;;;1
Connexxion Taxi Services B.V.;1;;1;;;;;1;1
Connexxion Tours B.V.;1;;;;;;;1;1
Consciente;;;;;2;;;;2
CONSIGLIO NAZIONALE DELLE RICERCHE;;;;;;;;1;1
Construction Media B.V.;;;;;1;;;;1
Continental Automotive Trading Nederland B.V.;;;;;1;;;;1
CookCook!;;;1;;;;;;1
Coolblue B.V.;1;;1;;;;;;1
Coolegem Veiligheid B.V.;;;;;1;;;;1
Co�peratie 'Neptunus' UA;;;;;;;;1;1
Co�peratie PreventPartner UA;1;;;;;;;;1
Copla Opleiding & Training B.V.;;;;;2;;;;2
Core Business B.V.;;;;;;;;1;1
Corfu;;;1;;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;;1
CorporatieNL B.V.;;;;;1;;;;1
CorpTV;;;;;1;;;;1
Cortenaer B.V.;;;1;;;;;;1
Cositax;;;;;;;;1;1
Cottontree Mer by Gert-Jan;;;1;;;;;;1
Crazy Beach B.V.;1;;;;;;;;1
Crazy Piano's Scheveningen B.V.;;;1;;;;;;1
Creaim B.V.;;;;;1;;;;1
Croissanterie Aad de Groot B.V.;1;;1;;;;;;1
CS Opleidingen B.V.;;;;;1;;;;1
CSR Centrum B.V.;1;;;1;;;;;1
Culinair Catering;;;1;;;;;;1
Culinair Educatiecentrum Limburg;;;1;;;;;;1
Culpepper B.V.;;;1;;;;;;1
Cylin B.V.;;;;;1;;;;1
Cytobuoy B.V.;;;;;1;;;;1
CZAV;;;;;;;;1;1
D&F Consulting B.V.;;;;;1;;;;1
D&J Zijderveld V.O.F.;;;;;;;;1;1
D. v.d. Pol Administraties;;;1;;;;;;1
D.C.L. Luchtvaart Facilitair Bedrijf;;;;;1;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;1;;;;1
Da GabriÃ«le B.V.;;;1;;;;;;1
Da Vinci Laboratory Solutions B.V.;;2;;;;;;;2
Déhora Consultancy Group B.V.;2;;;;1;;;;2
DaddysCool;;;1;;;;;;1
Dagelijks Lekker B.V.;1;;;;;;;;1
Dalstra-(FSZ) B.V.;;;;;;;;1;1
Dance World' Guus Gabeler;;;1;;;;;;1
DANISH METEOROLOGICAL INSTITUTE;;;;;;;;1;1
Dansen B.V.;;;1;;;;;;1
Dansschool Salsachun;1;;;;;;;;1
Darthuizen;;;1;;;;;;1
DASC B.V.;;;;;1;;;;1
DataExpert B.V.;;;;;1;;;;1
Datsja B.V.;;;;;1;;;;1
Dazhong B.V.;;;1;;;;;;1
Dbf Communicatie B.V.;;;;1;;;;;1
Dbvision B.V.;;;;;2;;;;2
De Baak Administratie;;;;;4;;;;4
De Baak B.V.;1;;1;1;3;;;2;3
De Baak Noordwijk B.V.;;;;;1;;;1;2
De Baeckermat;1;;;;;;;;1
De Ballonnenwinkel;;;1;;;;;;1
De Bazar B.V.;;;1;;;;;;1
De Belgische LoodsensociÃ«teit;1;;;;;;;;1
De Beren Heenvliet B.V.;;;1;;;;;;1
De Bergse Bossen;;;;;2;;;1;2
De Bierelier B.V.;;;1;;;;;;1
De Bierkelder Utrecht;;;1;;;;;;1
De Bloemenhoek;1;;;;;;;;1
De Blomster;1;;1;;;;;;1
De Boeketterie Bloembinderij;1;;1;;;;;;1
De Boer & Ritsema van Eck;;;;;1;;;;1
De Bonte Haas B.V.;;;1;;;;;;1
De Bonte Koe B.V.;1;;;;;;;;1
De Booij Party en Congresarchitekten;1;;;;1;;;;1
De Bootsmannen B.V.;;;1;;;;;;1
De Branding Utrecht B.V.;1;;1;;;;;;1
De Broodspecialist-van Schijndel;1;;;;;;;;1
de Burgemeester;;;1;;;;;;1
De Coaching Centrale B.V.;1;;;1;;;;;1
De Colonie Houten B.V.;;;1;;;;;;1
De Copieerderij Heerenveen;;;;;1;;;;1
De Efteling B.V.;;;1;;;;;;1
De Emauspoort;;;;;;;;1;1
De Fanfare;;;1;;;;;;1
De Federatie B.V.;;;;;3;;;2;3
De Ferrante Secretariaten en Opleidingen B.V.;;;;;1;;;;1
De Fietsfanaat;;;1;;;;;;1
De Gaarde Utrecht;;;1;;;;;;1
De Gasterij van Bussum;;;1;;;;;;1
De Gevoelige Snaar;;;1;;;;;;1
De Gildenborch B.V.;;;1;;;;;;1
De Goede Reede;;;1;;;;;;1
De Goesting;;;1;;;;;;1
De Graven van Leuven;;;1;;;;;;1
De Griffel V.O.F.;;;1;;;;;;1
De Groeiwerkplaats;;;;;1;;;;1
De Grote Slok B.V.;;;1;;;;;;1
De Harmonie B.V.;;;1;;;;;;1
De Heeren Van Leeuw;;;1;;;;;;1
De Heeren van Slydregt B.V.;;;1;;;;;;1
De Heische Hoeve B.V.;1;;;;;;;;1
De Herberg;;;1;1;;;;;1
De Hoeksche Vaart B.V.;;;1;;;;;;1
De Hofstad Taxicentrale B.V.;;;;;;;;2;2
De Hoorneboeg B.V.;1;;;;;;;;1
De Japanse Watertuin B.V.;;;1;;;;;1;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;;;;1;;;;1
De Jong Zuurmond Infrabeheer, Ond.&Serv. B.V.;;;;;;;;1;1
De Jong's IJs B.V.;;;1;;;;;;1
De Kaepstander;;;1;;;;;;1
de Keuken van Alex;1;;;;;;;;1
De keuken van Thijs;;;1;;;;;;1
De Kleine Geer B.V.;1;;;;;;;;1
De Kloveniersdoelen B.V.;1;;;;;;;;1
De Klub;;;1;;;;;;1
De Koers;2;;;;;;;;2
De KoffiemuuÃ¨le;;;;;1;;;;1
De Koning;;;1;;;;;;1
De Koningin van Lombardije;;;1;;;;;1;1
De Kookfabriek Den Haag B.V.;;;1;;;;;;1
De Koperen Pan;;;1;;;;;;1
De Korenbeurs;;;1;;;;;;1
De Korenbeurs Exploitatie B.V.;;;1;;;;;;1
De Korenbeurs Utrecht B.V.;;;1;;;;;;1
De Krokodil;1;;;;;;;;1
De Kroon Daily Deli B.V.;1;;1;;;;;;1
De Kuierlat;;;1;;;;;;1
De Kust Kijkduin;;;1;;;;;;1
De Lachende Lama;;;1;;;;;;1
De Landgoederij B.V.;;;1;;2;;;;2
De Lantaern B.V.;;;1;;1;;;;1
De Lekkernij Utrecht B.V.;;;1;;;;;;1
De Lof der Zotheid (Breitner);;;1;;;;;;1
De Luisteracademie;;;;;1;;;;1
De Lunch Express;1;;;;;;;;1
De Maatschappij Noordzeekanaal;;;1;;;;;;1
De Markering;2;;;;;;;;2
De Merkdirectie;;;;;1;;;;1
De Muynck Exploitatie B.V.;1;;;;;;;1;1
De Nederlandse Ver. van Rentmeesters NVR;;;;;1;;;;1
De Nieuwe Aanleg B.V.;;;1;;;;;;1
De Nieuwe Pelgrim;1;;;;2;;;;2
De Nieuwe Ruysch;;;1;;;;;;1
De Nonnen in Vught;;;;2;2;;;;3
De Ooievaar Beheer;1;;;;;;;;1
De Orangerie;1;;;;;;;;1
De Parel van Leimuiderbrug B.V.;;;1;;;;;;1
De Pastoor;;;1;;;;;;1
De Peer Horeca B.V.;;;1;;;;;;1
de Persgroep Nederland B.V.;2;;1;;;;;;2
De Pilaren;;;1;;;;;;1
De Poort van Kleef Utrecht B.V.;;;1;;;;;;1
De Prins Buren V.O.F.;;;1;;;;;;1
De Randmeren, Zeilschool en Bootverhuur;;;1;;;;;;1
De Rode Vos;;;1;;;;;;1
De Rotterdam B.V.;1;;2;;;;;;2
De Ruiter Catering;1;;1;;;;;;1
De Ruyter Training & Consultancy B.V.;;;;;2;;;;2
De Schenker B.V.;1;;1;;;;;;1
De Sleutel Culinair B.V.;;;1;;;;;;1
De Snoepwinkel V.O.F.;;;1;;;;;;1
De Sparrenhorst;;;;;2;;;;2
De Spil;;;1;;;;;;1
De Stadsherberg Kampen V.O.F.;1;;1;;;;;;1
De Stainkroeg;;;1;;;;;;1
De Stee;;;1;;;;;;1
De Taalbrigade;;;;;1;;;;1
De Taaltrainer;;;;;1;;;;1
De Tapuit;;;1;;;;;;1
De Tombe Consultancy B.V.;1;;;1;1;;;1;1
De Utrechtse Haven B.V.;1;;1;;;;;;1
De Utrechtse Watertoren B.V.;;;1;;;;;;1
De Veldkeuken;1;;;;;;;;1
De Verleiding;;;1;;;;;;1
De Versnelling B.V.;;;;;;;;1;1
De Vlinderstichting;1;;;;;;;;1
De Vloedgolf;;;1;;;;;;1
De Vogel Horecabeheer B.V.;;;1;;;;;;1
De Walvis, tekst, training en advie;;;;;1;;;;1
De Waterreus;;;1;;;;;;1
De Watertuin Schiedam B.V.;1;;;;;;;;1
De Wilgenweard;1;;;;;;;;1
De Winkel van Sinkel B.V.;1;;1;;;;;;1
De Witte Zwaan B.V.;;;1;;1;;;;1
De Ysbreker B.V.;;;1;;;;;;1
De Zagerij Utrecht;;;1;;;;;;1
de Zeeuwse Gasten;;;1;;;;;;1
De Zoete Inval B.V.;;;1;;;;;;1
De Zwarte Ruiter op 't Witte Paart;1;;;;;;;;1
Debat.NL B.V.;1;;;;1;;;;2
Debatrix;;;;;1;;;;1
DeeCee Exploitatie B.V.;;;1;;;;;;1
Defabrique Evenementen B.V.;;;1;;;;;;1
DegansenVanGeel.nl;;;;2;;;;;2
Dek Opleidingen B.V.;;;;;1;;;;1
Dek Verkeersopleidingen B.V.;;;;;1;;;;1
Dekxels B.V.;1;;1;;;;;;1
Delft Congress Support B.V.;;;;;2;;;;2
Delft Projectmanagement B.V.;;;;;1;;;;1
Delicalicious;;;1;;;;;;1
Delicious Developments B.V.;;;1;;;;;;1
Deloitte Accountants;;;;;1;;;;1
Delphi's Lunch & Diner B.V.;1;;1;;;;;;1
Delta International Uniformuitrustingen B.V.;1;;;;;;;;1
Delta Park Neeltje Jans B.V.;;;2;;;;;;2
Demovides B.V.;;;;;1;;;;1
Den Bosch Evenementen B.V.;;;1;;;;;;1
Den Draeck;;;1;;1;;;;1
Dena;;;;;1;;;;1
Dendy B.V.;;;1;;;;;;1
Denkproducties V.O.F.;;;;;1;;;;1
Departyshop.nl B.V.;;;1;;;;;;1
DesignThinkers B.V.;;;;;1;;;;1
Detail Devil;1;;;;;;;;1
Deuts;;;;;1;;;1;1
Development Works;;;;2;;;;;2
Dewi SRI Westerkade B.V.;;;1;;;;;;1
Dhirata B.V.;;;;1;1;;;;2
Dialogue;;;;;1;;;;1
Diebels Relatiegeschenken B.V.;1;;;;;;;;1
DIEMEC;;;;;1;;;;1
Diender Visual Concepts;;;;;;;;1;1
DiEx B.V.;;;;;1;;;;1
Digidoen;;;;;2;;;;2
Digital Action;;;;;1;;;;1
Dignitas Mediation & Conflict Management;1;;;1;1;;;;1
dimS Eten & Drinken;;;1;;;;;;1
Dinee Cafe De Kempen;;;1;;;;;;1
Diner Thuis;;;2;;;;;1;2
Dining56;;;1;;;;;;1
Direct Dutch B.V.;;;;;1;;;;1
Direct2Improve B.V.;;;;1;4;;;;4
Direction Briefings for Business Leaders;;;;;1;;;;1
Discountoffice.nl B.V.;;;1;;;;;;1
DLG e.v.;;;;;1;;;;1
D'n Boerderij;1;;;;;;;;1
DNI Online Marketing;;;1;;;;;;1
DNV GL Business Assurance;;;;;1;;;;1
DNV GL Netherlands B.V.;;;;;1;;;;1
Doclife B.V.;;;;;2;;;;2
doe-L Consult Huizen;;;;;2;;;;2
Doenederland.nl B.V.;1;;1;;;;;;1
Dolce Vita;;;1;;;;;;1
Domani;1;;;;;;;;1
Don Bureau B.V.;2;;;2;1;;;;3
DOREMI t.h.o.d.n. Multi-Vlaai Haarlem;;;1;;;;;;1
Dorpshuis De Poort B.V.;;;1;;;;;;1
Douwe Egberts Horeca;2;;1;;;;;;2
Down Under Horecaexploitatie B.V.;1;;1;;1;;;1;1
D'r Klinge;;;1;;;;;;1
Dr. Lippke und Dr. Wagner GmbH;;;;;1;;;;1
Dreams Shop;;;1;;;;;;1
Drentea Kantoormeubelen;1;;;;;;;;1
Drieharing B.V.;;;1;;;;;;1
DriveToConnect;;;1;;;;;;1
DRominos t.h.o.d.n. Domino's Pizza Den Bosch;;;1;;;;;;1
Drone Education Centre B.V.;;;;;1;;;;1
Drost Fotografie;1;;;;;;;;1
Drukkerij Capello B.V.;1;;;;;;;;1
Drukkerij Zoeteweij;;;1;;;;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;;;;;;;1;;1
DU MAI INTERNATIONAL BVBA;;;;;1;;;;1
Dudok Arnhem B.V.;;;1;;;;;;1
Dudok Den Haag B.V.;;;1;;;;;;1
Dunea N.V.;;;1;;1;;;;1
Dununba Percussie Workshops;1;;;;;;;;1
Dusecon;;;;;1;;;;1
Dutch Aviation Group (DAG);;;;;1;;;;1
Dutch aWEARness B.V.;2;;;;;;;;2
Dutch Demon;;;1;;;;;;1
Dutch Pinball Museum;;;1;;;;;;1
Dutch Research Institute for Transitions B.V.;;;;;2;;;;2
Dynamika;;;;;1;;;;1
DynaVision B.V.;1;;;1;1;;;;2
E&MS B.V.;;;;;1;;;;1
E.M. Toonen Holding B.V.;;;;;;;;1;1
EASA;;;;;1;;;;1
East & west urban consultancy;;;1;;;;;;1
Eastern Plaza;;;1;;;;;;1
Easy Actors B.V.;;;;;1;;;;1
Ebbinge & Company International Holding B.V.;;;;;2;;;;2
ECI Horeca B.V.;;;1;;;;;;1
Ecologica B.V.;;;;;1;;;;1
EC-Rent;;;;;;;;1;1
Ecru Outsourcing;;;;;1;;;;1
Eden Den Haag Hotel Exploitatie I B.V.;;;1;;;;;1;1
Eden Oranje Hotel B.V.;;;1;;;;;1;1
Edubookers;;;;;1;;;;1
Eefence;;;1;;;;;;1
Een wereld van verschil;;;;;1;;;;1
Eet-/FeestcafÃ© De Klok Zalencnt. CateringB.V;;;1;;;;;;1
EetcafÃ© aon 't Bat B.V.;;;1;;;;;;1
Eetcafe 'De Hazzebas';;;1;;;;;;1
Eetcaf� Het Gesprek;1;;2;;;;;;2
Eetcafe Joos;;;1;;;;;;1
Eetcafe 't Keershuys;;;1;;;;;;1
Eeterij Tapperij Juno;;;1;;;;;;1
Eeterij-spelerij Vierlinden;;;1;;;;;;1
Eethuys- CafÃ© 'De Generaal';;;1;;;;;;1
Eetmosfeer Het Elfde Gebod;1;;1;;;;;;1
EEZI V.O.F. / Brasserie 't Zusje Eindhoven;;;1;;;;;;1
Effectivents;;;;;1;;;;1
Effectyf B.V.;1;;;1;;;;;1
EGA Multipromotions;;;1;;;;;;1
EHM Hotel Lelystad B.V.;;;1;;;;;1;1
EHP Exploitatie Hotel Loosdrecht B.V.;;;;;;;;1;1
El Arte Flores;;;1;;;;;;1
El Mundo de las Tapas;;;1;;;;;;1
El Olivo;;;1;;;;;;1
Elbo Tours B.V.;;;;;;;;1;1
ELECTRI-CITY. MOBI ASBL;;;;;1;;;;1
Elektroraad Opleidingen B.V.;;;;;1;;;;1
Elektrotechnische Studievereniging Thor;;;;1;;;;;1
elke dag ...lekker;;;1;;;;;;1
Elmapa Wenskaarten;;;1;;;;;;1
Elpromo;;;1;;;;;;1
Elycio Talen B.V.;;;;;2;;;;2
Elzinga Catering;1;;;;;;;;1
EMC Advies B.V.;;;;;4;;;;4
EMENDO EVENT en CONGRESS GBR;;;;;1;;;;1
Emergency Control Maritime Training B.V.;;;;;1;;;;1
Employee Performance Group B.V.;;;;;8;;;;8
Empower 2 Improve B.V.;;;;;5;;;;5
en Insp.-instellingen-Fenelab;;;;;;;1;;1
eNautica Marine Service;;;;;1;;;;1
ENERDATA;1;;;;;;;;1
Energeia B.V.;;;;;1;;;;1
Energy Inside;;;;;1;;;;1
Engelen en Partners Organisatieontwikk. B.V.;2;;;;;;;;2
Engels Horeca Rotterdam B.V.;1;;;;;;;;1
ENGIE Infra & Mobility B.V.;;;;;3;;;;3
Enginar B.V.;;;1;;;;;;1
Enmo Nederland B.V.;;;;;1;;;;1
ENMO Services BVBA;;;;;1;;;;1
ENS ASBL;;;;;1;;;;1
Enstti European Nuclear Safety Trai;;;;;1;;;;1
Entopic B.V.;;;;;1;;;;1
Enversed Entertainment Eindhoven B.V.;;;1;;;;;;1
Environment Europe;;;;;1;;;;1
Equipe Quality Products B.V.;1;;;;;;;;1
ERA EUROP�ISCHE RECHTSAKADEMIE;;;;;1;;;;1
ER-coaching;;;;1;1;;;;1
Erdee Media B.V.;1;;;;;;;;1
Ergatis B.V.;3;;;1;;;;;3
Erik's Food;;;1;;;;;;1
