Rijlabels;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Landstede;;;;;1;;;1
Laverbe;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;1
Le Strasbourg;;;1;;;;;1
Lean Consultancy Group B.V.;;;;;2;;;2
Learn it B.V.;;;;;1;;;1
Lectric Opleidingen B.V.;;;;;1;;;1
Leeuwendaal Advies B.V.;;;;1;1;;;1
Leids Congres Bureau B.V.;;;;;1;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;1
Lekkers! van Naomi;;;;;;1;;1
Lemion B.V.;1;;;;1;;;1
Letterlijk en Figuurlijk (L.E.F.);;;;;1;;;1
Lhasa;;;;;1;;;1
Life@Balance;1;;;;;;;1
LifeGuard Health Services B.V.;;1;;;;;;1
LifeTune;;;1;1;;;;1
Link Art Company B.V.;;;1;;;;;1
Lions Club Hoorn-Velius;;;1;;;;;1
Little V Den Haag B.V.;;;1;;;;;1
Lock;;;;;1;;;1
LocoMix B.V.;;;1;;;;;1
Loekan;;1;;;;;;1
Loetje aan 't IJ B.V.;;;1;;;;;1
Logacom B.V.;;;;;1;;;1
Logeion;;;;;1;;;1
Lok. Centr.-Exp.grp Maatsch. Vraagstukken BV;;;;;;1;;1
Louwke Meinardi;;1;;;;;;1
Lovers Events B.V.;;;1;;;;;1
Loyens & Loeff N.V.;;1;;;;;;1
LS Holding B.V.;;;;;1;;;1
LTP;;;;1;1;;;1
Luden Utrecht;;;1;;;;;1
LUFC Labconsultants;;2;;;;;;2
Lumineux;1;;1;;;;;1
Lunchroom Nieuw Engelhard;;;1;;;;;1
LVA Liftadvies B.V.;;;;;1;;;1
Lysias Advies B.V.;;;;;1;;;1
M. Hijmans consult;;;;;1;;;1
M. Oldenkamp Beheer B.V.;;;;;;;1;1
M2support;;;;;1;;;1
Maatschap Suijker;;;;;;1;;1
Machteld Huber;;1;;;;;;1
Madeleine B.V.;;;1;;;;;1
Mainpress B.V.;;;;;1;;;1
MaJe 2015 B.V.;1;;1;;;;;1
MaMa Kelly B.V.;;;1;;;1;;1
Mammoni Koken + Eten;;;1;;;;;1
Manege Zeisterbos;1;;;;;;;1
Mango International B.V.;;3;;;;;;3
'Manifesta' Bureau voor Grafische Vormgeving;;;;1;;;;1
Mannen met plannen;;2;;;;;;2
Manutan B.V.;;;1;;;;;1
Marcel Hammink Media;;;;;2;;1;2
Marcel Uljee Teksten;;1;;;;;;1
Marcello's Art Factory V.O.F.;;;1;;;;;1
Margriet Bloembinders;;;1;;;;;1
Marieke Franken: workshops en trainingen;;;1;;;;;1
Marion Matthijssen onderzoek & training;;;;;1;;;1
Marion Willemsen Trainer + adviseur;;;;;1;;;1
Marjatta Fehres;;;1;;;;;1
MarktOnderzoekAssociatie.nl;;;;;1;;;1
Martijn Beekman Fotografie;;;1;;;;;1
Martine van den Bosch B.V.;;;;;1;;;1
Massage in Bedrijf;;1;;;;;;1
Master it Training B.V.;;;;;1;;;1
Match 2 Win;;;;2;;;;2
Mauritshoeve B.V.;;;1;;;;;1
Mavim Holding B.V.;;;;;1;;;1
Maximism;;;1;;;;;1
MBO College Zuid;;;;;1;;;1
MBO Utrecht;;;;;1;;;1
Me Gusta! Zonnige eetwaren;;;1;;;;;1
Media Academie B.V.;;;;;1;;;1
Mediavision B.V.;;;;;1;;;1
Mediavrouw;;;;;2;;;2
Medilex B.V.;;;;;2;;;2
Medilingua;;;;1;;;;1
Mediphos Medical Supplies B.V.;;;;;1;;;1
Mediterraan Restaurant Het Zuiden B.V.;;;1;;;;;1
Medivents;;;;;1;;;1
MedLawConsult;;1;;;;;;1
Medprevent B.V.;;;;;1;;;1
Meelfabriek Zijlstroom B.V.;;;1;;;;;1
Mensen in Bedrijf;;;;;1;;;1
Mercure Den Haag Central;;;;;;;1;1
Merkwerk Utrecht B.V.;;1;;;;;;1
MetrixLab B.V.;;1;;;;;;1
Middin;;;2;;;;;2
Mieke Posthumus;;;;;1;;;1
Millers;;;2;;;;;2
Mindful Leven en Werken;;2;;;;;;2
Miró;;;1;;;;;1
Mister Rotterdam;;;1;;;;;1
Mitopics B.V.;;2;;;;;;2
MKBA Onderzoek;;;;;1;;;1
Mobility Mixx B.V.;;;;;;;7;7
Mona Kleinmeulman;;;;;1;;;1
Moodz eten & drinken;;;1;;;;;1
Motus B.V.;;;;;1;;;1
Multigift Relatiegeschenken B.V.;;;1;;;;;1
Munckhof Regie;;;1;;;;2;2
Museum Beelden aan Zee;;;1;;;;;1
MVMZ (Maatschap voor Medezeggenschap);;;;;1;;;1
MW & V;;;;;1;;;1
N. van den Bergh;;;;;;1;;1
N.B.C. Exploitatie B.V.;;;1;;;;;1
N.V. Luchthaven Schiphol;;;2;;;;1;2
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;2
Ned. Ver. v. Klinis. Farmacol. en Biofarmacie;;;;;1;;;1
Nederl. Veren. voor Obstetrie en Gynaecologie;;1;;;;;;1
Nederlands Compliance Instituut B.V.;;;;;1;;;1
Nederlands Debat Instituut Holding B.V.;;;;;1;;;1
Nederlands Huisartsen Genootschap;;2;;;1;;;2
Nederlands Instituut voor Biologie;;;;1;;;;1
Nederlandse Biotechnologische Vereniging;;;;;1;;;1
Nederlandse Cystic Fibrosis Stichting;;;1;;;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;3;;;3
Nederlandse Sociologische Vereniging;;;;;1;;;1
Nederlandse Stichting Geluidshinder;;;;;1;;;1
Nederlandse Ver. voor Gen- en Celtherapie;;;;;1;;;1
Nederlandse Vereniging voor Arbeidshygiene;;;;;1;;;1
Nederlandse Vereniging voor Demografie;;;;;1;;;1
Nederlandse Vereniging voor Inkoopmanagement;;;;;1;;;1
Nederlandse Vereniging voor Stralingshygiene;;;;1;1;;;1
Nederlandse Vereniging voor Toxicologie;;;;;1;;;1
Nederlandse Vereniging voor Urologie;;1;;;1;;;1
NEDFAC B.V.;;;;;3;;;3
Nestas Communicatie B.V.;;;;;1;;;1
NEVERREST;;;;;1;;;1
NEVI-Purspective B.V.;;;;;1;;;1
New Babylon Meeting Center B.V.;;;1;;;1;1;1
NH Den Haag;;;;;;;1;1
NHL Hogeschool;;;;;1;;;1
nhow Rotterdam;;;;;1;;;1
Nieuwe Luxor Theater;;;1;;;;;1
Nieuwe Tijd Training & Coaching;;;;;1;;;1
NIPA Eindhoven B.V.;;;;;1;;;1
Noara's B.V.;;;1;;;;;1
Noorderlicht;1;;;;;;;1
Novotel Rotterdam Schiedam;;;;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;;;;2;1;;;3
NS Reizigers B.V.;;;;;;;5;5
Nsob;;;;;3;;;3
Nu N Nu;;;;;1;;;1
Number 42;;;1;;;;;1
NVvP B.V.;;;;;1;;;1
Nysingh Advocaten-Notarissen N.V.;;;;;1;;;1
Obba Lounge Restaurant B.V.;;;1;;;;;1
Obruni;;;;;1;;;1
O'Casey's Irish Pub & Restaurant;;;1;;;;;1
Ockenburgh Leisure B.V.;;;;;;1;;1
Odette Organiseert!;;;;;1;;;1
OKTOBER in huis;;;1;;;;;1
Olivijf B.V.;;;1;;;;;1
Onderneming en Personeel in Balans (OPB);;;;;1;;;1
One Stop Arbo;;2;;;;;;2
Opleidingscentrum Haaglanden B.V.;;;;;1;;;1
OPPstap Zorg & Welzijn B.V.;;;;;1;;;1
Ordina Technologie & Competenties B.V.;;3;;;;;;3
Organisatie ID;;;;;1;;;1
Organisatieregie B.V.;;;;;1;;;1
OSR Juridische Opleidingen B.V.;;;;;1;;;1
Oudaen B.V.;1;;1;;;;;2
OWM v. Inst. in de Gezondheidsz. MediRisk BA;;;;;1;;;1
P&S Entertainment;;;1;;;;;1
P. Vos t.h.o.d.n. Bakker Bart;;;1;;;;;1
P.B.N. Nederland B.V.;;2;;;;;;2
P.H. Schouten, Bestuursadviseurs B.V.;;;;;1;;;1
P.P. Wammes;1;;;;;;;1
P1 Parking Hooghuis B.V.;;;;;;;1;1
Paapstvandam B.V.;;;;;2;;;2
Panda Sporthallen Exploitatie B.V.;;;1;;;;;1
Panteia B.V.;;2;;;;;;2
Paradis Private Boat Tours B.V.;;;1;;;;;1
Parkhuis Lombok;;;;;1;;;1
paulcoumans;;;;;1;;;1
Payroll Partners;1;;;;;;;1
PBLQ B.V.;;;;5;4;;;5
PDS Professional Driving Solutions B.V.;;;;;2;;;2
PdV Utrecht;1;;;;;;;1
Pelster's Handelsonderneming B.V.;;;1;;;;;1
People & Print Group;;;1;;;;;1
Performa Uitgeverij B.V.;;;;;1;;;1
Perseus Advies en Projecten;;;;;1;;;1
Personal Management;;;;;1;;;1
Peter Smit Communicatiestrategie B.V.;;1;;;;;;1
PGGM N.V.;;;;;1;;;1
Phaos Advies B.V.;;1;;;3;;;3
Phaos Opleidingen B.V.;;;;;1;;;1
Pharmaceut. Consultancy Services (PCS) B.V.;;;;;1;;;1
Pharmatech Training B.V.;;;;;2;;;2
Phoenix Opleidingen;;;;;1;;;1
Phonsawan B.V.;;;1;;;;;1
Pierre;;;1;;;;;1
Pieter Glerum Fotografie;1;;;;;;;1
Pilates en Meer Training en Opleiding;;;;;;1;;1
Pinext;;2;;;;;;2
Pink Pepper;1;;;;;;;1
Pink Pepper Utrecht B.V.;;;1;;;;;1
Pizzeria Pinocchio;;;1;;;;;1
Plata Foundation B.V.;;;;;1;;;1
PlaZand;;;1;;;;;1
Plein 9 A B.V.;;;2;;;1;;2
Plus Delta B.V.;;;;;1;;;1
Plus Quaedvlieg B.V.;;;;;;1;;1
Podium onder de Dom B.V.;1;;;;;;;1
Pop-up Fun B.V.;;;1;;;;;1
POSG Professionals B.V.;;;;4;;;;4
Positief Gezond;;1;;;;;;1
PPTstudios B.V.;;;;;1;;;1
Pragmavision B.V.;;;;1;1;;;1
Prakt. Haptonomie/Coach. Peter van den Beld;;;;1;;;;1
Praktijk Fertiliteit Van Santbrink B.V.;;;;;;;1;1
Praktijk voor haptotherapie Geerlings;;;;1;;;;1
Praktijk voor Zijnsoriëntatie;;;;;1;;;1
Preferred Hotel Reservations B.V.;1;;;;;;;1
Prestigious;;1;1;;;;;1
Prijzenshop B.V.;1;;;;;;;1
Printerette Digishop B.V.;;;1;;;;;1
Proeverij De Pronckheer;;;1;;;;;1
Promopodium B.V.;1;;2;;;2;;2
Protinus IT B.V.;;1;;;1;;;1
Psychologiepraktijk Masset;;;;;1;;;1
Public Cinema;;;;;1;;;1
Public Support & More B.V.;;;;;1;;;1
PubliContact B.V.;;;;;1;;;1
Publiec B.V.;;;;;2;;;2
Pullman Eindhoven Cocagne;;;1;;;;;1
Puur Amsterdam;;;1;;;;;1
PV van de Nederlandse Staatsloterij;;;1;;;;;1
PVM Amsterdam B.V.;;;;;1;;;1
QAducation;;;;;1;;;1
Q-Park Beheer B.V.;;;;;;;2;2
Q-Park Nederland;;;;;;;1;1
Q-Park Operations Netherlands I B.V.;;;;;;;1;1
Q-park 't Loon B.V.;;;;;;;1;1
Q-Tips B.V.;;2;;;;;;2
Quelsa B.V.;;;;;1;;;1
Quint Wellington Redwood Nederland B.V.;;;;;1;;;1
QuoVadis Trustlink B.V.;;;;;1;;;1
raadgevende;;;;;1;;;1
Raatwerk B.V.;;1;;;;;;1
Radion Amsterdam B.V.;1;;;;;;;1
Rakos Management en Training;;;1;;;;;1
Randstad HR Solutions;;1;;2;;;;2
RAV Hollands Midden;;1;;;;;;1
Real-life Xcape;;;1;;;;;1
Recto-Lennox B.V.;1;;;;;;;1
Red Hat B.V.;;;;;1;;;1
Rederij de Nederlanden B.V.;;;1;;;;;1
Rederij Lovers B.V.;;;1;;;;;1
Rederij P. Kooy B.V.;;;;;;1;;1
Rederij Schuttevaer V.O.F.;;;1;;;;;1
Reed Business B.V.;;;;;1;;;1
Regenius;;;;1;;;;1
Regina Bloemsierkunst;;;1;;;;;1
Regina Coeli Language Courses B.V.;;;;;1;;;1
Re-integratiebureau re-turn B.V.;;;;1;;;;1
Remyx;;1;;;;;;1
Rene Verleg Fotografie;;;1;;;;;1
Resilience+ Coöperatie UA;;;;;1;;;1
Restaurant Bohica B.V.;;;1;;;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;2
Restaurant 'De Branding';1;;;;;;;1
Restaurant De Goedheyd B.V.;1;;;;;;;1
Restaurant De Pauw B.V.;;;1;;;;;1
Restaurant De Zakkendrager B.V.;1;;;;;;;1
Restaurant Deluca;;;1;;;;;1
Restaurant Fouquet;;;1;;;;;1
Restaurant Karakter;;;1;;;;;1
Restaurant La Passione;;;1;;;;;1
Restaurant Mazie;;;1;;;;;1
Restaurant Meneer Buscourr;;;1;;;;;1
Restaurant Opium Utrecht B.V.;;;1;;;;;1
Restaurant Stork B.V.;1;;;;;;;1
Restaurant Tafel aan de Gracht.;1;;;;;;;1
Restaurant Toque Toque;;;1;;;;;1
Restaurant Wilhelminapark B.V.;;;1;;;;;1
Restaurant Wox;;;1;;;;;1
Restaurant Zebedeus;;;;;;1;;1
Restaurant-Café 'in de Waag' B.V.;;;1;;;;;1
Rhumbline Consultancy B.V.;;1;;;;;1;2
Ris Consultancy B.V.;;;;;1;;;1
Ristorante Pizzeria La Terra Italiana;;;1;;;;;1
Rix Management B.V.;;;;;1;;;1
Rol-maat;;;;;;;1;1
Ronnie's BBQ RIBS;;;1;;;;;1
Rootz Harbour B.V.;;;1;;;;;1
Rosa Falkenburg;;;;;1;;;1
Rotterdam Business Events B.V.;;;1;;;;;1
RRaatgever Advies;;;;;1;;;1
Ruim toont dat het anders kan;;;1;;;;;1
RVG Sportpresentaties B.V.;;;;;;;1;1
S. Tonkes Prakt. Loopbaancoaching & Training;;;;1;;;;1
S.E. Booij Consultancy;;;;;1;;;1
Safaripark Beekse Bergen Exploitatie B.V.;;;1;;;;;1
Salc B.V.;;;;;1;;;1
Saline Advies B.V.;;1;;1;;;;1
Sanatel B.V.;;;;;;;1;1
Sancy Tres B.V.;;;1;;;;;1
Sandwich Expresse V.O.F.;;;1;;;;;1
Santé Horeca Beheer B.V.;;;1;;;;;1
SBV Forensics B.V.;;1;;;;;;1
Scally's The Hague Lunchroom;;;;;;1;;1
Scem Conference Services;;;;;1;;;1
Scheidegger Opleidingen B.V.;;;;;1;;;1
Schouten & Nelissen Nederland B.V.;;1;;;;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;1;;;;;;1
Schuttelaar Delicatessen Wijnen;;;1;;;;;1
Schwandt Infographics B.V.;;;;1;;;;1
ScienceWorks B.V.;;;;;1;;;1
Scil For Your Skills;;;;;1;;;1
Scrum Company;;;;;2;;;2
Sd Van Starkenborghhof B.V.;1;;;;;;;1
Sdu Uitgevers B.V.;;;;;1;;;1
Sense Organisatie & Coaching B.V.;;;;;1;;;1
Significant B.V.;;;;;2;;;2
Simia Buitensport;;;1;;;;;1
Simone Verlaan Coaching;;;;;1;;;1
Sioo B.V.;;;;;2;;;2
SIR Holding B.V.;;;;;1;;;1
SIR Instit. for Pharmacy Practice & Policy;;;;;2;;;2
Sitemix;;;;;1;;;1
Sjaak Otten's Catering;;;1;;;;;1
Slim Bekeken B.V.;;;;;1;;;1
Smaak Utrecht;;;1;;;;;1
Smidtje Beheer B.V.;1;;;;;;;1
Smulweb Kookcollege B.V.;;;;;1;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;2;;;2
Sodexo B.V.;;;2;;;;;2
Sodexo Nederland B.V.;;;1;;;;;1
Sogeti Nederland B.V.;;2;;;1;;;2
SOIA B.V.;;;1;;;;;1
SolBeach;;;1;;;;;1
Solid Sense B.V.;;;;1;1;;;1
Sonnevelt Opleidingen B.V.;;;;;1;;;1
Soomers;;;1;;;;;1
Source Consult;;;;1;;;;1
Space & Cartoon Safari;;;1;;;;;1
Speakers Academy Special Projects B.V.;;;;;1;;;1
Specialtours Events;1;;;;;;;1
Speech Republic B.V.;;;;;1;;;1
Spellenlabs B.V.;;;1;;;;;1
Spellenrijk B.V.;;;1;;;;;1
SPITZ congres & event B.V.;;;;;1;;;1
SpiZe B.V.;;;1;;;1;;1
Sporttainment Center De Uithof B.V.;;;1;;;;;1
SRM Aktiviteiten B.V.;;;;;2;;;2
SRM Communicatie B.V.;;;;;1;;;1
SRS Consulting B.V.;;;;;1;;;1
St. Nationaal Comite 4 en 5 Mei;;;;;;;1;1
Stadscafé De Observant;;;1;;;;;1
Steenbrink Training & Coaching;;;;1;1;;;1
Stepwise B.V.;;;;;1;;;1
Stg. Atlantic and Pacific Exchange Program;;;;;1;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;1;;1;;;1
Stg. Desk.hdsbev./Ond. Kw.bel. Ha.pr. Nw-Ned.;;;;;1;;;1
Stg. Fds. voor het Dove en Slechthorende Kind;;1;;;;;;1
Stg. Fund for Exc. of the Royal Conservatoire;;;1;;;;;1
Stg. Kenniscentrum Arbeid & Longaandoeningen;;;;;1;;;1
Stg. KNMP Fnds./Greshoff-Opwijrda-Hegewisch;;;;;1;;;1
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;1;;;;;1
Stg. NL School of Public & Occupation. Health;;;;;1;;;1
Stg. Opleid. Advocaten Arrondiss. Midden-Ned.;;;;;1;;;1
Stg. PostAcademisch Onderw. Techniek en Man.;;;;;1;;;1
Stg. Postdoctor. Opl. Inf. en Management;;;;;2;;;2
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;;;1;;;1
Sticht. behoud en expl. van Fort aan de Klop;;;1;;;;;1
Sticht. Nederl. Inst. voor Beeld en Geluid;;;1;;;;;1
Sticht. Netw. Manag. en Kwalit.zorg bij Gem.;;;;;1;;;1
Sticht. Post Hoger Onderwijs Veiligheidskunde;;;;;2;;;2
Sticht. Prenatale Screening Amsterdam e.o.;;;;;1;;;1
Stichting Accessibility;;2;;;1;;;2
Stichting Arbeidsmarkt Ziekenhuizen;;;;;1;;;1
Stichting Bartimeus Sonneheerdt;;;;;1;;;1
Stichting Bedrijfshulpverlening Nederland;;;;;1;;;1
Stichting Bijna Thuis Huis Best e.o.;;;1;;;;;1
Stichting de Onthaasting;;;1;;;;;1
Stichting De Ooievaart;;;1;;;;;1
Stichting de Vrije Parel;;;1;;;;;1
Stichting Den Haag Marketing;1;;6;;;;;6
Stichting derdengelden congresbureau;;;;;1;;;1
Stichting Domplein 2013;;;1;;;;;1
Stichting Dutch Hospital Data;;;;;1;;;1
Stichting Educatie Zorg & Welzijn;;;;;1;;;1
Stichting EK Atletiek Amsterdam 2016;;;1;;;;;1
Stichting EPH Conference;;;;;2;;;2
Stichting ERFO-centrum;;1;;;;;;1
Stichting Euthanasia 2016 Conference;;;;;1;;;1
Stichting Exploitatie Kasteel de Haar;;;1;;;;;1
Stichting Federatie Opvang;;;;;1;;;1
Stichting Fontys;;;;;1;;;1
Stichting Food Micro Methods;;;;;1;;;1
Stichting Fundatie J.H.C. Voorhoeve;;;1;;;;;1
Stichting Gedragswerk;;;;;1;;;1
Stichting Geneesmiddelenbulletin;;;;;1;;;1
Stichting Groningen Congres Bureau;;;;;1;;;1
Stichting Gynaecongres;;1;1;;1;;;1
Stichting Haagse Willemsvaart;;;1;;;;;1
Stichting Hanzehogeschool Groningen;;;;;1;;;1
Stichting Harmonia;;;;2;;;;2
Stichting Herinneringscentrum Kamp Westerbork;;;;;;1;;1
Stichting Het Dolhuys;;;1;;;;;1
Stichting Het Utrechts Landschap;;;1;;;;;1
Stichting Hobéon SKO Certificatie;;;;;1;;;1
Stichting Hoger Beroepsonderwijs Haaglanden;;;;;1;;;1
Stichting Hogeschool Leiden;;;;;1;;;1
Stichting Hogeschool van Arnhem en Nijmegen;;;;;1;;;1
Stichting Holland Dance Festival;;;1;;;;;1
Stichting Humanity House;;;1;;;;;1
Stichting Immuno Valley;;1;;;;;;1
Stichting Initiatiefgroep Hl7 Nederland;;;;;1;;;1
Stichting Inova;;;;;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;;;;1
Stichting Jan van Es Instituut;;;;;1;;;1
Stichting Kanjertraining;;1;;;;;;1
Stichting Leren en Activeren Groep;;;1;;;;;1
Stichting Levenseindekliniek;;;;;1;;;1
Stichting Locus;;;;1;;;;1
Stichting Nationaal Pao-Centrum Farmacie;;;;;1;;;1
Stichting Nederlands Centrum Jeugdgezondheid;;;;;1;;;1
Stichting Noordvolk;;;;;1;;;1
Stichting Palm;;;;;1;;;1
Stichting ROC Mondriaan;;;;;1;;;1
Stichting Rutgers;;;;;1;;;1
Stichting 's Heeren Loo Zorggroep;;;1;;1;;;1
Stichting School en Veiligheid;;;;;1;;;1
Stichting Special Arts Nederland;;;1;;;;;1
stichting Stadsschouwburg Utrecht;;;1;;;;;1
Stichting Stimulansz;;;;;1;;;1
Stichting Sympopna;;;;;1;;;1
Stichting Toerisme Utrecht;1;;4;;;;;4
Stichting Trainingen Infectie Preventie;;;;;1;;;1
Stichting VeiligheidNL;;1;;;;;;1
Stichting Victas;;;;;1;;;1
Stichting VielGoed;;;1;;;;;1
Stichting VZVZ Servicecentrum;;;;;1;;;1
Stichting Walk the line;;;1;;;;;1
Stichting Wateropleidingen;;;;;1;;;1
Stichting Wereldwinkel De Bilt;;;1;;;;;1
Stichting World Healthcare Forum;;;;;2;;;2
Stichting ZorgTTP;;1;;;;;;1
Straal Den Haag;;;;;1;;;1
Strandclub Doen! Strand noord;;;1;;;;;1
Strandhuys Katwijk;;;1;;;;;1
Strandpaviljoen Buiten B.V.;;;;;;1;;1
Strandpaviljoen 'Escubelle';;;1;;;;;1
Street-Wear Jeans & Casuals;;;1;;;;;1
STT-Produkties V.O.F.;;;;;1;;;1
StudieArena Zorg en Wonen;;;;;1;;;1
Studiereizen Berlijn;;;;;1;;;1
Studio Lakmoes;;;;;1;;;1
Styrax;;;;;1;;;1
Sui Sha Ya B.V.;;;1;;;;;1
Sumo Den Haag II B.V.;;;1;;;1;;1
SURFnet B.V.;;;;;1;;;1
Swarte Walvis B.V.;;;1;;;;;1
Sweco Nederland B.V.;;2;;;;;;2
Sysqa B.V.;;;;;2;;;2
't Goude Hooft Exploitatie B.V.;;;1;;;;;1
't Hof van Eten;;;1;;;;;1
't Hoogt B.V.;;;1;;;;;1
't Nieuwe Kafe;1;;;;;;;1
't Oude Tolhuys B.V.;;;1;;;;;1
T.C. Domstad;;;1;;;;;1
Taartenwinkel.nl B.V.;;;1;;;;;1
Taat & De Regt;;;1;;;;;1
Tai Chi Arnhem;;;1;;1;;;1
Tasca Alta;;;1;;;;;1
Tauw B.V.;;2;;;;;;2
Taverne Meer en Bosch B.V.;;;1;;;;;1
Taxi Centrale Amersfoort;;;;;;;1;1
taxi direct groningen;;;;;;;1;1
Taxi VAN Wijk;;;;;;;1;1
Taxibedrijf Van der Wijst;;;;;;;4;4
Teamacademy B.V.;;;;;2;;;2
Tennispark Berg & Dal OG B.V.;;;1;;;;;1
Tennispark W.W.;;;1;;;;;1
Tensen & Nolte Infectiepreventie B.V.;;;;;1;;;1
Tensing GIS Consultancy B.V.;;;;;1;;;1
Tenviro milieu & chemie;;;;;1;;;1
Tezet Business Gifts B.V.;1;;1;;;;;1
The Associate, Coaching & Consultancy;;1;1;1;1;;;1
The Blue Print;;;1;;;;;1
The Box Ventures B.V.;;;;;1;;;1
The Courseware Company B.V.;1;;;;1;;;1
The Internet Academy;;;;;1;;;1
The Leadership Company B.V.;;;;;1;;;1
The Oyster Club B.V.;1;;;;;;;1
The Pool Holding B.V.;;;;;;;1;1
The Pubquiz;1;;;;;;;1
The Student Hotel Den Haag B.V.;1;;;;;;;1
Theater Diligentia;;;1;;;;;1
Thermo Fisher Scientific B.V.;;2;;;;;;2
Time-Lines.NL B.V.;;;;;1;;;1
TivoliVredenburg;;;1;;;;;1
Tjeerd Graphic Design;1;;;;;;;1
Tjitske Sluis Foto's;;;1;;;;;1
TNO B.V.;;6;;;1;;;6
TNS Nipo B.V.;;2;;;;;;2
Toby enzo;;;;;1;;;1
Today Designers B.V.;;2;;;1;;;2
Toko Eddo B.V.;;;1;;;;;1
Tol Burgers;;;;;1;;;1
Tolq Communicatiediensten B.V.;;;;;1;;;1
Toma Coaching;;;;;1;;;1
Tonco Modderman Training & Advies;;;;;2;;;2
Tony's Chocolonely Nederland B.V.;;;1;;;;;1
Topbloemen Nederland B.V.;;;2;;1;;;2
TOPdesk Nederland B.V.;;;;;1;;;1
Topra B.V.;;;;;2;;;2
Tornak Groep B.V.;;;;;4;;;4
Toscanarte;;;1;;;;;1
Totaal Gemak Brunssum;;;1;;;;;1
Total Blue Events;;;1;;;;;1
Total Identity;;;;;1;;;1
Tower Leisure B.V.;;;1;;;;;1
Training en Coaching;;;;;1;;;1
Tranq;;;;;1;;;1
Transfer Education B.V.;;;;;1;;;1
Trappistenlokaal 't Klooster Café;;;1;;;;;1
Tri Tunggal;;;1;;;;;1
Tridata B.V.;;;;;1;;;1
Trimbos Mobile Virtual Reality Solutions B.V.;;;;;1;;;1
Troubadour Services;;;1;;;;;1
ttopstart B.V.;;1;;;;;;1
TUI Nederland N.V.;;;1;;;;;1
Twynstra Gudde;;;;;2;;;2
Twynstra Gudde Domus Consilium B.V.;;;;;1;;;1
Tyrilo B.V.;;;1;;;;;1
Uit het Hart;;;;;1;;;1
'Uit je eigen stad' Horeca B.V.;;;1;;;;;1
Uitgeverij Edu'actief B.V.;;1;;;;;;1
Uitgeverij Paris B.V.;;;;;1;;;1
Umami Restaurant B.V.;1;;1;;;;;1
UNC Lean Six Sigma B.V.;;;;;2;;;2
Utrechtse Taxi Centrale (U.T.C.) B.V.;1;;;;;;1;1
V&V Visumdienst Breda B.V.;;;;;;;1;1
V.O.F. A New Perspective On Public Policy;;;;;1;;;1
V.O.F. Aan Ut Water;;;1;;;;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;1;;;;;1
V.O.F. CIR 'De Chinese Muur';;;1;;;1;;1
V.O.F. De Tolhuistuin;;;1;;;;;1
V.O.F. Trainersgroep Wilde Kastanje;;;;;1;;;1
V.O.F. Uitvoeringsorg. Beroepsopl. Advocaten;;;;;1;;;1
Vaccinatiezorg B.V.;;1;;;;;;1
Vakmedianet Management B.V.;;;;;1;;;1
Valkenburg Trainingen;;;;;2;;;2
VAN Bien B.V.;;;1;;;;;1
Van der Hilst Communicatie-Opleidingen B.V.;;;;;1;;;1
Van der Meijden de Goede B.V.;;;1;;;;;1
Van der Valk Hotel Den Haag B.V.;;;;;;1;1;1
Van der Valk Hotel Houten B.V.;;;1;;;;;1
Van Dijk Zakelijk B.V.;1;;;;;;;1
Van Doorn Verhuur B.V.;;;1;;;;;1
Van Ede & Partners Breda;;;;;1;;;1
Van Groningen Corporate & Fin. Training B.V.;;;;;1;;;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;1;;;1
Van Kleef;;;1;;;;;1
Van Luyken Communicatie Adviseurs;;;;;1;;;1
Van Rooijen Catering;;;1;;;;;1
Van Swinden Laboratorium;;2;;;;;;2
Van Vieren B.V.;;;;1;;;;1
van Wijk Psychologie & Coaching;;;;1;;;;1
Var, Vereniging voor Bestuursrecht;;;;;1;;;1
VarenRondZaandam.nl;;;1;;;;;1
VCK Travel B.V.;;;;;;;7;7
Veer Stichting;;;;;1;;;1
Veilingmeester B.V.;;1;1;;;;;1
Veldhuis Opleidingsadvies;;;;;1;;;1
Ver. Nederl. Organisaties Vrijwilligerswerk;;;;;1;;;1
Ver. Samenw. Ouder-/Pat.org. Betr. Erf.vr.st.;;;;;1;;;1
Vereniging Associatie voor Jeugd;;;;;1;;;1
